Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55)
0.0,0.9540713032909632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9537873043764002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.619068695609512e-23,0.9540713032909632,5.409475741393975e-25,2.503333572945254e-25,3.344403926533597e-36,6.984513801971745e-23,0.0,0.0,2.022348562425846e-20,1.3910679313211178e-38,7.503602106301437e-53,3.426635956614541e-54,2.2263414653531108e-59,1.3113553414565142e-64,5.25099995923042e-44,2.0312108490831173e-38,1.0590765995556887e-35,1.6524796927539475e-53,4.901586666551951e-61,5.9891087484687415e-58,1.5430956571189873e-35,3.821830558456862e-55,4.328716445679315e-24,3.668765846200106e-70,4.210719477768162e-54,1.039082929886721e-56,7.024101493892961e-54,9.260493723013041e-68,5.144624447712497e-87,7.886281056632495e-87,1.8340708752820248e-70,4.756277993606187e-76,1.1357937906126611e-69,1.5144508717173206e-85,3.76,0.0,0.9537873043764002,0.9999999999999996,1.6435111268654368e-51,1.0643459877984369e-51,6.660372779734767e-17,6.660372779734767e-17,1.7428139246420026e-35,3.65043615080811e-38,4.648767122788193e-16,2.2029000451072053e-39,2.4307247088865692e-40,2.022402657183219e-20,7.586139214106189e-35,2.468543776595232e-37,1.8610385270230337e-34,4.186699148694675e-18,6.361037792126172e-39,3.342210043221295e-36,1.234743550309677e-35,1.8168912159420152e-39,2.466737563945223e-36,5.939276415521643e-36,2.160916573376485e-42,3.077335275763454e-43,4.328716445679409e-24,2.951642817826568e-58,1.0590767915364642e-35,1.487430228577424e-38,2.5674684362090478e-51,5.572763418273049e-69,1.70508610474151e-67,6.538312752043681e-54,1.9898432222824063e-71,1.541942680628371e-75,1.4514911447076127e-79,2.975866648168911e-78,1.1180040090907436e-62,6.851036408415375e-59,6.345454138353121e-80,8.214526069840529e-53,2.5227105284797617e-59,1.7020664383312305e-53,4.042372408165938e-58,4.804294182528576e-70,6.984513801971377e-23,2.566834244283519e-40,6.150617242328565e-57,7.500694879157727e-53,2.1100721567884625e-39,2.453829874853861e-45,3.984976292056491e-60,2.664834427769836e-35,9.023046129576569e-59,6.1077420392810546e-52,4.3087083475009263e-70,5.690564263919262e-62
1.5733392347706637e-22,0.9540713032909632,1.5146532081832678e-24,7.009334004246777e-25,2.0200199716263034e-35,1.9556638645520886e-22,0.0,0.0,5.662575974792364e-20,8.402050305179545e-38,8.90828148385061e-52,4.068102207701903e-53,2.6431125889028174e-58,1.5568410613779995e-63,3.171603975377022e-43,1.2268513528461904e-37,6.396822661316292e-35,1.9618238912374752e-52,5.819163690543223e-60,7.110269906182095e-57,9.32029776899868e-35,4.537277238999981e-54,1.2120406047902019e-23,8.206882447315632e-69,4.998966164006262e-53,1.5702621236448274e-55,1.0587845007077582e-52,2.9094667606611203e-66,2.4576488401135062e-85,3.798957966663121e-85,4.102743185232756e-69,1.3413464946451478e-74,3.30367138279813e-68,8.0805660987642295e-84,3.76,0.0,0.9537873043764,0.9999999999999987,1.951176410155346e-50,1.2635915567143042e-50,1.8649043783257342e-16,1.8649043783257342e-16,1.0526596104836932e-34,2.2048634350880454e-37,1.3016547943804944e-15,1.3305516272449034e-38,1.46815772416771e-39,5.662727440112931e-20,4.5820280853198395e-34,1.491000441087541e-36,1.124067270321898e-33,1.172275761634509e-17,3.8420668264443666e-38,2.0186948661056607e-35,7.457851043870091e-35,1.0974022944291643e-38,1.4899094886228186e-35,3.5873229549749737e-35,1.3051936103193308e-41,1.858710506561221e-42,1.2120406047902583e-23,3.5041903533235484e-57,6.396823820880177e-35,8.984078580607036e-38,3.0480985274673535e-50,1.2518398653645846e-67,5.361063237054718e-66,9.582131095846806e-53,5.448119811844667e-70,3.4492640988582028e-74,3.2469276310647866e-78,6.6568946572870975e-77,1.327294359592322e-61,8.133550424193221e-58,1.419452708932803e-78,9.752285350113664e-52,2.9949619394112443e-58,2.0206932755867177e-52,4.799104522974368e-57,1.074701391454901e-68,1.9556638645518665e-22,1.5503678835472257e-39,7.30201279009345e-56,8.904824960535515e-52,1.2744835827002175e-38,1.4821132444125045e-44,6.022013634115517e-59,1.6095599943729801e-34,1.0712160364454876e-57,7.251111349034349e-51,9.638408225025053e-69,6.75609440268846e-61
3.5962039651900885e-22,0.9540713032909635,3.4620644786428285e-24,1.6021334866850086e-24,9.725526618359863e-35,4.470088833261915e-22,0.0,0.0,1.2943030799525387e-19,4.045225544281802e-37,8.746205804919297e-51,3.9940868710581834e-52,2.595023615837115e-57,1.528515786004272e-62,1.526990788146979e-42,5.906761149133522e-37,3.0797947515078455e-34,1.9261303298739678e-51,5.713289418571111e-59,6.980905157215185e-56,4.487322170902013e-34,4.454725698937305e-53,2.7703785252347183e-23,1.6215416737921635e-67,4.908014623286266e-52,1.689216337458291e-54,1.1380633734491197e-51,6.489792361592217e-65,1.2796926538928872e-83,1.964665934101591e-83,8.10632916271718e-68,2.9177216125790366e-73,7.239331537487008e-67,3.55582052491486e-82,3.76,0.0,0.9537873043763998,0.999999999999997,1.9156765699581632e-49,1.2406016833778383e-49,4.262638579030249e-16,4.262638579030249e-16,5.068102892857797e-34,1.0615468326549192e-36,2.975210958583047e-15,6.406033331173987e-38,7.068547453445416e-39,1.294337700597204e-19,2.2060492834616345e-33,7.17852530269925e-36,5.41190003658277e-33,2.6794874551645913e-17,1.8497897899505238e-37,9.719146805687503e-35,3.5906342443000048e-34,5.283519655962133e-38,7.173272835951269e-35,1.727141581633547e-34,6.283945395377823e-41,8.94889098192154e-42,2.7703785252349905e-23,3.440434868458172e-56,3.079795309787942e-34,4.325447104702245e-37,2.992641209245182e-49,2.478053224951103e-66,1.1960237029501247e-64,1.020523894298106e-51,1.1725765650004473e-68,6.815164608629896e-73,6.4153818448805744e-77,1.3152902060104012e-75,1.3031454729955248e-60,7.9855680380284e-57,2.8045993546109944e-77,9.57485158700298e-51,2.940471391996231e-57,1.9839286405185133e-51,4.711789278957492e-56,2.123428846841332e-67,4.470088833260847e-22,7.464353982376188e-39,7.169159457661092e-55,8.74280995114458e-51,6.136089831940645e-38,7.13573727608662e-44,6.478179053887293e-58,7.749338515954674e-34,1.0517262566840895e-56,7.119184120985628e-50,1.9043870441948152e-67,6.633716882571185e-60
7.641933426028937e-22,0.9540713032909636,7.356887029049229e-24,3.404533659205777e-24,4.247392986697836e-34,9.49893877068157e-22,0.0,0.0,2.7503940448991376e-19,1.766656272777812e-36,7.735920867959341e-50,3.532724605890708e-51,2.2952690051368164e-56,1.3519549028333827e-61,6.668769948251294e-42,2.579637778335373e-36,1.3450272814356246e-33,1.7036404640415403e-50,5.0533397898274146e-58,6.17453155532138e-55,1.9597314845411125e-33,3.9401544325466605e-52,5.887054366123657e-23,2.885446769873707e-66,4.341083352799229e-51,1.5526808404712299e-53,1.0457397026488746e-50,1.2153869319353521e-63,5.1069174475336e-82,7.821404827297933e-82,1.4424779625593315e-66,5.408964139072736e-72,1.3461142918848253e-65,1.3278784004555755e-80,3.76,0.0,0.9537873043763994,0.9999999999999937,1.6943942318404408e-48,1.0972981395806169e-48,9.058106980439276e-16,9.058106980439276e-16,2.2133736842941594e-33,4.636053911525482e-36,6.322323286984964e-15,2.797683057288442e-37,3.0870203802892985e-38,2.7504676137688994e-19,9.634396801910263e-33,3.135050596648269e-35,2.3635189293190354e-32,5.693910842224755e-17,8.07851799600263e-37,4.24460675489102e-34,1.5681243088927382e-33,2.3074518442491818e-37,3.1327567062089496e-34,7.542881047710967e-34,2.7443640481871052e-40,3.90821580022105e-41,5.887054366124844e-23,3.0430256794654808e-55,1.3450275252512105e-33,1.8890363902923955e-36,2.6469572589939053e-48,4.413345568648248e-65,2.2400200186502603e-63,9.343118976007567e-51,2.1645390768892872e-67,1.2127221288205327e-71,1.1415829220422705e-75,2.3404886459081533e-74,1.1526174132108368e-59,7.063144496416512e-56,4.9906347023580376e-76,8.4688477969562085e-50,2.6008136464419616e-56,1.7547624152611902e-50,4.167524257921238e-55,3.778528178586e-66,9.498938770676901e-22,3.2598794902397773e-38,6.341040352157084e-54,7.732916392612961e-50,2.679791639121137e-37,3.1163639410763847e-43,5.954552343730857e-57,3.384339723267686e-33,9.30239963398144e-56,6.296837732816426e-49,3.388754994134352e-66,5.8684140042786805e-59
1.5733392347706637e-21,0.9540713032909636,1.5146532167811143e-23,7.009334004247738e-24,1.773202961848266e-33,1.9556638645520864e-21,0.0,0.0,5.662575974792311e-19,7.375442171864501e-36,6.5025079630772166e-49,2.9694678939345945e-50,1.9293119069477232e-55,1.1363995572305047e-60,2.784080178409765e-41,1.0769479921837026e-35,5.615224130843364e-33,1.4320124620653635e-49,4.2476365799897304e-57,5.19006581568312e-54,8.181493174044862e-33,3.311937212669736e-51,1.2120406047901152e-22,4.866727723157324e-65,3.648942127921098e-50,1.3283511485722095e-52,8.945239076877689e-50,2.0992131902382343e-62,1.8150784469307976e-80,2.7769786729788402e-80,2.432949920870873e-65,9.29662735877449e-71,2.3170456837247665e-64,4.581689316458375e-79,3.76,0.0,0.9537873043763984,0.999999999999987,1.424240446796691e-47,9.22345203490197e-48,1.864904378325732e-15,1.864904378325732e-15,9.240399428441246e-33,1.9354612471577245e-35,1.3016547943776035e-14,1.167977603917895e-36,1.2887702406546676e-37,5.662727440111784e-19,4.022171011314965e-32,1.3088219106858836e-34,9.867226270274175e-32,1.1722757616345077e-16,3.3726222373874405e-36,1.7720397649159095e-33,6.54661030373695e-33,9.633157226949871e-37,1.307864256402422e-33,3.1490043555082096e-33,1.1457179672032844e-39,1.6316031632110993e-40,1.2120406047906106e-22,2.55784643964161e-54,5.6152251487254445e-33,7.886355071909113e-36,2.224927067323467e-47,7.446830579948857e-64,3.869077519913608e-62,7.979021733807675e-50,3.7132097534502136e-66,2.0454331254473244e-70,1.9254464552901156e-74,3.947576194331962e-73,9.688443862114327e-59,5.9369985363953086e-55,8.417434872017502e-75,7.118576859694756e-49,2.1861405806129544e-55,1.4749835423934265e-49,3.5030552509553227e-54,6.373040054473732e-65,1.955663864550138e-21,1.3609355163188602e-37,5.330026492336921e-53,6.499982171153695e-49,1.1187602575290534e-36,1.3010205996583019e-42,5.094240965704938e-56,1.4128952136035625e-32,7.819227400318625e-55,5.292871527366943e-48,5.715630608447078e-65,4.934381564727878e-58
3.191631019106203e-21,0.954071303290964,3.072582259713145e-23,1.421893469433336e-23,7.244112681030123e-33,3.9672038395199416e-21,0.0,0.0,1.1486939834578564e-18,3.0131087819587395e-35,5.331149032137903e-48,2.434549187235866e-49,1.5817664782187312e-54,9.31689015395494e-60,1.137387595190987e-40,4.399683947546588e-35,2.294002277700845e-32,1.1740503349498533e-48,3.4824690997930645e-56,4.255129526266019e-53,3.342406917146004e-32,2.715326225764793e-50,2.45871094114546e-22,7.993614899151644e-64,2.9916232162662594e-49,1.0983064174322245e-51,7.39559453686808e-49,3.4878201076004006e-61,6.11368409806736e-79,9.349149686474646e-79,3.996127550723073e-64,1.5408478064838837e-69,3.8431826379590137e-63,1.5216566689823936e-77,3.76,0.0,0.9537873043763964,0.9999999999999736,1.1676783672767766e-46,7.561943235711555e-47,3.783091738889336e-15,3.783091738889336e-15,3.7750046733225443e-32,7.906990720090175e-35,2.6404997257307128e-14,4.771569613721371e-36,5.265046948462084e-37,1.148724709279552e-18,1.6431880983287556e-31,5.346964564693445e-34,4.031083891071322e-31,2.3780451164585683e-16,1.3778262299275085e-35,7.239360642018868e-33,2.6745039197085766e-32,3.935459049400426e-36,5.343052232996608e-33,1.2864710287064943e-32,4.6806317345885445e-39,6.665631300725819e-40,2.4587109411474845e-22,2.097077049789282e-53,2.2940026935388913e-32,3.2218333723007414e-35,1.8241296342229223e-46,1.2233931007747507e-62,6.42853015910731e-61,6.591652351641757e-49,6.148820940320948e-65,3.359630050594295e-69,3.1625515845616486e-73,6.483905753005126e-72,7.943171629262701e-58,4.867510099751718e-54,1.3825662053222543e-73,5.836239395865793e-48,1.7923301290378452e-54,1.2092806228049937e-48,2.8720163404144554e-53,1.0467737426512314e-63,3.967203839511983e-21,5.5598656464856595e-37,4.36987774506414e-52,5.329078096287885e-48,4.570500694488479e-36,5.315093662219768e-42,4.2120154071620315e-55,5.772137963926539e-32,6.410675034586982e-54,4.339415859962599e-47,9.387940437327886e-64,4.048170620349923e-57
6.428214587777282e-21,0.9540713032909646,6.188440406295796e-23,2.863813607451141e-23,2.928186169069703e-32,7.990283789455639e-21,0.0,0.0,2.313566755415069e-18,1.2179467451322987e-34,4.3173027610563596e-47,1.9715610519273467e-48,1.2809555248380591e-53,7.545059203501252e-59,4.59750251248394e-40,1.778422596491868e-34,9.272723985871599e-32,9.507764005527078e-48,2.8201937663229908e-55,3.445914212053309e-52,1.3510543163992104e-31,2.1989415772107372e-49,4.952051613855534e-22,1.2957994219766342e-62,2.4226940436004785e-48,8.931245384447704e-51,6.013776038765694e-48,5.685983052926086e-60,2.006572336805124e-77,3.0677759495048956e-77,6.477894964545858e-63,2.5088712141539334e-68,6.259960901855399e-62,4.9600034223939513e-76,3.76,0.0,0.9537873043763924,0.9999999999999468,9.456162159307057e-46,6.1238576888952745e-46,7.61946646001653e-15,7.61946646001653e-15,1.5259172460850377e-31,3.196132070962621e-34,5.3181895884165135e-14,1.9287447287077897e-35,2.1282161574371087e-36,2.3136286398154867e-18,6.642029016603445e-31,2.161328568844152e-33,1.629428560256606e-30,4.789583826106679e-16,5.569393916835367e-35,2.9262653189221676e-32,1.0810772459830864e-31,1.5907754703531722e-35,2.1597471406278165e-32,5.200121587047639e-32,1.8919861839801715e-38,2.6943547460333097e-39,4.952051613863717e-22,1.698267365310917e-52,9.272725666755501e-32,1.3023165617646655e-34,1.477227471547777e-45,1.983373289032839e-61,1.0480126630667273e-59,5.3580240616690776e-48,1.0007362818797754e-63,5.446105088287156e-68,5.126632402154067e-72,1.0510690636041624e-70,6.432586325973476e-57,3.941835879560252e-53,2.241199397636484e-72,4.726337977479698e-47,1.4514754077927137e-53,9.793068010628697e-48,2.3258332945157386e-52,1.696865345379772e-62,7.990283789423467e-21,2.2473865889121247e-36,3.538840294699766e-51,4.31562560804486e-47,1.847469456730507e-35,2.1484458393436606e-41,3.425140370065365e-54,2.333190453564995e-31,5.191530841239688e-53,3.514171470349468e-46,1.5218256002690602e-62,3.2826324149153097e-56
1.2901381725119442e-20,0.954071303290966,1.2420156942335448e-22,5.747653883489468e-23,1.1774107799527223e-31,1.6036443689326974e-20,0.0,0.0,4.643312299329342e-18,4.897310294932896e-34,3.4749408811021993e-46,1.586883856773406e-47,1.0310244803421206e-52,6.0729200525172346e-58,1.8486355397926356e-39,7.150959042621693e-34,3.7285215317947224e-31,7.652675628419666e-47,2.2699372947744414e-54,2.7735715456217896e-51,5.432529984713639e-31,1.7698994849327555e-48,9.93873295927323e-22,2.0868450218200882e-61,1.9499949359053242e-47,7.203372959145113e-50,4.850249230596739e-47,9.182842266470048e-59,6.502416985436332e-76,9.940182747021079e-76,1.043245013801209e-61,4.04932825471571e-67,1.0105493265881285e-60,1.601864427671217e-74,3.76,0.0,0.9537873043763845,0.9999999999998933,7.611141973343036e-45,4.929013431597928e-45,1.529221590227085e-14,1.529221590227085e-14,6.135646134198986e-31,1.2851506486324472e-33,1.067356931370644e-13,7.755397724917384e-35,8.557463566792886e-36,4.643436500884107e-18,2.6707306548595798e-30,8.690607126183882e-33,6.55186057591466e-30,9.61266124540286e-16,2.2394287988812506e-34,1.176638414556107e-31,4.346964058579243e-31,6.396438201514964e-35,8.68424826329632e-32,2.090946019182347e-31,7.607593233182427e-38,1.0833881931810638e-38,9.938732959306128e-22,1.3669133215197208e-51,3.7285222076707716e-31,5.236557616868588e-34,1.1890011849864277e-44,3.194322319098167e-60,1.6925432497390024e-58,4.320566092942432e-47,1.6148422548613572e-62,8.770784350578403e-67,8.256283438334178e-71,1.692714324265683e-69,5.177505097449602e-56,3.172732451157011e-52,3.6093825375232e-71,3.804167986359397e-46,1.1682736837001116e-52,7.882313112583539e-47,1.8720329783435294e-51,2.7327493272880524e-61,1.6036443689197615e-20,9.036642630355123e-36,2.8483665413467045e-50,3.473590940282511e-46,7.42859343084936e-35,8.638806228227257e-41,2.7624995509900505e-53,9.381656196340587e-31,4.178595658321011e-52,2.8285109253424155e-45,2.4508532139528845e-61,2.6491006258438938e-55
2.584771599980376e-20,0.9540713032909687,2.488359098591217e-22,1.1515334435576993e-22,4.721943837456179e-31,3.212876348906942e-20,0.0,0.0,9.302803387157281e-18,1.9640404658244165e-33,2.78842122180649e-45,1.2733743570029552e-46,8.273322673279896e-52,4.8731358833584826e-57,7.413855337611543e-39,2.8678544105478002e-33,1.4953038964490022e-30,6.140790243125374e-46,1.82148172392077e-53,2.225616491927112e-50,2.1786874997123233e-30,1.4202328722822055e-47,1.991209565009879e-21,3.349848426469155e-60,1.5647481296683006e-46,5.7861408970185514e-49,3.895952433091385e-46,1.476112216059524e-57,2.093881876847952e-74,3.2007172764505645e-74,1.6746392910648045e-60,6.50716179838488e-66,1.624077914624528e-59,5.149548669284544e-73,3.76,0.0,0.9537873043763686,0.9999999999997862,6.107462100639393e-44,3.9552228604290507e-44,3.063771478677924e-14,3.0637714786779244e-14,2.4606685232700283e-30,5.154028898675631e-33,2.13843287639596e-13,3.110261356379739e-34,3.431925632265086e-35,9.303052223008355e-18,1.0710824439373073e-29,3.485322162159927e-32,2.6275891300637896e-29,1.925881608399504e-15,8.981111092573338e-34,4.718846306762898e-31,1.7433270101983886e-30,2.565257806555963e-34,3.4827719660481475e-31,8.385628735354413e-31,3.0509851444085905e-37,4.3448712118986696e-38,1.9912095650230727e-21,1.0968618553188352e-50,1.495304167505547e-30,2.100093815108933e-33,9.54098570271364e-44,5.127723563444329e-59,2.720713840867223e-57,3.470164839310055e-46,2.594728719312646e-61,1.4079051318268933e-65,1.3253163409285248e-69,2.717181370072641e-68,4.154621772731053e-55,2.5459179856645613e-51,5.793858330241467e-70,3.052605230878045e-45,9.37466055865817e-52,6.32505986205612e-46,1.502188568591654e-50,4.3866678829735145e-60,3.212876348855063e-20,3.624097868486534e-35,2.285634765611488e-49,2.787337970437161e-45,2.9791982177280763e-34,3.4645476778176716e-40,2.218989774151395e-52,3.76246373956148e-30,3.3530598318687156e-51,2.269701884186201e-44,3.93416219046973e-60,2.1368942800742913e-54
