Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651)
0.0,0.5965807421251488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.610412011766157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.369595106679281e-22,0.5965807421251488,1.9491094407245796e-27,2.0229540055674647e-30,6.688266473270372e-37,5.283615750912136e-42,0.0,0.0,1.638498228414664e-22,4.105755649693187e-41,4.3587420807919666e-54,1.0376575839023247e-55,1.0666423713201131e-63,7.146153379399542e-71,2.499095849263009e-49,3.3266405317742876e-41,8.206366522942937e-39,6.734860422445318e-56,1.4076466261298838e-68,2.1211932724499946e-67,3.001659547816436e-40,3.615291462824715e-61,3.8980218758454643e-28,6.828721679304721e-89,1.9318362750769502e-57,8.704970169383256e-63,1.1735381630014396e-60,9.995782722098151e-80,4.8129545842346136e-91,2.403277596544689e-92,2.7585764459126455e-73,5.066591470064771e-84,1.5553661080146467e-72,9.628762136486839e-117,3.76,0.0,0.610412011766157,0.9999999999999997,1.4140207301231997e-51,6.263818192192774e-55,4.947910918384555e-19,4.947910918384555e-19,4.936754656500047e-40,3.3483221267274404e-44,4.1230996868659027e-16,1.5692631599059008e-43,3.008712901072378e-45,1.638517719509061e-22,6.909111053759473e-37,6.491472871389058e-47,1.6830878644985177e-37,9.191185181208791e-21,1.2322971227560279e-42,6.688258535728989e-37,7.789694147965121e-40,6.239990073309053e-44,9.62057593072801e-41,2.3171206209954847e-38,1.3106709880045347e-70,1.2241157214394212e-60,3.8980218758458436e-28,7.151077039107042e-85,8.206366522949833e-39,1.503711831309709e-38,1.6645624339728615e-57,6.275308716044032e-75,4.743112247924582e-72,6.786437904892352e-57,8.66655985402379e-73,1.4366675060202502e-100
2.0634866298701985e-21,0.5965807421251488,5.457506434542991e-27,5.66427121559157e-30,4.039712949855292e-36,3.1913039138018437e-41,0.0,0.0,4.587795039561058e-22,2.479876412414685e-40,5.174698598316207e-53,1.2319070836087365e-54,1.2663178232512162e-62,8.48391329202188e-70,1.5094538929547087e-48,2.009290881191487e-40,4.956645379857508e-38,7.99562629352662e-55,1.6711580746257113e-67,2.518280653052597e-66,1.8130023668811274e-39,4.292074024665439e-60,1.0914461252366222e-27,3.262183105274659e-87,2.293476025771294e-56,1.3154950919977772e-61,1.7701821981225672e-59,3.1428340203963e-78,2.29920616040449e-89,1.1480745472242719e-90,6.170825166448488e-72,1.428859885418242e-82,4.889698184983984e-71,7.449512404389917e-115,3.76,0.0,0.610412011766157,0.9999999999999988,1.678725410802467e-50,7.436404957771224e-54,1.3854150571476753e-18,1.3854150571476753e-18,2.9817998125250366e-39,2.0223865645432218e-43,1.1544679123197723e-15,9.47834948583155e-43,1.817262592252136e-44,4.587849614625338e-22,4.1731030764706455e-36,3.92130944767978e-46,1.0165850701570983e-36,2.573531850738461e-20,7.443074621446359e-42,4.039708155580305e-36,4.7049752653708554e-39,3.768954004285199e-43,5.810827862159688e-40,1.399540855081262e-37,1.5562369288381448e-69,1.4532701844928675e-59,1.0914461252368505e-27,1.6617465253489082e-83,4.956645379861674e-38,9.082419461109652e-38,1.9761685216125738e-56,1.973057465263692e-73,1.4913103805291684e-70,8.104894201474645e-56,1.9497164809854266e-71,6.1529419991819925e-99
4.7165408682747396e-21,0.5965807421251488,1.2474300424236494e-26,1.294690563565046e-29,1.9449478904270075e-35,1.5364754607416208e-40,0.0,0.0,1.0486388661853838e-21,1.1939537429307776e-39,5.080549769371075e-52,1.209493679796229e-53,1.243278348072229e-61,8.329556379024222e-69,7.267370729654606e-48,9.673870666396884e-40,2.386411384871769e-37,7.850153308400836e-54,1.6407529076708458e-66,2.472462878367602e-65,8.728825965050194e-39,4.213983729068296e-59,2.4947340005403432e-27,1.69860526740045e-85,2.2517483622295048e-55,1.4151495904982082e-60,1.9031560040247813e-58,7.011489812838827e-77,1.1971918809528272e-87,5.978000365234823e-89,1.2192510655923992e-70,3.108082467745336e-81,1.0908343979599706e-69,8.118578923387903e-113,3.76,0.0,0.610412011766157,0.9999999999999973,1.6481825630318847e-49,7.301106484819791e-53,3.166662987766115e-18,3.166662987766115e-18,1.435608254108726e-38,9.736920744521121e-43,2.6387837995754145e-15,4.5634172690062284e-42,8.749337116383847e-44,1.0486513404857766e-21,2.0091694944331417e-35,1.888410061041123e-45,4.8944195099616e-36,5.882358515973624e-20,3.583520032974456e-41,1.9449455821899852e-35,2.26524305822814e-38,1.814589113327882e-42,2.797663480655656e-39,6.738186765854707e-37,1.5283639324434566e-68,1.4268292849097498e-58,2.4947340005414413e-27,3.338956035633759e-82,2.386411384873775e-37,4.3727940054471504e-37,1.9402139730387463e-55,4.401782667263699e-72,3.3270314220640114e-69,7.97848189345827e-55,3.8629572781821906e-70,2.4764230942021203e-97
1.0022649345083822e-20,0.5965807421251488,2.6507888411850216e-26,2.7512174475810964e-29,8.494098421053205e-35,6.710192007547589e-40,0.0,0.0,2.228357590643936e-21,5.2143096751103337e-39,4.493688735613204e-51,1.0697834626992668e-52,1.0996656192649165e-60,7.367398288017597e-68,3.173851728561721e-47,4.224833475350509e-39,1.0422085484137153e-36,6.943371701121235e-53,1.4512273662018354e-65,2.1868654161648133e-64,3.812107625726874e-38,3.727220886513367e-58,5.3013097511460604e-27,6.778678317356129e-84,1.9916459261529396e-54,1.3007662824747312e-59,1.7489204026683346e-57,1.3131744444290975e-75,4.777678522625925e-86,2.385663017568573e-87,2.1695921268867695e-69,5.761861508482273e-80,2.042989529670227e-68,6.641353321203794e-111,3.76,0.0,0.610412011766157,0.9999999999999943,1.4577988119280852e-48,6.457746003422843e-52,6.729158849002994e-18,6.729158849002994e-18,6.26967841373969e-38,4.2523691009415005e-42,5.6074155740438106e-15,1.9929642130803592e-41,3.82106538442904e-43,2.2283840985322115e-21,8.774571038273369e-35,8.251297963756346e-45,2.137521587913026e-35,1.2500011846443945e-19,1.565017345900081e-40,8.49408834037577e-35,9.892911567914489e-38,7.924787393200927e-42,1.2218131432024052e-38,2.9427431886640994e-36,1.3526056023264103e-67,1.2620143441751037e-57,5.301309751150855e-27,5.989504687031588e-81,1.0422085484145916e-36,1.9097140257617995e-36,1.716097286928618e-54,8.24405178105898e-71,6.2311616437398046e-68,7.065236245149395e-54,6.882565410800493e-69,8.911438313921605e-96
2.0634866298701984e-20,0.5965807421251488,5.45750644199845e-26,5.664271215630285e-29,3.5461188841278015e-34,2.8013730746338745e-39,0.0,0.0,4.58779503956103e-21,2.176871645467315e-38,3.7772161473408816e-50,8.99217459687189e-52,9.243352129412488e-60,6.192742180118783e-67,1.3250206192771773e-46,1.7637848099441738e-38,4.351015530464009e-36,5.8363222843189335e-52,1.2198440448093512e-64,1.8381921508123845e-63,1.5914798922522743e-37,3.1329537370197656e-57,1.0914461252350596e-26,2.4092470449156753e-82,1.6740984066005725e-53,1.1128329404973477e-58,1.496082620716647e-56,2.2681822898310425e-74,1.6980617767496642e-84,8.479020016004168e-86,3.659334236244976e-68,9.903169235380556e-79,3.528737714551332e-67,4.779785330447094e-109,3.76,0.0,0.610412011766157,0.9999999999999885,1.2253677403932997e-47,5.428124624262789e-51,1.3854150571476755e-17,1.3854150571476755e-17,2.617467318862491e-37,1.7752803915887746e-41,1.1544679122809057e-14,8.320233273819878e-41,1.5952195802087976e-42,4.587849614624881e-21,3.6632106807022296e-34,3.448193591793498e-44,8.923731857570324e-35,2.5735318507384573e-19,6.533639344851798e-40,3.5461146756434708e-34,4.130095837250013e-37,3.3084427369566745e-41,5.100829358471524e-38,1.2285373532516563e-35,1.1382671152935227e-66,1.0607990983477113e-56,1.0914461252370617e-26,1.0149738478720436e-79,4.35101553046767e-36,7.972680129590307e-36,1.4424831722818613e-53,1.423954930089089e-69,1.0762782158814721e-66,5.942071143886493e-53,1.1615363657317487e-67,3.0254260908188064e-94
4.185930020593831e-20,0.5965807421251488,1.1070941656788046e-25,1.1490378751797014e-28,1.4487052711761299e-33,1.1444523090741254e-38,0.0,0.0,9.306669937395168e-21,8.893230967461323e-38,3.0967900073773048e-49,7.372328018810698e-51,7.578258537554693e-59,5.077184188971614e-66,5.4131415733201186e-46,7.205636457422757e-38,1.7775318143352472e-35,4.7849696244200557e-51,1.000101848640976e-63,1.5070609841275482e-62,6.501714646952313e-37,2.568584758700226e-56,2.2140764254732074e-26,8.115005406100012e-81,1.372527018496011e-52,9.201117952889789e-58,1.2369292036221138e-55,3.768618799752824e-73,5.71953972603664e-83,2.8559674614559087e-84,6.010467471320439e-67,1.6413781597877389e-77,5.863035109506077e-66,3.239880289665823e-107,3.76,0.0,0.610412011766157,0.9999999999999766,1.004630507174954e-46,4.450304520446617e-50,2.810413401642427e-17,2.810413401642427e-17,1.0693208056048235e-36,7.252599659358808e-41,2.3419206219653353e-14,3.3990867748815544e-40,6.516992492747937e-42,9.306780646809412e-21,1.4965410906876341e-33,1.411510081658644e-43,3.645635638017678e-34,5.220593182926578e-19,2.6692048597739076e-39,1.4487035518730091e-33,1.6872789112249115e-36,1.351606809913568e-40,2.083855228899014e-37,5.018975949899796e-35,9.353858306636119e-66,8.697071916073279e-56,2.214076425481387e-26,1.6737147657951446e-78,1.7775318143367456e-35,3.2570999750784237e-35,1.182634855799045e-52,2.365922413390157e-68,1.7882523526962383e-65,4.8729878485467886e-52,1.9083792396586433e-66,9.98663106598772e-93
8.430816802041096e-20,0.5965807421251488,2.2297812139018195e-25,2.314259382440387e-28,5.855898334137896e-33,4.6260592278572345e-38,0.0,0.0,1.8744419733063256e-20,3.594786147577484e-37,2.5078608376768242e-48,5.970302370127024e-50,6.137070246651431e-58,4.111635391097505e-65,2.1880783726161103e-45,2.9126334642961285e-37,7.185067796427306e-35,3.874992460562802e-50,8.099084077705848e-63,1.2204570581405047e-61,2.6280970137715853e-36,2.080106532651425e-55,4.4593370259384665e-26,2.663425686928094e-79,1.1115079647430694e-51,7.482196311099371e-57,1.0058262208259426e-54,6.14379979929161e-72,1.8772102074603509e-81,9.373571174640899e-83,9.74322677962132e-66,2.6725604145372652e-76,9.558214447536207e-65,2.1332783811848625e-105,3.76,0.0,0.610412011766157,0.9999999999999528,8.13575831515045e-46,3.60397198259352e-49,5.660410090631931e-17,5.660410090631931e-17,4.3223656658929586e-36,2.9316167413972356e-40,4.7168260410597154e-14,1.3739652211284516e-39,2.634272563526603e-41,1.874464271117525e-20,6.04925836488974e-33,5.728271199766457e-43,1.47362421358538e-33,1.0514715847302797e-18,1.078935281234335e-38,5.855891384440179e-33,6.820251131854954e-36,5.46341082931807e-40,8.423276014993792e-37,2.028750325470315e-34,7.610074264865437e-65,7.043114324450528e-55,4.459337025971529e-26,2.727447440175226e-77,7.185067796433378e-35,1.316571886469964e-34,9.57728368105183e-52,3.85705066181015e-67,2.9153026661817094e-64,3.9467980373931454e-51,3.0940064573819733e-65,3.2560602825352823e-91
1.6920590364935626e-19,0.5965807421251488,4.475155331408235e-25,4.644702397071122e-28,2.354630964979892e-32,1.8601180793445768e-37,0.0,0.0,3.761991932439866e-20,1.4454476994970152e-36,2.0185445811239025e-47,4.805418752017544e-49,4.93964805289237e-57,3.309401866916059e-64,8.798166901047441e-45,1.171157105758839e-36,2.8890841598662565e-34,3.1189310489735607e-49,6.5188474918548755e-62,9.823300177549056e-61,1.0567462504469675e-35,1.6742507026546342e-54,8.949858226824835e-26,8.630988784699146e-78,8.946383090310767e-51,6.034662386253955e-56,8.112257126123252e-54,9.922253104288221e-71,6.083211312459317e-80,3.0375614825178056e-81,1.569116636158461e-64,4.3135283870257016e-75,1.543653173548318e-63,1.3847279630218143e-103,3.76,0.0,0.6104120117661569,0.9999999999999053,6.548366087008883e-45,2.9007901900667217e-48,1.1360403468610936e-16,1.1360403468610936e-16,1.7380042237613208e-35,1.1787901979909613e-39,9.466636878150563e-14,5.5246537249683075e-39,1.0592294120134463e-40,3.762036683989401e-20,2.4323801829143513e-32,2.3215854685109423e-42,5.9253781504770056e-33,2.1102961176055145e-18,4.338351312543777e-38,2.3546281705373183e-32,2.7423929835615366e-35,2.196813465765277e-39,3.3869622387138755e-36,8.157515831031014e-34,6.181716651817083e-64,5.668911145412442e-54,8.949858226957777e-26,4.432751052654069e-76,2.8890841598687138e-34,5.293877650521306e-34,7.70863111135814e-51,6.229147121526244e-66,4.708221592074496e-63,3.176936587394329e-50,4.983155038926488e-64,1.0584738391442782e-89
3.390013749072469e-19,0.5965807421251488,8.965903650662596e-25,9.305588426770037e-28,9.44312330400487e-32,7.459905536291832e-37,0.0,0.0,7.537091850706637e-20,5.796891767267345e-36,1.6197549028540482e-46,3.8560459137469023e-48,3.9637564828520237e-56,2.655586579296061e-63,3.528458434905141e-44,4.6968638068527225e-36,1.158651965552873e-33,2.502745743364828e-48,5.230964604407406e-61,7.882579742631538e-60,4.238025105604738e-35,1.3434807482514042e-53,1.7930900628420977e-25,2.7793158254787255e-76,7.178909006421304e-50,4.847369007941229e-55,6.516167900023497e-53,1.5949732130899918e-69,1.9588909706788247e-78,9.7814319696523e-80,2.5187797079338433e-63,6.9317407189938424e-74,2.481376577863228e-62,8.924932684221653e-102,3.76,0.0,0.6104120117661568,0.9999999999998103,5.254651383131699e-44,2.3277014421420453e-47,2.2760390224568946e-16,2.2760390224568946e-16,6.970174278354994e-35,4.727475920697528e-39,1.8966258547940605e-13,2.2156332398866937e-38,4.247983695479373e-40,7.537181509727994e-20,9.75493244208927e-32,9.457160710454423e-42,2.376341657354561e-32,4.227945183355947e-18,1.7398729138334966e-37,9.443112097042813e-32,1.0998222429297318e-34,8.810204548563215e-39,1.358323343311799e-35,3.27152870205301e-33,5.051060556714484e-63,4.548944178634478e-53,1.7930900628954141e-25,7.24028954236623e-75,1.1586519655538702e-33,2.1230817122925426e-33,6.185690994231999e-50,1.0013172068613776e-64,7.5683286972220445e-62,2.5493755414049388e-49,7.999349791901705e-63,3.457223893919631e-88
