Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783)
0.0,0.5268101390438068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9528263040047424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.242356090461208e-21,0.5268101390438068,5.512970943658314e-29,1.6516912441567416e-33,2.253060040277442e-37,5.678605053624005e-43,0.0,0.0,2.158920231435471e-23,8.101439169434685e-42,6.4347691942200486e-55,1.110537342997475e-56,2.805370304213694e-66,1.355569743947086e-74,1.4433530909939199e-52,5.899031832403257e-43,1.929824387122055e-40,5.770989362698266e-57,4.0124616182419234e-73,4.576362167150094e-72,7.601575658757238e-43,1.5515976985287495e-64,1.081416047802668e-30,6.665147432643448e-90,3.3441984188496845e-59,3.138508498027884e-66,2.5609267749229786e-64,1.0745591066044075e-82,3.2106820190243472e-93,3.7568426815373394e-95,8.39657606232823e-75,2.5748397499658803e-88,9.370017894340763e-74,8.648405242582391e-120,3.76,0.0,0.9528263040047424,0.9999999999999996,2.932959154166229e-51,3.5423875254344315e-56,4.2386637531937253e-20,4.2386637531937253e-20,1.647502996959737e-42,1.134061375608191e-47,4.2426406447218167e-16,8.274027530503113e-46,6.045579332114156e-48,2.1589257444063997e-23,8.121736433463737e-38,1.5826215026005658e-48,1.3688065835863875e-38,2.575089866992163e-22,9.120646502123199e-45,2.2530596175503547e-37,7.629342363245453e-42,2.308735020969052e-46,6.7919227020706116e-43,1.4150666326186247e-39,2.2710961771108354e-73,1.0956908687816852e-62,1.0814160478032951e-30,8.967084533873194e-87,1.9298243871220563e-40,3.318688891493806e-38,2.8226077229939747e-60,1.1614923807635906e-76,1.4941909119888953e-74,3.962879822168401e-58,4.283286644341202e-73,1.502152410485903e-101,5.48075977456352e-106,4.543654961142295e-109,3.072266556258396e-92,3.728594282373069e-73
1.1878597053291383e-20,0.5268101390438068,1.5436318643578068e-28,4.624735483776224e-33,1.3608482643275561e-36,3.429877452636412e-42,0.0,0.0,6.044976648019318e-23,4.89326925833855e-41,7.639357987377974e-54,1.31842993360591e-55,3.3305356252453096e-65,1.6093324000124958e-73,8.717852669597862e-52,3.563015226769525e-42,1.1656139298217146e-39,6.851318571392416e-56,4.763594438513235e-72,5.4330571648400714e-71,4.591351697889373e-42,1.8420567876931668e-63,3.0279649338455597e-30,3.184032125505284e-88,3.970232362858185e-58,4.7429140423512756e-65,3.862749681744554e-63,3.378585760717943e-81,1.5337813286765902e-91,1.7946888310849035e-93,1.8782804788383322e-73,7.261550521617176e-87,2.9460762239264456e-72,7.604718356991146e-118,3.76,0.0,0.9528263040047424,0.9999999999999988,3.4820091078261096e-50,4.205522470195737e-55,1.1868258508942432e-19,1.1868258508942432e-19,9.950918101626953e-42,6.849730708672494e-47,1.1879393805059833e-15,4.997512628423489e-45,3.651529916671633e-47,6.044992084337876e-23,4.90552880581198e-37,9.567632200113008e-48,8.267591764861733e-38,7.21025162757805e-22,5.508870487282174e-44,1.3608480090004124e-36,4.608122787400161e-41,1.3944759526775556e-45,4.102321312050611e-42,8.547002461016312e-39,2.698763828099247e-72,1.3008041994176058e-61,3.027964933849347e-30,2.0163399577813235e-85,1.1656139298217154e-39,2.0044880904619735e-37,3.350999888738394e-59,3.651917883901627e-75,4.6979752977846855e-73,4.706538683681155e-57,9.585057947468196e-72,6.230151088310588e-100,2.2731356176565268e-104,1.8844730204120027e-107,6.8786697695371e-91,4.4302334489088044e-72
2.715107897895173e-20,0.5268101390438068,3.5283014048756727e-28,1.0570823963564577e-32,6.551898597126516e-36,1.6513383499651296e-41,0.0,0.0,1.3817089481187018e-22,2.3558985104716075e-40,7.5003669727826755e-53,1.2944423269957083e-54,3.269939626847505e-64,1.5800520935401202e-72,4.1972707886021966e-51,1.7154384568598024e-41,5.611929317750834e-39,6.726665201151897e-55,4.676925278519187e-71,5.334207742028533e-70,2.2105382015666054e-41,1.808542277404599e-62,6.921062705923697e-30,1.6579153098588784e-86,3.897997677010693e-57,5.102210495508041e-64,4.152848977519572e-62,7.537438977260111e-80,7.986367579809789e-90,9.344907535678963e-92,3.7111657088522426e-72,1.5795867783204056e-85,6.572530414766401e-71,8.2729170712377e-116,3.76,0.0,0.9528263040047424,0.9999999999999972,3.418657190096027e-49,4.1290068996463054e-54,2.7127448020439843e-19,2.7127448020439843e-19,4.790938715144128e-41,3.297850480267146e-46,2.7152900125090865e-15,2.4060872058697185e-44,1.7580544698898386e-46,1.3817124764200648e-22,2.361800954851079e-36,4.615160816170828e-47,3.980489545069141e-37,1.6480575148749794e-21,2.652284002817068e-43,6.551897367836403e-36,2.218612759231639e-40,6.713801441158225e-45,1.975091121762074e-41,4.115013767654687e-38,2.654996888603442e-71,1.2771372766518985e-60,6.921062705941932e-30,3.9993764312351214e-84,5.611929317750841e-39,9.65074729645971e-37,3.290031561921614e-58,8.14722790726226e-74,1.0480924453722408e-71,4.621699738218977e-56,1.894185031800329e-70,2.474191632598177e-98,9.027346279787862e-103,7.483843189149611e-106,1.361760972752814e-89,4.3573530778405056e-71
5.769604283027242e-20,0.5268101390438068,7.497640488047064e-28,2.2463000925338828e-32,2.861386251152056e-35,7.211828421938932e-41,0.0,0.0,2.936131514752241e-22,1.0288827745182054e-39,6.63398964847265e-52,1.1449195791321636e-53,2.892224569369104e-63,1.3975381832100208e-71,1.8330584255538852e-50,7.491770427120464e-41,2.450876971644904e-38,5.949659193348074e-54,4.136687463965059e-70,4.718046339841662e-69,9.654001086621693e-41,1.599635163274125e-61,1.4707258250049392e-29,6.616299715656797e-85,3.447734801896222e-56,4.68981047937096e-63,3.816269970689175e-61,1.411678902299339e-78,3.18714965137248e-88,3.729307284797409e-90,6.603821092075762e-71,2.9284393581700344e-84,1.2309619411866956e-69,6.760039709860658e-114,3.76,0.0,0.9528263040047424,0.9999999999999941,3.023763569578933e-48,3.652059843221736e-53,5.764582704343466e-19,5.764582704343466e-19,2.0923288061235847e-40,1.44025794702088e-45,5.769991276257288e-15,1.0508014963732895e-43,7.677885752927832e-46,2.936139012392547e-22,1.0314605270497119e-35,2.0232567111313767e-46,1.7383843611546346e-36,3.502122219109317e-21,1.1583221057692751e-42,2.86138571428892e-35,9.689264801320287e-40,2.932093476815291e-44,8.625741831629052e-41,1.79713462342537e-37,2.357804402336543e-70,1.1296134580790936e-59,1.470725825012903e-29,7.150777775968565e-83,2.450876971644909e-38,4.21473489219271e-36,2.9099956580975256e-57,1.5258856199120705e-72,1.9629611554044204e-70,4.08815567654918e-55,3.3708762421202935e-69,8.872208840840318e-97,3.237117950661653e-101,2.6836328613953685e-104,2.4326612275432956e-88,3.8677690841940647e-70
1.1878597053291381e-19,0.5268101390438068,1.543631866293248e-27,4.6247354857677527e-32,1.1945724333548339e-34,3.0107964028842475e-40,0.0,0.0,6.044976648019321e-22,4.295383047634272e-39,5.576268027403165e-51,9.623738928359355e-53,2.431089020680294e-62,1.1747150509711033e-70,7.652658088374225e-50,3.127666677511701e-40,1.0231928900520185e-37,5.001047045849444e-53,3.4771351005502154e-69,3.9658022322514295e-68,4.030355414273088e-40,1.3445897399798878e-60,3.0279649338178465e-29,2.3515357919706296e-83,2.8980288425985307e-55,4.012231603501704e-62,3.2645507022195085e-60,2.4383242450457557e-77,1.1327629044437165e-86,1.325454218841413e-88,1.1138309506555666e-69,5.0337605214785346e-83,2.1261804151978883e-68,4.862935060615208e-112,3.76,0.0,0.9528263040047424,0.999999999999988,2.5416554756534675e-47,3.0697763513408055e-52,1.186825850894243e-18,1.186825850894243e-18,8.735060889742993e-40,6.012793413460927e-45,1.1879393802721677e-14,4.386889396667298e-43,3.205366162913533e-45,6.0449920843372235e-22,4.306144657020828e-35,8.511005832246098e-46,7.257412506174327e-36,7.210251627577944e-21,4.8357667754223795e-42,1.1945722092251705e-34,4.045077320991443e-39,1.2240913082832271e-43,3.6010774166372768e-40,7.502683286141393e-37,1.9978409827304952e-69,9.495081758321763e-59,3.027964933851093e-29,1.215993864316997e-81,1.0231928900520222e-37,1.7595688502660342e-35,2.4460266910223885e-56,2.635587947443392e-71,3.3905272415159894e-69,3.436465909249057e-54,5.685695615974522e-68,3.0220229565202664e-95,1.1026166014904249e-99,9.140903082322328e-103,4.135032636377712e-87,3.2742067961755885e-69
2.4096582593819664e-19,0.5268101390438068,3.1313675046873863e-27,9.381606275751571e-32,4.880218169640297e-34,1.2300085719585442e-39,0.0,0.0,1.2262666914553483e-21,1.7548041298562314e-38,4.571761432788137e-50,7.890122615212517e-52,1.9931536602220723e-61,9.631023720646429e-70,3.1263605291525142e-49,1.2777538910017393e-39,4.180076815481048e-37,4.100160518692365e-52,2.8507654891475467e-68,3.251404273673005e-67,1.646531693989453e-39,1.1023759055241776e-59,6.142443151394731e-29,7.920619012797037e-82,2.375979136688373e-54,3.3173906802525926e-61,2.6990573531853943e-59,4.051312204931232e-76,3.8154574355676114e-85,4.464494851432781e-87,1.8294706810725158e-68,8.344817705727157e-82,3.5326803784148544e-67,3.2955466687722733e-110,3.76,0.0,0.9528263040047424,0.9999999999999758,2.0838027192960903e-46,2.516788120904149e-51,2.407561011814036e-18,2.407561011814036e-18,3.568557391418222e-39,2.456422302010765e-44,2.4098198851522398e-14,1.7921874592124796e-42,1.3094966665216377e-44,1.2262698228225423e-21,1.7592005984325858e-34,3.529576289047242e-45,2.9648898123108636e-35,1.462651044451501e-20,1.9755685149430658e-41,4.880217253998535e-34,1.6525460732473213e-38,5.000812406217603e-43,1.4711576249588263e-39,3.065090928915078e-36,1.664130822448214e-68,7.784641694147806e-58,6.142443151530557e-29,2.028575019619118e-80,4.180076815481076e-37,7.188412886497525e-35,2.005400464007638e-55,4.3790687932286555e-70,5.633411719804543e-68,2.8174720112978127e-53,9.338948034215363e-67,1.0089128102913904e-93,3.681123638287386e-98,3.0517220914964464e-101,6.896910766725815e-86,2.7222972128655938e-68
4.853255367487622e-19,0.5268101390438068,6.306838795143881e-27,1.8895347869783529e-31,1.9726622121429805e-33,4.971891321537468e-39,0.0,0.0,2.4698047447621825e-21,7.093198861920208e-38,3.7023309391901696e-49,6.389625858925394e-51,1.6141075114331687e-60,7.79945270988167e-69,1.2637249120609352e-48,5.1648855225984685e-39,1.6896538824952762e-36,3.3204162918271947e-51,2.3086238917605715e-67,2.6330714791600466e-66,6.655544364873583e-39,8.927325893161191e-59,1.2371399586352782e-28,2.5996262841624967e-80,1.9241295063065754e-53,2.6976470098326257e-60,2.194774701250006e-58,6.604661404060897e-75,1.2522713342781812e-83,1.465291912934122e-85,2.965650811248442e-67,1.3593002352771795e-80,5.759160471666672e-66,2.1697180751813435e-108,3.76,0.0,0.9528263040047424,0.9999999999999514,1.6875174683190974e-45,2.0381602724462945e-50,4.849031333653622e-18,4.849031333653622e-18,1.4424679538863171e-38,9.929251692814578e-44,4.853580893261162e-14,7.24430825623897e-42,5.293194900213741e-44,2.469811051599722e-21,7.110970090834846e-34,1.469198112121273e-44,1.1984558666454046e-34,2.9459028078388395e-20,7.985563803617702e-41,1.9726618420267845e-33,6.679855447445806e-38,2.0214083312880377e-42,5.946654337948603e-39,1.238958760054187e-35,1.3900599209229563e-67,6.304204674384495e-57,1.2371399586901811e-28,3.3888901009596644e-79,1.6896538824952976e-36,2.9056714215418844e-34,1.6240252892706377e-54,7.13898735285751e-69,9.183882897775145e-67,2.2816816833303756e-52,1.5138977825768955e-65,3.370853265799665e-92,1.2298909787885055e-96,1.0196032078868555e-99,1.1520960828314605e-84,2.2659806960534037e-67
9.740449583698933e-19,0.5268101390438068,1.2657781430729747e-26,3.7922831114104704e-31,7.931987994183314e-33,1.9991756430533967e-38,0.0,0.0,4.956880851375856e-21,2.852144065356165e-37,2.979958035370544e-48,5.142926775961671e-50,1.2991741516140532e-59,6.277678077560758e-68,5.081382290541015e-48,2.0767777525638591e-38,6.794023947833289e-36,2.6725599012708196e-50,1.8581814947840096e-66,2.119324998455388e-65,2.676165116968121e-38,7.185488538571159e-58,2.482931245548603e-28,8.424243276924496e-79,1.5487068221549827e-52,2.175750046407017e-59,1.7701438610975518e-57,1.0666545847029975e-73,4.058059729632762e-82,4.748365582816215e-84,4.776089205551119e-66,2.1957334345395595e-79,9.301059425933632e-65,1.4083194184400521e-106,3.76,0.0,0.9528263040047424,0.9999999999999025,1.3582608692037441e-44,1.6404887032004362e-49,9.731971977332794e-18,9.731971977332794e-18,5.800100200139695e-38,3.992508435206259e-43,9.741102902874114e-14,2.9129044881929446e-41,2.1283703919780038e-43,4.956893509152239e-21,2.859289798337345e-33,6.249260362058975e-44,4.818938329775247e-34,5.912406334613218e-20,3.210960083639615e-40,7.931986505969155e-33,2.6859404963426947e-37,8.127994000034281e-42,2.3911235549515885e-38,4.981798682784696e-35,1.1871017985729325e-66,5.074172375352958e-56,2.4829312457693657e-28,5.780552983355375e-78,6.794023947833457e-36,1.1683576989834641e-33,1.3071568398105894e-53,1.1529483644063137e-67,1.4831995394472471e-65,1.8365038298617826e-51,2.4380969525798877e-64,1.1492471275012944e-90,4.193148034003003e-95,3.4762001353239767e-98,1.9651758732492094e-83,1.9226891344824512e-66
1.951483801612156e-18,0.5268101390438068,2.5359666920592968e-26,7.5977797827776114e-31,3.1810819524953716e-32,8.017588560695291e-38,0.0,0.0,9.931033064603225e-21,1.1438373354689862e-36,2.391228652180023e-47,4.126874847192615e-49,1.042505441123479e-58,5.03744130224078e-67,2.0378615687120415e-47,8.328807648681992e-38,2.7247074732269626e-35,2.144561008697124e-49,1.4910738515974575e-65,1.70062484081138e-64,1.0732619063145394e-37,5.765902025869879e-57,4.974513819062107e-28,2.7127405177742874e-77,1.242739690623514e-51,1.747680766067852e-58,1.4218672586567898e-56,1.7146161041300516e-72,1.3067598928497907e-80,1.5290493767011655e-82,7.666680918972484e-65,3.534325640131638e-78,1.49511812833464e-63,9.076863047284642e-105,3.76,0.0,0.9528263040047424,0.9999999999998048,1.089918807252397e-43,1.316388869947557e-48,1.949785326469114e-17,1.949785326469114e-17,2.326099595763638e-37,1.6011744517906037e-42,1.9516146895680458e-13,1.1682049825904083e-40,8.53571723216887e-43,9.931058424249902e-21,1.1467030939913956e-32,2.7802909318314314e-43,1.9326098025229176e-33,1.1845413388160779e-19,1.2877386072316762e-39,3.181081355660377e-32,1.0771822706553112e-36,3.259689131195015e-41,9.58947491149168e-38,1.997924088182779e-34,1.0621243066559067e-65,4.071703771001771e-55,4.974513819947462e-28,1.0314920882458611e-76,2.7247074732270973e-35,4.6856369335855435e-33,1.048911042083398e-52,1.8533308226307795e-66,2.384199935743524e-64,1.4736818259894975e-50,3.913694559466288e-63,4.096098271840002e-89,1.494504184773077e-93,1.2389726305659877e-96,3.506923043613655e-82,1.7014480305587801e-65
