Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82)
0.0,0.5408312095348582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6072800264127487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9209689797673615e-21,0.5408312095348582,3.0542726641428345e-28,6.297339864040401e-32,4.060445938434721e-37,2.7162056997876e-29,0.0,0.0,5.2517922208508963e-23,1.4134462322070563e-41,1.9339295704496317e-54,4.0282058069452796e-56,6.419254777265007e-65,1.1537231937382685e-72,6.298517079091794e-51,4.6680493435432566e-42,1.2448424277502705e-39,2.2547086140263575e-56,8.436659049719079e-71,1.0009934259554516e-69,1.4520499992444328e-41,7.861720710508512e-63,1.9212232128103723e-29,3.471206905269311e-74,2.8279281969961256e-58,1.7892117976811476e-64,1.5184943084924188e-62,1.2029956908638862e-74,4.525033291595275e-92,1.0461819174508956e-93,5.9713230720494234e-74,3.5023392074578194e-86,4.040274977838139e-73,5.492414315227362e-89,3.76,0.0,0.6072800264127487,0.9999999999999996,1.8844738432691925e-51,1.2921327412774149e-55,1.2796425421076629e-19,1.2796425421076629e-19,2.739566760521959e-41,5.98853904627819e-46,4.555216430051817e-16,1.1347878352031838e-44,1.3223706610581972e-46,5.2518227635775056e-23,2.3464232047561525e-37,5.57041070985314e-44,3.4418315640395746e-38,1.399473896967178e-21,1.0706781664168897e-43,4.060206894766071e-37,6.083248314223106e-41,3.726479630311223e-45,6.394058431449324e-42,5.685540312238378e-39,4.1802120771280493e-50,2.893752105375312e-51,1.9212232128108714e-29,6.607534881768633e-64,1.2448424277506152e-39,2.257647185126956e-38,4.917779859695856e-59,8.38124520582654e-76,3.1613954868771464e-73,1.8729619887416366e-57,7.943280553652468e-73,4.481314115542841e-79,2.0026428907489025e-83,5.9253801961849994e-86,3.342954275135451e-69,5.3762057416369795e-68,1.9643102963085986e-83,9.647327714407385e-55,1.6538897966047774e-61,1.1993385288925236e-53,6.468877484163064e-60,3.7642481057348946e-81,2.7162056997861485e-29,2.3715815042687746e-41,1.1857678546202303e-61,9.893422375975454e-55,1.1338912694452875e-46
5.378713143348612e-21,0.5408312095348582,8.551963460405317e-28,1.763255161937482e-31,2.4525093468145584e-36,7.605375959405743e-29,0.0,0.0,1.4705018218382504e-22,8.537215242530617e-41,2.2959611860377836e-53,4.782285934390472e-55,7.620939289389553e-64,1.3697001756054977e-71,3.8043043157703673e-50,2.8195018034988395e-41,7.518848263611597e-39,2.676790066571239e-55,1.0016001626192539e-69,1.1883793952942627e-68,8.770381995436373e-41,9.333434827515327e-62,5.379424995867531e-29,7.764950998810984e-73,3.3573163554736815e-57,2.7038568686645853e-63,2.2905286503645818e-61,3.7824109313865334e-73,2.161662703809877e-90,4.997814516428847e-92,1.3357610859250604e-72,9.877162539792439e-85,1.2703061419162929e-71,3.1632981568853676e-87,3.76,0.0,0.6072800264127487,0.9999999999999988,2.2372473467292047e-50,1.53401999044454e-54,3.582999117901456e-19,3.582999117901456e-19,1.6546983233542287e-40,3.617077583951612e-45,1.2754606004067029e-15,6.854118524627006e-44,7.987118792851518e-46,1.4705103738016911e-22,1.4172396156726915e-36,3.364528218218389e-43,2.07886626467989e-37,3.9185269115080976e-21,6.4668961251578975e-43,2.4523649644387047e-36,3.6742819817907e-40,2.2507936967174936e-44,3.8620112925953815e-41,3.4340663485919367e-38,2.524848094584128e-49,1.747826271701351e-50,5.379424995870546e-29,7.844465411634293e-63,7.51884826361368e-39,1.3636188998164938e-37,5.83838824943089e-58,2.63511853845596e-74,9.93993323395751e-72,2.226710551010036e-56,1.7792695403225688e-71,1.0024520423902848e-77,4.479832040885009e-82,1.3254838483657189e-84,3.968755315431443e-68,6.382631716183275e-67,4.3940835604009017e-82,1.1453307462500944e-53,1.9634979666012323e-60,1.4238547015011273e-52,7.679851349186583e-59,8.420472442604674e-80,7.605375959396975e-29,1.4324352285783322e-40,1.407743597000351e-60,1.1745471044757864e-53,6.848703267449501e-46
1.2294201470511113e-20,0.5408312095348582,1.9547345056151803e-27,4.0302975130290474e-31,1.1807776788967978e-35,1.7383716478643876e-28,0.0,0.0,3.36114702134457e-22,4.110301643258116e-40,2.2541883073160317e-52,4.695276689769037e-54,7.482283423622052e-63,1.3447797546195444e-70,1.831608766598279e-49,1.3574687491004483e-40,3.6200017798977284e-38,2.62808836050648e-54,9.83376979552747e-69,1.1667579372935212e-67,4.222561397802811e-40,9.163621660167559e-61,1.2295828561975797e-28,1.5342234667494394e-71,3.296233106418315e-56,2.9086858352834458e-62,2.462593500376517e-60,8.438350717788401e-72,1.1255732882758667e-88,2.602318633365921e-90,2.6392388107929306e-71,2.1485011307415098e-83,2.833972887224386e-70,1.4185502588456102e-85,3.76,0.0,0.6072800264127487,0.9999999999999971,2.1965427117145814e-49,1.5061099232329323e-53,8.189712269489043e-19,8.189712269489043e-19,7.966660139582338e-40,1.741467154657076e-44,2.915338515178521e-15,3.2999630247705246e-43,3.845453882446233e-45,3.36116656868953e-22,6.82339867943052e-36,1.6198756586259313e-42,1.0008846188226888e-36,8.956632940589933e-21,3.11353210794014e-42,1.1807081649979704e-35,1.7690086097759953e-39,1.083660276508505e-43,1.859392191865448e-40,1.6533551227988538e-37,1.2156056720270162e-48,8.415031123251343e-50,1.229582856199032e-28,7.701742658185089e-62,3.6200017798987317e-38,6.565238014346372e-37,5.732164204461396e-57,5.878754772199391e-73,2.2175444249619547e-70,2.1875692048028987e-55,3.5178406150363624e-70,1.9806763081454962e-76,8.85139319650456e-81,2.618932721238378e-83,3.896547503068851e-67,6.266506217553156e-66,8.681968648814977e-81,1.1244925183778397e-52,1.9277739471458557e-59,1.3979489892768888e-51,7.540123595503875e-58,1.6637434575620667e-78,1.7383716478601663e-28,6.896559014413483e-40,1.3821310113305011e-59,1.1531773121436387e-52,3.297355811546841e-45
2.6125178124836115e-20,0.5408312095348582,4.153810826053086e-27,8.564382215310913e-31,5.156766341811892e-35,3.6940397517127534e-28,0.0,0.0,7.142437420357203e-22,1.795076714902958e-39,1.993804029950628e-51,4.152919061234905e-53,6.617995021175543e-62,1.1894424638126646e-69,7.999116690429892e-49,5.9284226662799855e-40,1.5809498832427827e-37,2.3245143927110624e-53,8.697858028835782e-68,1.0319841824227097e-66,1.84410349904043e-39,8.105119583703415e-60,2.612863569416813e-28,2.7300686858349266e-70,2.9154808539743517e-55,2.6735834051019876e-61,2.26302114875426e-59,1.5804097004049864e-70,4.4918675198328235e-87,1.0385123702648897e-88,4.6963844498157445e-70,3.982968396047521e-82,5.307709967686567e-69,5.3369327135672545e-84,3.76,0.0,0.6072800264127487,0.9999999999999938,1.9428171534567785e-48,1.3321371709473158e-52,1.7403138572664214e-18,1.7403138572664214e-18,3.4792497858468504e-39,7.605444588766876e-44,6.1950943445972615e-15,1.4411805507076987e-42,1.6794107396353978e-44,7.14247895846504e-22,2.979957470039932e-35,7.074423918253415e-42,4.371126086330062e-36,1.9032844998753576e-20,1.3597612713492683e-41,5.156462756352875e-35,7.72572535906248e-39,4.732629130638665e-43,8.120454207940479e-40,7.220636196542054e-37,5.3088693379338086e-48,3.675065174673913e-49,2.6128635694231564e-28,6.812104161698884e-61,1.5809498832432212e-37,2.8672119251083234e-36,5.070034324151847e-56,1.1010221084454844e-71,4.1532152874184905e-69,1.9354249034180317e-54,6.261678990157322e-69,3.524507663212923e-75,1.5750581264983983e-79,4.66025084840381e-82,3.446452139432677e-66,5.542654762105777e-65,1.5449099334303874e-79,9.94600898016225e-52,1.7050942251766486e-58,1.2364700497465397e-50,6.66915393099591e-57,2.9605425892597482e-77,3.6940397516943177e-28,3.011908510421227e-39,1.2224792273681094e-58,1.0199722732734387e-51,1.4400419121954578e-44
5.378713143348612e-20,0.5408312095348582,8.55196347208333e-27,1.7632551620269568e-30,2.1528484365579045e-34,7.60537595941244e-28,0.0,0.0,1.4705018218382438e-21,7.494091923161779e-39,1.675912422878297e-50,3.4907787055535554e-52,5.562823692368685e-61,9.99798060115697e-69,3.3394737553194505e-48,2.4749997619286783e-39,6.600154551931384e-37,1.9538944095673443e-52,7.311073772939375e-67,8.674448870375938e-66,7.698769095993982e-39,6.812841380190881e-59,5.3794249958456e-28,4.6046598738871917e-69,2.450637328664285e-54,2.2873068917298786e-60,1.9358613473371536e-58,2.729764737313464e-69,1.5964800698797395e-85,3.691028566154414e-87,7.921138812590592e-69,6.845737308677089e-81,9.167742751425638e-68,1.8480090532812588e-82,3.76,0.0,0.6072800264127487,0.9999999999999872,1.6330548809954982e-47,1.1197415594670603e-51,3.582999117901456e-18,3.582999117901456e-18,1.4525182964143085e-38,3.1751234023309144e-43,1.2754606002935159e-14,6.016645102244176e-42,7.011209245751917e-44,1.4705103738015396e-21,1.2440735831613697e-34,2.9534338434300704e-41,1.824859095253604e-35,3.918526911508078e-20,5.676735638340714e-41,2.1527216956049384e-34,3.2253382562003105e-38,1.9757795001195366e-42,3.3901297803542857e-39,3.01447347354817e-36,2.2163484432763597e-47,1.5342673670325302e-48,5.379424995872083e-28,5.725984007965708e-60,6.600154551933223e-37,1.1970045375516926e-35,4.2616693419343245e-55,1.9017391045883926e-70,7.173646576837626e-68,1.62705722115773e-53,1.0562732425970879e-67,5.9445973268688076e-74,2.6565657456507827e-78,7.860194212411786e-81,2.8969506874533663e-65,4.6589369438339735e-64,2.605716411358997e-78,8.360219839548225e-51,1.43323443635183e-57,1.0393275797208983e-49,5.605825725596551e-56,4.993387798788108e-76,7.605375959335476e-28,1.2574125135631994e-38,1.0275674504716788e-57,8.573481536260015e-51,6.011891510598397e-44
1.0911103805078613e-19,0.5408312095348582,1.734826878476155e-26,3.5768890431766576e-30,8.795088320485583e-34,1.5428048374823642e-27,0.0,0.0,2.9830179814432793e-21,3.0615810768097446e-38,1.3740142586391631e-49,2.8619512907814734e-51,4.5607391398943915e-60,8.196948549313847e-68,1.3642839933868837e-47,1.0111181599936413e-38,2.6963784922037302e-36,1.601920686282405e-51,5.994060019207722e-66,7.111837272055083e-65,3.145198380363411e-38,5.5855789780154844e-58,1.0912547848664458e-27,7.563167669783261e-68,2.00918054330877e-53,1.8911895703631372e-59,1.6005290535604805e-57,4.535544938130062e-68,5.377384560759912e-84,1.2432389750346818e-85,1.3010494285352232e-67,1.1346414588459585e-79,1.5232336512769416e-66,6.148440367960936e-81,3.76,0.0,0.6072800264127487,0.9999999999999741,1.3388770564601127e-46,9.180317823865279e-51,7.268369639171524e-18,7.268369639171524e-18,5.934011185838774e-38,1.2971415115751464e-42,2.5873629317612617e-14,2.4579958425608766e-41,2.8643077473730713e-43,2.983035329711343e-21,5.082446518427118e-34,1.2065750067528548e-40,7.455144840970771e-35,7.949011734773486e-20,2.319131735584255e-40,8.794570542338825e-34,1.3176559178533209e-37,8.071703939525266e-42,1.3849786324855254e-38,1.2315107737915586e-35,9.054506567399077e-47,6.267982816783311e-48,1.091254784877265e-27,4.694507639097727e-59,2.6963784922044863e-36,4.890154108850215e-35,3.4939740057340106e-54,3.1597657675016737e-69,1.1919121076786006e-66,1.3340457563929839e-52,1.7350514856133087e-66,9.764018959858173e-73,4.363417214319126e-77,1.2910392596555428e-79,2.3750951998652998e-64,3.819680687426924e-63,4.279897029626644e-77,6.854213327217083e-50,1.1750521840474746e-56,8.521035433818903e-49,4.595994619446009e-55,8.201654453713312e-75,1.5428048374509213e-27,5.13694040150545e-38,8.424618788573272e-57,7.029058151360592e-50,2.456053845268831e-43
2.1975885128538617e-19,0.5408312095348582,3.4940879492588927e-26,7.204156806107933e-30,3.5551153205033605e-33,3.1073393205693336e-27,0.0,0.0,6.008050300653301e-21,1.237540021716401e-37,1.112712370370988e-48,2.317682362855809e-50,3.6934051006640955e-59,6.638101455380188e-67,5.51465403146007e-47,4.087101266515562e-38,1.0899192979315109e-35,1.2972769043356103e-50,4.854145248407808e-65,5.7593502097347375e-64,1.2713394727384647e-37,4.5233466723050206e-57,2.19787935541473e-27,1.2260220711724314e-66,1.6270864954927533e-52,1.5378839507044543e-58,1.3014925766526277e-56,7.394082961584159e-67,1.7649114562400057e-82,4.080433060071343e-84,2.109057189675506e-66,1.847504338174065e-78,2.4832548734161614e-65,2.0059315666562325e-79,3.76,0.0,0.6072800264127487,0.9999999999999479,1.0842573530530449e-45,7.434459389577598e-50,1.4639110681711662e-17,1.4639110681711662e-17,2.3986221979409522e-37,5.243253384850515e-42,5.2111675938974206e-14,9.935612195343156e-41,1.1577989881191839e-42,6.00808524152988e-21,2.0544061440754565e-33,4.877176477665834e-40,3.0134887422304814e-34,1.6009981381304166e-19,9.374301272488364e-40,3.554906026298418e-33,5.326175895015976e-37,3.2627117882520933e-41,5.598305071537573e-38,4.977963449295386e-35,3.6599763235873816e-46,2.533618873667864e-47,2.197879355458464e-27,3.80173399944709e-58,1.0899192979318201e-35,1.9766784776252936e-34,2.829510737236349e-53,5.151213936205959e-68,1.9431175580812483e-65,1.0803791252770942e-51,2.812688762330051e-65,1.582789549396643e-71,7.073287336564942e-76,2.0928302745547537e-78,1.9234136711946714e-63,3.093280825360481e-62,6.937897516664195e-76,5.550719659129022e-49,9.515877251397998e-56,6.900555417056202e-48,3.7219556018359445e-54,1.3295235302749333e-73,3.1073393204422376e-27,2.0764334428987877e-37,6.822474717172782e-56,5.692313531607775e-49,9.92776233179921e-43
4.410544777545862e-19,0.5408312095348582,7.012610123812737e-26,1.4458692334497998e-29,1.4294962344086573e-32,6.2364082867621935e-27,0.0,0.0,1.2058114939073154e-20,4.9760939983340455e-37,8.956077194624585e-48,1.8654724098710774e-49,2.9727742269799163e-58,5.34292155290901e-66,2.2174181316777463e-46,1.6434054434903482e-37,4.382517560588832e-35,1.0441613131261529e-49,3.9070384587502746e-64,4.6356261009252927e-63,5.1120001043399954e-37,3.6407829241276093e-56,4.411128496449351e-27,1.9744707494640023e-65,1.3096207648952745e-51,1.2403591201842028e-57,1.0496885538147368e-55,1.1941463733543714e-65,5.7193005308738545e-81,1.3222883218954578e-82,3.3965715853424678e-65,2.9819919766019867e-77,4.010462912284902e-64,6.481167346207123e-78,3.76,0.0,0.6072800264127487,0.9999999999998954,8.727046459946401e-45,5.983899700079309e-49,2.938059276679194e-17,2.938059276679194e-17,9.644754362272585e-37,2.108289125365766e-41,1.0458776914972402e-13,3.995065965328683e-40,4.6554588117119054e-42,1.2058185065162674e-20,8.2606767492529e-33,1.9610971505766326e-39,1.2117105694453827e-33,3.213192067436499e-19,3.769365311988083e-39,1.4294120781297918e-32,2.141631902011092e-36,1.3119220604930248e-40,2.2510538470246325e-37,2.001617209081281e-34,1.4716603825055867e-45,1.0187570080133844e-46,4.411128496625203e-27,3.0599662660992617e-57,4.3825175605901064e-35,7.948137220978886e-34,2.2774364031977693e-52,8.319222871242248e-67,3.1381400449582766e-64,8.695968055953702e-51,4.5298249362458905e-64,2.54903377458665e-70,1.1391311197405254e-74,3.3704386387905753e-77,1.5481306555312084e-62,2.4897485568141183e-61,1.1173270061829202e-74,4.46770208218451e-48,7.659205894062037e-55,5.554167334379594e-47,2.9957536708568944e-53,2.141156658579946e-72,6.2364082862511455e-27,8.349247549032475e-37,5.491321192969213e-55,4.581669150317689e-48,3.991909569729977e-42
8.836457306929863e-19,0.5408312095348582,1.4049654604873916e-25,2.8967763401388155e-29,5.732919257791971e-32,1.2494546219223592e-26,0.0,0.0,2.41582442159121e-20,1.9956362545756013e-36,7.186687914637597e-47,1.4969241423215794e-48,2.385464873498979e-57,4.2873580605134e-65,8.892838472183867e-46,6.590790859035637e-37,1.7575855546835391e-34,8.378736947640659e-49,3.135152405543325e-63,3.7197980044365215e-62,2.0501406816332188e-36,2.9214990080964783e-55,8.837626778270798e-27,3.169462832184661e-64,1.0508881867883937e-50,9.96323899386546e-57,8.431620008690868e-55,1.9195554187781537e-64,1.8417059005629203e-79,4.257978643909192e-81,5.452249621549107e-64,4.792342706660435e-76,6.446701726891684e-63,2.0839795031688184e-76,3.76,0.0,0.6072800264127487,0.9999999999997905,7.002905173913746e-44,4.8017026564706105e-48,5.886355693695249e-17,5.886355693695249e-17,3.86797787112358e-36,8.455182347942853e-41,2.0953995544333026e-13,1.6022001357822404e-39,1.8670472058531328e-41,2.4158384712411144e-20,3.3129008442404175e-32,7.864924336227664e-39,4.8595013342699915e-33,6.437579926048448e-19,1.5116840790875693e-38,5.732581753477376e-32,8.588901795326198e-36,5.261394236984528e-40,9.027732735006044e-37,8.02738025357939e-34,5.902016349654145e-45,4.085671269764871e-46,8.837626778976043e-27,2.455430218538312e-56,1.7575855546840752e-34,3.187558514678449e-33,1.8274992856301194e-51,1.3372906678349003e-65,5.044468463989067e-63,6.978021452472624e-50,7.271433329185534e-63,4.0917637339293586e-69,1.8285577264039905e-73,5.4103004547656194e-76,1.2422773527932789e-61,1.997877715022977e-60,1.793557293828956e-73,3.5850495530116897e-47,6.146030401383263e-54,4.456869496565733e-46,2.403903654373039e-52,3.4370306316875915e-71,1.2494546217174059e-26,3.348421696383292e-36,4.406439423946477e-54,3.6765009496770793e-47,1.60093427997982e-41
