Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476),S(980)
0.0,0.5181342439762481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7661333395046384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.432413519446885e-21,0.5181342439762481,8.313597363006319e-29,4.087484637380585e-33,3.401927480444655e-37,2.6942935387827934e-30,0.0,0.0,2.7992617288355977e-23,1.0731923269756464e-41,1.310468831068739e-54,2.394213989408037e-56,1.6506922219489064e-61,5.388766557147899e-74,4.049600917888356e-52,1.1882771356183398e-42,3.701962630446907e-40,1.2576690312668645e-56,1.858383261503415e-72,2.1165010708159896e-71,1.7638829521940616e-42,5.308399321989955e-64,2.0467179272270347e-30,1.9385858690634438e-74,8.420826111753373e-59,1.1206520386010382e-65,5.368214416263008e-48,8.467710826546942e-47,9.295727068322042e-88,2.5496970067186068e-70,3.2169988675581927e-74,2.82324632576585e-69,5.038881031652254e-62,8.715610805517866e-76,3.76,0.0,0.7661333395046384,0.9999999999999994,3.9540144370074665e-51,6.62837945969658e-56,5.636387668810873e-20,5.636387668810873e-20,3.721343410710824e-42,3.212016771705755e-47,5.244044180204233e-16,1.8397736062882998e-45,1.468476088212449e-47,2.799270042432939e-23,1.3332366180941301e-37,5.750643289565483e-45,2.076946932714826e-38,3.8552762415715047e-22,1.9711598341993302e-44,3.39989157652832e-37,5.92535569660054e-28,5.287137392620116e-46,1.947883520499608e-42,2.4771044433613662e-39,2.4213333243659558e-51,1.4450650820366783e-52,2.04671792722829e-30,9.896126701830946e-65,3.701962630446994e-40,4.1943987635932957e-38,7.605443549017839e-60,1.1870678909363326e-57,5.375469765801981e-74,8.948529963456299e-58,1.0063513202898405e-72,1.7361512211372423e-79,6.688814450703879e-84,1.1792937985508493e-82,3.68064547781092e-70,2.2161597411712563e-69,6.927789036660643e-84,5.758552967458201e-55,9.765152856864932e-62,1.8267496532213735e-53,4.013232180070369e-60,1.4229039114310564e-82,2.6942935387797743e-30,2.792588284501377e-41,5.9490236541237255e-62,8.579331113102919e-55,8.993048531714488e-48,3.129944792247539e-51,9.84146179197263e-70,2.921975569918879e-39,1.7219970341184874e-64,3.449904504835774e-58,5.315244616498174e-73,1.0965376351753863e-72,5.925355696597251e-28,9.901574967787352e-88,1.2730637024515273e-67,9.804906659532683e-65,7.092023424622312e-69,2.285745530970919e-98,4.21433549540444e-80,1.9698307160514863e-60,1.7487327549275412e-60,3.2053988477168086e-59,3.51587866841663e-67,1.2303131359412049e-67,8.658341542257921e-66,5.017261431994662e-56,3.589468088293398e-48,2.299631947988348e-81,1.3158925714360476e-83,1.5693814759609454e-74,1.7558847286545377e-40,2.348281356304858e-62
1.2410757854451277e-20,0.5181342439762481,2.3278072618939095e-28,1.1444956984912884e-32,2.0547641981885457e-36,7.544021908594417e-30,0.0,0.0,7.837932840739674e-23,6.482081654932906e-41,1.5557885962448016e-53,2.8424108487426724e-55,1.959701805898385e-60,6.397543656639677e-73,2.445958954402943e-51,7.17719389912703e-42,2.2359854287899168e-39,1.4931046739507535e-55,2.2062726102872116e-71,2.5127100712795073e-70,1.0653853031252139e-41,6.302131675065879e-63,5.730810196231847e-30,4.336539045659968e-73,9.997204759873123e-58,1.6933745085688143e-64,3.2424015074228223e-47,5.11449733923436e-46,2.079447429575909e-86,3.0270002863763266e-69,7.567856733250066e-73,4.2664898475826546e-68,5.982159563976619e-61,2.7301220122594764e-74,3.76,0.0,0.7661333395046384,0.9999999999999984,4.694205939615222e-50,7.869212094551732e-55,1.5781885472670446e-19,1.5781885472670446e-19,2.2476914200668555e-41,1.9400581301099512e-46,1.468332370436371e-15,1.1112232581980479e-44,8.869595572986436e-47,7.837956118812162e-23,8.052749173288333e-37,3.4733900520960367e-44,1.254475947359746e-37,1.0794773476400202e-21,1.1905805398563433e-43,2.0535345122231023e-36,1.6590995950481484e-27,3.193430985172263e-45,1.1765216463817366e-41,1.4961710837902208e-38,1.4624853279158156e-50,8.728193097034473e-52,5.7308101962394275e-30,1.1748681620413524e-63,2.2359854287899703e-39,2.5334168532099132e-37,9.029182581393849e-59,1.4092870001196501e-56,1.690133553187363e-72,1.0628805776960146e-56,2.2522022594534485e-71,3.8837008356350667e-78,1.496261037361879e-82,2.6380340606666313e-81,4.369662311237406e-69,2.6310258888849097e-68,1.549718696320497e-82,6.83655408290759e-54,1.159318947306206e-60,2.1687171883042592e-52,4.764509244159585e-59,3.1829791337147673e-81,7.544021908576178e-30,1.6867233238388228e-40,7.062680882102679e-61,1.018538189747553e-53,5.431801313155509e-47,1.890486654524021e-50,1.2143203290031177e-68,1.7648732442310016e-38,2.0443548397879427e-63,4.0957266281409903e-57,1.1889989597319774e-71,1.894304286544004e-71,1.6590995950461617e-27,2.214942713994431e-86,1.5113824991422966e-66,1.164038982882215e-63,8.41965062772981e-68,1.132039075567293e-96,9.42730352167798e-79,2.338583026096309e-59,2.076095527190696e-59,3.805449511951133e-58,7.864879945962324e-66,2.752161272567642e-66,1.0279183078972463e-64,5.956492771982074e-55,2.1680387253472514e-47,7.230410785587e-80,2.943599046643879e-82,3.510643586434809e-73,1.0605543761073336e-39,2.7878796262057483e-61
2.836744652446006e-20,0.5181342439762481,5.320702314089025e-28,2.615990168096647e-32,9.892805113132665e-36,1.7243478648228044e-29,0.0,0.0,1.7915275064547825e-22,3.12084328684518e-40,1.5274824694936712e-52,2.790695827658108e-54,1.924046853905639e-59,6.281146298992037e-72,1.1776239469194977e-50,3.455509910366518e-41,1.0765307329339382e-38,1.4659390229399253e-54,2.1661315364123676e-70,2.466993648163303e-69,5.129371624980335e-41,6.187470249709637e-62,1.3098994734226072e-29,8.568270384894061e-72,9.815314915858238e-57,1.821601716110365e-63,1.5610767522492307e-46,2.4624103083598602e-45,4.108822842111721e-85,2.9719268310311973e-68,1.528133033412303e-71,4.589695087153048e-67,5.873319735106404e-60,6.084332220518644e-73,3.76,0.0,0.7661333395046384,0.9999999999999966,4.6087992277757505e-49,7.726039098222185e-54,3.6072881080389593e-19,3.6072881080389593e-19,1.0821666638309834e-40,9.340544772115453e-46,3.3561882751850093e-15,5.350061647085097e-44,4.270328464794156e-46,1.7915328271570338e-22,3.877052085417411e-36,1.6722893264033692e-43,6.039761680334578e-37,2.4673767946057552e-21,5.732132797850867e-43,9.886884704544311e-36,3.792227645824326e-27,1.5374995538176513e-44,5.664445277612465e-41,7.203419721294189e-38,7.041237307237879e-50,4.202249260862065e-51,1.3098994734262568e-29,1.1534925283653622e-62,1.0765307329339642e-38,1.2197311604522739e-36,8.864905000734782e-58,1.3836463336755008e-55,3.770594871123046e-71,1.043766415157297e-55,4.450969674542564e-70,7.673538391650151e-77,2.95635966826554e-81,5.212315102734244e-80,4.290160368875283e-68,2.5831590312200087e-67,3.061982993888522e-81,6.712169338687043e-53,1.1382262174277002e-59,2.129259395794351e-51,4.677823429028151e-58,6.289030390361709e-80,1.7243478648140228e-29,8.120846731329867e-40,6.934181971020279e-60,1.0000068345431975e-52,2.6151785130225086e-46,9.101879455953458e-50,1.2123584052469327e-67,8.497104957324078e-38,2.0071596217040796e-62,4.021208690836449e-56,2.3492615809684664e-70,3.114858166358121e-70,3.7922276458147605e-27,4.376353553084077e-85,1.483886954775157e-65,1.1428613593487284e-62,8.266463753088187e-67,5.724583069141337e-95,1.8626778652658657e-77,2.2960346826295594e-58,2.0383229008197697e-58,3.736212896718098e-57,1.5539677426997916e-64,5.437806895721964e-65,1.009216290166779e-63,5.848119924878817e-54,1.0438173201020645e-46,1.6130648718302657e-78,5.81605567757422e-81,6.936440132620878e-72,5.106112790927283e-39,2.737156748910849e-60
6.028082386447764e-20,0.5181342439762481,1.1306492422513496e-27,5.558979107702959e-32,4.3204479001643033e-35,3.664239212753682e-29,0.0,0.0,3.8069959512164115e-22,1.3629542552590708e-39,1.3510409460784852e-51,2.468338857888719e-53,1.7017976531446293e-58,5.555602769716134e-71,5.142993165693035e-50,1.5091119622232893e-40,4.7014925406673387e-38,1.296606464674948e-53,1.9159188214785263e-69,2.1820279440102064e-68,2.240131349286459e-40,5.4727473649948574e-61,2.7835363810152923e-29,1.5246779348985843e-70,8.681534888170116e-56,1.674346489862437e-62,6.81763230865348e-46,1.0753992749714714e-44,7.312090450891267e-84,2.6286356260465924e-67,2.746076111248377e-70,4.2187205202752065e-66,5.1948847931787e-59,1.1390634832306784e-71,3.76,0.0,0.7661333395046384,0.9999999999999928,4.076430723976875e-48,6.833594087768471e-53,7.665487229582788e-19,7.665487229582788e-19,4.7261061315642604e-40,4.079261300061263e-45,7.131900084349259e-15,2.3365124799848167e-43,1.86496463231007e-45,3.807007257708559e-22,1.6932105049792154e-35,7.303340308324676e-43,2.637722604547688e-36,5.243175688537207e-21,2.503372989432335e-42,4.3178623021909153e-35,8.058483747376635e-27,6.714664489075384e-44,2.4738120710340933e-40,3.1459226430682484e-37,3.0750933219258324e-49,1.8352326565626328e-50,2.78353638103123e-29,1.0202510784518522e-61,4.701492540667456e-38,5.3268864297567005e-36,7.840908081294555e-57,1.2238195128399555e-54,7.061906806642283e-70,9.232885187333927e-55,7.92107222834583e-69,1.3654651572356768e-75,5.26068407194461e-80,9.27505176821321e-79,3.794598261675586e-67,2.2847788442665123e-66,5.4486351361246644e-80,5.936837766948008e-52,1.0067481998375463e-58,1.883305822484094e-50,4.137481848235417e-57,1.1190993558043385e-78,3.664239212715329e-29,3.546587121316606e-39,6.133205425980092e-59,8.84494720436294e-52,1.1421171635276729e-45,3.975029886255244e-49,1.0803123835086676e-66,3.7109089737969533e-37,1.7753098076394286e-61,3.556713548305218e-55,4.1803854627656536e-69,4.987627627835389e-69,8.05848374733486e-27,7.78748732004371e-84,1.3124859156499368e-64,1.0108496790174957e-61,7.31159505583097e-66,2.260434988563521e-93,3.3145412909271955e-76,2.030816675020325e-57,1.8028735245401743e-57,3.3046379956628296e-56,2.7652025697415565e-63,9.676286829915246e-64,8.926403796431339e-63,5.172595845395479e-53,4.558624472401506e-46,3.02109198359003e-77,1.0349360328541652e-79,1.2343024602948588e-70,2.229973605391146e-38,2.4209841471000455e-59
1.2410757854451276e-19,0.5181342439762481,2.3278072655499388e-27,1.1444956988497967e-31,1.803701950131389e-34,7.544021908632045e-29,0.0,0.0,7.837932840739665e-22,5.6900657176248725e-39,1.1356313215025872e-50,2.0747875419087948e-52,1.4304634684729632e-57,4.6698188780849536e-70,2.1470984066417475e-49,6.3002453729404216e-40,1.96278058666274e-37,1.0898758601543331e-52,1.6104452259767512e-68,1.834125964027255e-67,9.35210741253292e-40,4.6001739180402547e-60,5.730810196176023e-29,2.5715921888173607e-69,7.297353175221988e-55,1.432431301673582e-61,2.84622728350216e-45,4.489580280235275e-44,1.2335132823379568e-82,2.2095266308701973e-66,4.653506725930805e-69,3.6092042250250828e-65,4.366613684439437e-58,1.9670896458832558e-70,3.76,0.0,0.7661333395046384,0.9999999999999852,3.4264856468790423e-47,5.744047585701128e-52,1.5781885472670446e-18,1.5781885472670446e-18,1.9730562763242398e-39,1.70301129235385e-44,1.468332370134565e-14,9.75447966052864e-43,7.785860222219716e-45,7.837956118811172e-22,7.068820549132106e-35,3.049012069646481e-42,1.1011972637252733e-35,1.079477347640004e-20,1.0451089440917508e-41,1.8026225138752693e-34,1.6590995950481063e-26,2.8032402459685435e-43,1.0327678425685241e-39,1.3133607758695777e-36,1.2837909285617913e-48,7.661735086342933e-50,5.730810196242557e-29,8.575825061777457e-61,1.962780586662792e-37,2.2238702244510576e-35,6.590755692480481e-56,1.0286940411995952e-53,1.2197687765782833e-68,7.761148976365612e-54,1.3360693654076921e-67,2.30305656826056e-74,8.872912604938461e-79,1.564378290667184e-77,3.1895884805104136e-66,1.920500905762665e-65,9.189919545058012e-79,4.9902698640574753e-51,8.462325239754485e-58,1.5830320214853518e-49,3.4778027952983698e-56,1.8875246345642984e-77,7.544021908471927e-29,1.4806303084425007e-38,5.155328713422815e-58,7.434711073314192e-51,4.768114331514412e-45,1.659496728940427e-48,9.112375954974868e-66,1.5492314471709684e-36,1.4922546157969462e-60,2.9896320454181115e-54,7.05083110092841e-68,7.94819812445909e-68,1.6590995950306673e-26,1.3134735608342068e-82,1.1032314113949874e-63,8.496830060413584e-61,6.145838689310652e-65,7.997646780475764e-92,5.590477087914233e-75,1.7070237812385472e-56,1.5154238320825526e-56,2.777747354361679e-55,4.663918303648583e-62,1.6320472054082053e-62,7.503180247101599e-62,4.3478784798153086e-52,1.9031359806537322e-45,5.2181851091345304e-76,1.745570889163045e-78,2.0818315085669396e-69,9.309700831325298e-38,2.0349830508793158e-58
2.51761087904583e-19,0.5181342439762481,4.722123318601899e-27,2.3216912756417513e-31,7.368710999739229e-34,1.5303587300455201e-28,0.0,0.0,1.589980661978616e-21,2.3245775079223248e-38,9.31059169322041e-50,1.701036185619279e-51,1.1727803764233442e-56,3.8285996547613497e-69,8.771597571991051e-49,2.573855806743295e-39,8.018599136051437e-37,8.935460779999424e-52,1.320340317812646e-67,1.503727278598647e-66,3.820641029770428e-39,3.771500508804781e-59,1.1625357826398924e-28,4.2238478921370716e-68,5.982811020550538e-54,1.1843590189666248e-60,1.1627767154198205e-44,1.834140035873445e-43,2.0267795649455247e-81,1.811503425963592e-65,7.661067797504903e-68,2.98415984940984e-64,3.5800137187113867e-57,3.268065157391894e-69,3.76,0.0,0.7661333395046384,0.9999999999999701,2.809239952853941e-46,4.709317251494974e-51,3.2014681958845764e-18,3.2014681958845764e-18,8.06057868104279e-39,6.957356808147084e-44,2.978617093001e-14,3.9850232221546105e-42,3.180777948240939e-44,1.5899853841014656e-21,2.8878438442540937e-34,1.2456301169923445e-41,4.498750134136543e-35,2.189796905212542e-20,4.2696110472629005e-41,7.364301150423011e-34,3.3656020356689176e-26,1.1452151081302039e-42,4.219193620739855e-39,5.3655073084932123e-36,5.244704833765377e-48,3.130068788400239e-49,1.1625357826670738e-28,7.030979515169893e-60,8.018599136051674e-37,9.085235497841913e-35,5.403499713380899e-55,8.433855260519538e-53,2.0266640593886786e-67,6.363199174625611e-53,2.1945496925412187e-66,3.78277732901218e-73,1.4573785596824126e-77,2.5695132642179486e-76,2.6150173429366064e-65,1.574553528745718e-64,1.509447044418627e-77,4.091324733349182e-50,6.937925518177233e-57,1.2978652939783155e-48,2.851312851372719e-55,3.1002648801526006e-76,1.5303587299801064e-28,6.04885792776027e-38,4.226649950346648e-57,6.095425324223571e-50,1.9479302841629681e-44,6.779585618568483e-48,7.483490832722982e-65,6.329115963466909e-36,1.2234400856169695e-59,2.451080976793512e-53,1.158101125556113e-66,1.2675591240750088e-66,3.365602035597673e-26,2.157384267788527e-81,9.045087452141218e-63,6.966262895819276e-60,5.038733952942909e-64,2.688165723481085e-90,9.182436960010926e-74,1.3995212298920032e-55,1.2424360212137102e-55,2.2773651049263898e-54,7.660499816231176e-61,2.6806424354871592e-61,6.151560489670454e-61,3.564653464653588e-51,7.774931459997974e-45,8.670092603385588e-75,2.8671054281351342e-77,3.4194145036421235e-68,3.8033165576539755e-37,1.6684020536145323e-57
5.070681066247235e-19,0.5181342439762481,9.510755450524946e-27,4.676082431757472e-31,2.9785508016457985e-33,3.082271808436724e-28,0.0,0.0,3.20235541778791e-21,9.396313954988695e-38,7.539958546556324e-49,1.3775432141682696e-50,9.49747955223041e-56,3.1004992634688024e-68,3.5456199842975053e-48,1.0403936694611376e-38,3.241245977161063e-36,7.236167812282998e-51,1.0692458580297742e-66,1.2177573370782738e-65,1.5443641910276073e-38,3.0542588947739375e-58,2.3414453086450486e-28,6.847039451105338e-67,4.845035479284278e-53,9.630999455293023e-60,4.700129395726852e-44,7.413887278762107e-43,3.287864606104893e-80,1.4670024407432053e-64,1.2433141595470885e-66,2.4266692314820842e-63,2.899187928274637e-56,5.327545298572565e-68,3.76,0.0,0.7661333395046384,0.9999999999999399,2.2749953482844652e-45,3.8137272075547565e-50,6.4480274931196395e-18,6.4480274931196395e-18,3.2582147803197893e-38,2.8122748604018025e-43,5.999186536602496e-14,1.6108101014302006e-41,1.2857213038328654e-43,3.202364928541464e-21,1.1673126544970095e-33,5.035110468451259e-41,1.8184667330437133e-34,4.4104360203575053e-20,1.72584505050844e-40,2.976768270045895e-33,6.778606916910243e-26,4.629142572620416e-42,1.7054655206038271e-38,2.1688238411718463e-35,2.1199935493633002e-47,1.2652238573402936e-48,2.3414453087549207e-28,5.6938695018356775e-59,3.241245977161178e-36,3.672397448624047e-34,4.375894163084239e-54,6.829954652438622e-52,3.303973914057872e-66,5.153139650384057e-52,3.5575009871895895e-65,6.132045061264341e-72,2.3624734477964372e-76,4.16534757241172e-75,2.1177088428811354e-64,1.2751318514460814e-63,2.4468787041387272e-76,3.313260842833287e-49,5.618511985923688e-56,1.0510449644911018e-47,2.309067071983409e-54,5.025662970207569e-75,3.0822718081723116e-28,2.4450450873177125e-37,3.4228507118615e-56,4.936233462125561e-49,7.873845655841305e-44,2.7404169035950025e-47,6.0653570022066364e-64,2.5583298662911874e-35,9.907728425288137e-59,1.9849489235724265e-52,1.8773318304807862e-65,2.024098673470253e-65,6.778606916622258e-26,3.497212866097943e-80,7.325156552090657e-62,5.641538464473853e-59,4.080504000305655e-63,8.813872479195433e-89,1.488532558256846e-72,1.1333685770044388e-54,1.0061569114121952e-54,1.8442693056660208e-53,1.241800030773647e-59,4.3454369042381186e-60,4.9816931745761e-60,2.8867487941781995e-50,3.142751607437323e-44,1.413443916190138e-73,4.647701454415479e-76,5.5430182612669394e-67,1.5373613624032832e-36,1.3511152392716606e-56
1.0176821440650047e-18,0.5181342439762481,1.9088019817647548e-26,9.384864754116158e-31,1.1976621771983863e-32,6.186097965325422e-28,0.0,0.0,6.427104929406474e-21,3.778216514810811e-37,6.068814599829844e-48,1.1087666363388737e-49,7.644397805856354e-55,2.4955515444084437e-67,1.4256782014182666e-47,4.183377186419603e-38,1.3032907518981664e-35,5.824297396026765e-50,8.606221476357909e-66,9.801570475462064e-65,6.209820488517286e-38,2.4583332730163497e-57,4.699264360497665e-28,1.1026945953504692e-65,3.899706062275297e-52,7.767745444038046e-59,1.8899013581003047e-43,2.9810914673296314e-42,5.302630394155422e-79,1.1807711906379606e-63,2.0034603709006713e-65,1.957196649924906e-62,2.3335186694718166e-55,8.603819759689854e-67,3.76,0.0,0.7661333395046384,0.9999999999998795,1.8311141764200465e-44,3.0696194434072545e-49,1.2941146087589766e-17,1.2941146087589766e-17,1.3101138329187059e-37,1.1308033525204439e-42,1.2040325415279991e-13,6.476996571814822e-41,5.169828821791622e-43,6.4271240174186674e-21,4.69371284344832e-33,2.024655587573474e-40,7.311974754492659e-34,8.851714250646973e-20,6.939547042650616e-40,1.1969454290828389e-32,1.3604616679391705e-25,1.8613578698806242e-41,6.857601849238893e-38,8.720745276996458e-35,8.524400820800825e-47,5.087409544714164e-48,4.699264360939456e-28,4.5829215305241124e-58,1.3032907518982279e-35,1.4766548622835724e-33,3.522100316634833e-53,5.497341696918038e-51,5.335926686717008e-65,4.147717465289597e-51,5.7292787464199046e-64,9.875469530731807e-71,3.804690656180776e-75,6.708343723111176e-74,1.7045163127217985e-63,1.0263653492940883e-62,3.9406227155908446e-75,2.666800571897665e-48,4.522267283496479e-55,8.459724262635628e-47,1.858538063286458e-53,8.093675280952846e-74,6.18609796426223e-28,9.831418759111187e-37,2.755008032209131e-55,3.9731101329173815e-48,3.1660387077807643e-43,1.1019095844027436e-46,4.883937041384249e-63,1.0286931872921013e-34,7.974591187071535e-58,1.597659580343501e-51,3.0233850380379708e-64,3.2350842531829324e-64,1.360461667823373e-25,5.632153507828495e-79,5.896261678660598e-61,4.540926777768632e-58,3.2843552513244804e-62,2.8547624556475433e-87,2.397300077370328e-71,9.122336316104423e-54,8.098426306332925e-54,1.4844283834242259e-52,1.9998806645120353e-58,6.998192170595887e-59,4.00970006451458e-59,2.3235065688015742e-49,1.263686599708184e-43,2.282715700146309e-72,7.484979922789661e-75,8.926860022527422e-66,6.181662422611442e-36,1.0874950889516486e-55
2.0389102189455668e-18,0.5181342439762481,3.824254896499879e-26,1.8802429439342505e-30,4.8031609980582014e-32,1.2393750279527976e-27,0.0,0.0,1.2876603952643516e-20,1.5152338073029274e-36,4.869841515758529e-47,8.897154204868544e-49,6.134147812121533e-54,2.0025229497668016e-66,5.717607237330003e-47,1.6777213576252083e-37,5.226778826142629e-35,4.6736318722414794e-49,6.905951677644862e-65,7.865143027965702e-64,2.4904157569050834e-37,1.9726576311477652e-56,9.414902463572118e-28,1.7700690355413693e-64,3.129268520045645e-51,6.239473778337253e-58,7.579349725013073e-43,1.1955510109740488e-41,8.536378305431464e-78,9.474945181146656e-63,3.21691207485977e-64,1.5721267903235905e-61,1.8725017742027415e-54,1.3830245048998404e-65,3.76,0.0,0.7661333395046384,0.9999999999997587,1.4693538070319119e-43,2.4631762854521562e-48,2.5927383276530017e-17,2.5927383276530017e-17,5.254142431945901e-37,4.535027207664079e-42,2.4122603138533e-13,2.5975653160225288e-40,2.0733325895244395e-42,1.2876642195161899e-20,1.88238878165387e-32,8.12025421377768e-40,2.9324289126126697e-33,1.7734270711224093e-19,2.783068742913605e-39,4.8002865175487614e-32,2.725663620434987e-25,7.464877580009033e-41,2.7502050552755222e-37,3.497408900927086e-34,3.4186659918970455e-46,2.040278816243531e-47,9.414902465343894e-28,3.6775059059216424e-57,5.226778826142998e-35,5.9220464476468756e-33,2.826263689963485e-52,4.411270501305236e-50,8.577346283961962e-64,3.3282909901502963e-50,9.196787688127835e-63,1.5852315683357942e-69,6.10737111345177e-74,1.0768954806778673e-72,1.3677669934137425e-62,8.23638974635614e-62,6.3255721608223136e-74,2.1399395071571039e-47,3.6288347531114964e-54,6.788395945872835e-46,1.4913597482803597e-52,1.2992141304588082e-72,1.23937502752641e-27,3.9428386433519124e-36,2.2107204383264488e-54,3.1881706639190145e-47,1.2697231263608727e-42,4.4191502766364405e-46,3.919855352631372e-62,4.125519775314083e-34,6.399090189792459e-57,1.2820211961379778e-50,4.853202564720208e-63,5.173243690859637e-63,2.725663619970587e-25,9.040853714052544e-78,4.731921770576821e-60,3.644009685175052e-57,2.6355053172200417e-61,9.190515429773298e-86,3.848403917323927e-70,7.320100388991754e-53,6.498477324965154e-53,1.1911602891293899e-51,3.2102513653146777e-57,1.1233648295333302e-57,3.2175317798511585e-58,1.8644676885644023e-48,5.067948467940678e-43,3.669398818708007e-71,1.2015050484735146e-73,1.4329587319738864e-64,2.4791231130741324e-35,8.726463208618301e-55
