Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330)
0.0,0.9161336080955946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7212463263590583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2151414150595617e-23,0.9161336080955946,3.843976873446269e-25,2.38766523821005e-25,2.292250598397177e-36,4.033294700088877e-40,0.0,0.0,1.5002888270153948e-20,7.601728451584136e-39,4.793047410742187e-53,2.053451999753437e-54,1.4959576330588252e-59,8.833550492797128e-65,3.644300768882594e-44,1.2590455388194065e-38,7.352351187143153e-36,1.1033505969574276e-53,3.2316326287274555e-61,3.838222459748038e-58,1.0346123961164796e-35,2.4034033535741305e-55,3.097599113398087e-24,1.8231149375132672e-70,2.844951450872619e-54,6.81384511640626e-57,3.4888393113396025e-54,3.3312954084135916e-68,2.383340103937516e-87,3.618784559588023e-87,1.1519903325733482e-70,2.3103673069911343e-76,5.43165024365186e-70,1.6051515160428485e-105,3.76,0.0,0.7212463263590582,0.9999999999999996,8.256551140486508e-52,5.43563125703985e-52,4.733779170544005e-17,4.733779170544005e-17,1.1679325710922561e-35,2.461160455845178e-38,4.3360049191004628e-16,1.5239918485878696e-39,1.7011659776537812e-40,1.5003272667840982e-20,5.107772001800408e-35,1.1617187895103073e-43,1.2673648018865737e-34,2.9799191330739982e-18,4.4173236625431384e-39,2.2908963916961748e-36,6.506259612148845e-36,1.2690174278711667e-39,1.3009194473914929e-36,4.110171239602124e-36,1.1646530674908005e-65,2.144549704784741e-56,3.0975991133981395e-24,1.9868611458973135e-80,7.352351448888612e-36,1.0626283815191058e-38,1.653612883718348e-51,2.873768719744722e-71,1.0354415818412632e-67,4.278388686571436e-54,1.256352847997368e-71,1.0014904763850613e-97,9.436970982086058e-102,1.4836965774749913e-100,5.8366095786048186e-86,3.162719753808532e-65,4.117454005798122e-102,4.92281879812893e-53,1.5144742945425036e-59,1.1335299262257242e-53,2.4209673342664974e-58
1.4602395962166773e-22,0.9161336080955946,1.0763135249763287e-24,6.685462666988186e-25,1.3845193614319025e-35,2.436109999630124e-39,0.0,0.0,4.200808715643104e-20,4.5914439847568166e-38,5.690305886074044e-52,2.4378582141123533e-53,1.7760009020759326e-58,1.0487191145054037e-63,2.2011576644063066e-43,7.604635054469149e-38,4.440820117034416e-35,1.3098978287078502e-52,3.8365942568330035e-60,4.5567377042128683e-57,6.249058872543538e-35,2.853320461363206e-54,8.673277517514603e-24,4.0782351906196024e-69,3.377526362475907e-53,1.0297082739913206e-55,5.258918303095959e-53,1.0474125771317225e-66,1.1385501698321612e-85,1.7371988488445098e-85,2.5769562943928584e-69,6.515605464485463e-75,1.5792764183261936e-68,3.31417706275084e-103,3.76,0.0,0.7212463263590582,0.9999999999999988,9.802177515721546e-51,6.453181428357648e-51,1.3254581677523214e-16,1.3254581677523214e-16,7.054312729396755e-35,1.4865409153304544e-37,1.2140813773479569e-15,9.204910765470773e-39,1.0275042505030289e-39,4.200916346995413e-20,3.085094289087256e-34,7.016933144936148e-43,7.654883403394812e-34,8.343773572607194e-18,2.6680634921760547e-38,1.3837014205844887e-35,3.9297808057377286e-35,7.664865264343064e-39,7.85755346224415e-36,2.482543428719616e-35,1.3830580479099426e-64,2.5460094095204447e-55,8.673277517514919e-24,6.107923073020004e-79,4.4408202751286753e-35,6.418275424374992e-38,1.9631692155504058e-50,9.035588657872457e-70,3.2555939765743096e-66,6.26539187925663e-53,3.437344041148439e-70,5.6418791485846596e-96,5.31630115962849e-100,8.358378817038087e-99,1.3059707375408652e-84,3.7548552094877045e-64,2.3195605398483147e-100,5.844370477138107e-52,1.7979838824808998e-58,1.3457267284151037e-52,2.874172419241056e-57
3.3376905056381195e-22,0.9161336080955949,2.460145201885227e-24,1.5281057524544638e-24,6.665864740139104e-35,1.1728820999505095e-38,0.0,0.0,9.601848492898508e-20,2.210582633720663e-37,5.586776062019192e-51,2.3935036509283315e-52,1.7436882174254604e-57,1.0296386454420712e-62,1.0597626635928873e-42,3.6613044268867346e-37,2.1380637252211574e-34,1.2860654558135513e-51,3.7667909920679693e-59,4.473832099082305e-56,3.0086528479067228e-34,2.8014069489259998e-53,1.9824634325747467e-23,8.057905495257158e-68,3.316075411136921e-52,1.1077131728839546e-54,5.652686048493932e-52,2.3367198414952744e-65,5.928407122943304e-84,9.009710933280299e-84,5.091631383479326e-68,1.4172865071523324e-73,3.460336754903346e-67,3.438857443985101e-101,3.76,0.0,0.7212463263590579,0.9999999999999972,9.62383601181622e-50,6.335771793205451e-50,3.029618669148163e-16,3.029618669148163e-16,3.3963479167355684e-34,7.1570546055972834e-37,2.775043148223088e-15,4.4317682956935825e-38,4.946990663019327e-39,9.602094507417797e-20,1.4853400981232725e-33,3.378505724336812e-42,3.6854968438860164e-33,1.9071482451673588e-17,1.2845577210675424e-37,6.661926707052462e-35,1.892020295212622e-34,3.690302680251142e-38,3.783073753013755e-35,1.1952377964761975e-34,1.3587035866403518e-63,2.4996871358970925e-54,1.982463432574899e-23,1.3539753456439561e-77,2.1380638013367375e-34,3.0901233334569467e-37,1.9274511772620533e-49,2.0157901248675215e-68,7.263051058475746e-65,6.6711359924600804e-52,7.396081617755344e-69,2.5133475508009846e-94,2.368308882019136e-98,3.7234953771984184e-97,2.581867870410647e-83,3.6866965301143734e-63,1.0333191562998514e-98,5.738037591097343e-51,1.765271237718866e-57,1.3212424820084693e-51,2.8218795248206304e-56
7.092592324481004e-22,0.9161336080955949,5.227808562284998e-24,3.247224723965828e-24,2.9111582599645323e-34,5.122284281147735e-38,0.0,0.0,2.0403928047409277e-19,9.654195133511814e-37,4.941440158637258e-50,2.1170268736988262e-51,1.5422724820714828e-56,9.107037216088527e-62,4.628261976499794e-42,1.598987834300544e-36,9.33748600767107e-34,1.1375103314391745e-50,3.3316839749609976e-58,3.957053827101819e-55,1.313957743067929e-33,2.4778127214007727e-52,4.2127347942212536e-23,1.4338612296570227e-66,2.9330311477912103e-51,1.0181792480544014e-53,5.1941184063419097e-51,4.3764176533247743e-64,2.365871655505015e-82,3.590455728905962e-82,9.060286002108244e-67,2.627410325552528e-72,6.434058280750844e-66,2.745939834738071e-99,3.76,0.0,0.7212463263590576,0.9999999999999941,8.512173966278649e-49,5.603918400757389e-49,6.437939671939844e-16,6.437939671939844e-16,1.4832743652864281e-33,3.125673778922865e-36,5.89696668997059e-15,1.935469647706652e-37,2.1604807916224853e-38,2.0404450828261592e-19,6.486870442283563e-33,1.475617929933624e-41,1.6095532983958042e-32,4.052690020980636e-17,5.6100010514297605e-37,2.9094384174541273e-34,8.262949707426326e-34,1.6116521333982138e-37,1.6521676981864653e-34,5.219917474293665e-34,1.2031970659237705e-62,2.2109449636448754e-53,4.212734794221918e-23,2.5298536919951226e-76,9.337486340087807e-34,1.3495380445286315e-36,1.704808738598157e-48,3.775351812061473e-67,1.3602890805199454e-63,6.106954628002867e-51,1.3651461406348222e-67,9.43269882159568e-93,8.88836261163857e-97,1.3974434393490556e-95,4.599622048302126e-82,3.2611213660441624e-62,3.8780901530517443e-97,5.075229268115356e-50,1.5613624187018e-56,1.168624012741181e-50,2.4959204829345493e-55
1.4602395962166773e-21,0.916133608095595,1.0763135309412445e-23,6.685462666988848e-24,1.2153512672702889e-33,2.1384528608184976e-37,0.0,0.0,4.2008087156430654e-19,4.0304364250298765e-36,4.153578197442569e-49,1.7794886478142454e-50,1.2963729507404773e-55,7.655013520312523e-61,1.9322082676785615e-41,6.675459446819568e-36,3.89821659942264e-33,9.561459737136555e-50,2.8004811300199525e-57,3.32614217205826e-54,5.485514924209571e-33,2.0827508917536586e-51,8.673277517514001e-23,2.4184165413793844e-65,2.4653894081022285e-50,8.710737830673227e-53,4.443039000346066e-50,7.559173157908287e-63,8.408678414041266e-81,1.275338539609939e-80,1.5281496621818038e-65,4.515847043393639e-71,1.1074637557867101e-64,1.9532269009061763e-97,3.76,0.0,0.7212463263590569,0.9999999999999879,7.154995115734292e-48,4.7104310772498694e-48,1.32545816775232e-15,1.32545816775232e-15,6.192378491924505e-33,1.3049072736886525e-35,1.2140813773454555e-14,8.080204781213399e-37,9.019582013539914e-38,4.200916346994526e-19,2.708140715351916e-32,6.161548627283455e-41,6.719568179601315e-32,8.343773572607185e-17,2.3420650058803488e-36,1.2146332668772983e-33,3.4496188463588796e-33,6.728330402589347e-37,6.8974749100631185e-34,2.1792127912361183e-33,1.013780644007857e-61,1.8584324613711784e-52,8.673277517516772e-23,4.3659939709226843e-75,3.898216738200087e-33,5.6340556788086064e-36,1.4329944672239798e-47,6.520981391646337e-66,2.3495611057734635e-62,5.21510208519557e-50,2.3417588603762094e-66,3.263346626472703e-91,3.07502748599797e-95,4.834610348253052e-94,7.775909292348386e-81,2.7416401022704845e-61,1.3416682391188217e-95,4.266036005351146e-49,1.3124191920622935e-55,9.822988975875017e-50,2.097971556396477e-54
2.9622003237538312e-21,0.9161336080955953,2.1833788908978948e-23,1.3561938553036052e-23,4.965106486153114e-33,8.736277743886148e-37,0.0,0.0,8.521640537447276e-19,1.6465647895269034e-35,3.4053543548891725e-48,1.4589323057065144e-49,1.0628448696721106e-54,6.276042580443583e-60,7.89370123757447e-41,2.7271429989036054e-35,1.592548676539397e-32,7.83906237156901e-49,2.2960036284095436e-56,2.726972309699012e-53,2.241011834484136e-32,1.7075650155683277e-50,1.7594362964098433e-22,3.972256431264538e-64,2.0212751893156534e-49,7.202206487554815e-52,3.6733408647592366e-49,1.2559679258852609e-61,2.832274472425923e-79,4.2944969600050036e-79,2.509990408880709e-64,7.484685297899889e-70,1.8368846903593902e-63,1.3163582559650127e-95,3.76,0.0,0.7212463263590555,0.9999999999999755,5.866097282524037e-47,3.861895989387381e-47,2.6887865688689883e-15,2.6887865688689883e-15,2.529788666283051e-32,5.330971993774987e-35,2.4628507940378317e-14,3.3010273037157036e-36,3.6847935542537275e-37,8.521858875329689e-19,1.106363846675723e-31,2.5181205793180717e-40,2.7451628554772924e-31,1.6925940675860268e-16,9.568099746014742e-36,4.9621732202694655e-33,1.4092818570278247e-32,2.7487425094799344e-36,2.8178435598223017e-33,8.902795311819929e-33,8.351288702004755e-61,1.523655213592074e-51,1.759436296410975e-22,7.25429257492115e-74,1.5925487332345146e-32,2.3016955795008228e-35,1.174855442109071e-46,1.0834708111744402e-64,3.9038309172145094e-61,4.308222699253859e-49,3.877703151333309e-65,1.0857267955125798e-89,1.0230723611767168e-93,1.6084917116603133e-92,1.2831004380661342e-79,2.2485347563600637e-60,4.463776989181491e-94,3.497554060220298e-48,1.0760005466808293e-54,8.053479842410907e-49,1.7200438360350209e-53
5.966121778828139e-21,0.9161336080955957,4.39750965293584e-23,2.7314890325135135e-23,2.0069754269261877e-32,3.5313431835086986e-36,0.0,0.0,1.7163304181055434e-18,6.655678142327368e-35,2.7577442463634623e-47,1.1814812066209089e-48,8.607193333567495e-54,5.08250199912435e-59,3.190760249712082e-40,1.1023548034216107e-34,6.437336377196217e-32,6.348275949911973e-48,1.859363266323054e-55,2.208372877925797e-52,9.058528141949884e-32,1.3828304212198738e-49,3.5436533857263057e-22,6.439198851225439e-63,1.6368810534049064e-48,5.85671470446245e-51,2.9870010149473e-48,2.0475447091269017e-60,9.295808411938462e-78,1.4093079496319643e-77,4.068802615623458e-63,1.218686972968419e-68,2.9919922218234234e-62,8.64282643968466e-94,3.76,0.0,0.7212463263590527,0.9999999999999505,4.7505176682503905e-46,3.1274634986198653e-46,5.4154433711023145e-15,5.4154433711023145e-15,1.0225810267500599e-31,2.154864114791125e-34,4.960389627404917e-14,1.3343280150477688e-35,1.4894524694163972e-36,1.7163743931993739e-18,4.472099560613812e-31,1.0186139794414814e-39,1.1096387175612795e-30,3.409027488236637e-16,3.8675788980921554e-35,2.0057897539567074e-32,5.696542590880719e-32,1.1110856709491434e-35,1.1390174203201471e-32,3.598652208484696e-32,6.827395857637419e-60,1.2338954953959282e-50,3.5436533857308793e-22,1.183628982984824e-72,6.437336606366963e-32,9.303821541783243e-35,9.514283972039432e-46,1.7663308761268247e-63,6.364229670521556e-60,3.5019018742437563e-48,6.310990097334872e-64,3.545080852915604e-88,3.340503572114318e-92,5.251996351787578e-91,2.0991058815497673e-78,1.8221730473429327e-59,1.457498368962323e-92,2.832409958169593e-47,8.713731399008742e-54,6.521916776936807e-48,1.3929360935669416e-52
1.1973964688976754e-20,0.9161336080955967,8.825771345510309e-23,5.482079386935198e-23,8.06995992168716e-32,1.4199375935314846e-35,0.0,0.0,3.4446631468270705e-18,2.6762189082938247e-34,2.2196724878005266e-46,9.509588617679449e-48,6.927818032440257e-53,4.090839776719211e-58,1.2829906629842808e-39,4.432520181230059e-34,2.588424644834768e-31,5.109644772012507e-47,1.496577317883138e-54,1.7774906162528782e-51,3.6423943250238854e-31,1.1130222265254166e-48,7.112087564357532e-22,1.0370131240444315e-61,1.3175042772117144e-47,4.723652583211852e-50,2.4090852393304676e-47,3.3067901744995955e-59,3.0123619967636635e-76,4.566645523651615e-76,6.55268117825705e-62,1.9669656877752885e-67,4.829980073260719e-61,5.6021869478661854e-92,3.76,0.0,0.7212463263590471,0.9999999999999005,3.823629905113521e-45,2.5172547068627006e-45,1.0868756975568924e-14,1.0868756975568924e-14,4.111753333795634e-31,8.664613831195156e-34,9.955467294068422e-14,5.365274262630425e-35,5.9890228710793715e-36,3.4447514045296733e-18,1.7982115643068083e-30,4.1018285139783143e-39,4.4618084796264076e-30,6.84189432953783e-16,1.555136464692828e-34,8.065192382821274e-32,2.2905547214816784e-31,4.467626615609968e-35,4.579938951282499e-32,1.4470022255816425e-31,5.598800436637788e-59,9.931464411766525e-50,7.112087564375922e-22,1.9155309028395006e-71,2.588424736983329e-31,3.7410257222411055e-34,7.657923464691279e-45,2.8526290830518454e-62,1.0278247917048388e-58,2.823824662478211e-47,1.018369911267818e-62,1.1477482764955586e-86,1.081514745808461e-90,1.70037581962219e-89,3.4422096453412865e-77,1.4686577223075403e-58,4.718767527079826e-91,2.2797699484169856e-46,7.013569107431868e-53,5.249406015994479e-47,1.1211561508005349e-51
2.3989650509273984e-20,0.9161336080955986,1.7682295404653554e-22,1.098326009578604e-22,3.236414866378187e-31,5.694585080150924e-35,0.0,0.0,6.9013286042697066e-18,1.0732834790419519e-33,1.781147381369314e-45,7.630845974922203e-47,5.559137718334747e-52,3.282641288956851e-57,5.145366390554719e-39,1.777638841981688e-33,1.0380740526990266e-30,4.100168135348698e-46,1.2009090467717359e-53,1.4263242770938898e-50,1.4607630344024597e-30,8.931302410951283e-48,1.4248955921613189e-21,1.6646357278502615e-60,1.057214208938414e-46,3.794294638086318e-49,1.93509260270155e-46,5.315568626958472e-58,9.700285610216917e-75,1.4704846370783102e-74,1.0518504491047065e-60,3.16086105572766e-66,7.762367022031922e-60,3.608205956422229e-90,3.76,0.0,0.7212463263590358,0.9999999999998006,3.0682221950585303e-44,2.0199383710905223e-44,2.177538418450197e-14,2.1775384184501976e-14,1.6489969894995243e-30,3.474897680624106e-33,1.9945622627112776e-13,2.1517149470724455e-34,2.401866036942195e-35,6.901505427180231e-18,7.211632642588895e-30,1.6498504979126005e-38,1.7893847595889203e-29,1.3707628012140105e-15,6.2367927752016e-34,3.2345028700568513e-31,9.186148908724354e-31,1.7917180923811511e-34,1.8367603622254419e-31,5.8031261121245665e-31,4.658818767225715e-58,7.969374728660986e-49,1.4248955921686942e-21,3.092507329958381e-70,1.0380740896547317e-30,1.5003186360706253e-33,6.145001301233278e-44,4.585517936765135e-61,1.6521983338150187e-57,2.2680157522895456e-46,1.6363123993582087e-61,3.706247111045396e-85,3.4923693498573505e-89,5.490762302307749e-88,5.723478782065043e-76,1.1817380767747104e-57,1.52375907442993e-89,1.8293718086839224e-45,5.627947509577454e-52,4.212317731759402e-46,8.996572030637538e-51
