Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134)
0.0,0.47883893118220505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7106968521218087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9642182652958e-21,0.47883893118220505,9.753482701308408e-30,1.64070679641881e-34,8.759944183268012e-38,1.01401629128997e-43,0.0,0.0,7.535613196692858e-24,2.1477379093782766e-42,1.7789719487089108e-55,2.9641642131093e-57,2.3588945646535064e-67,4.9717475640419677e-76,7.454568254104457e-54,8.93248708645567e-44,3.523804523059218e-41,1.499951538811302e-57,7.747892306405153e-75,9.065624438922311e-74,6.42046830164968e-44,7.004935044381176e-66,9.122651677000083e-32,9.876231508255914e-91,5.54513520105947e-60,1.4299866858817407e-67,6.301554843207648e-66,3.218932288832543e-84,2.2014801926032955e-94,1.7395018533025002e-96,1.5087156926061892e-75,4.0932443606299e-90,1.261770860869418e-74,2.7283263444526994e-121,3.76,0.0,0.7106968521218087,0.9999999999999997,1.337664202140598e-51,5.712151358225057e-57,1.156652701257701e-20,1.156652701257701e-20,1.5180940668563967e-43,4.98300045312532e-49,4.0311288707527643e-16,9.318120118311198e-47,5.146894840778082e-49,7.535622950175492e-24,2.4568459306596573e-38,3.315689628162994e-49,7.130023160248067e-39,4.7151631988204315e-23,1.1208399442744904e-45,8.75994325469344e-38,6.830222591011189e-43,2.3791645321069547e-47,5.463036897572147e-44,3.4742185061823176e-40,2.0143174178999213e-74,2.7651507522837085e-63,9.122651677009323e-32,1.4939977292930635e-87,3.5238045230592183e-41,2.742899222834961e-38,4.2137035073746836e-61,1.3046303860499175e-77,1.2580632380105583e-75
1.949981114282824e-20,0.47883893118220505,2.730975156625785e-29,4.593979030273913e-34,5.29100628669379e-37,6.124658399876992e-43,0.0,0.0,2.1099716950740016e-23,1.29723369726448e-41,2.1119954975071863e-54,3.5190557538000546e-56,2.8004796272565736e-66,5.902458708020971e-75,4.502559225474142e-53,5.39522220021369e-43,2.1283779319277513e-40,1.7807424668753379e-56,9.198297755720715e-74,1.0762709333886642e-72,3.877962854196408e-43,8.31625888468801e-65,2.5543424695571292e-31,4.7180039321597705e-89,6.583184510697506e-59,2.160995879836816e-66,9.504331468909499e-65,1.0120838145582191e-82,1.0516735057698459e-92,8.309809093450485e-95,3.374936655731687e-74,1.1544554052349888e-88,3.967206384276609e-73,2.7509050036733793e-119,3.76,0.0,0.7106968521218087,0.9999999999999988,1.588074940781294e-50,6.7814660924847405e-56,3.238627563521563e-20,3.238627563521563e-20,9.169288163800589e-43,3.0097322736872067e-48,1.1287160837856003e-15,5.628144551459154e-46,3.108724483958654e-48,2.109974426049118e-23,1.4839349421183712e-37,2.0077014496269144e-48,4.3065339887898e-38,1.320245695669718e-22,6.76987326341791e-45,5.291005725834824e-37,4.125454444970614e-42,1.4370153774125922e-46,3.2996742861334893e-43,2.098427977734033e-39,2.397535192744329e-73,3.282786973111188e-62,2.5543424695627103e-31,3.3572721671875606e-86,2.128377931927752e-40,1.656711130592079e-37,5.002508803955206e-60,4.1019666746026804e-76,3.9555521103517074e-74
4.457099689789312e-20,0.47883893118220505,6.242228930653394e-29,1.05005234991891e-33,2.5473917684942016e-36,2.948759375799594e-42,0.0,0.0,4.8227924458834377e-23,6.245621840472037e-41,2.0735697034150048e-53,3.4550298067899464e-55,2.749527504869592e-65,5.7950689606173905e-74,2.167788448286151e-52,2.5975672447330075e-42,1.0247223553055958e-39,1.7483435136339902e-55,9.030943300939365e-73,1.0566891846001864e-71,1.867072182119727e-42,8.164952287726596e-64,5.838497073259795e-31,2.4566517618444593e-87,6.463409590353993e-58,2.3247007559409125e-65,1.0217930619097823e-63,2.2579033159108506e-81,5.476042141080537e-91,4.326900366932263e-93,6.668306106255503e-73,2.511622541818482e-87,8.850617699761604e-72,2.987617012907641e-117,3.76,0.0,0.7106968521218087,0.9999999999999973,1.559181394015005e-49,6.658083623146976e-55,7.402577288049287e-20,7.402577288049287e-20,4.414617546400332e-42,1.4490565317681132e-47,2.579922477105554e-15,2.709709330403682e-45,1.4967170198899716e-47,4.822798688112173e-23,7.144507966357355e-37,9.717399151944966e-48,2.073410735000088e-37,3.017704447245056e-22,3.2594025579502016e-44,2.547391498464833e-36,1.9862287294658363e-41,6.918610459661183e-46,1.5886511298138473e-42,1.0103027415976872e-38,2.3669148003661027e-72,3.2230597168617905e-61,5.838497073286666e-31,6.675179106701504e-85,1.0247223553055964e-39,7.97635094000051e-37,4.911492808195872e-59,9.151262002166877e-75,8.824619163073902e-73
9.471336840802288e-20,0.47883893118220505,1.3264736482859499e-28,2.2313612441839407e-33,1.1125129112748971e-35,1.2878006906909023e-41,0.0,0.0,1.0248433947502325e-22,2.7276271449104205e-40,1.8340489202407245e-52,3.055934737125629e-54,2.4319259410247366e-64,5.125672868561862e-73,9.467301682635938e-52,1.1344258599712915e-41,4.47523174428495e-39,1.5463900384435256e-54,7.987767111421302e-72,9.346296171538776e-71,8.153994743095094e-42,7.221807833346598e-63,1.2406806280618822e-30,9.803847937734673e-86,5.716812586882336e-57,2.1368005059228687e-64,9.389720530597241e-63,4.2288030247534104e-80,2.185344667202111e-89,1.7267523512018732e-91,1.1865894429843332e-71,4.657718050497121e-86,1.657622631411386e-70,2.438703762305958e-115,3.76,0.0,0.7106968521218087,0.9999999999999944,1.3790782858387105e-48,5.88899956427539e-54,1.5730476737104735e-19,1.5730476737104735e-19,1.9279794648889518e-41,6.328410575461614e-47,5.4823352633426844e-15,1.1834012550242669e-44,6.536556449762899e-47,1.024844721223796e-22,3.120194331936803e-36,4.2888119981222015e-47,9.055129413514529e-37,6.412621950395687e-22,1.4234667292285857e-43,1.1125127933460472e-35,8.674382690581964e-41,3.0215389560771304e-45,6.938056859915252e-42,4.4122575028501897e-38,2.1166361630881682e-71,2.8507598195742035e-60,1.2406806280736175e-30,1.2010325221066558e-83,4.475231744284957e-39,3.4834820129967254e-36,4.3441597679628776e-58,1.7139300940270837e-73,1.6527535051040808e-71
1.949981114282824e-19,0.47883893118220505,2.7309751603875256e-28,4.5939790346419714e-33,4.644522405967436e-35,5.376314383193182e-41,0.0,0.0,2.109971695074017e-22,1.1387306395523701e-39,1.5416286271995733e-51,2.5686972804140387e-53,2.0441802885938955e-63,4.3084368909237233e-72,3.952412088257131e-51,4.73600465316159e-41,1.868321158125766e-38,1.2998340042922457e-53,6.71419961321449e-71,7.856125088756248e-70,3.404132293534661e-41,6.070364630484377e-62,2.5543424695151644e-30,3.4844404615288026e-84,4.805325443071408e-56,1.828077821126208e-63,8.032219187798033e-62,7.304205599846558e-79,7.767057224202867e-88,6.13714830667115e-90,2.001356531148737e-70,8.010904508692769e-85,2.8631307815810957e-69,1.7535482185823655e-113,3.76,0.0,0.7106968521218087,0.9999999999999887,1.159198394947515e-47,4.950058972615531e-53,3.238627563521563e-19,3.238627563521563e-19,8.048934742304568e-41,2.6419868402402567e-46,1.1287160834205842e-14,4.940467286717301e-44,2.728883646355135e-46,2.1099744260488236e-22,1.3026197124348849e-35,1.828076194171675e-46,3.7803382795630605e-36,1.3202456956696766e-21,5.942693384543199e-43,4.6445219136382853e-35,3.621384017752111e-40,1.2614330351931335e-44,2.896502163091514e-41,1.8420306519766456e-37,1.8180658980892832e-70,2.3962353995166475e-59,2.5543424695641587e-30,2.0690304659603137e-82,1.8683211581257712e-38,1.454285167943789e-35,3.6515280402345564e-57,2.9603880131189316e-72,2.854720668652365e-70
3.9556759746880145e-19,0.47883893118220505,5.539978191232096e-28,9.319214623269917e-33,1.897438949871515e-34,2.1963998533208463e-40,0.0,0.0,4.280228295721613e-22,4.652086221229787e-39,1.263920289856392e-50,2.105973224601911e-52,1.6759425057970336e-62,3.532316867871769e-71,1.614689302053578e-50,1.9348124328092755e-40,7.63270154912523e-38,1.06568244936654e-52,5.504706591206299e-70,6.440925994827916e-69,1.3906991160105275e-40,4.976851680040458e-61,5.18166615234764e-30,1.1736554118012727e-82,3.939696123761548e-55,1.511490095600887e-62,6.640848363166555e-61,1.2136046859822901e-77,2.616158785065269e-86,2.0671605724385297e-88,3.287234112097998e-69,1.32956445906869e-83,4.7571345389931025e-68,1.1881207315989628e-111,3.76,0.0,0.7106968521218087,0.999999999999977,9.503808799948127e-47,4.058357415715942e-52,6.569787343143742e-19,6.569787343143742e-19,3.288252472431349e-40,1.0793378301430095e-45,2.2896811969487733e-14,2.0183420900971145e-43,1.114838011593285e-45,4.280233835698361e-22,5.321626559638717e-35,7.775408980292189e-46,1.5443915366019797e-35,2.67821269692982e-21,2.4277841528961914e-42,1.897438748739469e-34,1.479453534101676e-39,5.153365545406447e-44,1.1833156441606688e-40,7.525296253120824e-37,1.5543621590761094e-69,1.9645785549683237e-58,5.1816661525477966e-30,3.5396597548152855e-81,7.632701549125273e-38,5.941229432601438e-35,2.993743303415887e-56,4.918728960144259e-71,4.743161084780995e-69
7.967065695498395e-19,0.47883893118220505,1.115798427948691e-27,1.8769685831373347e-32,7.669751609763142e-34,8.878199405239482e-40,0.0,0.0,8.620741497016912e-22,1.8804476310803842e-38,1.0235554200715712e-49,1.7054717182699718e-51,1.3572216946173807e-61,2.8605617809392914e-70,6.526832325263737e-50,7.820821203034379e-40,3.0852600025538414e-37,8.63017277156104e-52,4.457854268049233e-69,5.216028862862495e-68,5.621428180572774e-40,4.0303835240678765e-60,1.0436313517716232e-29,3.852054420542828e-81,3.190468064536834e-54,1.2291186460467155e-61,5.400090820995614e-60,1.9784819400842894e-76,8.586495086845733e-85,6.784627982173822e-87,5.328748152208729e-68,2.1707643031365728e-82,7.75532987509864e-67,7.821613522913474e-110,3.76,0.0,0.7106968521218087,0.9999999999999538,7.696430769076466e-46,3.28656305526744e-51,1.32321069023881e-18,1.32321069023881e-18,1.3291642239309475e-39,4.36285608068569e-45,4.611611421427384e-14,8.158461433268464e-43,4.506353496399228e-45,8.620752654995358e-22,2.151086540891174e-34,3.3912409632583044e-45,6.242677517905646e-35,5.394146699449816e-21,9.813491715295382e-42,7.669750796759106e-34,5.980187729100583e-39,2.0830727496319778e-43,4.783151029586873e-40,3.0418450646424235e-36,1.362102115269127e-68,1.590966648951487e-57,1.0436313518525298e-29,6.195144922513e-80,3.0852600025538753e-37,2.401539928731673e-34,2.424410945142533e-55,8.018769628122739e-70,7.73254967324961e-68
1.5989845137119157e-18,0.47883893118220505,2.2393996562259228e-27,3.767062837097035e-32,3.0839733894891e-33,3.5698849524029495e-39,0.0,0.0,1.7301767899607955e-21,7.561197219483027e-38,8.238464493817377e-49,1.3727120114602005e-50,1.0924100981500669e-60,2.302428984288788e-69,2.624410571740419e-49,3.1447178082989226e-39,1.2405694775597832e-36,6.946313854224504e-51,3.588069183094694e-68,4.198313813034703e-67,2.2603515474689768e-39,3.2440032955759857e-59,2.0945608247267985e-29,1.2482811174637902e-79,2.5679662627797053e-53,9.91328719944304e-61,4.355314468408722e-59,3.1952536307096066e-75,2.782504795631666e-83,2.1985990448994784e-85,8.581784622862271e-67,3.5227105097729895e-81,1.252487841353089e-65,5.076642931910436e-108,3.76,0.0,0.7106968521218087,0.9999999999999074,6.194757057290175e-45,2.64531187140169e-50,2.6556746020876817e-18,2.6556746020876817e-18,5.3445108851813184e-39,1.754285241486234e-44,9.255471860073533e-14,3.2804814600681206e-42,1.8119849262871827e-44,1.7301790293581057e-21,8.649424372675653e-34,1.5632826238084466e-44,2.5101531736553542e-34,1.0826014704488645e-20,3.9459618574152784e-41,3.083973062586851e-33,2.4046071840444324e-38,8.375943917062777e-43,1.9232839919308678e-39,1.223112521968621e-35,1.2626921706267478e-67,1.2805483700455921e-56,2.0945608250521197e-29,1.1449069149214485e-78,1.2405694775598103e-36,9.656486429772586e-34,1.9513768476355445e-54,1.2950334368632308e-68,1.2488088354411766e-66
3.2035404020360683e-18,0.47883893118220505,4.486602155285464e-27,7.547251394372488e-32,1.2368112632633524e-32,1.4316835483974367e-38,0.0,0.0,3.4663820704791774e-21,3.032378267824077e-37,6.610848915903115e-48,1.1015149386701e-49,8.765903105187096e-60,1.8475542575592367e-68,1.052506018741848e-48,1.2611724918931063e-38,4.9752384632696443e-36,5.573979403822626e-50,2.8791999416959385e-67,3.3688824343077765e-66,9.065020672289374e-39,2.6031083444506714e-58,4.196419770162975e-29,4.0196640554658994e-78,2.060631201001528e-52,7.962891450968357e-60,3.498403728681345e-58,5.13627693116267e-74,8.960108797908465e-82,7.079839242756745e-84,1.3775664897919333e-65,5.722249715558701e-80,2.013337620614138e-64,3.2719483660031713e-106,3.76,0.0,0.7106968521218087,0.9999999999998145,4.970902406292191e-44,2.122696180875201e-49,5.3206024257854255e-18,5.3206024257854255e-18,2.1433879036654728e-38,7.035468441456028e-44,1.8543192696121542e-13,1.315619788580888e-41,7.266870024965285e-44,3.466386557071925e-21,3.468806028383399e-33,7.871074626388644e-44,1.0066836919794192e-33,2.1689750714561655e-20,1.582507192280814e-40,1.2368111321634145e-32,9.643550294821157e-38,3.3591281401344504e-42,7.713229017404368e-39,4.905228263512286e-35,1.280208328987712e-66,1.0275594208407842e-55,4.19641977146766e-29,2.310347995287634e-77,4.9752384632698615e-36,3.87268295517487e-33,1.565857026805438e-53,2.0817284268506722e-67,2.0074237228506063e-65
