Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65)
2.1852832471988315e-19,0.7118282280392427,1.9409995501781243e-23,1.3288416567520456e-25,7.707653673661048e-31,2.3572651872883366e-35,0.0,0.0,8.591471645786919e-19,1.7526338169098897e-34,3.727683283271479e-45,5.129940815502747e-59,3.4079506879093337e-59,1.1453082863585104e-65,4.363949457460896e-47,6.731611617335097e-51,8.313565865890012e-64,8.18763404346455e-62,2.603166724223496e-57,1.0565237857405113e-55,9.392587129249808e-33,1.6149980616484351e-50,1.5890872953774992e-55,3.9465895360619294e-106,9.637045701566118e-80,2.88761159923681e-52,1.71153409319445e-49,8.199389382341364e-67,1.117310497681999e-116,6.1507196639255036e-86,9.752166765352796e-81,4.225413998919004e-70,3.0980465736726924e-60,5.940134882587946e-101,3.76,0.0,0.8432079109090425,0.9999999999996556,4.628155354143071e-43,3.011432568145478e-77,3.1444241736085093e-15,3.1444241736085093e-15,1.3163180392098953e-32,3.423698330979393e-36,3.4450309764164953e-13,2.8811188345544186e-36,1.0527688335599614e-37,8.591665745697992e-19,1.9532673992386856e-30,1.966981097767505e-41,1.1831485136425294e-30,1.0205701973261637e-16,1.7033814376250098e-35,7.7076162655166355e-31,1.7811493049728254e-32,1.4945496054349862e-36,2.6740850675308337e-33,9.565848574652573e-32
4.372465089747098e-19,0.7118282280392431,3.8836856951851065e-23,2.658837824153269e-25,3.085070141980072e-30,9.435204449993859e-35,0.0,0.0,1.7190407645736586e-18,7.015102763183497e-34,2.9844132176376485e-44,4.1073169918051026e-58,2.7396600450933375e-58,9.169430255683152e-65,1.7467170610761834e-46,5.389714370499234e-50,1.3313415726886135e-62,1.3114378989176585e-60,2.0841162274261944e-56,8.45861440282939e-55,3.75948263054903e-32,1.2929804372766764e-49,1.2725585993301121e-54,5.06131521708711e-104,3.086663858353945e-78,2.3124312355167236e-51,1.370613113406653e-48,1.313429103247152e-65,1.4325179005768763e-114,1.9705972457013878e-84,3.124180035613197e-79,6.768007335019996e-69,4.962637798283272e-59,3.807752943671643e-99,3.76,0.0,0.8432079109090392,0.9999999999993108,3.705338399902267e-42,9.64535057056374e-76,6.291580253536383e-15,6.291580253536383e-15,5.268702580195493e-32,1.3703715738941756e-35,6.893055026611504e-13,1.1531983750594023e-35,4.213818930543754e-37,1.7190796014130217e-18,7.818159958594635e-30,1.5747808869087576e-40,4.7356774285671304e-30,2.0420270759705743e-16,6.817964890636888e-35,3.085055168974776e-30,7.129239028851347e-32,5.9820933323363586e-36,1.0703309136826554e-32,3.8288323619263106e-31
8.74682877484363e-19,0.711828228039244,7.769058692103245e-23,5.318830159217651e-25,1.2344299057853524e-29,3.775311164792938e-34,0.0,0.0,3.4388279645624295e-18,2.806954864722227e-33,2.3884375982114287e-43,3.287494225150009e-57,2.2105312022294716e-57,7.338330981781716e-64,6.989143448968557e-46,4.313542316308832e-49,2.1310838368016338e-61,2.0994344449053533e-59,1.6679264053925487e-55,6.769462267831215e-54,1.5042827475094359e-31,1.0347773129673562e-48,1.018562653789255e-53,6.484685978582673e-102,9.881821654484854e-77,1.8508822287709616e-50,1.0970450970130704e-47,2.1027089724623074e-64,1.835135277373898e-112,6.309701458281568e-83,1.0002958189807921e-77,1.0834694835566438e-67,7.944834118924441e-58,2.43907705609095e-97,3.76,0.0,0.8432079109090328,0.9999999999986212,2.965396847900782e-41,3.0879155891497716e-74,1.2585892413392084e-14,1.2585892413392084e-14,2.108167312004549e-31,5.483271286949656e-35,1.3789103119029295e-12,4.6142956106818037e-35,1.6860764487858685e-36,3.4389056550789724e-18,3.128282345842729e-29,1.2603033175540238e-39,1.8948878219646195e-29,4.0849408332593334e-16,2.728074037304693e-34,1.2344239146339593e-29,2.852624237854028e-31,2.3936165382092095e-35,4.282717825223858e-32,1.532031673265472e-30
1.7495556145036693e-18,0.7118282280392456,1.5539807513556223e-22,1.0638814830394155e-24,4.938523435608726e-29,1.5103706134699587e-33,0.0,0.0,6.8784023645353184e-18,1.1229647238120417e-32,1.9111129657462487e-42,2.631122719409259e-56,1.7975191232664423e-56,5.871779734778494e-63,2.7961124855414046e-45,3.4515423387859076e-48,3.410484208596099e-60,3.3600024152017094e-58,1.3345945694306422e-54,5.416598332220766e-53,6.018110520137367e-31,8.279790692197086e-48,8.150565106450279e-53,8.304369902487069e-100,3.162902715851216e-75,1.4810807708641441e-49,8.778579742782832e-47,3.365313130027457e-63,2.3499419187097383e-110,2.0197114348280601e-81,3.201840025085493e-76,1.7340231717129631e-66,1.2715426710917711e-56,1.561906794317684e-95,3.76,0.0,0.84320791090902,0.999999999997242,2.372768025775965e-40,9.883576013675674e-73,2.5174516733103298e-14,2.5174516733103298e-14,8.434042001206396e-31,2.1936655637532197e-34,2.7581199271975983e-12,1.8460187091583233e-34,6.745403712073169e-36,6.8785577623288944e-18,1.2515166397790814e-28,1.0084341381286983e-38,7.58078516460457e-29,8.170768347836606e-16,1.0914072564325288e-33,4.9384994671103526e-29,1.141235446817811e-30,9.576024794598425e-35,1.7133660038592314e-31,6.129124292051167e-30
3.499301088542282e-18,0.7118282280392488,3.108131646692898e-22,2.1278784176938114e-24,1.9755701481774034e-28,6.041976668626908e-33,0.0,0.0,1.375755116446249e-17,4.4922244771229077e-32,1.5290355429727916e-41,2.106102700434326e-55,1.4841694964044515e-55,4.697869815574157e-62,1.1185360220480392e-44,2.761517296755077e-47,5.457374926171939e-59,5.376729810228247e-57,1.0677770789620807e-53,4.333690116855382e-52,2.4074401280268477e-30,6.624461496237291e-47,6.5212781763221786e-52,1.0632136273991338e-97,1.0122440615439376e-73,1.1850146303621217e-48,7.023751489221018e-46,5.3852858447892364e-62,3.008546746444154e-108,6.464049906328582e-80,1.024731774483812e-74,2.7748186181303122e-65,2.034763691681907e-55,1.000189633597667e-93,3.76,0.0,0.8432079109089944,0.9999999999944835,1.8983946588487512e-39,3.1631037884247265e-71,5.0351765372524946e-14,5.035176537252496e-14,3.37389136891801e-30,8.775376402553999e-34,5.516539145031378e-12,7.384675809200222e-34,2.6983810897828023e-35,1.3757861976500829e-17,5.006473990587929e-28,8.068239122563192e-38,3.0325608587038573e-28,1.634242337699016e-15,4.365984334039339e-33,1.9755605600044802e-28,4.565313316727971e-30,3.8307216757584073e-34,6.854021802293596e-31,2.4518492507522553e-29
6.998792036619507e-18,0.7118282280392554,6.216437961554171e-22,4.255872288678987e-24,7.902602151956948e-28,2.416891021602573e-32,0.0,0.0,2.7515848764242397e-17,1.7969629098229968e-31,1.2232865056258434e-40,1.686569683140084e-54,1.2610237095873668e-54,3.75847427367146e-61,4.4743261516042715e-44,2.209327213781842e-46,8.732280254697351e-58,8.603348494387078e-56,8.542622899689112e-53,3.467116682616493e-51,9.630152366002994e-30,5.299820787275718e-46,5.2173537015653597e-51,1.361076232553339e-95,3.23936538554423e-72,9.480717137693917e-48,5.619356291064766e-45,8.617090678111649e-61,3.8513397521081427e-106,2.0686529911349836e-78,3.279370441980174e-73,4.440027497536918e-64,3.2558582603019523e-54,6.406645657894235e-92,3.76,0.0,0.8432079109089432,0.9999999999889667,1.5187878262084217e-38,1.0122507519593787e-69,1.0070626265136517e-13,1.0070626265136522e-13,1.3496114618054843e-29,3.5102933946057726e-33,1.1033377529676705e-11,2.953990522472216e-33,1.0793963632112273e-34,2.7516470403533053e-17,2.002671085089538e-27,6.454897720410551e-37,1.2130737037618346e-27,3.268573343529331e-15,1.746464797796178e-32,7.902563797758389e-28,1.826199634945628e-29,1.5323510300002391e-33,2.741720281937505e-30,9.807796084478482e-29
1.3997773932773956e-17,0.7118282280392685,1.2433068688023616e-21,8.511860037354882e-24,3.161105173721447e-27,9.667776859822263e-32,0.0,0.0,5.503244396350449e-17,7.1879978798068775e-31,9.786524336132725e-40,1.3518598901808403e-53,1.1266565020482819e-53,3.0068507902596717e-60,1.7897668749858284e-43,1.7675071224757377e-45,1.3972033318860302e-56,1.3765822245980345e-54,6.834261715541318e-52,2.7737591833604533e-50,3.8521393185753606e-29,4.239957268393414e-45,4.1740165557057417e-50,1.7422818412080543e-93,1.0366264699758622e-70,7.58481376097608e-47,4.495627077105238e-44,1.3787869065145752e-59,4.929976909153451e-104,6.6199489897633304e-77,1.0494351449301647e-71,7.104338019057245e-63,5.209562306909613e-53,4.106612555031097e-90,3.76,0.0,0.8432079109088408,0.999999999977933,1.2150591013686603e-37,3.2392946099699367e-68,2.0141525720903335e-13,2.014152572090336e-13,5.39855566642096e-29,1.404145924259946e-32,2.206705409487844e-11,1.1816202491745212e-32,4.31767334695364e-34,5.503368725235092e-17,8.010847318237212e-27,5.164040746914953e-36,4.852393536968643e-27,6.5372353551883805e-15,6.986001321982638e-32,3.161089831772912e-27,7.304947156675776e-29,6.1295288887589436e-33,1.0967104251174917e-29,3.923198251023436e-28
2.799573772508286e-17,0.7118282280392944,2.4866402527950215e-21,1.7023835561528948e-23,1.264454932146232e-26,3.8671629482469146e-31,0.0,0.0,1.100656343608378e-16,2.875228400257122e-30,7.829312386489204e-39,1.0856161836970545e-52,1.0898398775976882e-52,2.4055091826088034e-59,7.159140337387502e-43,1.4140238382312492e-44,2.2355563166188106e-55,2.2025687324232886e-53,5.467476146433398e-51,2.219033681716945e-49,1.5408714020043714e-28,3.392006070315051e-44,3.3392684851029783e-49,2.230187669577145e-91,3.317252257054043e-69,6.0679470394967345e-46,3.596558480325555e-43,2.206106505176573e-58,6.310553669014362e-102,2.1184304155076542e-75,3.358251029983253e-70,1.1367303564635484e-61,8.335450965875092e-52,2.6361820086851233e-88,3.76,0.0,0.8432079109086361,0.9999999999558655,9.720588173777436e-37,1.0365891157411563e-66,4.028332463243206e-13,4.0283324632432144e-13,2.1594442216174533e-28,5.616640823921522e-32,4.4134406408926246e-11,4.7265290774912484e-32,1.7270869481185486e-33,1.1006812092900037e-16,3.2043715209759513e-26,4.131281623812197e-35,1.9409771590300598e-26,1.3074559378500148e-14,2.794428955131101e-31,1.2644487953388096e-26,2.9220085845044376e-28,2.4518365471925323e-32,4.3868863234822435e-29,1.5692952636116486e-27
5.599166530970067e-17,0.7118282280393464,4.9733359755754976e-21,3.4047786717166906e-23,5.0578454536581456e-26,1.5468833396257688e-30,0.0,0.0,2.2013201515074086e-16,1.150097209772598e-29,6.263487076299941e-38,8.750828378662466e-52,1.1734852317393365e-51,1.924418768709138e-58,2.863670708994835e-42,1.1312263258045306e-43,3.5769155103122644e-54,3.524139710623215e-52,4.374009890628654e-50,1.775237479087406e-48,6.163516957304453e-28,2.713620958013588e-43,2.671439767580243e-48,4.113090845078939e-89,1.0615285085875273e-67,4.854396058452604e-45,2.8772695120079336e-42,3.529833575908144e-57,8.077682181977146e-100,6.779099525676496e-74,1.0746496999554487e-68,1.8188383931506746e-60,1.3336842564528893e-50,1.70612946407092e-86,3.76,0.0,0.8432079109082267,0.9999999999117307,7.776516683949534e-36,3.3171094767715872e-65,8.056692245546982e-13,8.056692245547016e-13,8.637820724873365e-28,2.2466677498261306e-31,8.826910777159948e-11,1.8906212471930683e-31,6.908383254176459e-33,2.2013698819835407e-16,1.2817551254076978e-25,3.305044905518382e-34,7.76394812224194e-26,2.6149207425098372e-14,1.1177772672857001e-30,5.0578209065789543e-26,1.1688093767477746e-27,9.80739647409284e-32,1.7547634523791393e-28,6.277212977903408e-27
1.119835204789363e-16,0.7118282280394503,9.946843240317709e-21,6.809568945760791e-23,2.0231433262040877e-25,6.187631434619502e-30,0.0,0.0,4.402647767114926e-16,4.600400538270652e-29,5.010804527656604e-37,7.106039582396265e-51,1.4213654517590963e-50,1.5395395878480926e-57,1.1454712036013214e-41,9.049839612515422e-43,5.723087107645655e-53,5.638647328190982e-51,3.499223123863442e-49,1.4201941961808796e-47,2.465413052792321e-27,2.1709032061992628e-42,2.137166418889727e-47,5.2773744985514535e-87,3.39690482332244e-66,3.883532240404418e-44,2.3018247009282425e-41,5.647847680253472e-56,1.0339658646568199e-97,2.169355473476997e-72,3.438894030446955e-67,2.9103278599494003e-59,2.1339044912762486e-49,1.1106084385100831e-84,3.76,0.0,0.8432079109074077,0.9999999998234611,6.221231804373505e-35,1.0614792808401814e-63,1.6113411810146669e-12,1.6113411810146806e-12,3.455137000137515e-27,8.986693798512965e-31,1.7653849743525833e-10,7.562504221169324e-31,2.7633605883240085e-32,4.402747224012805e-16,5.1270335217111495e-25,2.6440437603493072e-33,3.105587144107288e-25,5.2298503518193546e-14,4.471120439157412e-30,2.0231335075677242e-25,4.675249381331291e-27,3.9229688881020744e-31,7.019071642281285e-28,2.5108915733950725e-26
