Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46)
0.0,0.9371876199782091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.005884328446502,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8415972105194887e-23,0.9371876199782091,3.4535236420636446e-25,1.0021991037188101e-25,6.666672808287113e-40,4.037941079619927e-40,0.0,0.0,1.233643342160348e-20,6.316685473579541e-39,1.0055590695860656e-56,2.18590047146731e-63,1.4462630836632355e-63,6.482431894165092e-69,4.074825526603764e-48,2.0187703114263223e-56,4.347158360567853e-72,1.806216005957944e-70,9.19003385546466e-62,8.102044822789138e-59,5.3587707789474795e-36,8.507707924981573e-56,3.2684526040768016e-72,-4.592741518299006e-126,1.4028717922680021e-90,5.779437552105386e-78,1.4671332301686107e-54,-5.627893102266941e-90,3.1220885530336207e-146,-1.2113428247103389e-110,1.2225005228537707e-90,1.2775854727701541e-89,1.4424846218658974e-70,-3.6976094626195277e-118,3.76,0.0,1.005884328446502,0.9999999999999998,2.8066415943945132e-55,3.3763322154096027e-88,4.241115511855162e-17,4.241115511855162e-17,6.141558503543714e-36,1.0841472106385202e-38,3.484193628047756e-16,8.066283067313421e-40,8.061534434427694e-41,1.23367787739675e-20,3.2240571817822575e-35,1.2256762782618515e-48,7.735620910581193e-35,2.556396159179435e-18
1.355647218945457e-22,0.9371876199782091,9.669866200288645e-25,2.8061574904126715e-25,4.026670376250121e-39,2.4389164126187842e-39,0.0,0.0,3.4542013580489726e-20,3.815278026042041e-38,1.1937997274127213e-55,2.5951010445709365e-62,1.7170039282739304e-62,7.69594314475309e-68,2.4611946180687842e-47,3.0507656946274776e-55,1.2259682122139584e-70,5.081191580199796e-69,1.0910408193227767e-60,9.618747613615261e-58,3.236697550484278e-35,1.0100350848538117e-54,9.217559295913815e-71,1.8016960490375824e-124,7.259735588528508e-89,1.2981950544574051e-76,2.2113928875462583e-53,5.630318173832567e-89,1.4738181460411928e-144,2.0602223485442028e-109,6.312631943179935e-89,6.597131587429881e-88,4.057989485636441e-69,7.225506090975831e-117,3.76,0.0,1.005884328446502,0.999999999999999,3.3320460647016634e-54,1.747686793063889e-86,1.1875123433194455e-16,1.1875123433194455e-16,3.7095013361401844e-35,6.548249152256537e-38,9.755742158532409e-16,4.8720349726573124e-39,4.869166798394967e-40,3.4542980567108626e-20,1.947330537796391e-34,1.4551228775524064e-47,4.6723150299909995e-34,7.157909245702418e-18
3.098622214732473e-22,0.9371876199782092,2.2102551326780405e-24,6.414074263800409e-25,1.9386684527169462e-38,1.1742332667459963e-38,0.0,0.0,7.895317389826215e-20,1.8368921357169275e-37,1.1720796515099566e-54,2.54788560428478e-61,1.6857654593678015e-61,7.555922615839733e-67,1.1849592631365391e-46,3.281874519879617e-54,2.666748646520597e-69,1.104304500435488e-67,1.0711903461989828e-59,9.443743445443005e-57,1.5583305425179269e-34,9.9165843573585e-54,2.005020483541712e-69,3.9103020306970634e-122,3.169572790975325e-87,2.569752200809908e-75,2.3769399827844536e-52,3.0993796333151594e-87,7.768120447095808e-142,2.422190235540337e-107,2.753859968667821e-87,2.8779734547792526e-86,8.819305250384274e-68,7.6182871733444235e-115,3.76,0.0,1.0058843284465018,0.9999999999999978,3.271423095130981e-53,7.631084513196708e-85,2.7143139275873035e-16,2.7143139275873035e-16,1.7859652128301838e-34,3.1527000885366274e-37,2.229883921949649e-15,2.3456751159747503e-38,2.344294213532515e-39,7.895538415338939e-20,9.375558284621415e-34,1.4286482699418172e-46,2.2495185607969485e-33,1.636093541874838e-17
6.584572206306505e-22,0.9371876199782092,4.696792161993095e-24,1.3629907810575932e-24,8.466674467217511e-38,5.128185179306696e-38,0.0,0.0,1.6777549453380674e-19,8.022190551445987e-37,1.0366911783813627e-53,2.2535759807463053e-60,1.4910419112065414e-60,6.68312798561034e-66,5.1750284187884816e-46,3.0166081009582874e-53,4.9437025570746174e-68,2.0464826292142094e-66,9.474557303754537e-59,8.352884130502659e-56,6.805638889263299e-34,8.771106562338958e-53,3.716970065552871e-68,6.348471025191254e-120,1.1799062467802732e-85,4.57660860097134e-74,2.1841012878414568e-51,1.219376582241329e-85,2.6114913711631747e-139,1.9139163112709634e-105,1.0248250674737958e-85,1.0710131082165722e-84,1.6343825171354416e-66,6.019478407726343e-113,3.76,0.0,1.0058843284465016,0.9999999999999952,2.8935368826152462e-52,2.8408614301640015e-83,5.767917096123019e-16,5.767917096123019e-16,7.799779299497126e-34,1.3768669575107249e-36,4.738503334140375e-15,1.0244179495488126e-37,1.0238148731732816e-38,1.6778019132594496e-19,4.0945526208620296e-33,1.2636232158364252e-45,9.824238556437467e-33,3.476698776484031e-17
1.355647218945457e-21,0.9371876199782094,9.669866236690019e-24,2.8061574904127195e-24,3.5346699235774115e-37,2.1409163677849342e-37,0.0,0.0,3.454201358048948e-19,3.349106638091845e-36,8.714014007598197e-53,1.8942664295874007e-59,1.2533130099376926e-59,5.617571760576605e-65,2.1604724942068467e-45,2.580771740883976e-52,8.496961574152143e-67,3.516834194790702e-65,7.963936298828808e-58,7.02110241071184e-55,2.841220266997952e-33,7.372643564462146e-52,6.388521852729727e-67,9.117035683796664e-118,4.0648847170405384e-84,7.722272427457728e-73,1.8682714376455423e-50,4.307681724924742e-84,7.612409609738329e-137,1.354280773920971e-103,3.5301110649847936e-84,3.689211151419063e-83,2.808650081074643e-65,4.2657292895734096e-111,3.76,0.0,1.0058843284465009,0.9999999999999902,2.432192179030011e-51,9.787198362905749e-82,1.1875123433194447e-15,1.1875123433194447e-15,3.256254318575824e-33,5.748148510803668e-36,9.755742158513468e-15,4.27674328228965e-37,4.274225557142207e-38,3.454298056710324e-19,1.7093951177796595e-32,1.0621514519205188e-44,4.1014262067895647e-32,7.157909245702414e-17
2.75002721557507e-21,0.9371876199782094,1.961601445035112e-23,5.6924909091230566e-24,1.4440279974941891e-36,8.746341958503077e-37,0.0,0.0,7.007094183470668e-19,1.3682193403192003e-35,7.144275161994398e-52,1.553034114305475e-58,1.0275457302898074e-58,4.605624728713928e-64,8.826235083657782e-45,2.133831982595273e-51,1.4083090671489666e-65,5.8284661580660637e-64,6.529316138741194e-57,5.756323953441887e-54,1.1607311858031389e-32,6.04453863050828e-51,1.0588506458876043e-65,1.2349132258583146e-115,1.3489758508925372e-82,1.2686412008874493e-71,1.5446161384331398e-49,1.4470976896573915e-82,2.0770889439495708e-134,9.105823123928355e-102,1.1714261565049459e-82,1.2242218390225602e-81,4.654789892116973e-64,2.8704371973164713e-109,3.76,0.0,1.0058843284464996,0.9999999999999802,1.9940581275379811e-50,3.248014299469701e-80,2.4089536107337286e-15,2.4089536107337286e-15,1.3302861380989977e-32,2.3483062241299645e-35,1.979021980722622e-14,1.7471891775124193e-36,1.7461606046420807e-37,7.007290343611123e-19,6.983436818016691e-32,8.708159327715475e-44,1.675566431715034e-31,1.4520330184139166e-16
5.5387872088342956e-21,0.9371876199782099,3.9508311134742335e-23,1.1465157746544075e-23,5.8369920482931185e-36,3.5354112877106745e-36,0.0,0.0,1.4112879834313942e-18,5.530561333021437e-35,5.785619254048432e-51,1.2576873695577537e-57,8.321396560746191e-58,3.7297543142021917e-63,3.5677053401775377e-44,1.7351967304621666e-50,2.293066235556086e-64,9.489806673670929e-63,5.287609493423892e-56,4.661620380273969e-53,4.691861037965899e-32,4.895024098232424e-50,1.7240637877124798e-64,1.6256578104942003e-113,4.395423681002161e-81,2.0567298600356262e-70,1.256013939948994e-48,4.743622197390818e-81,5.488104846079988e-132,5.972093819401143e-100,3.8167804791590087e-81,3.988801487050593e-80,7.578848100544926e-63,1.883344792493501e-107,3.76,0.0,1.0058843284464971,0.9999999999999601,1.6148399844461677e-49,1.0583181710454723e-78,4.85183614556229e-15,4.85183614556229e-15,5.377229264639425e-32,9.492229219789042e-35,3.985917510451797e-14,7.062418007020648e-36,7.058260351054325e-37,1.4113274917408921e-18,2.8228168173860845e-31,7.0520931978503645e-43,6.772907417013475e-31,2.924517206101264e-16
1.1116307195352748e-20,0.9371876199782108,7.929290553180083e-23,2.301049142138746e-23,2.3470288323713272e-35,1.4215733504801498e-35,0.0,0.0,2.8324451135999813e-18,2.223814387715423e-34,4.6567697131952655e-50,1.0122963379782503e-56,6.69788825376204e-57,3.0020307533697162e-62,1.4345586259516126e-43,1.3994990249369437e-49,3.701018149144571e-63,1.5316315924363826e-61,4.255928132449962e-55,3.7520776338517446e-52,1.886576687811568e-31,3.9399412517292064e-49,2.7826459042706045e-63,2.1101074859742565e-111,1.4192528478240132e-79,3.3124734326281833e-69,1.0130039372955899e-47,1.536274989364427e-79,1.4272387969751691e-129,3.8689989581100344e-98,1.2323928142523343e-79,1.287936397544834e-78,1.2232076023836252e-61,1.2203760360889051e-105,3.76,0.0,1.005884328446492,0.99999999999992,1.299763713395869e-48,3.417245243396492e-77,9.737601215219389e-15,9.737601215219389e-15,2.16216023738933e-31,3.81678362093135e-34,7.999708569856647e-14,2.83976721898038e-35,2.8380954438266726e-36,2.8325244064989324e-18,1.1350422270678646e-30,5.676138123855156e-42,2.7233562840504518e-30,5.869485581475944e-16
2.227134716838965e-20,0.9371876199782124,1.588620984390221e-22,4.610115877107967e-23,9.412635366358801e-35,5.701145118048864e-35,0.0,0.0,5.674759373936887e-18,8.918490320032916e-34,3.736764421787006e-49,8.123042622550303e-56,5.374800983933911e-56,2.4089406182988468e-61,5.753221712128381e-43,1.1241537248523788e-48,5.9474368091953685e-62,2.4612692791026276e-60,3.415114298122707e-54,3.010806003570161e-51,7.566016310171209e-31,3.1615547256793574e-48,4.471637266021145e-62,2.7198241110115066e-109,4.562056951999555e-78,5.317413675675902e-68,8.13693147390161e-47,4.94558698400269e-78,3.682531199697823e-127,2.4912607759518832e-96,3.9613807021637783e-78,4.139919061647965e-77,1.9656445929319403e-60,7.859048086631037e-104,3.76,0.0,1.005884328446482,0.9999999999998397,1.0429785272495969e-47,1.0984429481916946e-75,1.950913135453349e-14,1.9509131354533493e-14,8.67122960166341e-31,1.5307009418092194e-33,1.6027290688452348e-13,1.1388736665044807e-34,1.1382032099153763e-35,5.674918236008932e-18,4.552026990556428e-30,4.554743373673396e-41,1.092187674989754e-29,1.1759422332225247e-15
