Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70)
0.0,0.5018043279445346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.280634284786592e-21,0.5018043279445346,2.225610133377069e-50,1.8912300308566845e-34,1.6158633014755064e-65,1.2427004700355115e-85,0.0,0.0,1.0435570793888798e-46,3.449541829260257e-85,1.6088055598306827e-86,5.1803789635495425e-105,1.7950183094784743e-78,3.786026924406375e-125,1.3549969832469477e-105,2.149735622482897e-91,7.2653125444770715e-118,1.5906814529708503e-103,4.0699915959838393e-84,1.0742937816795205e-73,7.755936940870082e-44,7.587887505936011e-66,9.734609585322652e-106,-2.690353618909861e-195,9.16600666317032e-137,2.4150089176645053e-118,3.974172297152991e-90,-4.7677036963915745e-150,6.736930195307906e-248,1.637491542003177e-249,-1.9580921761536838e-150,4.878561501088785e-122,2.2461140116000356e-102,-3.1201049154056855e-182,3.76,0.0,0.929590468281897,0.9999999999999996,1.5149349171928136e-99,-3.2254585730014253e-155,1.4363587495434945e-20,1.4363587495434945e-20,1.8102902321240223e-43,6.639689991844008e-49,3.3166247840863725e-16,1.0437796404022177e-46
1.4785775997402457e-20,0.5018043279445346,1.3442685205597707e-49,5.2954440863987155e-34,1.918375744193697e-64,3.9072491098669154e-84,0.0,0.0,6.303084759508831e-46,1.0845911437886896e-83,3.598866855047579e-85,2.9836267422372077e-103,4.0153841575703866e-77,1.8086305939524937e-123,7.804088864987997e-104,6.759112754785501e-90,8.023009971080259e-116,9.161510740207954e-102,1.2796704776331331e-82,1.2754015776097572e-72,4.684585912285529e-43,9.00834004704619e-65,5.606636709131562e-104,1.6180467548652947e-192,1.8311128578981843e-134,2.699087228104013e-116,1.2495433569816194e-88,8.28604322588127e-148,7.408189803140751e-245,2.7825331513013433e-210,1.966973285903844e-148,5.387347521930234e-120,1.365500271870368e-100,1.7615774125961103e-179,3.76,0.0,0.929590468281897,0.9999999999999991,9.21935979143918e-98,5.950960367319266e-153,4.0218044987217846e-20,4.0218044987217846e-20,1.0934153002017847e-42,4.01037275507326e-48,9.286549395284812e-16,6.304429028029391e-46
3.379605942263419e-20,0.5018043279445346,6.472074267860835e-49,1.210387219748277e-33,1.883482686608301e-63,8.716857826640077e-83,0.0,0.0,3.034663986862858e-45,2.419663178517085e-82,7.110830788733624e-84,1.3379826197584918e-101,7.933722445254623e-76,9.417502699440162e-122,3.4996810050127366e-102,1.5079208737651516e-88,7.257782330273386e-114,4.1084059485160084e-100,2.8548744409402622e-81,1.252196831925124e-71,2.25542646240502e-42,8.844441676915782e-64,2.51425122560195e-102,3.5193519155971325e-189,3.314653451785501e-132,2.4431448694160574e-114,2.7876624921417567e-87,2.1544082898131165e-145,1.5688239497285068e-240,8.570327921757944e-207,4.205882400099629e-146,4.873506219745969e-118,6.163841440560581e-99,1.8368697918509174e-176,3.76,0.0,0.929590468281897,0.9999999999999979,4.16210544873737e-96,2.4802554945792434e-150,9.192695997078365e-20,9.192695997078365e-20,5.2643239949997846e-42,1.930821849627457e-47,2.1226398617053553e-15,3.035311194289645e-45
7.181662627309766e-20,0.5018043279445346,2.826524869389208e-48,2.572072841965084e-33,1.6659230800245498e-62,1.632570999595224e-81,0.0,0.0,1.3253174908238728e-44,4.5317613440504695e-81,1.2653568841672799e-82,5.033823799234344e-100,1.4117635194157759e-74,3.758278694668382e-120,1.31666746151432e-100,2.82416891172523e-87,5.492454710664977e-112,1.5456849991952945e-98,5.346863872491991e-80,1.1075539171592148e-70,9.850039914905004e-42,7.822808503112995e-63,9.459241497336826e-101,5.1837856015888865e-186,5.022276849308018e-130,1.8493435608114173e-112,5.220983331195723e-86,3.774315952041431e-143,2.138206237667184e-236,1.403927146134891e-203,7.110959150770101e-144,3.6881114431957495e-116,2.327204181741627e-97,1.2988625577807853e-173,3.76,0.0,0.929590468281897,0.9999999999999954,1.5715358513625338e-94,7.982815229964987e-148,1.9534478993791527e-19,1.9534478993791527e-19,2.299068594780075e-41,8.432406289633827e-47,4.510609705807851e-15,1.3256001433108116e-44
1.478577599740246e-19,0.5018043279445346,1.1800184927168197e-47,5.295444086398686e-33,1.400310303584925e-61,2.8198604100663173e-80,0.0,0.0,5.532939634919798e-44,7.827490752392087e-80,2.1342817867699606e-81,1.7430531737250313e-98,2.3811455231856445e-73,1.3357515321067127e-118,4.559201388476768e-99,4.8780494737956055e-86,3.8156108321317856e-110,5.35221641096e-97,9.235377667512279e-79,9.309658025009633e-70,4.1121977660493183e-41,6.5755419064317305e-62,3.2754350079973433e-99,6.330570600775232e-183,6.982125050749967e-128,1.2848920470956744e-110,9.017950337779734e-85,5.608296682461842e-141,2.2410587364104237e-232,1.7944469808063415e-200,1.1226423113361589e-141,2.5621326313501713e-114,8.073877602808703e-96,7.76016588153902e-171,3.76,0.0,0.929590468281897,0.9999999999999907,5.45239424233997e-93,2.284397264980805e-145,4.0218044987217847e-19,4.0218044987217847e-19,9.598158810564666e-41,3.5203636336684366e-46,9.286549393007832e-15,5.534119653412515e-44
2.9994002737587847e-19,0.5018043279445346,4.820760573302586e-47,1.0742186575265837e-32,1.1480596169905349e-60,4.685240245906076e-79,0.0,0.0,2.2603863762394536e-43,1.3005492955125616e-78,3.505799428749811e-80,5.799247403333558e-97,3.911038671954757e-72,4.499181876393616e-117,1.5168750190595996e-97,8.104952158104944e-85,2.54304332246315e-108,1.7807161124275248e-95,1.5344718117743827e-77,7.632620114731957e-69,1.6799669651402232e-40,5.391026532390452e-61,1.0897578584347218e-97,7.068802258231345e-180,9.309824273039353e-126,8.564100981315813e-109,1.4983459361068434e-83,7.720860260428892e-139,2.0717465848107583e-228,2.0468383355898627e-197,1.8079656283422825e-139,1.7076202070523005e-112,2.6888911857452865e-94,4.284979693559855e-168,3.76,0.0,0.929590468281897,0.9999999999999811,1.8158759510027987e-91,6.178315395411459e-143,8.158517697407049e-19,8.158517697407049e-19,3.921161054257075e-40,1.4381834109872356e-45,1.8838428763387757e-14,2.260868452296784e-43
6.041045621795862e-19,0.5018043279445346,1.9486285010600985e-46,2.1635671552999932e-32,9.2972869338529e-60,7.638124094411719e-78,0.0,0.0,9.136843137447454e-43,2.1202235933790925e-77,5.683812189362158e-79,1.892007482885563e-95,6.339962225303748e-71,1.4766784055399042e-115,4.9488127618328e-96,1.3213117601989777e-83,1.6606897746650636e-106,5.809595725242288e-94,2.501576332712229e-76,6.181093657921267e-68,6.790695076704918e-40,4.365793057713824e-60,3.5553407708227423e-96,7.55587201029665e-177,1.2161141599942744e-123,5.592798805309728e-107,2.442682038839651e-82,1.0244834860737665e-136,1.8018389901403193e-224,2.2105655452476792e-194,3.14429983777063e-137,1.115131372689945e-110,8.776910923074739e-93,2.2774634707529963e-165,3.76,0.0,0.929590468281897,0.999999999999962,5.92732318849837e-90,1.625390475505002e-140,1.6431944094777576e-18,1.6431944094777576e-18,1.5849959920464497e-39,5.8133672929285e-45,3.7942187488067426e-14,9.138791765948515e-43
1.2124336317870015e-18,0.5018043279445346,7.83534949897612e-46,4.342264150846728e-32,7.483266369030457e-59,1.2335590814952285e-76,0.0,0.0,3.6738844402714884e-42,3.42416676671164e-76,9.1560511977494e-78,6.113078960186871e-94,1.0210313713601296e-69,4.7852762693623734e-114,1.5989621478709854e-94,2.133922022116467e-82,1.0735773275541397e-104,1.877081254583831e-92,4.040052455606055e-75,4.975081918844052e-67,2.7305086237810754e-39,3.5139700682317947e-59,1.1487311389471682e-94,7.904295955891835e-174,1.5724739626781845e-121,3.61559962842321e-105,3.944938017452389e-81,1.3350110066239793e-134,1.5206740042009617e-220,2.324280556863947e-191,6.070218832415141e-135,7.208930721255414e-109,2.8365333358207687e-91,1.187943278012552e-162,3.76,0.0,0.929590468281897,0.9999999999999238,1.9156086957523145e-88,4.2179480084549304e-138,3.2978796889518632e-18,3.2978796889518632e-18,6.373199172915578e-39,2.3375294203476585e-44,7.61497048731061e-14,3.674667975221386e-42
2.4290917710018325e-18,0.5018043279445346,3.142325593667828e-45,8.699658141939866e-32,6.004850380815084e-58,1.9829101960302858e-75,0.0,0.0,1.4733919790464912e-41,5.504248070855113e-75,1.4705344091560735e-76,1.9656230249674972e-92,1.6389814753384726e-68,1.5409429860765395e-112,5.141364672268938e-93,3.430217326940036e-81,6.905459612442005e-103,6.035639605343768e-91,6.494266315988846e-74,3.9921899200834554e-66,1.0950560831192821e-38,2.8197396776056933e-58,3.693674496290385e-93,8.180734094642176e-171,2.0229722647276824e-119,2.325641380806699e-103,6.341372646685469e-80,1.7241248666469445e-132,1.264372460412384e-216,2.4116409309340785e-188,1.2954506194061338e-132,4.636925403618362e-107,9.121845803546076e-90,6.138926258344868e-160,3.76,0.0,0.929590468281897,0.9999999999998475,6.160310907640908e-87,1.087146073444523e-135,6.607250247900074e-18,6.607250247900074e-18,2.555937916280567e-38,9.374538461014408e-44,1.5256473938590075e-13,1.4737062116058578e-41
