Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450)
0.0,0.7443995951166033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5353200939303073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.481142440831344e-22,0.7443995951166033,5.937494430801704e-26,3.2965619789182846e-27,1.7997192462883886e-36,6.423511338629633e-25,0.0,0.0,2.273096724738857e-21,7.050198859409403e-40,2.771535539641174e-53,9.358443022453924e-55,4.860559002316136e-61,4.9202207036015865e-67,4.5923570878392476e-46,1.7211714166322206e-39,5.76037211888816e-37,1.4733426269599794e-54,7.231014587917364e-64,9.242965004312562e-62,2.066853969558199e-37,1.7258040212294954e-57,1.2189389912092845e-25,1.1090335013888492e-71,2.043092013088875e-55,4.738612275391189e-59,1.2468119493330102e-56,4.170874377657297e-70,1.3049433131208792e-88,4.528738819578963e-89,1.5350264075629528e-71,3.082254251933698e-79,3.981291791170258e-71,3.288823157248395e-87,3.76,0.0,0.5353200939303073,0.9999999999999996,1.0314213317764612e-51,3.4018295954053444e-53,7.975639383469092e-18,7.975639383469092e-18,2.6277992309215685e-37,1.6269471206598817e-40,4.60839075679387e-16,4.869516877333953e-41,2.7866711199628897e-42,2.273156099683132e-21,9.571922695341352e-36,1.9423426441534464e-39,1.086591680134568e-35,3.53085433170042e-19,2.261845046125214e-40,1.7995984417521533e-36,1.7896446778096314e-37,3.0607886271132116e-41,3.014082623387728e-38,5.943041501468499e-37,9.517146017761618e-45,1.111634476814676e-45,1.2189389912093125e-25,5.595764617941435e-60,5.760372141224587e-37,1.1321546549068504e-38,1.0061893861480328e-53,1.0993824431546418e-72,3.040444805335149e-69,2.2977599949241182e-55,3.197181834224007e-72,1.3284036510940819e-76,1.0219478259032603e-80,8.757604022640005e-81,1.1064517983293574e-64,1.0711698584363765e-61,6.229026621695259e-81,2.232782026021651e-53,5.177676401482467e-60,1.2877636379644078e-53,1.228609580780429e-58,2.1945494937587837e-73,6.423511338628992e-25,8.246279461670089e-41,3.3176141660371464e-59,1.4352713214963158e-53,1.0865566008579929e-41,8.191080037983847e-47,6.819813209063543e-63
4.147198834327763e-22,0.7443995951166033,1.662498440974405e-25,9.23037354097135e-27,1.0870304247581872e-35,1.7985831748162975e-24,0.0,0.0,6.364670829268795e-21,4.258320111083277e-39,3.2903669926620768e-52,1.1110343556326e-53,5.770455650408789e-60,5.841286019316193e-66,2.7737836810551384e-45,1.0395875356458324e-38,3.479264759808421e-36,1.7491523667268771e-53,8.584660518826665e-63,1.0973248053119851e-60,1.2483797976131523e-36,2.0488745340036517e-56,3.4130291753859416e-25,2.4808635812667485e-70,2.4255588379390593e-54,7.160990870571278e-58,1.880209666031337e-55,1.3113896383254495e-68,6.233870801865809e-87,2.165079584113897e-87,3.433792672663612e-70,8.6924501512446e-78,1.2382922649941246e-69,1.8741357668712978e-85,3.76,0.0,0.5353200939303073,0.9999999999999988,1.224503405099215e-50,4.0386520956651965e-52,2.2331790273713458e-17,2.2331790273713458e-17,1.5871907354764228e-36,9.8267606087853e-40,1.290349411901719e-15,2.9411881939097122e-40,1.6831493564582887e-41,6.3648370791126976e-21,5.781441307985915e-35,1.1731749572649024e-38,6.563013748012728e-35,9.886392128761178e-19,1.366154407859627e-39,1.0869574588183003e-35,1.0809453853969764e-36,1.8487163307771296e-40,1.8205059045261185e-37,3.589597066886913e-36,5.748356194727461e-44,6.714272239963988e-45,3.4130291753861115e-25,6.64329175441955e-59,3.4792647732996224e-36,6.838214115636798e-38,1.1945480392349371e-52,3.4565681407328343e-71,9.559644837542713e-68,3.0104456161745314e-54,7.859624746677552e-71,2.9715858313511263e-75,2.286056408632124e-79,1.9590409894482397e-79,1.3135795749761655e-63,1.2716928561314254e-60,1.3934083391660946e-79,2.6507588212921445e-52,6.146937423841989e-59,1.528832990991261e-52,1.4586052943023822e-57,4.909119435558611e-72,1.798583174815911e-24,4.980752794848685e-40,3.9386715379202685e-58,1.7039541128803542e-52,6.562801869182224e-41,4.9474123429452444e-46,1.0306025036510091e-61
9.479311621320602e-22,0.7443995951166033,3.7999964381625864e-25,2.1097996665078102e-26,5.233583568206635e-35,4.111047256722967e-24,0.0,0.0,1.454781903832866e-20,2.0501978283162522e-38,3.23050182500585e-51,1.0908201187185265e-52,5.665467581956713e-59,5.7350092521192126e-65,1.335457441144002e-44,5.005166479566058e-38,1.675116212172635e-35,1.7173281659845174e-52,8.428470603829707e-62,1.0773600009026649e-59,6.010411343475244e-36,2.011597167145084e-55,7.801209543739033e-25,4.901768375314191e-69,2.381428050456229e-53,7.703467203858321e-57,2.0212762262346855e-54,2.9256381436606155e-67,3.245963601763407e-85,1.1266548625307927e-85,6.784595677629806e-69,1.890797774808222e-76,2.7559661830027907e-68,8.383242760591211e-84,3.76,0.0,0.5353200939303073,0.9999999999999971,1.202224704338807e-49,3.9651725764043795e-51,5.1044092054202194e-17,5.1044092054202194e-17,7.641640163516849e-36,4.731162226878355e-39,2.949370084344124e-15,1.4160555079287215e-39,8.103639616862449e-41,1.454819903797154e-20,2.783515119804873e-34,5.648332412141533e-38,3.1598086058312264e-34,2.259746772288269e-18,6.577445394132086e-39,5.233232268615252e-35,5.204286723069796e-36,8.900773327656249e-40,8.764952268810471e-37,1.7282364686269472e-35,2.767586061964247e-43,3.232633058582094e-44,7.80120954373985e-25,6.52242323867093e-58,1.675116218668068e-35,3.2923057364682514e-37,1.1728143484941228e-51,7.711371757055357e-70,2.1327041707920008e-66,3.0794828793674063e-53,1.6211594513207195e-69,5.87135284770826e-74,4.516862230002756e-78,3.870734868507446e-78,1.289680216131312e-62,1.2485555876001848e-59,2.7531400688018722e-78,2.6025307295284805e-51,6.035099613574171e-58,1.5010172964110515e-51,1.4320673273572208e-56,9.699592747286474e-71,4.111047256721106e-24,2.398018067453588e-39,3.867011071935766e-57,1.6729522523358833e-51,3.15970659529496e-40,2.3819660750502027e-45,1.1086725044979398e-60
2.014353719530628e-21,0.7443995951166033,8.074992438137796e-25,4.4833242913294055e-26,2.2856434427862534e-34,8.735975420536308e-24,0.0,0.0,3.0914115456448324e-20,8.953752551449908e-38,2.857342279948548e-50,9.648180418876338e-52,5.011041927621492e-58,5.072550736587615e-64,5.832293501559444e-44,2.185887699122467e-37,7.315672590987528e-35,1.5189573146905867e-51,7.454886799876653e-61,9.529127200845923e-59,2.624904541338913e-35,1.7792349137267276e-54,1.657757028044433e-24,8.722434923391395e-68,2.1063461418137645e-52,7.080813550872348e-56,1.8574054105743266e-53,5.479396456429191e-66,1.2953788637535735e-83,4.495194575493462e-84,1.20728255087859e-67,3.505220413976849e-75,5.1567177138964676e-67,3.15089310442881e-82,3.76,0.0,0.5353200939303072,0.9999999999999938,1.063354136228566e-48,3.507150239678901e-50,1.0846869561517965e-16,1.0846869561517965e-16,3.337305023267217e-35,2.0662228432374488e-38,6.2674114292199005e-15,6.184286434214204e-39,3.539072322363493e-40,3.091492295568805e-20,1.2156341823079464e-33,2.4667751611162967e-37,1.3799714337707998e-33,4.801961891112571e-18,2.872543208578984e-38,2.2854900210252234e-34,2.2728487408175987e-35,3.887201556445075e-39,3.8278849317013346e-36,7.547662706864035e-35,1.2086775442548658e-42,1.4117757855598219e-43,1.6577570280447898e-24,5.769009490509528e-57,7.315672619354792e-35,1.4378364117308008e-36,1.0373410095431248e-50,1.4442515746733808e-68,3.994318877273191e-65,2.7729379231507522e-52,2.940135615565253e-68,1.0447758687313363e-72,8.03751500326024e-77,6.88776588593476e-77,1.1407075460027217e-61,1.1043332785276419e-58,4.8990656527134454e-77,2.301908957542333e-50,5.337977262885398e-57,1.3276328001952336e-50,1.2666473334004522e-55,1.72599070465436e-69,8.735975420528182e-24,1.0472774916320243e-38,3.42032750062357e-56,1.479707321609374e-50,1.3799268830895636e-39,1.040267164828598e-44,1.0190600822472357e-59
4.147198834327763e-21,0.7443995951166035,1.6624984460483613e-24,9.230373540973585e-26,9.54211144382103e-34,1.7985831748163006e-23,0.0,0.0,6.364670829268743e-20,3.7380154352588347e-37,2.4017683540844526e-49,8.109876988981629e-51,4.212082696191912e-57,4.2637845382144517e-63,2.4348677279756074e-43,9.12565085097995e-37,3.054149297434111e-34,1.2767751470413518e-50,6.266281546228064e-60,8.00980558529691e-58,1.095845974659757e-34,1.4955541519330812e-53,3.413029175385137e-24,1.4711661396187087e-66,1.770510849069989e-51,6.0577850695142665e-55,1.588860320945247e-52,9.464294748814242e-65,4.603979368802017e-82,1.5975135605379678e-82,2.036258482183683e-66,6.0245783045851125e-74,8.902900168020329e-66,1.0905444078721492e-80,3.76,0.0,0.5353200939303071,0.9999999999999871,8.9381322339422e-48,2.947971098104392e-49,2.2331790273713453e-16,2.2331790273713453e-16,1.3932591522317578e-34,8.626073633733285e-38,1.290349411893531e-14,2.581817848362537e-38,1.4774930278138478e-39,6.364837079111642e-20,5.075033413066337e-33,1.0298300726674347e-36,5.7611090880725624e-33,9.886392128761175e-18,1.1992302434555535e-37,9.541470938169811e-34,9.488696081740961e-35,1.622830130105548e-38,1.5980666069192008e-35,3.1510006040777358e-34,5.045990818609472e-42,5.89388599611806e-43,3.413029175386626e-24,4.849200085668039e-56,3.054149309276887e-34,6.002683980308024e-36,8.719476230056132e-50,2.494583106200681e-67,6.899192540465684e-64,2.3503166791398676e-51,5.003261404346721e-67,1.7621672102651858e-71,1.3556443840865913e-75,1.1617223903642606e-75,9.588334251981634e-61,9.282586629146953e-58,8.262990285756796e-76,1.934893179228967e-49,4.486891526725925e-56,1.115955364440746e-49,1.064693404949323e-54,2.911135599504277e-68,1.7985831748129078e-23,4.3721773705767843e-38,2.8749913544717753e-55,1.2437831628667148e-49,5.76092309774829e-39,4.342910636180881e-44,8.718269902083287e-59
8.412889063922034e-21,0.7443995951166033,3.3724968594756815e-24,1.8724472040265893e-25,3.8982638762304986e-33,3.648554440341645e-23,0.0,0.0,1.2911189396516476e-19,1.5271012737434888e-36,1.9691148054103322e-48,6.648967134410992e-50,3.4533199073372455e-56,3.4957081714435697e-62,9.947229146570743e-43,3.7281261352785983e-36,1.2477196424393204e-33,1.0467774050496328e-49,5.137476204883276e-59,6.566922550896293e-57,4.476888372221841e-34,1.226145651330666e-52,6.923573470065123e-24,2.416394801958183e-65,1.4515717638269427e-50,5.008693841552932e-54,1.3136264993014161e-51,1.5725067275645713e-63,1.5507470492512212e-80,5.380633196928839e-81,3.3445606714866663e-65,9.985296720320869e-73,1.4788963332126412e-64,3.627466764557188e-79,3.76,0.0,0.5353200939303069,0.9999999999999738,7.328020824593562e-47,2.416924815137432e-48,4.530163169810442e-16,4.530163169810442e-16,5.691918246121157e-34,3.524032541229551e-37,2.6175659498221574e-14,1.0547568336981072e-37,6.036041112764903e-39,1.291152664619546e-19,2.073316743498631e-32,4.207191884117746e-36,2.353601042837903e-32,2.0055252604058375e-17,4.899246843708767e-37,3.898002208772746e-33,3.876441957917947e-34,6.629790597957835e-38,6.528623525554526e-35,1.2872865613833532e-33,2.061451896024685e-41,2.4078447421991546e-42,6.92357347007121e-24,3.9756672065542166e-55,1.2477196472774816e-33,2.452292268707579e-35,7.14875342196372e-49,4.1447853013187906e-66,1.1463111589505501e-62,1.9346895660808399e-50,8.253266624063335e-66,2.8943649343124388e-70,2.2266499716000325e-74,1.9081325146030958e-74,7.86109572248318e-60,7.610425369180089e-57,1.3571986356450875e-74,1.5863423296459848e-48,3.6786247601985426e-55,9.149276309508821e-49,8.728999794420545e-54,4.781548963777966e-67,3.648554440327783e-23,1.7861771165149987e-37,2.3570916120666297e-54,1.019728583130912e-48,2.3535250597217806e-38,1.7742207005828838e-43,7.208432722585552e-58
1.6944269523110577e-20,0.7443995951166035,6.792493722162951e-24,3.77126690388663e-25,1.5757405866493023e-32,7.348496971392355e-23,0.0,0.0,2.600422653101158e-19,6.172787510957974e-36,1.5946402221701209e-47,5.384505972716897e-49,2.796588042401151e-55,2.83091510959625e-61,4.020829063566032e-42,1.5069681914866644e-35,5.04348228794557e-33,8.477074821459514e-49,4.1604614295911746e-58,5.318064140680087e-56,1.8096298593387407e-33,9.929645384202676e-52,1.3944662059419422e-23,3.917080103492169e-64,1.1755204488856033e-49,4.072986649670727e-53,1.0681900057114873e-50,2.563582846132449e-62,5.0897070908953425e-79,1.765940921046623e-79,5.421676975378383e-64,1.625846719676828e-71,2.410702219604505e-63,1.1833252360881617e-77,3.76,0.0,0.5353200939303064,0.9999999999999473,5.934421255527389e-46,1.9572883783052393e-47,9.12413145468863e-16,9.12413145468863e-16,2.3007643610150126e-33,1.424470297595751e-36,5.271999025621585e-14,4.2634957629165105e-37,2.439864325807411e-38,2.600490578035565e-19,8.380677772035339e-32,1.7006142364670723e-35,9.513631723578217e-32,4.039297355465275e-17,1.980353906444599e-36,1.5756348164791407e-32,1.5669198183628946e-33,2.6798673609620052e-37,2.638974012735109e-34,5.20341810052174e-33,8.332718161505248e-41,9.732893429386224e-42,1.3944662059444007e-23,3.219598379991912e-54,5.043482307502203e-33,9.912557437887441e-35,5.789245865053579e-48,6.757044667576121e-65,1.868776502842382e-61,1.5698565340670782e-49,1.3407194564953516e-64,4.691890285156398e-69,3.609495556800618e-73,3.093165033170223e-73,6.366119128661571e-59,6.163119810514567e-56,2.200077474004182e-73,1.284661147236827e-47,2.979045705630029e-54,7.40932116643308e-48,7.068970348100102e-53,7.751096921214322e-66,7.348496971336323e-23,7.220013490101476e-37,1.9088338991935193e-53,8.2580264486709e-48,9.513324587674659e-38,7.171683745388127e-43,5.861777210872686e-57
3.400703044148766e-20,0.7443995951166035,1.3632487590868005e-23,7.56890630361303e-25,6.335983595328094e-32,1.4748382033493858e-22,0.0,0.0,5.219030080000036e-19,2.48205070925035e-35,1.2835051813663372e-46,4.33391885013724e-48,2.2509374315752137e-54,2.2785667642619492e-60,1.616757682220453e-41,6.059452819087337e-35,2.027962045940845e-32,6.823087305149348e-48,3.34870131180498e-57,4.2804406815425354e-55,7.276442073988414e-33,7.992242464829695e-51,2.7986839238105295e-23,6.308336749813313e-63,9.46161125229455e-49,3.2850112870372956e-52,8.615223029420252e-50,4.1401931441707275e-61,1.6493498506078505e-77,5.722578057476658e-78,8.731443627842242e-63,2.6241231627267905e-70,3.8930706985766176e-62,3.8231027946729046e-76,3.76,0.0,0.5353200939303056,0.9999999999998942,4.776538509430022e-45,1.5753959670997377e-46,1.8312068024445e-15,1.8312068024445e-15,9.251272304267164e-33,5.7277324161373846e-36,1.058086517698914e-13,1.714332894733352e-36,9.810587145210396e-38,5.219166404864624e-19,3.3698336725651074e-31,6.838095127076657e-35,3.825389473575767e-31,8.106841545584142e-17,7.962915958683717e-36,6.335558298125529e-32,6.300515673983702e-33,1.0775628793866963e-36,1.0611198438886534e-33,2.0922715327531225e-32,3.350549324093329e-40,3.913553641268641e-41,2.798683923820416e-23,2.5914128749321245e-53,2.0279620538044892e-32,3.9857957487400225e-34,4.659688725200407e-47,1.0912644019346923e-63,3.018079043549228e-60,1.264793303622389e-48,2.1614498524587038e-63,7.556144661273784e-68,5.812981319601622e-72,4.981446928912327e-72,5.124006514472687e-58,4.9606150558505265e-55,3.543156947158128e-72,1.0340070542695024e-46,2.397795155064294e-53,5.963666271095614e-47,5.689722322633127e-52,1.2482902638603429e-64,1.474838203326856e-22,2.9031356695948698e-36,1.5363955868912663e-52,6.646778117934979e-47,3.82526597558015e-37,2.8837024919287595e-42,4.727735453555473e-56
6.813255227824182e-20,0.7443995951166037,2.7312475901600186e-23,1.5164185103091099e-24,2.541012805519072e-31,2.9548152157697196e-22,0.0,0.0,1.0456244933797218e-18,9.95413346840563e-35,1.0299320757133984e-45,3.4776969395480336e-47,1.8062356539521454e-53,1.8284063292146025e-59,6.483921418325068e-41,2.4301115960959587e-34,8.133034832407701e-32,5.475097859348194e-47,2.68712191097714e-56,3.434784074198745e-54,2.9181787184953957e-32,6.41327124417439e-50,5.607119359538615e-23,1.012627756926735e-61,7.592347158480369e-48,2.6386997123312965e-51,6.920169242771662e-49,6.655239560233742e-60,5.3111693214109134e-76,1.8427519784939924e-76,1.4015900745707014e-61,4.216895483240205e-69,6.257820677601519e-61,1.2292593859215585e-74,3.76,0.0,0.5353200939303037,0.9999999999997881,3.8328713379298457e-44,1.2641560486237608e-45,3.6687941163957666e-15,3.6687941163957666e-15,3.7101739672127225e-32,2.2970768779523499e-35,2.1198597478799065e-13,6.875241662009963e-36,3.9344842346807346e-37,1.0456518058510836e-18,1.3514540221850367e-30,2.742382049779617e-34,1.534152273627739e-30,1.6241929925821838e-16,3.193485449552348e-35,2.5408422423187328e-31,2.5267885827053994e-32,4.32150909834826e-36,4.2555651714211697e-33,8.390944637635154e-32,1.3437201359249357e-39,1.5695100482200333e-40,5.607119359578267e-23,2.079445630628164e-52,8.133034863944495e-32,1.5984823642982088e-33,3.739106745024261e-46,1.7541755611967511e-62,4.851473915564617e-59,1.0154111027534183e-47,3.4714152814092682e-62,1.2129285614791062e-66,9.331122398879207e-71,7.996325544844531e-71,4.11169252901113e-57,3.980581258823256e-54,5.687551590713618e-71,8.297255415285221e-46,1.9240796041619364e-52,4.785466603934338e-46,4.5656438376545977e-51,2.0037823280850905e-63,2.954815215679365e-22,1.1642872494223557e-35,1.2328606997048221e-51,5.3336208401471904e-46,1.534102745408212e-36,1.1564936761053352e-41,3.797574132171511e-55
