Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39)
0.0,0.5766662643460141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9041919900035678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.777804438671112e-21,0.5766662643460141,5.783952541226221e-28,9.510744238617044e-32,6.455812849602206e-37,5.951132998772857e-29,0.0,0.0,8.630973881760913e-23,3.337757461989781e-41,3.277406155573838e-54,6.568640013340833e-56,1.2847715466132807e-64,2.6703065574609645e-72,1.423814286998275e-50,8.73269192254038e-42,2.2937770656213433e-39,3.720223498398782e-56,2.2965003710434022e-70,2.7681327897092887e-69,3.2046774773017513e-41,1.9511789187707516e-62,4.136326588027465e-29,8.67024376410479e-74,5.1022679688693656e-58,4.2341380728914895e-64,5.637730220501282e-62,5.807390624389982e-74,1.288666115218124e-91,3.2291985194625293e-93,1.0644235375366713e-73,1.3569421054504315e-85,1.0578953520884863e-72,2.0249604472161036e-88,3.76,0.0,0.9041919900035678,0.9999999999999996,3.9813341836547097e-51,3.3326744765813425e-55,2.280294209770121e-19,2.280294209770121e-19,5.954402459189941e-41,1.47696091483362e-45,4.636808126243901e-16,2.2712394694315017e-44,2.7917835033682976e-46,8.631031721286271e-23,3.955791798378074e-37,1.2595969525657442e-43,5.910739192475197e-38,2.6521079969977237e-21,2.102876991056875e-43,6.455467135705357e-37,1.7954348298059824e-40,7.606239793238457e-45,1.9216060687132963e-41,9.937838536096833e-39,1.0208724814558174e-49,7.209805491629771e-51,4.136326588028435e-29,1.385561167637065e-63,2.293777065622289e-39,3.0560523496708267e-38,1.0605869213577083e-58,2.2135413038102834e-75,6.765937298439021e-73,3.159370693303954e-57,1.146190261594084e-72,8.064483847384478e-79,3.677759243378554e-83,1.9723069795543357e-85,7.32367173219442e-69,1.3517710741130137e-67,3.573090350792285e-83,1.572383092803357e-54,2.7045182954193294e-61,1.7246121159580776e-53,1.0484009470498427e-59,1.0204331475596332e-80,5.951132998769726e-29,3.423969695802269e-41,1.9885850372427747e-61,1.5427394885670482e-54,2.5103641822731122e-46,4.1240823128773115e-50,8.043271837227401e-69,1.7413415484130945e-38
4.977852428279113e-21,0.5766662643460141,1.6195067116909845e-27,2.6630083868236445e-31,3.8993109611597066e-36,1.6663172396565195e-28,0.0,0.0,2.416672686893055e-22,2.0160055070418273e-40,3.8909365878981218e-53,7.798289424420634e-55,1.5252807857257285e-63,3.1701879450164985e-71,8.599838293467465e-50,5.274545921212293e-41,1.3854413476352847e-38,4.4166493372978484e-55,2.726405241044548e-69,3.286327247943087e-68,1.935625196290258e-40,2.3164396123645546e-61,1.1581714446474074e-28,1.939498849055122e-72,6.057412532641498e-57,6.398629455778012e-63,8.504092436799405e-61,1.8259365305581727e-72,6.1561126724060116e-90,1.5426899522039488e-91,2.3810728765278557e-72,3.826795387000318e-84,3.3261240111042276e-71,1.1662500281535062e-86,3.76,0.0,0.9041919900035678,0.9999999999999987,4.726639942834926e-50,3.956551138597352e-54,6.384823787356339e-19,6.384823787356339e-19,3.5964590853485656e-40,8.92084392559406e-45,1.2983062753409446e-15,1.3718286395366042e-43,1.686237236045683e-45,2.416688881960139e-22,2.389298246220316e-36,7.607965839594602e-43,3.5700864722549974e-37,7.425902391593625e-21,1.2701377025983343e-42,3.899102149966033e-36,1.0844426372027971e-39,4.59416883513413e-44,1.1606500655028283e-40,6.002454475802418e-38,6.1660697879902946e-49,4.354722517046038e-50,1.1581714446479934e-28,1.6449382182183694e-62,1.3854413476358558e-38,1.8458556192009248e-37,1.259128793035866e-57,6.959580810598952e-74,2.127318940731571e-71,3.757312816253902e-56,2.56823159653116e-71,1.8039927787241237e-77,8.22700031705973e-82,4.411971820983386e-84,8.694663080441731e-68,1.604822666738043e-66,7.992860191058444e-82,1.8667332077696125e-53,3.210804120425218e-60,2.0474595040653205e-52,1.244661604335867e-58,2.2826681337649843e-79,1.6663172396546288e-28,2.0680776962645595e-40,2.3608481562074987e-60,1.8315403208267694e-53,1.5162599660929516e-45,2.4909457169825135e-49,1.2154978857143365e-67,1.0517702952415091e-37
1.1377948407495116e-20,0.5766662643460141,3.701729627418278e-27,6.086876312791016e-31,1.877350376664282e-35,3.808725119215465e-28,0.0,0.0,5.523823284326979e-22,9.706198699466276e-40,3.820144614938042e-52,7.6564068013555e-54,1.4975297320498635e-62,3.1125093233729096e-70,4.140451946587805e-49,2.539466811071597e-40,6.670303706826761e-38,4.3362925097299396e-54,2.676800834129062e-68,3.2265355796857904e-67,9.319202103993491e-40,2.274294147718935e-60,2.6472490163355966e-28,3.832122892223718e-71,5.947203544513474e-56,6.8833535824187455e-62,9.142928694024999e-60,4.0735639550469134e-71,3.2054751055482813e-88,8.032487420405555e-90,4.7045987589215636e-71,8.324122806624798e-83,7.420366367135078e-70,5.229929841851989e-85,3.76,0.0,0.9041919900035678,0.999999999999997,4.640643124467956e-49,3.8845653699031566e-53,1.4593882942528774e-18,1.4593882942528774e-18,1.731540235129197e-39,4.295002340334659e-44,2.9675572007446636e-15,6.604764377106468e-43,8.118506427961476e-45,5.523860301623097e-22,1.1503442549682828e-35,3.662908307207445e-42,1.718842957171755e-36,1.697349118078542e-20,6.115166289993116e-42,1.8772498430631128e-35,5.2211244850755484e-39,2.2118945319003788e-43,5.588030447818223e-40,2.8899234462968544e-37,2.9686971760692496e-48,2.0966114371184195e-49,2.6472490163384193e-28,1.615010096996663e-61,6.670303706829514e-38,8.887000232838945e-37,1.236220115534528e-56,1.5526349335988208e-72,4.7459315326174844e-70,3.691803739526792e-55,5.078490401976814e-70,3.5643857319740496e-76,1.6255166258349476e-80,8.717312837421894e-83,8.536471770985408e-67,1.575624511393128e-65,1.5792544825177214e-80,1.8327697329513394e-52,3.1523865254612805e-59,2.0102078823603963e-51,1.2220161438760069e-57,4.510167569840248e-78,3.8087251192063605e-28,9.956903875392837e-40,2.317894719388093e-59,1.798217147873658e-52,7.300139042050084e-45,1.1992831365916485e-48,1.3075766928947673e-66,5.063821222785276e-37
2.417814036592712e-20,0.5766662643460141,7.866175461235144e-27,1.2934612164899726e-30,8.198882318994392e-35,8.093540878335267e-28,0.0,0.0,1.1738124479194809e-21,4.2389519767270114e-39,3.378874650151495e-51,6.772005111945255e-53,1.324548110062471e-61,2.752979248472417e-69,1.8082441444845255e-48,1.1090518741593782e-39,2.913096873338997e-37,3.8354016179014753e-53,2.367600025945218e-67,2.853834180880009e-66,4.0699403961732234e-39,2.0115874180953628e-59,5.625404159707449e-28,6.819057937170596e-70,5.260234185184177e-55,6.326987839734249e-61,8.401974488326723e-59,7.629334457745248e-70,1.279220967857583e-86,3.2055169816543945e-88,8.371582125750936e-70,1.5431546605496425e-81,1.389750020271547e-68,1.9676266965856266e-83,3.76,0.0,0.9041919900035678,0.9999999999999937,4.1045962899805855e-48,3.435854078376181e-52,3.1012001252873644e-18,3.1012001252873644e-18,7.562091123137769e-39,1.8757403618371393e-43,6.3060590514345395e-15,2.8844741261776554e-42,3.545565049448823e-44,1.173820314094874e-21,5.023855583939524e-35,1.5996885112096315e-41,7.506638774443162e-36,3.606866875916897e-20,2.6706537786419444e-41,8.19844326234575e-35,2.28020223385334e-38,9.659924537685664e-43,2.440439707265842e-39,1.2621054940841898e-36,1.2965080514444773e-47,9.156452975945455e-49,5.6254041597197765e-28,1.4284581413847963e-60,2.9130968733402012e-37,3.8811864840780013e-36,1.0934226924429076e-55,2.907906695210003e-71,8.888604517577051e-69,3.266491148671186e-54,9.040227508887846e-69,6.34263396564276e-75,2.892519984640273e-79,1.5511992429946268e-81,7.550412608896297e-66,1.3936222161211753e-64,2.8101989723199376e-79,1.6210640733140164e-51,2.788250182518583e-58,1.7780061070674285e-50,1.0808594403593971e-56,8.025602213201857e-77,8.093540878295503e-28,4.348441513668715e-39,2.050151629949431e-58,1.5905027031328897e-51,3.188162511486722e-44,5.237584537425758e-48,1.2018880874214255e-65,2.2115037664846264e-36
4.977852428279113e-20,0.5766662643460141,1.619506713831799e-26,2.6630083869813008e-30,3.4228719728587194e-34,1.666317239658251e-27,0.0,0.0,2.4166726868930422e-21,1.7696790063469728e-38,2.8401477359226016e-50,5.69227834419962e-52,1.1133625319282338e-60,2.3140449377770762e-68,7.549063349635304e-48,4.6300732573016585e-39,1.2161606001923373e-36,3.223886160122376e-52,1.990110483709798e-66,2.398819585439807e-65,1.6991199984653884e-38,1.6908604321430704e-58,1.1581714446433047e-27,1.1501337905496224e-68,4.4215437855321784e-54,5.412871303047534e-60,7.187321265677082e-58,1.3177777994267371e-68,4.546551676198945e-85,1.1392852346916527e-86,1.4119896871236866e-68,2.6522974560202934e-80,2.400445507461843e-67,6.813260573865057e-82,3.76,0.0,0.9041919900035678,0.999999999999987,3.450160502207989e-47,2.8880423786135473e-51,6.384823787356339e-18,6.384823787356339e-18,3.157024183832397e-38,7.830846770433832e-43,1.2983062752344046e-14,1.2042111666922654e-41,1.4802036136394484e-43,2.4166888819598947e-21,2.097360811499488e-34,6.678386475563803e-41,3.1338739198500476e-35,7.425902391593593e-20,1.1149453806580972e-40,3.422688675350931e-34,9.519395467629003e-38,4.0328283386195395e-42,1.0188355376317499e-38,5.269041991837568e-36,5.412665896639041e-47,3.822638873080183e-48,1.1581714446484512e-27,1.200705138891402e-59,1.2161606001928415e-36,1.6203189557919178e-35,9.190876566577842e-55,5.022680488336302e-70,1.5352853863058503e-67,2.746131670850387e-53,1.5250325051491513e-67,1.0697779241905577e-73,4.878657733661098e-78,2.616324251355471e-80,6.346576744141805e-65,1.1714237461070159e-63,4.739811313874195e-78,1.362602030016739e-50,2.343692283738807e-57,1.4945212658941242e-49,9.085274862780865e-56,1.3536351179244322e-75,1.6663172396416504e-27,1.8153887327142127e-38,1.7232759758298447e-57,1.3369133569600344e-50,1.3309950894410854e-43,2.1865884423519657e-47,1.0282404984291473e-64,9.23259288968619e-36
1.0097929211651916e-19,0.5766662643460141,3.285285053028013e-26,5.4021027282422995e-30,1.3983548864749223e-33,3.3802435433107555e-27,0.0,0.0,4.902393164840143e-21,7.229716172968272e-38,2.3285247084076922e-49,4.6668737056009034e-51,9.128019282750293e-60,1.8971938486839788e-67,3.0840386981847267e-47,1.8915360011651715e-38,4.968412875217616e-36,2.6431366530536307e-51,1.631612817366479e-65,1.966697226720468e-64,6.941459602934685e-38,1.3862695397544567e-57,2.349433501981181e-27,1.8890982046122174e-67,3.6250487338006604e-53,4.475466668310478e-59,5.942325008374048e-57,2.1895075227809913e-67,1.5314038207896827e-83,3.837417537471895e-85,2.319197301037169e-67,4.396017935940647e-79,3.988374424274563e-66,2.2668137203377834e-80,3.76,0.0,0.9041919900035678,0.9999999999999737,2.8286500296273913e-46,2.3677916301582285e-50,1.2952071111494289e-17,1.2952071111494289e-17,1.2897473902448858e-37,3.199156419954344e-42,2.6337070152282074e-14,4.919595540364726e-41,6.0471147409345034e-43,4.9024260176895056e-21,8.568403266954039e-34,2.728340289793164e-40,1.2802897520466419e-34,1.506397342294693e-19,4.554915677706649e-40,1.3982800034622811e-33,3.88898365875099e-37,1.647541964381214e-41,4.1622756090754106e-38,2.1525755782718938e-35,2.211250629698943e-46,1.5616727099096142e-47,2.3494335020022062e-27,9.844106164084193e-59,4.968412875219688e-36,6.6195316314509e-35,7.53523589865319e-54,8.345254659366432e-69,2.550899631142046e-66,2.2516233489234045e-52,2.5050830320018246e-66,1.7571134528181974e-72,8.013209977086933e-77,4.2973204391721487e-79,5.203307058661006e-64,9.604044558016741e-63,7.785154314945859e-77,1.1171434690869156e-49,1.9215005352074145e-56,1.2252988289504993e-48,7.448657241517405e-55,2.22334974590242e-74,3.3802435432429365e-27,7.416455319894275e-38,1.4128457608603162e-56,1.0960823429383802e-49,5.437549233369845e-43,8.932927253530155e-47,8.501691031490455e-64,3.7718154475246695e-35
2.033808277839752e-19,0.5766662643460141,6.616841746539021e-26,1.0880291411877676e-29,5.652374028840928e-33,6.808096150627989e-27,0.0,0.0,9.873834120734254e-21,2.922366870330169e-37,1.885699679948003e-48,3.7793553334732332e-50,7.39210761559669e-59,1.5363967667169775e-66,1.2466177513321875e-46,7.645890947192675e-38,2.0083119222499463e-35,2.1404805895682273e-50,1.321322370684872e-64,1.5926824042705363e-63,2.8058489558965937e-37,1.1226370147567238e-56,4.731957616627961e-27,3.0623095964408073e-66,2.9356584503634516e-52,3.6393751684608814e-58,4.832084821543986e-56,3.5694498652966484e-66,5.0262206782905216e-82,1.259477451306987e-83,3.7595187659675063e-66,7.157871400738734e-78,6.502055549518482e-65,7.395490125690871e-79,3.76,0.0,0.9041919900035678,0.9999999999999469,2.2907141316962602e-45,1.9174990512454265e-49,2.6086565759770185e-17,2.6086565759770185e-17,5.213365164129139e-37,1.2931501750509814e-41,5.3045084944634195e-14,1.9885791749796044e-40,2.4443404638746676e-42,9.873900289147001e-21,3.463485597482375e-33,1.1028399835853644e-39,5.175135878491173e-34,3.034011548565339e-19,1.8411697437640677e-39,5.652071339732209e-33,1.5719893743653557e-36,6.659628040187986e-41,1.682458350249511e-37,8.701054654595731e-35,8.938228593660252e-46,6.312530788461685e-47,4.731957616712949e-27,7.972012397303179e-58,2.0083119222507936e-35,2.6757205226248354e-34,6.102229394912008e-53,1.3604868072176409e-67,4.1586102115294835e-65,1.8234942476949474e-51,4.0610174639149885e-65,2.8483566261551723e-71,1.2989758685052368e-75,6.966141615977556e-78,4.213772960621152e-63,7.777612290906987e-62,1.2620070626829635e-75,9.04691745056943e-49,1.5560809534173612e-55,9.922787596997013e-48,6.032115753373787e-54,3.604145748751703e-73,6.808096150353851e-27,2.9978498192192387e-37,1.1441591275247238e-55,8.876358991647891e-49,2.197944339060032e-42,3.610832021323727e-46,6.913433855136457e-63,1.5246281100299639e-34
4.081838991188873e-19,0.5766662643460141,1.3279955194035363e-25,2.183666878360193e-29,2.2727947369517578e-32,1.3663801365311354e-26,0.0,0.0,1.9816716032522127e-20,1.1750708655233014e-36,1.517775154585898e-47,3.041953984647691e-49,5.949812821931898e-58,1.236625781320282e-65,5.012595149781995e-46,3.0743791219328e-37,8.075333910596972e-35,1.7228449960549774e-49,1.0635152104811195e-63,1.2819293591999612e-62,1.1282195245939905e-36,9.03595936686957e-56,9.497005845805633e-27,4.931755199311592e-65,2.3628733173598292e-51,2.9352879195258905e-57,3.8972056416091904e-55,5.76467106693244e-65,1.6287767010633489e-80,4.0814093392563243e-82,6.054589073052541e-65,1.1553142497556099e-76,1.0500835968643462e-63,2.389483713320144e-77,3.76,0.0,0.9041919900035678,0.9999999999998935,1.8437660208138034e-44,1.5433700550890867e-48,5.235555505632198e-17,5.235555505632198e-17,2.0962712031975684e-36,5.199699979029151e-41,1.0646111449924271e-13,7.995989401694469e-40,9.82858550360463e-42,1.9816848832055097e-20,1.392652325782991e-32,4.434480848730721e-39,2.080899375665959e-33,6.089239961106541e-19,7.403262562080798e-39,2.2726730269933322e-32,6.320900135712075e-36,2.677807145545048e-40,6.765091029145653e-37,3.4986558079815365e-34,3.5940224056401674e-45,2.5382408705609407e-46,9.497005846147366e-27,6.416569126657275e-57,8.075333910600455e-35,1.0758954538909325e-33,4.911605098982863e-52,2.197189567863372e-66,6.716166596463527e-64,1.4677352844426564e-50,6.540279305678984e-64,4.58719053640967e-70,2.091960590883038e-74,1.121875631825623e-76,3.3916110681421597e-62,6.260111896869018e-61,2.0324234680481634e-74,7.281746226477623e-48,1.2524693300959919e-54,7.986722721044319e-47,4.855171540062916e-53,5.804365618739259e-72,1.3663801364209062e-26,1.2054222272851236e-36,9.209188052332376e-55,7.144465942249704e-48,8.83783751825308e-42,1.4518996749415923e-45,5.5759348217323375e-62,6.130462574850037e-34
8.177900417887115e-19,0.5766662643460141,2.6606182330925336e-25,4.374942354486446e-29,9.114923427459363e-32,2.737521179487368e-26,0.0,0.0,3.970247985609646e-20,4.712559734038207e-36,1.2179189754135211e-46,2.4409765224430543e-48,4.774352513374283e-57,9.923143094877638e-65,2.0102748487926943e-45,1.232963532795227e-36,3.2385700762838755e-34,1.3824746082944593e-48,8.534040012004547e-63,1.0286675776755518e-61,4.5246649021374794e-36,7.250788327033616e-55,1.9027102303697426e-26,7.916559313879628e-64,1.8960570286082925e-50,2.3577828859607654e-56,3.130429232236088e-54,9.266540376386478e-64,5.244920501824821e-79,1.3142784815527171e-80,9.71895635135999e-64,1.8566583590320742e-75,1.687978623690403e-62,7.683237852613945e-76,3.76,0.0,0.9041919900035678,0.9999999999997867,1.479506115373685e-43,1.2384572711571937e-47,1.0489353364942558e-16,1.0489353364942558e-16,8.406985104345455e-36,2.085312253824301e-40,2.1329317348807677e-13,3.206749379439092e-39,3.9417023846764285e-41,3.970274591784369e-20,5.585158705353408e-32,1.7784330013142443e-38,8.345337201406851e-33,1.2199696786188596e-18,2.969039406399517e-38,9.114435316097309e-32,2.534963663583554e-35,1.0739204337717875e-39,2.7131040787780743e-36,1.403117460203962e-33,1.441363731151906e-44,1.0179481179326363e-45,1.9027102305067919e-26,5.148892622579354e-56,3.2385700762853364e-34,4.3148219760243866e-33,3.941253769846716e-51,3.5319178513290327e-65,1.079604163983872e-62,1.1777765124485943e-49,1.0498705412995565e-62,7.363456720169128e-69,3.3580600472709915e-73,1.8008588470235254e-75,2.721554285132129e-61,5.023366233077563e-60,3.2624897772522706e-73,5.843142755547289e-47,1.00502776413616e-53,6.408841997362609e-46,3.8959693921349645e-52,9.317292291146048e-71,2.737521179045299e-26,4.834282269678213e-36,7.389793434492253e-54,5.732983975893632e-47,3.544368126760916e-41,5.822767075988724e-45,4.47889406676393e-61,2.4585896841549966e-33
