Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777)
0.0,0.8218124168006558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6053282389582842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.924637976101235e-23,0.8218124168006558,1.8281140901447869e-25,3.500575559691252e-26,2.7802651889828566e-36,6.847936944185572e-24,0.0,0.0,6.706995742340019e-21,2.9639571312997384e-39,5.857256564167011e-53,2.2849485648392472e-54,5.208536992286662e-54,1.0413971701592525e-65,5.703374190293941e-45,6.756422349581646e-39,2.8193096329413302e-36,1.134426679935772e-53,2.6490080205440075e-62,1.0348412683490368e-59,2.0527364222218027e-36,3.9527070544186955e-56,7.63226264178203e-25,7.882874641390444e-71,1.2130312947549483e-54,9.608741297357181e-58,1.7376908146022995e-38,2.7350046616952443e-38,3.565488099166889e-77,3.2518087967990934e-59,1.9017032815304474e-70,5.915366967277785e-61,3.7666144818703807e-54,3.7795178427710864e-70,3.76,0.0,0.6053282389582842,0.9999999999999994,1.3922029003460645e-51,2.0630749925851835e-52,2.2772707648993858e-17,2.2772707648993858e-17,2.442103273405914e-36,2.883365709281251e-39,5.1619888731967605e-16,3.798587407601217e-40,3.0612380335584305e-41,6.707178553748879e-21,2.9206161529832203e-35,2.504737784346518e-38,5.167275973289388e-35,1.231345536759586e-18,1.407688647031728e-39,2.779816768679941e-36,5.76247013807646e-22,2.7542921619341285e-40,1.5695490831583346e-36,2.1191788490569685e-36,1.6831755367085845e-43,2.1799880937888328e-44,7.632262641782185e-25,5.330295280541709e-59,2.8193097121578192e-36,1.4176136574556173e-38,2.1624096516544198e-52,1.4474743692792333e-54,1.1839506515965425e-67,1.385456096981882e-54,1.006757646744267e-71,6.641283693345252e-76,5.683171923537813e-80,8.074995615631903e-75,1.4654228324929547e-63,3.640844020271893e-60,2.947381526013765e-80,5.462410181742841e-53,1.4455466923776726e-59,1.849676120272864e-53,2.8443889835924862e-58,1.6231406280006383e-71,6.84793694418503e-24,1.6074490396665294e-40,5.584564873716079e-58,4.0118335621832328e-53,1.7741008240527401e-40,5.422002981616384e-46,3.859014775678193e-61,5.4117998609547103e-36,2.177315930807848e-59,7.05191545044638e-53,1.441041673570106e-70,1.7735799051518767e-63,5.762470138076707e-22,7.804530132985798e-77,3.478802561309225e-58,2.2712880452122795e-56,3.2818961968529264e-60,1.0173413982540898e-90,2.466691018646672e-74,3.940314718201299e-56,2.7407750776487528e-56,4.1162476383198535e-55,4.732862974499649e-67,3.505652603009861e-67,4.2300051760301565e-61,3.612155628351472e-53,9.748324342878653e-41,8.957621978742058e-75,3.249388647904298e-76
2.778898633308346e-22,0.8218124168006558,5.11871945498187e-25,9.801611567135649e-26,1.6792801741456517e-35,1.9174223443719608e-23,0.0,0.0,1.8779588078552043e-20,1.7902301073050414e-38,6.953735350316591e-52,2.712690936188172e-53,6.1835751172427665e-53,1.236346720413401e-64,3.4448380109385293e-44,4.080879099147239e-38,1.7028630182965476e-35,1.3467913544207958e-52,3.144902322002498e-61,1.228563553785786e-58,1.2398527990219687e-35,4.6926538150058366e-55,2.137033539698947e-24,1.7633675257804392e-69,1.4401107531330423e-53,1.446605987502806e-56,1.0495652520197977e-37,1.6519428156638523e-37,7.975854258618403e-76,3.860547403559705e-58,4.4871746242881096e-69,8.939302560953131e-60,4.471724714034259e-53,8.454777099438616e-69,3.76,0.0,0.6053282389582842,0.9999999999999986,1.6528232833691493e-50,2.4492826311971137e-51,6.37635814171828e-17,6.37635814171828e-17,1.4750303771370148e-35,1.7415528884058131e-38,1.4453568844946844e-15,2.2943467941913056e-39,1.8489877722698125e-40,1.878009995049661e-20,1.764052156401756e-34,1.5128616218316165e-37,3.121034687866754e-34,3.447767502926841e-18,8.502439428073071e-39,1.679009328282683e-35,1.6134916386613173e-21,1.663592465808691e-39,9.480076462275305e-36,1.2799840248303782e-35,1.0166380241719064e-42,1.3167128086487272e-43,2.1370335396990407e-24,6.328126557058708e-58,1.702863066143307e-35,8.562386491031221e-38,2.5672127384441077e-51,1.7184415712083022e-53,2.0586343577301287e-66,1.9397191205336093e-53,2.637810438589421e-70,1.485628597066426e-74,1.271302826607517e-78,1.8063442238250662e-73,1.7397499867351936e-62,4.3224100210949345e-59,6.593174578429757e-79,6.484973367763877e-52,1.7161530331909536e-58,2.1959354899878054e-52,3.376858601320747e-57,3.6309006592122726e-70,1.9174223443716314e-23,9.708992199585724e-40,6.629995418077262e-57,4.762848805023673e-52,1.0715568977278445e-39,3.274889800898218e-45,5.178222807787372e-60,3.268727116016645e-35,2.5849094727424344e-58,8.372034022782002e-52,3.2235525821136145e-69,2.1058273340145964e-62,1.6134916386614665e-21,1.7458421726482228e-75,4.130035080368387e-57,2.696473174449985e-55,3.896267164934174e-59,5.091395872251139e-89,5.517889155095655e-73,4.67794163344849e-55,3.2538481721910156e-55,4.8868091962125473e-54,1.0587225159431875e-65,7.842004646827047e-66,5.02186214498344e-60,4.288351161977467e-52,5.887987903100368e-40,2.8164196720681412e-73,7.268752429815844e-75
6.35176830470479e-22,0.8218124168006558,1.1699930194961902e-24,2.240368358202501e-25,8.085011169562241e-35,4.382679644278767e-23,0.0,0.0,4.292477275097603e-20,8.619187337819623e-38,6.82721875861233e-51,2.6633360472107857e-52,6.0710707182094625e-52,1.2138525415386644e-63,1.6585412145389602e-43,1.9647676192582317e-37,8.198552412593145e-35,1.3222877381363825e-51,3.0876837487840144e-60,1.2062109823930452e-57,5.969357515821e-35,4.607275342630317e-54,4.884648090740349e-24,3.484117078099504e-68,1.4139092771662685e-52,1.5543107189970204e-55,5.053204888863621e-37,7.953393556208641e-37,1.5758943970496354e-74,3.79030833354847e-57,9.072036350774391e-68,9.616493771375623e-59,4.3903658417121414e-52,1.670534465104417e-67,3.76,0.0,0.6053282389582841,0.9999999999999967,1.6227517007545703e-49,2.40472021135723e-50,1.4574532895356066e-16,1.4574532895356066e-16,7.101636319062049e-35,8.384827482588942e-38,3.303672878843067e-15,1.1046292181306856e-38,8.90208020159558e-40,4.292594274399105e-20,8.493151772873563e-34,7.283777478174471e-37,1.5026438530324984e-33,7.880611435261351e-18,4.093558585570374e-38,8.083707163321248e-35,3.687980888368295e-21,8.009481606911469e-39,4.564248733822885e-35,6.162572093057201e-35,4.8946744607473875e-42,6.339405376742009e-43,4.884648090740801e-24,6.212992178998153e-57,8.198552642954697e-35,4.1224205158798665e-37,2.5205046899683274e-50,1.6871761248318616e-52,3.331805405492248e-65,2.0336536385608775e-52,5.583781353703898e-69,2.935351757972579e-73,2.511880152526769e-77,3.56903179599863e-72,1.7080968535524184e-61,4.24376779073591e-58,1.3027001922028536e-77,6.366985307835673e-51,1.684929224635977e-57,2.155982485789619e-51,3.3154197992746213e-56,7.174047843512162e-69,4.382679644277182e-23,4.674461807350095e-39,6.509368816808018e-56,4.676193200079965e-51,5.1590851963452054e-39,1.5767184670569253e-44,5.345524284397917e-59,1.5737513995656295e-34,2.5378794479803612e-57,8.219712649057189e-51,6.369196687190449e-68,2.068007876361722e-61,3.6879808883690125e-21,3.4494899336646064e-74,4.0548932314548797e-56,2.647413355944412e-54,3.825378207142561e-58,2.5530376853975694e-87,1.0902419141149112e-71,4.592830835535147e-54,3.1946474305272736e-54,4.797898247223194e-53,2.091857281498947e-64,1.5494479691315406e-64,4.930494033182105e-59,4.2103286004021333e-51,2.8348127189115567e-39,6.283277357354154e-72,1.436182991177072e-73
1.349750764749768e-21,0.8218124168006558,2.4862351716145428e-24,4.7607827611805995e-25,3.5309367900083253e-34,9.313194244092378e-23,0.0,0.0,9.121514209582381e-20,3.764225556750651e-37,6.038597738386233e-50,2.3556905724784075e-51,5.369793297568129e-51,1.0736388265495644e-62,7.243285221688614e-43,8.580656383967553e-37,3.580523233835238e-34,1.169548529953402e-50,2.7310213089386134e-59,1.0668799540283175e-56,2.6069752562216882e-34,4.075082864823259e-53,1.0379877192822811e-23,6.199800184816263e-67,1.2505867436403542e-51,1.4279971883978045e-54,2.2068673345450598e-36,3.473455920351793e-36,2.8042198804981668e-73,3.352484797146831e-56,1.6311647268195112e-66,8.839214551890123e-58,3.883228867884757e-51,2.972637435368571e-66,3.76,0.0,0.6053282389582839,0.999999999999993,1.4353055022527784e-48,2.1269477943554874e-49,3.097088240263163e-16,3.097088240263163e-16,3.101471157223083e-34,3.661874450786221e-37,7.020304867533297e-15,4.82420600765613e-38,3.8877723026270617e-39,9.121762833097586e-20,3.709182514286997e-33,3.181016987458037e-36,6.562440486076947e-33,1.6746299299930368e-17,1.7877645817324558e-37,3.5303672962235035e-34,7.836959387780783e-21,3.497951045663537e-38,1.99332733560948e-34,2.691357138301871e-34,2.1376329316186882e-41,2.7685848791160396e-42,1.0379877192824786e-23,5.495321222424629e-56,3.5805233344401802e-34,1.80036934496753e-36,2.2293578544695056e-49,1.492288175752092e-51,5.260552721664698e-64,1.8500648860840963e-51,1.0237849192362128e-67,5.223301618067479e-72,4.469756522176725e-76,6.350901393374053e-71,1.510792323384062e-60,3.753564552623988e-57,2.3180853890176853e-76,5.631526400961664e-50,1.4903008179748676e-56,1.906942092955606e-50,2.9324512665228736e-55,1.2765834829623756e-67,9.313194244085462e-23,2.0414602803763137e-38,5.757463002215741e-55,4.136039929266727e-50,2.2531080465468116e-38,6.885943786682575e-44,4.831914539666232e-58,6.872985823412476e-34,2.2447256299901434e-56,7.270242752808736e-50,1.1333645199981658e-66,1.830008530740437e-60,7.836959387783919e-21,6.138183031698811e-73,3.586507263392116e-55,2.3416071341308015e-53,3.383503703295412e-57,1.0049474167238053e-85,1.9400272363028862e-70,4.0623068618762085e-53,2.825629474094523e-53,4.243686665197139e-52,3.722348264914142e-63,2.7571598743786946e-63,4.360966136282895e-58,3.723987966596118e-50,1.2380371915480935e-38,1.1767883106546604e-70,2.555610897836566e-72
2.7788986333083455e-21,0.8218124168006558,5.118719492340634e-24,9.801611567137704e-25,1.4740966031987983e-33,1.9174223443719604e-22,0.0,0.0,1.8779588078551863e-19,1.571490071015107e-36,5.075805276578009e-49,1.980099867242809e-50,4.51363482092424e-50,9.024581253092419e-62,3.023928995707627e-42,3.5822551297471704e-36,1.494797967385267e-33,9.830760100178323e-50,2.295587966616795e-58,8.967768857111629e-56,1.0883608510619993e-33,3.425352690045942e-52,2.1370335396986376e-23,1.0456869193536066e-65,1.0511935115335457e-50,1.221421403394837e-53,9.21323669902265e-36,1.4500994716297683e-35,4.729726704088755e-72,2.8179654743632368e-55,2.764906588870757e-65,7.562134146613845e-57,3.264087845628851e-50,5.013796160419794e-65,3.76,0.0,0.6053282389582836,0.9999999999999856,1.2064607582930754e-47,1.7878277793741904e-48,6.376358141718275e-16,6.376358141718275e-16,1.2948031555576317e-33,1.528760499060048e-36,1.445356884488761e-14,2.0140110435124823e-37,1.6230684053997228e-38,1.8780099950492925e-19,1.548510684310179e-32,1.3280119744646874e-35,2.7396897210375144e-32,3.447767502926838e-17,7.463565206581594e-37,1.4738588507540856e-33,1.613491638659991e-20,1.4603257042639237e-37,8.321749238891048e-34,1.1235886257695726e-33,8.924196695617993e-41,1.1558296873306392e-41,2.1370335396994613e-23,4.6191486053881476e-55,1.4947980093858506e-33,7.516187611819749e-36,1.8739096055690497e-48,1.2543581288274263e-50,8.309051129098299e-63,1.5754391575755424e-50,1.750906372486012e-66,8.809861632678225e-71,7.538897687988426e-75,1.0711723475117726e-69,1.269911979867861e-59,3.155097177156405e-56,3.909789827051263e-75,4.733637264921048e-49,1.2526876348695587e-55,1.6028997310088962e-49,2.464901982954547e-54,2.153144633380338e-66,1.9174223443690726e-22,8.522694808310332e-38,4.8394945665413243e-54,3.476590775647913e-49,9.40628256912611e-38,2.874745980879797e-43,4.102693852796505e-57,2.8693362862781824e-33,1.886827144890135e-55,6.111077098723488e-49,1.9115849190166298e-65,1.5397111277987389e-59,1.6134916386613e-20,1.035294285960606e-71,3.01467550872629e-54,1.96826189010865e-52,2.844038734192367e-56,3.5507999323664502e-84,3.272139496790324e-69,3.41461368975666e-52,2.3751118299649407e-52,3.5670743433965254e-51,6.278284418612519e-62,4.650353123086943e-62,3.66565480547008e-57,3.130236273022795e-49,5.16856156661671e-38,2.0326091600708038e-69,4.310411315142122e-71
5.6371943704255015e-21,0.8218124168006558,1.0383688199750363e-23,1.988326917905554e-24,6.022165609945171e-33,3.8896281842974047e-22,0.0,0.0,3.8095735816490516e-19,6.420049704680366e-36,4.161451842788055e-48,1.6234055038752389e-49,3.700550528523725e-49,7.398896953553566e-61,1.2353736631260957e-41,1.4634681066079212e-35,6.1067374373343215e-33,8.059851079743047e-49,1.882061708739614e-57,7.352318719009912e-55,4.44630919998931e-33,2.8083110863919917e-51,4.3351251805308056e-23,1.7175439050388822e-64,8.61831951191763e-50,1.0097930812150425e-52,3.763907812062232e-35,5.924129497409477e-35,7.768590321283957e-71,2.3103383501839388e-54,4.552454079481738e-64,6.252518749801128e-56,2.676096423759709e-49,8.235182233006755e-64,3.76,0.0,0.6053282389582829,0.9999999999999707,9.891294209396916e-47,1.4657692295355094e-47,1.293489794462849e-15,1.293489794462849e-15,5.289693374309657e-33,6.245485460924186e-36,2.9320096799491674e-14,8.227892268380123e-37,6.630764030268424e-38,3.809677418527711e-19,6.326171411994872e-32,5.425362240601188e-35,1.1192526449179345e-31,6.994042648794437e-17,3.049109917032973e-36,6.021194313631338e-33,3.2730830384214756e-20,5.965906994490289e-37,3.3997060960720534e-33,4.5902261542077e-33,3.6458255395230186e-40,4.721941410702541e-41,4.3351251805341705e-23,3.7870571038969206e-54,6.10673760892042e-33,3.0706078865867555e-35,1.5363443114949408e-47,1.028398579138739e-49,1.3185474363898031e-61,1.2997375503581974e-49,2.895162153655948e-65,1.447022418600942e-69,1.2382662090379552e-73,1.7594037992233786e-68,1.0411505659412405e-58,2.5867392911453657e-55,6.421841531261339e-74,3.880921824087019e-48,1.0270290072670167e-54,1.3141540426023416e-48,2.0208755687286673e-53,3.536546525815115e-65,3.8896281842856074e-22,3.4817989178779306e-37,3.9677100356115805e-53,2.850319164640897e-48,3.842773348929914e-37,1.1744275338527183e-42,3.3800228895951936e-56,1.1722174970822304e-32,1.5469348874249992e-54,5.010230221259263e-48,3.13978396961077e-64,1.2647731327295307e-58,3.2730830384268237e-20,1.700473973797451e-70,2.4716131458227066e-53,1.6137000166744958e-51,2.331714784170171e-55,1.1927403429070775e-82,5.3744989549238435e-68,2.7995066051311854e-51,1.947260176484541e-51,2.9245030602626845e-50,1.0312101009995409e-60,7.638218968766957e-61,3.0053252790639167e-56,2.5663568175193365e-48,2.1115260459838563e-37,3.3772105196984202e-68,7.0798635284731e-70
1.1353785844659813e-20,0.8218124168006561,2.09136258784e-23,4.00465844029057e-24,2.434255625684175e-32,7.834039864148292e-22,0.0,0.0,7.672803129236655e-19,2.595086738395125e-35,3.3700515991286283e-47,1.3146758668537046e-48,2.996801761250695e-48,5.991818582401769e-60,4.99357786565945e-41,5.915572075324432e-35,2.4684409105009385e-32,6.527076370302934e-48,1.5241423676831784e-56,5.954098320675684e-54,1.797269269003453e-32,2.274243128141406e-50,8.731308462192962e-23,2.7842126840572237e-63,6.979338585768064e-49,8.211067135189349e-52,1.521431717344293e-34,2.394627861530635e-34,1.2593219705873897e-69,1.8709718955426803e-53,7.388647147805929e-63,5.0844444082075734e-55,2.1671722664587766e-48,1.3349590898750824e-62,3.76,0.0,0.6053282389582816,0.9999999999999409,8.010226499899485e-46,1.187017924711077e-46,2.6051977550448896e-15,2.605197755044889e-15,2.138178636808795e-32,2.5245250800237145e-35,5.90531527082815e-14,3.325845607566525e-36,2.6802608378549323e-37,7.673012265481947e-19,2.5571396315015403e-31,2.1930181659954464e-34,4.524198143857957e-31,1.4086592940529618e-16,1.232498979544786e-35,2.433863012184053e-32,6.592265837935078e-20,2.411514993841879e-36,1.3742155606510572e-32,1.8554428029311227e-32,1.473700974806525e-39,1.908684215567095e-40,8.731308462206563e-23,3.0668570288147757e-53,2.468440979858789e-32,1.241188802551032e-34,1.2441714558644022e-46,8.328238324201938e-49,2.100004762594024e-60,1.0557913182742955e-48,4.708605117290973e-64,2.3456856969738022e-68,2.0072828853528519e-72,2.852069382028654e-67,8.431507219430821e-58,2.0948085475535337e-54,1.0410081858001568e-72,3.142871112818276e-47,8.317147176130545e-54,1.0642360154414449e-47,1.6365574302895767e-52,5.732894318479701e-64,7.834039864100605e-22,1.4073987917808318e-36,3.2131544566917066e-52,2.308262359036567e-47,1.5533104282966718e-36,4.7472238667348456e-42,2.7437670267892582e-55,4.7382905446591443e-32,1.2527479735674318e-53,4.057414332164079e-47,5.089725117201196e-63,1.0281737026337358e-57,6.592265837956698e-20,2.7565415909386104e-69,2.001576423707441e-52,1.306816114163313e-50,1.8882830864893405e-54,3.909525428384365e-81,8.712294426025669e-67,2.267113030943864e-50,1.576941777154593e-50,2.3683384010496775e-49,1.6716360115531078e-59,1.2381882101442943e-59,2.433790329312983e-55,2.078302288097328e-47,8.53512588191459e-37,5.505705511030616e-67,1.1476763871676813e-68
2.2786968793128437e-20,0.8218124168006565,4.197350229102e-23,8.03732148506641e-24,9.788034808426674e-32,1.5722863223850063e-21,0.0,0.0,1.5399262224411363e-18,1.0434729639025179e-34,2.7125107164048665e-46,1.0581655121580494e-47,2.412086773316612e-47,4.822736871643256e-59,2.0078956972675854e-40,2.3786255138538755e-34,9.92549233514248e-32,5.253558905914386e-47,1.2267623752240012e-55,4.792376323787171e-53,7.226740683888728e-32,1.8305087242077497e-49,1.7523675025508553e-22,4.48388869517255e-62,5.617578882551686e-48,6.6223629993607e-51,6.11761002044711e-34,9.62869331162526e-34,2.0280992185601427e-68,1.505920952404117e-52,1.1906349365554292e-61,4.100788611985032e-54,1.7443287797776844e-47,2.1499109108476307e-61,3.76,0.0,0.6053282389582789,0.9999999999998814,6.447327161079861e-45,9.554152940324255e-46,5.228613676208959e-15,5.228613676208958e-15,8.597522258033121e-32,1.015100431410381e-34,1.185192645241881e-13,1.3373078912086866e-35,1.077721094706037e-36,1.539968195938002e-18,1.028214599113747e-30,8.818029627326485e-34,1.819160175497484e-30,2.82716935239999e-16,4.955824189530124e-35,9.786456126807406e-32,1.323063143692482e-19,9.696595728138581e-36,5.525660329140676e-32,7.460653905234621e-32,5.925686803942371e-39,7.674735283922041e-40,1.7523675025563247e-22,2.4684733473105542e-52,9.925492614027393e-32,4.990765585562678e-34,1.0014174281494778e-45,6.703290743675819e-48,3.3518824539221403e-59,8.510829757933558e-48,7.595395953215796e-63,3.777654501491433e-67,3.2326672057417505e-71,4.5931698330589734e-66,6.786410534628347e-57,1.6860841694757963e-53,1.676511590701142e-71,2.529656095170438e-46,6.694363622850263e-53,8.565897316643464e-47,1.3172437971688897e-51,9.23264956461999e-63,1.5722863223658322e-21,5.6590886420985294e-36,2.5862262449041485e-51,1.8578903608322893e-46,6.245792915102062e-36,1.908837837841313e-41,2.2110335267717228e-54,1.9052457882485247e-31,1.008320547262585e-52,3.2657600415911476e-46,8.196845393723499e-62,8.33886273328508e-57,1.3230631437011752e-19,4.439325256033042e-68,1.611042857896377e-51,1.0518393033033783e-49,1.5198545056952956e-53,1.2660825688904535e-79,1.403088164215133e-65,1.824769801677202e-49,1.2692599332619345e-49,1.9062447859278263e-48,2.6921182628521208e-58,1.9940639411803114e-58,1.9589261920162657e-54,1.6727984896354887e-46,3.4319365783341653e-36,8.891729106794258e-66,1.8482974406390168e-67
4.5653334690065685e-20,0.8218124168006574,8.409325933754289e-23,1.6102647574641298e-23,3.9254397387377616e-31,3.1500509943253584e-21,0.0,0.0,3.0852180414758774e-18,4.184793289938665e-34,2.1766190225815248e-45,8.491111830499701e-47,1.9355477276694897e-46,3.869942614280172e-58,8.052559799657902e-40,9.539352176793979e-34,3.980566354881762e-31,4.215650164868729e-46,9.843995478404314e-55,3.845580187259454e-52,2.8982462381164154e-31,1.468867969762411e-48,3.510840815210485e-22,7.197634387282418e-61,4.507753270473302e-47,5.319378233754286e-50,2.453435234997844e-33,3.86153667177177e-33,3.255548426612889e-67,1.2084067247076575e-51,1.9118065593555453e-60,3.2939764237866874e-53,1.399713991785027e-46,3.4510835068199676e-60,3.76,0.0,0.6053282389582735,0.9999999999997625,5.173574008288559e-44,7.66660603506572e-45,1.0475445518537054e-14,1.047544551853705e-14,3.4479909590028237e-31,4.071006744700313e-34,2.374514881493086e-13,5.363202769372789e-35,4.322143612472316e-36,3.0853021347134566e-18,4.123600422630755e-30,3.536424304085632e-33,7.295645943007778e-30,5.664189469094017e-16,1.98750715470003e-34,3.9248066167977294e-31,2.650736263475446e-19,3.8887685779741566e-35,2.2160369331510513e-31,2.992055901890785e-31,2.3764654411759566e-38,3.077912109864839e-39,3.5108408152324197e-22,1.9807944021777143e-51,3.980566466727126e-31,2.0015202172344345e-33,8.035744190223286e-45,5.378968663292799e-47,5.356354895645296e-58,6.834562363237649e-47,1.2202156394963568e-61,6.063972099088801e-66,5.1891467928938434e-70,7.373054872218549e-65,5.4456670606404135e-56,1.3529763700503094e-52,2.6911723942706665e-70,2.0298897041451187e-45,5.371805211121564e-52,6.873593135175983e-46,1.0570051901004309e-50,1.4820447274636158e-61,3.150050994248462e-21,2.2695476544036253e-35,2.0752836867578192e-50,1.4908400087085974e-45,2.504842308868214e-35,7.655293478945329e-41,1.775258877535033e-53,7.640887752882588e-31,8.0911372376687e-52,2.6205667629874193e-45,1.3157752184200404e-60,6.792882533378999e-56,2.650736263510309e-19,7.126100208667055e-67,1.292760460251698e-50,8.440348050665216e-49,1.21958752496745e-52,4.07567522942985e-78,2.2522672579864084e-64,1.4642628458539106e-48,1.0185011615232733e-48,1.5296413895697357e-47,4.321446025857172e-57,3.200914244008893e-57,1.5719149002497051e-53,1.3423154387024968e-45,1.3763600650781933e-35,1.429319484622549e-64,2.9669267283534977e-66
