Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58)
0.0,0.6220061350212337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7902402048249719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.594480669485703e-22,0.6220061350212337,2.8474798922310688e-27,2.6411847164779935e-30,8.17702133066169e-37,8.970613536479169e-42,0.0,0.0,2.198231574131168e-22,6.669251465198762e-41,5.303090046302828e-54,1.2371357908733394e-55,1.4931035151461276e-63,1.1195332759871227e-70,4.0092074598033996e-49,4.606008203896021e-41,1.1359724154157426e-38,8.176243492168085e-56,2.482239656592649e-68,3.9078579053792615e-67,4.732533231100503e-40,5.923288149350354e-61,6.283220551109851e-28,9.58329815261882e-89,2.5196871625915015e-57,6.638015876612644e-63,2.512452580058811e-60,2.055316889273979e-79,7.645321470234529e-91,4.0965638989018024e-92,3.370320990486536e-73,5.15431160975008e-84,2.41279904293412e-72,1.5308332292059475e-116,3.76,0.0,0.7902402048249719,0.9999999999999997,1.9675576273614212e-51,1.0289933473557698e-54,6.962661341141328e-19,6.962661341141328e-19,7.694151942507212e-40,5.74119989889567e-44,3.968614748803643e-16,2.313444314515937e-43,4.633398391831474e-45,2.198260048930076e-22,8.930915278731416e-37,8.724850526787339e-47,2.303221877606865e-37,1.3493013381153325e-20,1.7849717541010856e-42,8.177010772572748e-37,1.4763680932128062e-39,9.359916436951105e-44,1.8481847902954288e-40,3.0772487592497104e-38,1.8283528981572755e-70,1.7058138184195632e-60,6.283220551110397e-28,8.595978494299062e-85,1.1359724154170861e-38,1.6583391937068085e-38,2.6265651641516647e-57
1.846454587455997e-21,0.6220061350212337,7.972943698957672e-27,7.39531720614195e-30,4.938920883719646e-36,5.418250576436457e-41,0.0,0.0,6.155048407567267e-22,4.02822788498005e-40,6.295828502970703e-53,1.4687276109247225e-54,1.772612493212333e-62,1.329109905251744e-69,2.4215613057210506e-48,2.7820289551529794e-40,6.861273389111051e-38,9.706836273901476e-55,2.9469149204141912e-67,4.6394089052662006e-66,2.8584500715847042e-39,7.032127690908652e-60,1.7593017543106087e-27,4.578092135748763e-87,2.9913725994285554e-56,1.0031369592741552e-61,3.7898072412983617e-59,6.462245150679871e-78,3.652261810327816e-89,1.9569777333383886e-90,7.53927324287847e-72,1.4535983816677926e-82,7.585073666075308e-71,1.1844133884840122e-114,3.76,0.0,0.7902402048249719,0.9999999999999989,2.3358844152038235e-50,1.2216209019807644e-53,1.949545175519572e-18,1.949545175519572e-18,4.647267773272935e-39,3.4676847389327414e-43,1.1112121296627148e-15,1.3973203659676156e-42,2.798572628672185e-44,6.155128137004172e-22,5.39427282835368e-36,5.270400948102673e-46,1.3911460140745385e-36,3.7780437467229305e-20,1.0781229394770545e-41,4.938914506633936e-36,8.917263283005203e-39,5.653389527927285e-43,1.1163036133384324e-39,1.8586582505868113e-37,2.170900296866483e-69,2.0251421652276887e-59,1.7593017543109387e-27,2.0075389608821974e-83,6.861273389119167e-38,1.0016368729988087e-37,3.118258162880846e-56
4.22046762847085e-21,0.6220061350212337,1.8223871315253594e-26,1.6903582185484136e-29,2.3778778029563978e-35,2.6086544170127003e-40,0.0,0.0,1.406868207443946e-21,1.9394183260797975e-39,6.181281757970534e-52,1.442005477841634e-53,1.7403614573491818e-61,1.3049279864900695e-68,1.1658775293105245e-47,1.3394271856926353e-39,3.30340778402893e-37,9.530229414469651e-54,2.893298544045769e-66,4.554999174509885e-65,1.3762206636040263e-38,6.904184666882501e-59,4.021261152709259e-27,2.3837916005001056e-85,2.936947356716423e-55,1.079128965030657e-60,4.0744881516351525e-58,1.441691344443023e-76,1.9017251526663987e-87,1.0189942484843351e-88,1.489633345172598e-70,3.161894161000327e-81,1.6921319092101966e-69,1.290786798333901e-112,3.76,0.0,0.7902402048249719,0.9999999999999974,2.2933851704529514e-49,1.1993946456778687e-52,4.45610325833045e-18,4.45610325833045e-18,2.2374593848789647e-38,1.669540930598496e-42,2.539913439218194e-15,6.727496066612189e-42,1.3473922523534262e-43,1.4068864313152201e-21,2.597110163054952e-35,2.5380733780744394e-45,6.697769220080646e-36,8.635528563938125e-20,5.190697860925938e-41,2.37787473266415e-35,4.2932784150626206e-38,2.721863699878356e-42,5.374521370179004e-39,8.948639391897954e-37,2.1319953202319813e-68,1.9882965867497905e-58,4.021261152710848e-27,4.0422625719731304e-82,3.3034077840328386e-37,4.822450375297846e-37,3.0615243553351497e-55
8.968493710500556e-21,0.6220061350212337,3.872572655921629e-26,3.592011214422559e-29,1.0384817089940124e-34,1.1392679197575636e-39,0.0,0.0,2.98959494081838e-21,8.469949360802404e-39,5.467273714136279e-51,1.275437514958085e-52,1.539330000173469e-60,1.1541940262105921e-67,5.091693473947178e-47,5.849630418944565e-39,1.4426849675779425e-36,8.429379990682528e-53,2.5590897970262493e-65,4.0288451861294216e-64,6.010317203497641e-38,6.106673150453674e-58,8.545179949504172e-27,9.513070420167935e-84,2.59769667714485e-54,9.919054364136993e-60,3.744281771638552e-57,2.700128333392872e-75,7.58928586332986e-86,4.066538550001259e-87,2.650722946929917e-69,5.861619542423318e-80,3.169133947072628e-68,1.0559192187341882e-110,3.76,0.0,0.7902402048249719,0.9999999999999946,2.028473211504992e-48,1.0608509813898697e-51,9.469219423952206e-18,9.469219423952206e-18,9.771572966962123e-38,7.291323871593735e-42,5.397316058292266e-15,2.9380742794350794e-41,5.884415957716653e-43,2.9896336665447605e-21,1.1342262403987421e-34,1.1089724232828301e-44,2.925091784560598e-35,1.8350498198368512e-19,2.26691412770836e-40,1.0384803681167338e-34,1.8749874783800367e-37,1.1887093875060802e-41,2.347194683675089e-38,3.9081059242469216e-36,1.8867797863778908e-67,1.7586258142377224e-57,8.54517994951111e-27,7.257825576517287e-81,1.4426849675796502e-36,2.106090776006044e-36,2.707883621633736e-54
1.846454587455997e-20,0.6220061350212337,7.972943709262515e-26,7.395317206193686e-29,4.335456709516631e-34,4.756219302663638e-39,0.0,0.0,6.155048407567232e-21,3.536037126848364e-38,4.595572984685138e-50,1.0720820821969255e-51,1.293899616928687e-59,9.70169624436044e-67,2.1256817951849368e-46,2.4421055497026274e-38,6.022925746533815e-36,7.0854017904114e-52,2.1510691717686115e-64,3.3864871350744885e-63,2.5091891191294877e-37,5.1330267376156e-57,1.7593017543084447e-26,3.3810918307587935e-82,2.183520580106316e-53,8.485959840530393e-59,3.202978123756637e-56,4.663800222555055e-74,2.6973510620907633e-84,1.445311492333035e-85,4.4708316878066265e-68,1.0074628576381544e-78,5.4738562251749094e-67,7.599453264758038e-109,3.76,0.0,0.7902402048249719,0.9999999999999889,1.7050539589497436e-47,8.917091709248901e-51,1.9495451755195718e-17,1.9495451755195718e-17,4.07943935989749e-37,3.0439841863910964e-41,1.1112121296292866e-14,1.226588175556206e-40,2.4566278274304033e-42,6.155128137003577e-21,4.7351712807820664e-34,4.6341634067301885e-44,1.2211682395070512e-34,3.7780437467229263e-19,9.463920240243789e-40,4.335451111618026e-34,7.827703630212251e-37,4.96262769499058e-41,9.79907575814541e-38,1.631557292154006e-35,1.587725331849484e-66,1.4782309620210992e-56,1.759301754311341e-26,1.2304024382872197e-79,6.022925746540947e-36,8.792514405019074e-36,2.2761393462110914e-53
3.745665020267879e-20,0.6220061350212337,1.617368583413766e-25,1.500192918982728e-28,1.7711755283064773e-33,1.9430707792158173e-38,0.0,0.0,1.2485955341064874e-20,1.4445865443678957e-37,3.767728385669679e-49,8.789576634551092e-51,1.0608170803959311e-58,7.954036732907503e-66,8.684103726208636e-46,9.97679800994117e-38,2.460561690686733e-35,5.809040469719619e-51,1.7635764701914086e-63,2.7764467562682337e-62,1.0250856279892936e-36,4.20836544390934e-56,3.5688692730206794e-26,1.1388444757410288e-80,1.7901820943272197e-52,7.016355698576277e-58,2.648153757339861e-55,7.748973826503415e-73,9.085421252587396e-83,4.868207158347548e-84,7.343354472284189e-67,1.6697965430520487e-77,9.094865474222356e-66,5.151134076694374e-107,3.76,0.0,0.7902402048249719,0.9999999999999775,1.3979062505681298e-46,7.310770531230589e-50,3.954791641768274e-17,3.954791641768274e-17,1.6665840873380392e-36,1.2435668628975286e-40,2.2541731771703883e-14,5.0110129230128834e-40,1.0036126253330395e-41,1.2486117077920161e-20,1.9344719730332143e-33,1.8968205401262277e-43,4.988870715770657e-34,7.664031600495071e-19,3.866320218252972e-39,1.77117324138231e-33,3.197872344620932e-36,2.0273953400099897e-40,4.003242183170702e-37,6.665443902483632e-35,1.304621102828415e-65,1.2119430536176498e-55,3.568869273032511e-26,2.0292281044734267e-78,2.4605616906896504e-35,3.5920290271244843e-35,1.866116554570738e-52
7.544085885891643e-20,0.6220061350212337,3.257517015666145e-25,3.021515315745982e-28,7.159374672016805e-33,7.854202779794431e-38,0.0,0.0,2.5147769208059902e-20,5.839249781851706e-37,3.051204131670131e-48,7.118027043804844e-50,8.590771757559744e-58,6.441385168608709e-65,3.5102535729962695e-45,4.032781270883558e-37,9.94598376372108e-35,4.704311581915787e-50,1.428189951069583e-62,2.2484385674682608e-61,4.1435600054235834e-36,3.408043445718571e-55,7.188004310429868e-26,3.7378010154147645e-79,1.449735873590026e-51,5.705583929480965e-57,2.1533830378062795e-54,1.2632783089259626e-71,2.981926226823991e-81,1.5977943344070398e-82,1.1903894046181813e-65,2.718833214854251e-76,1.4826902911062679e-64,3.3917309363858758e-105,3.76,0.0,0.7902402048249719,0.9999999999999546,1.1320607248770101e-45,5.920451520715559e-49,7.965284574265678e-17,7.965284574265678e-17,6.736599344820166e-36,5.0266960890547044e-40,4.5400952720165194e-14,2.0255315426847988e-39,4.05676269573656e-41,2.514809495974912e-20,7.819445010453477e-33,7.696466372208392e-43,2.0165813084941812e-33,1.5436007308039335e-18,1.562828449359579e-38,7.159365427904217e-33,1.2926311312748586e-35,8.195056117366598e-40,1.6181744967729166e-36,2.6942789966622393e-34,1.0612259726491545e-64,9.814629065648564e-55,7.188004310477691e-26,3.306556000300673e-77,9.945983763732904e-35,1.4519555643615642e-34,1.5112295682301442e-51
1.5140927617139175e-19,0.6220061350212337,6.537813909280305e-25,6.064160109418632e-28,2.8787530675436545e-32,3.158140409732451e-37,0.0,0.0,5.047139694204894e-20,2.3479366553289725e-36,2.455874533927952e-47,5.729207419182644e-49,6.914600498965456e-57,5.1845871714954576e-64,1.4114575230376657e-44,1.6215636121972172e-36,3.999236327365187e-34,3.786439226971011e-49,1.1495315250764383e-61,1.8097389688313504e-60,1.666107254141857e-35,2.743089858190826e-54,1.4426274385187116e-25,1.2112565541552581e-77,1.1668735552337697e-50,4.601760138236579e-56,1.7367608980837828e-53,2.040197847194485e-70,9.663109269192562e-80,5.177747559339533e-81,1.917085438471391e-64,4.388215553068066e-75,2.3945469029069042e-63,2.2015994607973125e-103,3.76,0.0,0.7902402048249718,0.9999999999999089,9.11180958438059e-45,4.765294451511958e-48,1.5986270439260487e-16,1.5986270439260487e-16,2.7087569678553874e-35,2.0212123891866737e-39,9.11193946076449e-14,8.14457324701782e-39,1.6312064378961822e-40,5.047205072339021e-20,3.1441644475310017e-32,3.118209514604179e-42,8.108584748983953e-33,3.0979958723127753e-18,6.284064459182074e-38,2.878749350527077e-32,5.197612926867834e-35,3.295196021964774e-39,6.506608481621272e-36,1.0833577346878216e-33,8.617490303994437e-64,7.899667325460566e-54,1.4426274385379415e-25,5.372339784110655e-76,3.999236327369966e-34,5.8382494649310945e-34,1.2163690305124109e-50
3.033461107963423e-19,0.6220061350212338,1.3098407812946232e-24,1.2149449697348505e-27,1.1545087354624262e-31,1.2665555684310819e-36,0.0,0.0,1.0111865241002297e-19,9.416276128204434e-36,1.9706846479008694e-46,4.597328140967548e-48,5.548531447298505e-56,4.160304691157077e-63,5.660575957123099e-44,6.503195346893081e-36,1.6038726374889393e-33,3.0383790180104906e-48,9.224266583012552e-61,1.4522015491053762e-59,6.681835273791415e-35,2.201156857429283e-53,2.890281453445711e-25,3.900438953902595e-76,9.36342540942227e-50,3.69638399770452e-55,1.39505261154995e-52,3.2795584656080715e-69,3.111675153768591e-78,1.667317214785412e-79,3.0773466991093276e-63,7.051769602457766e-74,3.8491627010386167e-62,1.4189882333134281e-101,3.76,0.0,0.7902402048249717,0.9999999999998174,7.311653349739132e-44,3.823848689574105e-47,3.2028242169250103e-16,3.2028242169250103e-16,1.0863326961811726e-34,8.105965689897213e-39,1.8255627834483272e-13,3.2663381469926286e-38,6.541867392727828e-40,1.0111996225060509e-19,1.260950569648873e-31,1.2693860014810825e-41,3.251905149656936e-32,6.206786155330414e-18,2.5201909097840234e-37,1.1545072447728817e-31,2.084475252589274e-34,1.3215209863231342e-38,2.609441016305025e-35,4.344749059683444e-33,7.03667565706665e-63,6.338985525004149e-53,2.89028145352283e-25,8.76918960061664e-75,1.603872637490875e-33,2.3413991574938518e-33,9.760595427399909e-50
