Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698)
0.0,0.7054801792847386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9285147436155747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6595430539456163e-22,0.7054801792847386,2.1280549255111247e-26,8.925014404457729e-29,2.2750807745818593e-36,3.72719014447491e-26,0.0,0.0,1.0028699814877949e-21,4.5749734846475036e-40,2.5706597615591133e-53,6.73133936646655e-55,1.3356577077517239e-56,1.214902714649525e-68,2.1554690980605088e-47,4.9411639675063e-40,1.3046794152201042e-37,6.04494946900588e-55,7.026558094071789e-66,2.26358688433634e-64,1.597411885872234e-38,5.651205015266923e-59,1.3637989160638742e-26,4.2426867913914123e-72,3.918629960901395e-56,1.3598591191516914e-60,8.794110404224207e-42,2.888036171133238e-41,8.957773902617475e-81,4.809497867935038e-63,7.344013422926985e-72,4.657808081990341e-64,6.641068791051893e-57,1.0388165443489962e-72,3.76,0.0,0.9285147436155747,0.9999999999999994,4.1587043890635654e-51,1.4312051258619534e-53,3.6695045222394755e-18,3.6695045222394755e-18,2.2979773605187493e-38,4.7771192030683855e-42,4.847401959309437e-16,5.2430771442437205e-42,1.712933452112262e-43,1.0028912620370405e-21,4.8719094665931666e-36,1.0451272976836528e-40,2.5213840800606223e-36,1.0917638813707434e-19,3.2708132074204577e-41,2.2749891311311214e-36,5.200981585527044e-24,2.5939753998821833e-42,1.5319177133153637e-38,2.2413859541128443e-37,2.889799314516924e-46,2.8455233689133466e-47,1.3637989160639454e-26,5.2327127693516986e-61,1.3046794154356986e-37,2.2820611107567689e-38,2.6038687472349506e-55,3.279557282840071e-70,2.8720938043974734e-70,7.151316319165371e-56,3.2123040660644754e-72,3.949458252792591e-77,2.5411693961229243e-81,1.2507167852263005e-77,6.281248959032915e-66,1.4138641305965567e-63,1.917369183206244e-81,1.6042506380954956e-53,3.1780658774953365e-60,2.362989495179158e-53,9.54279232125253e-59,9.278882557178128e-76,3.727190144474228e-26,8.333775470314917e-41,4.534433253436012e-60,9.968107525681059e-54,3.773613677118522e-43,9.42683087615288e-48,9.117946247002576e-65,6.256588801952231e-37,3.7007018074314905e-61,8.546921754782814e-55,1.9249778099920017e-71,8.046799451030584e-67,5.200981585526934e-24,5.012062462106834e-81,1.693508179715369e-61,2.7610882202205422e-59
1.0246720551047726e-21,0.7054801792847386,5.958553792285858e-26,2.4990040332484696e-28,1.3741487878474402e-35,1.043613240452977e-25,0.0,0.0,2.8080359481658243e-21,2.7632839847270904e-39,3.0518872693133086e-52,7.99144609599327e-54,1.5856928306428611e-55,1.4423325028318505e-67,1.3019033352285184e-46,2.9844630363735934e-39,7.880263667929383e-37,7.176564009603649e-54,8.341929769427907e-65,2.687330349101446e-63,9.648367790668292e-38,6.709110594124845e-58,3.8186369649786873e-26,9.490720644870709e-71,4.6521974895820195e-55,2.053022057405483e-59,5.311642684151465e-41,1.74437384736444e-40,2.0038181990570153e-79,5.709835868812349e-62,1.8874136640713226e-70,7.038879573507743e-63,7.884276871002159e-56,2.3382172300895613e-71,3.76,0.0,0.9285147436155747,0.9999999999999987,4.937213850702108e-50,1.699126725423302e-52,1.0274612662270534e-17,1.0274612662270534e-17,1.3879783257530068e-37,2.8853799986531264e-41,1.3572725486051133e-15,3.166818595123341e-41,1.0346118050769243e-42,2.80809553370369e-21,2.9426333178221845e-35,6.312568884319244e-40,1.5229159843566045e-35,3.056938867838082e-19,1.9755711772820183e-40,1.3740934352031963e-35,1.4562748439475335e-23,1.5667611415302887e-41,9.252782988424361e-38,1.3537971162841434e-36,1.7454387859679146e-45,1.7186961148267169e-46,3.8186369649791184e-26,6.212276599773493e-60,7.880263669231576e-37,1.3783649108969412e-37,3.09131297671732e-54,7.338688114850988e-69,8.999980681986934e-69,8.731264974399682e-55,7.380834276619524e-71,8.834780133165591e-76,5.6844942923491364e-80,2.7978034242411233e-76,7.457098764158697e-65,1.67853949738374e-62,4.2890781680598644e-80,1.9045663575455995e-52,3.7729998097700652e-59,2.805341128676542e-52,1.1329203043788468e-57,2.075648912510506e-74,1.0436132404525654e-25,5.033600384070173e-40,5.3832791584785825e-59,1.1834137254488221e-52,2.279262660979574e-42,5.693805849200904e-47,1.3778984119559375e-63,3.778979636379147e-36,4.39347318234155e-60,1.0146905507278378e-53,4.306098361839408e-70,9.561069894459208e-66,1.4562748439474677e-23,1.1211783245264345e-79,2.0105330553266694e-60,3.277963940395116e-58
2.3421075545251946e-21,0.7054801792847386,1.3619551529254159e-25,5.7120092188550845e-28,6.615934892484002e-35,2.385401692463957e-25,0.0,0.0,6.418367881521878e-21,1.3304022893354923e-38,2.996361018627559e-51,7.846049165938381e-53,1.5568426241554552e-54,1.4160906041952846e-66,6.268104137159537e-46,1.4368904817505159e-38,3.794007739459995e-36,7.045993101072836e-53,8.190156114887447e-64,2.638436872434271e-62,4.645273764116456e-37,6.587044565794992e-57,8.728313062807676e-26,1.8752064671050677e-69,4.5675550824263063e-54,2.2078599711248913e-58,2.5573273055484667e-40,8.398409185654926e-40,3.959207138536363e-78,5.6059507148646915e-61,3.945467678150743e-69,7.572105442745131e-62,7.740829786067048e-55,4.632678391392437e-70,3.76,0.0,0.9285147436155747,0.9999999999999969,4.847385835900774e-49,1.6682126947046654e-51,2.3484828942332647e-17,2.3484828942332647e-17,6.682518164383749e-37,1.3891862642520185e-40,3.1023372539473365e-15,1.5246868335462676e-40,4.981210478758956e-42,6.418504077036893e-21,1.4167512728851598e-34,3.0392301911290316e-39,7.332184904816118e-35,6.987288840772757e-19,9.511524807179598e-40,6.615668393329286e-35,3.328628214737037e-23,7.543280462878719e-41,4.454816710320425e-37,6.517950354559934e-36,8.403536406610592e-45,8.274781956845837e-46,8.72831306280975e-26,6.099250003953721e-59,3.794007740086945e-36,6.636233710078472e-37,3.0350694117770173e-53,1.4502176929563999e-67,2.0055469033335307e-67,8.678109882824174e-54,1.47713348048229e-69,1.7456036755346494e-74,1.1231602802457671e-78,5.527988108857797e-75,7.321423786632701e-64,1.6480000353954877e-61,8.474495688576597e-79,1.8699145437598566e-51,3.704353586832133e-58,2.754300555580348e-51,1.1123078729644106e-56,4.101132474363829e-73,2.385401692461975e-25,2.423461906767522e-39,5.285335400202919e-58,1.1618826131932804e-51,1.0973668573060451e-41,2.7413224187921004e-46,1.4822782981389085e-62,1.819416023607708e-35,4.31353801607454e-59,9.962291997375003e-53,8.508124723357688e-69,9.403869157327895e-65,3.328628214736719e-23,2.21525943456964e-78,1.9739533474225726e-59,3.218324442330092e-57
4.976978553366038e-21,0.7054801792847386,2.8941547016866094e-25,1.2138019590073204e-27,2.889352583718915e-34,5.068978596485952e-25,0.0,0.0,1.363903174823396e-20,5.810216325502311e-38,2.650247388335122e-50,6.939741634060791e-52,1.3770096703838142e-53,1.252516102694651e-65,2.737445754536409e-45,6.275278238729728e-38,1.6569428573294613e-35,6.232101104565413e-52,7.244100333570616e-63,2.333667534382679e-61,2.0287130950577367e-36,5.826166322539307e-56,1.854766525846309e-25,3.3368297163160038e-68,4.039950744490141e-53,2.029154512455405e-57,1.1168520213365442e-39,3.6678059373386664e-39,7.045197739600132e-77,4.958399921925492e-60,7.197462496229032e-68,6.96006946079084e-61,6.846676284062799e-54,8.254026542578356e-69,3.76,0.0,0.9285147436155747,0.9999999999999934,4.28745787695728e-48,1.4755152365585807e-50,4.990526150245687e-17,4.990526150245687e-17,2.9184312478538793e-36,6.066941387894077e-40,6.592466664607316e-15,6.65870797319151e-40,2.1754254841994933e-41,1.3639321163702918e-20,6.187325022571943e-34,1.3273116778387077e-38,3.2021577816768127e-34,1.4847988786642105e-18,4.153932773424908e-39,2.8892361965365084e-34,7.073334956315422e-23,3.2943487578722196e-40,1.945535495909837e-36,2.8465601617230866e-35,3.670045129431716e-44,3.6138146785673033e-45,1.8547665258472155e-25,5.39471755668533e-58,1.6569428576032673e-35,2.8982176106588095e-36,2.6844845236492578e-52,2.580761878592138e-66,3.754381156458356e-66,7.717668876010772e-53,2.6437404517629833e-68,3.106208473365329e-73,1.998603708470726e-77,9.836759521211827e-74,6.475716426770836e-63,1.4576373741010536e-60,1.507991228717467e-77,1.653918237842001e-50,3.2764587971120843e-57,2.436147649948899e-50,9.838237171502031e-56,7.297746115462874e-72,5.068978596477294e-25,1.0583894847299367e-38,4.674819306957928e-57,1.0276720134673955e-50,4.792489369940303e-41,1.1972075212784855e-45,1.3624684282075493e-61,7.945867778479328e-35,3.81527551298748e-58,8.811534452310717e-52,1.5139753357848693e-67,8.347419768168431e-64,7.073334956314036e-23,3.941935803001738e-77,1.7459394240293097e-58,2.8465715350280557e-56
1.0246720551047725e-20,0.7054801792847386,5.958553804679134e-25,2.4990040332528993e-27,1.2062478266832599e-33,1.0436132404530071e-24,0.0,0.0,2.8080359481658025e-20,2.4256509415600883e-37,2.227692619306983e-49,5.833270995016783e-51,1.1574595990144961e-52,1.0528152540710762e-64,1.1428297157912887e-44,2.619805135568895e-37,6.917410259496355e-35,5.238456490647368e-51,6.089102821027875e-62,1.9615881767691331e-60,8.469477818894583e-36,4.897243846949565e-55,3.8186369649763677e-25,5.6280510378503173e-67,3.3958220260363935e-52,1.7358893374478056e-56,4.6626373363203056e-39,1.5312367779343517e-38,1.188275632943605e-75,4.167833900385143e-59,1.228339192292378e-66,5.954485958383998e-60,5.75504396010518e-53,1.393010491300355e-67,3.76,0.0,0.9285147436155747,0.9999999999999865,3.6038666842995845e-47,1.2402594627898487e-49,1.0274612662270532e-16,1.0274612662270532e-16,1.2183875965426013e-35,2.5328286014643634e-39,1.3572725485829412e-14,2.7798795018797995e-39,9.081973163250952e-41,2.808095533703344e-20,2.5830863991864562e-33,5.541265020342943e-38,1.3368378392479821e-33,3.0569388678380797e-18,1.7341851625751566e-38,1.2061992373257062e-33,1.4562748439469713e-22,1.3753257570371122e-39,8.122227715991983e-36,1.1883828328704273e-34,1.5321715965525728e-43,1.5086964902404742e-44,3.8186369649801536e-25,4.534585162505901e-57,6.91741026063945e-35,1.209948800921181e-35,2.2564709944536962e-51,4.352976133906025e-65,6.483342472173213e-65,6.5038097685199025e-52,4.471262347959378e-67,5.239074603298746e-72,3.370937276384655e-76,1.6591132837454681e-72,5.443229847853369e-62,1.2252320519300432e-59,2.5434476198366505e-76,1.3902179349471433e-49,2.754061040473212e-56,2.0477288886885104e-49,8.269631140890404e-55,1.2308715484723794e-70,1.0436132404493936e-24,4.418567754360449e-38,3.929467306487446e-56,8.638202492030821e-50,2.0007699716080425e-40,4.9981057305998857e-45,1.165620157454548e-60,3.31724338279507e-34,3.2069689344473267e-57,7.406625641945986e-51,2.553540691086088e-66,7.066647778029166e-63,1.4562748439463925e-22,6.648650897355322e-76,1.4675673269907112e-57,2.3927149139369384e-55
2.07862045464111e-20,0.7054801792847386,1.2087352032544726e-24,5.069408181751878e-27,4.9279159609749395e-33,2.1170440020618843e-24,0.0,0.0,5.696301494850578e-20,9.909575566685724e-37,1.826397000837548e-48,4.782467994394722e-50,9.489553100357127e-52,8.631615537052428e-64,4.668832285159656e-44,1.0702758800152414e-36,2.8259878005428154e-34,4.294803125241637e-50,4.99221438220674e-61,1.6082285016503798e-59,3.460058041274693e-35,4.015056384739552e-54,7.746377843232392e-25,9.244090729644456e-66,2.784100063868558e-51,1.4352297028621742e-55,1.9048394899971161e-38,6.25560186811728e-38,1.9517464903229778e-74,3.417042041452414e-58,2.029181854244898e-65,4.9232841389183945e-59,4.718332743668066e-52,2.2887099336611838e-66,3.76,0.0,0.9285147436155746,0.9999999999999725,2.9546676442428168e-46,1.0168396409155578e-48,2.0842785686320225e-16,2.0842785686320225e-16,4.977510881940443e-35,1.0347431278593126e-38,2.7533243127882153e-14,1.1356714817532694e-38,3.7102823747414905e-40,5.696422368368839e-20,1.055275078100895e-32,2.2637876064018683e-37,5.461418772773156e-33,6.201218846185816e-18,7.084712239808023e-38,4.9277174575951337e-33,2.954157540576836e-22,5.618654475326226e-39,3.3181950437444656e-35,4.85493163204487e-34,6.259420907179828e-43,6.163517438361896e-44,7.7463778432478545e-25,3.7177268843094836e-56,2.825987801009812e-34,4.943035648326168e-35,1.849991251488227e-50,7.149892767686397e-64,1.077103964599371e-63,5.338839529667644e-51,7.353817041307907e-66,8.605195767851518e-71,5.536774598718373e-75,2.7250985942748124e-71,4.462688695311815e-61,1.0045192775766479e-58,4.177620352987974e-75,1.1397846564852146e-48,2.2579456344185102e-55,1.6788518615136376e-48,6.779943239344644e-54,2.021710214441513e-69,2.117044002047122e-24,1.8051291019716519e-37,3.2216147062661614e-55,7.082120301175465e-49,8.173798169184125e-40,2.0418892751520893e-44,9.637571823828159e-60,1.3552021608580594e-33,2.62926685358949e-56,6.07239919073927e-50,4.194198252904181e-65,5.8758875449726935e-62,2.954157540574473e-22,1.0920429064025736e-74,1.2032004155678083e-56,1.9616922807075123e-54
4.1865172537137846e-20,0.7054801792847387,2.434494857579807e-24,1.0210216478781118e-26,1.9919424220233084e-32,4.263905525279849e-24,0.0,0.0,1.1472832588219973e-19,4.005608884536023e-36,1.4790636438223636e-47,3.872966577807785e-49,7.684886133950413e-51,6.990106051639375e-63,1.887216657865944e-43,4.326226229401697e-36,1.1423094526366883e-33,3.4780429211088325e-49,4.0428246409273146e-60,1.3023851370502274e-58,1.3986107818516625e-34,3.2514967577278125e-53,1.5601859599728055e-24,1.4985069427652839e-64,2.2546364143874225e-50,1.1670902558258984e-54,7.699665776202108e-38,2.528614293559943e-37,3.163865799608136e-73,2.767209237963637e-57,3.298752234441112e-64,4.003532898029358e-58,3.821028186886174e-51,3.7106495577575493e-65,3.76,0.0,0.9285147436155744,0.9999999999999446,2.3927664632395213e-45,8.234631045612679e-48,4.1979131734419595e-16,4.1979131734419595e-16,2.0119894820165505e-34,4.182597163990745e-38,5.545427841042183e-14,4.590565707500648e-38,1.4997554582353887e-39,1.1473076037697387e-19,4.265590589648064e-32,9.150591765369333e-37,2.207592788527804e-32,1.2489778802881276e-17,2.8637539621363312e-37,1.991862183783491e-32,5.949922933832594e-22,2.2711499735519782e-38,1.3412674900536072e-34,1.9624409893501817e-33,2.530158010196713e-42,2.491392294902153e-43,1.5601859599790558e-24,3.0107116194781784e-55,1.14230945282546e-33,1.9980540413865343e-34,1.498170879717153e-49,1.159037773648345e-62,1.7558609346869659e-62,4.326172818396886e-50,1.1928652401291797e-64,1.394939316267239e-69,8.975350220225663e-74,4.417502395306028e-70,3.614001008394072e-60,8.13485780820525e-58,6.77210261778777e-74,9.230271657114136e-48,1.8285429160739603e-54,1.3595777646250331e-47,5.490573817077661e-53,3.2772793790163198e-68,4.263905525220177e-24,7.296620445479659e-37,2.6089471151244104e-54,5.735284636254594e-48,3.303979907772386e-39,8.253642920397031e-44,7.837112936426597e-59,5.477943812371657e-33,2.1292484084431713e-55,4.917586302239802e-49,6.798976108206064e-64,4.891621504959158e-61,5.949922933823042e-22,1.7702486107546963e-73,9.743829747432514e-56,1.5886293218149262e-53
8.402310851859134e-20,0.7054801792847388,4.8860142012393454e-24,2.0491833072964732e-26,8.009512870144071e-32,8.55762857171663e-24,0.0,0.0,2.302589477495813e-19,1.610637715163986e-35,1.1904790961786464e-46,3.117300445662858e-48,6.18546493059097e-50,5.626245475824292e-62,7.588415178463732e-43,1.7395565393998287e-35,4.59317606845539e-33,2.7994315258002526e-48,3.2540169925443853e-59,1.0482728636854545e-57,5.623752440688632e-34,2.6170874644430098e-52,3.131282311265385e-24,2.4132992349242373e-63,1.814727535230812e-49,9.412947234559906e-54,3.0960017442523298e-37,1.0167446861893663e-36,5.095310370396314e-72,2.2272907364725665e-56,5.320051280022942e-63,3.22899432035295e-57,3.0754959067578267e-50,5.976329819982014e-64,3.76,0.0,0.928514743615574,0.9999999999998888,1.9259066155925689e-44,6.62794746221667e-47,8.425182383061833e-16,8.425182383061833e-16,8.090121216549883e-34,1.6818039239029454e-37,1.1129634896923794e-13,1.8458462809495876e-37,6.030450736353858e-39,2.3026383376344717e-19,1.7151752153449741e-31,3.67941295383568e-36,8.876633509207586e-32,2.506689871627215e-17,1.1515028729298747e-36,8.009190235711552e-32,1.1941453720328218e-21,9.13219415540322e-38,5.393177586400936e-34,7.890888906880989e-33,1.017365407848647e-41,1.0017778843601653e-42,3.131282311290518e-24,2.4232826373243855e-54,4.5931760692144655e-33,8.034087422747372e-34,1.2058582619168358e-48,1.8666020292859135e-61,2.835647831520548e-61,3.4831356482249115e-49,1.9216962668481826e-63,2.2465067652414574e-68,1.4454524834683788e-72,7.114251879269729e-69,2.9088624223969595e-59,6.547641697900736e-57,1.0906262492728449e-72,7.429325644759225e-47,1.471770418700801e-53,1.094306465558361e-46,4.419291477042008e-52,5.277957407009259e-67,8.557628571476687e-24,2.933938989423307e-36,2.0999076115026285e-53,4.616256033735198e-47,1.3285157894831632e-38,3.318753517632551e-43,6.320915337657208e-58,2.2026571140824792e-32,1.7138042662689923e-54,3.958101276379349e-48,1.0949541421433629e-62,4.151586058880493e-60,1.1941453720289809e-21,2.850930814388119e-72,7.842683194625478e-55,1.2786671704546804e-52
1.6833898048149834e-19,0.7054801792847388,9.789053028593893e-24,4.10550662618325e-26,3.2121728951455907e-31,1.7145074664593584e-23,0.0,0.0,4.613201914843197e-19,6.459377613132048e-35,9.552845009290812e-46,2.5014372923216305e-47,4.963446059831113e-49,4.5147076657571675e-61,3.043293886719154e-42,6.976399758604346e-35,1.842069038269878e-32,2.2463674974093445e-47,2.6111437116731084e-58,8.411729558967592e-57,2.2553762571916907e-33,2.1000478718021666e-51,6.273475013824332e-24,3.8738797371995236e-62,1.456204559469478e-48,7.560967788602798e-53,1.2416351715090579e-36,4.077600941783641e-36,8.179108124132567e-71,1.7872605461427786e-55,8.545880246396323e-62,2.5937038385970606e-56,2.467891777214463e-49,9.593687972350315e-63,3.76,0.0,0.9285147436155731,0.9999999999997771,1.5454187696505466e-43,5.318510424873829e-46,1.687972080230157e-15,1.687972080230157e-15,3.244500447250241e-33,6.7447859399835246e-37,2.2298049006181729e-13,7.402669161575446e-37,2.418480464124796e-38,4.613299805360032e-19,6.878619744369569e-31,1.4756093613752805e-35,3.5599270543258325e-31,5.022113854305373e-17,4.61804154271533e-36,3.2120435043085963e-31,2.392451529325591e-21,3.6624183041287012e-37,2.1629054278960245e-33,3.164599380286983e-32,4.0800903131748643e-41,4.017577373367777e-42,6.273475013925125e-24,1.9445317034062927e-53,1.8420690385743282e-32,3.222028389817166e-33,9.676253128869751e-48,2.996315360882709e-60,4.5581632673504945e-60,2.7954188604707623e-48,3.0852468411427525e-62,3.606140884335391e-67,2.3202713552883276e-71,1.1419951298021918e-67,2.3341788999916297e-58,5.254070776085185e-56,1.7506966670648737e-71,5.961565946736326e-46,1.1810030724747017e-52,8.78112021589904e-46,3.54620309296036e-51,8.472290529486566e-66,1.7145074663631304e-23,1.1766407583861126e-35,1.685043610638658e-52,3.704254745407597e-46,5.327942509032552e-38,1.3309685955950201e-42,5.0773028800204396e-57,8.833640189943459e-32,1.3752198423696714e-53,3.176127001778866e-47,1.7576438938786514e-61,3.6754453321868993e-59,2.3924515293101875e-21,4.576375344605665e-71,6.29326145961005e-54,1.0260500124541525e-51
