Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289)
0.0,0.811203622609423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5298971179944137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.007001295259553e-23,0.811203622609423,1.1498527056917703e-25,2.561645929776826e-26,1.247578869295387e-36,9.064332230912772e-41,0.0,0.0,4.28045140816629e-21,1.195959965573969e-39,1.8097760792483846e-53,2.006424172389885e-64,1.327515864726018e-64,3.2736013351251505e-70,2.4765587848605624e-49,1.8675612125350197e-57,2.479634326999668e-73,2.0344871137794413e-71,8.791863498107204e-63,3.412827963397902e-60,9.307339825742969e-37,1.0929066705369126e-56,4.39376780036665e-62,-1.0187473743018517e-124,8.145288441836314e-92,3.503063033921876e-79,9.407134672855849e-56,6.2180282467835e-77,-1.0160102575061763e-133,4.717421216029369e-98,4.17761204578578e-92,3.6761176460562566e-90,4.2143180075704775e-71,-6.80574331383997e-119,3.76,0.0,0.5298971179944137,0.9999999999999997,3.923503460324433e-52,1.1451579156399167e-89,1.4315615704046597e-17,1.4315615704046597e-17,1.1063908973550796e-36,1.3171099873032075e-39,3.6686444943058225e-16,1.7332372191735715e-40,1.4100081478779932e-41,4.2805663934368e-21,1.3179439140684274e-35,4.664092025080306e-49,2.3301401480188466e-35,7.758874479118355e-19,6.463922864461403e-40,1.2474468039711057e-36,5.845700758938936e-37,1.2653301838513705e-40
1.961960362672675e-22,0.811203622609423,3.2195875766927377e-25,7.172608603375163e-26,7.535376370544148e-36,5.474856668543727e-40,0.0,0.0,1.1985263942865605e-20,7.223598192066772e-39,2.148566161283681e-52,2.3820267839837068e-63,1.576027385393005e-63,3.8864195050607194e-69,1.4958415060558466e-48,2.612663773909281e-56,6.492048672520823e-72,5.720282143345351e-70,1.0437700344980687e-61,4.051709358145988e-59,5.621633254748755e-36,1.2974987992614217e-55,6.637538019905184e-61,9.251425883943919e-123,3.935566905398986e-90,7.885673610004435e-78,1.4181491055038125e-54,1.9550475694618634e-75,9.729253105222982e-132,2.716993088768697e-96,2.1560591240641544e-90,2.0414585694721697e-88,1.2767745665354003e-69,2.318444460710244e-117,3.76,0.0,0.5298971179944137,0.999999999999999,4.6579833083219754e-51,5.511262207433437e-88,4.0083723971330474e-17,4.0083723971330474e-17,6.682601020024179e-36,7.955344323311183e-39,1.0272204584054256e-15,1.0468752803808397e-39,8.516449213184726e-41,1.1985585901622917e-20,7.960381240972948e-35,5.537210052175115e-48,1.4074046494033713e-34,2.1724848541531396e-18,3.904209410134683e-39,7.534578695985473e-36,3.530803258398999e-36,7.642594310463827e-40
4.484480828966114e-22,0.811203622609423,7.359057321717792e-25,1.639453395057204e-25,3.627959351911003e-35,2.635907814358052e-39,0.0,0.0,2.7394889012264215e-20,3.4778515798890987e-38,2.1094749979719142e-51,2.338688035281594e-62,1.5473541807542508e-62,3.815709716222311e-68,7.201832946375518e-48,2.7384323947213514e-55,1.3738531911083747e-70,1.2429634673718312e-68,1.0247796093477002e-60,3.977992274136584e-58,2.706574421326056e-35,1.2738920151778214e-54,7.139560528190184e-60,2.2624866564638892e-120,1.673133544707992e-88,1.5624499890022176e-76,1.5243900070102387e-53,4.3616035823787015e-74,2.0250744512505343e-129,1.2184137408500886e-94,9.403881830666968e-89,9.074674249255956e-87,2.824781706064349e-68,2.436913761224968e-115,3.76,0.0,0.5298971179944137,0.9999999999999977,4.573235633673398e-50,2.339241302879797e-86,9.161994050589823e-17,9.161994050589823e-17,3.217384729507819e-35,3.830155843077439e-38,2.347932476354293e-15,5.040253833356782e-39,4.1003036940316284e-40,2.739562491799467e-20,3.8325809021104574e-34,5.436465664432908e-47,6.776047550438628e-34,4.965679666635748e-18,1.8797087689853716e-38,3.627575305947969e-35,1.6999297806992643e-35,3.679580174642062e-39
9.529521761552992e-22,0.811203622609423,1.5637996823860386e-24,3.483838464496659e-25,1.5844251640051589e-34,1.1511701949881607e-38,0.0,0.0,5.821413915106134e-20,1.5188691562789363e-37,1.8658067466619078e-50,2.0685431063737522e-61,1.3686192838260662e-61,3.37495203246154e-67,3.14522965677395e-47,2.490938904089495e-54,2.518653815986014e-69,2.3032696936116915e-67,9.064059592180977e-60,3.518489117144679e-57,1.1820321578693575e-34,1.1267430610567266e-53,6.562196200629682e-59,3.8684505719202435e-118,6.161521803709354e-87,2.783872092964058e-75,1.4007456865463358e-52,8.168800808911189e-73,3.2426994877547684e-127,4.583977015088926e-93,3.4993001980026337e-87,3.402421230838472e-85,5.2729426578059904e-67,1.9393036896501482e-113,3.76,0.0,0.5298971179944136,0.999999999999995,4.044975127777587e-49,8.608806476301276e-85,1.9469237357503371e-16,1.9469237357503371e-16,1.4051164396401738e-34,1.6727296838747758e-37,4.989356512248749e-15,2.201211268350471e-38,1.7907103478075348e-39,5.821570295073622e-20,1.673788770866356e-33,4.808492314175329e-46,2.959277987983751e-33,1.0552069291600961e-17,8.209182037865934e-38,1.5842574410432975e-34,7.424039963850607e-35,1.606969333493572e-38
1.961960362672675e-21,0.811203622609423,3.2195875876515486e-24,7.172608603375889e-25,6.614663165004299e-34,4.805908963790094e-38,0.0,0.0,1.1985263942865524e-19,6.340979737473143e-37,1.5683229938593687e-49,1.7387351602486062e-60,1.1504103923031068e-60,2.8368505393997526e-66,1.313071467734002e-46,2.1210729409381636e-53,4.307239173021433e-68,3.9579833775855144e-66,7.618888237954529e-59,2.9575021078331644e-56,4.934751575608923e-34,9.470954341805432e-53,5.6139863799278815e-58,5.684922432212486e-116,2.1123983100231326e-85,4.698323363456442e-74,1.1982028513821699e-51,1.4109571984667547e-71,4.627028078812774e-125,1.587285705848407e-91,1.2053264609364374e-85,1.176222400356556e-83,9.09320280527248e-66,1.3792192641698622e-111,3.76,0.0,0.5298971179944134,0.9999999999999897,3.400045322947588e-48,2.950524700019472e-83,4.0083723971330455e-16,4.0083723971330455e-16,5.8660845377696354e-34,6.983317152678924e-37,1.0272204584024551e-14,9.189623736058591e-38,7.47586320007138e-39,1.1985585901621152e-19,6.987738632385877e-33,4.0418275234595354e-45,1.235440306479426e-32,2.1724848541531387e-17,3.4271719027373935e-37,6.613962954654741e-34,3.0993905423877645e-34,6.708780634800855e-38
3.979976735707426e-21,0.811203622609423,6.5311634175305374e-24,1.4550148881135634e-24,2.7023057340487133e-33,1.9633706312108824e-37,0.0,0.0,2.431296399838416e-19,2.5904971238318053e-36,1.2858059444501256e-48,1.4255202003441281e-59,9.431815496069188e-60,2.325821467491759e-65,5.364325390367259e-46,1.7498430177581053e-52,7.121929463688193e-67,6.559480036940467e-65,6.2464248915859425e-58,2.424738912752702e-55,2.0160070356152296e-33,7.764860580371624e-52,4.6417092499068115e-57,7.784600451388233e-114,6.994041324745283e-84,7.719388129256425e-73,9.906329430568317e-51,2.344326496059348e-70,6.248232770347705e-123,5.280999541278126e-90,3.9996691801489034e-84,3.9101780740641715e-82,1.5096539160304888e-64,9.297959928185623e-110,3.76,0.0,0.529897117994413,0.9999999999999791,2.7875625778446617e-47,9.767624040802581e-82,8.131269719898459e-16,8.131269719898459e-16,2.3964869393010728e-33,2.8529129168959694e-36,2.0837900727523715e-14,3.754261146218987e-37,3.0541340486484575e-38,2.431361711471309e-19,2.8547192356246073e-32,3.313734400663128e-44,5.047176766213333e-32,4.407040704139221e-17,1.4001115481337623e-36,2.7020196752735227e-33,1.2662021671878037e-33,2.7407557914470715e-37
8.01600948177693e-21,0.8112036226094234,1.3154315154680395e-23,2.9305229436660257e-24,1.0923151838539466e-32,7.936258060301355e-37,0.0,0.0,4.896836410942085e-19,1.0471203559383285e-35,1.0412789905860272e-47,1.1544233242676964e-58,7.638219505509192e-59,1.883510525370846e-64,2.1683460909735823e-45,1.421400169144909e-51,1.1582746017665502e-65,1.0679947681067065e-63,5.058516827148555e-57,1.963616437148685e-54,8.149022769749597e-33,6.28818541559017e-51,3.774543766246386e-56,1.0302201876272811e-111,2.2763320546762256e-82,1.2515437684391698e-71,8.055408049584348e-50,3.821843892624594e-69,8.213053540770094e-121,1.7229289023668312e-88,1.3031753278552623e-82,1.2751770478145975e-80,2.460142907735751e-63,6.106848609244223e-108,3.76,0.0,0.5298971179944121,0.999999999999958,2.257440447981548e-46,3.1788185403465887e-80,1.6377064365429275e-15,1.6377064365429275e-15,9.686983373925723e-33,1.1531930151614806e-35,4.1969293014312276e-14,1.5175323807731982e-36,1.2345298138737374e-37,4.89696795408845e-19,1.1539231580713538e-31,2.683548032019328e-43,2.040149546316446e-31,8.876152404111379e-17,5.6594747361331594e-36,1.0921995543232514e-32,5.118191608075905e-33,1.107857311825202e-36
1.6088074973915937e-20,0.8112036226094235,2.6400618938547617e-23,5.881539054773004e-24,4.3921513125100695e-32,3.191134503731544e-36,0.0,0.0,9.827916433149196e-19,4.210424897201549e-35,8.38111920848423e-47,9.291804960480644e-58,6.1480497028208815e-58,1.5160131325346104e-63,8.718824264505616e-45,1.1457968852130057e-50,1.8683875231625203e-64,1.7237108323691859e-62,4.0715344242162156e-56,1.5804893393863252e-53,3.276686215012107e-32,5.061278682233899e-50,3.044299485366997e-55,1.3407280684194709e-109,7.34603776772101e-81,2.0157515978417364e-70,6.496877170698527e-49,6.172288181137255e-68,1.0652765310073186e-118,5.566785956987755e-87,4.2077807623905336e-81,4.119256628766901e-79,3.972350416276077e-62,3.9600316766854463e-106,3.76,0.0,0.5298971179944104,0.9999999999999157,1.8169844654171027e-45,1.0258128875791836e-78,3.2868653656490848e-15,3.2868653656490848e-15,3.8950934097349266e-32,4.63693839468528e-35,8.423207758705033e-14,6.101930959591078e-36,4.963990085055695e-37,9.828180439317741e-19,4.639874267206643e-31,2.1599529195654516e-42,8.203351596696863e-31,1.7814375804055667e-16,2.2756499001248574e-35,4.3916863712520964e-32,2.0580023349781095e-32,4.454645525573671e-36
3.223220595819395e-20,0.811203622609424,5.289322774455209e-23,1.178357127699517e-23,1.7614491200856555e-31,1.2797876971568602e-35,0.0,0.0,1.9690076477562497e-18,1.688568699633906e-34,6.725320340357013e-46,7.456091065618037e-57,4.9336572231264344e-57,1.216505063692945e-62,3.4966384890342985e-44,9.201215047268936e-50,3.001592786192023e-63,2.7699274817492745e-61,3.267149960290073e-55,1.2682431591154966e-52,1.3140977255927468e-31,4.06135739429438e-49,2.4453441904750901e-54,1.7303771905870624e-107,2.3606636028702894e-79,3.235936227761956e-69,5.218604670518783e-48,9.921773258688659e-67,1.372590492065456e-116,1.7899659183487052e-85,1.3525386161781055e-79,1.3243861369329926e-77,6.38480448197727e-61,2.5522341587472852e-104,3.76,0.0,0.529897117994407,0.9999999999998312,1.458015603813238e-44,3.2964126951002264e-77,6.585183223861379e-15,6.585183223861379e-15,1.562106669598414e-31,1.8596196884012681e-34,1.6875764672917015e-13,2.4471472303292616e-35,1.9907820440409627e-36,1.9690605409756366e-18,1.8607971045873202e-30,1.733226188858046e-41,3.2899108941393446e-30,3.5690822603944113e-16,9.126373908793954e-35,1.761262657845706e-31,8.253509827265782e-32,1.7865120946933244e-35
