Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125)
0.0,0.4692268388066789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7925704701627405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1282984135227569e-20,0.4692268388066789,4.390394892721577e-30,3.6853129100194403e-35,7.498435740520601e-38,3.422446612271532e-32,0.0,0.0,5.399530740332461e-24,1.9105650812887265e-42,1.3602001078408774e-55,2.115811332745651e-57,7.494142352290606e-68,8.809361070465887e-77,1.5374627491799838e-54,3.9229441791251464e-44,1.8095691881249591e-41,1.0571435859212612e-57,9.199616687651214e-76,1.115239598642679e-74,2.0036450227109843e-44,1.604338927878065e-66,2.433716297224464e-32,9.629296212621051e-76,2.902536170195549e-60,3.1517157140054937e-68,1.2277097221436365e-66,6.728256357485523e-78,1.0364906216147061e-94,6.305259811016061e-97,9.454284471627771e-76,6.429913524632133e-91,8.93850661316974e-75,2.2657862470523797e-90,3.76,0.0,0.7925704701627405,0.9999999999999996,1.9246117422611023e-51,4.0499463061544523e-57,7.216107087524959e-21,7.216107087524959e-21,5.033690909192709e-44,9.769173064790993e-50,4.444097207347256e-16,3.3964736298834037e-47,1.5507254889353292e-49,5.399535130727279e-24,1.7970438978265143e-38,5.286366674506432e-47,8.194902930026269e-39,2.1951080516662508e-23,4.3252768256803514e-46,7.498435209123218e-38,2.9106951985233122e-43,8.196195852542408e-48,2.1573336755141213e-44,2.1949992653189473e-40,8.434520166592749e-54,3.94623651640491e-55,2.4337162972285104e-32,1.0575786844444915e-66,1.8095691881249602e-41,3.9003812745733564e-38,2.214191638696088e-61,7.807599512240922e-78,4.870588222198742e-76,6.0834579991330775e-59,2.1674348345704717e-73,5.632303070245475e-81,1.7151755842086137e-85,1.9006618270010956e-89,2.511681973612141e-72,3.446298510926994e-72,1.8426683500202098e-85,5.13539010191939e-56,8.904911859502332e-63,7.698465088495213e-54,3.77470209982037e-61,2.914314341572493e-85,3.4224466122602946e-32
3.159235557863719e-20,0.4692268388066789,1.2293105701025353e-29,1.0318876149777472e-34,4.529055187274313e-37,9.582850514382664e-32,0.0,0.0,1.511868607293091e-23,1.1539813090983923e-41,1.6148295680286258e-54,2.511891215353742e-56,8.897045801152713e-67,1.0458473462829176e-75,9.286275005030452e-54,2.3694582841846016e-43,1.0929797896274622e-40,1.255040865202774e-56,1.0921785020577256e-74,1.3240124515081916e-73,1.2102015937174347e-43,1.9046711751763415e-65,6.81440563221579e-32,2.154035045578364e-74,3.44589094125596e-59,4.762872787747775e-67,1.8515992615147787e-65,2.1154714508950393e-76,4.951440078330647e-93,3.0121011662172436e-95,2.1148856191646376e-74,1.813980270951196e-89,2.810408536381021e-73,1.3049764325219804e-88,3.76,0.0,0.7925704701627405,0.9999999999999988,2.284899060412321e-50,4.808096254666513e-56,2.020509984506989e-20,2.020509984506989e-20,3.040349309146839e-43,5.900580531132584e-49,1.2443472180122558e-15,2.0514700724490855e-46,9.366381953887124e-49,1.5118698366036162e-23,1.0854145142871347e-37,3.1930327445316985e-46,4.949721369735809e-38,6.146302544665478e-23,2.6124672027105728e-45,4.529054866310406e-37,1.758059899907971e-42,4.950502295044572e-47,1.3030295400104581e-43,1.325779556252499e-39,5.094450180615176e-53,2.383526867965831e-54,6.814405632240231e-32,1.2555574141709483e-65,1.092979789627463e-40,2.355830289841921e-37,2.6286883134598284e-60,2.4547802014784235e-76,1.531390866427386e-74,7.222963699926579e-58,4.848902634012606e-72,1.2599236676001361e-79,3.8367791748304097e-84,4.251704480525594e-88,2.981868839047111e-71,4.0915245346286444e-71,4.121975392086013e-84,6.0967351288697436e-55,1.057191136452311e-61,9.139617753060311e-53,4.4813263328436947e-60,6.519204609523601e-84,9.582850514314789e-32
7.221109846545645e-20,0.4692268388066789,2.809852732325265e-29,2.3586002636185675e-34,2.1805451133431958e-36,2.190365831869442e-31,0.0,0.0,3.4556996738127883e-23,5.555923256387636e-41,1.5854492456991282e-53,2.466189692914454e-55,8.735172327420107e-66,1.0268191263648465e-74,4.470941674590412e-53,1.14079216727911e-42,5.262227199067185e-40,1.2322065637406846e-55,1.0723073484563185e-73,1.2999232761766752e-72,5.826599726043544e-43,1.870017454333129e-64,1.5575784302147598e-31,4.256010264112323e-73,3.3831961599793255e-58,5.123681204395272e-66,1.990586888858257e-64,4.719500435024236e-75,2.578204583382675e-91,1.56839360764939e-93,4.178657594759253e-73,3.9487072196889834e-88,6.269866375634395e-72,5.852061594641498e-87,3.76,0.0,0.7925704701627405,0.9999999999999972,2.243327446779355e-49,4.7206174144534666e-55,4.618308536015974e-20,4.618308536015974e-20,1.4637973163849035e-42,2.840875527239455e-48,2.8442222123874113e-15,9.876945315693582e-46,4.5095097228941604e-48,3.455702483665306e-23,5.225803654878306e-37,1.5373763386411912e-45,2.3830777720515528e-37,1.4048691530663833e-22,1.2577905009073067e-44,2.180544958813005e-36,8.464301637304148e-42,2.3834537540796563e-46,6.273526328393993e-43,6.383057863545322e-39,2.4527584644349043e-52,1.147565597056446e-53,1.5575784302265274e-31,1.2327137145836877e-64,5.262227199067192e-40,1.1342308746453529e-36,2.580861774063641e-59,5.476445619003598e-75,3.416448780997013e-73,7.091847599752958e-57,9.581036421209536e-71,2.489396851874863e-78,7.580829096786331e-83,8.400651580023539e-87,2.927616508364121e-70,4.017250265932547e-70,8.14432876174319e-83,5.985810702397467e-54,1.0379565278693926e-60,8.973330907146291e-52,4.3997927673551664e-59,1.2880849728482696e-82,2.1903658318367626e-31
1.5344858423909494e-19,0.4692268388066789,5.97093705901862e-29,5.012025563657065e-34,9.523013390459147e-36,4.65452739276759e-31,0.0,0.0,7.34336180685221e-23,2.4264176532367005e-40,1.402311903179214e-52,2.1813168588863132e-54,7.726161002855832e-65,9.082098889025699e-74,1.952577691432765e-52,4.982139107380612e-42,2.298152868918495e-39,1.0898727513221928e-54,9.484437392527238e-73,1.1497674166140684e-71,2.5446291788429507e-42,1.6540092610819272e-63,3.3098541641807855e-31,7.573342867230198e-72,2.9923986900235304e-57,4.709545762419389e-65,1.829228674662137e-63,8.839101997565666e-74,1.0288937689109673e-89,6.259045432989466e-92,7.435697925046038e-72,7.330999895171769e-87,1.1742765473673405e-70,2.2016917650122697e-85,3.76,0.0,0.7925704701627405,0.999999999999994,1.9841977218011154e-48,4.175332643792651e-54,9.813905639033946e-20,9.813905639033946e-20,6.392787454588599e-42,1.240684979226631e-47,6.0439722004181025e-15,4.3135215099443186e-45,1.9694213720507877e-47,7.343367777788333e-23,2.2822457502384337e-36,6.714728410135281e-45,1.0407526721132469e-36,2.985346950266016e-22,5.493101568608468e-44,9.52301271558621e-36,3.6965829021229075e-41,1.0409168734371012e-45,2.7398137679018265e-42,2.7876490669528146e-38,1.0711840611466695e-51,5.011720562721851e-53,3.3098541642321768e-31,1.090321320504788e-63,2.2981528689185008e-39,4.953484218702178e-36,2.2827430118290284e-58,1.0256751967792282e-73,6.398630459947027e-72,6.2727776383796325e-56,1.7049284793872944e-69,4.429748689924719e-77,1.3489680335263733e-81,1.4948510641514383e-85,2.589443647350972e-69,3.553509828162544e-69,1.4492397878997433e-81,5.294381778635282e-53,9.180607962714329e-60,7.936809567627196e-51,3.891566876420345e-58,2.292078387066831e-81,4.654527392624872e-31
3.1592355578637196e-19,0.4692268388066789,1.2293105721396922e-28,1.031887617476149e-33,3.975670629622208e-35,9.582850514707075e-31,0.0,0.0,1.5118686072931165e-22,1.0129816060992987e-39,1.1787276502524222e-51,1.8335282611819808e-53,6.494303862273114e-64,7.634051353558746e-73,8.151627495919942e-52,2.0799450036746592e-41,9.594335835436706e-39,9.161037172271723e-54,7.972241664255902e-72,9.664487923454713e-71,1.0623325910413639e-41,1.390294445470401e-62,6.81440563203149e-31,1.2773549688642165e-70,2.5152914045104294e-56,4.029115557934728e-64,1.5647667589518061e-62,1.5267350571360527e-72,3.6568496039521674e-88,2.224562516809526e-90,1.2541391375015114e-70,1.2637116099938569e-85,2.0282706848596605e-69,7.623759453481265e-84,3.76,0.0,0.7925704701627405,0.9999999999999876,1.6678377420548856e-47,3.5096186697719265e-53,2.0205099845069888e-19,2.0205099845069888e-19,2.6688629199764463e-41,5.179615558935757e-47,1.2443472173601008e-14,1.8008103185573363e-44,8.221946552248631e-47,1.511869836603298e-22,9.527926746265024e-36,2.8037700709842115e-44,4.344937533499124e-36,6.146302544665126e-22,2.2932617729707004e-43,3.975670347876881e-35,1.5432505942555308e-40,4.345623042489696e-45,1.1438183147565904e-41,1.1637886104700825e-37,4.4719825922319856e-51,2.0922947691967375e-52,6.814405632246039e-31,9.164807666623108e-63,9.594335835436748e-39,2.067982151773407e-35,1.918783047025831e-57,1.7715969338654815e-72,1.1052042888583765e-70,5.272694650534777e-55,2.87563846829302e-68,7.471418631159947e-76,2.275231757746036e-80,2.5212848117007787e-84,2.176583411122795e-68,2.9874395380366964e-68,2.4443547267194143e-80,4.450246894558554e-52,7.716854196987951e-59,6.671366670234335e-50,3.2710964437260325e-57,3.8659252170061154e-80,9.582850514111253e-31
6.408734988809259e-19,0.4692268388066789,2.4937443082119884e-28,2.0932577441080064e-33,1.624191175138188e-34,1.9439496759158802e-30,0.0,0.0,3.0669334605089515e-22,4.138360388674765e-39,9.663921434012756e-51,1.5032372572516285e-52,5.324422680933257e-63,6.258856529312809e-72,3.330205813037104e-51,8.497254008926785e-41,3.919599244244639e-38,7.510771760074887e-53,6.536126290016241e-71,7.923531103373014e-70,4.3399752649929014e-41,1.1398473844438343e-61,1.3823508567407515e-30,2.0980593720143404e-69,2.0621878609213718e-55,3.331350667369949e-63,1.2937102575524318e-61,2.536693131682961e-71,1.2317276596378782e-86,7.49293881360585e-89,2.0599272992798536e-69,2.10677550059758e-84,3.3700020545191623e-68,2.5364727722637814e-82,3.76,0.0,0.7925704701627405,0.9999999999999748,1.3673941474480379e-46,2.877397427707239e-52,4.098748825714177e-19,4.098748825714177e-19,1.0903175856291374e-40,2.1160419625120785e-46,2.5242472108452917e-14,7.3568977412147e-44,3.358933446441651e-46,3.0669359542516657e-22,3.8924689644386975e-35,1.1458427301010202e-43,1.7750487542547298e-35,1.2468213733462722e-21,9.368722615454149e-43,1.6241910600367145e-34,6.304682227796486e-40,1.775328807687571e-44,4.67287103450217e-41,4.75445620863432e-37,1.8269508060838075e-50,8.547707568077326e-52,1.3823508568284019e-30,7.5138630392929e-62,3.9195992442446705e-38,8.448381855931268e-35,1.573134269938823e-56,2.9435333007162275e-71,1.8363134543517965e-69,4.3228923732203e-54,4.7232667068401654e-67,1.2271827536689194e-74,3.7370749938329834e-79,4.141217874112054e-83,1.7844945838070038e-67,2.4501040594484676e-67,4.014859975571506e-79,3.648581275410905e-51,6.326743354548616e-58,5.469589463242553e-49,2.6818424952340146e-56,6.349793777572225e-79,1.943949675672468e-30
1.2907733850700338e-18,0.4692268388066789,5.022611794743123e-28,4.215998015015609e-33,6.565240415728695e-34,3.915278925035327e-30,0.0,0.0,6.177063166940799e-22,1.6727914357922896e-38,7.826094131335773e-50,1.2173605238059281e-51,4.311855540631338e-62,5.068584288780972e-71,1.3461224349572283e-50,3.4347259294656644e-40,1.584364683523158e-37,6.082417700720233e-52,5.293126005864193e-70,6.416680918861097e-69,1.7542873923445571e-40,9.230779644533458e-61,2.7841714436858022e-30,3.4010446535447844e-68,1.6700131956016606e-54,2.7089990510437414e-62,1.0519963399314232e-60,4.1354500329229534e-70,4.0426535110124184e-85,2.459257480366029e-87,3.339230920392169e-68,3.470283539819601e-83,5.493953874125148e-67,8.2752557909764305e-81,3.76,0.0,0.7925704701627405,0.9999999999999492,1.1073512326897527e-45,2.3301910385225705e-51,8.255226508128554e-19,8.255226508128554e-19,4.407238007621912e-40,8.553379938417207e-46,5.084047193210111e-14,2.973775693649487e-43,1.3577346072841522e-45,6.17706818954615e-22,1.5733981906464376e-34,4.635003690057786e-43,7.175030870573041e-35,2.5112036111055432e-21,3.786987474135803e-42,6.56523995047568e-34,2.5484533596660357e-39,7.176162896519929e-44,1.888849184922097e-40,1.92182721673738e-36,7.384827262154903e-50,3.455120660888922e-51,2.7841714440401e-30,6.0849210990127845e-61,1.5843646835231825e-37,3.4149710241526374e-34,1.2739649180538708e-55,4.798700995087791e-70,2.9936543878928574e-68,3.50079779641213e-53,7.65663636760689e-66,1.989316126508942e-73,6.057959605335991e-78,6.713092630963769e-82,1.445129979688652e-66,1.9854869617737573e-66,6.508261022727056e-78,2.9547157105140047e-50,5.123560883283671e-57,4.4294153559967115e-48,2.1718255830410213e-55,1.02932893446113e-77,3.915278924051417e-30
2.5905731574482496e-18,0.4692268388066789,1.0080346825351565e-27,8.461478627406367e-33,2.6398542961829902e-33,7.857937424190628e-30,0.0,0.0,1.239732257980521e-21,6.726220791281085e-38,6.2991214116834145e-49,9.798376878363852e-51,3.470556475948896e-61,4.079637591721214e-70,5.412699105685655e-50,1.3810881894869796e-39,6.37066070955111e-37,4.8956589231213333e-51,4.260370676610494e-69,5.164703042015082e-68,7.05391244825493e-40,7.429734517464996e-60,5.5878126170552886e-30,5.4772775661483666e-67,1.344171907679349e-53,2.184905897496824e-61,8.484622771640531e-60,6.678762849489036e-69,1.3100459113633457e-83,7.969370011133645e-86,5.3777284544288866e-67,5.729998003885411e-82,8.872750166164398e-66,2.6737363886436978e-79,3.76,0.0,0.7925704701627405,0.999999999999898,8.912926094470538e-45,1.875540469840261e-50,1.6568181872957307e-18,1.6568181872957307e-18,1.7721310189069738e-39,3.439276454059124e-45,1.0203647139517501e-13,1.1957421272563081e-42,5.4593911687565863e-45,1.2397332660126118e-21,6.326564923991121e-34,1.8663878913119196e-42,2.885048356122927e-34,5.03996808662309e-21,1.5227310075597004e-41,2.639854109111258e-33,1.024721887412285e-38,2.885503542954786e-43,7.594979497938186e-40,7.727582713411646e-36,2.9694065621902175e-49,1.389289300701141e-50,5.5878126184799026e-30,4.897673876236173e-60,6.370660709551304e-37,1.3731448292082188e-33,1.0253977984882123e-54,7.749913971814563e-69,4.8347598190603344e-67,2.8177496145247473e-52,1.2330790819949274e-64,3.2037322942754354e-72,9.756157184164588e-77,1.0811228728521672e-80,1.1631663304365923e-65,1.6002323171964312e-65,1.0481353707235422e-76,2.3782122547835244e-49,4.1238876719950295e-56,3.5651788289004104e-47,1.748074172077924e-54,1.657702516499324e-76,7.857937420234369e-30
5.190172702204681e-18,0.4692268388066789,2.0195817116753135e-27,1.6952440134490102e-32,1.058699643134403e-32,1.5743254426166862e-29,0.0,0.0,2.483784140553687e-21,2.697515374881767e-37,5.0546482280382536e-48,7.862580851029276e-50,2.78490302623592e-60,3.2736522395402013e-69,2.1707344297335335e-49,5.5387813444054036e-39,2.554919879290176e-36,3.9284579666929537e-50,3.4186829716447724e-68,4.144348929407758e-67,2.828934385695503e-39,5.961894041712827e-59,1.11950949617118e-29,8.792243527603083e-66,1.0786133029143059e-52,1.7550352734562247e-60,6.8152670143867e-59,1.0735916219695732e-67,4.2185565733748906e-82,2.5662641087388656e-84,8.632445156206879e-66,9.622380612177261e-81,1.4262686740858749e-64,8.597235302119855e-78,3.76,0.0,0.7925704701627405,0.9999999999997956,7.152061874307536e-44,1.505003109631502e-49,3.3194092602614814e-18,3.3194092602614814e-18,7.107037989015939e-39,1.3793036834392464e-44,2.0442846958443288e-13,4.795460738879158e-42,2.18946005853188e-44,2.4837861601250065e-21,2.537235497027091e-33,7.506492455056374e-42,1.1570334277449927e-33,1.00974970376542e-20,6.106832398288609e-41,1.0586995681138481e-32,4.1095930865542656e-38,1.1572159813739738e-42,3.045926472410985e-39,3.099106292616143e-35,1.1908648411746152e-48,5.57167531370154e-50,1.1195094967425134e-29,3.930074840277363e-59,2.5549198792903315e-36,5.506924919037361e-33,8.228171559818027e-54,1.2457759603066516e-67,7.77173516004814e-66,2.261067803293192e-51,1.9793661313956235e-63,5.142699851127678e-71,1.566079293146949e-75,1.735441643356658e-79,9.333677254214104e-65,1.2875195718421422e-64,1.6824893869134532e-75,1.908365554277843e-48,3.3091603575012836e-55,2.8608314830202447e-46,1.4027194304838754e-53,2.660979664686428e-75,1.5743254410300486e-29
