Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537)
0.0,0.8620416526203852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5298080258779388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.949432870890369e-23,0.8620416526203852,2.314483677352621e-25,1.3272615142938212e-25,1.7635870340140274e-36,1.927705229929663e-40,0.0,0.0,9.039685579823738e-21,3.326270960857859e-39,3.531592080944877e-53,1.499085340735818e-54,7.359764993100091e-60,3.3453425690720813e-65,1.545183291449001e-44,7.630118439984184e-39,4.0603038944870486e-36,6.58358177537194e-54,1.1087681741918382e-61,9.293334771031782e-59,4.614764828349113e-36,9.267085356476125e-56,1.5509994365372858e-24,7.702818173700827e-71,1.5885355618363007e-54,2.69885794932281e-57,9.711218485768544e-55,8.688576141082577e-69,1.0160285413941422e-87,1.2309085759357679e-87,6.97627933010358e-71,5.72824238719771e-77,2.0620181839715156e-70,-4.1076742257120596e-106,3.76,0.0,0.5298080258779387,0.9999999999999996,5.265078916907926e-52,2.2579106232281427e-52,2.842353039100244e-17,2.842353039100244e-17,5.2810847352959096e-36,9.48041477424586e-39,4.340290835763212e-16,7.414866843018254e-40,7.594028375113481e-41,9.039917028191292e-21,3.0906138616303277e-35,6.200908258698262e-44,7.116186145656088e-35,1.7205483523351804e-18,2.3181916399696365e-39,1.762961551576492e-36,2.3909261822518328e-36,5.9721038449753314e-40,4.673424381585986e-37,2.4667584437808454e-36,5.384146978173051e-66,1.08613724121141e-56,1.5509994365373078e-24,8.720124472457438e-81,4.060303981652983e-36,8.549430983143616e-39,6.421586376099631e-52,1.1456273440460082e-71,4.957064887668456e-68,2.1129922034055206e-54,7.866147275677903e-72,5.5726310460293104e-98,5.1123609460867885e-102,4.092560736942074e-101,3.091539138524417e-86,1.3875091007574417e-65,2.346804488759088e-102,9.533971142190055e-77,1.2811826818987199e-61,9.244913641799961e-54
1.6658412038493033e-22,0.8620416526203852,6.480554298896716e-25,3.7163322400227196e-25,1.0652065685444768e-35,1.1643339592235859e-39,0.0,0.0,2.531111962350645e-20,2.009067660358146e-38,4.192706118511565e-52,1.779714116521553e-53,8.737513000223261e-59,3.971590698003972e-64,9.332907080356108e-44,4.6085915377504203e-38,2.4524235522701524e-35,7.816028283721522e-53,1.3163295764035724e-60,1.1033047040168926e-57,2.7873179563228653e-35,1.1001883735208448e-54,4.3427984223043765e-24,1.7230896141841492e-69,1.88590941901202e-53,4.078514133016656e-56,1.4639390018049715e-53,2.7318273559745006e-67,4.853690271022167e-86,5.8936462887898886e-86,1.5605657810417937e-69,1.6154560050684814e-75,6.060494450041468e-69,1.0809368479058773e-104,3.76,0.0,0.5298080258779388,0.9999999999999988,6.250701690916635e-51,2.680591491896427e-51,7.958588509480686e-17,7.958588509480686e-17,3.189775180118498e-35,5.726170523644365e-38,1.2152814340134997e-15,4.478579573183042e-39,4.586793138569284e-40,2.5311767678935266e-20,1.866730772424607e-34,3.745436554985222e-43,4.298176431976228e-34,4.817535386538506e-18,1.4001877505416598e-38,1.0648287771522003e-35,1.4441194140800448e-35,3.607150722365745e-39,2.8227483264777755e-36,1.489922100043594e-35,6.3931247255620325e-65,1.2894621327661768e-55,4.34279842230451e-24,2.660881990830731e-79,2.4524236049183775e-35,5.163856313818405e-38,7.623707345705421e-51,3.602035670055655e-70,1.5585805043697508e-66,3.060943923883639e-53,2.1297861387302007e-70,3.116531755355517e-96,2.8591225763404673e-100,2.2887923840730226e-99,6.916750566766796e-85,1.647286234447708e-64,1.3124663471196742e-100,2.1327112087198136e-75,1.521020079950151e-60,1.0975561475544307e-52
3.8076370373698364e-22,0.8620416526203852,1.4812695551222417e-24,8.494473691480601e-25,5.12851109491286e-35,5.605766813826499e-39,0.0,0.0,5.785398771087182e-20,9.67279595417464e-38,4.116423729568949e-51,1.7473338731616372e-52,8.578542077228829e-58,3.8993312985153705e-63,4.493393011539906e-43,2.2188384423473607e-37,1.1807363725167963e-34,7.673822917373388e-52,1.2923801838470524e-59,1.0832311009114624e-56,1.3419736120839225e-34,1.0801714691508542e-53,9.926396393838456e-24,3.4045347121938645e-68,1.8515970508762793e-52,4.3874793910551806e-55,1.5735924900090161e-52,6.094556553565629e-66,2.527306459646772e-84,3.063112339700511e-84,3.0834150055260515e-68,3.513969670757478e-74,1.3313616677953691e-67,1.1375867007742132e-102,3.76,0.0,0.5298080258779387,0.9999999999999972,6.136975986632155e-50,2.6318206224346454e-50,1.8191059450241568e-16,1.8191059450241568e-16,1.5357394410237025e-34,2.756904616350492e-37,2.7777861348870584e-15,2.1562432779497307e-38,2.2083434514840927e-39,5.785546898042178e-20,8.987505109619322e-34,1.8033560717266617e-42,2.0693869311567154e-33,1.1011509454945155e-17,6.741301289031685e-38,5.126692191984428e-35,6.952813337987387e-35,1.7366877981197728e-38,1.3590318101649635e-35,7.173333554514136e-35,6.279064560290948e-64,1.2660015683559914e-54,9.926396393839103e-24,5.885751666036665e-78,1.1807363978646507e-34,2.4861745298976558e-37,7.4850010799815345e-50,8.035943432188566e-69,3.4771073633177954e-65,3.247311115889584e-52,4.5649955691129195e-69,1.385238200814405e-94,1.2708247900094176e-98,1.0173240297335015e-97,1.3671095215997135e-83,1.6173904409310803e-63,5.833659542178094e-99,4.213877956264486e-74,1.4933465340211193e-59,1.0775871340880145e-51
8.091228704410902e-22,0.8620416526203855,3.147697809282386e-24,1.805075659439671e-24,2.2397555331978852e-34,2.448185647374745e-38,0.0,0.0,1.2293972388560231e-19,4.2243641202894655e-37,3.640930171790659e-50,1.54549702288493e-51,7.587623319941711e-57,3.448914375020952e-62,1.9623827801466484e-42,9.690250418779499e-37,5.156585945998164e-34,6.787409467137149e-51,1.1430956368835495e-58,9.581056415542874e-56,5.860751332003374e-34,9.55399431911256e-53,2.1093592336906217e-23,6.05818761675675e-67,1.6377166228305153e-51,4.032849456514247e-54,1.4459508757483762e-51,1.141442992718509e-64,1.0085816636100784e-82,1.2215998462442181e-82,5.4867722561122805e-67,6.514307551817431e-73,2.47811030476807e-66,9.027327804443282e-101,3.76,0.0,0.5298080258779385,0.9999999999999941,5.4280857612673895e-49,2.327815536123122e-49,3.8656001331763314e-16,3.8656001331763314e-16,6.706977613822203e-34,1.2040126763290125e-36,5.9027955366309806e-15,9.41688089063341e-38,9.644416036405312e-39,1.229428715833891e-19,3.9250796042687865e-33,7.876516972884596e-42,9.037556404982448e-33,2.3399457591758446e-17,2.9441033827614194e-37,2.2389611705021336e-34,3.036476251458849e-34,7.584571883128361e-38,5.935248964611703e-35,3.1327832236010902e-34,5.557776137935401e-63,1.1197640501992557e-53,2.109359233690904e-23,1.098797557984888e-76,5.156586056698904e-34,1.085777734858714e-36,6.620398690303263e-49,1.5050432693398827e-67,6.512237269187254e-64,2.968341841421549e-51,8.412789275873351e-68,5.194299401120536e-93,4.765277510967418e-97,3.8147125853751605e-96,2.434400710022342e-82,1.4306970320020768e-62,2.1874775218043564e-97,7.498370677997836e-73,1.3208480977302448e-58,9.531136168146113e-51
1.6658412038493034e-21,0.8620416526203855,6.4805543323826895e-24,3.716332240023031e-24,9.350538454343005e-34,1.0220693177363726e-37,0.0,0.0,2.531111962350623e-19,1.7635888634468228e-36,3.0604211918910523e-49,1.2990833709160819e-50,6.377854591585071e-56,2.899020344895628e-61,8.19256181132036e-42,4.045488796879239e-36,2.1527731248566827e-33,5.705226629228363e-50,9.608407594976353e-58,8.053455219219711e-55,2.4467483119906994e-33,8.030707896556388e-52,4.3427984223040135e-23,1.0218018898975887e-65,1.3765995013179177e-50,3.45018761611918e-53,1.236869071001962e-50,1.971558913095353e-63,3.5846571999939705e-81,4.34054035608108e-81,9.25424337343282e-66,1.1196430268833533e-71,4.26762315227089e-65,6.410988065225649e-99,3.76,0.0,0.5298080258779381,0.9999999999999879,4.5626331491004644e-48,1.9566692195192377e-48,7.958588509480678e-16,7.958588509480678e-16,2.8000311266506488e-33,5.026515913303246e-36,1.2152814340106045e-14,3.931362400168482e-37,4.0263538444951994e-38,2.531176767893009e-19,1.6386434694348424e-32,3.28894869466584e-41,3.773001894426153e-32,4.8175353865385014e-17,1.2291052075118836e-36,9.34722214645846e-34,1.26766906182904e-33,3.1664094586146048e-37,2.4778496071146394e-34,1.307875326892078e-33,4.678399454981677e-62,9.412291550378408e-53,4.3427984223051925e-23,1.8955561978771674e-75,2.1527731710720637e-33,4.5329083072580156e-36,5.564844008145173e-48,2.599587969956366e-66,1.1248270400675255e-62,2.5331851017720206e-50,1.4421085875829866e-66,1.7963055780140395e-91,1.6479401576054622e-95,1.3192134234982063e-94,4.1117176856837536e-81,1.202811650636727e-61,7.564789340687704e-96,1.2647098138265786e-71,1.1102524132104118e-57,8.011494243358362e-50
3.3792778706657297e-21,0.8620416526203856,1.3146267437703358e-23,7.538845401190305e-24,3.820000059156277e-33,4.175486677111079e-37,0.0,0.0,5.134541409339785e-19,7.20483595205644e-36,2.5091181959728958e-48,1.06506703478826e-49,5.228950532143215e-55,2.376792030193864e-60,3.346928816659095e-41,1.652714174574016e-35,8.794780647611757e-33,4.677489485915219e-49,7.877553062192663e-57,6.602709157986171e-54,9.995765208797302e-33,6.58405952853141e-51,8.809676799530157e-23,1.678312672435209e-64,1.128619441818753e-49,2.8526818410942765e-52,1.0225998826686156e-49,3.275774621263201e-62,1.2074112696832843e-79,1.461823701233418e-79,1.520012252961785e-64,1.8557262063352935e-70,7.080249592056481e-64,4.318614536579358e-97,3.76,0.0,0.5298080258779372,0.9999999999999754,3.7407223183376743e-47,1.6041956431365246e-47,1.6144565262089359e-15,1.6144565262089359e-15,1.1439040780012889e-32,2.0534957617591327e-35,2.4652851947005058e-14,1.6060898176652986e-36,1.644896922171558e-37,5.1346728720103295e-19,6.694393248832566e-32,1.344180507532482e-40,1.5413943838930932e-31,9.772714641263806e-17,5.0212958198396806e-36,3.8186452391766566e-33,5.17884174779729e-33,1.2935815812443733e-36,1.0122824147471453e-33,5.343097459562601e-33,3.846710057109216e-61,7.716765279702376e-52,8.809676799534973e-23,3.1489266849096944e-74,8.794780836416673e-33,1.8518409486688342e-35,4.562395331590323e-47,4.319254292208403e-65,1.8689169500465876e-61,2.0920256564539044e-49,2.3871819330407376e-65,5.975153681909926e-90,5.481637323178988e-94,4.388174841247489e-93,6.772382497687164e-80,9.865059687992894e-61,2.5163190180464317e-94,2.0772896685130275e-70,9.102520069752398e-57,6.568307014793389e-49
6.806151204298582e-21,0.8620416526203857,2.6477693884824944e-23,1.5183871723527068e-23,1.5441051004573532e-32,1.6877984922768093e-36,0.0,0.0,1.0341400303317957e-18,2.9123098872370815e-35,2.0319489683812137e-47,8.625188984989777e-49,4.2345397174580513e-54,1.9247878085726244e-59,1.3528821405018147e-40,6.680534939888655e-35,3.5549909542079014e-32,3.7879522577977484e-48,6.379446709597753e-56,5.3470450629321815e-53,4.0404481159313974e-32,5.331942109475391e-50,1.7743433553979885e-22,2.7206171654183845e-63,9.139852854192575e-49,2.3197534970372066e-51,8.315345874553066e-49,5.340339395476365e-61,3.962844684309622e-78,4.797551464719707e-78,2.4640053638243223e-63,3.021569061428492e-69,1.1534062532673766e-62,2.835025492335454e-95,3.76,0.0,0.5298080258779355,0.9999999999999504,3.0293339181740877e-46,1.299119223392247e-46,3.2516518767306665e-15,3.2516518767306665e-15,4.623843177796269e-32,8.300558194748101e-35,4.965292716059863e-14,6.49207183467236e-36,6.648936355843531e-37,1.0341665080241318e-18,2.7059807853118593e-31,5.437739231882792e-40,6.230562547451979e-31,1.9683073150714383e-16,2.029688053992011e-35,1.5435574605596222e-32,2.0933706370120826e-32,5.228863577320748e-36,4.0918073704331704e-33,2.1597654219317605e-32,3.13310446606329e-60,6.249236594152052e-51,1.774343355399935e-22,5.137239000149506e-73,3.554991030525875e-32,7.485437198396476e-35,3.694746027607706e-46,7.04147461979278e-64,3.0468063186500813e-60,1.7002271432646362e-48,3.8845246300280856e-64,1.9507442717145226e-88,1.7896230251226598e-92,1.4326337681903498e-91,1.1039515337996797e-78,7.994946535465427e-60,8.215177669995041e-93,3.367376074390638e-69,7.3714567512536965e-56,5.3191853154287214e-48
1.3659897871564287e-20,0.8620416526203865,5.314054772498913e-23,3.0473924368209427e-23,6.208778696731307e-32,6.786563642891213e-36,0.0,0.0,2.0755118091273696e-18,1.1710269968537762e-34,1.6354893053182075e-46,6.942302469599703e-48,3.408325972235865e-53,1.5492366811373738e-58,5.4398795852041314e-40,2.686213717268069e-34,1.4294462272677592e-31,3.048873521472902e-47,5.134733711975423e-55,4.303767049054703e-52,1.624646416879609e-31,4.291610878185371e-49,3.56109470628691e-22,4.3814700729462415e-62,7.356548726271802e-48,1.8709652342028453e-50,6.706521662303901e-48,8.62466238843953e-60,1.2841833864441453e-76,1.554627294243296e-76,3.968204677380376e-62,4.876824647305473e-68,1.8620648883740965e-61,1.8375178031592001e-93,3.76,0.0,0.5298080258779322,0.9999999999999004,2.4382714834451162e-45,1.0456441718034963e-45,6.526042577774108e-15,6.526042577774108e-15,1.8592270053815388e-31,3.337617942921554e-34,9.965307758696793e-14,2.6104335315530947e-35,2.6735080656286844e-36,2.075564949668866e-18,1.0880629724336014e-30,2.1899866424311897e-39,2.505281797318818e-30,3.9503790169615413e-16,8.161286396177688e-35,6.206576660786515e-32,8.417351261615022e-32,2.102503047087818e-35,1.6452977472221583e-32,8.684321771638436e-32,2.550672827265863e-59,5.029929282267535e-50,3.561094706294737e-22,8.312939719510224e-72,1.4294462579548862e-31,3.0098613753129147e-34,2.973853038656737e-45,1.1372000319690149e-62,4.920600342833988e-59,1.3709075797992463e-47,6.267741825448001e-63,6.314979930782524e-87,5.793395706014419e-91,4.637744488313545e-90,1.797589364980181e-77,6.44463156471969e-59,2.6594301911155057e-91,5.4230553742707695e-68,5.933189695650082e-55,4.2813431005043224e-47
2.73673912060957e-20,0.8620416526203875,1.064662591890015e-22,6.105402965760954e-23,2.489997951805071e-31,2.721715667581172e-35,0.0,0.0,4.158255366718274e-18,4.69634201200883e-34,1.3123771679990243e-45,5.570760520911116e-47,2.734966961494541e-52,1.2431648691640386e-57,2.1816350183599063e-39,1.0772918444685931e-33,5.732718706786913e-31,2.4465289896324304e-46,4.120300430863257e-54,3.453502015084636e-51,6.5155587725570636e-31,3.443747453530817e-48,7.134597408060657e-22,7.033229816308892e-61,5.903167053561253e-47,1.5028610235670444e-49,5.387000619927162e-47,1.386389289639147e-58,4.1352751222572885e-75,5.00607133670265e-75,6.369847331946381e-61,7.83692628668631e-67,2.99266065985663e-60,1.1834596035644897e-91,3.76,0.0,0.5298080258779254,0.9999999999998004,1.956559308492752e-44,8.390635955014486e-45,1.3074823979860907e-14,1.3074823979860907e-14,7.456331851108251e-31,1.3385340737182104e-33,1.9965337843643514e-13,1.0469006006465649e-34,1.0721963099107349e-35,4.158361832952484e-18,4.363619167481787e-30,8.810863939091698e-39,1.0047300521902816e-29,7.914522420741695e-16,3.2730408673224727e-34,2.489114836901065e-31,3.3757343311241164e-31,8.431977586491176e-35,6.598379843712544e-32,3.4828014461995216e-31,2.0930995663273917e-58,4.036201475134285e-49,7.134597408092046e-22,1.341861476127145e-70,5.7327188298560605e-31,1.2070890308299276e-33,2.3863297767967083e-44,1.82801583818435e-61,7.90972133911434e-58,1.1010330635247229e-46,1.0070579255069918e-61,2.0388805780435987e-85,1.8704797347442727e-89,1.497361395718084e-88,2.948805154282278e-76,5.186822665013833e-58,8.586346472478587e-90,8.705204955510035e-67,4.761011071519895e-54,3.4355082085576804e-46
