Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75)
0.0,0.7574918940385187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9790009552243458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.032296630540896e-22,0.7574918940385187,4.582395484550105e-26,5.034360769422952e-28,2.17108980477069e-36,1.0197049905588786e-40,0.0,0.0,1.7933274989162456e-21,7.865228756151273e-40,2.5551203674304925e-53,7.234357248133474e-55,1.4107048652178083e-61,7.288436642876027e-68,1.1071342590158254e-46,1.006030868705506e-39,2.9415358168384262e-37,8.220654847355052e-55,7.168902934075689e-65,4.5192299876476484e-63,6.558778425089929e-38,3.183143438079636e-58,5.344401328399343e-26,8.291367418959849e-88,8.13354178469314e-56,7.838429789806e-60,3.16211271933217e-57,8.953275986899277e-77,6.284011347838938e-89,1.2839900932963472e-89,6.806548606838305e-72,4.3164776953755906e-80,3.8092535714042695e-71,3.789504009418079e-114,3.76,0.0,0.9790009552243458,0.9999999999999996,2.572777017287032e-51,2.749888956952001e-53,6.82219564336344e-18,6.82219564336344e-18,8.838667564798507e-38,3.234638245973528e-41,4.1821866532650796e-16,1.7352744137337923e-41,7.526120007675709e-43,1.7933733228710725e-21,7.259806112440937e-36,2.599547939762093e-45,5.599613879854661e-36,2.5151362550317593e-19,9.373958885771635e-41,2.17107240392719e-36,1.2173307130756546e-37,9.670608024062992e-42,1.9052912957001607e-38,3.893924068472524e-37,3.351647267981168e-68,1.8337212128403114e-58,5.344401328399519e-26,5.4656322353178634e-83,2.941535817396459e-37,1.5882156120369095e-38,1.5717985628280914e-54,5.797693101093141e-73,7.971189943118291e-70,1.1157451350974892e-55,2.333679609128038e-72,1.9409915006641317e-99,1.4481168832790042e-103,7.769487622001492e-104
5.690430565514509e-22,0.7574918940385187,1.2830707358550032e-25,1.4096210154384947e-27,1.311338242081495e-35,6.159018143700532e-40,0.0,0.0,5.021316996965484e-21,4.750598168715364e-39,3.0334389002134847e-52,8.58862892498389e-54,1.6747888160460884e-60,8.65283198242246e-67,6.68709092445572e-46,6.07642644698113e-39,1.776687633370397e-36,9.759561434779813e-54,8.510921563408795e-64,5.365229841335273e-62,3.9615021687543175e-37,3.779027889688131e-57,1.4964323719517837e-25,3.961007912268507e-86,9.656140806787488e-55,1.1845435098355361e-58,4.769018778526679e-56,2.815053222739852e-75,3.0019476298936654e-87,6.133774757214728e-88,1.5225976971554462e-70,1.217315773828066e-78,1.193360686286026e-69,3.075977584251845e-112,3.76,0.0,0.9790009552243458,0.9999999999999988,3.0544008749348193e-50,3.264668169693395e-52,1.9102147801417635e-17,1.9102147801417635e-17,5.338555209137493e-37,1.953721500567926e-40,1.1710122629135028e-15,1.0481057458952122e-40,4.545776484638773e-42,5.021445304038956e-21,4.3849228919141774e-35,1.5702335116098696e-44,3.382166783432188e-35,7.042381514088926e-19,5.661871167006056e-40,1.311327731972022e-35,7.352677506976735e-37,5.84104724653717e-41,1.1507959426028677e-37,2.3519301373573742e-36,3.979478324692882e-67,2.1769938238839953e-57,1.496432371951889e-25,1.4560938829374577e-81,1.7766876337074498e-36,9.59282229670212e-38,1.8660392537895e-53,1.822887474073291e-71,2.506269656591013e-68,1.4037783515295205e-54,5.518395751730016e-71,9.501857727085267e-98,7.089057624620686e-102,3.803446123867763e-102
1.3006698435461735e-21,0.7574918940385187,2.9327331113788825e-25,3.2219908924311673e-27,6.313529152273142e-35,2.9653021136325786e-39,0.0,0.0,1.1477295993063952e-20,2.2872085222887853e-38,2.9782483002769823e-51,8.43236680842385e-53,1.6443175910801533e-59,8.495401750936422e-66,3.21954642521822e-45,2.9255377661954215e-38,8.553986155365969e-36,9.581995290076735e-53,8.356073260180695e-63,5.267614473602051e-61,1.9072927660161512e-36,3.710271991425583e-56,3.4204168501753514e-25,2.062449200450887e-84,9.4804563042377e-54,1.274277854069359e-57,5.12699973820603e-55,6.280228884445e-74,1.563107906912177e-85,3.1938437982885135e-86,3.008396469922876e-69,2.6479277035056076e-77,2.6602059276679455e-68,3.351316387268784e-110,3.76,0.0,0.9790009552243458,0.9999999999999972,2.998828891366308e-49,3.2052705682231913e-51,4.366205211752602e-17,4.366205211752602e-17,2.5702845278421974e-36,9.406328019289746e-40,2.6765994580846156e-15,5.046177995137886e-40,2.188595698235995e-41,1.1477589266374538e-20,2.111151617497603e-34,7.561083748731655e-44,1.6283677162616958e-34,1.6096872032203261e-18,2.7259472439823738e-39,6.313478550620258e-35,3.539997713623677e-36,2.8122128134021127e-40,5.540587087895627e-37,1.1323531191117662e-35,3.90792838881026e-66,2.137385445686598e-56,3.42041685017586e-25,3.083841625639144e-80,8.553986156988732e-36,4.618530999802114e-37,1.832088404832395e-52,4.066761677757579e-70,5.591349733870607e-67,1.4129278620105595e-53,1.1190788393565345e-69,4.0375738860403635e-96,3.012315566482685e-100,1.6161781398722183e-100
2.7639234175356186e-21,0.7574918940385187,6.23205786532222e-25,6.846730646417608e-27,2.7572840520587506e-34,1.295025339133381e-38,0.0,0.0,2.438925398526085e-20,9.98884052031208e-38,2.6342268940061296e-50,7.458332948534584e-52,1.454380288225538e-58,7.514086641339739e-65,1.4060605089503052e-44,1.2776592032557967e-37,3.735750487384622e-35,8.475166321428512e-52,7.390852169374698e-62,4.6591453480651165e-60,8.32964859986421e-36,3.281693558922499e-55,7.268385806621966e-25,8.230638131426318e-83,8.385356238345934e-53,1.1712808866315144e-56,4.711402467256515e-54,1.1762173655554588e-72,6.237953325423526e-84,1.2745792183026175e-84,5.353280780220633e-68,4.9088117021585365e-76,4.980698526001352e-67,2.7406972573448604e-108,3.76,0.0,0.9790009552243458,0.9999999999999942,2.652430193758886e-48,2.8350255190591084e-50,9.27818607497428e-17,9.27818607497428e-17,1.1225107807281623e-35,4.1079905723850633e-39,5.687773848415333e-15,2.2037985054419346e-39,9.55817240978812e-41,2.4389877191044968e-20,9.219953762797708e-34,3.3030775013981303e-43,7.111509627415014e-34,3.4205853068431925e-18,1.19049277849298e-38,2.7572619529875184e-34,1.546010005605745e-35,1.2281672190607068e-39,2.4197199455387504e-36,4.945283566959653e-35,3.458035767225764e-65,1.8904932215897028e-55,7.268385806624187e-25,5.658064228345986e-79,3.735750488093328e-35,2.0170338272856168e-36,1.6204614463331906e-51,7.616594545205219e-69,1.047197924463711e-65,1.263495594291632e-52,2.0146610706130965e-68,1.487092780057312e-94,1.1094763480758089e-98,5.952601514985091e-99
5.690430565514509e-21,0.7574918940385187,1.2830707384791203e-24,1.409621015439487e-26,1.1511118144893973e-33,5.406475870055622e-38,0.0,0.0,5.0213169969654494e-20,4.170144286511374e-37,2.214226428489358e-49,6.269178241514501e-51,1.2224942656084605e-57,6.31604257973057e-64,5.870025841303769e-44,5.3339756658748304e-37,1.5596022900875738e-34,7.123887960239156e-51,6.212456581052634e-61,3.9162923996154615e-59,3.4774643209826807e-35,2.7584611731446557e-54,1.4964323719513106e-24,2.9252894880843626e-81,7.04839717394416e-52,1.0020554582137575e-55,4.0302486161600414e-53,2.0316229948730106e-71,2.217066312985424e-82,4.5300541710303e-83,9.029090487808262e-67,8.436993114342635e-75,8.601619390628547e-66,1.9722220458960673e-106,3.76,0.0,0.9790009552243457,0.9999999999999882,2.2295273987634415e-47,2.383009771871065e-49,1.9102147801417633e-16,1.9102147801417633e-16,4.6862615428449365e-35,1.7150051980139785e-38,1.1710122629030736e-14,9.20042494161673e-39,3.990348828105502e-40,5.021445304038289e-20,3.8491492008141345e-33,1.3797667737721075e-42,2.9689152790985798e-33,7.042381514088926e-18,4.970073001235962e-38,1.151102588562185e-33,6.454287440724094e-35,5.127356374400382e-39,1.0101854449798175e-35,2.0645585411037255e-34,2.909240045763905e-64,1.5890734635077486e-54,1.4964323719522381e-24,9.686954417451666e-78,1.5596022903834457e-34,8.420719175008377e-36,1.3620954857697144e-50,1.3155772963547929e-67,1.8087739947500075e-64,1.067506521347986e-51,3.41667547458054e-67,5.10244662259563e-93,3.80678591208688e-97,2.0424301632768523e-97
1.1543444861472289e-20,0.7574918940385187,2.6028006470058406e-24,2.859516917036693e-26,4.702667360725311e-33,2.2087218063120248e-37,0.0,0.0,1.0186100193844114e-19,1.703640009497365e-36,1.815356604001596e-48,5.139851090187396e-50,1.0022746595427344e-56,5.178273306083178e-63,2.3980970904002155e-43,2.179103102849381e-36,6.371484240703356e-34,5.8405937569847395e-50,5.093347246690289e-60,3.2108131216252064e-58,1.4206576419881789e-34,2.261553128948217e-53,3.0356199545287037e-24,9.853167906976059e-80,5.778701849417862e-51,8.285188307043495e-55,3.332109445562677e-52,3.375571993056973e-70,7.467689942650503e-81,1.525847006654457e-81,1.4830308238879733e-65,1.3983697364271648e-73,1.4290647946150073e-64,1.3367485908487285e-104,3.76,0.0,0.9790009552243455,0.9999999999999762,1.8279012638782926e-46,1.9537353863658412e-48,3.875007125430433e-16,3.875007125430433e-16,1.9144907491961058e-34,7.006355826298455e-38,2.375482019007741e-14,3.7586737911240813e-38,1.6301876981728786e-39,1.0186360473904695e-19,1.572503043177422e-32,5.643310147842361e-42,1.2128987648317336e-32,1.4285973928580385e-17,2.0304369904935453e-37,4.7026296698023535e-33,2.6367870177478277e-34,2.0946923804797816e-38,4.1269371581349237e-35,8.434395289270787e-34,2.3893568339980127e-63,1.30281843315822e-53,3.0356199545324928e-24,1.6043508648198996e-76,6.371484241912098e-34,3.4401385442868454e-35,1.116728173576915e-49,2.185851354015968e-66,3.0053050447255355e-63,8.773800280077328e-51,5.626807129293893e-66,1.691897840950015e-91,1.2622754027636218e-95,6.772404376047347e-96
2.3249473453387848e-20,0.7574918940385188,5.242260482590974e-24,5.759308720238114e-26,1.9008933363872077e-32,8.928006721166742e-37,0.0,0.0,2.0515666587601195e-19,6.886385306990528e-36,1.4701228442187732e-47,4.162384672469407e-49,8.116680060019274e-56,4.193499979068581e-62,9.693491862140854e-43,8.808283150321399e-36,2.5754558013601425e-33,4.72986425202359e-49,4.124724655490815e-59,2.60019971184358e-57,5.7425253325306345e-34,1.8314643585465105e-52,6.113995119680151e-24,3.2339063561598325e-78,4.679742580618179e-50,6.737377534372677e-54,2.709545634778288e-51,5.503034304226092e-69,2.4509706126525275e-79,5.007982657838001e-80,2.4040568736568337e-64,2.27688261762735e-72,2.3296489851735187e-63,8.80147365884514e-103,3.76,0.0,0.979000955224345,0.9999999999999521,1.4802818350293142e-45,1.5821855698892784e-47,7.804591816007771e-16,7.804591816007771e-16,7.738677708945976e-34,2.8320810469773674e-37,4.784421531143426e-14,1.5193160423959072e-37,6.589479320729378e-39,2.05161908136328e-19,6.356308722121169e-32,2.2863814471177123e-41,4.902730733276475e-32,2.877315875756328e-17,8.207350954518477e-37,1.9008781011135622e-32,1.0658314711698549e-33,8.467081514545183e-38,1.6681739833648439e-34,3.409317430300155e-33,1.9417432605905754e-62,1.0550561450200448e-52,6.113995119695464e-24,2.616688250976249e-75,2.5754558018487434e-33,1.3905590026798102e-34,9.043554280955351e-49,3.563489387441349e-65,4.8994057225863925e-62,7.113922100636059e-50,9.1332134526524e-65,5.5217023486823906e-90,4.119580324191461e-94,2.2102517211380107e-94
4.6661530637218973e-20,0.7574918940385189,1.052118022788802e-23,1.1558892326668995e-25,7.64340850128611e-32,3.589912264587323e-36,0.0,0.0,4.1174799375114365e-19,2.7689852445179137e-35,1.1832827628240738e-46,3.350249303681215e-48,6.533010263267028e-55,3.3752936094084403e-61,3.8977104442460986e-42,3.5417719145025196e-35,1.0355794504603378e-32,3.807006238915963e-48,3.319937247567206e-58,2.0928669403536977e-56,2.3090441796666086e-33,1.474121849556061e-51,1.2270745449969692e-23,1.04796626684904e-76,3.766663957279307e-49,5.433939059750838e-53,2.1853186984223815e-50,8.887415117348178e-68,7.942516026226837e-78,1.6228665620665594e-78,3.8716594820731654e-63,3.674897742470548e-71,3.7623187872829285e-62,5.7130226165556336e-101,3.76,0.0,0.9790009552243443,0.999999999999904,1.1914596024406648e-44,1.2734805936800575e-46,1.5663761197162443e-15,1.5663761197162443e-15,3.111688270794123e-33,1.1387673330412623e-36,9.602300555120188e-14,6.10910298452728e-37,2.6496006533840794e-38,4.11758514930702e-19,2.5558437810977105e-31,9.235782356239544e-41,1.9713664648563163e-31,5.774752841552904e-17,3.300139721570548e-36,7.643347240921176e-32,4.285661468594267e-33,3.404576237540909e-37,6.7076542181412086e-34,1.3708715439997347e-32,1.573798469667994e-61,8.492009733217007e-52,1.2270745450031263e-23,4.243926433490431e-74,1.0355794506568082e-32,5.591376590736493e-34,7.279039256751492e-48,5.755044879278242e-64,7.912553328513007e-61,5.72936706244238e-49,1.4718287801666486e-63,1.791432222216713e-88,1.336535088045568e-92,7.170825050740678e-93
9.348564500488122e-20,0.7574918940385192,2.1079020014989215e-23,2.3158059539642914e-25,3.065348668815864e-31,1.439715403955135e-35,0.0,0.0,8.24930649501367e-19,1.1104869289436103e-34,9.49509896620744e-46,2.6883640748654877e-47,5.242329326945052e-54,2.7084605529854764e-60,1.5631562175073667e-41,1.4204089473320665e-34,4.153136770572044e-32,3.0548827498474033e-47,2.664040561866326e-57,1.6793939154770977e-55,9.260299905713908e-33,1.1828899473168566e-50,2.4584246110495347e-23,3.3746178495499744e-75,3.0225106094977793e-48,4.3648353631012026e-52,1.755355645612964e-49,1.4286260287805262e-66,2.55761671411201e-76,5.225888912532403e-77,6.214870911939255e-62,5.905462074454595e-70,6.047760838440842e-61,3.682164711929893e-99,3.76,0.0,0.9790009552243427,0.9999999999998076,9.560712954536915e-44,1.0218879754210013e-45,3.138209995947176e-15,3.138209995947176e-15,1.247926170222252e-32,4.566966331606559e-36,1.923805860189529e-13,2.4500235331049947e-36,1.0626083683742566e-37,8.249517285186969e-19,1.0250076691225486e-30,3.737924846731834e-40,7.906061239267116e-31,1.1569626773146034e-16,1.3235036307060422e-35,3.0653241006698483e-31,1.7187419297934666e-32,1.3653873447438483e-36,2.6900693486327277e-33,5.497808028713495e-32,1.2803906834743e-60,6.814303002804658e-51,2.4584246110742271e-23,6.890946373439185e-73,4.15313677136003e-32,2.2423920932897466e-33,5.840970585659163e-47,9.25106656088675e-63,1.2719198379189749e-59,4.598840739396538e-48,2.363373303705796e-62,5.817396389267572e-87,4.340188983363251e-91,2.3286134547049377e-91
