Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41)
0.0,0.6275818394184749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5282460875613915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0394115500526514e-22,0.6275818394184749,4.871758090117901e-27,1.7416978143532283e-29,7.250787404319811e-37,8.318310992036611e-42,0.0,0.0,2.9413208822011395e-22,6.275010397689804e-41,5.613989872329872e-54,1.484733295879456e-55,4.946518160719906e-63,7.537718017671968e-70,1.9660858732536757e-48,8.918004950794729e-41,1.7526701537215204e-56,6.4553618309440665e-56,2.7334751371212635e-67,5.912051746552904e-66,1.6450905424194017e-39,3.225564387981668e-60,1.9931109499261945e-27,1.084195424398986e-93,4.2498739400856803e-75,3.924674506952163e-62,1.2436290296213085e-59,1.4000079399386513e-79,2.074263067757815e-118,6.569984975273212e-102,3.888743565261047e-78,3.9116543689964505e-83,2.4504061277933665e-72,-5.780616302360669e-119,3.76,0.0,0.5282460875613915,0.9999999999999997,8.285442499877604e-52,9.846961417311125e-73,9.604721429840738e-19,9.604721429840738e-19,2.4898117375715904e-39,3.3707880605210597e-43,3.840548846309125e-16,6.7881759358241145e-43,1.80185416169441e-44,2.9413695997820203e-22,1.148270782213716e-36,1.6458353364899434e-50,4.4027586326438375e-37,2.4024323869009132e-20,4.6632667307619274e-42,7.2507709349067616e-37,2.7791640311739386e-39,3.082543022616831e-43,3.7841881255948524e-40,4.691973614980412e-38,8.572846749098901e-74,5.764947503696029e-60,1.9931109499263004e-27
1.1310352340147425e-21,0.6275818394184751,1.36409226537295e-26,4.876753880189618e-29,4.379475592209158e-36,5.024259839620241e-41,0.0,0.0,8.2356984701631845e-22,3.790106280204637e-40,6.664928776430013e-53,1.762675368868011e-54,5.872506360497741e-62,8.948778830579421e-69,1.1875158674451534e-47,5.386474990279756e-40,2.0807700067845588e-55,7.663805565696452e-55,3.245181682854149e-66,7.018787833507554e-65,9.936346876213186e-39,3.8293900414118077e-59,5.5807106597930566e-27,6.595689854083633e-92,9.506801467762996e-74,5.9309681149067675e-61,1.875836544656085e-58,4.401848964643063e-78,2.3593245698706105e-116,3.7839749627008013e-100,8.698963805746751e-77,1.103149122854768e-81,7.700799082673226e-71,1.4889142098083328e-117,3.76,0.0,0.5282460875613915,0.999999999999999,9.836477335859546e-51,2.2027258814964543e-71,2.689322000355406e-18,2.689322000355406e-18,1.503846289492905e-38,2.0359559885546053e-42,1.0753536769652033e-15,4.100058265237751e-42,1.08831991366478e-43,8.235834879389599e-22,6.935555524570698e-36,1.9539357114808234e-49,2.6592662141168624e-36,6.726810683322556e-20,2.8166131053802005e-41,4.37946564468368e-36,1.6786150748290258e-38,1.861855985662413e-42,2.2856496278592654e-39,2.8339520634481462e-37,1.917711526386395e-72,6.844145676387866e-59,5.580710659793695e-27
2.585223392033697e-21,0.6275818394184751,3.1179251786550194e-26,1.1146866011864713e-28,2.10852897717619e-35,2.41896483712944e-40,0.0,0.0,1.8824453646087267e-21,1.8247730236481917e-39,6.5436665951876656e-52,1.730605129676849e-53,5.765661568415193e-61,8.785964121396167e-68,5.71737771942069e-47,2.5933558396907172e-39,2.0429123315842946e-54,7.52436975014734e-54,3.1861386200194254e-65,6.891087515781897e-64,4.783923297355619e-38,3.759717850631342e-58,1.2755910079525624e-26,2.9776096806947723e-90,1.8783840725451385e-72,6.380264852464163e-60,2.016722225105927e-57,9.820282896535267e-77,2.135887579521351e-114,1.6968931969225264e-98,1.7187686579382964e-75,2.3995903197064113e-80,1.717826627297282e-69,1.5683598754137341e-115,3.76,0.0,0.5282460875613915,0.9999999999999977,9.657511777864207e-50,4.352215151058293e-70,6.1470217150980706e-18,6.1470217150980706e-18,7.240372532853151e-38,9.802251679993523e-42,2.4579512616283783e-15,1.974001562137631e-41,5.239791902227377e-43,1.8824765438604525e-21,3.3391714346772683e-35,1.918385668212562e-48,1.2803222103728046e-35,1.5375567276165842e-19,1.3560779653055636e-40,2.108524187870882e-35,8.08180900265332e-38,8.964035109796927e-42,1.1004419069229453e-38,1.3644259272362705e-36,3.789074814108321e-71,6.719622810307909e-58,1.2755910079528698e-26
5.493599708071606e-21,0.6275818394184751,6.62559100745816e-26,2.3687090275224164e-28,9.208500003486054e-35,1.0564254966553507e-39,0.0,0.0,4.0001963997935376e-21,7.969263205066026e-39,5.787798998777137e-51,1.5307006387193706e-52,5.099662363561702e-60,7.771085767494312e-67,2.496929059031137e-46,1.1325866287505285e-38,1.8069328220897809e-53,6.655219833227864e-53,2.8181035277618054e-64,6.095088868625832e-63,2.08926498887264e-37,3.325427861433392e-57,2.710630891898613e-26,1.1242887595756383e-88,3.3424843453184274e-71,5.864562622253175e-59,1.8532740141646124e-56,1.839230304007888e-75,1.6188127311605515e-112,6.384136313507852e-97,3.0584569933447804e-74,4.4484361165906054e-79,3.2171658992076767e-68,1.244637691347382e-113,3.76,0.0,0.5282460875613915,0.9999999999999949,8.54195979968069e-49,7.744534323570173e-69,1.30624211445834e-17,1.30624211445834e-17,3.162060906710721e-37,4.280900836859972e-41,5.223146430933104e-15,8.620983438496411e-41,2.2883547853724568e-42,4.0002626557033486e-21,1.4583038934111945e-34,1.69679039850743e-47,5.591503463457435e-35,3.267308046185241e-19,5.9223487480676e-40,9.208479087331545e-35,3.5295383195903938e-37,3.9148296387512175e-41,4.805918919505075e-38,5.958806491024779e-36,6.742456182214708e-70,5.943430278410079e-57,2.710630891899956e-26
1.1310352340147424e-20,0.6275818394184751,1.3640922674020443e-25,4.876753880198009e-28,3.8443674817702694e-34,4.410368493978125e-39,0.0,0.0,8.235698470163135e-21,3.3270105128551123e-38,4.864993799522987e-50,1.2866461184754717e-51,4.286573494850319e-59,6.532065830617577e-66,1.0424187299981711e-45,4.728326224907746e-38,1.5188359128556177e-52,5.5941132769027864e-52,2.368785818939788e-63,5.1232894507341675e-62,8.722270055907666e-37,2.795222489594363e-56,5.580710659788866e-26,3.9006799916909735e-87,5.637588599541322e-70,5.017256793602196e-58,1.5853466232419269e-55,3.176812968182568e-74,1.1256220317224702e-110,2.210623716283583e-95,5.158534752750067e-73,7.645725353656759e-78,5.5567439874730564e-67,8.839282532480249e-112,3.76,0.0,0.5282460875613915,0.9999999999999893,7.180031903319963e-48,1.3062289101811257e-67,2.689322000355406e-17,2.689322000355406e-17,1.3200981832557787e-36,1.7871918296866703e-40,1.075353676945605e-14,3.5990908811737548e-40,9.553430765488148e-42,8.235834879388778e-21,6.088131687295104e-34,1.4262545692363627e-46,2.334342627027549e-34,6.726810683322554e-19,2.4724640206499315e-39,3.844358749687527e-34,1.473512769327966e-36,1.6343643106163976e-40,2.0063765441900437e-37,2.4876844106623056e-35,1.1372137849416823e-68,4.995811267542234e-56,5.58071065979447e-26
2.2943857604299062e-20,0.6275818394184749,2.767158604296902e-25,9.89284358556401e-28,1.570549554925209e-33,1.801779439199364e-38,0.0,0.0,1.670670261090225e-20,1.3591923521811858e-37,3.988615847393786e-49,1.0548702238095989e-50,3.514391935872573e-58,5.355382218727375e-65,4.25862064489454e-45,1.931675544358878e-37,1.2452334455666731e-51,4.586392046489657e-51,1.9420737310016924e-62,4.200382227822199e-61,3.5633319185021203e-36,2.2916922771987057e-55,1.1320870195561974e-25,1.2990892971919752e-85,9.259756367835328e-69,4.148364941191225e-57,1.3107294380745787e-54,5.2783222674732465e-73,7.505685131537683e-109,7.354884357124918e-94,8.472908821508933e-72,1.267222989010573e-76,9.232522453545662e-66,5.954482565107165e-110,3.76,0.0,0.5282460875613915,0.9999999999999782,5.886623953597577e-47,2.145484907345236e-66,5.4554817721495387e-17,5.4554817721495387e-17,5.393031816009957e-36,7.301261770597527e-40,2.181431744615593e-14,1.470346060403086e-39,3.9028881885524197e-41,1.670697932675819e-20,2.4872004451044902e-33,1.1693296665311306e-45,9.536551308650051e-34,1.364581595759717e-18,1.0100822269499216e-38,1.5705459875845132e-33,6.019780458080144e-36,6.676911488919807e-40,8.196702847560542e-37,1.016300252898956e-34,1.867877056605351e-67,4.095867911333987e-55,1.1320870195584873e-25
4.6210868132602335e-20,0.6275818394184749,5.573291292416222e-25,1.9925022996355276e-27,6.348412410276754e-33,7.283080594244956e-38,0.0,0.0,3.364871089238013e-20,5.494072803676376e-37,3.2300845250685364e-48,8.542612565971351e-50,2.84604570794342e-57,4.336927368373451e-64,1.721402554149052e-44,7.80814139863323e-37,1.0084223290787478e-50,3.714179189485344e-50,1.572741660037113e-61,3.401578430352913e-60,1.440355734234222e-35,1.8558718222096664e-54,2.2801189267078606e-25,4.24044383360159e-84,1.501046423459754e-67,3.3733814758876755e-56,1.0658373803016004e-53,8.604997500449426e-72,4.902645024323849e-107,2.399534914294035e-92,1.3734950322115666e-70,2.0633444009281155e-75,1.5051267775246578e-64,3.9090298261237635e-108,3.76,0.0,0.5282460875613914,0.9999999999999561,4.7671406986555976e-46,3.477923490033979e-65,1.09878013157378e-16,1.09878013157378e-16,2.1799496871747484e-35,2.95128674480198e-39,4.393587879817165e-14,5.943373864257611e-39,1.5776098076913202e-40,3.364926822149123e-20,1.0053661868242511e-32,9.469534808751845e-45,3.8548265152925625e-33,2.7483826506146385e-18,4.0829138595848567e-38,6.348397990515494e-33,2.4332915091631077e-35,2.6989143785393823e-39,3.31323834498591e-36,4.108048114646722e-34,3.027909201042023e-66,3.3169400271440493e-54,2.280118926717116e-25
9.274488918920889e-20,0.6275818394184749,1.1185556725973281e-24,3.9989381818174834e-27,2.552668708839881e-32,2.9284946918862112e-37,0.0,0.0,6.753272745533448e-20,2.2091425105481755e-36,2.5998530367775653e-47,6.875837783569144e-49,2.290745188563949e-56,3.4907364502008527e-63,6.921683960172118e-44,3.139619314926652e-36,8.116660212012091e-50,2.9894945379751864e-49,1.2658793150561984e-60,2.737886251381827e-59,5.791607058209201e-35,1.4937670997130687e-53,4.57618274099935e-25,1.3704381732200438e-82,2.417389000912579e-66,2.7207543694599263e-55,8.596261048985841e-53,1.3897094028162692e-70,3.1697735161965106e-105,7.752900969259479e-91,2.211971406891199e-69,3.3302470516532334e-74,2.4307777871997342e-63,2.533772422209661e-106,3.76,0.0,0.5282460875613912,0.9999999999999118,3.8370095661453024e-45,5.601088562284776e-64,2.2052440402914327e-16,2.2052440402914327e-16,8.765481814326005e-35,1.1866994198496686e-38,8.81790014966669e-14,2.389804490909551e-38,6.343499651450274e-40,6.753384601093411e-20,4.042533219603292e-32,7.621905444982792e-44,1.5500087876555899e-32,5.5159847603244704e-18,1.6417217056314273e-37,2.5526629107174604e-32,9.784158138283366e-35,1.0852216014248092e-38,1.3322385663662142e-35,1.6518280790465716e-33,4.876354423032402e-65,2.669761901104558e-53,4.576182741036567e-25
1.8581293130242198e-19,0.6275818394184751,2.2410087822361083e-24,8.011809946276213e-27,1.0237343231430471e-31,1.1744573652824847e-36,0.0,0.0,1.3530076058123756e-19,8.859649530434955e-36,2.0862183289884023e-46,5.517426796141712e-48,1.838178751630199e-55,2.801096162351508e-62,2.775904847889433e-43,1.2591277681832754e-35,6.513108650699489e-49,2.3988810949204262e-48,1.0157884306478903e-59,2.196981290678226e-58,2.322693466298698e-34,1.1986540233524971e-52,9.168310369534989e-25,4.407123785764675e-81,3.880444725850844e-65,2.1854578705522923e-54,6.904943053169736e-52,2.2339173026665192e-69,2.0389855322708872e-103,2.4928977668739802e-89,3.55070398585446e-68,5.3516204045356283e-73,3.907399491400814e-62,1.6320643052316995e-104,3.76,0.0,0.528246087561391,0.9999999999998234,3.0789585304091246e-44,8.990987596421037e-63,4.4181718577267364e-16,4.4181718577267364e-16,3.5153502531940213e-34,4.759195437848722e-38,1.7666524687151268e-13,9.58418487472582e-38,2.5440270806078302e-39,1.353030015897272e-19,1.6212366277736833e-31,6.116099108744181e-43,6.216228496868342e-32,1.1051188979744091e-17,6.584038317560504e-37,1.0237319978367591e-31,3.923885020609567e-34,4.3522239995057276e-38,5.342872509382859e-35,6.624569395135118e-33,7.827628798547863e-64,2.14231578990226e-52,9.168310369684242e-25
