Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79)
0.0,0.5862132170573537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7725180581325239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.983684201236345e-22,0.5862132170573536,1.5820763803713485e-46,3.050121876526954e-31,5.109422743909406e-46,1.0619178541826666e-80,0.0,0.0,3.3704786559195774e-44,2.8442701768144697e-81,1.9755533862770203e-82,2.1016614173280954e-100,1.217714180836623e-75,7.63673817398386e-115,6.313318784836309e-90,5.529756294934454e-86,3.7141744451617105e-97,3.085270773000895e-98,7.337067601206601e-70,9.533859584849962e-69,5.513164064280363e-41,3.5346801111631708e-62,7.526842920175116e-101,-3.5063063772268967e-156,6.475281792546126e-116,1.8240189949276543e-97,1.9976086510081711e-84,-1.0360967402845726e-142,1.4642137192201504e-207,5.0100707174225e-209,8.684611900629552e-132,2.349580424895512e-101,5.867107936807133e-82,-2.624399813615608e-144,3.76,0.0,0.7725180581325239,0.9999999999999998,3.099030205068236e-79,-2.4994140194777926e-133,2.5855868899882542e-19,2.5855868899882542e-19,9.670851170020964e-41,3.8550504755345667e-45,3.3540999730815244e-16,3.386299419723237e-44,5.109422743914791e-46
2.5154315763461767e-21,0.5862132170573536,9.55574133744303e-46,8.54034125427547e-31,3.0860913373278705e-45,3.3388396404070014e-79,0.0,0.0,2.035769108175423e-43,8.942840519132951e-80,4.419735718624e-81,1.2103689241384851e-98,2.7239779139642302e-74,3.194787578203316e-113,1.4122641589711743e-88,1.7386438552280976e-84,2.1391705860078993e-95,1.7769579994002422e-96,8.710566656659047e-69,1.131859809913366e-67,3.3299510948253396e-40,4.196372227972843e-61,4.335076147662941e-99,1.0715637736249138e-153,6.77771651745974e-114,1.0505304471487459e-95,6.2808012161538544e-83,1.8006870650730028e-140,8.308753315321158e-205,3.410288392460231e-200,1.6449270378070415e-129,1.3532380262392217e-99,1.844712609083277e-80,4.561082584544845e-142,3.76,0.0,0.7725180581325239,0.9999999999999991,9.74384680969478e-78,2.393436089600328e-131,7.23964329196711e-19,7.23964329196711e-19,5.841194106690629e-40,2.328450487222712e-44,9.391479924601513e-16,2.045324849512802e-43,3.086091337334262e-45
5.749557888791261e-21,0.5862132170573536,4.600678114120009e-45,1.9520780009772486e-30,1.4858201339385512e-44,7.448767568436096e-78,0.0,0.0,9.801351931414114e-43,1.9950985253215814e-78,8.73309721765071e-80,5.427694835722578e-97,5.3821213284554387e-73,1.303755671743537e-111,2.790395991584372e-87,3.8788187983489345e-83,9.59295187520593e-94,7.968625505160791e-95,8.552085997482257e-68,1.1112666732100464e-66,1.6032281098927297e-39,4.1200231375715636e-60,1.9440300991145516e-97,5.545577949689845e-151,6.088534755134862e-112,4.7110584799909496e-94,1.4012122006846978e-81,4.681866887002911e-138,4.497412891472241e-201,1.0503849081445353e-196,2.956176495242603e-127,6.068487299134618e-98,4.115452353384855e-79,1.1859018668952052e-139,3.76,0.0,0.7725180581325239,0.9999999999999979,2.1737986224264862e-76,4.981772551019816e-129,1.6547756095924824e-18,1.6547756095924824e-18,2.812283520239048e-39,1.1210486782852026e-43,2.1466239827534482e-15,9.847358712554684e-43,1.485820133944827e-44
1.221781051368143e-20,0.5862132170573536,2.009237003071745e-44,4.148165752076646e-30,6.488966884864262e-44,1.395071728460345e-76,0.0,0.0,4.280507893017845e-42,3.7365987360957775e-77,1.5540444752994279e-78,2.04201890462352e-95,9.577197338346243e-72,4.723110121722273e-110,4.965360577881063e-86,7.264598332114193e-82,3.609110409305297e-92,2.99799607486492e-93,7.5642232172789e-67,9.829027877595546e-66,7.001718361636061e-39,3.644113807404301e-59,7.313927104184867e-96,1.949233830063186e-148,4.591207019651098e-110,1.7724243684617206e-92,2.6243153767238232e-80,8.20218013479941e-136,1.502962964823147e-197,1.7206647713621765e-193,4.463106720533198e-125,2.2831165916163427e-96,7.707786792019454e-78,2.0775859223180796e-137,3.76,0.0,0.7725180581325239,0.9999999999999954,4.071284240885041e-75,7.977188676882045e-127,3.516398170384025e-18,3.516398170384025e-18,1.2281980985895138e-38,4.895914103926325e-43,4.56157596329724e-15,4.3006002630480076e-42,6.488966884919767e-44
2.5154315763461767e-20,0.5862132170573537,8.388168968730091e-44,8.540341254275417e-30,2.709015938909776e-43,2.4096394810781624e-75,0.0,0.0,1.7870277833685447e-41,6.45404509012554e-76,2.621153464276068e-77,7.070839060938398e-94,1.615334314370885e-70,1.6074636325543036e-108,8.374806370805791e-85,1.2547787040709028e-80,1.2497206933716235e-90,1.0381108570260236e-91,6.358185395783778e-66,8.261890174475133e-65,2.9230795868814477e-38,3.06309722945135e-58,2.5325807454907395e-94,5.804019734018086e-146,3.1833260582278928e-108,6.137353123905637e-91,4.53285219214701e-79,1.2187707712726982e-133,3.8916538640232435e-194,2.1992958672463623e-190,6.192652330231016e-123,7.905707887657724e-95,1.3313284892236139e-76,3.087107275608409e-135,3.76,0.0,0.7725180581325239,0.9999999999999906,7.032131069361509e-74,1.1382703306710373e-124,7.239643291967111e-18,7.239643291967111e-18,5.127485290316784e-38,2.0439477621261113e-42,9.39147992421361e-15,1.7954159523368084e-41,2.7090159389564328e-43
5.102732626302244e-20,0.5862132170573536,3.4268407229405732e-43,1.7324692258672877e-29,1.1067214040969586e-42,4.003652037018686e-74,0.0,0.0,7.30059158786792e-41,1.0723492445652426e-74,4.30527896835072e-76,2.3525088839621723e-92,2.653191461898353e-69,5.3039623087149656e-107,1.37556446246624e-83,2.0848335836163418e-79,4.157900016193605e-89,3.4538602098543113e-90,5.212824537798322e-65,6.773596727412043e-64,1.1941733889793837e-37,2.5113121732430934e-57,8.4260556622457e-93,1.599708719673159e-143,2.1195083292319226e-106,2.0419376859888183e-89,7.531401711791086e-78,1.677863948232979e-131,8.937685521544625e-191,2.5086451494230547e-187,8.248824150544533e-121,2.6302788107191556e-93,2.212022196621872e-75,4.249975569194861e-133,3.76,0.0,0.7725180581325239,0.9999999999999809,1.1683990946557055e-72,1.537094391326263e-122,1.468613353513328e-17,1.468613353513328e-17,2.094745046807235e-37,8.35019353200729e-42,1.90512878453615e-14,7.3348599950935e-41,1.1067214041352108e-42
1.0277334726214379e-19,0.5862132170573536,1.3851838106822107e-42,3.489339426746746e-29,4.47354486520239e-42,6.526963289941636e-73,0.0,0.0,2.9510158462329763e-40,1.748199915615973e-73,6.979070612658467e-75,7.675066596352663e-91,4.300937693515314e-68,1.7233940170516454e-105,2.2298492748538482e-82,3.398804926120893e-78,1.3565171655935681e-87,1.1268237183700466e-88,4.22148047033463e-64,5.485434247209292e-63,4.8270397701525425e-37,2.033725708055977e-56,2.749005111723286e-91,4.247561841504273e-141,1.3834053604868434e-104,6.661835121929815e-88,1.2278085617863798e-76,2.226363188640081e-129,1.9370894754223736e-187,2.7093456768673185e-184,1.0769681971837965e-118,8.581298517628408e-92,3.606154466314237e-74,5.639306554555349e-131,3.76,0.0,0.7725180581325239,0.9999999999999616,1.9047854131233015e-71,2.020449580015838e-120,2.957911402146562e-17,2.957911402146562e-17,8.467294400012213e-37,3.3752817337372163e-41,3.837090368491788e-14,2.9648676843367e-40,4.473544865512166e-42
2.0626538926038649e-19,0.5862132170573537,5.569763180159343e-42,7.003079828505525e-29,1.7987927151852916e-41,1.0541063147665385e-71,0.0,0.0,1.1865904927310319e-39,2.8233475333985634e-72,1.1239621428957634e-73,2.479814205495121e-89,6.926527564873269e-67,5.5570752471450285e-104,3.591103527932679e-81,5.489079034350338e-77,4.3829091489837766e-86,3.640769132998203e-87,3.3978147559405243e-63,4.415154704142385e-62,1.940931461486158e-36,1.6369193799793335e-55,8.882039659876154e-90,1.1073011987028467e-138,8.940947739526632e-103,2.1524403538339334e-86,1.982914106928113e-75,2.9011881616314813e-127,4.0804369805847645e-184,2.8487886615788154e-181,1.3921961728082246e-116,2.7726188449614294e-90,5.823949096415576e-73,7.348616570282844e-129,3.76,0.0,0.7725180581325239,0.999999999999923,3.076233530551987e-70,2.6206301346304583e-118,5.93650749941303e-17,5.93650749941303e-17,3.404661837650529e-36,1.3571859401007696e-40,7.701013535307301e-14,1.1921602559086976e-39,1.7987927154346263e-41
4.1324947325687186e-19,0.5862132170573537,2.2337241489934997e-41,1.4030560632022543e-28,7.213963319623901e-41,1.6944451146312422e-70,0.0,0.0,4.758758591420284e-39,4.538448700904426e-71,1.8042183677796495e-72,7.973688879878072e-88,1.111861073604529e-65,1.785051482138454e-102,5.764516514184534e-80,8.823534232993402e-76,1.4092975684401304e-84,1.170666976903081e-85,2.7265323754696282e-62,3.542883593334241e-61,7.784003263373056e-36,1.3135247128485152e-54,2.855965356637039e-88,2.8604744510387904e-136,5.750258245222736e-101,6.921040570622345e-85,3.18747651365517e-74,3.7467935676156225e-125,8.47486403236973e-181,2.9560083048942954e-178,1.7908161569705262e-114,8.915185783477497e-89,9.361828080060798e-72,9.49050794868643e-127,3.76,0.0,0.7725180581325238,0.9999999999998457,4.944955556853048e-69,3.3766368284661056e-116,1.1893699693945966e-16,1.1893699693945966e-16,1.3654216740556518e-35,5.442922635999071e-40,1.5428859864555288e-13,4.7810958328902115e-39,7.213963321624655e-41
