Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924)
0.0,0.6781890916273536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.563175172915066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9807348124179617e-22,0.6781890916273536,1.8782371859902918e-26,2.0172354751764194e-28,1.5896936451427053e-36,4.863427487349933e-26,0.0,0.0,8.677495716681985e-22,2.6049586336048242e-40,1.9361761597521152e-53,5.618490229675356e-55,2.034784788528925e-56,2.149104059910387e-68,3.151637950901496e-47,4.824188776737337e-40,1.3234590085445797e-37,5.670479933152465e-55,1.46793096411758e-65,5.948651757887841e-64,1.967384996406434e-38,8.499911156571092e-59,1.567133032758296e-26,2.881099676180922e-72,4.340304191867757e-56,2.2089416682576118e-60,1.6141425290007374e-41,4.731295187425328e-41,7.948301073868022e-81,6.953216721591815e-63,6.351006849094769e-72,8.079699751873081e-64,1.060942468205273e-56,1.0288323299160953e-72,3.76,0.0,0.563175172915066,0.9999999999999994,1.609046538710013e-51,9.058311051262025e-54,3.021737205839309e-18,3.021737205839309e-18,2.748839128208452e-38,7.339020253755137e-42,4.795641024868763e-16,6.280984933131308e-42,2.3292898034271347e-43,8.67768354040049e-22,4.100961633030572e-36,1.3882431223314389e-40,2.5454720611927604e-36,9.905860078786812e-20,3.695360665933827e-41,1.5896227965736368e-36,6.4014452701401035e-24,3.2817866989196536e-42,1.6427465186775116e-38,2.0278154954077868e-37,4.393646103081775e-46,4.498141147257075e-47,1.5671330327583602e-26,6.510315188401529e-61,1.3234590089694226e-37,1.477631896558535e-38,4.3050152679562234e-55,3.052666815971493e-70,3.5980302323930975e-70,6.85091422402448e-56,2.4925306142233197e-72,3.99643495498823e-77,2.6786098348593666e-81,4.8749825835155646e-82,8.713617680058358e-66,2.705866773668689e-63,1.935847620766727e-81,1.3390581033523423e-53,2.733131441577306e-60,1.580726019907892e-53,7.835562377770924e-59,2.3194456436609457e-75,4.863427487349159e-26,6.285630519778607e-41,4.6816989451614585e-60,8.20920649756778e-54,5.7976767762487985e-43,1.1828207031365597e-47,1.74724351646713e-64,3.608502676516483e-37,4.538444552050397e-61,7.024166638291822e-55,1.1799611750070509e-71,9.750951922859909e-67,6.401445270140148e-24,1.3103266562255323e-80
8.346057474770293e-22,0.6781890916273536,5.25906412165278e-26,5.648259330494277e-28,9.601749616661932e-36,1.3617596964579824e-25,0.0,0.0,2.4296988006709544e-21,1.573395014697313e-39,2.29862833752101e-52,6.670271600754801e-54,2.4156965009415594e-55,2.551416339925542e-67,1.9035893223444923e-46,2.9138100211491763e-39,7.993692411609215e-37,6.731993776638489e-54,1.7427276406240115e-64,7.062239366990319e-63,1.188300537829486e-37,1.0091094525081143e-57,4.387972491723073e-26,6.444904731629529e-71,5.152809136585279e-55,3.3342263117115494e-59,9.749420875164534e-41,2.8577022932048247e-40,1.7780031632855947e-79,8.25485889187358e-62,1.5731898272419435e-70,1.2210042265036532e-62,1.2595508986060721e-55,2.3080870298775213e-71,3.76,0.0,0.563175172915066,0.9999999999999987,1.9102600507603136e-50,1.0754026880058218e-52,8.460864176350065e-18,8.460864176350065e-18,1.6602988334375711e-37,4.4327682332678527e-41,1.3427794869620304e-15,3.7937148996114215e-41,1.4068910412712201e-42,2.4297513913121158e-21,2.476980826350384e-35,8.384988464823038e-40,1.5374651249604156e-35,2.773640822060307e-19,2.231997842224086e-40,9.60132169130476e-36,1.7924046756391702e-23,1.982199166148991e-41,9.922188972811606e-38,1.2248005592262891e-36,2.653762246260982e-45,2.716877252947364e-46,4.387972491723459e-26,7.729046191669381e-60,7.993692414175266e-37,8.924896655212644e-38,5.1109141261176057e-54,6.830538496248131e-69,1.122217513950117e-68,8.437856318541791e-55,5.77507138411162e-71,8.939865136909275e-76,5.991943056185194e-80,1.0905141040019491e-80,1.0344806909759159e-64,3.2124050357886087e-62,4.330413693746135e-80,1.5897297802989663e-52,3.244773647444992e-59,1.876637930834547e-52,9.302379654887914e-58,5.188507127043758e-74,1.3617596964575147e-25,3.796520833946249e-40,5.558112987695687e-59,9.745969953912167e-53,3.501796772854252e-42,7.144237046950062e-47,2.6404219795982547e-63,2.1795356166159557e-36,5.38804136899027e-60,8.339090632979984e-54,2.639525950043528e-70,1.158401794255198e-65,1.7924046756391975e-23,2.931148316916227e-79
1.9076702799474956e-21,0.6781890916273536,1.2020717996497606e-25,1.2910307041131199e-27,4.622829120074971e-35,3.1125935919039647e-25,0.0,0.0,5.55359725867646e-21,7.575219706522815e-39,2.2568069327489414e-51,6.548912211970669e-53,2.3717451495093773e-54,2.5049956922313315e-66,9.164963161221377e-46,1.4028740962749543e-38,3.848618796847563e-36,6.6095114100821385e-53,1.7110203318462456e-63,6.9337484890713915e-62,5.7211555695499084e-37,9.907496444099092e-57,1.0029651409652002e-25,1.2734045690365381e-69,5.0590585660406726e-54,3.5854568922206085e-58,4.6939264743342655e-40,1.3758606405031757e-39,3.513034669567817e-78,8.10466941068673e-61,3.243189270303887e-69,1.3135006292648071e-61,1.2366345414410183e-54,4.566253293307061e-70,3.76,0.0,0.563175172915066,0.9999999999999969,1.8755046455257635e-49,1.0558367361350827e-51,1.9339118117371578e-17,1.9339118117371578e-17,7.993624184825167e-37,2.1341870897916193e-40,3.069210255907447e-15,1.8265104185547462e-40,6.773574748384265e-42,5.553717465856158e-21,1.1925596428851664e-34,4.0370110086515444e-39,7.402232753948363e-35,6.339750450423559e-19,1.0746108816536364e-39,4.6226230924361254e-35,4.0969249728892564e-23,9.543435720480715e-41,4.7771068763133574e-37,5.8968874606456244e-36,1.2776722867755656e-44,1.308059445628493e-45,1.0029651409653863e-25,7.588423383597989e-59,3.8486187980830085e-36,4.296953555190857e-37,5.017925796329699e-53,1.3497624245031633e-67,2.4967393500917383e-67,8.417745971048396e-54,1.1602803888331502e-69,1.766366701440692e-74,1.183906975025075e-78,2.1546721021637302e-79,1.0156592767857034e-63,3.153958317864034e-61,8.556167721705063e-79,1.560806125264592e-51,3.1857380083161878e-58,1.8424942488043185e-51,9.133131507524433e-57,1.025161574480848e-72,3.112593591901714e-25,1.8278613551515734e-39,5.456988290480097e-58,9.568651093564056e-52,1.6859644065331158e-41,3.439642604728973e-46,2.8404411999214834e-62,1.0493525783309935e-35,5.290010959937547e-59,8.18736863359273e-53,5.215258479120419e-69,1.1389541802456847e-64,4.096924972889385e-23,5.791455133514056e-78
4.053799344888428e-21,0.6781890916273536,2.5544025760266647e-25,2.7434402462409866e-27,2.018910929331218e-34,6.6142613827959455e-25,0.0,0.0,1.1801394174687454e-20,3.308297464678115e-38,1.996120174606533e-50,5.79243868773436e-52,2.0977817255819106e-53,2.2156403216047614e-65,4.002580197644722e-45,6.126719746453695e-38,1.6807929408515384e-35,5.846037991882072e-52,1.513378106913345e-62,6.132822016472095e-61,2.49857894543617e-36,8.763068405978167e-56,2.1313009245507364e-25,2.2659553928552193e-68,4.474680009647173e-53,3.2951626936741045e-57,2.049961011831062e-39,6.008744888029032e-39,6.251257629449185e-77,7.16848831129085e-60,5.881259217427517e-68,1.207333374528161e-60,1.093789247525419e-53,8.130194105917759e-69,3.76,0.0,0.563175172915066,0.9999999999999934,1.6588626195538775e-48,9.338756361408697e-51,4.10956259994146e-17,4.10956259994146e-17,3.491025692819556e-36,9.320555722265149e-40,6.522071793778713e-15,7.976850865078412e-40,2.9581980503710805e-41,1.1801649614943888e-20,5.208221273947545e-34,1.7630687745697045e-38,3.232749517714614e-34,1.3471969707150062e-18,4.693108045736771e-39,2.0188209516485073e-34,8.705965567388492e-23,4.167869107650865e-40,2.0862880787195656e-36,2.5753256791676616e-35,5.579930550907508e-44,5.712639257079887e-45,2.1313009245515496e-25,6.711874546628493e-58,1.68079294139109e-35,1.876592508627931e-36,4.43829854065199e-52,2.4019634072213863e-66,4.6707823574322057e-66,7.498383389439404e-53,2.080256997503783e-68,3.143155168601113e-73,2.106699206147345e-77,3.8341238821093176e-78,8.983391283393104e-63,2.789640422580246e-60,1.5225243306421843e-77,1.380515342226045e-50,2.817749191037266e-57,1.6296652974835663e-50,8.078151388975457e-56,1.8242202476158522e-71,6.614261382786117e-25,7.982750760118359e-39,4.826644344503361e-57,8.463363530730489e-51,7.363049505835608e-41,1.5021822929915495e-45,2.6108532776380724e-61,4.582798399175933e-35,4.678954774523749e-58,7.241634837412875e-52,9.280273813399584e-68,1.010288910085145e-63,8.705965567389053e-23,1.0305584973912668e-76
8.346057474770293e-21,0.6781890916273536,5.259064134412233e-25,5.6482593304986525e-27,8.428555706546462e-34,1.3617596964579978e-24,0.0,0.0,2.4296988006709356e-20,1.3811490675372672e-37,1.6778592820656297e-49,4.8688937381876826e-51,1.7633119411827872e-52,1.862379192652565e-64,1.670998441567813e-44,2.5577848894236864e-37,7.016979663302662e-35,4.913947182389554e-51,1.2720854868734217e-61,5.155006435246004e-60,1.0431075250946911e-35,7.365887009705343e-55,4.387972491720809e-25,3.821864969052472e-67,3.761238167804058e-52,2.8188941467288065e-56,8.558183688763038e-39,2.5085327083718886e-38,1.0543660152358547e-75,6.025546359461297e-59,1.0009271676989392e-66,1.032899120649683e-59,9.193957683156676e-53,1.3716659344944797e-67,3.76,0.0,0.563175172915066,0.9999999999999866,1.3943739857062671e-47,7.849787424046123e-50,8.460864176350066e-17,8.460864176350066e-17,1.457434505771461e-35,3.891148538537486e-39,1.3427794869442973e-14,3.330178211547699e-39,1.2349894537937645e-40,2.4297513913117925e-20,2.174329857831655e-33,7.360465117480284e-38,1.3496092868442284e-33,2.7736408220603057e-18,1.9592802250788417e-38,8.428180067433324e-34,1.7924046756383218e-22,1.7400033077877287e-39,8.7098420420203e-36,1.0751477756650035e-34,2.3295111638482454e-43,2.3849144363327625e-44,4.3879724917242025e-25,5.641734977214963e-57,7.016979665555188e-35,7.83440431554068e-36,3.730657350966286e-51,4.051370828449085e-65,8.06338250314354e-65,6.323849811611498e-52,3.52113688246778e-67,5.301390605057079e-72,3.553256132787345e-76,6.466810334497357e-77,7.551081663583374e-62,2.344860876864632e-59,2.5679598204406035e-76,1.160406327424445e-49,2.3684879772199465e-56,1.3698318772346384e-49,6.79017298755782e-55,3.076814081240702e-70,1.3617596964538948e-24,3.332641301586193e-38,4.0570853986931914e-56,7.1139670034846705e-50,3.073928226766783e-40,6.271315368103103e-45,2.233639355564807e-60,1.9132281190890387e-34,3.932943395851363e-57,6.087030422076638e-51,1.5652538219622013e-66,8.540819759982396e-63,1.7924046756385555e-22,1.7381875354756248e-75
1.6930573734534022e-20,0.6781890916273536,1.0668387273710407e-24,1.1457897499021713e-26,3.443340023124768e-33,2.7624268128148312e-24,0.0,0.0,4.928817567075283e-20,5.642444598733305e-37,1.3756104114435793e-48,3.9918132536110487e-50,1.445669664202074e-51,1.526890982347296e-63,6.826573867169318e-44,1.04493858579434e-36,2.866665150867309e-34,4.0287507883054477e-50,1.0429325385383385e-60,4.226385728237532e-59,4.261434597616192e-35,6.038999198704307e-54,8.901315626056958e-25,6.277424688008129e-66,3.0836902944029843e-51,2.330643113262518e-55,3.4962972835177133e-38,1.0248174627762112e-37,1.7317994962735429e-74,4.940106953661308e-58,1.6512775889103144e-65,8.540209672726726e-59,7.537761984276116e-52,2.2532807101016865e-66,3.76,0.0,0.5631751729150659,0.9999999999999728,1.143192038009898e-46,6.435729994412415e-49,1.7163467329167274e-16,1.7163467329167274e-16,5.954095505225179e-35,1.5896611430414257e-38,2.7239241020458414e-14,1.3604864604572233e-38,5.045334885956431e-40,4.928924250946028e-20,8.882846935599761e-33,3.0069902028656723e-37,5.513594303424499e-33,5.626528524750904e-18,8.004299016845444e-38,3.4431865622902785e-33,3.6360209134357675e-22,7.108481261501371e-39,3.5582546693095744e-35,4.392329475671346e-34,9.516813205070891e-43,9.743153651087831e-44,8.901315626070823e-25,4.62543519358159e-56,2.8666651517875423e-34,3.200609793210919e-35,3.058618293145287e-50,6.654476418594643e-64,1.339405367382571e-63,5.193033580888821e-51,5.793450260617537e-66,8.707549987865043e-71,5.836233867832257e-75,1.0621755393001642e-75,6.190832964880147e-61,1.922458639094905e-58,4.2178817161021987e-75,9.51371216010147e-49,1.941829541787047e-55,1.1230709347119592e-48,5.566994060154229e-54,5.053676367531488e-69,2.7624268127980687e-24,1.3614927131057655e-37,3.3262437286234225e-55,5.832459957236305e-49,1.2557999804423146e-39,2.5620369558837725e-44,1.8468159823318468e-59,7.816161137441755e-34,3.224464581043485e-56,4.990515302905533e-50,2.570934102731651e-65,7.082197466240177e-62,3.6360209134367244e-22,2.854978246563155e-74
3.4099606254061483e-20,0.6781890916273536,2.1487033642414897e-24,2.3077173836098738e-26,1.3918530916172918e-32,5.5637610455286065e-24,0.0,0.0,9.927055099883841e-20,2.2807663217353617e-36,1.1140049763025698e-47,3.232673868939792e-49,1.1707407755883394e-50,1.2365159048257137e-62,2.7594103046347853e-43,4.2238088350777606e-36,1.1587518880127018e-33,3.2625868407855224e-49,8.445938099354867e-60,3.4226367395853486e-58,1.72253999883366e-34,4.890538122737278e-53,1.7928001894713264e-24,1.0175975931846416e-64,2.4972523504753296e-50,1.8952113664257508e-54,1.4132592629823233e-37,4.142476038752759e-37,2.8073220986630458e-73,4.0006266919932306e-57,2.6826285199752083e-64,6.944756673794464e-58,6.104275084583729e-51,3.6529188892960513e-65,3.76,0.0,0.5631751729150657,0.9999999999999452,9.257865516355379e-46,5.211821007042085e-48,3.4568673634801685e-16,3.4568673634801685e-16,2.406740600992197e-34,6.425664505110519e-38,5.4862133321236966e-14,5.499303796243513e-38,2.0394050289270003e-39,9.927269970212217e-20,3.5905887558686073e-32,1.2154735469922563e-36,2.228682972231991e-32,1.1332303930132091e-17,3.235465640342071e-37,1.3917910602943867e-32,7.323253389024663e-22,2.873361780808231e-38,1.4383034289295766e-34,1.7754498013718684e-33,3.8468480582212635e-42,3.93833848559604e-43,1.792800189476931e-24,3.745797342252727e-55,1.1587518883846776e-33,1.293737651759205e-34,2.4769483938229997e-49,1.078726343072725e-62,2.1832989172028273e-62,4.20878793571043e-50,9.399404193082892e-65,1.4115313764064298e-69,9.46078660004564e-74,1.7218323214483838e-74,5.013497043040543e-60,1.5568568842156027e-57,6.837368022429989e-74,7.70445076673739e-48,1.572543908344127e-54,9.094919605082866e-48,4.508296123951639e-53,8.192227169465038e-68,5.563761045460851e-24,5.503371230328157e-37,2.6936784101306344e-54,4.7232772901008325e-48,5.076144306088778e-39,1.0356163010406917e-43,1.5017999942556953e-58,3.1594173014186474e-33,2.6112549636718816e-55,4.041448680138452e-49,4.167594969585694e-64,5.8647886245791714e-61,7.323253389028533e-22,4.628042767348263e-73
6.84376712931164e-20,0.6781890916273537,4.312432674025646e-24,4.6315726510376415e-26,5.596580065469774e-32,1.1166429510956596e-23,0.0,0.0,1.9923530165500421e-19,9.170861067950523e-36,8.966481211736635e-47,2.6019371682759132e-48,9.423140283396046e-50,9.95255574654338e-62,1.1095467471657682e-42,1.698374955591648e-35,4.659290377937577e-33,2.6260137281011164e-48,6.798025768406996e-59,2.7548358113433065e-57,6.926257575248704e-34,3.936330548378349e-52,3.598137443196193e-24,1.6388095530352427e-63,2.0100059477035595e-49,1.5285451269011399e-53,5.682653339054629e-37,1.6656713959080674e-36,4.5211072632317905e-72,3.220052408366294e-56,4.3249744171826164e-63,5.601197848738901e-57,4.913251648021009e-50,5.8831169065883085e-64,3.76,0.0,0.5631751729150654,0.9999999999998899,7.45153558365949e-45,4.194926964645916e-47,6.93790862460705e-16,6.93790862460705e-16,9.677398104159726e-34,2.583731436395814e-37,1.1010791791778475e-13,2.2112458696569273e-37,8.200357925497666e-39,1.9923961408735464e-19,1.4437599467484204e-31,4.887365910075869e-36,8.961436210301759e-32,2.274385474089443e-17,1.3009665038887532e-36,5.596330640248798e-32,1.4697718340178477e-21,1.155366134617004e-37,5.783354828820464e-34,7.139005564191337e-33,1.5468006851420872e-41,1.5835885837787797e-42,3.598137443218727e-24,3.01494357802403e-54,4.659290379433297e-33,5.202062197038584e-34,1.9936635569881665e-48,1.7372611175875012e-61,3.5258177737677794e-61,3.3889307206240002e-49,1.5143825207655114e-63,2.2732277665932362e-68,1.5236305159247676e-72,2.7729578725325e-73,4.035298584458272e-59,1.253093920521314e-56,1.1011370415058827e-72,6.201212248885081e-47,1.265720145783045e-53,7.320382538265828e-47,3.6286689334079875e-52,1.319332930412449e-66,1.116642951068415e-23,2.2128813670077338e-36,2.1681067291969663e-53,3.8017044789021924e-47,2.041095299783623e-38,4.1641675986330985e-43,1.211256065468094e-57,1.2703878012783285e-32,2.1017650819679696e-54,3.25290949586236e-48,6.711783218679041e-63,4.9288648036771395e-60,1.4697718340194035e-21,7.453320203187158e-72
1.3711380137122622e-19,0.6781890916273537,8.639891437766989e-24,9.279283185942632e-26,2.244478919414371e-31,2.2371766441814322e-23,0.0,0.0,3.991648029673144e-19,3.677925465034363e-35,7.19503648316581e-46,2.0878907169256398e-47,7.561476628787876e-49,7.986299196503476e-61,4.449778713042811e-42,6.811243188631316e-35,1.8685838334068525e-32,2.1072106362278825e-47,5.4549875641280606e-58,2.2105822461600775e-56,2.7777390721162634e-33,3.158657363632337e-51,7.208811950620342e-24,2.630652274181105e-62,1.6129031872736757e-48,1.2278059851914563e-52,2.278998151846101e-36,6.680087287308225e-36,7.257383466487288e-71,2.5838892658870154e-55,6.946294950945289e-62,4.499186718691616e-56,3.9425750217662766e-49,9.443868731498238e-63,3.76,0.0,0.5631751729150647,0.9999999999997794,5.97938802456658e-44,3.3661647018533457e-46,1.3899991146860802e-15,1.3899991146860802e-15,3.881069471870685e-33,1.0361918661996701e-36,2.2059948709084304e-13,8.868084941245471e-37,3.288710298477208e-38,3.991734428574542e-19,5.790123123853506e-31,1.9600525120880777e-35,3.5939367303577945e-31,4.5566956362418983e-17,5.2174575521008754e-36,2.2443788887450946e-31,2.9446648242390184e-21,4.6335349504149526e-37,2.3193839532058523e-33,2.8630605310639433e-32,6.20336257080465e-41,6.350898499561847e-42,7.208811950710713e-24,2.4193023468102395e-53,1.8685838340067201e-32,2.0862596089019407e-33,1.5997894479367383e-47,2.7886931569950507e-60,5.667476482576255e-60,2.7199359168183477e-48,2.431429174211433e-62,3.649034009321592e-67,2.445764411214112e-71,4.4512115028599106e-72,3.238072979533354e-58,1.0055290449826657e-55,1.7675688164442343e-71,4.976082290617524e-46,1.0156607049123697e-52,5.874145965324277e-46,2.9117782933975645e-51,2.117821541478902e-65,2.2371766440721682e-23,8.874644017072931e-36,1.7397691075856582e-52,3.050628421320555e-46,8.185705054309945e-38,1.670017454166735e-42,9.729467282688829e-57,5.09482327795752e-32,1.686533974366022e-53,2.610255009342076e-47,1.0773898501599818e-61,4.289515957353269e-59,2.9446648242452574e-21,1.1964229590699446e-70
