Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137)
0.0,0.9284026736375605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7669619891505868,1.0,0.0,0.0,0.0,0.0,0.0
2.198956991591988e-22,0.9284026736375607,3.9861051434209795e-56,1.1576731999103273e-24,2.050770073588888e-71,1.1891729147793469e-88,0.0,0.0,1.1179871504722435e-57,2.1869485804503333e-129,1.1058958420505888e-70,2.3863058378950295e-88,1.249125461659112e-67,1.4915465997567653e-113,1.450017639522993e-89,3.508058077313782e-73,1.4915466426474642e-113,1.0363162656029169e-88,1.3214598981339576e-72,4.097903858468195e-56,2.267619823268515e-34,2.343937110711643e-53,2.8121249043428254e-88,3.8793964083476695e-193,2.48767956352933e-131,1.2690923802650532e-120,2.6086211844507566e-91,-5.6901872698191574e-158,0.0,0.0,4.284226726095985e-147,0.0,1.2141687025133483e-106,0.0,3.76,0.0,0.7669619891505866,1.0,3.368027863209481e-89,1.6798915249341383e-194,2.263846284534353e-16,2.263846284534353e-16,2.2129670076785763e-34
6.157079576457567e-22,0.9284026736375605,4.732304026269386e-55,3.2414849597489172e-24,4.587490623815399e-70,6.849027132596658e-87,0.0,0.0,1.3272743450406485e-56,2.3303634196796713e-127,2.4770272731262106e-69,1.3739377169715632e-86,2.794243692712956e-66,1.1509441777113949e-111,8.351378853867417e-88,1.102989588436688e-71,1.1509442403034301e-111,5.968651095944801e-87,4.154881353316864e-71,4.865031460773431e-55,1.3696423732541833e-33,2.7827221378368557e-52,1.61963996410634e-86,3.9891150218766096e-180,3.4801658830140226e-129,1.709481132336153e-118,1.246169643266337e-89,1.906255776987428e-155,2.98695781378075e-239,1.7717900547808815e-221,1.083107875499647e-144,1.3499835269589895e-173,1.0561830136122298e-104,8.051832639727638e-192,3.76,0.0,0.7669619891505861,1.0,1.93981160618206e-87,2.59567843547863e-162,6.338769596696186e-16,6.338769596696186e-16,1.336632072637527e-33
1.4073324746188722e-21,0.9284026736375608,4.6462041551714864e-54,7.409108479426095e-24,9.064108414372271e-69,3.071391237868082e-85,0.0,0.0,1.3031258225904481e-55,5.303361905067852e-125,4.897002352316687e-68,6.160709361941884e-85,5.520954666466711e-65,1.2543552655944945e-109,3.745109916852517e-86,2.4607090964297334e-70,1.254355399035456e-109,2.676593671344733e-85,9.269311739545927e-70,4.7765167374304896e-54,6.59423844606484e-33,2.732093096245465e-51,7.263145404376637e-85,9.871818599244176e-177,7.566288189991421e-127,3.7402480187700446e-116,6.488779496703566e-88,2.070673909505472e-152,5.36101633398174e-235,1.9085362702557163e-217,4.7018089845146926e-142,3.2503815773499657e-170,1.0978221385982509e-102,3.707166928748523e-188,3.76,0.0,0.7669619891505853,1.0,8.698929431870384e-86,3.1971963444501326e-159,1.4488616221019843e-15,1.4488616221019843e-15,6.435308058324304e-33
2.9905815085651037e-21,0.9284026736375611,4.109514958661275e-53,1.574435551878045e-23,1.6129096629920993e-67,1.1555341469476344e-83,0.0,0.0,1.1526000326508656e-54,8.962447166135989e-123,8.716253394630299e-67,2.3177254331449364e-83,9.824243845501276e-64,1.0261404903987225e-107,1.409004178190116e-84,4.6086358056610786e-69,1.0261407070816008e-107,1.007001435248483e-83,1.736039503356472e-68,4.22477496192629e-53,2.87987717555101e-32,2.416505403659217e-50,2.7325768288731917e-83,1.5111039598686541e-173,1.2398111400721571e-124,6.147510881433542e-114,2.5895015605151833e-86,1.5201508016647023e-149,9.53921440534857e-231,1.438175557262162e-213,1.5420280432895728e-139,5.112546082754657e-167,8.787723163707713e-101,1.1946283806569312e-184,3.76,0.0,0.7669619891505837,1.0,3.2727546645575695e-84,2.4478219536060933e-156,3.078830946966712e-15,3.078830946966712e-15,2.8104680997466295e-32
6.157079576457567e-21,0.9284026736375616,3.454294939606292e-52,3.2414849597489164e-23,2.7204078944685556e-66,4.0012478790561165e-82,0.0,0.0,9.688297768048404e-54,1.3122996874078457e-120,1.4703106688371802e-65,8.025411925663076e-82,1.6570023187104968e-62,7.38520763502267e-106,4.878934549495224e-83,7.960272267495828e-68,7.385210742879337e-106,3.4869262562580515e-82,2.998576519513818e-67,3.551177917286654e-52,1.2022920302969627e-31,2.0312183971488306e-49,9.462045989525292e-82,1.871794735094697e-170,1.7861096219511842e-122,8.871272021321413e-112,9.203494123623944e-85,9.262108467095634e-147,1.1182123917066538e-226,7.858674046821273e-210,4.444858104342727e-137,6.425377602776224e-164,6.256429493191897e-99,3.044491044796291e-181,3.76,0.0,0.7669619891505804,1.0,1.133251033283867e-82,1.516003064737045e-153,6.338769596696155e-15,6.338769596696155e-15,1.1733151074665357e-31
1.2490075712242493e-20,0.9284026736375627,2.83203969119898e-51,6.575583775490658e-23,4.4682781355380035e-65,1.3312403723930387e-80,0.0,0.0,7.943051852542491e-53,1.7944588201671243e-118,2.415141029042846e-64,2.670083682118264e-80,2.721631284148184e-61,5.0059342100348944e-104,1.6232523292439107e-81,1.3226111428385587e-66,5.0059384159350156e-104,1.1601223288828214e-80,4.98217973467732e-66,2.9114702097242053e-51,4.911755241992498e-31,1.6653155630290327e-48,3.1480823001808136e-80,2.1029377777477575e-167,2.4224209384707988e-120,1.2042149112267243e-109,3.09999029359433e-83,5.164831445848191e-144,1.0884206860138929e-222,3.702933946162244e-206,1.2059347105101155e-134,7.271460237953391e-161,4.2180408736073675e-97,6.939144223914659e-178,3.76,0.0,0.7669619891505739,1.0,3.7703975688691696e-81,8.515616719856079e-151,1.2858646896154982e-14,1.2858646896154982e-14,4.793375057272771e-31
2.515606798381234e-20,0.9284026736375647,2.293459167520291e-50,1.3243781406974144e-22,7.24327140888304e-64,4.343178748569609e-79,0.0,0.0,6.432489327715118e-52,2.3733435729985818e-116,3.915169486996714e-63,8.71112801119542e-79,4.411881594657156e-60,3.29613186955688e-102,5.295869421425618e-80,2.156189972643089e-65,3.2961374035278813e-102,3.784905227511634e-79,8.122210404762003e-65,2.357784060797117e-50,1.985410001023072e-30,1.3486157191624062e-47,1.027063513729578e-78,2.2542735705101987e-164,3.1907672135201017e-118,1.586862095194561e-107,1.0174478543573284e-81,2.758605769940468e-141,9.7037909246547e-219,1.6253868689699732e-202,3.177218933987827e-132,7.823051777556319e-158,2.769918452007682e-95,1.4983449458906556e-174,3.76,0.0,0.7669619891505609,1.0,1.2300941989412812e-79,4.564062752110707e-148,2.5898401495072415e-14,2.5898401495072424e-14,1.9375588376066088e-30
5.048805252695204e-20,0.9284026736375692,1.8459754644584237e-49,2.6580176669941114e-22,1.1665065306388991e-62,1.4032817083704848e-77,0.0,0.0,5.177427024869105e-51,3.0877850560817403e-114,6.305357512609682e-62,2.814561327024949e-77,7.105199297461032e-59,2.1395473657050382e-100,1.7110962279769e-78,3.482252565293619e-64,2.139554546953855e-100,1.2229034495603289e-77,1.31173914992147e-63,1.8977497347065916e-49,7.983246292609495e-30,1.0854832576975711e-46,3.3184437610924312e-77,2.3614845416515385e-161,4.142774819454242e-116,2.0607723766836914e-105,3.297100278312142e-80,1.4424405115653246e-138,8.289783331151414e-215,6.892258718997128e-199,8.250825826677449e-130,8.20994647469334e-155,1.795578653352851e-93,3.150405073435871e-171,3.76,0.0,0.7669619891505348,1.0,3.9744362110710735e-78,2.3905171632806565e-145,5.1977910692906396e-14,5.1977910692906415e-14,7.790838868950316e-30
1.0115202161323145e-19,0.928402673637578,1.4812790547537507e-48,5.325296719587506e-22,1.87250132390211e-61,4.5121662345939175e-76,0.0,0.0,4.154559124492697e-50,3.984623042142633e-112,1.0121573563905043e-60,9.050040552643197e-76,1.1405418436696576e-57,1.3789944857516936e-98,5.5019249679134095e-77,5.597619295613262e-63,1.3790037408039607e-98,3.9321710105393223e-76,2.1085823726845135e-62,1.522824645997837e-48,3.2016388227536804e-29,8.710319529541558e-46,1.067025230989275e-75,2.4457386681361465e-158,5.340569274774587e-114,2.6568837482316797e-103,1.061718824625692e-78,7.463219202002657e-136,6.93425384807176e-211,2.8738700745085738e-195,2.1273341569867494e-127,8.510532148595147e-152,1.156526502186161e-91,6.5372173457634715e-168,3.76,0.0,0.7669619891504826,1.0,1.2779555784252824e-76,1.2378911971146771e-142,1.0413692908857078e-13,1.0413692908857087e-13,3.1244748401279537e-29
