Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49)
0.0,0.8501186099016999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6115956337491744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.389645851259645e-23,0.8501186099016999,1.9174933413745215e-25,6.055629447535727e-26,1.6922953243702563e-36,1.7558591966352685e-40,0.0,0.0,7.159862016115889e-21,2.6082191158366087e-39,2.94088118238898e-53,1.1712490339550405e-54,3.6997230709734015e-60,1.2549903934072704e-65,7.505646342141248e-45,5.515912801761387e-39,2.64877761433097e-36,4.106859259606552e-54,3.7463130524381065e-62,2.204619724786106e-59,2.4710358159825902e-36,3.827490148227127e-56,1.0316255392009808e-24,6.801395294942589e-88,9.095227528016244e-55,1.0862639754650803e-57,4.270654027613714e-55,3.513352283282421e-75,5.540816725927332e-88,5.188170960035449e-88,4.028368492026776e-71,1.9056294651911178e-77,1.2028349738411815e-70,-1.715594867236636e-113,3.76,0.0,0.6115956337491744,0.9999999999999997,5.84510871256027e-52,1.5210967021040314e-52,2.361571331218982e-17,2.361571331218982e-17,2.8774082190180306e-36,4.2581400192984496e-39,3.9860098826229116e-16,4.200839540096469e-40,3.8475148718593957e-41,7.160053765449905e-21,2.3317853144943695e-35,3.687234678910147e-44,4.724081552146947e-35,1.3594937508384807e-18,1.4213125721657611e-39,1.6919614557011173e-36,1.598927478474085e-36,3.2213225562037477e-40,3.0414994206163564e-37,1.7765513259334796e-36,2.3306008916334538e-66,5.505494251427178e-57,1.0316255392009964e-24,3.278933951889141e-81,2.648777646978065e-36,8.266027974157687e-39,2.525687001796164e-52,6.358644592910728e-72
1.7891008383527007e-22,0.8501186099016999,5.3689813573813885e-25,1.695576245310016e-25,1.0221463759196372e-35,1.0605389550202933e-39,0.0,0.0,2.0047613645124477e-20,1.575364345965311e-38,3.491414139736757e-52,1.3905068531114146e-53,4.392311230056339e-59,1.4899245950535208e-64,4.533410390654698e-44,3.331611332263857e-38,1.5998616790558916e-35,4.875663313004865e-53,4.447622855865313e-61,2.617324537266062e-58,1.4925056328534839e-35,4.543996303975238e-55,2.8885515097627284e-24,3.2504073603066555e-86,1.0797854121260688e-53,1.6415621197228408e-56,6.43843146216546e-54,1.1046541715109448e-73,2.64691464242096e-86,2.478451530010412e-86,9.011299181973465e-70,5.374179992556338e-76,3.5852773425786594e-69,9.344235805916726e-111,3.76,0.0,0.6115956337491744,0.9999999999999989,6.9393130640972e-51,1.8058460047378912e-51,6.612399727413148e-17,6.612399727413148e-17,1.737954564286762e-35,2.5719165716562013e-38,1.1160827671342151e-15,2.5373070822182746e-39,2.3238989826034803e-40,2.004815054325949e-20,1.4083983299545258e-34,2.227147222158863e-43,2.8533452574967273e-34,3.806582502347746e-18,8.584727935881187e-39,1.0219447192434739e-35,9.657521969983095e-36,1.9456788239474285e-39,1.837065650052189e-36,1.0730370008637985e-35,2.767281092540068e-65,6.536122775294296e-56,2.888551509762821e-24,9.911977756774534e-80,1.5998616987747377e-35,4.992680896390929e-38,2.998495608532384e-51,1.9992595983246023e-70
4.089373344806173e-22,0.8501186099016999,1.2271957395526034e-24,3.8756028464229505e-25,4.921194803268743e-35,5.10603854760423e-39,0.0,0.0,4.582311690314161e-20,7.584701188852847e-38,3.427891106199066e-51,1.3652078739779671e-52,4.3123972121292526e-58,1.4628168025567846e-63,2.18264195629675e-43,1.6040274427521798e-37,7.702645302474246e-35,4.786955152997297e-52,4.3667024939541585e-60,2.5697047512106776e-57,7.185772152877371e-35,4.461322516773523e-54,6.6024034508861516e-24,1.6920613993679342e-84,1.0601397206655131e-52,1.7659176196341083e-55,6.920875955413642e-53,2.464422689790563e-72,1.3782429658307546e-84,1.2905245714690685e-84,1.7804808649835738e-68,1.1690015351574286e-74,7.902317015694024e-68,1.0111317196460997e-108,3.76,0.0,0.6115956337491743,0.9999999999999974,6.8130587161351e-50,1.7729903159724128e-50,1.511405651980148e-16,1.511405651980148e-16,8.367503100902518e-35,1.2382671176118966e-37,2.5510463248772637e-15,1.2216041382600634e-38,1.11885732473731e-39,4.5824344098877665e-20,6.780831694548526e-34,1.0723340587727726e-42,1.373762915364288e-33,8.700760005366274e-18,4.133176959858022e-38,4.920223913178837e-35,4.6496811074020707e-35,9.36760599344588e-39,8.844680315151011e-36,5.16621125581421e-35,2.7177627126657246e-64,6.417204099463358e-55,6.602403450886596e-24,2.1864388871241403e-78,7.702645397412e-35,2.403760934884586e-37,2.9439407692935414e-50,4.4602381847452224e-69
8.689918357713118e-22,0.8501186099016999,2.607790949633899e-24,8.235656048649017e-25,2.1492150619502657e-34,2.229941183641958e-38,0.0,0.0,9.73741234191757e-20,3.3124382771124824e-37,3.0319308638022506e-50,1.2075109040462306e-51,3.814266498509148e-57,1.2938448959898286e-62,9.532170854540831e-43,7.005209258236637e-37,3.3639475702001103e-34,4.2340076222837634e-51,3.8622989046084786e-59,2.272874751465469e-56,3.1382154862978887e-34,3.9459892432162087e-53,1.403010733313271e-23,6.751985823738316e-83,9.376815772282372e-52,1.6231825332580397e-54,6.359558207141568e-52,4.615590955370845e-71,5.500205873578077e-83,5.150144787173304e-83,3.168270568513953e-67,2.1671318315413213e-73,1.4728648819287427e-66,8.20936745236317e-107,3.76,0.0,0.611595633749174,0.9999999999999946,6.026073279081498e-49,1.5681898560010753e-49,3.211737010457814e-16,3.211737010457814e-16,3.6543084381509193e-34,5.407837824508077e-37,5.420973440360163e-15,5.335066215922626e-38,4.88634388726756e-39,9.737673121011007e-20,2.9613673494067122e-33,4.683678921721476e-42,5.999583571226168e-33,1.848911501140333e-17,1.8050669666505054e-37,2.1487910487404085e-34,2.0306378976615e-34,4.0910796463842726e-38,3.862704264181374e-35,2.2562201839351597e-34,2.40530635333174e-63,5.675944353451029e-54,1.4030107333134652e-23,4.077439011511109e-77,3.363947611661923e-34,1.0497855527175417e-36,2.6038822713716327e-49,8.353532495904275e-68
1.7891008383527006e-21,0.8501186099016999,5.368981379605956e-24,1.695576245310193e-24,8.972549809811461e-34,9.309565495796703e-38,0.0,0.0,2.004761364512432e-19,1.3828777752165599e-36,2.548520578565141e-49,1.0149856728407899e-50,3.206120820013183e-56,1.0875545950852888e-61,3.9794936906225915e-42,2.924536967493595e-36,1.4043818911180812e-33,3.55893852462651e-50,3.2464949503546295e-58,1.910488179584017e-55,1.3101431896339686e-33,3.3168417226112027e-52,2.888551509762467e-23,2.399674171081676e-81,7.881778652136155e-51,1.3886668310669993e-53,5.440003731605946e-51,7.97228556015348e-70,1.9548593136015322e-81,1.8304421204879768e-81,5.34375139796233e-66,3.724745913861199e-72,2.538104706725899e-65,5.888844344212797e-105,3.76,0.0,0.6115956337491737,0.9999999999999888,5.0652776892590223e-48,1.3181580644959442e-48,6.612399727413144e-16,6.612399727413144e-16,1.5256018377215787e-33,2.2576658382311787e-36,1.1160827671313167e-14,2.227285124159248e-37,2.039952385065345e-38,2.0048150543255908e-19,1.236312573743891e-32,1.955773618313191e-41,2.5047080389479025e-32,3.806582502347743e-17,7.535799257622771e-37,8.970779638127232e-34,8.477513490864312e-34,1.7079452193041691e-37,1.612602992809533e-34,9.419275130096079e-34,2.024287977044581e-62,4.77097323037816e-53,2.8885515097632776e-23,7.030805346250965e-76,1.4043819084275726e-33,4.3826480318940484e-36,2.188719944764273e-48,1.4428650009854652e-66
3.629318843515478e-21,0.8501186099017001,1.0891362278787923e-23,3.4395975262010876e-24,3.665579364399256e-33,3.803261284113434e-37,0.0,0.0,4.0668016251537557e-19,5.649506933666643e-36,2.0894311454356906e-48,8.321465774462078e-50,2.62857155590637e-55,8.916429643362126e-61,1.625753020309506e-41,1.1947687765124756e-35,5.73735826374377e-33,2.9178328244973683e-49,2.661672705369509e-57,1.5663336364569616e-54,5.352362418850924e-33,2.7193472393328084e-51,5.859633062660398e-23,8.082628043102745e-80,6.461958336027856e-50,1.1481765901098193e-52,4.497614005701626e-50,1.3246071697654013e-68,6.584504554305025e-80,6.165433181911966e-80,8.777127717433222e-65,6.173493192342645e-71,4.212230567353652e-64,3.9854898240708907e-103,3.76,0.0,0.611595633749173,0.9999999999999774,4.152820680857581e-47,1.0807056210294331e-47,1.3413725161323797e-15,1.3413725161323797e-15,6.232581298706735e-33,9.22330160739394e-36,2.2640536133168004e-14,9.099186477431409e-37,8.333871113088744e-38,4.066910538773938e-19,5.050740262598717e-32,7.993486305739127e-41,1.0232549605208903e-31,7.721924504762558e-17,3.078619883813847e-36,3.6648561915067704e-33,3.4633408754695315e-33,6.977513509681323e-37,6.588009405021194e-34,3.848081234022219e-33,1.663705581585678e-61,3.9115321043249016e-52,5.859633062663712e-23,1.1677535495560015e-74,5.7373583344586944e-33,1.7904547233107628e-35,1.7944448476067416e-47,2.39734177900835e-65
7.309754853841034e-21,0.8501186099017003,2.1936124234103287e-23,6.927640087984131e-24,1.4816857866619812e-32,1.5373390324361396e-36,0.0,0.0,8.190882146436295e-19,2.283621030432442e-35,1.6920755137345064e-47,6.738938732727548e-49,2.1286853995295576e-54,7.220755899313333e-60,6.571553643703522e-41,4.829446421754543e-35,2.319131942670866e-32,2.3629366712020333e-48,2.1554915655041958e-56,1.2684575887447158e-53,2.16351046661192e-32,2.202197898249919e-50,1.1801796168454418e-22,2.652778084176196e-78,5.2330613980957516e-49,9.336781346432676e-52,3.6572717751706565e-49,2.1594440015580533e-67,2.161100324891101e-78,2.0235569042837065e-78,1.422810226206073e-63,1.0051933290255358e-69,6.863031975944957e-63,2.6222637797971687e-101,3.76,0.0,0.6115956337491716,0.9999999999999544,3.3630618565117427e-46,8.751834310947384e-47,2.7016376029145065e-15,2.7016376029145065e-15,2.519309011332394e-32,3.728205977610736e-35,4.559995305667299e-14,3.6780366576530844e-36,3.3686839510648974e-37,8.191101507668102e-19,2.0415899685277863e-31,3.2339350388675457e-40,4.136160154816302e-31,1.555260850959217e-16,1.2444273799345235e-35,1.481393468616138e-32,1.3999377559193462e-32,2.8204225214733925e-36,2.6629787347130427e-33,1.5554559603161566e-32,1.3539072884034888e-60,3.1676601113996573e-51,1.1801796168467814e-22,1.9050725501261885e-73,2.319131971254974e-32,7.237304260687476e-35,1.4531879617160132e-46,3.908272157605685e-64
1.4670626874492146e-20,0.8501186099017007,4.402564877253975e-23,1.3903725211555223e-23,5.957793381260509e-32,6.181572735173246e-36,0.0,0.0,1.6439043189000945e-18,9.182339726066859e-35,1.3619295806962149e-46,5.4240841665163705e-48,1.713351206196216e-53,5.811892539444311e-59,2.642392817445239e-40,1.9418991655096534e-34,9.325127542345512e-32,1.901897003826928e-47,1.7349271357210397e-55,1.0209650207378675e-52,8.699380431599311e-32,1.7725204553985976e-49,2.3686122380035083e-22,8.596451172906473e-77,4.212023079234633e-48,7.530452404034261e-51,2.949677134031919e-48,3.4875078347303434e-66,7.003174120489138e-77,6.557456486400509e-77,2.291392006506383e-62,1.6223860857425894e-68,1.1080609783022112e-61,1.7015074045424504e-99,3.76,0.0,0.6115956337491688,0.9999999999999084,2.7068847618925445e-45,7.044237645823617e-46,5.422167776478749e-15,5.422167776478749e-15,1.0130030731281123e-31,1.4990952263492444e-34,9.151878690286421e-14,1.4789223634496923e-35,1.3545330007285152e-36,1.6439483445446306e-18,8.20914347103218e-31,1.302635035269575e-39,1.6631318067572273e-30,3.1213976519251314e-16,5.003787762811929e-35,5.956617983253499e-32,5.629088145037294e-32,1.134079491229573e-35,1.0707720370185604e-32,6.254420004983606e-32,1.1003594923471594e-59,2.5496084378544804e-50,2.3686122380088954e-22,3.083164015850675e-72,9.325127657280987e-32,2.910088212389502e-34,1.1696520960838727e-45,6.31186997405382e-63
2.939237091579437e-20,0.8501186099017015,8.820470036063555e-23,2.7855895458717436e-23,2.389341614708067e-31,2.4790872249120236e-35,0.0,0.0,3.2935365274128523e-18,3.6825289203345675e-34,1.0928627171795633e-45,4.3524859467365304e-47,1.3748564482446594e-52,4.663677742875217e-58,1.0597177037469541e-39,7.787884189316804e-34,3.739793220999155e-31,1.5261525682801967e-46,1.392169764963239e-54,8.192601310109398e-52,3.4888406423708923e-31,1.4223360360180562e-48,4.745477480316692e-22,2.768188833905429e-75,3.37988325712943e-47,6.048868894495375e-50,2.3693231152304407e-47,5.6060670007578166e-65,2.25513365326335e-75,2.111605473141052e-75,3.67819163721318e-61,2.607130885855087e-67,1.7809179268032757e-60,1.096465961474094e-97,3.76,0.0,0.6115956337491633,0.9999999999998166,2.1721045477726874e-44,5.652557080175847e-45,1.0863228123607186e-14,1.0863228123607186e-14,4.0625953999012e-31,6.012042344368284e-34,1.8335645459197156e-13,5.93114014162956e-35,5.432283162738118e-36,3.2936247320962238e-18,3.292233694776133e-30,5.242468708137167e-39,6.669902398968325e-30,6.253671253856931e-16,2.0067426927649884e-34,2.3888702275352605e-31,2.2575161132686363e-31,4.548165989392764e-35,4.2942747829144377e-32,2.5083021577628293e-31,9.000083558040529e-59,2.045900202645144e-49,4.745477480338295e-22,4.978582793364073e-71,3.7397932670934517e-31,1.1670755300347184e-33,9.385721449903385e-45,1.0146146638032407e-61
