Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136)
0.0,0.818591706857928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8950940344807795,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.590588597324114e-21,0.8185917068579283,1.2851588079189547e-57,9.348891905768449e-26,2.941852528544553e-72,2.315628687049949e-88,0.0,0.0,1.6156195967008722e-58,2.4675820189980915e-130,3.3721192611160388e-71,4.642380357455286e-88,6.506557447784289e-67,1.9198176599050386e-111,2.7899602818211716e-90,8.666345405809167e-74,4.1852713553412385e-116,2.0179770693245742e-88,3.264549122266444e-73,1.4467207675890112e-57,1.1373985585939926e-34,1.4895050733695187e-53,3.943258522963415e-88,-5.1206265446301695e-188,1.848346578681441e-133,9.106445542886903e-119,1.7226469221645928e-90,-1.2241458195579614e-156,4.0009748263788976e-252,3.825426527454306e-230,1.6255929249519634e-148,6.848456051883537e-119,5.682057865220859e-105,-4.2408380552701185e-191,3.76,0.0,0.8950940344807793,1.0,6.558425475304863e-89,-2.045888423050212e-170,2.291287847477919e-16,2.291287847477919e-16,1.4113330326437317e-34,1.0987653420786956e-37
4.45364807250752e-21,0.8185917068579283,1.5257405367613802e-56,2.6176897336151654e-25,6.580806432253015e-71,1.3336835635519738e-86,0.0,0.0,1.918063585203277e-57,2.6294001256071396e-128,7.551158012551241e-70,2.6736051288084857e-86,1.4554908748395029e-65,2.00947726311915e-109,1.6068747361679746e-88,2.724837657112856e-72,3.2338789739650385e-114,1.1622514715049881e-86,1.0264264768265234e-71,1.7175468952816383e-56,6.869887293907715e-34,1.7683404231042486e-52,2.2711150143902624e-86,4.4081555424051834e-182,2.5892110324914596e-131,1.814991612898736e-116,1.0464344022536641e-88,4.1009024422795734e-154,4.3425259938110644e-243,3.2599273171412675e-224,4.115165588027959e-146,1.3670624754458044e-116,6.269713858561783e-103,4.46590424688323e-188,3.76,0.0,0.8950940344807788,1.0,3.777317282391211e-87,9.889618818552066e-165,6.415605972938172e-16,6.415605972938172e-16,8.524451517155447e-34,6.636542666152239e-37
1.017976702287433e-20,0.8185917068579283,1.4979811065103243e-55,5.9832908196918075e-25,1.300256454940276e-69,5.980796880898174e-85,0.0,0.0,1.8831662019145418e-56,5.983899481756523e-126,1.4926767189832077e-68,1.1989342845324564e-84,2.8758046974930865e-64,1.8051504751383338e-107,7.205901023905077e-87,6.078962919908449e-71,3.5295502105349597e-112,5.212023425619325e-85,2.2899010061583446e-70,1.6862977267016405e-55,3.3075550083913285e-33,1.736167113519376e-51,1.0184632970993013e-84,1.0924829308832296e-178,5.637426801224272e-129,3.290566384111402e-114,4.727994221900827e-87,4.45460422728799e-151,7.815833919539773e-239,3.8842703077950285e-220,1.7890066152402862e-143,2.4768808244261677e-114,5.676909260326716e-101,1.9361168212671435e-184,3.76,0.0,0.8950940344807781,1.0,1.6939076133262796e-85,1.2199378516358406e-161,1.466424222385867e-15,1.466424222385867e-15,4.104156458908934e-33,3.1952096147602225e-36
2.1632004923607953e-20,0.8185917068579285,1.3249473246121063e-54,1.2714492991845093e-24,2.313736889130376e-68,2.250125264612158e-83,0.0,0.0,1.665639179414742e-55,1.0112525585225993e-123,2.656706505633809e-67,4.510657909289703e-83,5.117340805532719e-63,1.3612188678016144e-105,2.7110401150806823e-85,1.1385224777127413e-69,2.896338828704184e-110,1.9608934767861952e-83,4.2887311562803563e-69,1.4915112425533352e-54,1.4444961694143687e-32,1.5356201504407552e-50,3.8317134681524774e-83,1.6774135831835495e-175,9.26599296976641e-127,4.989472318231097e-112,1.7858291634960627e-85,3.270268504401467e-148,1.3971039723561146e-234,3.34486683674307e-216,5.885386783159949e-141,3.7544862521726872e-112,4.297901068025299e-99,5.703196544794311e-181,3.76,0.0,0.8950940344807764,1.0,6.3729037995551315e-84,9.368526510926456e-159,3.1161514725699638e-15,3.1161514725699638e-15,1.792392951437868e-32,1.395431984435166e-35
4.4536480725075196e-20,0.8185917068579289,1.1136980604016047e-53,2.6176897336151665e-24,3.9024554464115585e-67,7.79146939657425e-82,0.0,0.0,1.4000700925874472e-54,1.4806965015691584e-121,4.481386141572472e-66,1.561892587303754e-81,8.631143234784659e-62,9.438053630075046e-104,9.387471287181186e-84,1.966514449704141e-68,2.0975547332771955e-108,6.78995154385556e-82,7.407716540358464e-68,1.2537050696599348e-53,6.030487157665331e-32,1.2907812645003342e-49,1.326800720521989e-81,2.090653047363197e-172,1.3432037980407096e-124,6.93897592458711e-110,6.196859324483801e-84,1.9925365491582294e-145,1.6532209492541506e-230,2.2919684090788137e-212,1.706996946222933e-138,5.2206347930214155e-110,2.98633986125601e-97,1.3931273275798541e-177,3.76,0.0,0.8950940344807731,1.0,2.2067342517530554e-82,5.83794743359104e-156,6.415605972938144e-15,6.415605972938144e-15,7.482887738900025e-32,5.825653843658251e-35
9.034543232800968e-20,0.8185917068579299,9.130769567198792e-53,5.31017060247648e-24,6.409794789070845e-66,2.592270945090531e-80,0.0,0.0,1.1478620505753053e-53,2.0247272194964944e-119,7.361064095435931e-65,5.1965070504673895e-80,1.4176678680825467e-60,6.2840055494861655e-102,3.1232708441060995e-82,3.26739316989391e-67,1.439512341377172e-106,2.25905964713772e-80,1.2308031823576998e-66,1.0278631617767289e-52,2.4636507738569162e-31,1.0582604663561446e-48,4.414349569594241e-80,2.377776615000855e-169,1.844344864768939e-122,9.253892090713508e-108,2.063969907351135e-82,1.111098192955106e-142,1.6397101221030179e-226,1.5188643271696697e-208,4.688641585966602e-136,6.961755193585108e-108,1.990536670009373e-95,3.1114369724857035e-174,3.76,0.0,0.8950940344807665,1.0,7.341943853197578e-81,3.3195495766900605e-153,1.3014514973674458e-14,1.3014514973674458e-14,3.0570038018777353e-31,2.3799696815197374e-34
1.8196333553387865e-19,0.8185917068579318,7.394333926704516e-52,1.0695132340199108e-23,1.0390553569891636e-64,8.457297654673918e-79,0.0,0.0,9.295684488892769e-53,2.6778955746779678e-117,1.193290310418532e-63,1.6953619017601505e-78,2.2981007056145695e-59,4.101577710131905e-100,1.0189687658997794e-80,5.326675514380334e-66,9.71190498894399e-105,7.370194034574233e-79,2.006519825926502e-65,8.323902375582751e-52,9.958470331798406e-31,8.570067629098908e-48,1.4401838794048733e-78,2.6110046686246396e-166,2.4889538993886976e-120,1.208911386057462e-105,6.7373920809526485e-81,5.934523549748761e-140,1.517077572713213e-222,1.0521924539914744e-204,1.2655511422271603e-133,9.094358537267648e-106,1.2999457902530129e-93,6.651992900834155e-171,3.76,0.0,0.8950940344807533,1.0,2.3953130612366204e-79,1.8223702181356972e-150,2.6212332975146886e-14,2.6212332975146886e-14,1.2356898139418547e-30,9.620217976963755e-34
3.6519914194561657e-19,0.8185917068579357,5.951603236723873e-51,2.1465055815644362e-23,1.6733666201388942e-63,2.7325541471087475e-77,0.0,0.0,7.48197558293466e-52,3.4840155598674127e-115,1.9217814359042714e-62,5.4777148338452846e-77,3.7010203398855494e-58,2.6508495223346153e-98,3.2922896232278014e-79,8.602595183987555e-65,6.607269154138578e-103,2.3813108035806173e-77,3.2405348785571295e-64,6.699800794999555e-51,4.004257121472392e-30,6.897936006920197e-47,4.653236285304965e-77,2.865335813331509e-163,3.386398432371127e-118,1.5632270780759157e-103,2.1774487400412507e-79,3.103088011264509e-137,1.3926897771556824e-218,7.729668707711242e-201,3.4436413538395313e-131,1.175956727513037e-103,8.403885645396085e-92,1.3917853349233149e-167,3.76,0.0,0.8950940344807269,1.0,7.739260111636969e-78,9.997746178111955e-148,5.260796897809096e-14,5.2607968978090975e-14,4.9686543937434704e-30,3.868247337158867e-33
7.316707547690925e-19,0.8185917068579434,4.775786778590008e-50,4.300490276653487e-23,2.686124020126308e-62,8.786360203526284e-76,0.0,0.0,6.003814206942228e-51,4.4959375173116755e-113,3.0849042600480523e-61,1.7613252722592879e-75,5.940957297851599e-57,1.7048606332582944e-96,1.0586155291617037e-77,1.3828420509784457e-63,4.6493981400557525e-101,7.656958783029497e-76,5.209065173820821e-63,5.376168199255685e-50,1.6058862004874237e-29,5.5351592286986665e-46,1.4962195774751758e-75,3.237171130993688e-160,4.7647120341653826e-116,2.0111189144026747e-101,7.002412856739082e-78,1.6055445554837442e-134,1.3345397898961158e-214,5.94533114747418e-197,9.689330755678317e-129,1.5128743588962565e-101,5.4056062589621704e-90,2.8809622657983015e-164,3.76,0.0,0.895094034480674,1.0,2.4885116044845644e-76,5.6460618318352355e-145,1.0539924098397599e-13,1.0539924098397603e-13,1.9926526399859031e-29,1.5513401936932286e-32
