Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158)
0.0,0.7965188639668142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7412346192430941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3893549020327939e-22,0.7965188639668142,1.2813440160318305e-25,8.232942165006616e-27,3.1849417426475226e-36,2.1272962595925153e-24,0.0,0.0,4.611310161426807e-21,2.239742161307181e-39,5.934824693795032e-53,2.0291012749951025e-54,1.45864432197617e-54,2.2752910702260567e-66,1.688686894985339e-45,4.220240372344482e-39,1.5193898825096658e-36,5.260856076639329e-54,4.234791354426862e-63,8.20789938864941e-61,7.249795928929165e-37,8.963651285066448e-57,3.383625050487999e-25,4.817951564251625e-71,6.03589997818716e-55,2.252367802822398e-58,3.221623752110619e-39,5.965890959183397e-39,6.653372746720181e-78,4.8856525607524575e-60,1.0939549614678972e-70,1.257489723619133e-61,9.541529463728524e-55,1.1682759131821904e-70,3.76,0.0,0.7412346192430941,0.9999999999999994,2.4069716729026678e-51,1.3368453934914823e-52,1.6639023006775368e-17,1.6639023006775368e-17,8.994059460178756e-37,7.015555049660679e-40,5.19081549942319e-16,1.519015503664192e-40,9.780710208651069e-42,4.6114382958283284e-21,2.142640159458762e-35,7.445730100201318e-39,2.842957799465961e-35,7.939102188521591e-19,6.52191227330852e-40,3.184676790381165e-36,2.06800074336076e-22,1.00122935860285e-40,5.972245377837126e-37,1.4016438824136624e-36,4.0933758150672763e-44,4.959754063395546e-45,3.383625050488086e-25,2.025708837456749e-59,1.5193898948118325e-36,1.775772596960767e-38,4.851627626302385e-53,9.853744152930534e-55,1.9363828231962916e-68,6.703923538869377e-55,7.767021078386644e-72,4.0128890583127823e-76,3.2067643020237954e-80,2.0929870932718448e-75,4.491764707318883e-64,6.0451126520412266e-61,1.8510680557370484e-80,4.843965324263525e-53,1.1731655557226247e-59,2.308150778927804e-53,2.615680521605777e-58,1.7769611323984454e-72,2.1272962595923037e-24,1.5104489968266298e-40,1.3510249078521682e-58,3.2543086347056565e-53,4.3682807989378704e-41,2.3370680368105656e-46,7.572736878783177e-62,4.0479331305208585e-36,9.426831304538834e-60,3.0739078217354573e-53,1.1509874317822195e-70,3.396610854750059e-64,2.068000743360827e-22,8.7450057430107e-78,6.797929285694278e-59,5.561172117688148e-57,6.788190058108299e-61,3.0659759902515227e-91,1.0309955404776947e-74,2.189909747808514e-56,1.3676885339374622e-56,2.1795325870216175e-55,6.092279006137611e-67,4.228539413744573e-67,1.8597603116314573e-61,2.32265230533573e-53,2.5070613343308364e-41,3.9205954678302816e-75,1.0530954352198065e-76,2.589618382439651e-72
3.890193725691823e-22,0.7965188639668142,3.5877632461062868e-25,2.3052238062019068e-26,1.9237048125591055e-35,5.956429526859043e-24,0.0,0.0,1.291166845199506e-20,1.3528042654295371e-38,7.045823953398665e-52,2.4089490336881595e-53,1.7317025390501215e-53,2.701225558572747e-65,1.0199668845712967e-44,2.549025184896003e-38,9.177114890358308e-36,6.245688334195612e-53,5.027544296004152e-62,9.744418154229153e-60,4.378876741073217e-36,1.064164680563084e-55,9.47415014136626e-25,1.077756493116809e-69,7.165820454103639e-54,3.39456482496397e-57,1.9458607462748312e-38,3.6033981393466263e-38,1.4883328701237658e-76,5.80024672012508e-59,2.636442038786063e-69,1.900318470333933e-60,1.1327703782389646e-53,2.613595816653357e-69,3.76,0.0,0.7412346192430941,0.9999999999999986,2.857556770124547e-50,1.5871028511530774e-51,4.658926441897104e-17,4.658926441897104e-17,5.432411913947264e-36,4.2373952499948735e-39,1.4534283398379036e-15,9.174853642132408e-40,5.907548966027576e-41,1.2912027228319172e-20,1.2941546563130236e-34,4.4972209810660743e-38,1.7171465108774233e-34,2.222948612786045e-18,3.939235013078845e-39,1.9235447813902222e-35,5.790402081409835e-22,6.047425325963565e-40,3.607236208213285e-36,8.465929049778356e-36,2.4723989923003974e-43,2.995691454292015e-44,9.47415014136679e-25,2.404921531828462e-58,9.177114964663396e-36,1.0725666485642072e-37,5.759852317946156e-52,1.1698365058359133e-53,4.749714704683793e-67,9.012108996077747e-54,1.957092495798436e-70,8.976672307882445e-75,7.173403473053786e-79,4.681928417159198e-74,5.332623060527209e-63,7.176757741304276e-60,4.140765197959761e-79,5.750755632964117e-52,1.3927821477542371e-58,2.740236604742921e-52,3.1053359152500826e-57,3.974990974729995e-71,5.956429526857765e-24,9.123111940832754e-40,1.603936770602545e-57,3.863515211122374e-52,2.638441602558452e-40,1.4115890942344574e-45,1.0054531958502835e-60,2.4449516108345987e-35,1.1191534122542222e-58,3.649343365966327e-52,2.574712845400713e-69,4.033234282456199e-63,5.790402081410239e-22,1.9562228047056863e-76,8.070502721636669e-58,6.602223551396401e-56,8.058939237156446e-60,1.527595130425794e-89,2.3062957886574658e-73,2.5998608525982294e-55,1.6237198274958423e-55,2.5875410873114353e-54,1.3628184445561251e-65,9.459073526966815e-66,2.20790744196895e-60,2.7574528168933806e-52,1.5142650459364243e-40,1.2326979446133168e-73,2.3557323647692555e-75,5.792872736780294e-71
8.891871373009881e-22,0.7965188639668142,8.200601711123838e-25,5.269082985604613e-26,9.261810587619018e-35,1.3614696061392102e-23,0.0,0.0,2.951238503313152e-20,6.513170205081275e-38,6.917631772321263e-51,2.3651204461776115e-52,1.700195821695461e-52,2.6520792714566434e-64,4.910701490619645e-44,1.2272459002776796e-37,4.4183857783379965e-35,6.1320538429599375e-52,4.936072802805599e-61,9.567127527483194e-59,2.108240656132602e-35,1.0448031937873298e-54,2.1655200323122244e-24,2.129465212896548e-68,7.0354450145744555e-53,3.648546263617414e-56,9.368481871137935e-38,1.7348810909303129e-37,2.940694946879549e-75,5.6947166248123226e-58,5.376545847974885e-68,2.044275893895873e-59,1.112160674725467e-52,5.1642099881053936e-68,3.76,0.0,0.741234619243094,0.9999999999999967,2.805566182012742e-49,1.558226990653637e-50,1.0648974724336236e-16,1.0648974724336236e-16,2.6154724910189226e-35,2.0401234084410602e-38,3.3221219196267147e-15,4.417297084656484e-39,2.8442305286791654e-40,2.951320509330024e-20,6.23079758370504e-34,2.1652183139552605e-37,8.267321280846747e-34,5.081025400653817e-18,1.8965720890788507e-38,9.261040106428406e-35,1.3235204757506806e-21,2.9115749748205444e-39,1.7367289558745272e-35,4.0759804100586796e-35,1.1903536870212071e-42,1.4422964816370826e-43,2.1655200323124805e-24,2.3611662209389942e-57,4.418385814112698e-35,5.1639467119604626e-37,5.655057161217945e-51,1.148552418465584e-52,9.581979141768855e-66,9.309652855342868e-53,4.0786558605658817e-69,1.7736391781712303e-73,1.4173436440877073e-77,9.250701590351152e-73,5.235600942845402e-62,7.046183309701561e-59,8.181454252546463e-78,5.646125981956793e-51,1.3674417717513355e-57,2.6903805479177236e-51,3.0488372159827765e-56,7.853912322797855e-70,1.3614696061385945e-23,4.392385682771698e-39,1.574754632593824e-56,3.7932221446123423e-51,1.2702960563310989e-39,6.796193851058255e-45,1.0337915911050875e-59,1.1771389543554652e-34,1.0987914561730638e-57,3.582946957017589e-51,5.087198706289904e-68,3.9615010269571425e-62,1.3235204757508756e-21,3.865166610430853e-75,7.923667904031169e-57,6.4821022405521885e-55,7.912314332239923e-59,7.687518724553169e-88,4.556851839460734e-72,2.552558802045481e-54,1.5941777551738962e-54,2.5404631834304467e-53,2.6926995918898753e-64,1.8689535299054582e-64,2.1677366192378827e-59,2.7072835270956076e-51,7.290534360242878e-40,2.7500813038130525e-72,4.654530177928611e-74,1.1445740345324168e-69
1.8895226667646e-21,0.7965188639668142,1.7426278660633504e-24,1.119680134441089e-25,4.044876013162379e-34,2.8931229130458233e-23,0.0,0.0,6.271381819540431e-20,2.84447254486011e-37,6.118566976317918e-50,2.0919222505599237e-51,1.503803950184631e-51,2.3457340817626717e-63,2.144632356633735e-43,5.359705272876503e-37,1.9296251507871584e-34,5.423732180833261e-51,4.365900494937359e-60,8.462015953874e-58,9.207240829740042e-35,9.241165928851772e-54,4.601730068663204e-24,3.789269569459267e-67,6.2227714415107794e-52,3.352493000388628e-55,4.0914621651807494e-37,7.576681518160654e-37,5.232809541000178e-74,5.036912364031792e-57,9.704050944851854e-67,1.879041744215826e-58,9.83693522028895e-52,9.189586991438604e-67,3.76,0.0,0.7412346192430939,0.9999999999999929,2.4814915159736795e-48,1.3782341268739022e-49,2.26290712892145e-16,2.26290712892145e-16,1.1422455514416066e-34,8.909754913066314e-38,7.059509079194903e-15,1.9291496896545607e-38,1.2421501965022058e-39,6.271556082325989e-20,2.7211530025115494e-33,9.456077235695078e-37,3.610556405321491e-33,1.079717897638936e-17,8.282828587109328e-38,4.0445395237840555e-34,2.812481010969605e-21,1.2715612854291598e-38,7.584751629847887e-35,1.780087730665089e-34,5.198587285131748e-42,6.298887660529471e-43,4.6017300686643215e-24,2.0884247830631637e-56,1.9296251664109115e-34,2.255231198138675e-36,5.001834017612455e-50,1.015881607190528e-51,1.715795143473897e-64,8.417568699771235e-52,7.429603209012417e-68,3.156096152376589e-72,2.5220872862716138e-76,1.6461129231792934e-71,4.630829742645944e-61,6.232269344960794e-58,1.4558460708955278e-76,4.993934490692702e-50,1.2094867613299894e-56,2.379611127042304e-50,2.6966619905527656e-55,1.3975617345492908e-68,2.893122913043134e-23,1.918270225969672e-38,1.39285263900203e-55,3.3550620300349407e-50,5.547716614650736e-39,2.9680764067629835e-44,9.328964405061712e-59,5.1408750757614885e-34,9.71868598736343e-57,3.1690760078989694e-50,9.052398289856582e-67,3.506833897600109e-61,2.812481010970456e-21,6.877857468446704e-74,7.008394723894077e-56,5.733346029433883e-54,6.998352423360649e-58,3.0300760787269422e-86,8.108674383977986e-71,2.2577093536004035e-53,1.4100321709825848e-53,2.2470109159117103e-52,4.7915150533679297e-63,3.3257029486576104e-63,1.917338490880101e-58,2.39456162070111e-50,3.1839678946091815e-39,5.1505979246472646e-71,8.282487761030115e-73,2.0367083400914616e-68
3.890193725691823e-21,0.7965188639668142,3.5877632637551054e-24,2.3052238062026904e-25,1.688656111951739e-33,5.956429526859053e-23,0.0,0.0,1.291166845199494e-19,1.1875112939250572e-36,5.143024220219508e-49,1.7583866994554072e-50,1.2640378311155397e-50,1.97173083680516e-62,8.953417917233456e-43,2.2375714454161542e-36,8.05580515706519e-34,4.5589737024294075e-50,3.6698024314046502e-59,7.112834284087383e-57,3.843841801518245e-34,7.767756785217417e-53,9.474150141364298e-24,6.391156980175549e-66,5.2306143466954234e-51,2.867689741167022e-54,1.7081049133692865e-36,3.163115386557002e-36,8.825898147077887e-73,4.233828338704273e-56,1.6478615362901997e-65,1.6075597728097544e-57,8.268536772674264e-51,1.5499704727159126e-65,3.76,0.0,0.7412346192430936,0.9999999999999855,2.0858431402599776e-47,1.1584888284732815e-48,4.658926441897103e-16,4.658926441897103e-16,4.768650325776915e-34,3.719647287327617e-37,1.453428339829355e-14,8.053820200436839e-38,5.185732552658356e-39,1.291202722831693e-19,1.1360278125440626e-32,3.947726106722201e-36,1.5073362252765992e-32,2.2229486127860438e-17,3.457917887314905e-37,1.688515634260072e-33,5.790402081405571e-21,5.308518059344033e-38,3.166484499324507e-34,7.431515864554873e-34,2.170307857145346e-41,2.6296616044277314e-42,9.474150141368959e-24,1.7554468671963585e-55,8.055805222291287e-34,9.415146309072483e-36,4.204342874911166e-49,8.53909702302318e-51,2.901081054991019e-63,7.148144019790669e-51,1.2668587206347741e-66,5.3232174656898046e-71,4.2538688443174162e-75,2.7764100491726042e-70,3.8924914271063025e-60,5.238597911912852e-57,2.455497189491134e-75,4.197702846543399e-49,1.0166464999443126e-55,2.0002065346043655e-49,2.2667068891317267e-54,2.3571921372346633e-67,5.956429526847824e-23,8.008400581173453e-38,1.1707765687511296e-54,2.8201317938955785e-49,2.3160624795965337e-38,1.2391134731291692e-43,7.91498378886526e-58,2.1462141458021572e-33,8.169141153151984e-56,2.663799335792777e-49,1.526819284218226e-65,2.952636110809112e-60,5.790402081409124e-21,1.160051191014169e-72,5.890978142008245e-55,4.819222803600592e-53,5.882536895214589e-57,1.0712414193401523e-84,1.3676464553639514e-69,1.897740748894415e-52,1.1852170005561068e-52,1.8887480673841085e-51,8.081590480024689e-62,5.609284117855518e-62,1.6116385298958005e-57,2.012773325352876e-49,1.3292439194702923e-38,8.896377051583484e-70,1.396962620283623e-71,3.435206307103562e-67
7.89153584354627e-21,0.7965188639668142,7.278034090297914e-24,4.676311149727279e-25,6.898711212244431e-33,1.2083042754485525e-22,0.0,0.0,2.6192241716903745e-19,4.851371111077719e-36,4.2165619862834575e-48,1.4416316536084556e-49,1.0363345838976811e-49,1.6165440669762308e-61,3.657763362031982e-42,9.141209456105506e-36,3.291059261110338e-33,3.737722082938754e-49,3.0087257536696503e-58,5.831531285681352e-56,1.570334797389773e-33,6.368476320618302e-52,1.921899028676302e-23,1.0497494531377172e-64,4.288373661827195e-50,2.3708898483266633e-53,6.97816591202368e-36,1.2922358453212371e-35,1.4496564250667221e-71,3.471148269201258e-55,2.7156198545877764e-64,1.3291615073276678e-56,6.779046010272737e-50,2.545841110131245e-64,3.76,0.0,0.7412346192430932,0.9999999999999705,1.7101002277211374e-46,9.49799134529168e-48,9.450965067848403e-16,9.450965067848403e-16,1.9481492553042092e-33,1.519597285974605e-36,2.9483832036339915e-14,3.290248341564638e-37,2.1185409540613255e-38,2.619296952029484e-19,4.641044290985813e-32,1.6127749290548316e-35,6.1579603119531e-32,4.509410043080258e-17,1.412672286053402e-36,6.898137315037037e-33,1.1746244222269974e-20,2.168702839934919e-37,1.2936122378170213e-33,3.0360167150612847e-33,8.86641575044018e-41,1.0743025691607791e-41,1.9218990286782053e-23,1.439221401358045e-54,3.291059287757332e-33,3.846394475909462e-35,3.44697430454907e-48,7.000867649986289e-50,4.770300255522866e-62,5.889398784901605e-50,2.0918049937208932e-65,8.74340067200096e-70,6.98699235033628e-74,4.560261852353611e-69,3.191299646349757e-59,4.294919079263448e-56,4.033161507104937e-74,3.441530408103963e-48,8.335082238522158e-55,1.6398901644555937e-48,1.8583832563690478e-53,3.871695163612158e-66,1.208304275443966e-22,3.271692945085216e-37,9.598733664074119e-54,2.312114429819991e-48,9.461870941728618e-38,5.0621828505565095e-43,6.518401504565856e-57,8.767985078033384e-33,6.697555453136616e-55,2.183943635459469e-48,2.507805259076003e-64,2.428835747888097e-59,1.174624422228449e-20,1.905387564927352e-71,4.829779853065368e-54,3.951090028089596e-52,4.822859156267905e-56,3.599351441633826e-83,2.2463634144257543e-68,1.5558825226099024e-51,9.717125049058932e-52,1.5485097789867002e-50,1.3274036630794123e-60,9.21326600714568e-61,1.3213186379081092e-56,1.650193178754022e-48,5.430395132682254e-38,1.4781463527776983e-68,2.2945152986312557e-70,5.6423366746636e-66
1.5894220079255164e-20,0.7965188639668144,1.4658575868020712e-23,9.418485836781992e-25,2.78856937289171e-32,2.4336269209738526e-22,0.0,0.0,5.275338824672056e-19,1.9610017698481066e-35,3.414681219086725e-47,1.167470690152084e-48,8.39250614829075e-49,1.3091192971788217e-60,1.4785264335453794e-41,3.6950230175192684e-35,1.3302987728508324e-32,3.0269042499111244e-48,2.4365441222582787e-57,4.7225252281917016e-55,6.347544325982071e-33,5.157357238334542e-51,3.8708670577546597e-23,1.7016891003097524e-63,3.472836174940303e-49,1.927900417782725e-52,2.8206862329145897e-35,5.223423897516928e-35,2.349955548449022e-70,2.811025863991392e-54,4.409382150947417e-63,1.0808520636204347e-55,5.489847217789907e-49,4.12692615887854e-63,3.76,0.0,0.7412346192430922,0.9999999999999406,1.3848835017517048e-45,7.691719643470123e-47,1.9035042319750993e-15,1.9035042319750993e-15,7.874730772171899e-33,6.142455192603058e-36,5.938292931182892e-14,1.3299709862086279e-36,8.563481261983199e-38,5.27548541042348e-19,1.875984306327017e-31,6.519094150669785e-35,2.4891460154050517e-31,9.082332903668676e-17,5.7102472471174275e-36,2.7883373944644983e-32,2.3657928503968673e-20,8.766243624880318e-37,5.228987496041542e-33,1.227206497957867e-32,3.583947008107372e-40,4.3425027508051917e-41,3.870867057762354e-23,1.165518805151179e-53,1.3302987836219773e-32,1.5547741457143952e-34,2.7914491606670744e-47,5.669484132710061e-49,7.736922741146596e-61,4.78092382918004e-49,3.399687774910546e-64,1.417342926797472e-68,1.1326215689758767e-72,7.392381007617974e-68,2.5843971936149485e-58,3.478136837164398e-55,6.537928603645412e-73,2.787040552158021e-47,6.749965698412262e-54,1.3280255721969546e-47,1.5049669428423028e-52,6.276184702884001e-65,2.433626920955313e-22,1.322470598272625e-36,7.773303385213479e-53,1.8724102108798096e-47,3.8246395169461725e-37,2.046215245578431e-42,5.290426671450951e-56,3.5441597565612623e-32,5.42385401465048e-54,1.7686141785566716e-47,4.065260393614866e-63,1.9800314232730337e-58,2.365792850402734e-20,3.088715352349749e-70,3.911280997615511e-53,3.199695157054667e-51,3.905676388504566e-55,1.1799377282031246e-81,3.64145191190094e-67,1.2599940057872936e-50,7.869179799097999e-51,1.254023366840025e-49,2.151778539512235e-59,1.4935101223980497e-59,1.0700380904784477e-55,1.3363692202821473e-47,2.1950525372068092e-37,2.409751619903476e-67,3.7195081764554363e-69,9.146470894316755e-65
3.189958855067295e-20,0.7965188639668147,2.941965992201504e-23,1.8902835210913576e-24,1.1212714802661587e-31,4.8842722120244755e-22,0.0,0.0,1.058756813063508e-18,7.885101868567782e-35,2.7484325160094164e-46,9.396819794677229e-48,6.755019079681204e-48,1.0536931011844307e-59,5.945089761391369e-41,1.4857525040403364e-34,5.349072856964569e-32,2.4363158753014097e-47,1.9611426848716684e-56,3.8010991546832684e-54,2.552319655963226e-32,4.1510897853495713e-50,7.768803115905829e-23,2.740517835892508e-62,2.795240683506469e-48,1.5548945468232355e-51,1.1341855284268827e-34,2.100315775732851e-34,3.7845310091009937e-69,2.262558169056884e-53,7.106988636043315e-62,8.717463458927462e-55,4.4187066468058725e-48,6.646293782403228e-62,3.76,0.0,0.7412346192430902,0.9999999999998808,1.1146747243517645e-44,6.190965133546979e-46,3.820319682355612e-15,3.820319682355611e-15,3.166394609138053e-32,2.4698542174392475e-35,1.1918112386039204e-13,5.3477548413222414e-36,3.443338151974131e-37,1.0587862327205129e-18,7.543250386925919e-31,2.6212991076030143e-34,1.0008746651317516e-30,1.8228178624845482e-16,2.2960653035052148e-35,1.1211782027607294e-31,4.748129706724561e-20,3.524868006314219e-36,2.1025528742223048e-32,4.934543353779209e-32,1.4410893291789156e-39,1.746101257121726e-40,7.768803115936765e-23,9.381109322248832e-53,5.3490729002749e-32,6.251678458427924e-34,2.2468011350922207e-46,4.563294063977307e-48,1.24632684034955e-59,3.852711437007679e-48,5.482114651158137e-63,2.282587089342803e-67,1.824052120033552e-71,1.190520181394067e-66,2.0801476988476902e-57,2.799507139316001e-54,1.0529132462741347e-71,2.243252703383201e-46,5.432959627917429e-53,1.0689105161131173e-46,1.2113283247564254e-51,1.0107601979993928e-63,4.8842722119499285e-22,5.317596111280418e-36,6.256630826643603e-52,1.5070786337178516e-46,1.537870728387422e-36,8.227741507002617e-42,4.262851636501631e-55,1.4250910503323784e-31,4.365589515820656e-53,1.4235345568570756e-46,6.54697653888201e-62,1.6147852963287622e-57,4.748129706748152e-20,4.974280857999441e-69,3.1481392903123592e-52,2.575393050960026e-50,3.143628147967128e-54,3.821421760769224e-80,5.864446091500731e-66,1.014152792857613e-49,6.333800506917189e-50,1.0093471031830443e-48,3.465373002098353e-58,2.4052520097100306e-58,8.61259746429227e-55,1.0756262099451138e-46,8.826209710419988e-37,3.8917553029150753e-66,5.990153252125601e-68,1.4730109404967833e-63
6.391032549350853e-20,0.7965188639668151,5.894183002419864e-23,3.787153395926535e-24,4.49680013679461e-31,9.785562794125809e-22,0.0,0.0,2.1212026742559803e-18,3.162278519096156e-34,2.2054440039977742e-45,7.540356100267473e-47,5.420477395207337e-47,8.45522354443021e-59,2.3842468950048357e-40,5.958532060230442e-34,2.14521745877126e-31,1.9549900565236768e-46,1.573693497329354e-55,3.0501426877734665e-53,1.0235943373279493e-31,3.330988126237592e-49,1.5564675232185983e-22,4.399138059741746e-61,2.2430046103975345e-47,1.2489650956270884e-50,4.54859124587319e-34,8.423205649832643e-34,6.0750105561831694e-68,1.815560439721345e-52,1.1412949943257244e-60,7.002340726657891e-54,3.5457338036448817e-47,1.0668778604785574e-60,3.76,0.0,0.7412346192430863,0.9999999999997612,8.944562665303862e-44,4.967859626300836e-45,7.653950583116619e-15,7.653950583116619e-15,1.2698658587020803e-31,9.905220081172895e-35,2.387775129478588e-13,2.144688875572575e-35,1.3809326060764155e-36,2.121261616074306e-18,3.0251807852545385e-30,1.0512581999712492e-33,4.01395505930761e-30,3.651987006719895e-16,9.208248807515532e-35,4.4964260522774495e-31,9.512803419331769e-20,1.4136297241789935e-35,8.432177415280366e-32,1.9789725877057705e-31,5.779412752887327e-39,7.002647004285151e-40,1.5564675232310054e-22,7.527749429392683e-52,2.145217476140665e-31,2.507202674951836e-33,1.802916412316779e-45,3.661756100119975e-47,2.0008839130119655e-58,3.0934002075028616e-47,8.805624651929337e-62,3.6640577951277337e-66,2.9280076191833575e-70,1.9110485822063964e-65,1.6691875251220042e-56,2.246428207325537e-53,1.6901589452763846e-70,1.8000690192774574e-45,4.359607945704177e-52,8.577333715404473e-46,9.720146938109277e-51,1.6224939674042346e-62,9.785562793826846e-22,2.1325938759194114e-35,5.02055220971686e-51,1.2093356910533965e-45,6.167549450320674e-36,3.2996923393200567e-41,3.4225310691157375e-54,5.7152524993835205e-31,3.503110555242208e-52,1.1422968308005942e-45,1.0509347281366969e-60,1.32960030858083e-56,9.512803419426376e-20,7.984822423205957e-68,2.5261836237595284e-51,2.0665907650447606e-49,2.5225636169107824e-53,1.230201777783181e-78,9.413734906619079e-65,8.13793747154486e-49,5.0824760202778744e-49,8.099374838167992e-48,5.562691132239244e-57,3.860962158358853e-57,6.911067062687565e-54,8.631222928561526e-46,3.539704855940038e-36,6.255882986347614e-65,9.615522588469186e-67,2.364508782101898e-62
