Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141)
0.0,0.8386864482800399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8512191304894379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.241270219474552e-23,0.8386864482800398,1.03371077258033e-60,1.1908479301386583e-26,6.093360345801641e-75,3.7393325266256266e-94,0.0,0.0,9.187325602753869e-62,3.89584246289131e-138,1.1529490805018748e-75,7.497382720276718e-94,1.1712977983421525e-71,2.4542188532621956e-115,3.9089648987863185e-93,3.1208887670395303e-78,2.1103204132251286e-122,3.2586775831160135e-94,5.984226852716649e-75,1.1255840286078677e-60,6.781432150056338e-37,6.034110459306956e-57,6.862053456920027e-94,3.764989023957733e-198,5.359692139363115e-141,-3.796100692930973e-124,6.800951585255815e-96,-2.9953230929902722e-167,2.1880881702151184e-264,-2.2037151522487767e-242,2.3416934178705554e-157,-3.01423603449124e-128,-4.0029043174850247e-109,-1.1808229402578784e-201,3.76,0.0,0.8512191304894379,0.9999999999999996,1.0590702145127045e-94,2.666239443035477e-179,1.6251006453679377e-17,1.6251006453679377e-17,8.209778700618079e-37,8.126613405238309e-40,3.270654515207107e-16
2.0275556614528745e-22,0.8386864482800398,1.2272214292073684e-59,3.334374204388243e-26,1.9048828771193655e-73,2.1536640815109962e-92,0.0,0.0,1.0907192955589396e-60,4.151322461585811e-136,2.5819322454228806e-74,4.317713777386872e-92,2.6201463229794588e-70,2.5688500578978634e-113,2.251363644722721e-91,9.812573625775017e-77,1.6990751430067338e-120,1.8768314435825678e-92,1.881536670123585e-73,1.3362933587632602e-59,4.0959850186340304e-36,7.163695937289217e-56,3.9521914540489226e-92,4.451873019836275e-193,7.821012398192131e-139,3.6105252169115723e-122,4.1315424656790293e-94,1.00343792330138e-164,4.316587152995394e-257,2.3653734082422944e-237,6.174132870888216e-155,2.8653102214951673e-126,2.1361999650799482e-107,4.709531225620924e-199,3.76,0.0,0.8512191304894379,0.9999999999999991,6.099702191643345e-93,1.7701881053687108e-174,4.550281807030227e-17,4.550281807030227e-17,4.958706335172959e-36,4.908474496763825e-39,9.157832642577991e-16
4.634412940463713e-22,0.8386864482800398,1.2048932765196334e-58,7.621426752887408e-26,4.2427899963000026e-72,9.657933690731732e-91,0.0,0.0,1.0708746722569904e-59,9.447438632319837e-134,5.103966344266411e-73,1.9361913543627235e-90,5.176967601789324e-69,2.307637412919867e-111,1.009605954037845e-89,2.1891311970182882e-75,1.8921265146192399e-118,8.416499948350092e-91,4.197604807856543e-72,1.3119807437453276e-58,1.9720404692363843e-35,7.033359151368172e-55,1.772328531824745e-90,1.126724952395835e-189,1.737813100647555e-136,7.675718091806179e-120,1.8666466095095998e-92,1.089984550385929e-161,8.258951306426744e-253,2.6364476114006184e-233,2.739527358511449e-152,6.089883406731179e-124,2.2359198776140282e-105,8.267219052801539e-195,3.76,0.0,0.8512191304894378,0.9999999999999979,2.73536248321378e-91,2.230628401144335e-171,1.0400644130354804e-16,1.0400644130354804e-16,2.3874036461391948e-35,2.36321917824313e-38,2.0932188897312117e-15
9.84812749848539e-22,0.8386864482800398,1.065714458099417e-57,1.6195531849885713e-25,7.941283318997461e-71,3.6335560351285596e-89,0.0,0.0,9.471765203415106e-59,1.5965753631968155e-131,9.084280990521318e-72,7.284359489049342e-89,9.212137243066343e-68,1.7401288126583574e-109,3.7983899300722503e-88,4.1000004561718946e-74,1.6125252972359313e-116,3.166497634098963e-89,7.861649247185364e-71,1.1604321101335598e-57,8.612418830571553e-35,6.220926519127055e-54,6.667942894681743e-89,1.79597509122392e-186,2.9660773694201247e-134,1.2266577274978135e-117,7.050479406588141e-91,8.001928681365911e-159,1.5646866161975313e-248,2.0598123716966923e-229,9.357900541600288e-150,9.730933473928644e-122,1.783583660595742e-103,2.9414279892123546e-191,3.76,0.0,0.8512191304894376,0.9999999999999956,1.0291117310821627e-89,1.7781287712013968e-168,2.2101368777003955e-16,2.2101368777003955e-16,1.0426418949779345e-34,1.032079902465089e-37,4.448090140674982e-15
2.0275556614528747e-21,0.8386864482800399,8.957972161457516e-57,3.334374204388225e-25,1.3712731399711e-69,1.2581850927897032e-87,0.0,0.0,7.961589370136802e-58,2.3377380208864875e-129,1.5323632489184333e-70,2.5223306001486003e-87,1.553761593471704e-66,1.2065227811059376e-107,1.315261837321092e-86,7.081731189931627e-73,1.2539945156005023e-114,1.0964575972023558e-87,1.3579044020399326e-69,9.754131098471057e-57,3.5955153259598703e-34,5.229063578267969e-53,2.308896923166455e-87,2.4019053877971166e-183,4.615824698643547e-132,1.7482937677298067e-115,2.4465126252155788e-89,4.875482330249748e-156,2.0667278306020156e-244,1.2059124444282968e-225,2.9133938579966776e-147,1.3868100575678552e-119,1.2699726094866752e-101,7.824846345220323e-188,3.76,0.0,0.8512191304894374,0.9999999999999909,3.5634871909076557e-88,1.1887174450843758e-165,4.550281807030224e-16,4.550281807030224e-16,4.352824667062649e-34,4.30873042745576e-37,9.1578326425503e-15
4.1130414846615456e-21,0.83868644828004,7.344286795844638e-56,6.764016243187501e-25,2.2780859483757533e-68,4.186061054182612e-86,0.0,0.0,6.527391984607217e-57,3.19665900333027e-127,2.5170458755300523e-69,8.391934088145476e-86,2.552058082931124e-65,8.033216505531379e-106,4.375958978447376e-85,1.1766402288319805e-71,9.768099496566097e-113,3.6479834894837574e-86,2.2561784731609955e-68,7.997025994305133e-56,1.468885329430803e-33,4.287102248178494e-52,7.681845496005898e-86,3.0971825766807103e-180,7.191022912524185e-130,2.3594972955071828e-113,8.14850235583035e-88,2.7187153864707363e-153,2.50214160921981e-240,6.44107354846031e-222,9.077566438627563e-145,1.8715784344704168e-117,8.566106330166579e-100,1.8204180446681448e-184,3.76,0.0,0.851219130489437,0.9999999999999815,1.185594634082221e-86,7.660977581383213e-163,9.230571665689883e-16,9.230571665689883e-16,1.778270905664397e-33,1.7602569700268915e-36,1.857731764625205e-14
8.284013131078888e-21,0.8386864482800402,5.947593860768723e-55,1.362330032078592e-24,3.713612484136862e-67,1.365704630641532e-84,0.0,0.0,5.286051263200374e-56,4.22788754768713e-125,4.0803481921376825e-68,2.7378699526164437e-84,4.136996128079473e-64,5.243288688725157e-104,1.4276589287702234e-83,1.918220541656045e-70,8.102117932590547e-111,1.1901565408640803e-84,3.678140341275773e-67,6.47619898708839e-55,5.937469356117522e-33,3.471806551206568e-51,2.506206151791263e-84,4.175000933657149e-177,1.1924479125033683e-127,3.100579508176567e-111,2.6599016388962963e-86,1.4521021491231068e-150,3.2371502490349155e-236,3.4936950711378876e-218,3.009981492728101e-142,2.4593733780658503e-115,5.6270700770501636e-98,3.970453868801377e-181,3.76,0.0,0.8512191304894361,0.9999999999999626,3.86800875780826e-85,5.160809876924704e-160,1.8591151383009185e-15,1.8591151383009185e-15,7.188055321733535e-33,7.115240113718507e-36,3.741628765346e-14
1.6625956423913572e-20,0.8386864482800405,4.787140968118358e-54,2.734186847598224e-24,5.997300510289872e-66,4.4125937203192755e-83,0.0,0.0,4.254673932689984e-55,5.500597611347246e-123,6.571361938324564e-67,8.846057189553535e-83,6.662504727785997e-63,3.3887369503211486e-102,4.6127681509331886e-82,3.097931298601294e-69,7.427770941983091e-109,3.8453975776202856e-83,5.94020647590334e-66,5.2126083613867603e-54,2.3874303141559303e-32,2.7944119527545166e-50,8.097555854387853e-83,6.164846643265806e-174,2.1851381391903622e-125,4.0210435781976014e-109,8.596493901723351e-85,7.592860265478117e-148,4.9341818275485064e-232,2.0463755364683333e-214,1.1028298650494903e-139,3.189458186493331e-113,3.6483843751049674e-96,8.389873752101323e-178,3.76,0.0,0.8512191304894342,0.999999999999925,1.2497542127265922e-83,3.8080882465558683e-157,3.731231081764775e-15,3.731231081764775e-15,2.890285430638827e-32,2.8610067557587765e-35,7.50942276670937e-14
3.330984300958294e-20,0.8386864482800411,3.841379143307425e-53,5.477900478637281e-24,9.640330740077337e-65,1.4188424371987472e-81,0.0,0.0,3.414107880978568e-54,7.098229828063687e-121,1.0548560938777344e-65,2.8443946541005106e-81,1.069479561031502e-61,2.1794235731275076e-100,1.4832072971573986e-80,4.9798340839403944e-68,7.582893957304673e-107,1.2364639975588217e-81,9.54870841939803e-65,4.182789931404324e-53,9.57466336407161e-32,2.242339606167467e-49,2.6037194022371004e-81,1.009522913632378e-170,4.4590503363781256e-123,5.180677504053411e-107,2.764527824134803e-83,3.928562600751496e-145,9.25841029229148e-228,1.3238593956611745e-210,4.499671038232692e-137,4.109253787931872e-111,2.350143875266843e-94,1.7452482118844254e-174,3.76,0.0,0.8512191304894304,0.9999999999998496,4.0185079920661664e-82,3.1163964347647434e-154,7.475462968692472e-15,7.475462968692472e-15,1.1591337288500323e-31,1.1473916707103112e-34,1.5045010769123225e-13
6.667761618092168e-20,0.8386864482800422,3.0777778650770724e-52,1.0965327740714569e-23,1.54603427770462e-63,4.551226389836225e-80,0.0,0.0,2.735440911467205e-53,9.122694362987317e-119,1.6905258172952115e-64,9.123974550586232e-80,1.7139559129716024e-60,1.398243196485938e-98,4.757689800601532e-79,7.986298377541637e-67,8.461028073568237e-105,3.966210361513058e-80,1.5313529179596603e-63,3.351321956222257e-52,3.8348594635212155e-31,1.796600374079141e-48,8.351960827003504e-80,1.8038349157204665e-167,9.94668464774861e-121,6.652948271355544e-105,8.868393170997118e-82,2.021995062969774e-142,2.113456873765735e-223,9.362329227842038e-207,2.0070387974874615e-134,5.277031537097949e-109,1.5089681027007582e-92,3.602200605964572e-171,3.76,0.0,0.851219130489423,0.9999999999996989,1.2890183674917409e-80,2.7832045919956136e-151,1.4963926742547797e-14,1.4963926742547797e-14,4.642580924733723e-31,4.595551445988228e-34,3.0116186772699414e-13
1.3341316252359915e-19,0.8386864482800442,2.4640937127656062e-51,2.1940182264865836e-23,2.4765236829276914e-62,1.4581437973180757e-78,0.0,0.0,2.1900159943537783e-52,1.1700761901012406e-116,2.7070483746978395e-63,2.923182648671427e-78,2.7445625815536487e-59,8.959691065203925e-97,1.5242915375900723e-77,1.279294796090399e-65,1.002899183194942e-102,1.2707135488610726e-78,2.4530160609245694e-62,2.6830953121985255e-51,1.5349431786272927e-30,1.4383727092037572e-47,2.675841373767408e-78,3.4219053580539086e-164,2.357368781094887e-118,8.529677373025868e-103,2.841395642766914e-80,1.037976695052286e-139,5.5979285612133224e-219,7.05425362542878e-203,9.512124045623556e-132,6.765621792678904e-107,9.673029765200179e-91,7.4060553087720285e-168,3.76,0.0,0.851219130489408,0.9999999999993975,4.1298190337984684e-79,2.639294687980614e-148,2.9940854290258184e-14,2.9940854290258184e-14,1.8582422613260047e-30,1.8394182136427112e-33,6.025853877484566e-13
