Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72)
0.0,0.8274600408603142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6412370442311919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.297794504486618e-23,0.8274600408603142,1.4278217156853673e-25,2.588192783179067e-26,1.585139135972511e-36,1.3843676813782947e-40,0.0,0.0,5.2038855361460015e-21,1.7817530451223303e-39,2.37664934422039e-53,2.5508506369957737e-64,1.68772625535956e-64,4.127400874485323e-70,3.08903181976014e-49,2.86064669374738e-56,4.664512493144361e-72,3.4905363184928026e-71,1.1185407927901698e-62,4.371583279500466e-60,1.18266720162094e-36,1.429435248900447e-56,2.1265684329227914e-61,1.1291727792548368e-123,1.4769362725801007e-90,1.9339273285622424e-58,1.4545008006872467e-55,1.1931491016127828e-76,-2.9368540020582337e-133,1.1006514610077621e-97,8.692368335745056e-92,2.5803846860341825e-78,6.724047572266526e-71,-1.1957315651598826e-113,3.76,0.0,0.6412370442311919,0.9999999999999997,6.142310652883443e-52,2.6438415600012714e-88,1.7784751299137844e-17,1.7784751299137844e-17,1.4068252149264404e-36,1.6631183813038496e-39,3.7995589187011563e-16,2.168133376603541e-40,1.752402757936881e-41,5.204028318317493e-21,1.6711463818998538e-35,6.244366060833889e-49,2.923289404098365e-35,9.619882672863577e-19,8.014917666035715e-40,1.5849745402383526e-36,8.83278975147285e-37,1.5760642315885692e-40,1.6381559708131248e-37,1.2104052103543211e-36,3.6323189334551596e-71,2.6492413575270344e-57
2.0433824612562529e-22,0.8274600408603142,3.9979008048672e-25,7.246939792901451e-26,9.574240381273983e-36,8.361580797179668e-40,0.0,0.0,1.4570879501208794e-20,1.0761788392538867e-38,2.821558101458446e-52,3.02836995326573e-63,2.0036694261037183e-63,4.900050318189158e-69,1.8657752191352103e-48,3.458659487306573e-55,1.0617767300333918e-70,9.655757488179929e-70,1.3279316292041754e-61,5.189943669422948e-59,7.143309897790478e-36,1.6970255274946087e-55,3.213374268497093e-60,2.0381401500573464e-121,6.2073172513599335e-89,2.9225509789232817e-57,2.1927017148955543e-54,3.751451679761642e-75,2.812313725003803e-131,6.339188882578614e-96,4.415098708089266e-90,7.277097676182498e-77,2.0380129947198533e-69,2.3083986090192033e-112,3.76,0.0,0.6412370442311919,0.999999999999999,7.292151207449739e-51,1.1097038180991232e-86,4.9797303637585967e-17,4.9797303637585967e-17,8.497224298155037e-36,1.0045235023075e-38,1.0638764972361026e-15,1.3095525594685418e-39,1.0584512657940888e-40,1.4571279291288823e-20,1.0093724146674652e-34,7.413311387421685e-48,1.7656668000753966e-34,2.693567148401801e-18,4.841010270285568e-39,9.573246223039644e-36,5.335005009889409e-36,9.519427958796965e-40,9.894462063710848e-37,7.310847470539967e-36,8.125352161381574e-70,3.1451793396560603e-56
4.670588482871435e-22,0.8274600408603142,9.138058987023555e-25,1.6564433812346473e-25,4.609584607408083e-35,4.0257412199302326e-39,0.0,0.0,3.330486743133436e-20,5.181337855215727e-38,2.7702224756232826e-51,2.9732717408131696e-62,1.96721622262433e-62,4.810898459300661e-68,8.982904531863777e-48,3.423119406367119e-54,2.1155785464887804e-69,2.085951594409121e-68,1.3037711480872523e-60,5.095517470585726e-58,3.439196222313692e-35,1.6661497261183549e-54,3.4566995249418057e-59,4.5692164279518175e-119,2.4783642456520246e-87,3.1439469794971408e-56,2.3569702106149667e-53,8.369282334265391e-74,5.853629884917703e-129,2.8427583685757935e-94,1.9141986979462635e-88,1.5829276962738844e-75,4.509424258716222e-68,2.4374249016428305e-110,3.76,0.0,0.6412370442311918,0.9999999999999977,7.159477297493008e-50,4.427759365513819e-85,1.1382240831448217e-16,1.1382240831448217e-16,4.091047725005094e-35,4.836348252831216e-38,2.4317177079671926e-15,6.304931859163144e-39,5.095987220083583e-40,3.330578123723086e-20,4.859693678564077e-34,7.278433080507025e-47,8.500925587117809e-34,6.156724910632687e-18,2.330738057283179e-38,4.60910596301312e-35,2.568575259728016e-35,4.583194785462511e-39,4.76375756312393e-36,3.5198583517101667e-35,1.605432663194362e-68,3.0879557263334036e-55
9.9250005261018e-22,0.8274600408603143,1.9418375366507032e-24,3.5199421851237524e-25,2.01312670268511e-34,1.758146957915325e-38,0.0,0.0,7.077284329158535e-20,2.2628263673053506e-37,2.4502304079174443e-50,2.629825472767462e-61,1.7399834795080975e-61,4.2551852055605826e-67,3.923070411096714e-47,3.0385869328455084e-53,3.778911786658951e-68,3.85639808481244e-67,1.1531708157577948e-59,4.506927497833765e-57,1.501987346058593e-34,1.473690564206392e-53,3.177265473634849e-58,7.584938948592505e-117,8.882429452258294e-86,2.8898289285241527e-55,2.1657954064536386e-52,1.5674739579686527e-72,9.373266557189916e-127,1.0695167482422986e-92,7.105912449601439e-87,2.934481174300737e-74,8.41795701343343e-67,1.926581514795849e-108,3.76,0.0,0.6412370442311917,0.9999999999999949,6.33247659119228e-49,1.5864339742927136e-83,2.4187261766827463e-16,2.4187261766827463e-16,1.7866680229555516e-34,2.1121603442554975e-37,5.167400129425836e-15,2.753529388286547e-38,2.22555150258305e-39,7.077478512911244e-20,2.122355905012094e-33,6.437691634075298e-46,3.712577543204678e-33,1.308304043509446e-17,1.0178945435865294e-37,2.012917666102699e-34,1.121764298436754e-34,2.0016015741205046e-38,2.0804580829320098e-35,1.5372146171497822e-34,2.8567816462158544e-67,2.7312618699558454e-54
2.043382461256253e-21,0.8274600408603143,3.997900818615704e-24,7.246939792902366e-25,8.404407698926443e-34,7.33991746975174e-38,0.0,0.0,1.4570879501208688e-19,9.446854645238524e-37,2.0595662953118655e-49,2.2105272552506858e-60,1.462566012499833e-60,3.5767395594171566e-66,1.6378046708380288e-46,2.5584278144476494e-52,6.38516872269774e-67,6.620020117415766e-66,9.693095544204604e-59,3.7883441246825707e-56,6.27050150299422e-34,1.2387257157331217e-52,2.718203417546078e-57,1.0998036789807123e-114,3.0071680571283188e-84,2.4723094897063346e-54,1.8526293629130545e-51,2.7074214639761916e-71,1.3374772382054625e-124,3.703396943600696e-91,2.4449883181813422e-85,5.04362337553891e-73,1.4517067973956096e-65,1.3654928458474866e-106,3.76,0.0,0.6412370442311914,0.9999999999999895,5.3228281352588666e-48,5.370158904046458e-82,4.979730363758592e-16,4.979730363758592e-16,7.458987289530738e-34,8.817853657669487e-37,1.0638764972328972e-14,1.1495443162752426e-37,9.29123942261013e-39,1.457127929128656e-19,8.86041811682654e-33,5.411267718458031e-45,1.5499280420527328e-32,2.6935671484018e-17,4.249509346532079e-37,8.403535012343666e-34,4.683145126228221e-34,8.356292555909674e-38,8.685502957245256e-35,6.4175684252967615e-34,4.818379802325132e-66,2.295790172570799e-53
4.1451472785483984e-21,0.8274600408603144,8.110027406818926e-24,1.4700935008461213e-24,3.433474774082057e-33,2.9985957921171152e-37,0.0,0.0,2.955806984530882e-19,3.859348365856716e-36,1.6885568826510368e-48,1.8123245961012427e-59,1.1991082710444565e-59,2.932427188314201e-65,6.690966482883442e-46,2.0992697767242157e-51,1.0496833856920073e-65,1.0965812358762061e-64,7.946985359665198e-58,3.105913395526168e-55,2.5617044653990182e-33,1.0155821824134328e-51,2.2474576429359583e-56,1.4964042080627985e-112,9.896512494057442e-83,2.0441532958673177e-53,1.5316903941505116e-50,4.498421271344375e-70,1.8060986377655523e-122,1.2321434943881416e-89,8.109146258630363e-84,8.359435863437649e-72,2.4101473704989678e-64,9.189141206721035e-105,3.76,0.0,0.6412370442311909,0.9999999999999785,4.363976097025249e-47,1.767185282001065e-80,1.0101738737910284e-15,1.0101738737910284e-15,3.0472396885314378e-33,3.60238093863641e-36,2.1581494658078654e-14,4.696263619058716e-37,3.79577446982593e-38,2.9558880848033187e-19,3.619769909044869e-32,4.436484210613659e-44,6.331961780851356e-32,5.4640933581865043e-17,1.7360632261339525e-36,3.4331182531378124e-33,1.913217591325753e-33,3.4138181682129836e-37,3.5483113590150385e-34,2.6217861018343083e-33,7.914203294002864e-65,1.8822274892730874e-52
8.34867691313269e-21,0.8274600408603147,1.633428068031826e-23,2.960892543958537e-24,1.3878654002225915e-32,1.21208037077231e-36,0.0,0.0,5.953245053350836e-19,1.560010315150721e-35,1.3674371423643388e-47,1.4676687378124852e-58,9.710823924330073e-59,2.3747555654089648e-64,2.7045956317357336e-45,1.7007276627125676e-50,1.702315434163656e-64,1.7849924272677362e-63,6.43567478434989e-57,2.5152491939397013e-54,1.0354819030448087e-32,8.224447820645531e-51,1.8275930527767937e-55,1.9741754452416987e-110,3.211446688072737e-81,1.6622715117609383e-52,1.2455058766131472e-49,7.333562067469971e-69,2.374044847488846e-120,4.0198746886963573e-88,2.6414737928150797e-82,1.3611174262327995e-70,3.9276123942997255e-63,6.029331781344668e-103,3.76,0.0,0.6412370442311899,0.9999999999999566,3.534060987095887e-46,5.734374820514565e-79,2.0345755486213646e-15,2.0345755486213646e-15,1.2317430032719754e-32,1.4561399725113714e-35,4.3466954029351636e-14,1.8983048416187924e-36,1.5343127299261128e-37,5.953408396151044e-19,1.4631688723751363e-31,3.592779937370421e-43,2.55948019117798e-31,1.1005145777755906e-16,7.017445132661854e-36,1.3877212887565537e-32,7.733531401303863e-33,1.3799198858577099e-36,1.4342841839293593e-33,1.0597678611140173e-32,1.28292645857347e-63,1.524276620855878e-51
1.6755736182301274e-20,0.8274600408603149,3.2782787615688466e-23,5.9424906301859536e-24,5.580545733757729e-32,4.8737219274011206e-36,0.0,0.0,1.1948121190990456e-18,6.272732865474607e-35,1.1006323765175096e-46,1.1813095646445657e-57,7.816332035895674e-58,1.9114098781110603e-63,1.0875060082806354e-44,1.3691670317236284e-49,2.7421130144602974e-63,2.880582264303073e-62,5.179990958436925e-56,2.0244913730169229e-53,4.1636271899945683e-32,6.619751116844475e-50,1.474019141429978e-54,2.5652269524186324e-108,1.0348561900695366e-79,1.3406821941569376e-51,1.0045299719626546e-48,1.1843722496734684e-67,3.0792618699954513e-118,1.2988221361101466e-86,8.527926897472725e-81,2.1968490138870694e-69,6.341863385847013e-62,3.906917324470035e-101,3.76,0.0,0.6412370442311878,0.9999999999999128,2.844519738773749e-45,1.8478135216922e-77,4.0833788982820305e-15,4.0833788982820305e-15,4.952784442104901e-32,5.855074786095573e-35,8.723787277099211e-14,7.633000277670387e-36,6.169404005589193e-37,1.194844901884009e-18,5.883337683297071e-31,2.891781858377773e-42,1.0291557278692002e-30,2.2087250616894673e-16,2.8216838239982264e-35,5.57996626789028e-32,3.109618963149866e-32,5.548597170029244e-36,5.7671936214529364e-33,4.2612799592503586e-32,2.0661135111083556e-62,1.2268704335328523e-50
3.356985472063844e-20,0.8274600408603157,6.567980303991507e-23,1.1905686802651133e-23,2.2380484352456305e-31,1.954580528171938e-35,0.0,0.0,2.393787346626854e-18,2.5156464338896565e-34,8.831881667493163e-46,9.47929867744393e-57,6.272461046306581e-57,1.5337860508026838e-62,4.3613854921831953e-44,1.0987796188782383e-48,4.402167755386892e-62,4.62869697980465e-61,4.156616521218062e-55,1.6245268288326303e-52,1.6698007259653848e-31,5.311933373903526e-49,1.1840119924743374e-53,3.3082057957758643e-106,3.323099575816624e-78,1.0769088477734218e-50,8.068868636902418e-48,1.9038438547074074e-66,3.967575972183428e-116,4.176283006306286e-85,2.741029238112642e-79,3.5302773903907113e-68,1.0193362172592825e-60,2.515945431769922e-99,3.76,0.0,0.6412370442311836,0.9999999999998253,2.282547948771134e-44,5.93359495851932e-76,8.180985597603337e-15,8.180985597603337e-15,1.9862880799612814e-31,2.348146863836603e-34,1.7477971025065105e-13,3.0611745056283414e-35,2.4742069396450654e-36,2.3938530264192566e-18,2.359481549696598e-30,2.3204728232745886e-41,4.127374769900023e-30,4.425146029517204e-16,1.1316214163167332e-34,2.237816043514927e-31,1.2470962853243915e-31,2.2252356323172587e-35,2.31290258622824e-32,1.7089638540595916e-31,3.3165697604324396e-61,9.844862573075511e-50
