Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975)
0.0,0.7086813251862296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7906284145567996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.754619533878533e-22,0.7086813251862296,2.5487802555950132e-26,2.0191340814200538e-28,1.8976850476359166e-36,6.807967955001005e-26,0.0,0.0,1.1223066909788767e-21,4.265314888515884e-40,2.1805011156909128e-53,6.085321171413903e-55,6.931472205448599e-62,2.4745980157820303e-68,3.988498752320452e-47,5.9039867727448606e-40,1.6272239889118784e-37,5.9771115725373446e-55,1.7929889433864254e-65,7.624369971318323e-64,2.574142457068076e-38,1.0500405190676791e-58,2.1709202139979725e-26,4.02349244078525e-72,4.814121752486711e-56,2.631347200124971e-60,7.730429267679993e-58,8.340157322307668e-71,3.264859609101339e-89,5.080609770501453e-90,4.826748800510028e-72,9.378604711317194e-81,2.454598227590477e-71,2.9799050181111573e-87,3.76,0.0,0.7906284145567996,0.9999999999999996,2.398929833349396e-51,1.404148048049831e-53,4.079585744218463e-18,4.079585744218463e-18,3.588499901675542e-38,9.769385188360707e-42,4.499629938168707e-16,7.835718331538202e-42,2.9304541520870798e-43,1.1223321787814203e-21,4.980396656437302e-36,1.8274248380891877e-40,3.12803648130088e-36,1.3473253590790726e-19,4.5814530296956707e-41,1.89760319226279e-36,4.5549888868979987e-38,4.1054982689721454e-42,6.840577938543979e-39,2.4709769031356547e-37,5.8442512309895266e-46,6.001443047860852e-47,2.1709202139980583e-26,7.637167332558341e-61,1.6272239894885748e-37,1.673685657021624e-38,5.163516583669452e-55,2.863076583906241e-73,3.9124356586639416e-70,7.5659560714641235e-56,2.4256566048969645e-72,4.132475958519417e-77,2.7786273853663442e-81,7.357608165795701e-82,1.031022103543622e-65,3.2838942451424026e-63,2.0011280124804866e-81,1.4503284045125506e-53,2.9675653393900843e-60,1.6852204433697738e-53,8.475535904549244e-59,2.698113347416599e-75,6.807967954999996e-26,7.205721437541945e-41,5.177236221127314e-60
7.712934694859893e-22,0.7086813251862296,7.136584716671199e-26,5.653575427976524e-28,1.146201768772092e-35,1.906231027400283e-25,0.0,0.0,3.142458734740853e-21,2.576250192663592e-39,2.5886909245482492e-52,7.224493294786873e-54,8.229043802549949e-61,2.9378427643363622e-67,2.4090532464015457e-46,3.5660080107377046e-39,9.828432893027682e-37,7.096026858916242e-54,2.1286364736148532e-64,9.051652029949072e-63,1.554782044069118e-37,1.246608104237143e-57,6.07857659919413e-26,9.000391650338776e-71,5.715325344552091e-55,3.976491888829098e-59,1.1659370979674463e-56,2.622278904650613e-69,1.5596626138487726e-87,2.4286277559926092e-88,1.0797243996789203e-70,2.6449165868512818e-79,7.702819679432957e-70,1.713032068318815e-85,3.76,0.0,0.7906284145567996,0.9999999999999988,2.8480094981582784e-50,1.6670045626447493e-52,1.1422840083811697e-17,1.1422840083811697e-17,2.167453940611622e-37,5.90070865376956e-41,1.2598963826861782e-15,4.732773872249075e-41,1.7699943078620177e-42,3.142530100587949e-21,3.0081595804880336e-35,1.1037646028888528e-39,1.8893340347057164e-35,3.7725110054214035e-19,2.767197629936178e-40,1.1461523281267245e-35,2.7512132876863122e-37,2.479720954460935e-41,4.1317090748804705e-38,1.4924700494939176e-36,3.5299277435171676e-45,3.6248716009125114e-46,6.078576599194653e-26,9.06684505721206e-60,9.82843289651093e-37,1.0109061368409643e-37,6.130126888132341e-54,9.001816399622043e-72,1.2301323699022037e-68,9.339905968269259e-55,5.632463235455939e-71,9.244183420168245e-76,6.215678315967218e-80,1.6458675162555878e-80,1.2240294413263158e-64,3.898639250047557e-62,4.476443318794241e-80,1.721829881836368e-52,3.5230935709282756e-59,2.0006937103684908e-52,1.006215622587915e-57,6.035571633636993e-74,1.906231027399674e-25,4.3522557482753e-40,6.1464148417224045e-59
1.7629565016822614e-21,0.7086813251862296,1.6312193642844226e-25,1.2922458121090953e-27,5.518468118525221e-35,4.357099491200655e-25,0.0,0.0,7.1827628222648e-21,1.240353569580417e-38,2.5415921004493165e-51,7.093050357661345e-53,8.079324003411167e-60,2.884391447195336e-66,1.1598554371747771e-45,1.7168793535139197e-38,4.731967359755648e-36,6.966921248949233e-53,2.0899079124906015e-63,8.886965638568517e-62,7.485606265153967e-37,1.2239272290252688e-56,1.3893889369585684e-25,1.7783257205358095e-69,5.611340314698102e-54,4.2777285162999686e-58,1.2534751955788193e-55,5.8501599849141275e-68,8.121130894283742e-86,1.2639207911047235e-86,2.1333534646426778e-69,5.753271301098854e-78,1.7177319986409128e-68,7.678536497373872e-84,3.76,0.0,0.7906284145567996,0.9999999999999971,2.7961926137603936e-49,1.636674964806853e-51,2.6109348762998167e-17,2.6109348762998167e-17,1.0435357714066398e-36,2.840937212774834e-40,2.8797631604205547e-15,2.27862689081131e-40,8.521760674290202e-42,7.18292594420089e-21,1.448299347691823e-34,5.314151439408112e-39,9.09633008762273e-35,8.622882298106065e-19,1.3322865410354907e-39,5.518230083100183e-35,1.3245907683098192e-36,1.1938788966196888e-40,1.989240064528451e-37,7.185600834318219e-36,1.699508257970995e-44,1.745219638324771e-45,1.3893889369588202e-25,8.901882242826282e-59,4.7319673614326824e-36,4.867077890617434e-37,6.018594929925019e-53,2.008246002667048e-70,2.744357647684779e-67,9.326674543618487e-54,1.1327770222592407e-69,1.8264948660109287e-74,1.2281132920963902e-78,3.2519568597225426e-79,1.2017593638883622e-63,3.8277071390023315e-61,8.844697652704075e-79,1.6905027882969403e-51,3.458994159606624e-58,1.9642929487914843e-51,9.879084650337301e-57,1.1925272467259086e-72,4.357099491197724e-25,2.0954237940371454e-39,6.03458653934606e-58
3.746282566074805e-21,0.7086813251862296,3.466341151127289e-25,2.7460223507325754e-27,2.4100600104975877e-34,9.258836418801429e-25,0.0,0.0,1.5263370997312666e-20,5.416949908415153e-38,2.248009430232676e-50,6.2737227154296094e-52,7.146070586475907e-59,2.551211570350226e-65,5.0653934154468686e-45,7.498063201383018e-38,2.0665744659179875e-35,6.16216294682247e-52,1.8484998812381454e-62,7.86042046563008e-61,3.269160920476457e-36,1.0825497735379765e-55,2.9524514910365723e-25,3.1644356041144813e-68,4.963166961942839e-53,3.9319694942044846e-57,1.1518745012718637e-54,1.0956702201993859e-66,3.2409301523960524e-84,5.0430392486783474e-85,3.796188505692919e-68,1.0665595389372084e-76,3.2165832983049306e-67,2.88835797792407e-82,3.76,0.0,0.7906284145567996,0.9999999999999939,2.473200700998276e-48,1.4476204716173897e-50,5.54823661213711e-17,5.54823661213711e-17,4.557394875121656e-36,1.2407119189213343e-39,6.119496715872351e-15,9.951362281053524e-40,3.721676773172097e-41,1.5263717631426303e-20,6.325103753673878e-34,2.3208295549595147e-38,3.972606331251879e-34,1.8323624883475385e-18,5.818445347713389e-39,2.4099560541737314e-34,5.7848358863592276e-36,5.213982801621141e-40,8.687533981949425e-37,3.138140666982007e-35,7.422199063348854e-44,7.621832670853912e-45,2.952451491037673e-25,7.873614033166536e-58,2.066574466650393e-35,2.1255807844159632e-36,5.3233790570996565e-52,3.7612154737342586e-69,5.139878150089682e-66,8.311570247353728e-53,2.0318628559759265e-68,3.250150024818104e-73,2.1853619854411886e-77,5.786683480484037e-78,1.062942547864956e-62,3.3855636253866616e-60,1.5738666902541e-77,1.4952305719101921e-50,3.059441162326041e-57,1.7373948682958212e-50,8.73793849614296e-56,2.1220385190623697e-71,9.258836418788627e-25,9.151266225677726e-39,5.33752345453345e-57
7.712934694859892e-21,0.7086813251862296,7.136584731246066e-25,5.653575427981917e-27,1.0061526122565391e-33,1.9062310274003095e-24,0.0,0.0,3.1424587347408294e-20,2.2614699538911043e-37,1.8895873788398414e-49,5.273441963004102e-51,6.006702912485418e-58,2.1444470469077007e-64,2.114702038480209e-44,3.1302937869066655e-37,8.627541589209895e-35,5.1796692549745525e-51,1.5537755308122143e-61,6.60715702722445e-60,1.3648103307374937e-35,9.099483131756763e-55,6.0785765991913555e-25,5.337283169969433e-67,4.1718408847553836e-52,3.3638826844765697e-56,9.853440920274041e-54,1.8924978314534493e-65,1.1518773368205133e-82,1.792234028308285e-83,6.402826777426158e-67,1.8331433436661398e-75,5.555402948957695e-66,1.0000643226142887e-80,3.76,0.0,0.7906284145567994,0.9999999999999875,2.0788742107106793e-47,1.2168122320710983e-49,1.1422840083811696e-16,1.1422840083811696e-16,1.9026226478627175e-35,5.179728026864563e-39,1.2598963826708115e-14,4.154497859381557e-39,1.5537267914558533e-40,3.1425301005875266e-20,2.6406063072417117e-33,9.68900658682509e-38,1.658484942385512e-33,3.7725110054214024e-18,2.429086396344544e-38,1.0061092125377204e-33,2.41505510783221e-35,2.1767351822327958e-39,3.6268744230147306e-36,1.3101119540422773e-34,3.0986220026635875e-43,3.181965104039392e-44,6.078576599195952e-25,6.618247015703569e-57,8.627541592267552e-35,8.873881353515154e-36,4.4746208551422426e-51,6.496558944858475e-68,8.877861306726916e-65,7.011049787826446e-52,3.4399503710366e-67,5.481853068763183e-72,3.6859324076595975e-76,9.760087489261746e-77,8.934672585693065e-62,2.8457702366844e-59,2.6545562142836397e-76,1.2568313900850965e-49,2.5716446421216156e-56,1.4603850726959172e-49,7.344763806287713e-55,3.5791281260688944e-70,1.9062310273949647e-24,3.8204735061842486e-38,4.48651007344938e-56
1.5646238952430067e-20,0.7086813251862298,1.44770719172158e-24,1.1468681582490118e-26,4.110461720581097e-33,3.866925798440688e-24,0.0,0.0,6.374702004759913e-20,9.238842661120796e-37,1.5491978972336673e-48,4.3234863300905565e-50,4.924657959817221e-57,1.7581472510876622e-63,8.639247837475394e-44,1.278827150921376e-36,3.524632248941936e-34,4.2466057976623025e-50,1.273879055583051e-60,5.416946518531907e-59,5.575695527707735e-35,7.460306039028068e-54,1.2330826815496025e-24,8.766503633529332e-66,3.4203272093308585e-51,2.78132325464101e-55,8.146590131932746e-53,3.1444134516575565e-64,3.8798401080771678e-81,6.036517669687022e-82,1.0516662208402014e-65,3.0383006669366768e-74,9.230018161483072e-65,3.327140801022902e-79,3.76,0.0,0.7906284145567993,0.9999999999999745,1.7043866782302345e-46,9.976161845503055e-49,2.3172047027160867e-16,2.3172047027160867e-16,7.772834326977412e-35,2.1160879093360568e-38,2.5557898048108342e-14,1.6972479334845025e-38,6.347480911749673e-40,6.374846775476573e-20,1.0787738373698053e-32,3.958275376961903e-37,6.775452139955138e-33,7.652808039569128e-18,9.923610520441158e-38,4.1102844185688e-33,9.866288128567157e-35,8.892673470725214e-39,1.4816965437992898e-35,5.352234811265864e-34,1.2658881936312785e-42,1.2999365699926733e-43,1.2330826815514802e-24,5.426038761103909e-56,3.5246322501910933e-34,3.6252700805236893e-35,3.6685645222503556e-50,1.079412555684487e-66,1.4750699340459e-63,5.757901055619513e-51,5.660450606048957e-66,9.003960126394515e-71,6.054155047710699e-75,1.603097300877725e-75,7.325184395861993e-61,2.3331343972467018e-58,4.3601165530237094e-75,1.0304263081362824e-48,2.108389649881679e-55,1.197311915344735e-48,6.021681120315145e-54,5.878728694516323e-69,3.866925798418854e-24,1.5607880862569193e-37,3.678312021735114e-55
3.1512847467570415e-20,0.7086813251862298,2.9158046392083982e-24,2.3098893891544605e-26,1.6615143480873652e-32,7.788315340521631e-24,0.0,0.0,1.283918854479792e-19,3.734487920010187e-36,1.2545806228476086e-47,3.501271325479338e-49,3.988115700220048e-56,1.4237932269754111e-62,3.4921221055960133e-43,5.1692238108846975e-36,1.4247127090432008e-33,3.439011475635664e-49,1.0316202871765733e-59,4.386783734529104e-58,2.253785280001039e-34,6.041549251899709e-53,2.4835327248085772e-24,1.4210880164226695e-64,2.769869652085206e-50,2.261725879631024e-54,6.6245035427165864e-52,5.126187535174672e-63,1.2734023720509511e-79,1.9812107195526212e-80,1.7047962633541194e-64,4.947085044476495e-73,1.504696010754712e-63,1.0854591991693698e-77,3.76,0.0,0.7906284145567991,0.9999999999999486,1.3802565212395625e-45,8.078954511949093e-48,4.66704609138592e-16,4.66704609138592e-16,3.1419039118728335e-34,8.553565662869018e-38,5.147576648982359e-14,6.860547513741625e-38,2.56575327208548e-39,1.283948012525169e-19,4.3605763317409877e-32,1.5999982284945882e-36,2.7387460851285263e-32,1.5413402107864567e-17,4.011282037243286e-37,1.6614426797792247e-32,3.98811140993805e-34,3.594560798567021e-38,5.989254332927339e-35,2.163458885584898e-33,5.1169224767412556e-42,5.254551458111197e-43,2.4835327248161673e-24,4.394146868276685e-55,1.4247127095481342e-33,1.4653921296245677e-34,2.9708986640760774e-49,1.7597145537649986e-65,2.404736280829924e-62,4.666814444538312e-50,9.18408535104517e-65,1.4595807371791962e-69,9.814046223486028e-74,2.5986898068611788e-74,5.93212424188645e-60,1.889432762765021e-57,7.067936822400272e-74,8.344659399192064e-48,1.7074286022408409e-54,9.696142314520976e-48,4.876513493828394e-53,9.529672545425437e-68,7.78831534043338e-24,6.308954993193552e-37,2.9787924418802346e-54
6.324606449785112e-20,0.7086813251862298,5.8519995753535205e-24,4.635931850980592e-26,6.680876117602804e-32,1.5631094424684266e-23,0.0,0.0,2.5768161624873264e-19,1.5016211677614761e-35,1.00979563131506e-46,2.818127768751521e-48,3.209982480168792e-55,1.1459926562793659e-61,1.4041669397488947e-42,2.0785221592768987e-35,5.728707141918825e-33,2.7680156228255287e-48,8.303377567333213e-59,3.5308651911075615e-57,9.06237148580644e-34,4.86276444083331e-52,4.9844328113186906e-24,2.2886184407424805e-63,2.2294320692082026e-49,1.8241638585767307e-53,5.342835164073598e-51,8.278806562032839e-62,4.126536114162911e-78,6.42017574011365e-79,2.7455218261853846e-63,7.984615324477209e-72,2.43006391387851e-62,3.507084313910427e-76,3.76,0.0,0.7906284145567987,0.9999999999998967,1.110950527897007e-44,6.502645444371649e-47,9.366728868725583e-16,9.366728868725583e-16,1.2633457443525362e-33,3.4393511330789506e-37,1.0331150336891323e-13,2.758595981491361e-37,1.0316781061674582e-38,2.5768746824789994e-19,1.753368564477771e-31,6.433522777701529e-36,1.1012377553866862e-31,3.093459024445542e-17,1.6129188649159134e-36,6.680587942488227e-32,1.603602057581727e-33,1.4453570877184826e-37,2.408252825568891e-34,8.699173026551257e-33,2.0574920228349112e-41,2.1128320311307034e-42,4.984432811349207e-24,3.536791681694328e-54,5.728707143949173e-33,5.892277302894653e-34,2.391237707189979e-48,2.841943432119114e-64,3.883655516622519e-61,3.757822852804734e-49,1.4797284215527416e-63,2.3506097808357497e-68,1.5805218892399092e-72,4.185109820761831e-73,4.774689672833309e-59,1.5207799244221164e-56,1.1382694359387978e-72,6.716507853177626e-47,1.3742870821330895e-53,7.804298880014946e-47,3.9250423068725254e-52,1.5347243850963845e-66,1.5631094424329402e-23,2.536803054969617e-36,2.397591306310571e-53
1.2671249855841253e-19,0.70868132518623,1.1724389612329703e-23,9.288016774693784e-26,2.6793301326457797e-31,3.131665259301251e-23,0.0,0.0,5.162610778502133e-19,6.022172499205484e-35,8.102973994226042e-46,2.2613700586020456e-47,2.575808792982866e-54,9.195869345648589e-61,5.6313374574044685e-42,8.335803500396842e-35,2.2974677865967205e-32,2.221158213778345e-47,6.662937580196377e-58,2.8332969497395026e-56,3.634416290279671e-33,3.9020622175587144e-51,9.986232984307569e-24,3.673739449908718e-62,1.7889788308063787e-48,1.465267613507045e-52,4.2916290601512225e-50,1.330793975657979e-60,1.328810379749424e-76,2.067390042116957e-77,4.407170572373422e-62,1.2831062851444887e-70,3.90623733849674e-61,1.1276756503718246e-74,3.76,0.0,0.7906284145567977,0.999999999999793,8.914678334167917e-44,5.217963446798276e-46,1.87660944234049e-15,1.87660944234049e-15,5.0665814799189646e-33,1.3793336330940503e-36,2.0698297710972907e-13,1.1063203697988881e-36,4.1374906354813766e-38,5.162728022381893e-19,7.031792156782612e-31,2.580130597887651e-35,4.416455939720047e-31,6.197696651763698e-17,6.46852604390458e-36,2.6792145615361832e-31,6.431161479427532e-33,5.796528374049361e-37,9.658170947904041e-34,3.4887574636645835e-32,8.251463247205521e-41,8.473401433509032e-42,9.986232984429958e-24,2.8380525851475765e-53,2.2974677874110073e-32,2.363066736973465e-33,1.9188176651280135e-47,4.5683408471231726e-63,6.24286281551245e-60,3.016041576022242e-48,2.3758195353015882e-62,3.7732492797029916e-67,2.5370876649196998e-71,6.718028124191432e-72,3.831387762704001e-58,1.2203302102886796e-55,1.827174533099428e-71,5.38957456087991e-46,1.1027788340245424e-52,6.262458353590814e-46,3.14959926066061e-51,2.4635725282578525e-65,3.131665259158934e-23,1.0173714863314496e-35,1.9239160282876498e-52
