Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68)
0.0,0.7431775404167467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5335580098512899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.562164945047278e-22,0.7431775404167467,6.098706941827847e-26,3.3266634630303326e-27,1.9587736392164544e-36,6.473608126285824e-25,0.0,0.0,2.338859744088922e-21,7.5518562846281e-40,3.144867675092767e-53,1.0605441359964373e-54,3.7203931017397205e-55,5.3879551167114604e-67,4.837346371178347e-46,1.8470350260206894e-39,6.159064888203307e-37,2.028679773250187e-54,7.842355788525967e-64,9.857655236232152e-62,2.1846656440933757e-37,1.9829640670988926e-57,1.2378904584290498e-25,1.2935064887088435e-71,2.2824453963610544e-55,5.245879899351087e-59,6.6547838891005055e-40,1.3605253522023363e-39,5.461719296383322e-79,5.624497215807046e-61,2.405609277775476e-71,2.422384744474867e-62,2.303807550322122e-55,1.9869910396176438e-71,3.76,0.0,0.5335580098512899,0.9999999999999994,1.1776948373159014e-51,3.7950927890844813e-53,8.206174927089494e-18,8.206174927089494e-18,2.7807229437846074e-37,1.703689788297572e-40,4.820427224940551e-16,5.171649521386597e-41,2.941465038107801e-42,2.3389207311583055e-21,1.0313755766285878e-35,2.045039487513461e-39,1.1621825199426086e-35,3.6202971683585584e-19,2.4105215466219905e-40,1.958643305508894e-36,6.793480395241857e-23,3.2410661833926855e-41,1.7299693119669298e-37,6.38646290687082e-37,9.967658174045988e-45,1.1623295318665638e-45,1.2378904584290797e-25,6.202538869189059e-60,6.159064911337175e-37,1.2376058372131735e-38,1.1010348517890081e-53,8.926617337766563e-70,4.386104930024692e-69,2.5736186774973714e-55,3.791750337171378e-72,1.5589271281206044e-76,1.1972276035668152e-80,1.0016047016820902e-80,1.2201744846259075e-64,1.1639780705715211e-61,7.314816512404469e-81,2.5302376355309305e-53,5.856456813011302e-60,1.4713012271579066e-53,1.3934468185041206e-58,2.4669635990084293e-73,6.473608126285145e-25,8.951907885190836e-41,3.6596102128013728e-59,1.6232311751333653e-53,1.140037154236695e-41,8.713821687888227e-47,7.413486227069978e-63,1.2670916170819178e-36,3.273462730525429e-60,6.874821812957828e-54,3.5488660184860695e-71,4.5403541224434606e-65,6.793480395242057e-23,1.294734352322618e-78,9.181830552366644e-60
4.374061846132378e-22,0.7431775404167467,1.7076379441726403e-25,9.314657696485094e-27,1.1830992780867388e-35,1.8126102753600306e-24,0.0,0.0,6.54880728344898e-21,4.5613211959153726e-39,3.733586922436674e-52,1.2590779982631842e-53,4.416850690385427e-54,6.39658031456028e-66,2.9217572081919726e-45,1.1156091557164635e-38,3.72007519247477e-36,2.4084486268026142e-53,9.310444792196623e-63,1.1703008296479636e-60,1.319538049032399e-36,2.354174940459795e-56,3.4660932836012797e-25,2.8935222749820752e-70,2.709719174559785e-54,7.909846495554496e-58,4.019489469016738e-39,8.217573127301817e-39,1.2217647601267513e-77,6.67740309460588e-60,5.929343404311986e-70,3.660707825851904e-61,2.735080324454992e-54,4.44565274842876e-70,3.76,0.0,0.5335580098512899,0.9999999999999987,1.3981593108772925e-50,4.505534159201067e-52,2.2977289795850585e-17,2.2977289795850585e-17,1.679556658045675e-36,1.0290286321316898e-39,1.3497196229827308e-15,3.1236763109176453e-40,1.7766448830178954e-41,6.548978047243186e-21,6.229508482836384e-35,1.2352038506782971e-38,7.019582420453289e-35,1.0136832071403964e-18,1.4559550141597745e-39,1.1830205565273712e-35,1.902174510667635e-22,1.9576039747700188e-40,1.0449014644279397e-36,3.857423595749911e-36,6.020465537123165e-44,7.02047037247776e-45,3.4660932836014616e-25,7.363654145500645e-59,3.7200752064476264e-36,7.475139256766912e-38,1.3071485760439027e-52,1.99800696886519e-68,1.210270935882868e-67,3.368194825321429e-54,9.311514994266946e-71,3.487257628520312e-75,2.6781502600742913e-79,2.2405496534744838e-79,1.4485911481473584e-63,1.381874765609191e-60,1.6362951945580275e-79,3.003898120901413e-52,6.952785528409435e-59,1.7467288168817672e-52,1.65430006292792e-57,5.518498892437852e-72,1.812610275359621e-24,5.406952362655214e-40,4.344689244638908e-58,1.927100051118249e-52,6.885824411589583e-41,5.263148299487649e-46,1.1203177485165904e-61,7.653233367174783e-36,3.8862549527436265e-59,8.161788456345832e-53,7.938671328714177e-70,5.391676326758926e-64,1.9021745106677548e-22,2.896268956784688e-77,1.0900670451573185e-58
9.997855648302579e-22,0.7431775404167467,3.9031724459957247e-25,2.1290646163395275e-26,5.696113742841455e-35,4.143109200822928e-24,0.0,0.0,1.4968702362169078e-20,2.1960798075698492e-38,3.6656577884526094e-51,1.2361702449429094e-52,4.336490199387912e-53,6.280200484040221e-65,1.4067003247390398e-44,5.371177855667669e-38,1.7910560694894795e-35,2.36462914370039e-52,9.141049907281326e-62,1.149008294342639e-59,6.353007693023538e-36,2.3113429166104384e-55,7.922498933945503e-25,5.717112415158333e-69,2.6604183539982603e-53,8.502949398977399e-57,1.9352111549504763e-38,3.956407724203952e-38,2.4140012834886716e-76,6.5559139547439345e-59,1.2199988788527368e-68,3.938022431403707e-60,2.6853180816673343e-53,8.784597427683439e-69,3.76,0.0,0.5335580098512899,0.9999999999999969,1.3727211023979289e-49,4.423560154956777e-51,5.251951953337277e-17,5.251951953337277e-17,8.086342320522218e-36,4.9543299043686854e-39,3.0850734239575898e-15,1.503915680819429e-39,8.553780330829032e-41,1.4969092679412655e-20,2.9992401768355017e-34,5.946974832991645e-38,3.3796267679930054e-34,2.3169901877494778e-18,7.009796657578099e-39,5.695734732419852e-35,4.347827452954192e-22,9.42502046131824e-40,5.0307507591985443e-36,1.857183413317935e-35,2.8985949970116565e-43,3.3800542786735365e-44,7.9224989339463755e-25,7.229679305924894e-58,1.791056076216809e-35,3.598957774614921e-37,1.2833662232452436e-51,3.948749276290414e-67,2.572138988661749e-66,3.4439784490730257e-53,1.9197782688724092e-69,6.890233420784377e-74,5.291573606987055e-78,4.426948550355988e-78,1.4222353792783479e-62,1.3567328397607526e-59,3.233043565119942e-78,2.949244987972036e-51,6.826286061253455e-58,1.7149487103749457e-51,1.6242016116478689e-56,1.0903623864858728e-70,4.143109200820956e-24,2.6032148130134172e-39,4.2656416640445907e-57,1.8920382577351932e-51,3.3152280445202256e-40,2.533979346842634e-45,1.2051838569952268e-60,3.684702422474217e-35,3.815548155798253e-58,8.013292305186755e-52,1.568547676500424e-68,5.296477294161653e-63,4.347827452954771e-22,5.722539395597616e-76,1.0702343428907186e-57
2.124544325264298e-21,0.7431775404167467,8.294241457015386e-25,4.5242623097218267e-26,2.4876425218049016e-34,8.804107051748728e-24,0.0,0.0,3.180849251960921e-20,9.590857481477655e-38,3.2422328048637666e-50,1.0933785825003568e-51,3.835576472169773e-52,5.554766207127664e-64,6.143429891400387e-44,2.3457344830457623e-37,7.82201240801776e-35,2.0914876990299507e-51,8.085155124102139e-61,1.016284824249947e-58,2.7745253679985876e-35,2.044356634616211e-54,1.6835310234632997e-24,1.0173296078628999e-67,2.353109905832005e-52,7.813463508220486e-56,8.451575539158147e-38,1.72786719729651e-37,4.2955863131009156e-75,5.798631649606835e-58,2.210522284871827e-67,3.619721075987206e-59,2.375133433099131e-52,1.5632323800310806e-67,3.76,0.0,0.5335580098512898,0.9999999999999934,1.2141562695018754e-48,3.9125888618343337e-50,1.1160397900841713e-16,1.1160397900841713e-16,3.5315181386029167e-35,2.1636860311372396e-38,6.555781025897333e-15,6.56799489216309e-39,3.735660598408741e-40,3.180932194375045e-20,1.3098469823178596e-33,2.5972001525546805e-37,1.4759718003270082e-33,4.923604148967639e-18,3.061362364211308e-38,2.4874769979962822e-34,9.23913333752594e-22,4.1161540529213175e-39,2.1970610261966688e-35,8.110807891724917e-35,1.2658925881028933e-42,1.4761585054762911e-43,1.6835310234636803e-24,6.394569472575216e-57,7.822012437397777e-35,1.5717594132597095e-36,1.1351228908003438e-50,7.027425273459746e-66,4.717963211365262e-65,3.1005943776466903e-52,3.4810468382981827e-68,1.2260802228521124e-72,9.41607250593219e-77,7.877518414400511e-77,1.2579510866665442e-61,1.2000148331117494e-58,5.7530282832636245e-77,2.6085737927210523e-50,6.037772715957843e-57,1.516852713150064e-50,1.4365879320038866e-55,1.9402416089127596e-69,8.804107051740113e-24,1.1368923014191552e-38,3.7729117449965264e-56,1.6734864123149527e-50,1.447847185880516e-39,1.1066553543666997e-44,1.107770565071965e-59,1.609206353694035e-34,3.374809130567837e-57,7.087666296289826e-51,2.7911467831508825e-67,4.689828597061574e-62,9.239133337528473e-22,1.0182953100545653e-74,9.466101785547752e-57
4.374061846132378e-21,0.7431775404167468,1.7076379508548667e-24,9.314657696487474e-26,1.0385417835125671e-33,1.8126102753600337e-23,0.0,0.0,6.548807283448926e-20,4.003994202109787e-37,2.7252920329506065e-49,9.190505796453453e-51,3.22403313567836e-51,4.669115696865395e-63,2.564761046002256e-43,9.79297970795707e-37,3.2655362037249976e-34,1.758021432622126e-50,6.796060049299293e-60,8.542486305511846e-58,1.1583097244983075e-34,1.718404933122711e-53,3.466093283600418e-24,1.7158750796819394e-66,1.977930661359445e-51,6.683738631279235e-55,3.5283664180015414e-37,7.213505417372677e-37,7.245134202550562e-74,4.874099295260035e-57,3.7605971966228584e-66,3.096747588744816e-58,1.9964427630941494e-51,2.636668892918265e-66,3.76,0.0,0.5335580098512896,0.9999999999999865,1.0205715029207167e-47,3.2887666895356144e-49,2.297728979585058e-16,2.297728979585058e-16,1.4743393047914184e-34,9.032963257547633e-38,1.349719622973693e-14,2.7420085762410666e-38,1.559564763215365e-39,6.548978047242141e-20,5.468353307280745e-33,1.0842799393509639e-36,6.1618917207347624e-33,1.013683207140396e-17,1.2780585240202166e-37,1.0384726805808028e-33,1.9021745106663974e-21,1.718413290446099e-38,9.172297292036674e-35,3.3861026332219856e-34,5.2848523638706584e-42,6.162671178008314e-43,3.466093283602007e-24,5.375020943410194e-56,3.2655362159905775e-34,6.56178614889505e-36,9.5413918600263e-50,1.1853460985753641e-64,8.070262100482813e-64,2.6278188716190268e-51,5.923214850157581e-67,2.0679635034910237e-71,1.5881582563317466e-75,1.3286586208168423e-75,1.057383685578922e-60,1.0086847749847491e-57,9.703323079973677e-76,2.1926634511382013e-49,5.075111770875085e-56,1.2750061026342248e-49,1.207538717764539e-54,3.2725010651065525e-68,1.8126102753564376e-23,4.746301560727451e-38,3.171359656662542e-55,1.4066661646707886e-49,6.04447699176217e-39,4.620068258962388e-44,9.477206463499115e-59,6.71811975376832e-34,2.8367304158121407e-56,5.957610585962202e-50,4.707677012371031e-66,3.950754652491859e-61,1.902174510667454e-21,1.7175038776413714e-73,7.956829028803192e-56
8.873096887868539e-21,0.7431775404167467,3.464065572959112e-24,1.8895448470022976e-25,4.2427820534884396e-33,3.677009415730361e-23,0.0,0.0,1.3284723346424834e-19,1.6357622786755575e-36,2.234359064331959e-48,7.534931919758611e-50,2.643257152506973e-50,3.828023144383205e-62,1.047788573385675e-42,4.000751747757939e-36,1.3340780910440541e-33,1.4413321856446704e-49,5.571820629642711e-59,7.003646388784558e-57,4.732073171732016e-34,1.4088521858269669e-52,7.031217803873128e-24,2.8183299708268187e-65,1.6216270577189834e-50,5.525914401665448e-54,1.4414528095151097e-36,2.9469523338808696e-36,1.1900154780063304e-72,3.996081082927455e-56,6.202856006963254e-65,2.5604507916235965e-57,1.6368043971954817e-50,4.3307761992789625e-65,3.76,0.0,0.5335580098512894,0.9999999999999726,8.367261784279017e-47,2.696329630995108e-48,4.661107358586831e-16,4.661107358586831e-16,6.023157125128287e-34,3.690260229038915e-37,2.7380026637256563e-14,1.1201999729320212e-37,6.371330931232673e-39,1.3285069752974494e-19,2.2340007539971757e-32,4.429637357537556e-36,2.5173338254956854e-32,2.0563287916276595e-17,5.221286090855547e-37,4.242499745464381e-33,3.858696864491819e-21,7.020278995971346e-38,3.7471827284826983e-34,1.383333411479066e-33,2.1590346311238395e-41,2.5176522592481038e-42,7.031217803879623e-24,4.406766914488461e-55,1.3340780960549452e-33,2.680703747629438e-35,7.822609513464e-49,1.946989603612475e-63,1.3345952519879858e-62,2.1630332100785976e-50,9.770388185001889e-66,3.3966362641835026e-70,2.608554704956425e-74,2.1823257743987606e-74,8.669070298636567e-60,8.269807230554214e-57,1.5937737295974143e-74,1.7976779723794858e-48,4.160883255126546e-55,1.0453270355625868e-48,9.900131972379648e-54,5.3750928261422044e-67,3.6770094157156695e-23,1.939019055563258e-37,2.6000722520226702e-54,1.1532699089862365e-48,2.4693660775621855e-38,1.887448632920637e-43,7.835936032265442e-58,2.744571126264112e-33,2.3257229731834233e-55,4.8844091020416296e-49,7.732373629077481e-65,3.2532872595791865e-60,3.8586968644961375e-21,2.8210052765737256e-72,6.523489233200887e-55
1.787116697134086e-20,0.7431775404167468,6.976920864357948e-24,3.805703001711079e-25,1.7150003422687137e-32,7.40580769647104e-23,0.0,0.0,2.6756555472376273e-19,6.612012666293337e-36,1.809441900170013e-47,6.101983226305817e-49,2.140578173170204e-49,3.1000323905310287e-61,4.235328940616807e-42,1.6171678229591413e-35,5.392556944733877e-33,1.1672281729953274e-48,4.5122048060187274e-58,5.671734427824903e-56,1.912779635354666e-33,1.1409250270420884e-51,1.4161466844412456e-23,4.568634332789938e-64,1.3132356348604926e-49,4.493451305748021e-53,5.826582724537328e-36,1.19120525106719e-35,1.929066402413207e-71,3.236130066349046e-55,1.0076073815373992e-63,2.0821160608945766e-56,1.3255266378766718e-49,7.020406736406489e-64,3.76,0.0,0.533558009851289,0.9999999999999448,6.776025528822321e-46,2.1835576422457988e-47,9.38786411659037e-16,9.38786411659037e-16,2.4346564119625773e-33,1.4916621867601192e-36,5.5145687451657557e-14,4.528027395164127e-37,2.5753938312588827e-38,2.675725316443185e-19,9.030188233632019e-32,1.7905302546037413e-35,1.0175465809700512e-31,4.141619960602184e-17,2.1105273191103763e-36,1.7148862288516164e-32,7.771741572133925e-21,2.8377090148155343e-37,1.5146711711456714e-33,5.59165482517851e-33,8.727163178910246e-41,1.0176752970027781e-41,1.4161466844438708e-23,3.568714100490326e-54,5.3925569649887126e-33,1.0835833155539166e-34,6.334951998849459e-48,3.1561983576209806e-62,2.170699548095489e-61,1.7551064682217676e-49,1.5871386400243192e-64,5.506093755214577e-69,4.228579586957918e-73,3.537644123086027e-73,7.020437888573962e-59,6.6971043426895795e-56,2.583575896005155e-73,1.4558062299664614e-47,3.3695911382254776e-54,8.465329353304817e-48,8.017383549458819e-53,8.713257099647922e-66,7.405807696411654e-23,7.837825045057988e-37,2.1056059211307448e-53,9.33947872837219e-48,9.981572503170831e-38,7.629369151493947e-43,6.37205243523754e-57,1.1093995311528356e-32,1.883430746360813e-54,3.955521127689529e-48,1.2534510863298386e-63,2.657628212751395e-59,7.771741572151378e-21,4.572971119365358e-71,5.282890776840995e-54
3.5867307138285505e-20,0.7431775404167469,1.4002631635917008e-23,7.638019311135365e-25,6.895940947807302e-32,1.486340425795249e-22,0.0,0.0,5.370021972427761e-19,2.6586612124282756e-35,1.4563962592255031e-46,4.911406963300075e-48,1.7229235398604326e-48,2.49517576463379e-60,1.7030071393785707e-41,6.502560690480751e-35,2.1683234301492953e-32,9.394867801824225e-48,3.631814982325473e-57,4.5651052978885444e-55,7.691202786656485e-33,9.183157199972742e-51,2.842196492546675e-23,7.357644749797916e-63,1.0570062878522617e-48,3.624079347256814e-52,2.3428432872959512e-35,4.7897839234192053e-35,3.1067020721512804e-70,2.6047190143439536e-54,1.6244040897073919e-62,1.6793020330053274e-55,1.0668991563778401e-48,1.1306174215883796e-62,3.76,0.0,0.533558009851288,0.9999999999998893,5.453934846494955e-45,1.757517155700128e-46,1.8841377632597435e-15,1.8841377632597435e-15,9.789646352331813e-33,5.997908047258715e-36,1.1067700907790649e-13,1.8206999006128855e-36,1.0355545325857337e-37,5.370161998731712e-19,3.6309989725212565e-31,7.199643490869785e-35,4.091510048753398e-31,8.31220229855122e-17,8.486337525814187e-36,6.895482102775596e-32,1.559783098738318e-20,1.1410303141917154e-36,6.090426161484327e-33,2.2483798122102913e-32,3.5091539307574287e-40,4.092027610410095e-41,2.8421964925572274e-23,2.8724115791681677e-53,2.1683234382936844e-32,4.357040854090529e-34,5.098920497039958e-47,5.082995652221023e-61,3.501665298507453e-60,1.4140309158448242e-48,2.558689971796232e-63,8.867394249295917e-68,6.809997064854671e-72,5.697266800686299e-72,5.650659176876241e-58,5.3904122713283145e-55,4.1607693331653e-72,1.1717595061319738e-46,2.7121400959129953e-53,6.813633530521788e-47,6.45308777716276e-52,1.403243194422445e-64,1.4863404257713692e-22,3.1515549786088556e-36,1.6947748289290872e-52,7.517224996857445e-47,4.01354640297202e-37,3.067735780756639e-42,5.139290889805944e-56,4.4608467216015485e-32,1.51594889406768e-53,3.1837475261228337e-47,2.0186443327785956e-62,2.1761666577589174e-58,1.5597830987453362e-20,7.364629013049416e-70,4.252130183459628e-53
7.185958747217479e-20,0.7431775404167472,2.8054053934080694e-23,1.5302651930010832e-24,2.765580748568043e-31,2.977859738091574e-22,0.0,0.0,1.0758754822807418e-18,1.0662420577127208e-34,1.1686662774280538e-45,3.9410947820145476e-47,1.382537634804786e-47,2.0022214104566266e-59,6.829820317547562e-41,2.6078176710074097e-34,8.695946761246947e-32,7.538789742852232e-47,2.9143028019976993e-56,3.6632095022797894e-54,3.084516314901566e-32,7.368905317934398e-50,5.694296108747782e-23,1.1810649295904879e-61,8.481809780680303e-48,2.911036908620787e-51,9.395849444338303e-35,1.9209175816036718e-34,4.986945180358133e-69,2.090122969526645e-53,2.608877266625104e-61,1.3489067173677227e-54,8.561193820330749e-48,1.8148934064708604e-61,3.76,0.0,0.5335580098512861,0.9999999999997783,4.3764392374934435e-44,1.4102968328836717e-45,3.77484046646115e-15,3.774840466461149e-15,3.926086039847115e-32,2.4054293899308882e-35,2.2173965232019216e-13,7.301820929434364e-36,4.153036838995194e-37,1.0759035363296996e-18,1.4561929883701158e-30,2.887379121938941e-34,1.6408785268075372e-30,1.6653366974449246e-16,3.4034009086023585e-35,2.7653967311876223e-31,3.125000981774187e-20,4.576041898447101e-36,2.442533291695681e-32,9.017008659391522e-32,1.4073276769598573e-39,1.6410860923008893e-40,5.694296108790103e-23,2.3049293940935924e-52,8.695946793909661e-32,1.747368255884421e-33,4.091562580074652e-46,8.159361981590995e-60,5.625609132687996e-59,1.135217790426825e-47,4.1093852726929395e-62,1.4234131601506537e-66,1.093155347563278e-70,9.145374969202484e-71,4.53429812313248e-57,4.325466470008202e-54,6.678956250676912e-71,9.402632087952947e-46,2.176321622458013e-52,5.4675118005489584e-46,5.1781965398253276e-51,2.252516098534659e-63,2.9778597379958075e-22,1.2639145031620453e-35,1.3599500670698902e-51,6.0320996416478284e-46,1.6096116178402926e-36,1.2302992560203674e-41,4.128157832676344e-55,1.7889990516082358e-31,1.2164534756386196e-52,2.5547568842939716e-46,3.2403712163551276e-61,1.8057395031809438e-57,3.1250009818023325e-20,1.1821860592163055e-68,3.412066812656313e-52
