Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043)
0.0,0.46460540045236276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7106426769991223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1830379448763326e-20,0.46460540045236265,5.045646231511189e-30,5.131680758829133e-35,8.944777823104275e-38,4.206627492794482e-32,0.0,0.0,5.870169494866873e-24,2.0865834089138032e-42,1.853607188561686e-55,2.9486398059352267e-57,7.628730081116023e-64,1.4992637932195123e-76,2.2495933737582145e-54,5.150130685309047e-44,2.320121658203551e-41,1.4755800460655434e-57,1.6368124166409914e-75,1.9726128248976573e-74,2.7245219457028157e-44,2.563021192490844e-66,3.0153278047211685e-32,1.3762084792114744e-75,4.224092644729604e-60,5.128393934410668e-68,7.786412141985231e-51,2.5559187201678692e-49,5.967705864821512e-91,1.234222993908537e-73,1.6095135955375933e-75,6.961692920824567e-72,1.9648798743915332e-64,9.419384117561387e-77,3.76,0.0,0.7106426769991223,0.9999999999999994,2.208491890308554e-51,5.137342495398345e-57,7.905207399181208e-21,7.905207399181208e-21,6.785685055166307e-44,1.420406979799864e-49,4.924428899467741e-16,4.574935127825285e-47,2.1459902743887706e-49,5.8701745405130205e-24,2.1901889266544978e-38,7.256918893729154e-47,9.442369392925751e-39,2.5094089401345225e-23,5.779707078895605e-46,8.943239904522461e-38,1.0011190798970363e-29,1.1126528251513934e-47,3.410645957474034e-44,2.7319385882555524e-40,1.217640839624013e-53,5.768583813586236e-55,3.015327804726468e-32,1.6107043185196282e-66,2.3201216582035527e-41,4.375926944925107e-38,3.2130730575593665e-61,2.834646161505264e-73,8.213542124573587e-76,8.57136853158476e-59,3.2172749622777245e-73,9.057247323194492e-81,2.790948306889113e-85,6.056192542416665e-85,3.908597664518863e-72,5.765582895169701e-72,2.9968336608681046e-85,7.153067664472825e-56,1.2377727860039844e-62,9.899384117589742e-54,5.244698109029946e-61,5.316670737050942e-85,4.206627492781e-32,1.537247046624362e-41,6.316497158095864e-63,2.1639478231494464e-55,8.107524842695529e-50,6.472135217354942e-53,2.846301615017657e-73,2.1648792525732727e-40,3.8880530485590555e-66,3.8743829856388595e-59,3.011968721520768e-73,2.57074302673047e-73,1.0011190798955909e-29,4.0667433504615695e-90,2.3018402709835464e-70,3.4444516926339094e-67,2.5833098065752286e-71,4.2226376604590014e-108,6.504905072397207e-82
3.3125062456537314e-20,0.46460540045236276,1.4127809450018295e-29,1.436870612689913e-34,5.402645805154828e-37,1.1778556979849658e-31,0.0,0.0,1.643647458562726e-23,1.2602963789839378e-41,2.200602454260339e-54,3.500625179243946e-56,9.056828352318732e-63,1.7799259753051615e-75,1.3587543977473757e-53,3.1106789339169346e-43,1.4013534815549263e-40,1.751808630684656e-56,1.9432237168394172e-74,2.341885945720703e-73,1.6456112552045002e-43,3.0428187597242848e-65,8.442917853202585e-32,3.0785233196567187e-74,5.0148427878226735e-59,7.749776523857581e-67,4.702992933758718e-50,1.543774906981346e-48,1.3354055354145739e-89,1.4652695383681703e-72,3.693033815267506e-74,1.0520510343432946e-70,2.332705388467662e-63,2.9611556594927225e-75,3.76,0.0,0.7106426769991223,0.9999999999999987,2.621921572174247e-50,6.099053010536838e-56,2.213458071770738e-20,2.213458071770738e-20,4.098553773312418e-43,8.579258157989313e-49,1.3788400917987144e-15,2.7632608172057782e-46,1.2961781258338319e-48,1.6436488713436198e-23,1.322874111699214e-37,4.38326443853541e-46,5.703191113327081e-38,7.026345032376633e-23,3.4909430756524373e-45,5.401716902331541e-37,2.80313342371159e-29,6.72042306407002e-47,2.060030158314162e-43,1.650090907306165e-39,7.354550671318421e-53,3.484224640229539e-54,8.442917853234595e-32,1.9122281669504804e-65,1.4013534815549277e-40,2.6430598747342853e-37,3.814560333934223e-60,6.341094472945114e-72,2.582469057775977e-74,1.017695385709576e-57,7.197608015058083e-72,2.0260699972133252e-79,6.2432397245630505e-84,1.3547691883236184e-83,4.6402871472749974e-71,6.845022181356442e-71,6.703797025738684e-84,8.492121931073037e-55,1.469483852248533e-61,1.1752548824400894e-52,6.226505594949455e-60,1.1893179771952691e-83,1.1778556979768227e-31,9.28497216161106e-41,7.4989454258149665e-62,2.5690388556428377e-54,4.89694500498801e-49,3.9091696713092e-52,4.301330111040795e-72,1.3075870685542515e-39,4.6158962816339715e-65,4.599667480550339e-58,6.737653551291839e-72,5.7413169064663e-72,2.8031334237028595e-29,9.097142205247979e-89,2.732841454496908e-69,4.089326173304643e-66,3.0669062683101944e-70,2.0172297369314111e-106,1.4551461022731828e-80
7.571442847208529e-20,0.46460540045236276,3.229213589418039e-29,3.2842756871749354e-34,2.6011413909584955e-36,2.6922415954060445e-31,0.0,0.0,3.7569084767148107e-23,6.067784553121355e-41,2.1605645389872094e-53,3.436934562874804e-55,8.892047782603983e-62,1.7475418773610315e-74,6.541817530850104e-53,1.497658003273277e-42,6.746913782055658e-40,1.7199361016804917e-55,1.9078686013826472e-73,2.299277508707215e-72,7.922909818103787e-43,2.9874575019647147e-64,1.929809795009867e-31,6.082643304092588e-73,4.923602386695865e-58,8.33676905987781e-66,2.264288650888763e-49,7.432611638247462e-48,2.641292682587905e-88,1.4386103216996527e-71,7.378700890532528e-73,1.1317484952420265e-69,2.29026398424159e-62,6.605892675232766e-74,3.76,0.0,0.7106426769991223,0.9999999999999969,2.5742181473434416e-49,5.988086412636086e-55,5.059332735475973e-20,5.059332735475973e-20,1.9732772140303174e-42,4.130543497255203e-48,3.1516344952935827e-15,1.330391135170552e-45,6.240539719458484e-48,3.7569117059281547e-23,6.369069398709747e-37,2.1104401543809402e-45,2.7458410194627016e-37,1.6060217216860742e-22,1.6807388185420825e-44,2.600694164235097e-36,6.407162111340256e-29,3.2355944157692165e-46,9.918158444332183e-43,7.944477414644326e-39,3.540899561610705e-52,1.677504198226057e-53,1.9298097950252786e-31,1.8774369536788113e-64,6.7469137820556675e-40,1.2725195555835043e-36,3.745157955890409e-59,1.2529025072455333e-70,5.761346403872461e-73,9.99224285409818e-57,1.4221928335065647e-70,4.003172892515782e-78,1.2335589619795312e-82,2.676895685028482e-82,4.555861437633622e-70,6.720742144032227e-70,1.3245573235245828e-82,8.337615669123322e-54,1.4427479615505154e-60,1.1538722127457516e-51,6.113220115603533e-59,2.3498919057174156e-82,2.69224159536684e-31,4.470314411583518e-40,7.362509086619574e-61,2.522297582662425e-53,2.3576682242557258e-48,1.8820969212470415e-51,4.627174347180376e-71,6.295468866483008e-39,4.53191371079269e-64,4.5159808080603044e-57,1.3312468025618002e-70,1.1333383505865455e-70,6.40716211129822e-29,1.7974419997994246e-87,2.68332470352546e-68,4.0150795766102145e-65,3.011108498627293e-69,1.0504047778451035e-104,2.8752309716243057e-79
1.6089316050318124e-19,0.46460540045236276,6.862078881109609e-29,6.9790858396290665e-34,1.1359867835340078e-35,5.72101339028838e-31,0.0,0.0,7.983430513019012e-23,2.6499609293205473e-40,1.9109948671189413e-52,3.039929704988063e-54,7.864915564543191e-61,1.5456810002247624e-73,2.856983584632858e-52,6.540665970191696e-42,2.946554505918233e-39,1.5212640042633725e-54,1.6874882306465228e-72,2.0336849179698836e-71,3.460142871042575e-42,2.6423723286048734e-63,4.100845814362386e-31,1.0823738765245239e-71,4.354870553008415e-57,7.662895577335353e-65,9.888743420315644e-49,3.2460167746124686e-47,4.709861522032478e-87,1.2724345377996555e-70,1.3196918987326745e-71,1.0402718508304908e-68,2.0257125587678993e-61,1.2371901294854907e-72,3.76,0.0,0.7106426769991223,0.9999999999999933,2.2768667992320684e-48,5.296394619055412e-54,1.0751082062886442e-19,1.0751082062886442e-19,8.617820019936748e-42,1.8039168643429325e-47,6.697223301447268e-15,5.810167612327357e-45,2.725407650056545e-47,7.98343737509682e-23,2.781539936849631e-36,9.217611109242554e-45,1.1991809129014608e-36,3.4127961585828483e-22,7.340227990189574e-44,1.135791467874317e-35,1.3615219486595813e-28,1.4130690881767918e-45,4.3315203659896407e-42,3.469562007081639e-38,1.5464038663060405e-51,7.326101704018041e-53,4.100845814429693e-31,1.660571724246894e-63,2.9465545059182406e-39,5.557427220047483e-36,3.312549799419751e-58,2.2294800363108584e-69,1.0790364190285836e-71,8.838204046364211e-56,2.530770351859283e-69,7.123432273586861e-77,2.1950522640159804e-81,4.763750598626105e-81,4.029607847940281e-69,5.944880656565782e-69,2.3569789859577702e-81,7.374526638133887e-53,1.2760942360456383e-59,1.020586904985965e-50,5.407073961893803e-58,4.181507091980161e-81,5.721013390117163e-31,1.9523037492128107e-39,6.512055908310891e-60,2.230943647752959e-52,1.0296556550221941e-47,8.219611726456438e-51,4.2531703078504124e-70,2.749396650767985e-38,4.008425233466445e-63,3.994333882873504e-56,2.3688825569130354e-69,2.0157876642043899e-69,1.3615219486412234e-28,3.198452001684654e-86,2.373734545870695e-67,3.551567952638145e-64,2.6632944351692143e-68,4.192190078733024e-103,5.116704170135074e-78
3.3125062456537313e-19,0.46460540045236276,1.412780947592936e-28,1.4368706158473682e-33,4.742521201807775e-35,1.1778556980213751e-30,0.0,0.0,1.6436474585627535e-22,1.1063065234061148e-39,1.6063063318914247e-51,2.5552440969288223e-53,6.610935428823971e-60,1.2992380149237834e-72,1.1927344067305392e-51,2.730599289215144e-41,1.2301285031792747e-38,1.2787140585882103e-53,1.418435635283722e-71,1.709434712275204e-70,1.4445415356116326e-41,2.221073157063531e-62,8.442917852960631e-31,1.825581745849332e-70,3.660531100436701e-56,6.55575649100307e-64,4.1283557176755307e-48,1.3551481054323518e-46,7.97697415427902e-86,1.0695578989527111e-69,2.2312991952819727e-70,8.899744709116906e-68,1.702733465565948e-60,2.13692246070439e-71,3.76,0.0,0.7106426769991223,0.9999999999999862,1.913843736270353e-47,4.451938809031439e-53,2.213458071770738e-19,2.213458071770738e-19,3.59777021613716e-41,7.530997806872825e-47,1.378840091041043e-14,2.4256306047632844e-44,1.1378040449035954e-46,1.6436488713432528e-22,1.1612381689107923e-35,3.8488101002410746e-44,5.006344252128247e-36,7.026345032376213e-22,3.0644006932233898e-43,4.741705797377493e-35,2.8031334237099834e-28,5.899285281054498e-45,1.80832448665059e-41,1.448473839490474e-37,6.455931731538411e-51,3.0585033726505928e-52,8.442917853241623e-31,1.3958105912070005e-62,1.23012850317928e-38,2.320116466192629e-35,2.7843977025090274e-57,3.760348072819732e-68,1.8637670756451206e-70,7.429113775920456e-55,4.268557455065752e-68,1.201470971236309e-75,3.70227647876522e-80,8.035969001912671e-80,3.387128198015773e-68,4.997804816181214e-68,3.97538956166447e-80,6.198733986716107e-52,1.072634100308553e-58,8.578647886138036e-50,4.5449714650420765e-57,7.052722892545772e-80,1.177855697949896e-30,8.150483841201208e-39,5.4737753699863215e-59,1.8752425603739743e-51,4.298609671595928e-47,3.431526092615686e-50,3.638676703885979e-69,1.1478189797142857e-37,3.3693210478991717e-62,3.357478305225534e-55,3.995466675380779e-68,3.3991450678257316e-68,2.8031334236333434e-28,5.394656796410866e-85,1.995879649458131e-66,2.9857703900983486e-63,2.238664602779402e-67,1.4901836442228658e-101,8.631366308161393e-77
6.719655526897569e-19,0.46460540045236276,2.8659270711315287e-28,2.914794685190833e-33,1.937474655593891e-34,2.389364416070732e-30,0.0,0.0,3.334256273084508e-22,4.519623127043796e-39,1.3169469798244578e-50,2.094943509031888e-52,5.420044280629954e-59,1.065193821236667e-71,4.872709230989883e-51,1.1155389068457769e-40,5.025476316533119e-38,1.0483670418346814e-52,1.1629193938152645e-70,1.4014978568394022e-69,5.901423515270125e-41,1.8209699657398928e-61,1.712706192972995e-30,2.998523499433252e-69,3.0011245561085696e-55,5.420421558173432e-63,1.6865680155983027e-47,5.536222184626889e-46,1.3210931979771772e-84,8.768881855274185e-69,3.66931988074371e-69,7.358481046890464e-67,1.3960037723753092e-59,3.5505161351568604e-70,3.76,0.0,0.7106426769991223,0.999999999999972,1.5690847245619392e-46,3.649968410456801e-52,4.490157802734926e-19,4.490157802734926e-19,1.469806525594403e-40,3.0766583345036375e-46,2.797075611495993e-14,9.909492484192707e-44,4.6483007859746476e-46,3.3342591390097473e-22,4.744036822678669e-35,1.5728866350826852e-43,2.045254979984456e-35,1.4253442779962196e-21,1.251907672111126e-42,1.9371415362789167e-34,5.686356373807951e-28,2.4100505271667823e-44,7.387595569708916e-41,5.917488259682879e-37,2.6374587641338027e-50,1.2494985270598377e-51,1.7127061930877897e-30,1.1443698540367213e-61,5.02547631653316e-38,9.478432799729172e-35,2.282817462737723e-56,6.176381290286851e-67,3.0966768687731785e-69,6.090864469221734e-54,7.01115308001591e-67,1.9734196781158348e-74,6.081000233344457e-79,1.3203069578197643e-78,2.7769723379650314e-67,4.098772321474313e-67,6.52958928763655e-79,5.0820966320771116e-51,8.794102485802459e-58,7.033293837113305e-49,3.7262422017065293e-56,1.1584118528994111e-78,2.389364415778715e-30,3.3297385928692535e-38,4.487731757019323e-58,1.5374371483760668e-50,1.7561223110261716e-46,1.4018903769366848e-49,3.0085282527212114e-68,4.6892150562432774e-37,2.7623698670695523e-61,2.752663564917828e-54,6.562566011926726e-67,5.582472219387135e-67,5.686356373494851e-28,8.860739987235506e-84,1.6373475532953029e-65,2.448675103672222e-62,1.8354009466760138e-66,5.020788156443512e-100,1.4181305532163577e-75
1.3533954089385245e-18,0.46460540045236276,5.772219336507286e-28,5.870642846175927e-33,7.831582333448605e-34,4.812381852426575e-30,0.0,0.0,6.7154739021282165e-22,1.8269039305077815e-38,1.0664978084164537e-49,1.6965395962658018e-51,4.389292382891218e-58,8.626215733673424e-71,1.969626978956076e-50,4.50918662031579e-40,2.0313778775950776e-37,8.489948111554455e-52,9.417625377955879e-70,1.1349693007883406e-68,2.3854497405162085e-40,1.4746686900765426e-60,3.44953500815599e-30,4.8607358077207554e-68,2.4303884749400755e-54,4.4077949542485e-62,6.817377578055793e-47,2.237829523600995e-45,2.1767982577426035e-83,7.101267875008459e-68,5.9516703202799596e-68,5.983794608752695e-66,1.1305200526855916e-58,5.788227464083703e-69,3.76,0.0,0.7106426769991223,0.9999999999999437,1.270685491217807e-45,2.955839050608233e-51,9.043557264663302e-19,9.043557264663302e-19,5.9411929779006166e-40,1.2436344903316654e-45,5.633546647055164e-14,4.005575301229743e-43,1.8789175026593145e-45,6.715479674340147e-22,1.9176155343445912e-34,6.3620804568400094e-43,8.267247637230514e-35,2.870763827513119e-21,5.06041097346372e-42,7.830235811922643e-34,1.1452802273992541e-27,9.741809572149455e-44,2.986184246759555e-40,2.391943367051732e-36,1.0661030017479787e-49,5.0506736553003885e-51,3.449535008620008e-30,9.267403776579798e-61,2.031377877595109e-37,3.8313340847288936e-34,1.8486847673602766e-55,1.001216253788731e-65,5.048364849392982e-68,4.932551191969165e-53,1.1365408966043007e-65,3.198998338875538e-73,9.857563425472738e-78,2.141560420335516e-77,2.248864196450234e-66,3.3213490663147513e-66,1.0584745598979298e-77,4.1156136117252595e-50,7.121692314142426e-57,5.69574369972359e-48,3.0176075427646615e-55,1.8778355329011563e-77,4.812381851246195e-30,1.3459335771770627e-37,3.634281524482828e-57,1.2450564635017133e-49,7.09852716096375e-46,5.666665047890094e-49,2.4464852129802008e-67,1.895455699831585e-36,2.2370337266423436e-60,2.2291783224909243e-53,1.0638202305430864e-65,9.048915653205088e-66,1.1452802272726937e-27,1.4363641354484803e-82,1.3275940140894911e-64,1.9842317853654785e-61,1.4863689597491632e-65,1.6488176927477722e-98,2.300232031945825e-74
2.7162551214360594e-18,0.46460540045236276,1.1584803940453088e-27,1.1782339257338782e-32,3.149044811723233e-33,9.658416726166772e-30,0.0,0.0,1.3477909160216429e-21,7.345900354418373e-38,8.58410219423385e-49,1.365522707071076e-50,3.532884370040137e-57,6.943128884901677e-70,7.919783454013386e-50,1.8131241075191495e-39,8.168081102557942e-37,6.833448847791032e-51,7.580128436087055e-69,9.135220334268971e-68,9.591788490724591e-40,1.1869416550273034e-59,6.923192637838505e-30,7.828065170166345e-67,1.95618808364207e-53,3.555045609306345e-61,2.741237540206004e-46,8.998214091062947e-45,3.619201254431789e-82,5.715718182137389e-67,9.58782628159178e-67,4.826147174942964e-65,9.099408978027335e-58,9.347994883357253e-68,3.76,0.0,0.7106426769991223,0.999999999999887,1.0227582304695827e-44,2.3791164201132185e-50,1.8150356188520053e-18,1.8150356188520053e-18,2.3889275657787446e-39,5.0005995885174285e-45,1.1306488696770589e-13,1.61062421143671e-42,7.555044680874136e-45,1.3477920744990585e-21,7.710647723763921e-34,2.5615592489789602e-42,3.3242239142515357e-34,5.761602926545728e-21,2.034768995913632e-41,3.148503381344977e-33,2.2985694074316333e-27,3.917138788888955e-43,1.2007315519004616e-39,9.617899077349255e-36,4.286753280693289e-49,2.0308543316552756e-50,6.923192639704301e-30,7.459212806376694e-60,8.16808110255819e-37,1.5405625846310334e-33,1.4879823327045492e-54,1.6124212425995437e-64,8.153122692305973e-67,3.970150806685704e-52,1.83036629076191e-64,5.151888205852811e-72,1.5875302002179858e-76,3.4530590007796043e-76,1.8100815509337028e-65,2.676621958373437e-65,1.704640642808094e-76,3.3126038798832865e-49,5.73215773862818e-56,4.584430047996055e-47,2.428833073876432e-54,3.024196235279387e-76,9.65841672142052e-30,5.411939717516409e-37,2.9251859387580087e-56,1.0021297592855078e-48,2.854286550963328e-45,2.2785410939239537e-48,1.9731789658590875e-66,7.621544003850751e-36,1.800551294191344e-59,1.7942366480686954e-52,1.713249685516728e-64,1.4572587641056822e-64,2.29856940692274e-27,2.3132201594906714e-81,1.0711831048534053e-63,1.5990643300321165e-60,1.1963810830615929e-64,5.349214805798343e-97,3.7089018505381736e-73
5.44197454643113e-18,0.46460540045236276,2.320997344112184e-27,2.3605732436435147e-32,1.262907813967798e-32,1.9350486477761216e-29,0.0,0.0,2.700277967639604e-21,2.9460345955457304e-37,6.888201402958531e-48,1.0957460460442919e-49,2.8349172144450357e-56,5.571423664956492e-69,3.176187385207866e-49,7.271438607628349e-39,3.275765848476377e-36,5.483412342881008e-50,6.082582457931225e-68,7.330439003049955e-67,3.84673618800613e-39,9.524459271483346e-59,1.3870507894469635e-29,1.2565778252936835e-65,1.5697177406869756e-52,2.855605725711289e-60,1.0993588584566806e-45,3.6086863054630174e-44,6.17411576354384e-81,4.5865038777881803e-66,1.5392864016492481e-65,3.876623940570263e-64,7.301702746420226e-57,1.5026622418068116e-66,3.76,0.0,0.7106426769991223,0.9999999999997735,8.20699068885407e-44,1.9090910956191807e-49,3.636395403623355e-18,3.636395403623355e-18,9.580668010181905e-39,2.00546409221899e-44,2.265237271058977e-13,6.45932345692519e-42,3.0299108571272784e-44,2.7002802886250016e-21,3.092314604345242e-33,1.0300226693641942e-41,1.3331624691610839e-33,1.1543281124606187e-20,8.160333746128984e-41,1.2626906761741547e-32,4.605147767478237e-27,1.570947857441465e-42,4.815470563384365e-39,3.8572077010073144e-35,1.7191797949461887e-48,8.1446395539480885e-50,1.3870507901952316e-29,5.985548514033915e-59,3.275765848476575e-36,6.178344997674975e-33,1.1940121121302883e-53,2.58827100834057e-63,1.3105906528719321e-65,3.1857977837483744e-51,2.9381450326935097e-63,8.269921543826402e-71,2.5483375553570682e-75,5.556221983292441e-75,1.4524764478519717e-64,2.1531347464385914e-64,2.7363257367548383e-75,2.658155984875522e-48,4.599695893059791e-55,3.678716396125922e-46,1.9489855752680315e-53,4.854504716015409e-75,1.9350486458726617e-29,2.1704298816414045e-36,2.3472774820528376e-55,8.041460198908799e-48,1.144696568019635e-44,9.137968897594842e-48,1.584964673200261e-65,3.0565800274298237e-35,1.444816073189876e-58,1.439761912993076e-51,2.750145172752923e-63,2.3391899998558587e-63,4.605147765437348e-27,3.713230656937958e-80,8.637616667514929e-63,1.2863292274595972e-59,9.60055833971488e-64,1.726475819606537e-95,5.967892380293442e-72
