Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66)
0.0,0.5340418476984762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7699527366019043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1411684009613474e-21,0.5340418476984761,1.5964199138334899e-28,8.822723080310242e-33,8.350116310296343e-44,3.3567304471443576e-63,0.0,0.0,2.728409669014434e-23,6.746767615965628e-42,2.104553489058795e-84,1.3071089176165e-102,5.4420496314528474e-77,1.675802944689959e-100,6.078641965660906e-93,1.366184276403237e-88,2.1748642573966635e-94,1.311173642152038e-78,3.2738323897194313e-72,3.7559619008992626e-71,2.2304770175250906e-42,5.892490664480463e-64,3.4285179349777436e-103,-6.978794702407388e-139,5.642917627440958e-104,2.718875118569934e-88,9.289973806064822e-65,-6.504581938300868e-101,-4.790613124646878e-178,3.4184170554870614e-141,2.5871306779457848e-102,1.3975353293036913e-98,4.545604023190474e-79,-5.820397068395467e-135,3.76,0.0,0.7699527366019043,0.9999999999999998,4.947376562322516e-58,2.3178355210827285e-110,6.055969481225871e-20,6.055969481225871e-20,4.490431343576107e-42,5.73102812688852e-47,3.3911648833945817e-16,2.0364651026804564e-45,1.9000265366835746e-47,2.728425633213572e-23
5.995271522691773e-21,0.5340418476984761,4.4699757587341045e-28,2.470362462513824e-32,5.043470251419359e-43,5.072691051724908e-62,0.0,0.0,7.63954707324041e-23,4.0750476400432374e-41,4.7079276125875324e-83,7.528096814181176e-101,1.2242351083330056e-75,5.2689925865756736e-99,1.3597678934067277e-91,4.295501954516954e-87,1.113592514409017e-92,3.620080388108238e-77,3.886693813834209e-71,4.4590779687473835e-70,1.3472081185851546e-41,6.995564916870892e-63,1.974650790527551e-101,2.811994339188156e-137,2.86079212403416e-102,8.5485801435637e-87,1.3733402257290492e-63,7.181695379336659e-100,5.1372621447846265e-176,1.0689104314098864e-139,1.3115986360749397e-100,7.155781638856668e-97,1.2677908710825104e-77,2.4648185120535405e-133,3.76,0.0,0.7699527366019043,0.9999999999999991,5.873525547131288e-57,2.159414535853033e-108,1.6956714547432436e-19,1.6956714547432436e-19,2.7122205315183483e-41,3.4615409886403254e-46,9.495261673439881e-16,1.230024922018946e-44,1.1476160281674046e-46,7.639591772997998e-23
1.3703477766152624e-20,0.5340418476984761,1.0217087448536672e-27,5.646542771587252e-32,2.428213823034727e-42,5.4569695533148074e-61,0.0,0.0,1.7461821881692354e-22,1.9619600227228023e-40,9.302188535096879e-82,3.3758903698867777e-99,2.4255064710752888e-74,1.175483261377017e-97,2.6866722179287274e-90,9.583028565477601e-86,4.8385599538007535e-91,7.815088638133162e-76,3.815979035728965e-70,4.377949191687498e-69,6.486227166962962e-41,6.868287118517451e-62,8.855162957605974e-100,5.735652481174261e-135,1.2394288249229872e-100,1.9071421632434295e-85,1.4668563872065783e-62,3.896034485958428e-98,5.719292049701136e-173,2.5767870092211467e-137,5.682458158485533e-99,3.109187991709979e-95,2.744487157018752e-76,5.036554841316823e-131,3.76,0.0,0.7699527366019043,0.9999999999999979,5.766662252169417e-56,1.8779835699949061e-106,3.875820467984557e-19,3.875820467984557e-19,1.305817434709502e-40,1.6665829792986712e-45,2.170345525327071e-15,5.922040518594022e-44,5.525277168832123e-46,1.7461924052566836e-22
2.911989025307432e-20,0.5340418476984761,2.171131082814715e-27,1.1998903390165424e-31,1.060464771408206e-41,5.015895172561395e-60,0.0,0.0,3.710637149859619e-22,8.568394872276325e-40,1.6552863273895582e-80,1.2700908268574224e-97,4.321434737636838e-73,2.201550055305158e-96,4.780789667155657e-89,1.7947951929498088e-84,1.7977633846332874e-89,1.4444089340268098e-74,3.375190245209902e-69,3.872246481349672e-68,2.832705812256864e-40,6.074922175450728e-61,3.331533621813544e-98,9.059478705584483e-133,4.599696429715866e-99,3.571869835628121e-84,1.3444805252363598e-61,1.528659041657905e-96,4.062857500283519e-170,4.3048437631768744e-135,2.1088409370854152e-97,1.1552166203473304e-93,5.078211854205174e-75,7.964930113981119e-129,3.76,0.0,0.7699527366019043,0.9999999999999954,5.1005474727430706e-55,1.3982600806890392e-104,8.236118494467183e-19,8.236118494467183e-19,5.702847806316549e-40,7.278405721143148e-45,4.6119842411893274e-15,2.5863106804034105e-43,2.4130337017488944e-45,3.7106588611704467e-22
5.995271522691772e-20,0.5340418476984762,4.469975758738949e-27,2.470362462904703e-31,4.427231667724254e-41,4.291203922868622e-59,0.0,0.0,7.639547073240367e-22,3.577136189984955e-39,2.791898476640638e-79,4.397915863460359e-96,7.293031554806039e-72,3.8026302337029344e-95,8.063500561021143e-88,3.100062362011327e-83,6.188370829484122e-88,2.4792091425362892e-73,2.8370507760957123e-68,3.254856487926289e-67,1.1825989146918025e-39,5.106338129984419e-60,1.1536043200869773e-96,1.2843076847189198e-130,1.5824495439366788e-97,6.169529437838404e-83,1.1487765606614296e-60,5.3940402472988565e-95,2.4335290739928273e-167,6.260360424489785e-133,7.2551187136176155e-96,3.976557347756007e-92,8.721077156119387e-74,1.129799839398535e-126,3.76,0.0,0.7699527366019043,0.9999999999999906,4.287317488254509e-54,9.63688816976316e-103,1.6956714547432436e-18,1.6956714547432436e-18,2.380826698341457e-39,3.0385911128715487e-44,9.495261672498203e-15,1.0797337974404858e-42,1.0073940698939911e-44,7.639591772997952e-22
1.2161836517460451e-19,0.5340418476984762,9.067665110595972e-27,5.011306711371127e-31,1.8086685932797765e-40,3.5480503871793035e-58,0.0,0.0,1.5497366920001783e-21,1.4613768526886018e-38,4.58573661869684e-78,1.4632134510497112e-94,1.1982262570679945e-70,6.318127006430635e-94,1.3244323925556995e-86,5.150799980610068e-82,2.0529040504713876e-86,4.1064718844166537e-72,2.3259856410559504e-67,2.6685279989457397e-66,4.831302439040045e-39,4.186484510913176e-59,3.838114236630169e-95,1.7287222382537534e-128,5.248093380878506e-96,1.0250807170948818e-81,9.492618623466396e-60,1.8110521147487358e-93,1.3457243080256304e-164,8.53175167877909e-131,2.406114009050697e-94,1.3191664041985107e-90,1.4449171500332746e-72,1.521190362006355e-124,3.76,0.0,0.7699527366019043,0.9999999999999808,3.515001908222879e-53,6.397399610635369e-101,3.439790665336294e-18,3.439790665336294e-18,9.726453907248291e-39,1.2413636163925442e-43,1.9261816533453394e-14,4.4110648710041176e-42,4.1155334807390187e-44,1.5497457596652886e-21
2.449496650699781e-19,0.5340418476984762,1.8263043814344237e-26,1.0093195211064392e-30,7.310927635283106e-40,2.88521565033125e-57,0.0,0.0,3.1213006613524315e-21,5.907118892623339e-38,7.433775739603986e-77,4.773740249319824e-93,1.9426510907503512e-69,1.0300141633361158e-92,2.1469619952594164e-85,8.397103965708106e-81,6.68785961539261e-85,6.684237181756875e-71,1.8836434894020532e-66,2.1610431598030645e-65,1.9528896917400572e-38,3.390323698872948e-58,1.252186797937448e-93,2.2686867459877722e-126,1.7094631642382658e-94,1.6711538945226998e-80,7.716989832069182e-59,5.9350932280631654e-92,7.158175969009929e-162,1.1265374266581933e-128,7.83744285097387e-93,4.2975217628794875e-89,2.352255109283826e-71,1.9966219343038744e-122,3.76,0.0,0.7699527366019043,0.9999999999999613,2.846539678875563e-52,4.169417593213027e-99,6.928029086522395e-18,6.928029086522395e-18,3.931588181848016e-38,5.01779021440795e-43,3.8794926248713544e-14,1.7830229477168507e-41,1.6635644351440074e-43,3.1213189243962457e-21
4.916122648607254e-19,0.5340418476984762,3.665380122197763e-26,2.0256972221492585e-30,2.939691847534078e-39,2.327030946117884e-56,0.0,0.0,6.2644286000568146e-21,2.375226526271055e-37,1.197217427852115e-75,1.5423959769618834e-91,3.1287993506354724e-68,1.663475625082162e-91,3.4576161489248758e-84,1.356134534256985e-79,2.1592756164936705e-83,1.0786723676746646e-69,1.5161201729078204e-65,1.7393955415094084e-64,7.852483559277779e-38,2.7288274643401634e-57,4.045817434060242e-92,2.940242717884888e-124,5.51887446773768e-93,2.698961959722918e-79,6.223136830851373e-58,1.9218935983506857e-90,3.735285803564578e-159,1.4644528890954417e-126,2.5302599449028626e-91,1.3875192583616838e-87,3.796219872695291e-70,2.5878314860014677e-120,3.76,0.0,0.7699527366019043,0.9999999999999222,2.2911427773289014e-51,2.69270205107339e-97,1.3904505928894598e-17,1.3904505928894598e-17,1.5808743161037096e-37,2.0176313761568124e-42,7.786114565263296e-14,7.16945685255158e-41,6.689119431595581e-43,6.2644652538580364e-21
9.849374644422197e-19,0.5340418476984762,7.343531603779191e-26,4.0584526286515615e-30,1.1789479118043229e-38,1.8691978053107988e-55,0.0,0.0,1.2550684477465087e-20,9.525720716375306e-37,1.9218969580754296e-74,4.959479288183336e-90,5.0225915675083434e-67,2.673988483604957e-90,5.550239802610715e-83,2.1799466590067275e-78,6.940490983964149e-82,1.7332648924725956e-68,1.2165909879108181e-64,1.3957553787468297e-63,3.1491971181815685e-37,2.189712184568415e-56,1.3009077742138182e-90,3.7869296703233083e-122,1.773852734600664e-91,4.338643840762254e-78,4.9984048987550503e-57,6.186569173810174e-89,1.930680629303367e-156,1.889026656728915e-124,8.132651380757586e-90,4.4598590656365654e-86,6.100161950773038e-69,3.33315731612832e-118,3.76,0.0,0.7699527366019043,0.999999999999844,1.8384977878529142e-50,1.7311370912670998e-95,2.7857459613639e-17,2.7857459613639e-17,6.340013070378946e-37,8.091604225969276e-42,1.5599358435406825e-13,2.8752728596524465e-40,2.6826360735399877e-42,1.2550757912781124e-20
