Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38)
3.7944414739935306e-19,0.8756565971377461,8.326379482834629e-48,7.54883391736188e-22,3.662153163845008e-60,3.884397333805437e-74,0.0,0.0,3.3078494662269697e-49,9.167008880531983e-110,2.313783380728089e-59,7.789350316002067e-74,4.8400523181541095e-56,5.539009292613417e-97,2.8043211461331165e-75,1.2231563281159713e-61,5.539322541283454e-97,3.3850957157345367e-74,4.607540699539233e-61,8.657164429437512e-48,1.328037650442694e-28,9.304742727482098e-45,8.55211544020954e-74,4.041157852917609e-155,6.667328908178172e-112,8.001945695997027e-101,3.166264521359603e-77,3.2112095931267804e-132,5.3981835705593584e-207,1.990854217611777e-191,9.300802941823832e-125,2.1613987335924334e-148,1.325322444202777e-89,5.341711163626673e-164,3.76,0.0,0.6347290429791884,1.0,1.1001561076137308e-74,6.444216306433666e-140,2.0589713936813592e-13,2.058971393681362e-13
7.592179595662121e-19,0.8756565971377797,6.666166381448609e-47,1.5104226335086368e-21,5.864216497837489e-59,1.2445018976088717e-72,0.0,0.0,2.6482908870690666e-48,1.1757599672609419e-107,3.7050749010031325e-58,2.495589095468237e-72,7.750389834754768e-55,3.551204912122642e-95,8.984618953943388e-74,1.959327652672373e-60,3.551606550187478e-95,1.0845332441035601e-72,7.380644400003124e-60,6.930995470123788e-47,5.315611567770964e-28,7.44945186388112e-44,2.7399678712365267e-72,4.1500961078827495e-152,8.549801386935672e-110,1.0260877147128965e-98,1.0147933201744309e-75,1.6484514645549662e-129,4.445629573482667e-203,8.397936207381328e-188,2.3853799417644718e-122,2.2200360704425503e-145,8.49557770081572e-88,1.0975710350023035e-160,3.76,0.0,0.6347290429789824,1.0,3.5247330433366095e-73,3.3089573708943097e-137,4.1197316417438236e-13,4.119731641743834e-13
1.51876558389993e-18,0.8756565971378465,5.334959089204106e-46,3.0215011170535348e-21,9.386565449697242e-58,3.984799353275484e-71,0.0,0.0,2.1194375793204106e-47,1.5064996563330806e-105,5.930538278683676e-57,7.990683663958195e-71,1.2405671153294091e-53,2.2747695949245146e-93,2.8768058836735825e-72,3.13674746077739e-59,2.2752841271123487e-93,3.472592028998039e-71,1.1815898963667903e-58,5.5469028470853594e-46,2.1269370175782054e-27,5.961825531562379e-43,8.773166374381341e-71,4.256185993694732e-149,1.0954678727038437e-107,1.3145702358237865e-96,3.2498826088401625e-74,8.451129032158321e-127,3.6519615737082586e-199,3.6183813508293376e-184,6.112693157845631e-120,2.2767866474209386e-142,5.441497931001907e-86,2.2515146386222814e-157,3.76,0.0,0.6347290429785702,1.0,1.1285924094243885e-71,1.696769076523064e-134,8.241252137866067e-13,8.241252137866111e-13
3.0378608325673663e-18,0.8756565971379803,4.2687778381685474e-45,6.04365808414333e-21,1.5021560723855733e-56,1.2755188524158765e-69,0.0,0.0,1.6958720801284827e-46,1.929297379101919e-103,9.490796590075504e-56,2.557786811326168e-69,1.9853112785978295e-52,1.4564923624283368e-91,9.208544307492206e-71,5.020254988320625e-58,1.4571512424587604e-91,1.1115632700790653e-69,1.8910934481027462e-57,4.438365046100119e-45,8.509133048518815e-27,4.7703662349270016e-42,2.8082566054431224e-69,4.362393044516609e-146,1.4031359882946578e-105,1.683404185896288e-94,1.0403696409450149e-72,4.3298111534957945e-124,2.996601589446535e-195,1.624112739160578e-180,1.5658973009213382e-117,2.3332077262693767e-139,3.483944293529868e-84,4.614911067796104e-154,3.76,0.0,0.6347290429777459,1.0,3.612580627757126e-70,8.695529367572983e-132,1.6484293130099822e-12,1.648429313009999e-12
6.076051329902238e-18,0.8756565971382478,3.4153465318845565e-44,1.208797201832292e-20,2.4036942266300986e-55,4.082273330226326e-68,0.0,0.0,1.3568264845337605e-45,2.4701266427853623e-101,1.5186823367927293e-54,8.186146874047005e-68,3.176821201186517e-51,9.323599056092815e-90,2.947176732668658e-69,8.033575413258854e-57,9.332034505418173e-90,3.557536671220368e-68,3.026189280111205e-56,3.551029180207878e-44,3.403930234772617e-26,3.8166553504403025e-41,8.987770758290606e-68,4.470672962182981e-143,1.797220865088267e-103,2.1552402242336187e-92,3.329834515705185e-71,2.217588883618735e-121,2.4580930829626277e-191,7.807056040836536e-177,4.0113906276383523e-115,2.3901155859730995e-136,2.230167840346965e-82,9.455352702320182e-151,3.76,0.0,0.6347290429760973,1.0,1.1561994181467238e-68,4.455667146134304e-129,3.2970375114524376e-12,3.297037511452505e-12
1.2152432324571981e-17,0.8756565971387831,2.732406936957547e-43,2.4176599886682103e-20,3.846106383424502e-54,1.3064255546410967e-66,0.0,0.0,1.0855127185533321e-44,3.1621628030706005e-99,2.4300157661207626e-53,2.619763669382517e-66,5.083172462027766e-50,5.967758815946295e-88,9.431673692592587e-68,1.2854654682894688e-55,5.978557333577042e-88,1.1384972153729725e-66,4.842254687479464e-55,2.840958208604783e-43,1.3616274989522606e-25,3.0534692329639863e-40,2.8763026003172876e-66,4.582883313036479e-140,2.3027688800891062e-101,2.7590165612428597e-90,1.0656513221403228e-69,1.1355912937516191e-118,2.0170822899528418e-187,4.141895245375147e-173,1.0279530425444586e-112,2.4479448371948273e-133,1.427449350514959e-80,1.9369134523071666e-147,3.76,0.0,0.6347290429728001,1.0,3.700115949962828e-67,2.2837368463217676e-126,6.5942539083201695e-12,6.594253908320442e-12
2.430519431391147e-17,0.8756565971398534,2.185977435503207e-42,4.835385562340047e-20,6.153926714932825e-53,4.1807187238520985e-65,0.0,0.0,8.684307877664091e-44,4.0478248559101516e-97,3.8881248142445064e-52,8.383558427232489e-65,8.133282776753389e-49,3.819575388440714e-86,3.0182488897052364e-66,2.0568194739413788e-54,3.8333982222466996e-86,3.6433278639199904e-65,7.747888982845551e-54,2.2728205139468835e-42,5.446620807848117e-25,2.4428333687570714e-39,9.204513864450765e-65,4.701696043144179e-137,2.9530106263331874e-99,3.531739018516288e-88,3.4102510826710964e-68,5.814703083404714e-116,1.6571864950922447e-183,2.469579358265129e-169,2.6364315553915836e-110,2.506934373177648e-130,9.136130051076214e-79,3.967455393197762e-144,3.76,0.0,0.6347290429662057,1.0,1.184081555774424e-65,1.171458117167592e-123,1.3188686701986918e-11,1.3188686701988007e-11
4.861071829259045e-17,0.8756565971419943,1.7488027030092047e-41,9.67083670968372e-20,9.84640794676517e-52,1.3378551038735414e-63,0.0,0.0,6.947528754971513e-43,5.1813799613526995e-95,6.221080538164697e-51,2.6827890473910783e-63,1.3013417912067103e-47,2.4445953679613987e-84,9.658577740219502e-65,3.290970938902171e-53,2.4622890632367372e-84,1.1658868007590757e-63,1.2396847563184293e-52,1.81827799002617e-41,2.1786704857282865e-24,1.954289887938215e-38,2.945499722235474e-63,4.831971994276594e-134,3.7935350486258234e-97,4.520752552326238e-86,1.0913070433097242e-66,2.9772497532181225e-113,1.365104268502796e-179,1.6447542669656995e-165,6.7736476880522905e-108,2.567223091303814e-127,5.847268581613376e-77,8.126792750462939e-141,3.76,0.0,0.6347290429530168,1.0,3.7891321024697315e-64,6.019447656517134e-121,2.637755228904555e-11,2.637755228904991e-11
9.722176624994841e-17,0.8756565971462758,1.3990504642329036e-40,1.9341739004371063e-19,1.5754352877132821e-50,4.281176511461069e-62,0.0,0.0,5.5580559854045276e-42,6.632271405715924e-93,9.953797252655965e-50,8.585005513227244e-62,2.0821601025113998e-46,1.5645625120817806e-82,3.0907738817040913e-63,5.2656013260242994e-52,1.5872107415534654e-82,3.7308727768584348e-62,1.9835136254543424e-51,1.4546310232345431e-40,8.714726268160138e-24,1.5634411870551894e-37,9.425687552774163e-62,4.983321388971604e-131,4.8905492370479654e-95,5.786644296943348e-84,3.4922252532951856e-65,1.5243830480871375e-110,1.1305517280077976e-175,1.1924052673562107e-161,1.7464661045163245e-105,2.6288990401034398e-124,3.7422984026506453e-75,1.664831111371881e-137,3.76,0.0,0.6347290429266391,1.0,1.2125336524807422e-62,3.103854813032569e-118,5.2755283462063353e-11,5.275528346208078e-11
1.944438621646643e-16,0.875656597154839,1.1192436920115621e-39,3.8683543593745757e-19,2.52070447311084e-49,1.3699829117387044e-60,0.0,0.0,4.446457981052306e-41,8.489374634904736e-91,1.592614223067669e-48,2.7472146539056813e-60,3.3314667499212076e-45,1.0013268778082292e-80,9.89052281414364e-62,8.425000377065778e-51,1.0303168032064038e-80,1.1938848903951678e-60,3.173636212788379e-50,1.16370827045823e-39,3.4858993722304905e-23,1.2507566594898399e-36,3.016234157175039e-60,5.175217006647366e-128,6.348925336730827e-93,7.406956557480594e-82,1.11751891492862e-63,7.804921007172605e-108,9.463216804222792e-172,9.133364748132712e-158,4.534412340317785e-103,2.692024622211636e-121,2.3950858587491144e-73,3.4113438645639826e-134,3.76,0.0,0.6347290428738837,1.0,3.8801258937955004e-61,1.6115449899871652e-115,1.0551074580370111e-10,1.0551074580377085e-10
