Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42)
0.0,0.6508992997202577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7119442400978565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.034245295205037e-22,0.6508992997202576,8.648999251305333e-27,2.3841726126114708e-29,1.5372598844571767e-36,8.276937916832477e-27,0.0,0.0,4.994569225930717e-22,1.7641232741722529e-40,1.521348461477519e-53,3.9053234433680704e-55,2.565064947004071e-57,2.1227963613103363e-69,4.460434487110099e-48,1.950502705666441e-40,4.931792253270516e-38,3.0211620764235416e-55,8.135516650500666e-67,1.8121518458849533e-65,3.8191868290147165e-39,9.712474257232424e-60,3.625592266532521e-27,1.3840255740265938e-72,1.470729554528461e-56,2.3831171523361644e-61,1.0973982331789147e-42,4.351325252753003e-42,5.605001045939758e-82,3.475664633582185e-64,2.8424294603298837e-72,7.368588369262835e-65,1.1851123374021325e-57,1.611337278895201e-73,3.76,0.0,0.7119442400978565,0.9999999999999994,2.863175308499316e-51,4.564799390611821e-54,1.691973481796542e-18,1.691973481796542e-18,5.764192932562864e-39,7.988092010440157e-43,4.873338410414786e-16,1.510941368557636e-42,4.0535722751695825e-44,4.994655715923187e-22,2.4743148773424856e-36,2.2286298892831772e-41,9.64614821717315e-37,4.273278608155903e-20,1.0323305152152983e-41,1.5371971260124826e-36,1.2589042941537648e-24,6.8891700069911605e-43,3.470292954836515e-39,1.0170500311125514e-37,4.928253401488459e-47,4.5562037196665654e-48,3.625592266532766e-27,1.402428963420229e-61,4.931792253513277e-38,2.0617039544175291e-38,4.4795080575841525e-56,1.5890118337212068e-70,7.588272294389194e-71,3.3846710865873377e-56,2.427771015492801e-72,1.6777871754696014e-77,1.0105154218352487e-81,1.7425749968088825e-78,1.4199452309316623e-66,1.9240202289387206e-64,8.121998148678395e-82,9.309522904578725e-54,1.769149370060599e-60,1.977847780442301e-53,5.678238147142358e-59,8.091690692587918e-77,8.276937916830617e-27,5.918210088155197e-41,2.0665954364536362e-60,6.008981580772606e-54,7.394129842549253e-44,2.897320897666457e-48,1.232745123379574e-65,2.00648293008239e-37,1.1701984115199729e-61,1.7858496377376196e-55,7.334932353212096e-72,7.81049595969748e-68,1.2589042941537284e-24,4.696906053204244e-82,1.6662940956546628e-62,3.3337674684273815e-60,2.8349358625774952e-64
1.4095886826574105e-21,0.6508992997202577,2.421719790681667e-26,6.675683315313379e-29,9.285049702121326e-36,2.317542616713101e-26,0.0,0.0,1.3984793832606e-21,1.0655304576000401e-39,1.8061448935299425e-52,4.636399992065854e-54,3.0452451050832706e-56,2.520183840147417e-68,2.694102430214359e-47,1.1781036342224077e-39,2.978802520975374e-37,3.5867236171298733e-54,9.658485367733028e-66,2.151386671446439e-64,2.3067888447248884e-38,1.1530649438186226e-58,1.0151658346290429e-26,3.0960098480744485e-71,1.746050127136141e-55,3.598792874533225e-60,6.628285328400702e-42,2.628200452662769e-41,1.2538163348288875e-80,4.1263090529886915e-63,7.119355488564124e-71,1.11354107436369e-63,1.4069653673865938e-56,3.677365197589517e-72,3.76,0.0,0.7119442400978565,0.9999999999999987,3.399161726252147e-50,5.419329836534323e-53,4.737525749030317e-18,4.737525749030317e-18,3.4815725312669955e-38,4.82480757430551e-42,1.3645347549140037e-15,9.12608586608833e-42,2.4483576542061995e-43,1.3985036004584808e-21,1.4944861859148217e-35,1.346092455776887e-40,5.826273523172539e-36,1.1965180102836527e-19,6.235276311900485e-41,9.284670641115387e-36,3.524932023630461e-24,4.1610586842278156e-42,2.0960569447211716e-38,6.142982187919748e-37,2.9766650544983847e-46,2.7519470466872463e-47,1.0151658346291906e-26,1.6649636653722343e-60,2.9788025211220017e-37,1.2452691884680438e-37,5.318071965963883e-55,3.555230181294093e-69,2.383873872613332e-69,4.081941022111371e-55,5.513018175036826e-71,3.7531428000378445e-76,2.260482578027593e-80,3.898070573635686e-77,1.6857589781605753e-65,2.2841968199192874e-63,1.8168584978637037e-80,1.1052265592304827e-52,2.1003341321436125e-59,2.3481008849409696e-52,6.741204328285283e-58,1.810078841169136e-75,2.3175426167119783e-26,3.574598893245713e-40,2.4534621021568895e-59,7.133862932693058e-53,4.466054424899722e-43,1.7499818221921577e-47,1.8629184194405583e-64,1.2119156897697632e-36,1.3892595524884775e-60,2.1201606899221083e-54,1.640795027683976e-70,9.285412538129297e-67,3.52493202363024e-24,1.050679096479044e-80,1.9782244728607894e-61,3.957848747843098e-59,3.365635858231479e-63
3.2219169889312237e-21,0.6508992997202577,5.53535952304863e-26,1.5258704720722238e-28,4.470351744001437e-35,5.297240266772839e-26,0.0,0.0,3.196524304595654e-21,5.130070481292903e-39,1.773283766788829e-51,4.552045005897596e-53,2.9898397022280603e-55,2.474331438742664e-67,1.297094348851405e-46,5.672061868076171e-39,1.43416518725104e-36,3.521466516278797e-53,9.482758208599913e-65,2.1122441915988332e-63,1.1106195298774796e-37,1.1320859994229784e-57,2.3203790505803716e-26,6.117193737514385e-70,1.7142823687582265e-54,3.870531144397684e-59,3.1912340620843686e-41,1.2653653835005055e-40,2.4773299182350246e-79,4.051234696903152e-62,1.4739458726150944e-69,1.1978966740169384e-62,1.3813669410763233e-55,7.330281672656924e-71,3.76,0.0,0.7119442400978565,0.9999999999999969,3.337317139589288e-49,5.32073016969705e-52,1.0828630283497868e-17,1.0828630283497868e-17,1.6762273047878194e-37,2.3229371566354827e-41,3.1189365826505087e-15,4.393817499765909e-41,1.1787788176248842e-42,3.196579658190758e-21,7.195307663311356e-35,6.480855757783201e-40,2.8050999015538873e-35,2.734898309219777e-19,3.002017138246206e-40,4.470169242444289e-35,8.056987482583531e-24,2.003370638040613e-41,1.0091611912663329e-37,2.9575814904752084e-36,1.4331360891518766e-45,1.324944041691998e-46,2.3203790505810827e-26,1.6346711997618087e-59,1.4341651873216354e-36,5.995435099444021e-37,5.221314591920018e-54,7.02513188476171e-68,5.3167756315721885e-68,4.0355691200485845e-54,1.0972041370655796e-69,7.415577714218376e-75,4.4663326502848545e-79,7.701930604193836e-76,1.6550881611693136e-64,2.2426379916324066e-62,3.589806224923246e-79,1.0851179897542756e-51,2.0621205057664103e-58,2.3053793728831444e-51,6.618554384302553e-57,3.576410765777817e-74,5.297240266767435e-26,1.7210154936354926e-39,2.4088236407276515e-58,7.004068930547996e-52,2.1502129582132812e-42,8.425409170438328e-47,2.0040405565428014e-63,5.8348523606795885e-36,1.3639832632967375e-59,2.0815863377469478e-53,3.24193447709281e-69,9.143568468430345e-66,8.056987482582467e-24,2.075964840077899e-79,1.942232587602247e-60,3.8858393868262824e-58,3.304401247934219e-62
6.84657360147885e-21,0.6508992997202577,1.176263899284133e-25,3.2424747531560115e-28,1.952320053260581e-34,1.125663556689244e-25,0.0,0.0,6.79261414726575e-21,2.2404365581987527e-38,1.5684494099361178e-50,4.026232257821066e-52,2.6444793577635614e-54,2.188518136655109e-66,5.6647517986276354e-46,2.4771384361944794e-38,6.263376161653288e-36,3.114697254308596e-52,8.387392247609738e-64,1.8682560671066812e-62,4.850367272848689e-37,1.0013172460235646e-56,4.930805482482018e-26,1.0885219415498267e-68,1.516263341536352e-53,3.5573638129552345e-58,1.3936957561373095e-40,5.526183070995613e-40,4.408276677891667e-78,3.5832712106373805e-61,2.677786668025292e-68,1.1010734228481497e-61,1.2218034159728232e-54,1.3096491613712372e-69,3.76,0.0,0.7119442400978565,0.9999999999999933,2.9518192160529336e-48,4.7061255797449765e-51,2.301083935243297e-17,2.301083935243297e-17,7.320525024339735e-37,1.0144876853253678e-40,6.627740238089336e-15,1.918895538068507e-40,5.1480367895225125e-42,6.792731773655128e-21,3.142379894224347e-34,2.830360000462281e-39,1.2250608235809233e-34,5.811658907092026e-19,1.3110597543235499e-39,1.9522403500358424e-34,1.712109840048838e-23,8.74924590895645e-41,4.4072720526410755e-37,1.2916535395128465e-35,6.258881819880347e-45,5.786378724110466e-46,4.930805482485123e-26,1.445848164126018e-58,6.2633761619616e-36,2.6183640221080367e-36,4.618193627046812e-53,1.2501333935444436e-66,9.956554732387733e-67,3.5804936000300864e-53,1.958847025973915e-68,1.3195624329644738e-73,7.947600315928788e-78,1.3705174106243252e-74,1.4639067352715786e-63,1.9835879220671835e-61,6.3878683745929635e-78,9.597745733632648e-51,1.8239222346076047e-57,2.039081947723952e-50,5.854036400164068e-56,6.364031870807417e-73,1.125663556686884e-25,7.516126811956703e-39,2.1305772311605418e-57,6.19501965051217e-51,9.390544900037121e-42,3.679597540061479e-46,1.842057787225189e-62,2.5482333212046336e-35,1.2064277434816206e-58,1.84113954252189e-52,5.768849186089446e-68,8.135583108004318e-65,1.7121098400483732e-23,3.694068514563704e-78,1.7178827836793927e-59,3.4369809600338606e-57,2.9227054903657677e-61
1.4095886826574105e-20,0.6508992997202577,2.421719795266184e-25,6.675683315331654e-28,8.150551907391648e-34,2.3175426167132147e-25,0.0,0.0,1.3984793832605893e-20,9.353381599661211e-38,1.3183762352221119e-49,3.3842908120202856e-51,2.22284424203502e-53,1.8395813619672262e-65,2.3649223650638027e-45,1.0341565345426367e-37,2.614836252683789e-35,2.6180907168335687e-51,7.050108563961207e-63,1.570381795346201e-61,2.024932856743602e-36,8.416674791728246e-56,1.0151658346281268e-25,1.8359513561350938e-67,1.2745107002809305e-52,3.0432771135660346e-57,5.818405432315395e-40,2.3070726490090118e-39,7.43520446663721e-77,3.0119553608272624e-60,4.561223393627249e-67,9.41991494831681e-61,1.0269993903329406e-53,2.213199443988806e-68,3.76,0.0,0.7119442400978565,0.9999999999999863,2.48118191154273e-47,3.955782115113617e-50,4.737525749030317e-17,4.737525749030317e-17,3.0561750928312385e-36,4.235286383930583e-40,1.3645347548830265e-14,8.011011136095355e-40,2.1492040203461666e-41,1.398503600458312e-20,1.3118817479664373e-33,1.181619604263322e-38,5.114387784744606e-34,1.1965180102836514e-18,5.4734163916725955e-39,8.150219162118084e-34,3.5249320236292924e-23,3.652637937776326e-40,1.8399493246531513e-36,5.392399264957903e-35,2.6129599534601835e-44,2.4156992122877473e-45,1.0151658346294232e-25,1.2153225008334693e-57,2.6148362528125045e-35,1.0931154366301724e-35,3.881870010573243e-52,2.108572318175253e-65,1.7196537882871942e-65,3.0140130437084848e-52,3.3090262698898546e-67,2.2256349144911528e-72,1.3404789578445642e-76,2.3115779683514934e-73,1.2305018179840342e-62,1.6673251947706176e-60,1.0774073684061393e-76,8.067483596611125e-50,1.5331165377951814e-56,1.7139712409652823e-49,4.920670326478148e-55,1.07338699365694e-71,2.3175426167033607e-25,3.1378349887395277e-38,1.7908785396933876e-56,5.207287294190153e-50,3.9203676425192293e-41,1.536159539965327e-45,1.5759189328065954e-61,1.0638372495296819e-34,1.014075200547253e-57,1.547588722469028e-51,9.730007345053916e-67,6.919534010182957e-64,3.524932023627353e-23,6.230586486287196e-77,1.443984057148148e-58,2.888989637409635e-56,2.4567100838422527e-60
2.859451327676461e-20,0.6508992997202577,4.912631595324332e-25,1.3542100439715206e-27,3.329766400129367e-33,4.701300736761356e-25,0.0,0.0,2.836915320328599e-20,3.821161576788007e-37,1.0808844905739203e-48,2.7746460789648216e-50,1.8224220082131178e-52,1.508199943363035e-64,9.661479516443264e-45,4.22486688056726e-37,1.0682459292272056e-34,2.1464689480371323e-50,5.7801049528963415e-62,1.2874938744119518e-60,8.272511439119035e-36,6.900498508329903e-55,2.0593364073863596e-25,3.0155556154672924e-66,1.0449208747829542e-51,2.5161924642791354e-56,2.3770084689955247e-39,9.425144550467774e-39,1.2212350662196338e-75,2.469382979483465e-59,7.528009366280658e-66,7.788567842663195e-60,8.41996148896503e-53,3.638651887378013e-67,3.76,0.0,0.7119442400978565,0.9999999999999724,2.0342228377796953e-46,3.2431891762585836e-49,9.610409376604358e-17,9.610409376604358e-17,1.2485472459533393e-35,1.730252681825327e-39,2.7680562169765213e-14,3.2727594419529195e-39,8.780199691341555e-41,2.8369644466436143e-20,5.3594649969142754e-33,4.827301798356496e-38,2.089394288432068e-33,2.4272222494325486e-18,2.2360691891778597e-38,3.3296304628279945e-33,7.150576390788138e-23,1.4922217802531306e-39,7.516793351884187e-36,2.2029710493903174e-34,1.0674793997683883e-43,9.86891950596709e-45,2.0593364073916557e-25,9.963948128733139e-57,1.068245929279792e-34,4.465733233409601e-35,3.182591567375185e-51,3.463368358655421e-64,2.8571559363495942e-64,2.4728179174030378e-51,5.439196543018141e-66,3.655612030204068e-71,2.2017407134491207e-75,3.796773873211034e-72,1.0088397341562434e-61,1.366973973077173e-59,1.7696448378064418e-75,6.6142104692159024e-49,1.2569415647639642e-55,1.405217177122665e-48,4.0342628280037497e-54,1.7630413602606776e-70,4.7013007367210995e-25,1.281907977934466e-37,1.4682704271554683e-55,4.2692487348220735e-49,1.6015981004152131e-40,6.27571295737256e-45,1.303000137061832e-60,4.346122285875652e-34,8.314000999116655e-57,1.2688067360522274e-50,1.5981566281603716e-65,5.806026328669838e-63,7.150576390780214e-23,1.0233757013238153e-75,1.1838654725038523e-57,2.3685683268341188e-55,2.0141593761752037e-59
5.759176617714562e-20,0.6508992997202576,9.8944552278168e-25,2.727493468861137e-27,1.3459448173165024e-32,9.46881697685844e-25,0.0,0.0,5.713787194464546e-20,1.5445746044549196e-36,8.753282842902352e-48,2.2469803339748546e-49,1.475844591732925e-51,1.2213794168559087e-63,3.9053244943065415e-44,1.7077587429289315e-36,4.318020843764841e-34,1.7382662050834036e-49,4.680878854314354e-61,1.0426459202185163e-59,3.3438813897701767e-35,5.588202599549176e-54,4.1476775528963565e-25,4.888345601781103e-65,8.462040158015921e-51,2.0461069752618234e-55,9.608248282638821e-39,3.809794122392993e-38,1.9796762896654555e-74,1.999770359861601e-58,1.2232351342462737e-64,6.333534020556087e-59,6.818703116058402e-52,5.901200368185855e-66,3.76,0.0,0.7119442400978564,0.9999999999999443,1.6473663948225375e-45,2.6264186802913834e-48,1.9356176631752436e-16,1.9356176631752436e-16,5.046827593624893e-35,6.993957983523521e-39,5.575099140944747e-14,1.3229016933598218e-38,3.549097098736251e-40,5.713886139013031e-20,2.1663814422236417e-32,1.951272699748102e-37,8.44566577924537e-33,4.888630727730337e-18,9.038549179364749e-38,1.3458898692859092e-32,1.4401865125097576e-22,6.031799021764425e-39,3.0384080560130584e-35,8.904761206399459e-34,4.314922409103753e-43,3.989175055186083e-44,4.147677552917762e-25,8.069063527404486e-56,4.318020843977416e-34,1.8051207738684226e-34,2.577345165518606e-50,5.61429493585515e-63,4.657825703914258e-63,2.0032493351392005e-50,8.820458188691634e-65,5.925904631941866e-70,3.569116575894523e-74,6.15473444802607e-71,8.169845726309774e-61,1.1070110340097357e-58,2.8686705410871997e-74,5.3563591227720077e-48,1.0179038676857498e-54,1.1379813027473659e-47,3.2670506334088203e-53,2.8579660195916726e-69,9.468816976695719e-25,5.181677006261624e-37,1.1890434593772418e-54,3.457348313204102e-48,6.473915595381643e-40,2.536743517467275e-44,1.0595780275474473e-59,1.756772116467771e-33,6.7328932832629895e-56,1.0275125908908714e-49,2.5906807634824674e-64,4.917247881488479e-62,1.4401865125065546e-22,1.6589361121736863e-74,9.58725112586938e-57,1.9181281644894655e-54,1.6311185178838414e-58
1.1558627197790764e-19,0.6508992997202577,1.9858102622306446e-24,5.474060318691992e-27,5.411984913625166e-32,1.900384945705582e-24,0.0,0.0,1.1467530942736132e-19,6.210666551653988e-36,7.04540355036586e-47,1.808565258344948e-48,1.1878881230053514e-50,9.830724122876192e-63,1.5703138029139207e-43,6.866822795310337e-36,1.7362571899315587e-33,1.399107867588935e-48,3.7675785358380254e-60,8.392121450376447e-59,1.3445599999019467e-34,4.497871614752929e-53,8.324359843890472e-25,7.872529892355597e-64,6.810986100014029e-50,1.65025186329653e-54,3.8634343758401547e-38,1.5319014605291415e-37,3.1882128547222835e-73,1.609589161703857e-57,1.9723197465037094e-63,5.108224635869411e-58,5.488285481594047e-51,9.50593941587409e-65,3.76,0.0,0.7119442400978562,0.9999999999998881,1.3259437921902852e-44,2.1139702471588566e-47,3.884771114204859e-16,3.884771114204859e-16,2.0293071786037085e-34,2.8122397446164606e-38,1.1189184988006143e-13,5.319329525677469e-38,1.4270763340512484e-39,1.146772952374711e-19,8.71092449824836e-32,7.845982758590061e-37,3.3959650644453137e-32,9.811447684325887e-18,3.6343608720421542e-37,5.411763970011433e-32,2.890444259368344e-22,2.4253598580330996e-38,1.2217305159154095e-34,3.580565316528229e-33,1.735011322956789e-42,1.6040297450043884e-43,8.324359843976548e-25,6.494684319445786e-55,1.736257190017045e-33,7.25831123957205e-34,2.0744716131706003e-49,9.04166889605787e-62,7.522353308609367e-62,1.6126678667239571e-49,1.4207703796561972e-63,9.543486724167351e-69,5.747952215568203e-73,9.912011330016085e-70,6.575802600643708e-60,8.910188997026944e-58,4.619905469688036e-73,4.3112638144198447e-47,8.192975885564607e-54,9.159463545834141e-47,2.6296065766913328e-52,4.602666168366879e-68,1.9003849456401512e-24,2.083529534373377e-36,9.570456205260978e-54,2.7827747049672687e-47,2.603132987586669e-39,1.0200134114345771e-43,8.545880474991076e-59,7.063903414672212e-33,5.4192178107336716e-55,8.270315247235757e-49,4.172211503318857e-63,4.304539438853115e-61,2.890444259355464e-22,2.6716654667465985e-73,7.71665632536324e-56,1.5438766199699035e-53,1.3128661427514456e-57
2.315752835794317e-19,0.6508992997202577,3.9785397929304554e-24,1.0967194018560202e-26,2.170448007304409e-31,3.807391441746341e-24,0.0,0.0,2.2975018439278106e-19,2.490755066063841e-35,5.6534926451502774e-46,1.4512597246789321e-47,9.53205408132539e-50,7.888536991135165e-62,6.297660689654105e-43,2.753903067036406e-35,6.963167891628332e-33,1.1226959509975323e-47,3.023244511840468e-59,6.734148951406052e-58,5.392286968764903e-34,3.6092587047746485e-52,1.66777244257752e-24,1.263715397955759e-62,5.465387404318725e-49,1.3255690347268783e-53,1.5494099810395012e-37,6.143610016381739e-37,5.117804473705635e-72,1.2915939338792906e-56,3.1678828408275102e-62,4.103203825127267e-57,4.404003458852203e-50,1.5260931425929474e-63,3.76,0.0,0.7119442400978557,0.9999999999997758,1.0639863882091475e-43,1.6963279901478579e-46,7.7830780162640865e-16,7.7830780162640865e-16,8.138429415709459e-34,1.12783391807706e-37,2.2417356678628714e-13,2.1332890526308518e-37,5.723214376203289e-39,2.297541629319625e-19,3.493470329405657e-31,3.14659085094765e-36,1.361933879091038e-31,1.965708159751689e-17,1.4575412604542897e-36,2.170359399033822e-31,5.790959753072314e-22,9.72677780100624e-38,4.899685801122744e-34,1.4359668366237967e-32,6.958171407631715e-42,6.4328767000595985e-43,1.6677724426120397e-24,5.2115751453100316e-54,6.963167891971257e-33,2.9109074429273303e-33,1.6646328239096374e-48,1.4513895259163466e-60,1.2091925133923352e-60,1.2941757320850537e-48,2.28086128790216e-62,1.5319409755412815e-67,9.22673628481435e-72,1.5910977349235578e-68,5.276667456784107e-59,7.149867319433462e-57,7.415971431815756e-72,3.459517696680767e-46,6.574347175903376e-53,7.349892652610353e-46,2.1100936708648545e-51,7.38829853701687e-67,3.807391441483935e-24,8.355885314189582e-36,7.679688378061506e-53,2.2330014476991097e-46,1.0439727559898794e-38,4.090709992516993e-43,6.864515872791753e-58,2.8329412100857093e-32,4.3485802771106677e-54,6.636407139637147e-48,6.697323468192035e-62,4.0105492987859664e-60,5.7909597530206575e-22,4.2886147595528247e-72,6.192134805145593e-55,1.2388640782323424e-52,1.0534924871338718e-56
