Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133)
0.0,0.7365914360581735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8216023445136235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2684843735789623e-22,0.7365914360581735,4.278163702202013e-26,5.585104241551468e-28,2.3277566548442894e-36,1.8476644629620606e-25,0.0,0.0,1.722129359020449e-21,7.2649677472193094e-40,3.054990355769623e-53,8.904196111348011e-55,1.7268957779613136e-61,8.901586274762431e-68,1.1810385126000714e-46,1.0787715570403073e-39,3.1463160602632534e-37,1.009651495028156e-54,8.512166006839828e-65,5.248714377273624e-63,6.812362700569573e-38,3.6815971003586074e-58,4.981698650838251e-26,8.517448982736436e-72,9.971139976692939e-56,9.32077212301477e-60,3.1539653604359674e-57,2.7104727651742042e-70,8.259465581661271e-89,1.6933115120797903e-89,9.308355650817297e-72,4.92987689140034e-80,4.4348905620698404e-71,5.612788415902873e-87,3.76,0.0,0.8216023445136235,0.9999999999999996,2.656060714457566e-51,2.8300701664559483e-53,6.371411195304404e-18,6.371411195304404e-18,9.181942026267544e-38,3.355288887550904e-41,4.662818408608123e-16,1.8516558365956553e-41,8.035823726888078e-43,1.7221721406574523e-21,7.75774826993773e-36,5.3163633329018646e-40,6.014141151026539e-36,2.3476802052085946e-19,1.0019151722444699e-40,2.327647374225388e-36,1.0917651312691035e-37,1.0330050435405566e-41,1.7084104205679965e-38,4.167892297537059e-37,1.9868948031340557e-45,2.1362399098639158e-46,4.981698650838425e-26,1.969463476866825e-60,3.146316062931197e-37,1.7520498096591263e-38,1.8764707624510537e-54,5.506906509654595e-70,1.0584331479672074e-69,1.3603589630682038e-55,3.267051474754161e-72,8.017963641968157e-77,5.657119688310506e-81,2.6895465928161804e-81,3.0351864356425753e-65,1.4255405446781705e-62,3.855123730174042e-81,2.12259174794587e-53,4.520215272323405e-60,1.908414801609901e-53,1.2153302052358393e-58,1.6769409668203222e-74,1.8476644629618163e-25,9.066924130619634e-41,1.0896669025474736e-59,1.3080995552700217e-53,2.3471942896447924e-42,3.202203039746771e-47,9.189397609068588e-64,1.1511641273487628e-36,1.1796351310181106e-60
6.351756246021094e-22,0.7365914360581735,1.1978858368101415e-25,1.5638291876344845e-27,1.405965019525949e-35,5.173460496293772e-25,0.0,0.0,4.8219622052572556e-21,4.388040519320462e-39,3.6268845533605924e-52,1.0571061623493544e-53,2.0501706697079393e-60,1.0567963225398002e-66,7.133472616104582e-46,6.515780204523181e-39,1.900374900398993e-36,1.198658254897419e-53,1.0105643483418714e-63,6.231273708699382e-62,4.114667071144023e-37,4.3707920775457224e-57,1.3948756222346752e-25,1.9053192676421697e-70,1.1837737380329595e-54,1.4085550832300552e-58,4.756732337185187e-56,8.522160049349859e-69,3.9456458229318935e-87,8.097079299545307e-88,2.0822419256654192e-70,1.3903041615206876e-78,1.3894443215972756e-69,3.2213880840621805e-85,3.76,0.0,0.8216023445136235,0.9999999999999987,3.1532752802160153e-50,3.359859301616483e-52,1.7839951346852333e-17,1.7839951346852333e-17,5.545892983864664e-37,2.0265944880806476e-40,1.3055891544093794e-15,1.118400125303827e-40,4.8536375310435614e-42,4.822081993840821e-21,4.6856799550422173e-35,3.2110834543412535e-39,3.632541255220001e-35,6.573504574584065e-19,6.051567640356642e-40,1.4058990140321333e-35,6.5942613928651675e-37,6.239350462988685e-41,1.0318798940230407e-37,2.5174069477123512e-36,1.200084461092816e-44,1.2902889055589558e-45,1.3948756222347806e-25,2.338147039736056e-59,1.9003749020104315e-36,1.0582380850340136e-37,2.227746089181879e-53,1.2324930527067136e-68,3.327883147163578e-68,1.7092950813492866e-54,7.715812950823212e-71,1.793586394853495e-75,1.2654750457959888e-79,6.016408146265296e-80,3.603373336393148e-64,1.6924017352561187e-61,8.623757579443825e-80,2.519940923160221e-52,5.366399571306678e-59,2.265670052471153e-52,1.442840019655785e-57,3.751249865138363e-73,5.173460496292296e-25,5.476422174894215e-40,1.2936525467045321e-58,1.5529757920165169e-52,1.4177053509454454e-41,1.934130636008313e-46,1.3886939878542417e-62,6.953031329186529e-36,1.400462826967161e-59
1.4518299990905359e-21,0.7365914360581735,2.7380247707643325e-25,3.574466714593453e-27,6.76911635228717e-35,1.1825052562957207e-24,0.0,0.0,1.1021627897730858e-20,2.112652620891373e-38,3.560896762932135e-51,1.03787309877009e-52,2.012869725337226e-59,1.037568896186322e-65,3.434459994641235e-45,3.1370676878727966e-38,9.14948710324536e-36,1.1768497826047917e-52,9.921780697867483e-63,6.117901478150536e-61,1.981035073325632e-36,4.291269580177943e-56,3.1882871365362356e-25,3.764589799103899e-69,1.1622360756832468e-53,1.5152592824944709e-57,5.113791443135533e-55,1.901247026672879e-67,2.0544895995081135e-85,4.21277431174101e-86,4.114159157340229e-69,3.024215232247663e-77,3.097351456481107e-68,1.443414479226792e-83,3.76,0.0,0.8216023445136235,0.999999999999997,3.0959043687887645e-49,3.298729786020995e-51,4.077703164994819e-17,4.077703164994819e-17,2.6701087412372018e-36,9.757180084996555e-40,2.9842037815029326e-15,5.384615172820922e-40,2.3368175397837143e-41,1.1021901700207378e-20,2.2559531968976344e-34,1.5459984591106532e-38,1.748912246718473e-34,1.5025153313335006e-18,2.9135693208869807e-39,6.768798564247414e-35,3.174853001730227e-36,3.0039786666214178e-40,4.968057503011296e-37,1.2120230801237275e-35,5.777890087511528e-44,6.212185657901525e-45,3.188287136536743e-25,2.2956066286352318e-58,9.149487111003744e-36,5.094960846487255e-37,2.1872143207129138e-52,2.435746845337984e-67,7.424324225325654e-67,1.7195076343122746e-53,1.5638092545534954e-69,3.543824471072137e-74,2.500365439707726e-78,1.1887408645533145e-78,3.537813309379661e-63,1.6616100607806628e-60,1.7039091749512431e-78,2.474092941402245e-51,5.268762921433582e-58,2.224448292756122e-51,1.4165888872222608e-56,7.411837593846443e-72,1.18250525629501e-24,2.6366615371841227e-39,1.2701157416098317e-57,1.5247208416225725e-51,6.825640994286915e-41,9.312006439602556e-46,1.4938909445762279e-61,3.347585282330202e-35,1.3749827069242959e-58
3.085138748067389e-21,0.7365914360581735,5.818302641769957e-25,7.595741768512557e-27,2.9562509516522212e-34,2.512823669628413e-24,0.0,0.0,2.342095928267802e-20,9.226509038968494e-38,3.1495728614612014e-50,9.179870023614025e-52,1.780360484990076e-58,9.17717938582936e-65,1.4999189110023269e-44,1.3700398774407587e-37,3.995821396534142e-35,1.0409103053141687e-51,8.77570266702265e-62,5.411214574394837e-60,8.651700629723358e-36,3.795579346585603e-55,6.7751101651388e-25,6.698886406243545e-68,1.0279846470369624e-52,1.3927843367982929e-56,4.6992649936192035e-54,3.56082526587287e-66,8.198928668175753e-84,1.6807314401987708e-84,7.320926401805853e-68,5.606385364247595e-76,5.7991960880206983e-67,5.428745949355121e-82,3.76,0.0,0.8216023445136235,0.9999999999999937,2.738292354194306e-48,2.917689138809297e-50,8.665119225613989e-17,8.665119225613989e-17,1.1661066373345315e-35,4.261216887188122e-39,6.341433035675717e-15,2.3516029124772564e-39,1.0205496133195643e-40,2.342154111293976e-20,9.852340302818253e-34,6.751781452447543e-38,7.637959261803237e-34,3.1928450790836883e-18,1.2724322687505408e-38,2.9561121652662277e-34,1.3865417167114252e-35,1.3119164053021183e-39,2.1696812341209034e-36,5.293223217871552e-35,2.5233563999778688e-43,2.713024685545007e-44,6.775110165141014e-25,2.0304380661090692e-57,3.9958213999224333e-35,2.225103258265555e-36,1.9345662972564646e-51,4.334729378883462e-66,1.3904937601114628e-65,1.5372916727276641e-52,2.814602789874991e-68,6.306046300454575e-73,4.449266705942111e-77,2.1153008542906887e-77,3.1291558076788886e-62,1.4696752839391872e-59,3.0320153372980865e-77,2.1883071884550057e-50,4.66016113718272e-57,1.9674993238669455e-50,1.252956828388611e-55,1.3188968985286149e-70,2.51282366962531e-24,1.1514993645886234e-38,1.1234029898513566e-56,1.348598317500835e-50,2.9809367478487352e-40,4.066797860497975e-45,1.3731421822072655e-60,1.4619784417329284e-34,1.2161566309145304e-57
6.351756246021095e-21,0.7365914360581735,1.197885839617018e-24,1.5638291876355442e-26,1.2341765783984186e-33,5.1734604962938154e-24,0.0,0.0,4.821962205257217e-20,3.851885899575649e-37,2.6474057662656285e-49,7.716233884151433e-51,1.4965002757804773e-57,7.713972240329247e-64,6.261866193807707e-44,5.719646795423823e-37,1.6681767751514055e-34,8.749478311673712e-51,7.376506867973248e-61,4.548451899916764e-59,3.6119147038419876e-35,3.1904131416169694e-54,1.3948756222341695e-24,1.1298651053948689e-66,8.640830365559329e-52,1.1915563232804718e-55,4.019865982389384e-53,6.150440132088765e-65,2.9140276633327874e-82,5.972865530045937e-83,1.2347812425740861e-66,9.635944010163569e-75,1.0015182415737264e-65,1.8795154475491307e-80,3.76,0.0,0.8216023445136234,0.999999999999987,2.301699718192703e-47,2.452493525127827e-49,1.783995134685233e-16,1.783995134685233e-16,4.868265662314032e-35,1.778974168178116e-38,1.3055891543963996e-14,9.817479245637106e-39,4.260593740038904e-40,4.8220819938401614e-20,4.113158132718587e-33,2.8187358568005273e-37,3.188697638273849e-33,6.573504574584063e-18,5.312154243240751e-38,1.234118637814287e-33,5.788538725985761e-35,5.4769927409023226e-39,9.057992049847446e-36,2.209816496153686e-34,1.0534516246195326e-42,1.1326344002258993e-43,1.3948756222350935e-24,1.7067055376343436e-56,1.6681767765659517e-34,9.289368090798865e-36,1.62611953920775e-50,7.311519270578313e-65,2.40173217861773e-64,1.2986912774699097e-51,4.772747924843794e-67,1.0636068796809637e-71,7.504338618047936e-76,3.5677640696297097e-76,2.6302440021246e-61,1.2353506346223661e-58,5.113937034998652e-76,1.8394040472887367e-49,3.917146231602234e-56,1.653801732436866e-49,1.0531857105716812e-54,2.2245123933916915e-69,5.173460496280863e-24,4.807283174053898e-38,9.442879030790159e-56,1.1335781450034869e-49,1.2444824123695313e-39,1.697808051691356e-44,1.174751676183244e-59,6.103472203203138e-34,1.0222529235566378e-56
1.2884991241928507e-20,0.7365914360581736,2.4299969954526506e-24,3.1723392092059936e-26,5.042014024658724e-33,1.0494734149624695e-23,0.0,0.0,9.781694759235983e-20,1.5736210739186662e-36,2.1705031967859125e-48,6.326234734494167e-50,1.2269213627646736e-56,6.324380501194641e-63,2.5581766598340607e-43,2.336662343408295e-36,6.8150464391711626e-34,7.173350941123093e-50,6.047706001102293e-60,3.72909567344196e-58,1.4755850103941713e-34,2.615693450140483e-53,2.829604833673855e-24,1.8558068283828637e-65,7.084274790664298e-51,9.852018105290222e-55,3.323525364268937e-52,1.021904826707265e-63,9.81524772022582e-81,2.0117137129879209e-81,2.0281318987428717e-65,1.5970870552271192e-73,1.6639148996488013e-64,6.252791741393732e-79,3.76,0.0,0.8216023445136231,0.9999999999999736,1.8870724918142864e-46,2.0107023653172756e-48,3.6189615589329004e-16,3.6189615589329004e-16,1.9888453706466326e-34,7.267689941979134e-38,2.6484808560311395e-14,4.010760608305518e-38,1.7405915625750732e-39,9.781937758931367e-20,1.6803593062595614e-32,1.1515455783424544e-36,1.3026870298765947e-32,1.3334823565584807e-17,2.1701883396888936e-37,5.041777318467042e-33,2.3648069449315675e-34,2.237530244553079e-38,3.700485307363654e-35,9.027821432153252e-34,4.30369361936234e-42,4.627181094497538e-43,2.8296048336776297e-24,1.399260314555521e-55,6.815046444950056e-34,3.7950099697023486e-35,1.3331910442468107e-49,1.2009487152255349e-63,3.9905139351720596e-63,1.0673341728903016e-50,7.859637125796409e-66,1.746977493683823e-70,1.2325898714207144e-74,5.860063197677835e-75,2.1564329455730647e-60,1.0128150933885682e-57,8.399656936068772e-75,1.5080545700673272e-48,3.2115131447194813e-55,1.3558865787425516e-48,8.634652763250291e-54,3.653768285937906e-68,1.0494734149571781e-23,1.963932034388199e-37,7.741842744178404e-55,9.293758511800994e-49,5.0841167191410384e-39,6.936099872362257e-44,9.713072585614598e-59,2.4934675464025114e-33,8.381047026480012e-56
2.595146123374333e-20,0.7365914360581737,4.8942193269462696e-24,6.389359252354374e-26,2.0380626836354428e-32,2.1137281456286746e-23,0.0,0.0,1.9701159867193243e-19,6.360827981142163e-36,1.7577297628854441e-47,5.123148908408583e-49,9.935927651896063e-56,5.121647300505546e-62,1.0340559076314497e-42,9.445162792208188e-36,2.7547507339301735e-33,5.809165573802363e-49,4.897589118621431e-59,3.019918359689724e-57,5.964550537758286e-34,2.1182563723558058e-52,5.699063256549653e-24,3.0083428409514657e-64,5.737029397702748e-50,8.011497505057623e-54,2.7025653927291217e-51,1.6659627829920054e-62,3.221462581193219e-79,6.602468831405648e-80,3.2876892059954537e-64,2.6004422588427836e-72,2.712501293035844e-63,2.0398991013501834e-77,3.76,0.0,0.8216023445136228,0.9999999999999467,1.5282002295295695e-45,1.6283189064128054e-47,7.288894407428234e-16,7.288894407428234e-16,8.039230977123829e-34,2.937716474907857e-37,5.334264259208955e-14,1.6212135644244714e-37,7.035749392726972e-39,1.9701649289109122e-19,6.792280982230733e-32,4.6547314066393536e-36,5.265669256496038e-32,2.6857461547586278e-17,8.77224825228697e-37,2.0379670032081928e-32,9.55892777150294e-34,9.044454998967643e-38,1.4957953269046313e-34,3.649189765320753e-33,1.7396217710794853e-41,1.8703805807133218e-42,5.699063256564911e-24,1.1331572809965615e-54,2.7547507362661024e-33,1.5340037067377999e-34,1.0796526729428845e-48,1.946813325511366e-62,6.505544867435943e-62,8.653875169709803e-50,1.2757105218695433e-64,2.8319257996203364e-69,1.9980812974585827e-73,9.499414970657219e-74,1.7463353085958043e-59,8.20203931969957e-57,1.3616205858806648e-73,1.2212616897767933e-47,2.600766608767801e-54,1.0980321051971287e-47,6.992565676136348e-53,5.922915843067874e-67,2.1137281456072868e-23,7.938527288711346e-37,6.269544975089029e-54,7.526326599808645e-48,2.0550812659089574e-38,2.8036824671669026e-43,7.898508743411812e-58,1.0078994493719522e-32,6.787189078116082e-55
5.2084401217372975e-20,0.7365914360581736,9.822664069222924e-24,1.2823399338681077e-25,8.194960413644178e-32,4.2422376069612053e-23,0.0,0.0,3.9540090083106703e-19,2.5576609552793773e-35,1.4147738322164537e-46,4.123555948111499e-48,7.997299552505067e-55,4.122347320693009e-61,4.15789332516108e-42,3.797858417400715e-35,1.1076731542789476e-32,4.675721839776563e-48,3.942005805805022e-58,2.4306930228411816e-56,2.398319538186319e-33,1.7049570126109837e-51,1.143798010228696e-23,4.8448434033023567e-63,4.617660369541397e-49,6.461562974276414e-53,2.1796889560330606e-50,2.6905343445385882e-61,1.0439341070409054e-77,2.139541120357235e-78,5.294722112433893e-63,4.19712431322116e-71,4.380616076555769e-62,6.5907916564852e-76,3.76,0.0,0.821602344513622,0.999999999999893,1.2300284951405767e-44,1.3106127164237395e-46,1.4628760104418895e-15,1.4628760104418895e-15,3.232539418042052e-33,1.1812428740100902e-36,1.0705831065197929e-13,6.5188284390075355e-37,2.829043886587108e-38,3.9541072349446004e-19,2.731146309411107e-31,1.8716470767658428e-35,2.1173024487811087e-31,5.390273751158914e-17,3.527282440496756e-36,8.194575686854664e-32,3.843602815221043e-33,3.636735576269344e-37,6.014527222003444e-34,1.4673231549144963e-32,6.994942630104463e-41,7.520718053179055e-42,1.143798010234831e-23,9.120635621949999e-54,1.1076731552182212e-32,6.168161436819239e-34,8.689983988438579e-48,3.135301803283872e-61,1.0506472337079274e-60,6.969516410189807e-49,2.055795472785387e-63,4.5607291968420634e-68,3.2178483320855095e-72,1.5298514959452888e-72,1.4056025840495534e-58,6.601714972228991e-56,2.1928479770240942e-72,9.829776552678646e-47,2.0933232284349863e-53,8.837917648935237e-47,5.6282251955641766e-52,9.538673371933871e-66,4.242237606875205e-23,3.1920469078775846e-36,5.046275234078492e-53,6.057842423127458e-47,8.263391384458279e-38,1.1273483890545316e-42,6.370433217068992e-57,4.0527193568963953e-32,5.462920085628748e-54
1.0435028118463227e-19,0.7365914360581739,1.9679553870933905e-23,2.5691479511454233e-25,3.286545654433646e-31,8.499256529626745e-23,0.0,0.0,7.921795051492936e-19,1.0257364372491094e-34,1.1352669010149198e-45,3.3088939602779726e-47,6.417330156684363e-54,3.3079241084920565e-60,1.6675011897186518e-41,1.5231110887381711e-34,4.442264767581497e-32,3.751972309740755e-47,3.163211404340394e-57,1.950478071135864e-55,9.618334022757962e-33,1.3681206281774755e-50,2.291581379370441e-23,7.777046633238209e-62,3.705381636453153e-48,5.190278775837812e-52,1.7508335605643003e-49,4.324955378751783e-60,3.361634162000422e-76,6.8896183644813116e-77,8.499201594489024e-62,6.744666171245674e-70,7.041647462140294e-61,2.1192084351412275e-74,3.76,0.0,0.8216023445136206,0.9999999999997855,9.870204028613532e-44,1.0516841654233631e-45,2.930849149840019e-15,2.930849149840019e-15,1.2963928854642594e-32,4.737312248537324e-36,2.1448964675709253e-13,2.6143417657858462e-36,1.1345731306993796e-37,7.921991847004524e-19,1.0953118235726314e-30,7.506142296769274e-35,8.491329806268222e-31,1.079932894395946e-16,1.414598020203517e-35,3.286391361783947e-31,1.5414566382342965e-32,1.4584936231726108e-36,2.412094422318896e-33,5.88462212751772e-32,2.8052848510786034e-40,3.0161443120277977e-41,2.291581379395046e-23,7.318735688943064e-53,4.4422647713484566e-32,2.4737086138959505e-33,6.973164874641496e-47,5.032868741981365e-60,1.6888847426012236e-59,5.594246762114762e-48,3.3010491858034452e-62,7.320980409965018e-67,5.165359218720546e-71,2.4557504619445894e-71,1.1279075518663329e-57,5.297460770844045e-55,3.520006645331734e-71,7.887776625335004e-46,1.679760058115299e-52,7.091872320605112e-46,4.5162962661094087e-51,1.531168325943081e-64,8.499256529281849e-23,1.2801535778448238e-35,4.049318072100563e-52,4.861037034946714e-46,3.3139895343774608e-37,4.521171259401888e-42,5.117078308409817e-56,1.6253217244189398e-31,4.383649074793774e-53
