Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132)
0.0,0.48515967059742665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7405942927047247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.890627695068942e-21,0.48515967059742665,1.3489672099313257e-29,2.474600908260916e-34,1.1485424775262071e-37,1.489545926971071e-43,0.0,0.0,9.387821704480816e-24,2.9650468216923366e-42,2.6186545111940396e-55,4.390572667316796e-57,4.154561337812505e-67,9.91871633381693e-76,1.3239959552870196e-53,1.3499423990371875e-43,5.163860961258575e-41,2.229067039505423e-57,1.69924428749426e-74,1.9767219120037302e-73,1.0553888254921061e-43,1.3487997065719425e-65,1.4105002600700796e-31,2.1530708934328096e-75,8.798606175477683e-60,2.7524141561565042e-67,1.327523409494774e-65,4.37493621469499e-77,4.534835721682981e-94,3.7947027148672346e-96,2.5239385122800206e-75,9.8213121475655e-90,2.201842531298129e-74,-1.7068770443865347e-111,3.76,0.0,0.7405942927047247,0.9999999999999996,1.8212778150215338e-51,9.068231198084322e-57,1.4954150865714884e-20,1.4954150865714884e-20,2.4631434082224378e-43,9.040739723886624e-49,4.330127013675137e-16,1.4687549595196136e-46,8.45502023615802e-49,9.387835194152835e-24,3.337900900760334e-38,4.756771671238241e-49,8.8052306847396e-39,6.481092321553234e-23,1.7445385552762394e-45,1.1485423448654593e-37,1.1109223058471073e-42,3.7979821919324765e-47,9.030409353101944e-44,4.87031861928778e-40,3.5114144454638835e-74,4.0664324227503733e-63,1.4105002600714805e-31,2.5288077776376007e-87,5.163860961258576e-41,3.206605737274028e-38,6.720476986093095e-61,2.3342636841790676e-77,2.354346053562047e-75,1.3949134866474265e-58,2.8027837931531756e-73,7.737386739385184e-102,2.603830074542339e-106,6.62717333333745e-110,7.186489102157086e-93,6.020075109072904e-74,2.7732521750543875e-106,8.492102662554102e-84,1.0191258983256896e-64
1.9293757546193038e-20,0.48515967059742665,3.777108188183966e-29,6.928882543561007e-34,6.9371965642581694e-37,8.996857399653232e-43,0.0,0.0,2.62859007725463e-23,1.7908882803021717e-41,3.1088666356895166e-54,5.212487870633709e-56,4.932295220426357e-66,1.1775500031488604e-74,7.9969355699249905e-53,8.153652090176435e-43,3.118972020600155e-40,2.6463483892987654e-56,2.017342824205476e-73,2.3467642539304203e-72,6.374548505972323e-43,1.601295011641961e-64,3.9494007281918495e-31,4.816333465773243e-74,1.0445705251526609e-58,4.1594482730250066e-66,2.0022595746382817e-64,1.3755499448794927e-75,2.166345442278925e-92,1.812778729862257e-94,5.6459494944288185e-74,2.7699507288200746e-88,6.922938815496185e-73,8.845246623767761e-110,3.76,0.0,0.7405942927047247,0.9999999999999988,2.1622210219935316e-50,1.0765804078365628e-55,4.1871622424001675e-20,4.1871622424001675e-20,1.487738618564355e-42,5.460606793226595e-48,1.2124355638022855e-15,8.87127995549722e-46,5.1068322228418755e-48,2.6285938543627677e-23,2.016092144059159e-37,2.879640691928048e-48,5.318359333582676e-38,1.8147058500349018e-22,1.0537012873867655e-44,6.937195762987359e-37,6.709970727316299e-42,2.2939812439589573e-46,5.454367249273437e-43,2.9416724460497005e-39,4.1784875655572634e-73,4.827668572289195e-62,3.949400728200309e-31,5.682739101041231e-86,3.1189720206001566e-40,1.9367898653132175e-37,7.978550277889455e-60,7.339298505248396e-76,7.402440687634207e-74,1.6563465417881996e-57,6.27081923915604e-72,3.2071171003391494e-100,1.0792775700240794e-104,2.7469379055434167e-108,1.6111756296224596e-91,7.1619557304364e-73,1.1495023802648724e-104,1.899649397246286e-82,1.209906266491147e-63
4.410001724844123e-20,0.48515967059742665,8.633390146194264e-29,1.583744581588295e-33,3.339961524646026e-36,4.33159955675382e-42,0.0,0.0,6.008205890867731e-23,8.622356157481323e-41,3.052303698247625e-53,5.117651501009602e-55,4.842556695897184e-65,1.1561255758638552e-73,3.850180237961738e-52,3.925632496387872e-42,1.5016507675339566e-39,2.5982005412410906e-55,1.980639160174856e-72,2.3040670606302797e-71,3.069070704531045e-42,1.5721609379794828e-63,9.027201664417894e-31,9.516263306763021e-73,1.0255655358135246e-57,4.474544646176786e-65,2.1525990578051864e-63,3.0687762581291543e-74,1.1280115804925537e-90,9.439085561697397e-93,1.1155444777125009e-72,6.026078447400989e-87,1.5444692540819825e-71,9.283446500517438e-108,3.76,0.0,0.7405942927047247,0.9999999999999972,2.1228814211889924e-49,1.0569930284486843e-54,9.570656554057526e-20,9.570656554057526e-20,7.162821031080889e-42,2.6290471117048424e-47,2.7712812885648184e-15,4.2711394222811694e-45,2.4587198849762225e-47,6.008214524257633e-23,9.706615819409818e-37,1.3930951057463055e-47,2.5605610831222117e-37,4.147899085794044e-22,5.073118118742058e-44,3.3399611388687315e-36,3.230562065403045e-41,1.1044532214606694e-45,2.6260430398818406e-42,1.416288654488709e-38,4.1230873189305253e-72,4.7398336319576816e-61,9.027201664458625e-31,1.129461395896209e-84,1.501650767533958e-39,9.32480948398844e-37,7.833387974989286e-59,1.6373571230962109e-74,1.6514437965482572e-72,1.6263446156613091e-56,1.2391146540226843e-70,1.2761628309676359e-98,4.294616866369348e-103,1.0930502206054515e-106,3.1989213072959532e-90,7.06325948604749e-72,4.57405253948719e-103,3.753387090844665e-81,1.1878931470849754e-62
9.371253665293762e-20,0.48515967059742665,1.8345954068234934e-28,3.36545723674139e-33,1.4586489464580928e-35,1.8917233284126047e-41,0.0,0.0,1.276743751809395e-22,3.765609463549276e-40,2.6997280548602965e-52,4.526504797065728e-54,4.2831865579706736e-64,1.022579979138913e-72,1.6814748632011688e-51,1.7144268467645503e-41,6.55810342079801e-39,2.298078955035008e-54,1.7518529296712959e-71,2.037921222396701e-70,1.3403438083749746e-41,1.3905585454857854e-62,1.9182803536800002e-30,1.69336821023839e-71,9.071011022667243e-57,4.112877426981994e-64,1.9781235437793392e-62,5.747478303426738e-73,4.501598104000565e-89,3.7668890360961033e-91,1.985051794774945e-71,1.1174412068638698e-85,2.892619750814591e-70,7.411846510728844e-106,3.76,0.0,0.7405942927047247,0.9999999999999941,1.8776645761743738e-48,9.348983635976505e-54,2.033764517737224e-19,2.033764517737224e-19,3.128192128411537e-41,1.1481739449321675e-46,5.888972737661842e-15,1.8653187985879808e-44,1.073787570302572e-46,1.2767455864046958e-22,4.2391341439643536e-36,6.142634361224877e-47,1.1182642969618642e-36,8.814285557312269e-22,2.2155639651995363e-43,1.458648777979108e-35,1.410871328425472e-40,4.823437384232635e-45,1.1468619878437359e-41,6.185304646493652e-38,3.683511383420808e-71,4.192329170558407e-60,1.9182803536977883e-30,2.03035923858153e-83,6.558103420798019e-39,4.072389286333438e-36,6.928542953580806e-58,3.066588681735601e-73,3.092971461760626e-71,1.4385365163229718e-55,2.2050247015489507e-69,4.600461489897743e-97,1.5481738715416716e-101,3.9403556696713265e-105,5.747759069775084e-89,6.303602506159369e-71,1.648908121109598e-101,6.678951786126865e-80,1.050678036130612e-61
1.9293757546193038e-19,0.48515967059742665,3.777108193639657e-28,6.928882549802406e-33,6.089572215842242e-35,7.897572515234721e-41,0.0,0.0,2.6285900772546467e-22,1.5720678248612857e-39,2.2692841009280124e-51,3.804800024277459e-53,3.600276384433699e-63,8.595400875201664e-72,7.01982655481166e-51,7.157394599581064e-41,2.7378790816589544e-38,1.9316738313382677e-53,1.4725379823188343e-70,1.7129955813870057e-69,5.595671552759147e-41,1.168848244916993e-61,3.949400728128429e-30,2.8561129944668263e-70,7.624731333964293e-56,3.518653231424741e-63,1.692140974340808e-61,9.927339472255499e-72,1.5999384718978658e-87,1.3388110264981556e-89,3.3480799931520933e-70,1.9216542160948634e-84,4.996281083923198e-69,5.279554288449052e-104,3.76,0.0,0.7405942927047247,0.9999999999999879,1.5782902140522092e-47,7.858384064559786e-53,4.1871622424001677e-19,4.1871622424001677e-19,1.3059586350116733e-40,4.793400201591784e-46,1.2124355634143716e-14,7.787338795355636e-44,4.482851732001162e-46,2.6285938543623967e-22,1.7697550575819864e-35,2.613421244967567e-46,4.668533309048354e-36,1.8147058500348483e-21,9.249543420063033e-43,6.08957151247644e-35,5.890110065598174e-40,2.0136901585913364e-44,4.787923039012754e-41,2.5822429319447374e-37,3.157931439152333e-70,3.5239052746361352e-59,3.949400728202693e-30,3.4913796620855663e-82,2.737879081658962e-38,1.70014236189857e-35,5.82385782851336e-57,5.296769340951194e-72,5.3423390313098914e-70,1.2091976822209398e-54,3.7191655531320075e-68,1.5842940456492612e-95,5.331557826627145e-100,1.3569686517162915e-103,9.881564929407563e-88,5.3931511355899367e-70,5.678463613420014e-100,1.12650284056848e-78,8.831581974615317e-61
3.9138765307991594e-19,0.48515967059742665,7.662133776904098e-28,1.4055733186943736e-32,2.48778894801942e-34,3.2264160684906258e-40,0.0,0.0,5.332282728145179e-22,6.422410017658545e-39,1.8604962103107992e-50,3.1194049361878707e-52,2.951724101314498e-62,7.047028949541607e-71,2.8678281988881958e-50,2.9240292339139014e-40,1.118512939652163e-37,1.583702913726721e-52,1.2072756670057654e-69,1.4044172724506133e-68,2.2860144115689217e-40,9.582924100168332e-61,8.011641476913317e-30,4.691174169778479e-69,6.25121541444258e-55,2.909290538622612e-62,1.3990224065239735e-60,1.6494423009063038e-70,5.3890334112338696e-86,4.509483735003271e-88,5.499231442388267e-69,3.1885093250357744e-83,8.301395588349295e-68,3.5617816055847652e-102,3.76,0.0,0.7405942927047247,0.9999999999999755,1.2939776737579437e-46,6.442778039692501e-52,8.493957691726055e-19,8.493957691726055e-19,5.335267147710222e-40,1.958260387141813e-45,2.4595121420258773e-14,3.18138199250317e-43,1.8313912055933256e-45,5.332290390277146e-22,7.230026867073243e-35,1.1077049372060748e-45,1.9072481872368444e-35,3.681260438641995e-21,3.7787402922607355e-42,2.487788660672188e-34,2.4063021513543682e-39,8.2265813506359e-44,1.956022787517687e-40,1.054930494210819e-36,2.6902753991563636e-69,2.8891104495352723e-58,8.01164147721671e-30,5.9523993939754945e-81,1.1185129396521696e-37,6.945636291130162e-35,4.774750510481959e-56,8.800661479875454e-71,8.876376197971543e-69,9.91381697916216e-54,6.108795807785995e-67,5.403641304485345e-94,1.818464581558565e-98,4.628289726573366e-102,1.6845261710366183e-86,4.576756066212395e-69,1.9367856995049972e-98,1.8502842990544016e-77,7.240664484382336e-60
7.88287808315887e-19,0.48515967059742665,1.5432184981961448e-27,2.830943450530359e-32,1.0056040691119265e-33,1.3041689645345151e-39,0.0,0.0,1.0739668029926365e-21,2.596040814639145e-38,1.5066780677305407e-49,2.526174993278762e-51,2.390382708805275e-61,5.7068667495849e-70,1.1592220105759826e-49,1.1819393675127435e-39,4.521208136905642e-37,1.2825236797718008e-51,9.776832364630662e-69,1.1373335192002933e-67,9.240435753819626e-40,7.760500390359637e-60,1.6136122974035212e-29,7.604595485617386e-68,5.0623963163116665e-54,2.3657867542853744e-61,1.1376331190299424e-59,2.689007248215601e-69,1.768734725604675e-84,1.4800576322274112e-86,8.9144911460204e-68,5.203086212298709e-82,1.3533369844062938e-66,2.339945133112199e-100,3.76,0.0,0.7405942927047247,0.9999999999999505,1.047896668845318e-45,5.2175286968425515e-51,1.7107548590377829e-18,1.7107548590377829e-18,2.156600284588287e-39,7.915601583679618e-45,4.953665296509415e-14,1.285965467285392e-42,7.402776077137831e-45,1.0739683462104027e-21,2.9224924578509546e-34,4.801205709109839e-45,7.709402115558341e-35,7.414369615855907e-21,1.5274272429869313e-41,1.0056039529621053e-33,9.726658030376023e-39,3.3253157151588287e-43,7.906556848276487e-40,4.2641977264687334e-36,2.3425875800491207e-68,2.3396765472795847e-57,1.6136122975261578e-29,1.0353692591952813e-79,4.521208136905695e-37,2.807537240030115e-34,3.866716757150565e-55,1.4347299384462333e-69,1.4470733471368221e-67,8.028499457365488e-53,9.902665390862242e-66,1.87875642919093e-92,6.322499646128163e-97,1.6091795495094194e-100,2.930003181268693e-85,3.957630137472451e-68,6.733882537224469e-97,2.99939058534387e-76,5.863677826169443e-59
1.582088118787829e-18,0.48515967059742665,3.0972287546190008e-27,5.681683731833208e-32,4.043489733820471e-33,5.244006076680948e-39,0.0,0.0,2.1554438633489207e-21,1.043856593764125e-37,1.2127055869377063e-48,2.033285406718311e-50,1.923987967383803e-60,4.5933828457411295e-69,4.6611807197476136e-49,4.752526212861808e-39,1.8179579068529945e-36,1.0322866344625628e-50,7.869246871463918e-68,9.154249620212433e-67,3.7155385756979786e-39,6.246325862369053e-59,3.238508596648749e-29,1.2246966592931536e-66,4.074656973880016e-53,1.9080927311848676e-60,9.175309202172092e-59,4.342753888560675e-68,5.731690062613363e-83,4.796214642571579e-85,1.435651317201885e-66,8.434683531105695e-81,2.1856428343360426e-65,1.5172022408875937e-98,3.76,0.0,0.7405942927047247,0.9999999999999006,8.434384040355799e-45,4.199521009954701e-50,3.4334730387681374e-18,3.4334730387681374e-18,8.671594892809441e-39,3.1828285826802875e-44,9.94197159451859e-14,5.1708105850891447e-42,2.976623709961216e-44,2.1554469605747323e-21,1.1751213637098272e-33,2.1908508980640788e-44,3.0999166834820344e-34,1.4880587970282208e-20,6.141717765326763e-41,4.043489266791366e-33,3.911046414608962e-38,1.337094825011829e-42,3.179191734386233e-39,1.714615151185458e-35,2.1494145009894833e-67,1.8831752325086357e-56,3.238508597141865e-29,1.8942548453178648e-78,1.817957906853038e-36,1.1288983762070039e-33,3.11227004290271e-54,2.3170926829476244e-68,2.3370273167553183e-66,6.462048182228911e-52,1.5947972626598355e-64,6.864691090613255e-91,2.3101454935168613e-95,5.87969805204417e-99,5.360658728302398e-84,3.5899100697763757e-67,2.460458559747026e-95,4.830426079410084e-75,4.719598042641392e-58
3.1696887397317133e-18,0.48515967059742665,6.205249329110256e-27,1.1383164364962426e-31,1.621620232756619e-32,2.1030810044935429e-38,0.0,0.0,4.318397984061679e-21,4.1863318172668944e-37,9.731198599852553e-48,1.631583486840867e-49,1.5438791829053871e-59,3.685900451739713e-68,1.8693419447474308e-48,1.9059755730270008e-38,7.290824308019657e-36,8.283450129245428e-50,6.314577625132363e-67,7.345708805538663e-66,1.4900971503793515e-38,5.0122831245803555e-58,6.4883011944226e-29,1.9659093675496963e-65,3.269655608584283e-52,1.5326838600180958e-59,7.37006183549338e-58,6.980850040826978e-67,1.845695527193047e-81,1.5444575153358169e-83,2.304538312851689e-65,1.367284512080115e-79,3.513357013651945e-64,9.77343103537841e-97,3.76,0.0,0.7405942927047247,0.9999999999998008,6.768062013417285e-44,3.369851133890105e-49,6.878909398228847e-18,6.878909398228847e-18,3.4776973979409505e-38,1.276456617113001e-43,1.9918584146705343e-13,2.0737263147370162e-41,1.1937592468092585e-43,4.318404189299207e-21,4.712762254326148e-33,1.0874193156872428e-43,1.2432052372373313e-33,2.981302467912871e-20,2.4631035189104717e-40,1.6216200454604425e-32,1.5685045380771869e-37,5.3623482883302555e-42,1.2749980783102174e-38,6.87637363658594e-35,2.148290508900635e-66,1.5111295258525054e-55,6.488301196400215e-29,3.768808588112976e-77,7.290824308020003e-36,4.527387400635363e-33,2.497400705496891e-53,3.7246588145423414e-67,3.7567031426769435e-65,5.185392038982817e-51,2.560005623934603e-63,2.7254847131360477e-89,9.171958566310791e-94,2.3344134423448259e-97,1.0666082630907829e-82,3.529793019242989e-66,9.76874571672583e-94,7.753903660416283e-74,3.7871801988332377e-57
