Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62)
0.0,0.8705840396285432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.083293947372309e-23,0.8705840396285432,2.130038981248512e-25,9.952715519475465e-26,1.3861962682677393e-36,1.6822332512263695e-40,0.0,0.0,8.156833807992676e-21,2.801835481939096e-39,2.213367858591665e-53,1.4918456337872265e-63,9.870537203138221e-64,4.2952252165619733e-69,2.4687917636139695e-48,1.4773952565082748e-56,2.1425258261326091e-72,8.534887529312076e-71,6.28058343472154e-62,5.043937058803946e-59,3.356890470841638e-36,5.476512507952257e-56,2.6911417902062976e-72,-3.913181637569494e-124,7.337406565920814e-91,2.662248973711658e-78,6.091163408142616e-55,2.400190075277027e-76,-1.0606208864318715e-132,3.418359672164502e-97,3.8038147606098604e-91,1.0534384501774349e-89,1.1467966320826645e-70,-1.6038180925829798e-118,3.76,0.0,0.6064403113960647,0.9999999999999997,3.954957396425907e-52,1.1193720444667508e-88,2.6158629783395956e-17,2.6158629783395956e-17,3.8514900785911805e-36,6.714459991136093e-39,3.621173588928205e-16,5.386021017182862e-40,5.411589631802747e-41,8.157046811890672e-21,2.3553668670071333e-35,9.273956526898456e-49,5.285408628300426e-35,1.5717605082919858e-18,1.730551873397912e-39,1.3857473750140357e-36,1.978564704278684e-36
1.4233223052642465e-22,0.8705840396285432,5.964109149211031e-25,2.786760345453132e-25,8.372625460337173e-36,1.0160688839845562e-39,0.0,0.0,2.2839134662379485e-20,1.6923086310912138e-38,2.6277103217200238e-52,1.7711191398268263e-62,1.1718303894035865e-62,5.099291377102574e-68,1.4911502252229063e-47,2.0250779283995772e-55,5.500452830208216e-71,2.398356555333888e-69,7.456308653715852e-61,5.988162076212043e-58,2.0275618443883496e-35,6.5017156494409146e-55,6.908900838386138e-71,4.460556627011258e-122,3.4848350954792825e-89,5.9803747320733436e-77,9.181191515189128e-54,7.546581628171475e-75,1.0156441804873854e-130,1.968800151430566e-95,1.962050299271272e-89,5.69756390189894e-88,3.382119832504624e-69,4.338245571280712e-117,3.76,0.0,0.6064403113960647,0.999999999999999,4.6953254215732765e-51,5.284661611733062e-87,7.324416339350868e-17,7.324416339350868e-17,2.3263000074689294e-35,4.0555338346461187e-38,1.0139286048997547e-15,3.253156694378458e-39,3.268600137609312e-40,2.2839731073293635e-20,1.422641587672239e-34,1.1010041188733352e-47,3.1923868114934285e-34,4.400929423217561e-18,1.0452533315323385e-38,8.369914145084772e-36,1.195053081384283e-35
3.253308126318278e-22,0.8705840396285432,1.363224949199686e-24,6.369737932464312e-25,4.031058748122627e-35,4.891934298223716e-39,0.0,0.0,5.220373637115306e-20,8.147737581478884e-38,2.5799015759744417e-51,1.738895281136113e-61,1.1505104678212443e-61,5.0065145124252515e-67,7.179246448590455e-47,2.1070341884056182e-54,1.1550317906845288e-69,5.2103582680315836e-68,7.320648051554629e-60,5.879213035741868e-57,9.761837489207482e-35,6.383422979269134e-54,1.450789662843056e-69,1.0784305243310263e-119,1.4710742806210384e-87,1.1838345164414395e-75,9.86852255873098e-53,1.6836008485051848e-73,2.1139907241230627e-128,8.828926240897036e-94,8.5559233544831e-88,2.515945997221336e-86,7.435805757371451e-68,4.564816893322576e-115,3.76,0.0,0.6064403113960646,0.9999999999999977,4.609898342035805e-50,2.2252718033866473e-85,1.674152306137341e-16,1.674152306137341e-16,1.1200133148541e-34,1.9525649654222535e-37,2.317551096913052e-15,1.566254911796789e-38,1.5736902649289045e-39,5.2205099596098546e-20,6.849406849255704e-34,1.0809723727751317e-46,1.5369968291097202e-33,1.0059267253068708e-17,5.032444847841121e-38,4.0297533665408093e-35,5.75366616004178e-35
6.913279768426341e-22,0.8705840396285434,2.8968530205011667e-24,1.35356931064867e-24,1.7604692607000707e-34,2.1364362328368371e-38,0.0,0.0,1.109329397887e-19,3.5583310620626413e-37,2.2818937274936546e-50,1.5380331963064615e-60,1.0176142637040686e-60,4.4282053892680235e-66,3.135365539790807e-46,1.91082883386803e-53,2.1106903692606206e-68,9.654267680981082e-67,6.475030297949973e-59,5.200097350144491e-56,4.263250897968879e-34,5.646065335198424e-53,2.651154534344028e-68,1.8371042461228914e-117,5.401520265030292e-86,2.1083793414086706e-74,9.067905940629097e-52,3.1531980650460304e-72,3.385078822960213e-126,3.32166271676443e-92,3.1835019964464475e-86,9.408532064996574e-85,1.3845064888022068e-66,3.623666150245738e-113,3.76,0.0,0.6064403113960644,0.9999999999999951,4.077402878186431e-49,8.162251364018595e-84,3.5575736505418485e-16,3.5575736505418485e-16,4.891392399808574e-34,8.527364188741569e-37,4.9247960809373646e-15,6.840246691822361e-38,6.872718832396307e-39,1.1093583664170434e-19,2.991315921097985e-33,9.561078220968029e-46,6.712468957941084e-33,2.1375942912771e-17,2.1978008792153397e-37,1.7598991662678175e-34,2.512777174433273e-34
1.4233223052642466e-21,0.8705840396285434,5.964109174081391e-24,2.7867603454531595e-24,7.349612614355934e-34,8.91920073201634e-38,0.0,0.0,2.283913466237932e-19,1.4855331725240995e-36,1.9180691723697838e-49,1.2928095959599401e-59,8.553674220829536e-60,3.722173449071485e-65,1.3089533930690864e-45,1.6248733406843562e-52,3.604283978588404e-67,1.6589488865005921e-65,5.442653115356022e-58,4.370995152166514e-55,1.7798233276402357e-33,4.745858115191238e-52,4.5271982816881435e-67,2.695287779534858e-115,1.849367210503076e-84,3.5575639749459e-73,7.756652655842567e-51,5.4463655244763624e-71,4.830190040528029e-124,1.1501863414885281e-90,1.0965100148545662e-84,3.2484685776455206e-83,2.3846750643029884e-65,2.573973544538912e-111,3.76,0.0,0.606440311396064,0.9999999999999899,3.427302801106312e-48,2.793249106191802e-82,7.324416339350862e-16,7.324416339350862e-16,2.042060039667042e-33,3.560006687299213e-36,1.013928604897686e-14,2.8556683433104668e-37,2.8692248227879276e-38,2.283973107328998e-19,1.248815512886215e-32,8.036662342899966e-45,2.8023236547244755e-32,4.400929423217557e-17,9.17538603275565e-37,7.347232582324348e-34,1.0490350062079686e-33
2.887310962107472e-21,0.8705840396285436,1.2098621525150889e-23,5.653142415062184e-24,3.0025565649189754e-33,3.643784540284994e-37,0.0,0.0,4.633081602939768e-19,6.06888772729928e-36,1.572548992367034e-48,1.0599234494829022e-58,7.01284051911228e-59,3.051662677798485e-64,5.3475017116665296e-45,1.3396134311857468e-51,5.955444571663436e-66,2.7492935707087885e-64,4.4622158553608096e-57,3.583605910149868e-54,7.271159035461814e-33,3.8909412155038e-51,7.480397935250992e-66,3.6878933554188954e-113,6.119253844443472e-83,5.844507240484043e-72,6.412907906674025e-50,9.04921781634296e-70,6.522578037664857e-122,3.826742422691044e-89,3.638516950478163e-83,1.079230647244611e-81,3.95663556024081e-64,1.734201191035473e-109,3.76,0.0,0.6064403113960632,0.9999999999999795,2.809909905275284e-47,9.240295781351934e-81,1.485810171696888e-15,1.485810171696888e-15,8.342481569814691e-33,1.454378891919074e-35,2.0568265985019327e-14,1.1666336964059726e-36,1.1721719606121661e-37,4.633202589152262e-19,5.101818848603943e-32,6.588941343391371e-44,1.1448406505240382e-31,8.927599687098466e-17,3.7484445798547484e-36,3.001584244175344e-33,4.2856502920508106e-33
5.815288275793922e-21,0.8705840396285438,2.436764640292608e-23,1.1385906554280426e-23,1.2136813702895467e-32,1.4728759823339395e-36,0.0,0.0,9.331417876343323e-19,2.453141452540745e-35,1.2734909451046907e-47,8.58353545555617e-58,5.679215058324542e-58,2.4713155561824094e-63,2.1615456910553686e-44,1.0878232495578037e-50,9.682328052854466e-65,4.476280122561968e-63,3.61361809065842e-56,2.9020969772967922e-53,2.9391187379644473e-32,3.1509850757782677e-50,1.2161588593979479e-64,4.878737042091131e-111,1.9909967302788816e-81,9.475180259351476e-71,5.214695169420915e-49,1.4752509076138048e-68,8.573669502491298e-120,1.2484767481684377e-87,1.1854943567487034e-81,3.5184558873227285e-80,6.445802488004118e-63,1.1387062429037559e-107,3.76,0.0,0.6064403113960617,0.9999999999999586,2.275537893132e-46,3.006142095117694e-79,2.9925472472204874e-15,2.9925472472204874e-15,3.372164435316408e-32,5.878832016311255e-35,4.142622585695817e-14,4.7157199295532085e-36,4.738106478988067e-37,9.33166155279621e-19,2.062236749667627e-31,5.335895529710487e-43,4.627628953688326e-31,1.798094021486026e-16,1.5151812316497417e-35,1.2132883426987414e-32,1.7323283696976886e-32
1.1671242903166822e-20,0.8705840396285442,4.8905696861021234e-23,2.2851434832717672e-23,4.88015941028945e-32,5.9223696424181685e-36,0.0,0.0,1.8728090423149978e-18,9.86397388758533e-35,1.0250163038285054e-46,6.908776983473731e-57,4.571182678102653e-57,1.9891297592152655e-62,8.691480155527744e-44,8.767609688518362e-50,1.5615717481456725e-63,7.224549666081346e-62,2.9085542173987072e-55,2.335860124059274e-52,1.1818067178216765e-31,2.5361869184923352e-49,1.9614283937877642e-63,6.347998903101868e-109,6.424231765226004e-80,1.5260332466487837e-69,4.2057709401407315e-48,2.382534198654124e-67,1.112050334813158e-117,4.033830325753074e-86,3.827788432201876e-80,1.1364027088732058e-78,1.0406342733518829e-61,7.383452023181684e-106,3.76,0.0,0.6064403113960586,0.9999999999999168,1.8315508637179033e-45,9.699206559290955e-78,6.006021398267672e-15,6.006021398267672e-15,1.3559324881170296e-31,2.3638524977129627e-34,8.314214560025147e-14,1.8961702431839345e-35,1.9051717762690865e-36,1.872857948007378e-18,8.292163269918669e-31,4.2947929347173275e-42,1.860749249225362e-30,3.6087621270383757e-16,6.092477092371847e-35,4.8785790636315287e-32,6.965616183967989e-32
2.3383152157912624e-20,0.8705840396285452,9.798180058739069e-23,4.5782491389595207e-23,1.9571621939913374e-31,2.375135188782623e-35,0.0,0.0,3.752143551676146e-18,3.955894705936485e-34,8.22511030550317e-46,5.543859871049689e-56,3.6681766002020947e-56,1.5961513607622993e-61,3.485672278339657e-43,7.040196009488576e-49,2.508478202568566e-62,1.1609510123612437e-60,2.333931585706665e-54,1.8743806422251705e-51,4.739573514438439e-31,2.0351302786168096e-48,3.1508000689115844e-62,8.192125431945487e-107,2.064281387450118e-78,2.449707961199933e-68,3.3782761634200983e-47,3.829854275622026e-66,1.4328577447041322e-115,1.2970534368720493e-84,1.2303922629728922e-78,3.653371897790053e-77,1.6724960669480776e-60,4.758985295575715e-104,3.76,0.0,0.6064403113960524,0.9999999999998334,1.4697042210907885e-44,3.1165349168572986e-76,1.2032969700361977e-14,1.2032969700361977e-14,5.437895732931314e-31,9.480105774673034e-34,1.6657398508450058e-13,7.604490758039524e-35,7.64059093188155e-36,3.752241533458764e-18,3.32552834728217e-30,3.446300853477869e-41,7.462436729826945e-30,7.230098338143035e-16,2.4433558067389178e-34,1.9565284042977568e-31,2.7935236345560338e-31
