Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476),S(980),S(5430),CFO(51),S(7338),S(1061),CHFO2(175),S(11877),S(5944),S(1828),CHF(40),S(1121)
0.0,0.9093794868707137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.662383211619874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.407479160382498e-23,0.9093794868707137,4.528620172331634e-25,3.226027055962191e-25,3.327060233900564e-36,6.222663585867374e-23,0.0,0.0,1.7961951940293502e-20,1.0630886571637727e-38,8.793664387064385e-53,4.524041298378807e-54,5.509134337970774e-53,1.1609589302238678e-63,3.718911369110344e-43,2.2390157601175716e-38,1.1132868544645533e-35,7.640748407445582e-53,6.510737259629008e-61,8.034206048090653e-58,1.5861033744282304e-35,7.412096222901237e-55,3.739364902644968e-24,4.066446443276367e-70,5.461654298035503e-54,6.114696800317492e-55,3.3895354860914616e-37,4.296627726194658e-37,1.625211205447038e-75,1.3278781613574195e-57,7.964564265435729e-70,9.920339531023323e-60,4.685860400764187e-53,5.333621160829223e-69,3.76,0.0,0.662383211619874,0.9999999999999993,1.3756355915426247e-51,9.569783441214938e-52,5.580960195475983e-17,5.580960195475983e-17,1.787379434156724e-35,3.8466463330895487e-38,5.419945329630614e-16,2.3726734299963623e-39,2.6486175828122012e-40,1.7962404802310077e-20,7.568798538983518e-35,2.572836262424128e-37,1.9489985490721106e-34,3.530707402095898e-18,6.890130432560737e-39,3.3176181100515414e-36,4.1072916895938695e-21,1.9620129319766512e-39,1.1415695456124372e-35,6.153510329339274e-36,2.2796213096548237e-42,3.2613271454336955e-43,3.739364902645007e-24,3.701914496136503e-58,1.1129327379321491e-35,1.55463816598738e-38,3.33889609396351e-51,3.888983101230769e-54,6.326918945683006e-66,8.272323760804583e-54,2.988765314731625e-71,2.295754615318343e-75,2.1709063210587767e-79,1.5598653703347723e-73,1.4246856788530326e-62,9.1278989692048e-59,9.407206135664319e-80,1.0846424674854543e-52,3.35740489705982e-59,2.068851604053865e-53,5.322168149352825e-58,7.648570099958159e-70,6.222663585866993e-23,2.7386414653331533e-40,8.436117751316536e-57,9.125347516545931e-53,2.3471006146644836e-39,2.7472810762766896e-45,7.451736860457386e-60,1.3476568719658702e-19,1.1793134870385809e-58,5.614849639167681e-52,4.6594699175219045e-70,5.284738096165394e-62,4.107291689594084e-21,3.355363633493291e-75,9.985583129298626e-57,4.6499024463777324e-55,8.670281970674858e-59,8.45878750871232e-77,2.2939912301358355e-73,2.28375257465277e-55,1.2172653907423564e-55,1.6370319678013872e-54,5.354455798148552e-67,4.3560621347676275e-67,2.3186088563032937e-60,1.1533989822181933e-52,1.1578451944797498e-39,6.322088552586858e-73,8.153624859314208e-75,7.252891504217748e-72,7.540859807852354e-39,5.482464643887217e-57,1.6294400453295469e-74,1.8015423919214364e-55,2.1102858601249468e-103,7.50690752628305e-57,3.796994256051951e-77,2.2779205138036346e-75,2.6980833499530606e-76,1.8764660515851056e-72,1.34765687196587e-19,4.216605762254303e-43
1.7940941649070995e-22,0.9093794868707137,1.2680136496196956e-24,9.03287575669426e-25,2.0095443812759746e-35,1.7423458040428653e-22,0.0,0.0,5.029346543282177e-20,6.421055489269184e-38,1.0439844262516328e-51,5.370941829449215e-53,6.540444286038953e-52,1.378290441961972e-62,2.2462224669429075e-42,1.3523655191110075e-37,6.724252600965824e-35,9.071097324108733e-52,7.729547274652269e-60,9.538209420302547e-57,9.580064381546512e-35,8.799640635828181e-54,1.047022172740596e-23,9.096478035751301e-69,6.484075982627601e-53,7.302982853557658e-54,2.0472794335992628e-36,2.5951631466214374e-36,3.635532458153478e-74,1.5764569531634456e-56,1.8539200911777456e-68,1.4991617099286782e-58,5.563053469158023e-52,1.1931116315839726e-67,3.76,0.0,0.6623832116198738,0.9999999999999984,1.633154574582488e-50,1.1361246901410363e-50,1.562668854733275e-16,1.562668854733275e-16,1.079577178230571e-34,2.323374385186017e-37,1.5175846922963075e-15,1.433094751717963e-38,1.5997650200188627e-39,5.02947334464674e-20,4.571554317545697e-34,1.5539931025323338e-36,1.177195123639538e-33,9.885980725868512e-18,4.1616387812683776e-38,2.0038413384711285e-35,1.1500416730862084e-20,1.185055810914129e-38,6.895080055498209e-35,3.716720238920802e-35,1.3768912710314333e-41,1.9698415958420856e-42,1.0470221727406198e-23,4.3949128898130386e-57,6.722113737110103e-35,9.39001452256305e-38,3.96393744275344e-50,4.617000737781143e-53,7.999784049519947e-65,1.2116717809982066e-52,8.178796193564984e-70,5.135511244282115e-74,4.856230603955034e-78,3.489356452724904e-72,1.6913868379340166e-61,1.0836641656423557e-57,2.104354383723167e-78,1.2876875373985857e-51,3.985911093789545e-58,2.4561406243325796e-52,6.318478026911361e-57,1.7109545370802195e-68,1.7423458040426363e-22,1.654139445061201e-39,1.0015358994363873e-55,1.0833612571642608e-51,1.417648771257347e-38,1.659357770072131e-44,1.0154126452904098e-58,3.773439241504436e-19,1.4000809717268624e-57,6.665949491663691e-51,1.042304782676467e-68,6.274320205551706e-61,1.1500416730863384e-20,7.505814233782331e-74,1.1854886993000555e-55,5.52036420736178e-54,1.0293358755602459e-57,2.6595781333403235e-75,5.131566642608433e-72,2.711271056627695e-54,1.4451374718907102e-54,1.9434843521736253e-53,1.1977703442222537e-65,9.74433675299297e-66,2.752652434204268e-59,1.3693152716891157e-51,6.99338497465895e-39,1.9877657943501275e-71,1.8239335540986202e-73,1.6224428179272363e-70,4.554679323942757e-38,6.508782025223736e-56,3.644992203800658e-73,2.1387948231574044e-54,1.6283911104788044e-101,8.912200615202499e-56,1.1938357460108137e-75,5.095625483333283e-74,8.483205745588241e-75,5.8953750075107315e-71,3.773439241504435e-19,2.5468298804015968e-42
4.100786662644799e-22,0.9093794868707139,2.898316919860114e-24,2.0646573158158875e-24,9.67509116018336e-35,3.982504694955125e-22,0.0,0.0,1.149564924178781e-19,3.0914618150322436e-37,1.0249903590677011e-50,5.273222537433411e-52,6.421446984338885e-51,1.353213729069541e-61,1.0814594261376772e-41,6.511057830421806e-37,3.237438172782803e-34,8.906057500723012e-51,7.588915349885661e-59,9.364670569682333e-56,4.6123886128372925e-34,8.639539357413171e-53,2.3931935376928152e-23,1.7973107710992463e-67,6.366104249789727e-52,7.189223623807215e-53,9.85676919355426e-36,1.2494593427772017e-35,7.18319949779688e-73,1.5477747848779497e-55,3.726940436124587e-67,1.612729756881087e-57,5.461838885077283e-51,2.3573892184028822e-66,3.76,0.0,0.6623832116198736,0.9999999999999964,1.603440845932506e-49,1.1154539579079904e-49,3.571814525104627e-16,3.571814525104627e-16,5.1976993945263965e-34,1.1186047536623352e-36,3.4687650109617412e-15,6.899734334431772e-38,7.702179930822199e-39,1.1495939073477876e-19,2.2010066151358847e-33,7.481807851551773e-36,5.667687780701444e-33,2.2596527373413737e-17,2.00364992979115e-37,9.64763346402985e-35,2.6286666813395514e-20,5.705533606191506e-38,3.3196842386395993e-34,1.7894408037716819e-34,6.629138768475023e-41,9.483939338923185e-42,2.39319353769293e-23,4.314951536696031e-56,3.236408401906573e-34,4.52088778669021e-37,3.891817287123742e-49,4.532998702794503e-52,8.834555896299157e-64,1.2902277934031265e-51,1.759947265016477e-68,1.0146904811039916e-72,9.595093328565727e-77,6.894380357340586e-71,1.6606136272701533e-60,1.0639479039073913e-56,4.157849648192764e-77,1.2642592601005937e-50,3.9133911480133176e-57,2.4114534296846609e-51,6.203519194884677e-56,3.380557844771937e-67,3.982504694954022e-22,7.963969381188454e-39,9.833138850937095e-55,1.0636505065283698e-50,6.825368587444291e-38,7.989093369827772e-44,1.054228720663296e-57,8.625003980581568e-19,1.3746078002275638e-56,6.544668739475835e-50,2.0594186071966732e-67,6.160756051863453e-60,2.6286666813401788e-20,1.4830224088894302e-72,1.1639199533119664e-54,5.419926324360734e-53,1.0106080665070205e-56,5.9333725122993405e-74,1.0139110962871601e-70,2.6619420010150397e-53,1.4188445394535833e-53,1.9081244616687335e-52,2.3665923586157096e-64,1.9253167362726554e-64,2.7025704829102134e-58,1.344401853672524e-50,3.367013825548965e-38,4.434596140351418e-70,3.603785598067184e-72,3.205673603224965e-69,2.1928820321233664e-37,6.390360788917423e-55,7.2018903609917e-72,2.09988305958857e-53,1.774700288231284e-99,8.750051412633223e-55,2.663381876537411e-74,1.0068105378134075e-72,1.89255653579103e-73,1.314940489194432e-69,8.625003980581562e-19,1.2261889556635477e-41
8.714171658120198e-22,0.9093794868707139,6.158923482210364e-24,4.387396796109009e-24,4.225366497054255e-34,8.462822476779661e-22,0.0,0.0,2.442825463879902e-19,1.3501225945979848e-36,9.06592467662461e-50,4.664105617067072e-51,5.6796971370746655e-50,1.1969022187048549e-60,4.723017438774157e-41,2.84355001534922e-36,1.4138743051698617e-33,7.877307143299694e-50,6.712309685315782e-58,8.282945067397222e-55,2.014351285523852e-33,7.641574721961193e-52,5.085536267597336e-23,3.19821848722476e-66,5.630747115101734e-51,6.3663769947421784e-52,4.304710067336455e-35,5.456717212265099e-35,1.2782119709815065e-71,1.3689892692325023e-54,6.684112688509384e-66,1.4823764954456181e-56,4.830934640732183e-50,4.1948495410391886e-65,3.76,0.0,0.6623832116198731,0.9999999999999926,1.418225269890327e-48,9.866063936554314e-49,7.59010586584733e-16,7.59010586584733e-16,2.2699718813776386e-33,4.885240843022635e-36,7.371125648288377e-15,3.0132952560977904e-37,3.363744330175923e-38,2.442887053113886e-19,9.612374144503671e-33,3.267502053715131e-35,2.4752281573213196e-32,4.801762066850416e-17,8.750465649377609e-37,4.2133749997654275e-34,5.585916697845036e-20,2.4917564236138333e-37,1.4497933229263822e-33,7.814958118259036e-34,2.8951190632603806e-40,4.141885474702856e-41,5.085536267597838e-23,3.816525768935468e-55,1.4134245771737098e-33,1.974390470802846e-36,3.44226831703236e-48,4.009386018044707e-51,9.544595009086122e-63,1.1811450413283094e-50,3.24855222297939e-67,1.8055874964195366e-71,1.7073955914303783e-75,1.2268181492333695e-69,1.4687939474683469e-59,9.41049872248552e-56,7.398671295898528e-76,1.1182229982778551e-49,3.4613501526736175e-56,2.1329032497142756e-50,5.486942475254742e-55,6.015522062258724e-66,8.462822476774842e-22,3.4780746609727427e-38,8.69729995690249e-54,9.407868275653497e-50,2.980817780623866e-37,3.4890469668870633e-43,9.552059600270261e-57,1.8328133458735835e-18,1.2158250320415833e-55,5.788685384058264e-49,3.664625377196396e-66,5.450170774138381e-59,5.585916697847779e-20,2.6389591393250554e-71,1.0294740649461908e-53,4.79386345955757e-52,8.938713900593736e-56,1.1112550056500671e-72,1.804200624513198e-69,2.35445755436354e-52,1.2549519272487552e-52,1.6877144775233368e-51,4.211224655606003e-63,3.425998262915454e-63,2.3903929865009463e-57,1.1891082147055648e-49,1.47046339699118e-37,8.305507784614631e-69,6.4127441300012146e-71,5.704324898451406e-68,9.57689195597148e-37,5.65220174926711e-54,1.2815379101863002e-70,1.8573234288949376e-52,1.4518150272424197e-97,7.739321383291946e-54,4.988219492571449e-73,1.7915662164389226e-71,3.5445489382465923e-72,2.462531575808644e-68,1.832813345873581e-18,5.355089318062929e-41
1.7940941649070993e-21,0.909379486870714,1.2680136694388518e-23,9.032875756696037e-24,1.7640073360145654e-33,1.7423458040428788e-21,0.0,0.0,5.02934654328212e-19,5.636496060282266e-36,7.620456360887774e-49,3.9204618046784167e-50,4.77412767113664e-49,1.0060684335913951e-59,1.9717668079059224e-40,1.1871261560142507e-35,5.902646902369978e-33,6.621351353537574e-49,5.642100737630388e-57,6.962314414082582e-54,8.409520091218471e-33,6.423203993224711e-51,1.0470221727406708e-22,5.394262940144923e-65,4.732982228207081e-50,5.35433283836214e-51,1.7971317147259618e-34,2.2780720204265027e-34,2.155891316571645e-70,1.1507179685807727e-53,1.1316233654240034e-64,1.2682043012458701e-55,4.060691651278349e-49,7.07522800757467e-64,3.76,0.0,0.6623832116198723,0.9999999999999848,1.1921037938468695e-47,8.293021213620509e-48,1.5626688547332727e-15,1.5626688547332725e-15,9.476685759886347e-33,2.039491885803097e-35,1.5175846922924725e-14,1.2579914525862327e-36,1.4042970424109995e-37,5.029473344645567e-19,4.0129769853642074e-32,1.3641177867301125e-34,1.033359030717799e-31,9.885980725868495e-17,3.6531471553665334e-36,1.7590011219493012e-33,1.1500416730851208e-19,1.0402592565371454e-36,6.052601730824425e-33,3.262591176614029e-33,1.2086552183778658e-39,1.729155652510801e-40,1.0470221727408805e-22,3.2080198717173753e-54,5.900769376515181e-33,8.242691556054958e-36,2.893433932690804e-47,3.370130531796665e-50,1.0930380402216633e-61,1.008664433122543e-49,5.572609489520104e-66,3.0453872229260145e-70,2.879772223130185e-74,2.0692081253782137e-68,1.2346098143195922e-58,7.910091202495614e-55,1.2478940553042875e-74,9.399338080416945e-49,2.9094733653151857e-55,1.7928336984454267e-49,4.612105763535058e-54,1.0146057205187038e-64,1.7423458040408674e-21,1.4520277049193143e-37,7.310604665416199e-53,7.907880152269928e-49,1.2444327458950833e-36,1.456608426656003e-42,8.119292414213033e-56,3.7734392415044395e-18,1.0219741978435907e-54,4.8657388597627125e-48,6.1809263315472735e-65,4.5829663737619106e-58,1.1500416730862658e-19,4.45099030782485e-70,8.653350010372827e-53,4.0295310919283655e-51,7.513527631467808e-55,1.919416672665061e-71,3.043048062494064e-68,1.9790634411520296e-51,1.0548627113874314e-51,1.4186257107830553e-50,7.1028459071946265e-62,5.778446824828373e-62,2.009269337142534e-56,9.995171036027557e-49,6.138895221148644e-37,1.4345699264003742e-67,1.0816030450721095e-69,9.621177702879969e-67,3.9981638701224156e-36,4.751016140967639e-53,2.161500999049278e-69,1.561192509100985e-51,1.0448818192229547e-95,6.505365951747713e-53,8.61590869083655e-72,3.021738811281964e-70,6.122326823751766e-71,4.253251284213344e-67,3.7734392415044295e-18,2.2356443751471997e-40
3.639448163097259e-21,0.9093794868707141,2.5722563468655452e-23,1.832383367787323e-23,7.206545549042099e-33,3.534472916772729e-21,0.0,0.0,1.020238870208646e-18,2.3026925549629728e-35,6.247710695295594e-48,3.2142314519452737e-49,3.9141183054430287e-48,8.248356859547431e-59,8.0553107819784e-40,4.849797697044341e-35,2.4114238582434852e-32,5.4285839072230355e-48,4.625735066281092e-56,5.708126002075128e-53,3.43556335314652e-32,5.266130707283441e-50,2.123959264702677e-22,8.860093077142136e-64,3.880384785424411e-49,4.391003105832241e-50,7.341869444295822e-34,9.306667520030553e-34,3.541057961606069e-69,9.434281140929696e-53,1.8621319102294248e-63,1.0485758409432471e-54,3.329200352411816e-48,1.1621084157442496e-62,3.76,0.0,0.6623832116198707,0.9999999999999691,9.773587140818193e-47,6.799119834162511e-47,3.169985391030348e-15,3.169985391030348e-15,3.871535349550159e-32,8.331989823316974e-35,3.0785289472129714e-14,5.139305556327585e-36,5.737011629108092e-37,1.0202645927706856e-18,1.639432038733876e-31,5.572866261187202e-34,4.2216088172301725e-31,2.0054418043904627e-16,1.4924298122336752e-35,7.186093531095826e-33,2.332941679684436e-19,4.249798491205109e-36,2.4726852985675973e-32,1.3328749513748037e-32,4.937750941555233e-39,7.0641650501109106e-40,2.123959264703534e-22,2.6301285112285223e-53,2.410656827669645e-32,3.3674084530467294e-35,2.372211951934519e-46,2.763036624677077e-49,1.3728414524669073e-60,8.332677565630205e-49,9.227705314082624e-65,5.002057658374315e-69,4.730034523895468e-73,3.3986805611185895e-67,1.012207717759197e-57,6.48517067729317e-54,2.049669733021694e-73,7.706145242398088e-48,2.3853620478634233e-54,1.4698733844334755e-48,3.781282956636138e-53,1.666492942621848e-63,3.534472916764509e-21,5.932006959567489e-37,5.993675392846181e-52,6.483357922818256e-48,5.0839138153876365e-36,5.950720702577764e-42,6.692584956642384e-55,7.654691032766155e-18,8.378761915850666e-54,3.989226692792823e-47,1.0152190059715818e-63,3.7602944524668965e-57,2.3329416796891124e-19,7.310764949296984e-69,7.094539231724932e-52,3.303653044867107e-50,6.160043900664862e-54,3.189139508962505e-70,4.998215582914703e-67,1.6225557790324726e-50,8.648401829304243e-51,1.1630750674533954e-49,1.1666445731010486e-60,9.491116261330279e-61,1.6473203975400063e-55,8.194645098100138e-48,2.50793900506529e-36,2.3835593885217934e-66,1.7765362630545445e-68,1.5802813267524138e-65,1.6333803978192878e-35,3.8951700766782586e-52,3.5502718815238197e-68,1.2799600437074184e-50,7.082549202121208e-94,5.333492044891041e-52,1.4315461151636248e-70,4.963215491910122e-69,1.0172337584802543e-69,7.066714563758132e-66,7.654691032766114e-18,9.133336745273044e-40
7.330156159477577e-21,0.9093794868707148,5.1807418416831796e-23,3.69057495202402e-23,2.913000933674562e-32,7.118727142232524e-21,0.0,0.0,2.0548473019694747e-18,9.307851476023897e-35,5.059558168536611e-47,2.6029679645971956e-48,3.169754484118595e-47,6.679733237986917e-58,3.256085411427019e-39,1.960365770738823e-34,9.74736078851977e-32,4.396208002571977e-47,3.746040187283873e-55,4.622588429788373e-52,1.3887096372738854e-31,4.264649180414048e-49,4.2778334486272185e-22,1.4362592685366009e-62,3.142436205003689e-48,3.556425880094686e-49,2.9677010157782752e-33,3.761903812401017e-33,5.740207551609305e-68,7.6401254681672e-52,3.021362378197937e-62,8.526844595588976e-54,2.6960727607465e-47,1.883827893765673e-61,3.76,0.0,0.6623832116198674,0.9999999999999379,7.914904264030656e-46,5.506103520788537e-46,6.384618463624483e-15,6.384618463624481e-15,1.5649364888082738e-31,3.3679235036370493e-34,6.200417457026888e-14,2.0773894763014645e-35,2.3189918274236312e-36,2.0548991093821145e-18,6.626846423176134e-31,2.25264164662886e-33,1.7064417816413583e-30,4.0391292679976777e-16,6.032639920126192e-35,2.904733901019231e-32,4.698741692875387e-19,1.7178364985879896e-35,9.99498932513022e-32,5.387693661820821e-32,1.995917878417847e-38,2.8554484595431044e-39,4.277833448630682e-22,2.129946259075732e-52,9.744260328302703e-32,1.3611603369468651e-34,1.9210787424240896e-45,2.237578695225163e-48,1.8838345489629077e-59,6.773164787388258e-48,1.501820336251006e-63,8.108551017499493e-68,7.667589794225346e-72,5.509407652617465e-66,8.197120530935722e-57,5.251859356963981e-53,3.3226029634707953e-72,6.240636212576981e-47,1.9317280310493842e-53,1.1903415757523814e-47,3.0621809746596786e-52,2.7014568740448446e-62,7.118727142199302e-21,2.397812057687262e-36,4.853833729668403e-51,5.250391338291483e-47,2.0549992489680743e-35,2.405376451870122e-41,5.434149258947868e-54,1.5417194615289613e-17,6.785338619154731e-53,3.2305792035082224e-46,1.645713757432622e-62,3.049883842132192e-56,4.698741692894292e-19,1.18510650354577e-67,5.745341846961674e-51,2.675383890691699e-49,4.98856326095453e-53,5.199102296942246e-69,8.102322853471426e-66,1.3139877374586472e-49,7.00370002656304e-50,9.418883443781729e-49,1.8911811271023812e-59,1.5385508459451311e-59,1.3340427676102013e-54,6.636236060908683e-47,1.0137490443481663e-35,3.885803382616532e-65,2.8798418495555133e-67,2.5617041295966244e-64,6.60238472303923e-35,3.154409717211213e-51,5.755143711565045e-67,1.0365448690764253e-49,4.6634684283249904e-92,4.319200138059562e-51,2.333781471299664e-69,8.045586528096339e-68,1.6583477628658512e-68,1.1520427991589963e-64,1.5417194615289444e-17,3.691840741930011e-39
1.4711572152238215e-20,0.9093794868707159,1.0397713391175443e-22,7.406958120502438e-23,1.1713048635883795e-31,1.4287235593152504e-20,0.0,0.0,4.124064165490977e-18,3.7426461410910482e-34,4.072372611474202e-46,2.0950950713794062e-47,2.551294171227704e-46,5.376430433642002e-57,1.3092576231612093e-38,7.882544544119478e-34,3.9193709026105243e-31,3.538450665545056e-46,3.015139041386484e-54,3.720661324635396e-51,5.583940373809541e-31,3.4325606764863306e-48,8.585581816478412e-22,2.3130512745683387e-61,2.529306043554211e-47,2.8627117739335824e-48,1.1932995260219581e-32,1.5126449775069764e-32,9.244427305312839e-67,6.149437652652075e-51,4.868031015111725e-61,6.877209072674473e-53,2.170033910884601e-46,3.033846806471613e-60,3.76,0.0,0.6623832116198607,0.9999999999998755,6.370603532820897e-45,4.4317911337075203e-45,1.2813884608812691e-14,1.2813884608812686e-14,6.292540793054917e-31,1.3542272281439614e-33,1.2444194476546392e-13,8.353091717361082e-35,9.324564145217224e-36,4.124168142601658e-18,2.6646258008158826e-30,9.057772997506145e-33,6.861527351937101e-30,8.106504195212064e-16,2.4256979794332344e-34,1.1679807261159427e-31,9.430341719226575e-19,6.907345007716973e-35,4.018941248038579e-31,2.166367925475864e-31,8.025498005428805e-38,1.1481632668689963e-38,8.585581816492342e-22,1.7143660504348628e-51,3.9181242211935884e-31,5.473165848827997e-34,1.5462513019751888e-44,1.8009979988634777e-47,2.75912758924389e-58,5.461676922218606e-47,2.423408881592102e-62,1.3058571440909718e-66,1.2348416984867395e-70,8.872731190369415e-65,6.597755736583822e-56,4.227153316893061e-52,5.350949642455849e-71,5.023006946922622e-46,1.5548227759325193e-52,9.580904575375967e-47,2.464709652121526e-51,4.35061301437013e-61,1.4287235593018913e-20,9.641496824345733e-36,3.906787659649111e-50,4.2259717227605716e-46,8.263061597949393e-35,9.6719129210718e-41,4.37959632707346e-53,3.0942201780336625e-17,5.4614308086759314e-52,2.6002511970185704e-45,2.65037127180277e-61,2.4623776718091942e-55,9.430341719302587e-19,1.908577492511963e-66,4.624350978462114e-50,2.1533817112326407e-48,4.015229708050587e-52,8.396564097332089e-68,1.3048541191644796e-64,1.0576116454543269e-48,5.637187089884938e-49,7.58113681984657e-48,3.0456889032619367e-58,2.4777887064728735e-58,1.0737536784975602e-53,5.341420121220891e-46,4.0762403210694823e-35,6.275582842428183e-64,4.63789652694305e-66,4.1255455277310286e-63,2.6547898587885578e-34,2.538943367875947e-50,9.268481526324258e-66,8.343015041665753e-49,3.027097211423464e-90,3.4764680330098304e-50,3.769063309992761e-68,1.2957169340643178e-66,2.6782360666960997e-67,1.8605441944822218e-63,3.094220178033596e-17,1.4844729250244992e-38
2.947440413775949e-20,0.9093794868707181,2.0831658729587945e-22,1.4839724457479376e-22,4.697456381904957e-31,2.8624252494993997e-20,0.0,0.0,8.26249789253336e-18,1.5009684965173465e-33,3.267822561961569e-45,1.6811818509075619e-46,2.047252897517732e-45,4.314246827319621e-56,5.250708648743295e-38,3.161252917611542e-33,1.5718430300924523e-30,2.839383816778642e-45,2.419459194738409e-53,2.9855963943350974e-50,2.2394098377349546e-30,2.754413767752645e-47,1.7201078552189258e-21,3.7129595592557344e-60,2.029608809815243e-46,2.2972221874276603e-47,4.7856648156118196e-32,6.066382906761226e-32,1.4839353170282545e-65,4.934536438161082e-50,7.816046798864562e-60,5.524148326123127e-52,1.741315549526238e-45,4.869996067172666e-59,3.76,0.0,0.6623832116198474,0.9999999999997506,5.112008128508886e-44,3.5562332803383724e-44,2.567241689918886e-14,2.5672416899188836e-14,2.5235902987519254e-30,5.431056877766458e-33,2.4931748515152095e-13,3.3499633798692838e-34,3.7395672736470836e-35,8.262706209027488e-18,1.0686341244178718e-29,3.63257209977457e-32,2.751779357432963e-29,1.624125404964066e-15,9.728133817984695e-34,4.684125103871962e-31,1.8893541771806093e-18,2.7701542867218905e-34,1.611775191975066e-30,8.688104312856872e-31,3.2185836493227287e-37,4.6046482287593936e-38,1.7201078552245114e-21,1.375670788461847e-50,1.571343055085093e-30,2.1949842986824994e-33,1.2407692903277711e-43,1.4451874711946711e-46,4.208646743955763e-57,4.3866668162724284e-46,3.893925894655533e-61,2.0961899199751612e-65,1.9821944022198944e-69,1.4242698609634078e-63,5.2942834663338526e-55,3.392024327966803e-51,8.58945923249825e-70,4.030646736914048e-45,1.2476473583732099e-51,7.688072537371786e-46,1.977774273821794e-50,6.983697403493345e-60,2.862425249445824e-20,3.8666714530403894e-35,3.1349510560095723e-49,3.3910761650811475e-45,3.3138572752398784e-34,3.87886966855032e-40,3.516636732752796e-52,6.199221611043105e-17,4.382454237929917e-51,2.0865378275010203e-44,4.2544328598933526e-60,1.98804521323044e-54,1.889354177211094e-18,3.0636895723894307e-65,3.710750457182797e-49,1.7279532124994127e-47,3.221968971081064e-51,1.3497231556230638e-66,2.094579848099988e-63,8.486667394189922e-48,4.5234876225927586e-48,6.083384854527917e-47,4.889005207853077e-57,3.977399621177382e-57,8.616197043931115e-53,4.286153256249999e-45,1.6347546830918948e-34,1.0087816133747344e-62,7.444851071895599e-65,6.6224142423723105e-62,1.0646894717506848e-33,2.0373421556862336e-49,1.4877965508917377e-64,6.694744210829119e-48,1.9510436783277483e-88,2.7896466561488812e-49,6.058659191080414e-67,2.079912658647544e-65,4.3051862563114357e-66,2.990764058310863e-62,6.199221611042835e-17,5.953400376090848e-38
