Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064)
0.0,0.5941916429391353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8951219795756475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4637412803881314e-21,0.5941916429391353,1.2076083067100427e-27,3.390754445208247e-31,9.754529238041936e-37,1.9441404238833427e-28,0.0,0.0,1.4051403870594306e-22,5.92333565488593e-41,6.226090866913689e-54,1.3056282577258411e-55,2.9259979064004823e-59,1.5169088592369616e-71,6.166521878581994e-50,2.144728552530472e-41,5.4348895910194614e-39,7.708116662148994e-56,1.8047236781923543e-69,2.3034025998972675e-68,1.1069273812198104e-40,9.937102704682492e-62,1.2671649894469019e-28,2.298669271206511e-73,1.3860859721439902e-57,2.2029531366059347e-63,3.584645508770887e-45,2.732057773329132e-44,1.4365358539192854e-84,5.200197218946848e-67,3.925411871083819e-73,5.0132186653512536e-67,1.0880771147889646e-59,6.769056297295987e-75,3.76,0.0,0.8951219795756475,0.9999999999999994,5.182741988028498e-51,7.959704294159574e-55,3.9999466527789734e-19,3.9999466527789734e-19,1.9648901785933087e-40,7.102694101408721e-45,5.074442629249198e-16,6.883788344672227e-44,9.953417870205654e-46,1.4051524631424885e-22,7.17946749874604e-37,4.693390266286992e-43,1.2384799392572426e-37,5.5689555695364145e-21,6.012482319588393e-43,9.754060474676748e-37,3.687871226936306e-26,2.4507442836414596e-44,1.1718812715335432e-40,2.009486811218955e-38,4.7724032800115995e-49,3.576709538051315e-50,1.2671649894471458e-28,5.003049483100316e-63,5.434889591025749e-39,3.390647562455744e-38,4.70977175628665e-58,1.1658622629018297e-56,2.6976336927958987e-72,6.983886671351671e-57,1.934412886664132e-72,2.2440978054706233e-78,1.087306800737168e-82,2.160248696015228e-80,3.0218464424988576e-68,8.462920641443455e-67,1.0233696716005414e-82,3.121257949749687e-54,5.437363237753842e-61,2.36507429761677e-53,2.045087148702486e-59,9.302102591294082e-80,1.9441404238824347e-28,4.619616353998063e-41,4.331369734595428e-61,2.7105086489888057e-54,1.0342203238966713e-45,1.2759907775930256e-49,5.144517074187078e-68,3.7762393610272335e-38,5.933788570033179e-63,8.347264888798122e-57,2.037849757750067e-72,3.343168302175862e-70,3.687871226935602e-26,5.765080405885491e-85,7.4074296937142714e-65,2.873762580976775e-62,2.099075415008753e-66,3.8976277683241645e-96,2.2852036474475306e-78,4.108957750205177e-59,2.9755870041771095e-59,5.5886559410116885e-58,1.6507055787190294e-89,7.67949245256271e-77,1.9706363417654125e-64
4.098475585086768e-21,0.5941916429391353,3.381303259135196e-27,9.49411244660553e-31,5.891735659777294e-36,5.443593186873592e-28,0.0,0.0,3.934393083766405e-22,3.5776947355511017e-40,7.391615077204726e-53,1.550041867667929e-54,3.473744714478824e-58,1.8008741976855913e-70,3.724579214662787e-49,1.2954160457279903e-40,3.282673312975736e-38,9.151076101301429e-55,2.1425679510351347e-68,2.7345995666135923e-67,6.685841382567655e-40,1.1797328330998719e-60,3.548061970450631e-28,5.142031212917945e-72,1.6455612661292854e-56,3.3282312046645124e-62,2.1651258872976302e-44,1.650162895090792e-43,3.2134745605689364e-83,6.17367413833367e-66,9.725764265747022e-72,7.57597604709806e-66,1.291765151140443e-58,1.9346839957768768e-73,3.76,0.0,0.8951219795756475,0.9999999999999986,6.15295128818762e-50,9.449760938026199e-54,1.1199850627781126e-18,1.1199850627781126e-18,1.1867936678697049e-39,4.290027237250391e-44,1.420843936183175e-15,4.157808160182005e-43,6.011864393635309e-45,3.9344268967989373e-22,4.336398369242525e-36,2.8348077702091213e-42,7.480418833113696e-37,1.5593075594701957e-20,3.6315393210313654e-42,5.891452526704749e-36,1.0326039435421603e-25,1.4802495473243478e-43,7.078162880062466e-40,1.2137300339762357e-37,2.88253158112578e-48,2.160332561016079e-49,3.548061970452102e-28,5.939620346335296e-62,3.282673312979534e-38,2.0479511277229734e-37,5.591441029063489e-57,1.3841116785170753e-55,8.481714863205124e-71,8.31428913848798e-56,4.33868073163293e-71,5.01995702692436e-77,2.4322618209747793e-81,4.8323899985620163e-79,3.587536096527509e-67,1.0047179545830064e-65,2.289237020571878e-81,3.7055574379321118e-53,6.455237636005798e-60,2.807816206130468e-52,2.4279274629370196e-58,2.0808431412621095e-78,5.443593186868108e-28,2.7902482778148127e-40,5.14220214890052e-60,3.217915868079452e-53,6.246690756335858e-45,7.706984296674719e-49,7.774383176968036e-67,2.2808485740604485e-37,7.044593756654034e-62,9.90987287598106e-56,4.5585883940959746e-71,4.0155471394270173e-69,1.0326039435417355e-25,1.2896254264756661e-83,8.794101150504254e-64,3.411730991954425e-61,2.4920223481184425e-65,1.8619435564617625e-94,5.111909231090027e-77,4.8781546410435914e-58,3.5326168916153806e-58,6.634852333140574e-57,6.811742999387026e-88,1.7178717436680587e-75,2.339539464944115e-63
9.367944194484041e-21,0.5941916429391353,7.728693165373805e-27,2.1700828449489856e-30,2.836617102422542e-35,1.244249871285502e-27,0.0,0.0,8.992898477180347e-22,1.7225060084408273e-39,7.25713151448133e-52,1.5218402975022538e-53,3.4105431597009325e-57,1.7681089663249626e-69,1.7932245622905385e-48,6.236870630752388e-40,1.5804658930684324e-37,8.984580781395103e-54,2.1035859201624993e-67,2.684846070486739e-66,3.2189448245872086e-39,1.1582686912576872e-59,8.109855932455308e-28,1.0159787170356652e-70,1.6156218091308521e-55,3.580059218111393e-61,1.0424149139505954e-43,7.944824004841067e-43,6.349292216509579e-82,6.061349878404363e-65,2.0051811500976023e-70,8.14988931995402e-65,1.2682626856562924e-57,4.1943786989370694e-72,3.76,0.0,0.8951219795756475,0.9999999999999968,6.041004061246225e-49,9.277831325272254e-53,2.559965857778543e-18,2.559965857778543e-18,5.713900639339539e-39,2.065463444688941e-43,3.2476432826732822e-15,2.0018056506306512e-42,2.8944539167018527e-44,8.992975764111715e-22,2.0877891486352252e-35,1.364837963493924e-41,3.601499663359987e-36,3.5641315645033027e-20,1.7484298585362674e-41,2.8364807860359896e-35,2.360237585239198e-25,7.1267643769015626e-43,3.407830737619341e-39,5.843587647024526e-37,1.3878148738255338e-47,1.0401071337149501e-48,8.109855932462393e-28,5.8315544774973896e-61,1.5804658930702612e-37,9.860003111616864e-37,5.489709959127653e-56,1.3589290536384462e-54,1.8922180870597236e-69,8.173105116934699e-55,8.583567256799239e-70,9.918589150088571e-76,4.805739487064887e-80,9.547988633780222e-78,3.5222642133545496e-66,9.86438079661547e-65,4.523146583168166e-80,3.6381382661950134e-52,6.33779059037363e-59,2.756730601301608e-51,2.3837535805196454e-57,4.111395395074598e-77,1.2442498712828622e-27,1.3433844357426121e-39,5.048644562609796e-59,3.1593688812611716e-52,3.007512701891465e-44,3.7105811812597885e-48,8.363322860915248e-66,1.0981304061867191e-36,6.916423852793389e-61,9.729571954382859e-55,9.00700247888629e-70,4.04106393937605e-68,2.3602375852371537e-25,2.5480825222477635e-82,8.634101520974893e-63,3.3496578364659253e-60,2.4466823498207515e-64,9.695101496391956e-93,1.0100271552991406e-75,4.789401153639165e-57,3.4683442128634237e-57,6.514137364754871e-56,2.6947129588965887e-86,3.394225079338824e-74,2.2969737199624405e-62
1.9906881413278586e-20,0.5941916429391353,1.6423472983404244e-26,4.611426045561754e-30,1.2388252132312712e-34,2.6440309764821598e-27,0.0,0.0,1.9109909264008203e-21,7.522636281705113e-39,6.418850640159965e-51,1.346050509208762e-52,3.016586801583757e-56,1.5638723575154934e-68,7.831482785787708e-48,2.723805261707269e-39,6.902309780594437e-37,7.946759953997006e-53,1.8605979250599805e-66,2.3747159444862966e-65,1.4057977741491592e-38,1.0244755404417286e-58,1.723344385645355e-27,1.8078798434301297e-69,1.4289991938411842e-54,3.290582460259286e-60,4.5524997961392505e-43,3.469713372127947e-42,1.129825477148698e-80,5.3611953248452663e-64,3.636372434163463e-69,7.491152387405168e-64,1.1217639829274394e-56,7.767463439791417e-71,3.76,0.0,0.8951219795756475,0.9999999999999931,5.343199679977956e-48,8.206136739106447e-52,5.4399274477794044e-18,5.4399274477794044e-18,2.4954105268033716e-38,9.020421508781686e-43,6.901241975547888e-15,8.742411197733383e-42,1.2640840695634234e-43,1.911007349873679e-21,9.1179237234062e-35,5.960606403447035e-41,1.5728695228566208e-35,7.573779574569512e-20,7.635852545876873e-41,1.2387656802839385e-34,5.015504868633187e-25,3.1124452402986044e-42,1.4882892148473908e-38,2.5520482502478724e-36,6.060952165595722e-47,4.54242111383799e-48,1.723344385648449e-27,5.157943895087987e-60,6.902309780602428e-37,4.3061224043142045e-36,4.855586289861147e-55,1.201957358561425e-53,3.5439105235561245e-68,7.233024804324513e-54,1.5282978824536052e-68,1.7649599444379e-74,8.55155664752179e-79,1.6990136782961908e-76,3.11540280831217e-65,8.724933708089701e-64,8.048697673772661e-79,3.217892095804173e-51,5.605704004534981e-58,2.4382969978699373e-50,2.108403046809574e-56,7.31600843452196e-76,2.6440309764706316e-27,5.866912769577283e-39,4.465468941505764e-58,2.7944259967611204e-51,1.3134598113487148e-43,1.620508287563055e-47,7.687333207158194e-65,4.7958239885045804e-36,6.117498444842877e-60,8.605696209754815e-54,1.6027479668872595e-68,3.749633422166919e-67,5.015504868624256e-25,4.534176704823132e-81,7.636766391799372e-62,2.9627346309648433e-59,2.1640628852503493e-63,3.86906050159657e-91,1.7972894796267844e-74,4.236171082151548e-56,3.0677111794950643e-56,5.761680728759872e-55,9.617335992386721e-85,6.03984217592695e-73,2.0316472429078878e-61
4.0984755850867675e-20,0.5941916429391353,3.3813032641678e-26,9.4941124469309e-30,5.171851402009344e-34,5.443593186876966e-27,0.0,0.0,3.93439308376638e-21,3.1405525642205023e-38,5.395430727819153e-50,1.1314365592247124e-51,2.5356229697221784e-55,1.3145289468667536e-67,3.269489900013891e-47,1.1371350785458676e-38,2.881578461158267e-36,6.679730569529726e-52,1.5639446671770877e-65,1.9960918388028104e-64,5.868928975227435e-38,8.611334210230623e-58,3.548061970440555e-27,3.0492536012170863e-68,1.201159926083731e-53,2.815121082258689e-59,1.9005790487505257e-42,1.4485370314190603e-41,1.9056254159487815e-79,4.506407706783515e-63,6.188827199788491e-68,6.408838583427655e-63,9.429102190360122e-56,1.3348204288127355e-69,3.76,0.0,0.8951219795756475,0.9999999999999858,4.49128128295357e-47,6.897752386049421e-51,1.1199850627781127e-17,1.1199850627781127e-17,1.0417847726810552e-37,3.765848412560254e-42,1.4208439360874658e-14,3.649784580344898e-41,5.2773021552075966e-43,3.934426896798503e-21,3.806553667834006e-34,2.4884362079216627e-40,6.566420637941203e-35,1.5593075594701912e-19,3.1878181258454152e-40,5.171602863673538e-34,1.0326039435420812e-24,1.2993846192529776e-41,6.213314501668965e-38,1.0654299073081094e-35,2.53032821904504e-46,1.896371397536344e-47,3.5480619704534724e-27,4.335562633246465e-59,2.881578461161607e-36,1.7977213376099039e-35,4.0814128476496593e-54,1.0103175832348002e-52,6.121220520407525e-67,6.081381446551988e-53,2.5784160838435684e-67,2.9768629182569674e-73,1.4423450207725134e-77,2.865635291549852e-75,2.6186837774421508e-64,7.333833514505392e-63,1.3575305048592312e-77,2.704832198999309e-50,4.7119319857316094e-57,2.0495355451240297e-49,1.772239801640821e-55,1.233951755509367e-74,5.4435931868288356e-27,2.4493205908895415e-38,3.753495709952672e-57,2.348883427074627e-50,5.4834361572996324e-43,6.765303102977435e-47,6.576674880114454e-64,2.0021621092166343e-35,5.142125836266986e-59,7.233606196393316e-53,2.7032687087198e-67,3.446793301803763e-66,1.0326039435383538e-24,7.647551741917575e-80,6.419164555011874e-61,2.4903573257335446e-58,1.819025341410576e-62,1.3751247009606098e-89,3.0313918173662433e-73,3.5607570430038316e-55,2.578596091455191e-55,4.8430398196490555e-54,3.2494965393287428e-83,1.0187076631570758e-71,1.7077219235950118e-60
8.314050472604585e-20,0.5941916429391353,6.859215204707703e-26,1.9259485250243628e-29,2.112870051076419e-33,1.1042717607672531e-26,0.0,0.0,7.981197398497455e-21,1.2830181961908965e-37,4.423500088860103e-49,9.276200507660369e-51,2.0788569064672078e-54,1.0777302511296242e-66,1.335693304979668e-46,4.64556783387409e-38,1.1772188249729664e-35,5.476446693203552e-51,1.2822163305438481e-64,1.636516688391561e-63,2.397648984817359e-37,7.06009206044248e-57,7.197497140013169e-27,5.008408196331428e-67,9.84783478428856e-53,2.3275803277696842e-58,7.764485557819796e-42,5.91774641934145e-41,3.1300270310020855e-78,3.694625303706599e-62,1.0210094858275782e-66,5.298951675801639e-62,7.73054765819554e-55,2.212441642542716e-68,3.76,0.0,0.8951219795756475,0.9999999999999711,3.6822237475507106e-46,5.655194150728609e-50,2.2719696987784573e-17,2.2719696987784573e-17,4.256030722363059e-37,1.5384719531359044e-41,2.882283412983844e-14,1.491056090609114e-40,2.155950124716993e-42,7.981265990647381e-21,1.5551013780974194e-33,1.0166076883688948e-39,2.6825970876281686e-34,3.1631667634966623e-19,1.3023277203518269e-39,2.1127685150568187e-33,2.0947108568994674e-24,5.308410148698723e-41,2.538341709390924e-37,4.352628812571178e-35,1.0337216400491455e-45,7.747295931708351e-47,7.19749714006594e-27,3.554556190382069e-58,1.1772188249743337e-35,7.34427824614666e-35,3.3461888410808584e-53,8.283193955534625e-52,1.0170496571552718e-65,4.986515970342825e-52,4.235630177226403e-66,4.88950628217606e-72,2.3690560276714478e-76,4.706815852595739e-74,2.1469551748827128e-63,6.012721473167527e-62,2.2297479304401518e-76,2.2175848557064454e-49,3.8631265263439016e-56,1.6803330676129916e-48,1.452989263577236e-54,2.0267694637490695e-73,1.1042717607475906e-26,1.0006273807412001e-37,3.077342559561954e-56,1.925756547074408e-49,2.2401625903727068e-42,2.7638470640493303e-46,5.437721766228529e-63,8.179485505559384e-35,4.2158250845155565e-58,5.93054739588076e-52,4.4401269714693554e-66,3.3096644026524043e-65,2.0947108568842404e-24,1.2561126700370863e-78,5.26282260377122e-60,2.0417459710261657e-57,1.4913470262574252e-61,4.631798714926328e-88,4.979071518155834e-72,2.9193237557336994e-54,2.1140888706533203e-54,3.970616647993377e-53,1.0683659887603164e-81,1.6732303957160753e-70,1.4000936091782742e-59
1.6745200247640223e-19,0.5941916429391353,1.3815039121328113e-25,3.879023085916684e-29,8.540558565305717e-33,2.2240966449287487e-26,0.0,0.0,1.6074806027959423e-20,5.1861646859639325e-37,3.5822650589427896e-48,7.51210768897443e-50,1.6835122208650467e-53,8.727738993995399e-66,5.399085897677091e-46,1.8778127946706319e-37,4.758506711636152e-35,4.434968518593692e-50,1.0383720327696946e-63,1.325293644065689e-62,9.691680547722427e-37,5.717445595788358e-56,1.449636747908724e-26,8.118845513204258e-66,7.975031930665577e-52,1.8927432504680633e-57,3.138529205914734e-41,2.392047719322461e-40,5.0740110257182174e-77,2.992003360570798e-61,1.658716280208159e-65,4.3090195003851654e-61,6.260397921724741e-54,3.6025558721274426e-67,3.76,0.0,0.8951219795756475,0.9999999999999419,2.9819602588635927e-45,4.5797228440688506e-49,4.5759389707791464e-17,4.5759389707791464e-17,1.7203556660235174e-36,6.218749615053888e-41,5.805162366100694e-14,6.027087117598855e-40,8.714695112373617e-42,1.6074944178342056e-20,6.285968409584133e-33,4.1092932575821126e-39,1.084348633856315e-33,6.37088517154957e-19,5.264216869948527e-39,8.54014814048175e-33,4.218924683613682e-24,2.1457442565138666e-40,1.0260383035273409e-36,1.7594021585878766e-34,4.178468146888428e-45,3.1315808858361357e-46,1.4496367479300547e-26,2.878571761040469e-57,4.7585067116417015e-35,2.968674691984225e-34,2.709830479311222e-52,6.707945221501678e-51,1.658047401320738e-64,4.0384620466922593e-51,6.866597898404558e-65,7.926100386469517e-71,3.840341910285672e-75,7.629955481441515e-73,1.7386599640717315e-62,4.869260438384634e-61,3.614517480956103e-75,1.7958577107406322e-48,3.1284600217840526e-55,1.360777283727041e-47,1.1766683768921355e-53,3.28548064016179e-72,2.2240966448492697e-26,4.044695859508678e-37,2.4921117900388804e-55,1.5595275804300245e-48,9.055095361467208e-42,1.1171911734648308e-45,4.421864951956371e-62,3.306278820068634e-34,3.414083888849771e-57,4.8027110410075255e-51,7.197637158777495e-65,3.463817973253054e-64,4.2189246835521334e-24,2.0362127677356646e-77,4.261976131004936e-59,1.6534597534063037e-56,1.207731731375961e-60,1.5202027161384304e-86,8.071293888073963e-71,2.3641440659727832e-53,1.7120439832261183e-53,3.2155083062536326e-52,3.465223712334718e-80,2.712378575825548e-69,1.1338321045943742e-58
3.3607499797711495e-19,0.5941916429391352,2.772668709673135e-25,7.785172208620432e-29,3.43412103636684e-32,4.463746413261269e-26,0.0,0.0,3.2262023286882646e-20,2.0853340106451034e-36,2.883318569452628e-47,6.04639783265407e-49,1.355037097609923e-52,7.02484363835606e-65,2.170948693384216e-45,7.550602657998602e-37,1.9133746200753422e-34,3.569648497254774e-49,8.357721556902759e-63,1.0667116230809845e-61,3.896982122679592e-36,4.6018976220065994e-55,2.909410815695077e-26,1.3075150408922587e-64,6.418999509881119e-51,1.526563448643769e-56,1.2619887899459626e-40,9.618318673313596e-40,8.171867918405084e-76,2.4082246029961378e-60,2.6742133117509217e-64,3.4753803326343694e-60,5.038912889870235e-53,5.814720012600614e-66,3.76,0.0,0.8951219795756475,0.9999999999998834,2.4001410410118963e-44,3.6861593717881e-48,9.183877514780525e-17,9.183877514780525e-17,6.917474468829857e-36,2.5005318691397793e-40,1.1650920269630784e-13,2.4234652218934285e-39,3.504140577269999e-41,3.2262300553719126e-20,2.527560250797079e-32,1.6523307074762896e-38,4.3601181653487564e-33,1.2786321987655252e-18,2.1167184505383826e-38,3.433956006351423e-32,8.467352337039885e-24,8.627943284061567e-40,4.1256548916740754e-36,7.0744786983585855e-34,1.680143664244545e-44,1.2591949023163393e-45,2.909410815780848e-26,2.3169249833307725e-56,1.9133746200775924e-34,1.1936910369294538e-33,2.1811073196727228e-51,5.3991378923161e-50,2.6777507973054094e-63,3.2506063056271446e-50,1.10588111525497e-63,1.2764740324132035e-69,6.184752254969808e-74,1.228782146392326e-71,1.3994247988898414e-61,3.9192087618320666e-60,5.821068971625392e-74,1.4454625214034112e-47,2.5180567993173494e-54,1.0952719428872828e-46,9.47085077488309e-53,5.291165285253469e-71,4.463746412941688e-26,1.626354415889122e-36,2.005868377146168e-54,1.255243472561659e-47,3.6410140190882534e-41,4.492176573159717e-45,3.5663942448938066e-61,1.3294401720070505e-33,2.74795081920326e-56,3.8656396722182145e-50,1.1591572753309249e-63,4.0493529868792166e-63,8.467352336792398e-24,3.2792578896121016e-76,3.430418730081036e-58,1.3308497547500097e-55,9.720879600450712e-60,4.9263073060918873e-85,1.2998584136625405e-69,1.9028688201803108e-52,1.378001949108014e-52,2.5881208270007537e-51,1.1163686590176903e-78,4.368202078321082e-68,9.12606718947216e-58
6.733209889785405e-19,0.5941916429391352,5.554998361618751e-25,1.5597470457704342e-28,1.377236130399362e-31,8.943045949964426e-26,0.0,0.0,6.463645780472623e-20,8.363122071118643e-36,2.3136815669229437e-46,4.8518535135468916e-48,1.0873319335837907e-51,5.636994610351339e-64,8.706475240770731e-45,3.028129374683033e-36,7.673488004211365e-34,2.864418110355988e-48,6.7065453171285405e-62,8.559688990060144e-61,1.5628641279799635e-35,3.692733024256695e-54,5.828958951153937e-26,2.098851211523455e-63,5.150842852185204e-50,1.2262177624520264e-55,5.06113948596972e-40,3.8573759778147127e-39,1.3118715915158205e-74,1.932448579215302e-59,4.29502987391658e-63,2.791614483461546e-59,4.04341025469783e-52,9.344261981763048e-65,3.76,0.0,0.8951219795756474,0.9999999999997665,1.925962029807608e-43,2.957910749649392e-47,1.839975460278328e-16,1.839975460278328e-16,2.7742166533999576e-35,1.002825118531176e-39,2.3342436065876484e-13,9.71917946109807e-39,1.405317098970572e-40,6.463701330442402e-20,1.0136647084622508e-31,6.626600896426431e-38,1.748602395354494e-32,2.561719561986608e-18,8.488987712116902e-38,1.377169945982983e-31,1.696420764388338e-23,3.460191152611845e-39,1.6545721359820228e-35,2.8371823718309616e-33,6.738127555850099e-44,5.0499347575189003e-45,5.828958951497915e-26,1.8591863842233075e-55,7.673488004220535e-34,4.787234949357875e-33,1.7502012626954006e-50,4.332468132766482e-49,4.304406049526286e-62,2.6084471009236127e-49,1.7752134526697948e-62,2.0490235183086443e-68,9.927897083950814e-73,1.9724717745590428e-70,1.1229502681032976e-60,3.14492518130775e-59,9.344104865064784e-73,1.1598926409101777e-46,2.0205820060569443e-53,8.788867563424395e-46,7.599761292377004e-52,8.493492099173026e-70,8.94304594868276e-26,6.522408612501166e-36,1.6095830469958194e-53,1.0072538342555588e-46,1.4602094699854038e-40,1.8015637237544004e-44,2.864721794056027e-60,5.3316496963979326e-33,2.205056007056054e-55,3.101932387468729e-49,1.8607041414828585e-62,5.273694856692775e-62,1.696420764289084e-23,5.263935159271878e-75,2.7527103259498845e-57,1.067925517433479e-54,7.800399976425533e-59,1.5863494468788522e-83,2.0865651732033417e-68,1.5269323897023918e-51,1.1057597917773107e-51,2.0768039682719877e-50,3.58442673342039e-77,7.011931746301342e-67,7.323094180009947e-57
