Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47)
0.0,0.752833951475261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7895260274619289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4576996127678145e-22,0.752833951475261,4.4992185905118764e-26,9.550324623892467e-28,1.441322714522825e-36,6.649331132810822e-41,0.0,0.0,1.7259412546816096e-21,5.622772598029241e-40,1.53778277252575e-53,2.467725751396546e-66,1.6327310971080805e-66,1.1347349092317148e-72,1.6897910489641116e-51,3.635739488985385e-59,7.522911410439885e-75,1.8048033474957828e-72,1.185852319875394e-64,1.0116711886382604e-62,7.841703426621303e-38,3.995443143746675e-58,1.3795085872322809e-74,-2.6854212305679296e-125,1.9907106059845178e-93,7.903306853833641e-81,3.39618372604001e-57,-7.09680094113388e-93,2.0431403904130759e-150,-2.1430992157875015e-114,1.0514262264444824e-93,1.4259330054888308e-90,1.9747645781560415e-71,-7.133709055435796e-119,3.76,0.0,0.7895260274619289,0.9999999999999998,1.0729936990425314e-51,4.968332847817874e-91,6.371294268498643e-18,6.371294268498643e-18,1.0293364333324757e-37,4.761028342164602e-41,3.604424336868952e-16,1.966495548764996e-41,9.634655448160888e-43,1.725986246867498e-21,5.8092562026224245e-36,1.3831464497332914e-49,5.378387735555622e-36,2.553634678502194e-19,9.977464972761138e-41,1.4413054487003665e-36
4.0815589157498806e-22,0.752833951475261,1.2597812055173503e-25,2.6740908946899227e-27,8.705589195717856e-36,4.016196004680677e-40,0.0,0.0,4.8326355131085045e-21,3.39615464920966e-39,1.8256557075425695e-52,2.9296840450903847e-65,1.9383831101137045e-65,1.3471572842399297e-71,1.0206337935743659e-50,5.494329515754761e-58,2.12158138433269e-73,5.079151527050367e-71,1.4078438741643533e-63,1.2010560351513405e-61,4.736388869679267e-37,4.7433901002560426e-57,3.890434937368984e-73,1.391608886021462e-123,1.0303665523150836e-91,1.7941557059040302e-79,5.121093573669638e-56,7.08605374691589e-92,9.623849234821005e-149,3.6374268591503545e-113,5.4312828006672336e-92,8.167752727848707e-89,6.174437099626995e-70,3.4332255479824785e-117,3.76,0.0,0.7895260274619289,0.999999999999999,1.2738581195112432e-50,2.571752170023769e-89,1.78396239517962e-17,1.78396239517962e-17,6.217192057327431e-37,2.8756611186673198e-40,1.009238814322866e-15,1.1877633114540587e-40,5.819331890691587e-42,4.832761491228956e-21,3.508790746383834e-35,1.6420714651233164e-48,3.248546192275574e-35,7.150177099806145e-19,6.026388843547722e-40,8.705484910150209e-36
9.329277521714013e-22,0.752833951475261,2.8794998991457756e-25,6.112207759291401e-27,4.191366453832367e-35,1.9336254941157977e-39,0.0,0.0,1.1046024029962285e-20,1.6351022715069012e-38,1.7924395996560114e-51,2.8763812364524463e-64,1.903125930575405e-64,1.322647010200605e-70,4.913912370388275e-50,5.910548972453922e-57,4.61490292229404e-72,1.104009407890776e-69,1.382229464071554e-62,1.1792039374767489e-60,2.280367356461475e-36,4.657088528351091e-56,8.462545766067214e-72,3.545460813266041e-121,4.498850344040496e-90,3.568148704631427e-78,5.505176591915455e-55,3.9019075782561562e-90,5.074332672762351e-146,4.278261635227974e-111,2.369703039527662e-90,3.658024175896007e-87,1.3757936916047393e-68,3.6041344245880373e-115,3.76,0.0,0.7895260274619289,0.9999999999999977,1.2506814556152623e-49,1.1229276455283542e-87,4.077628331839132e-17,4.077628331839132e-17,2.9933103481297563e-36,1.3845070419013179e-39,2.3068315755930453e-15,5.7185690558086305e-40,2.801757804328741e-41,1.1046311979951718e-20,1.6893317037224367e-34,1.6121955018089787e-47,1.5640351534995428e-34,1.6343261942414045e-18,2.9014468140789314e-39,4.191316244820658e-35
1.982471473364228e-21,0.752833951475261,6.118937289187023e-25,1.2988441488494867e-26,1.8304798474439795e-34,8.444650545845318e-39,0.0,0.0,2.3472801063669814e-20,7.140921199497115e-38,1.5853925271631412e-50,2.544126750195687e-63,1.6833108696308352e-63,1.1698663020217774e-69,2.1460346321850816e-49,5.432812803601433e-56,8.55525225732537e-71,2.0460451602040507e-68,1.2225663077500792e-61,1.0429925286384841e-59,9.958963351809055e-36,4.1191420634769994e-55,1.5688133637058418e-70,6.140095365632431e-119,1.6747894283318943e-88,6.368352013273241e-77,5.058805857582594e-54,1.5351967600015377e-88,1.705992069408401e-143,3.380704702380825e-109,8.819130750061858e-89,1.375547853114358e-85,2.575453911437825e-67,2.8761724361717367e-113,3.76,0.0,0.7895260274619289,0.9999999999999951,1.1062135839762533e-48,4.180378072823879e-86,8.664960205158154e-17,8.664960205158154e-17,1.3072572703311248e-35,6.046505994547509e-39,4.902017098126358e-15,2.4974493469315672e-39,1.223601241920077e-40,2.3473412957396632e-20,7.377755377328778e-34,1.4259686638167278e-46,6.8305524241553075e-34,3.472943162762984e-18,1.2671380515406562e-38,1.8304579198494582e-34
4.0815589157498805e-21,0.7528339514752609,1.2597812080407108e-24,2.6740908946903833e-26,7.641893032399943e-34,3.5254753730743113e-38,0.0,0.0,4.8326355131084753e-20,2.9811940314750857e-37,1.3326179461464442e-49,2.138492031133348e-62,1.4149536843809697e-62,9.83343116582108e-69,8.95927214161366e-49,4.647885733845703e-55,1.4704292754295375e-69,3.516166441738921e-67,1.0276406468594718e-60,8.76698065334867e-59,4.1576711567946135e-35,3.4623871012804356e-54,2.6963893386636144e-69,9.074116721479804e-117,5.769873090306773e-87,1.0756852623867632e-75,4.327380825026791e-53,5.423504870434032e-87,4.973029176408591e-141,2.3922326459270512e-107,3.037911591799457e-87,4.761944234794604e-84,4.447419711533671e-66,2.048297233466146e-111,3.76,0.0,0.7895260274619288,0.9999999999999899,9.2983917170117e-48,1.4402036296876048e-84,1.7839623951796197e-16,1.7839623951796197e-16,5.457541769518712e-35,2.52429722701429e-38,1.009238814316479e-14,1.042635939955221e-38,5.108294318647574e-40,4.8327614912284016e-20,3.08006763862888e-33,1.1986125829951197e-45,2.851621177391292e-33,7.150177099806142e-18,5.290051928557879e-38,7.641801489009278e-34
8.279733800521186e-21,0.752833951475261,2.5555561707397634e-24,5.424584386372992e-26,3.121962652564953e-33,1.4402717261591385e-37,0.0,0.0,9.803346326591408e-20,1.2179150358235101e-36,1.0925607056359096e-48,1.753265301256152e-61,1.1601128370267474e-61,8.062040980631054e-68,3.660155003703257e-48,3.842961806041559e-54,2.4371286879602845e-68,5.827425390873832e-66,8.425218898091608e-60,7.18770041827586e-58,1.6985443290198803e-34,2.838674134247171e-53,4.469067584997183e-68,1.2458464030066277e-114,1.9148057332377962e-85,1.7681558103793875e-74,3.57775332939077e-52,1.8219611450853074e-85,1.35693448414165e-138,1.6084916805685357e-105,1.0081072846787641e-85,1.5841401091570984e-82,7.388599484758258e-65,1.381755564964059e-109,3.76,0.0,0.7895260274619286,0.9999999999999795,7.623383314773319e-47,4.779510754905687e-83,3.6188951445072285e-16,3.6188951445072285e-16,2.2295838880469463e-34,1.0312577830250517e-37,2.047313023312889e-14,4.2595080184470986e-38,2.0869049087210513e-39,9.803601882204894e-20,1.2583081305115323e-32,9.826950126609496e-45,1.1649802970720363e-32,1.4504644973892454e-17,2.1611588229598878e-37,3.1219252541028846e-33
1.6676083570063796e-20,0.752833951475261,5.1471061139580114e-24,1.092557136974146e-25,1.2619472200549758e-32,5.821808619647173e-37,0.0,0.0,1.9744767953557065e-19,4.923007302659178e-36,8.847839859731229e-48,1.419840234932904e-60,9.39567709965551e-61,6.528849808649133e-67,1.4794931733425705e-47,3.125032718379406e-53,3.968232284342841e-67,9.488164325609473e-65,6.8229607035378034e-59,5.82078615243711e-57,6.8657877517714265e-34,2.298831911510126e-52,7.276718032005872e-67,1.6508794826793782e-112,6.239108126535486e-84,2.867561676939203e-73,2.909286989289103e-51,5.9724662825211435e-84,3.585325452933621e-136,1.0549420916978427e-103,3.284668061246852e-84,5.167957234458454e-81,1.2044585302354205e-63,9.077837586705758e-108,3.76,0.0,0.7895260274619282,0.9999999999999587,6.1736134578638415e-46,1.5573339938554915e-81,7.288760643162445e-16,7.288760643162445e-16,9.012334555243664e-34,4.1685088429159124e-37,4.1234614412606036e-14,1.721761244730232e-37,8.435603308553278e-39,1.974528266415396e-19,5.086282649683003e-32,7.958118993407774e-44,4.7090366250881656e-32,2.9213580722065076e-17,8.735749501970525e-37,1.2619321029986622e-32
3.3468783109149016e-20,0.752833951475261,1.0330206071675077e-23,2.192754533649143e-25,5.074234269385746e-32,2.3409236591118627e-36,0.0,0.0,3.9627611207487553e-19,1.979519584226484e-35,7.121511263782619e-47,1.1428118096257316e-59,7.563718077370275e-60,5.254986323107516e-66,5.948976979553696e-47,2.5204520994593976e-52,6.404742906861435e-66,1.5313706781989212e-63,5.491712360485429e-58,4.685075092431096e-56,2.7607030581557342e-33,1.8502999162393777e-51,1.1744652241173318e-65,2.1498118563827984e-110,2.0145690006753394e-82,4.619896578819543e-72,2.346412494874878e-50,1.9342550318556636e-82,9.324037498863601e-134,6.834422001679354e-102,1.0605830468187315e-82,1.669717886897034e-79,1.945147454822016e-62,5.886864066897812e-106,3.76,0.0,0.7895260274619275,0.9999999999999172,4.969061203121239e-45,5.0285370973191465e-80,1.4628491640472868e-15,1.4628491640472868e-15,3.6238200869474054e-33,1.6761390719646133e-36,8.275758276975607e-14,6.923126239250233e-37,3.391918989330797e-38,3.9628644228036404e-19,2.045171883149391e-31,6.405386506587002e-43,1.8934829158516053e-31,5.863145221841027e-17,3.5126064535200074e-36,5.074173484367215e-32
6.705418218731947e-20,0.7528339514752614,2.0696406272231496e-23,4.393149327004348e-25,2.0349948926981337e-31,9.388151024289821e-36,0.0,0.0,7.939329771534514e-19,7.938758894521065e-35,5.714564292071541e-46,9.170358940505413e-59,6.07142913328579e-59,4.21679557683162e-65,2.385805843313187e-46,2.0245641943534005e-51,1.0292249915299194e-64,2.460853317986073e-62,4.406753316715646e-57,3.759477705951627e-55,1.1071654017826038e-32,1.4847491549631385e-50,1.8873340857863596e-64,2.775471267491435e-108,6.475650113969794e-81,7.419722194845381e-71,1.8847530120567882e-49,6.226775335476744e-81,2.405771590340584e-131,4.400712074569032e-100,3.40912330755453e-81,5.36879515355299e-78,3.1267224600563774e-61,3.79344920345601e-104,3.76,0.0,0.789526027461926,0.9999999999998341,3.987358674960887e-44,1.6163783172989004e-78,2.9307953635093687e-15,2.9307953635093687e-15,1.4533139341576818e-32,6.72206735006929e-36,1.6580351947683924e-13,2.776483266328901e-36,1.360311222080717e-37,7.93953673557385e-19,8.202053976875754e-31,5.1399192743638876e-42,7.593713373490925e-31,1.1746719521110046e-16,1.4087122930248036e-35,2.0349705151870535e-31
