Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76)
0.0,0.6591175151656103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5269698564594477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0612943911034965e-22,0.6591175151656103,1.133194775556509e-26,9.122525912075529e-29,1.0703309422836582e-36,1.778635165910591e-41,0.0,0.0,5.643788474521218e-22,1.3729998691218553e-40,1.0706249670090546e-53,3.030816185830931e-55,2.3290619823551363e-62,6.336881586240794e-69,1.1715425124099617e-47,2.480409084749628e-40,6.599741937880892e-38,2.713731239704179e-55,3.569047165836564e-66,1.1617754023612966e-64,7.904467681377886e-39,2.5155130917949958e-59,7.648621178808621e-27,2.0497348032499837e-88,1.865402550913349e-56,6.540725978500144e-61,1.1836090582230833e-58,4.724821202649529e-78,7.166560402640651e-90,9.133120218337988e-91,1.8909547882003652e-72,1.1990572075870616e-81,6.792922937311595e-72,3.4420437359130903e-115,3.76,0.0,0.5269698564594477,0.9999999999999996,1.0087108766762054e-51,3.820610110576205e-54,1.926498364902472e-18,1.926498364902472e-18,1.1305602983965928e-38,2.468954438651423e-42,4.2129867527941764e-16,2.735553524892614e-42,9.177338529714215e-44,5.643901793998723e-22,2.370684304840077e-36,5.8290440732815485e-46,1.2714880874225464e-36,5.843784775766061e-20,1.6900503961097796e-41,1.0703267928175187e-36,1.079527653144393e-38,1.3702432161981492e-42,1.571960123628457e-39,1.1086657030101727e-37,4.589961329313259e-69,2.8395835774900017e-59,7.648621178808933e-27,1.0484501824948208e-83,6.599741938110393e-38,1.1223193338873923e-38,1.2598657741060089e-55,6.89950519209155e-74,1.1409770742082955e-70,3.2854143118884215e-56,1.3099107712718908e-72,7.039290044154368e-100,4.776493635828303e-104,5.390973946367839e-105,9.06318698222248e-89
8.57162429508979e-22,0.6591175151656103,3.1729453719667936e-26,2.5543072553813013e-28,6.464798891393287e-36,1.0742956403254361e-40,0.0,0.0,1.5802607728659401e-21,8.292919209496002e-40,1.2710459608331483e-52,3.598184975818362e-54,2.7650623855075163e-61,7.52314581918477e-68,7.076116774956033e-47,1.498167087188722e-39,3.986244130480036e-37,3.221741727776743e-54,4.2371727953426786e-65,1.3792597576833243e-63,4.774298479552245e-38,2.986417142579003e-58,2.1416139300663334e-26,9.791979453228665e-87,2.2146059084442782e-55,9.884345098709972e-60,1.7852213849747947e-57,1.4855593832680433e-76,3.423551903367171e-88,4.363001126179418e-89,4.229990223012698e-71,3.381533175999512e-80,2.1331549075059583e-70,2.6771107156886725e-113,3.76,0.0,0.5269698564594477,0.9999999999999988,1.19754155279156e-50,4.535828323276047e-53,5.394195421726922e-18,5.394195421726922e-18,6.828584202314091e-38,1.4912484809453813e-41,1.179636290781259e-15,1.652274329035137e-41,5.5431124719524344e-43,1.5802925023196294e-21,1.4318933201233675e-35,3.5210164091062854e-45,7.679788048032127e-36,1.636259737214497e-19,1.020790439250304e-40,6.46477382861781e-36,6.52034702499197e-38,8.276269025843245e-42,9.494639146715712e-39,6.696340846181375e-37,5.4497158508287e-68,3.371153623196097e-58,2.1416139300665225e-26,2.6261244784930807e-82,3.986244130618655e-37,6.778808776679216e-38,1.4957126470186474e-54,2.1693148244766453e-72,3.58741447735755e-69,4.011364536471623e-55,3.009822301138957e-71,3.2441148348419305e-98,2.20128646004379e-102,2.484474775717192e-103,2.0275812770656704e-87
1.9592284103062376e-21,0.6591175151656103,7.25244656642164e-26,5.838416583729409e-28,3.112522380160866e-35,5.172271064199584e-40,0.0,0.0,3.612024623693574e-21,3.992683619406349e-39,1.2479204615457489e-51,3.5327193462041644e-53,2.714754646803714e-60,7.38626917692134e-67,3.4068456260879687e-46,7.213029618451127e-39,1.919204955535729e-36,3.1631251329990115e-53,4.160081376683522e-64,1.3541654089923049e-62,2.2986192017446898e-37,2.932082059796196e-57,4.895117554436954e-26,5.098614921468671e-85,2.1743132133444466e-54,1.063312740872994e-58,1.9192725279591662e-56,3.314201263700987e-75,1.782636378224782e-86,2.271805640774263e-87,8.357747866355702e-70,7.355573283607553e-79,4.757657013075698e-69,2.9174990971415944e-111,3.76,0.0,0.5269698564594477,0.9999999999999972,1.1757533978560109e-49,4.4533031448875505e-52,1.2329589535375822e-17,1.2329589535375822e-17,3.287669347735298e-37,7.179719507597163e-41,2.6963115217805012e-15,7.954989650387694e-41,2.6687700444483438e-42,3.6120971481590896e-21,6.893949958474352e-35,1.6954966997766197e-44,3.697487358224684e-35,3.7400222564902784e-19,4.914666551887196e-40,3.1125103135133376e-35,3.139266415343649e-37,3.984667272713672e-41,4.5712600395113e-38,3.223999864353479e-36,5.351651583518264e-67,3.309818617922243e-57,4.895117554437865e-26,5.437851505229312e-81,1.9192049556024673e-36,3.2637046229435893e-37,1.4684995462979447e-53,4.839622039565532e-71,8.003324355431879e-68,3.9869862668009864e-54,6.023653630438574e-70,1.3467907718712859e-96,9.138616977399266e-101,1.0314270213082451e-101,4.006948528159454e-86
4.1633603719007546e-21,0.6591175151656103,1.5411448961868434e-25,1.2406635240428072e-27,1.3593202967002333e-34,2.258866662495757e-39,0.0,0.0,7.675552325348832e-21,1.7437098337847505e-38,1.1037715159876438e-50,3.1246502549434855e-52,2.4011697416855605e-59,6.533071440148861e-66,1.4878589907604462e-45,3.1501195376312105e-38,8.381672261108374e-36,2.797748358885043e-52,3.6795448664730496e-63,1.197743968818355e-61,1.0038673955349917e-36,2.593393377116861e-56,1.0402124803176912e-25,2.0347165791315227e-83,1.923155413889305e-53,9.773676015157142e-58,1.7637118114705383e-55,6.207132177661556e-74,7.114033826393598e-85,9.066179941528677e-86,1.4872165775422963e-68,1.363599323966285e-77,8.909603092914721e-68,2.3865712769735474e-109,3.76,0.0,0.5269698564594477,0.9999999999999942,1.0399405654203377e-48,3.938896199599487e-51,2.620037776267362e-17,2.620037776267362e-17,1.4358115789616128e-36,3.135572137086092e-40,5.729661983761222e-15,3.47415297661359e-40,1.1655219932813465e-41,7.675706439837801e-21,3.0107690671462845e-34,7.407129700153137e-44,1.6147898710265506e-34,7.94754729504184e-19,2.146364003059375e-39,1.3593150268782422e-34,1.3710001194931251e-36,1.7402088845813346e-40,1.996389357007879e-37,1.4080054428228134e-35,4.7354111140172737e-66,2.9274970850488754e-56,1.0402124803180888e-25,9.882722526134971e-80,8.381672261399843e-36,1.42534555403601e-36,1.29887121847229e-52,9.064076468758146e-70,1.49893407724764e-66,3.5457472905005263e-53,1.0781054354818103e-68,4.9120631668829715e-95,3.333068861806592e-99,3.761857288089777e-100,7.132973746900755e-85
8.571624295089789e-21,0.6591175151656103,3.1729453778910443e-25,2.5543072553835196e-27,5.674894655987844e-34,9.430323665761721e-39,0.0,0.0,1.5802607728659295e-20,7.279645306084026e-38,9.277864664105542e-50,2.626456813580714e-51,2.0183278495631015e-58,5.49144019252736e-65,6.211518400795769e-45,1.3151128967335176e-37,3.499183175464127e-35,2.3516760726271245e-51,3.0928791698486486e-62,1.0067759752797754e-60,4.1909487646665554e-36,2.1799033971398787e-55,2.141613930065168e-25,7.231691300940011e-82,1.616528004180111e-52,8.361585602210107e-57,1.5087284158587444e-54,1.072127723390745e-72,2.5284390445751047e-83,3.222262349127348e-84,2.5084081341692313e-67,2.3436788451347874e-76,1.5388329294819666e-66,1.7175938900489228e-107,3.76,0.0,0.5269698564594477,0.9999999999999881,8.74132706355553e-48,3.310879592063286e-50,5.394195421726922e-17,5.394195421726922e-17,5.994230702080194e-36,1.309039643371891e-39,1.1796362907651614e-14,1.4503904788980368e-39,4.865824888523003e-41,1.5802925023194382e-20,1.2569368184256575e-33,3.0943785220308897e-43,6.741429839513593e-34,1.6362597372144964e-18,8.960647200173646e-39,5.674872655518425e-34,5.723655616969287e-36,7.265029532369391e-40,8.334532575475725e-37,5.878145557358984e-35,3.9836550758509355e-65,2.460737694915204e-55,2.1416139300668285e-25,1.684598985400357e-78,3.499183175585811e-35,5.950537108262155e-36,1.0917795219878082e-51,1.5655938023153249e-68,2.5890358598302935e-65,2.98806764176846e-52,1.82336490882486e-67,1.6778168475314816e-93,1.138478659644028e-97,1.2849402219661035e-98,1.2040329534147069e-83
1.7388152141467857e-20,0.6591175151656103,6.436546351758812e-25,5.181594718068862e-27,2.318379634224e-33,3.8525949284034997e-38,0.0,0.0,3.205671853528003e-20,2.9739726365126604e-37,7.60655399660627e-49,2.153327979609118e-50,1.6547471138716097e-57,4.5022144486726566e-64,2.53760794357891e-44,5.372665293924861e-37,1.429530502712481e-34,1.9280461266228883e-50,2.5357292079341026e-61,8.254157713766703e-60,1.7121393176571755e-35,1.7872165091909446e-54,4.344416829558064e-25,2.4358312302758583e-80,1.3253273243346213e-51,6.913520673125091e-56,1.2473816422500098e-53,1.7813562480225127e-71,8.516479057642512e-82,1.0853467032711673e-82,4.120067892648822e-66,3.884475836283742e-75,2.556728394155705e-65,1.164228820265634e-105,3.76,0.0,0.5269698564594476,0.999999999999976,7.166668055439395e-47,2.7144591244926703e-49,1.094251071264604e-16,1.094251071264604e-16,2.4488388287232574e-35,5.34785407228727e-39,2.3929764755148193e-14,5.92531835705817e-39,1.9878482349481352e-40,3.205736218990419e-20,5.134997031651135e-33,1.2658279824882801e-42,2.754094056880102e-33,3.3192697526351196e-18,3.6607167599892827e-38,2.3183706463144087e-33,2.3383000778149456e-35,2.968001616087181e-39,3.40492850618219e-36,2.40141425934735e-34,3.271381824454751e-64,2.0174614338005913e-54,4.3444168295648475e-25,2.7843647127261604e-77,1.4295305027621942e-34,2.430988569966e-35,8.951068146659029e-51,2.6012575179824976e-67,4.3017218033168864e-64,2.4528439782815866e-51,2.99886389170735e-66,5.5517149656099976e-92,3.767103079259284e-96,4.251728590459051e-97,1.9807574889465296e-82
3.5021207834224e-20,0.6591175151656103,1.2963748341331818e-24,1.0436169643455214e-26,9.371261158544948e-33,1.5572804734581821e-37,0.0,0.0,6.456494014852075e-20,1.2021272894098676e-36,6.159984639681588e-48,1.7438208266834493e-49,1.340057115948209e-56,3.6460099883222654e-63,1.0257417036542312e-43,2.1717172133292477e-36,5.778390854225503e-34,1.5613817413097523e-49,2.053499256781787e-60,6.6844309200973785e-59,6.920740869495046e-35,1.447334265859656e-53,8.750022628535626e-25,7.994639523210561e-79,1.0732844286766488e-50,5.621960194550082e-55,1.0143246454714343e-52,2.9040602772779507e-70,2.7951937016593655e-80,3.5622165551791783e-81,6.678807599754779e-65,6.324862005106417e-74,4.168059159495634e-64,7.665766388490434e-104,3.76,0.0,0.5269698564594475,0.9999999999999517,5.8037535997117e-46,2.198239376119111e-48,2.2039141294484274e-16,2.2039141294484274e-16,9.898598081276272e-35,2.1616881208447612e-38,4.819656844900453e-14,2.39510841761249e-38,8.03520039549023e-40,6.456623652331032e-20,2.0756479017302818e-32,5.1302078354346805e-42,1.1132488519661173e-32,6.685289783476362e-18,1.479720244212843e-37,9.371224827977526e-33,9.451782776536752e-35,1.199713707516126e-38,1.3763265423210097e-35,9.706900389384888e-34,2.6579001181957e-63,1.6337925753110603e-53,8.750022628563048e-25,4.5374917690884425e-76,5.778390854426463e-34,9.826444481403133e-35,7.248807057276915e-50,4.240706277809013e-66,7.012892237629011e-63,1.9875915809314987e-50,4.864470356923477e-65,1.8102838894828526e-90,1.228363858130008e-94,1.3863888577565e-95,3.221040291908079e-81
7.028731921973627e-20,0.6591175151656103,2.6018152487827698e-24,2.0945319494290598e-26,3.768142895546681e-32,6.261756337965008e-37,0.0,0.0,1.2958138337499915e-19,4.8337009592379786e-36,4.9580915445671575e-47,1.4035787102948555e-48,1.0785945507285599e-55,2.934626034293855e-62,4.124462276629339e-43,8.732379399182934e-36,2.3234655481969053e-33,1.25673586254603e-48,1.6528348538291333e-59,5.380211536839505e-58,2.7827994650998096e-34,1.164940532398782e-52,1.756123422645783e-24,2.5907100875346864e-77,8.638726818326335e-50,4.534314566416222e-54,8.180794729418053e-52,4.690065111074563e-69,9.057991416657174e-79,1.1543574587303358e-79,1.0756013743215446e-63,1.0208353067848158e-72,6.731383520528595e-63,4.9759020820649284e-102,3.76,0.0,0.5269698564594473,0.9999999999999032,4.671365812199508e-45,1.769334292403552e-47,4.423240245816074e-16,4.423240245816074e-16,3.980182752812405e-34,8.692052859388117e-38,9.673017583216993e-14,9.630625606523915e-38,3.230918739125938e-39,1.2958398519006873e-19,8.34608892253056e-32,2.073713801361305e-41,4.476324671290367e-32,1.3417329845158833e-17,5.9498900215180335e-37,3.768128287185462e-32,3.8005202839880512e-34,4.823996052842833e-38,5.534148493625638e-35,3.903101954070065e-33,2.153234351846276e-62,1.315018401351134e-52,1.756123422656809e-24,7.358558140954979e-75,2.3234655482777194e-33,3.951170107674237e-34,5.83447055165616e-49,6.848751966159891e-65,1.1325839695196628e-61,1.600271920944354e-49,7.836624631972699e-64,5.872522163892968e-89,3.984786046035086e-93,4.497415760174079e-94,5.220069196255218e-80
1.4081954199076084e-19,0.6591175151656106,5.212696145021894e-24,4.1963619196212094e-26,1.5111938354241362e-31,2.5112443922156875e-36,0.0,0.0,2.596142698279437e-19,1.9385302772137085e-35,3.978556214815633e-46,1.1262835207068718e-47,8.65504201821423e-55,2.354852576215715e-61,1.654093844008151e-42,3.502074704270045e-35,9.318136043627792e-33,1.0084513832306038e-47,1.3262958808197723e-58,4.31728092442323e-57,1.1160270492531343e-33,9.34791411857187e-52,3.518365742217055e-24,8.342498651051343e-76,6.932034223673757e-49,3.6422080463768713e-53,6.57121892791246e-51,7.539142707151276e-68,2.916817563484154e-77,3.7172149489672114e-78,1.7265784155503838e-62,1.640455026685624e-71,1.0820467708310665e-61,3.2070957063670644e-100,3.76,0.0,0.5269698564594468,0.9999999999998062,3.7484768719466783e-44,1.419779340871221e-46,8.861892478551362e-16,8.861892478551362e-16,1.5962313018599933e-33,3.485901958155562e-37,1.9379739058031167e-13,3.8623116084735e-37,1.295742920918037e-38,2.5961948252337017e-19,3.3471549458728055e-31,8.403785708136026e-41,1.7952064016999822e-31,2.68814099685237e-17,2.386172013963177e-36,1.5111879768180346e-31,1.5241786162982499e-33,1.934638175884344e-37,2.219441066779571e-34,1.5653184540815208e-32,1.7501830293993043e-61,1.0552194501166859e-51,3.518365742261277e-24,1.1955305879524358e-73,9.318136043951967e-33,1.5845959335595866e-33,4.681795175580604e-48,1.100916876010535e-63,1.820595652309467e-60,1.284311419236883e-48,1.2581553679932288e-62,1.9080970058208329e-87,1.2947347172195848e-91,1.4612981111732487e-92,8.484294448716264e-79
