Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464)
0.0,0.5628450794286138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8281718244654352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7328768183528966e-21,0.5628450794286138,3.7070641690467893e-28,5.564288331063244e-32,4.277619824628832e-37,2.0407431339494857e-42,0.0,0.0,6.145382192159236e-23,1.946390618793805e-41,1.8256564466272659e-54,3.6526525108495306e-56,5.770807455087262e-65,1.03083641964498e-72,6.537825399060186e-51,4.88416318722833e-42,1.3033846187501158e-39,2.043533039973343e-56,7.812272358025865e-71,9.278447686886985e-70,1.5744521188910823e-41,7.626646269987578e-63,2.3192249649484142e-29,2.471839336371457e-89,2.553483499999601e-58,1.6666635092228072e-64,1.9247149070352887e-62,3.618153263656064e-81,4.306023110962008e-92,9.921168961181814e-94,4.850386881410211e-74,3.818143262947236e-86,4.386004464321821e-73,3.3049108869183384e-118,3.76,0.0,0.8281718244654352,0.9999999999999997,2.344022834516871e-51,1.5938809486592635e-55,1.5571857157406242e-19,1.5571857157406242e-19,2.9724256476026874e-41,6.4628795165252406e-46,4.092675793401695e-16,1.1841041643895056e-44,1.3766215424450748e-46,6.145419262800896e-23,2.4662355944406735e-37,9.993297259071627e-48,3.5718188031583264e-38,1.698555120498774e-21,1.1179998817099184e-43,4.277617846610843e-37,8.659306133101194e-41,3.884897901653535e-45,9.094764765319764e-42,5.966204597023143e-39,5.274152504489082e-72,8.475627426555223e-62,2.3192249649489486e-29,7.463559027389277e-86,1.3033846187501433e-39,2.2949643002565932e-38,4.52773872584168e-59,8.898048199145043e-76,2.6590938571137243e-73,1.6963767889535132e-57,6.239896118196258e-73
4.8520550913881105e-21,0.5628450794286138,1.0379779674174438e-27,1.5580007327041818e-31,2.583682374075798e-36,1.2326088529890755e-41,0.0,0.0,1.7207070138045858e-22,1.1756199337514581e-40,2.1674193334358795e-53,4.3364290608796754e-55,6.851102610795795e-64,1.2238089974020748e-71,3.948846541031383e-50,2.9500345650852536e-41,7.87244309725066e-39,2.4260824250559645e-55,9.27472974540116e-70,1.1015373093871833e-68,9.509690798102137e-41,9.054354451728932e-62,6.493829901853976e-29,1.1808329583123693e-87,3.031495611199428e-57,2.5186618951472787e-63,2.9032799555534673e-61,1.137605276569208e-79,2.057038912403642e-90,4.7394614668114696e-92,1.0850121438238608e-72,1.0767780359748145e-84,1.3790069662583615e-71,2.59925670337109e-116,3.76,0.0,0.8281718244654352,0.9999999999999988,2.78282390913845e-50,1.892255462248269e-54,4.360120004073748e-19,4.360120004073748e-19,1.7953450911510125e-40,3.9035792279808424e-45,1.1459492221461477e-15,7.151989152912415e-44,8.314794116423756e-46,1.7207173935842399e-22,1.489606299042144e-36,6.037338396907248e-47,2.1573785571076175e-37,4.755954337396566e-21,6.7527192855278015e-43,2.5836811793529456e-36,5.230220904393052e-40,2.346478332607681e-44,5.493237918253126e-41,3.603587576601944e-38,6.263044625165262e-71,1.0062264880806282e-60,6.493829901857207e-29,1.6912038283759488e-84,7.87244309725083e-39,1.3861584373548106e-37,5.375331415319217e-58,2.7976887225823794e-74,8.360616541734993e-72,2.016870246954238e-56,1.3977809136047443e-71
1.1090411637458538e-20,0.5628450794286138,2.3725210687803448e-27,3.5611445319257883e-31,1.2439318450020403e-35,5.934481034778896e-41,0.0,0.0,3.933044602981909e-22,5.660103919452382e-40,2.1279851541887114e-52,4.2575317666434595e-54,6.72645317000805e-63,1.201542930736809e-70,1.9011996260452494e-49,1.4203146548450116e-40,3.7902424713252796e-38,2.3819421113917256e-54,9.10598466643505e-69,1.0814958623834248e-67,4.578506761735266e-40,8.889618892296534e-61,1.4843039775658771e-28,6.148554527692442e-86,2.976340367599235e-56,2.709461533705581e-62,3.1213746490883636e-60,2.537934792651877e-78,1.071095896996894e-88,2.4678277598313283e-90,2.1438011560117354e-71,2.3422298944204608e-83,3.076477441508547e-70,2.8320062603702144e-114,3.76,0.0,0.8281718244654352,0.9999999999999973,2.732193015912869e-49,1.8578276337572117e-53,9.965988580739995e-19,9.965988580739995e-19,8.64381378321345e-40,1.8794053634049365e-44,2.6193125077327963e-15,3.4433749100443826e-43,4.0032154455125764e-45,3.933068328192495e-22,7.171813108633132e-36,2.9081311215800087e-46,1.0386849079584234e-36,1.0870752771192144e-20,3.2511436560122824e-42,1.243931269794429e-35,2.518126223505721e-39,1.1297283098140114e-43,2.6447575937549687e-40,1.7349722968142777e-37,6.152421551923368e-70,9.879191328392515e-60,1.4843039775674327e-28,3.362063510885809e-83,3.790242471325361e-38,6.673756185143597e-37,5.277532258840986e-57,6.241489639439575e-73,1.8652075587451522e-70,1.98145983201828e-55,2.7636510976913854e-70
2.3567124729599393e-20,0.5628450794286138,5.0416072728556305e-27,7.567432130472574e-31,5.43257717727837e-35,2.59174378141143e-40,0.0,0.0,8.357719781336545e-22,2.4719160858681285e-39,1.8821787702147847e-51,3.765738632579652e-53,5.949471654647397e-62,1.0627511151942915e-69,8.303038256791425e-49,6.202887247769787e-40,1.6552984658125894e-37,2.106800822888392e-53,8.05414032255386e-68,9.565708427270447e-67,1.9995541909916745e-39,7.862767238504328e-60,3.1541459523243043e-28,2.453724155843997e-84,2.6325393491589606e-55,2.4904619486311336e-61,2.8684136181842784e-59,4.753270988710785e-77,4.274462552068626e-87,9.848452761265059e-89,3.8147796142654155e-70,4.342108630885785e-82,5.761893412212689e-69,2.3163512186049723e-112,3.76,0.0,0.8281718244654352,0.9999999999999943,2.4165937814734648e-48,1.6432275028297008e-52,2.117772573407249e-18,2.117772573407249e-18,3.774980572439741e-39,8.207856985980821e-44,5.566039078804863e-15,1.5038122887743626e-42,1.7483093589898412e-44,8.357770197408833e-22,3.1321192049392997e-35,1.271298373165476e-45,4.536209880010893e-36,2.3100349638783283e-20,1.4198598497714305e-41,5.432574665195734e-35,1.0997318789037421e-38,4.933820335234819e-43,1.1550351251955909e-39,7.577079838218856e-37,5.447665990678813e-69,8.738032851680844e-59,3.1541459523310983e-28,6.004245368787119e-82,1.6552984658126255e-37,2.9146046613232128e-36,4.667917516793584e-56,1.1689619335629172e-71,3.493327330904396e-69,1.7530889783842895e-54,4.91928824527613e-69
4.85205509138811e-20,0.5628450794286138,1.0379779686404141e-26,1.5580007327980431e-30,2.267994031017985e-34,1.0820020107860428e-39,0.0,0.0,1.7207070138045785e-21,1.0319763060844714e-38,1.5820846661439319e-50,3.1653302234515435e-52,5.000889409019541e-61,8.933063478763698e-69,3.4663550265682016e-48,2.589583321859289e-39,6.910545248612593e-37,1.770893035907678e-52,6.769990251379602e-67,8.04055431028863e-66,8.347745134360517e-39,6.6091296312271705e-59,6.49382990183103e-28,8.720916166280706e-83,2.212807945362516e-54,2.1306426303564718e-60,2.453733592175871e-58,8.210093580597289e-76,1.5192109392570224e-85,3.500294361552276e-87,6.434183399364866e-69,7.463006774667743e-81,9.952231087342135e-68,1.666973113123058e-110,3.76,0.0,0.8281718244654352,0.9999999999999885,2.031292684026831e-47,1.3812317280128422e-51,4.360120004073748e-18,4.360120004073748e-18,1.5759800783448393e-38,3.4266187196560695e-43,1.1459492220544081e-14,6.278120279590371e-42,7.298847418803242e-44,1.720717393584081e-21,1.3075981121721253e-34,5.317792798130194e-45,1.893778329434383e-35,4.7559543373965457e-20,5.927635372824496e-41,2.267992982273037e-34,4.591164111769266e-38,2.0597728675775387e-42,4.8220442785723654e-39,3.1632816773411893e-36,4.589048560102136e-68,7.344843117812974e-58,6.4938299018593945e-28,1.0160768397775215e-80,6.910545248612753e-37,1.216790071993652e-35,3.92366593599451e-55,2.0190910399274267e-70,6.03385423462022e-68,1.4737792033483927e-53,8.298313605017945e-68
9.842740328244452e-20,0.5628450794286138,2.1056124535092912e-26,3.1605157724653295e-30,9.26549564493717e-34,4.4203312677322927e-39,0.0,0.0,3.4905770851464136e-21,4.2159599359320983e-38,1.2970885948341443e-49,2.5951289583733264e-51,4.100031279721839e-60,7.3238651528067845e-68,1.4161191327265953e-47,1.0579292829986403e-38,2.823183219597062e-36,1.4518851036837497e-51,5.550447053197851e-66,6.592132213400385e-65,3.4103262676028385e-38,5.418563778470172e-58,1.3173197800803973e-27,2.937444158334218e-81,1.814193645832103e-53,1.7616565294806916e-59,2.028694821709744e-57,1.3641193285173353e-74,5.117120848187558e-84,1.1789955423209986e-85,1.0568165554086705e-67,1.236949068525596e-79,1.6535775106836488e-66,1.129891362318655e-108,3.76,0.0,0.8281718244654352,0.9999999999999767,1.665376467899778e-46,1.132417221130896e-50,8.844814865406745e-18,8.844814865406745e-18,6.438392849613895e-38,1.3998855547926803e-42,2.3246398502402836e-14,2.564816984231885e-41,2.9818173264399448e-43,3.490598141270196e-21,5.341964946979573e-34,2.180968273530901e-44,7.736702400391698e-35,9.647793084432948e-20,2.4216324637776893e-40,9.265491360472689e-34,1.875640345653415e-37,8.414844251918576e-42,1.9699624272271755e-38,1.2923037805331935e-35,3.778707957610451e-67,6.021746144712283e-57,1.3173197800919847e-27,1.676899588506931e-79,2.823183219597133e-36,4.970984472907525e-35,3.216858392238979e-54,3.35474996089988e-69,1.0025339053538953e-66,1.2083737304145488e-52,1.3630975896687848e-66
1.9824110801957135e-19,0.5628450794286138,4.240881431883745e-26,6.365545852462761e-30,3.745261482212592e-33,1.7867685775640077e-38,0.0,0.0,7.030317227830036e-21,1.7041584135036501e-37,1.0504159733893326e-48,2.1016027137376406e-50,3.3203116327448453e-59,5.931055884694927e-67,5.724179952402269e-47,4.276319310187516e-38,1.1411757961770653e-35,1.1757741996198828e-50,4.494895960375559e-65,5.338479578974334e-64,1.3785084037908489e-37,4.388093433552742e-57,2.653193359858781e-27,9.640984923435661e-80,1.469181050539824e-52,1.4325498331068084e-58,1.6496615544692478e-56,2.2238587942528976e-73,1.6794902997702572e-82,3.869581421947018e-84,1.7131451776301086e-66,2.0140848554234553e-78,2.695748219851152e-65,7.439597355232984e-107,3.76,0.0,0.8281718244654352,0.9999999999999531,1.3486650415056958e-45,9.170608255707866e-50,1.781420458807274e-17,1.781420458807274e-17,2.6025013308089963e-37,5.658561234895547e-42,4.6820211059641655e-14,1.0367400329209618e-40,1.205298238772653e-42,7.030359636641306e-21,2.1593076422391194e-33,8.884351076226627e-44,3.127298809466547e-34,1.9431470578505606e-19,9.788625604303175e-40,3.745259750364217e-33,7.581638166217606e-37,3.4014145888359077e-41,7.96290310074498e-38,5.22369850251107e-35,3.0865431017775686e-66,4.876566152298485e-56,2.653193359905619e-27,2.7417719264351927e-78,1.1411757961770985e-35,2.009351403144391e-34,2.605095328720716e-53,5.469089131437536e-68,1.6343832918266836e-65,9.786044877579883e-52,2.209717542704463e-65
3.9786851749382507e-19,0.5628450794286138,8.511419423179449e-26,1.2775606015109057e-29,1.505953169738637e-32,7.184517898663261e-38,0.0,0.0,1.410979751319707e-20,6.852346029088111e-37,8.454661595078401e-48,1.691552699295914e-49,2.672475665734391e-58,4.773829766082201e-66,2.3016675829644267e-46,1.719489186664674e-37,4.588617685691607e-35,9.463653658871283e-50,3.617883366951208e-64,4.2968728023747465e-63,5.54292166264081e-37,3.531919350815513e-56,5.324940519350731e-27,3.124218350502502e-78,1.1825247253345342e-51,1.1554033383797148e-57,1.330496140411446e-55,3.59153790208096e-72,5.4424881934517e-81,1.2539608716659597e-82,2.7589674952361895e-65,3.2508506862020233e-77,4.353640200850245e-64,4.829072761413493e-105,3.76,0.0,0.8281718244654352,0.999999999999906,1.0855229566102279e-44,7.381303349078468e-49,3.5752984033404733e-17,3.5752984033404733e-17,1.0464543388614319e-36,2.2752825852790672e-41,9.396783614820446e-14,4.168686074884087e-40,4.846451209320573e-42,1.4109882627379046e-20,8.68248105963414e-33,3.627469098553891e-43,1.2574730969261945e-33,3.8998825566650363e-19,3.935963303546616e-39,1.505952473370562e-32,3.04854336137723e-36,1.3676938465488759e-40,3.201848314688903e-37,2.1004261931976703e-34,2.526893025585643e-65,3.925084691034573e-55,5.324940519539066e-27,4.489090940155299e-77,4.5886176856917784e-35,8.07951361749015e-34,2.0968073587252615e-52,8.832593555946951e-67,2.6395333806899166e-64,7.87678855285093e-51,3.558744041355281e-64
7.971233364423324e-19,0.5628450794286138,1.7052495543958055e-25,2.5595726351007393e-29,6.039545764664501e-32,2.8813130394225213e-37,0.0,0.0,2.826875808393032e-20,2.7480972363310738e-36,6.784333474057546e-47,1.3573645108784019e-48,2.144493420116785e-57,3.83069774179014e-65,9.23071645336601e-46,6.895920698651235e-37,1.84024092290322e-34,7.593986060986044e-49,2.9031236373790845e-63,3.447969816291739e-62,2.2229594999496053e-36,2.83414284650442e-55,1.0668434838075359e-26,1.006048065683346e-76,9.489016192708732e-51,9.280827953933263e-57,1.0687206061034096e-54,5.773292312065875e-71,1.7525679172683134e-79,4.0379538091331086e-81,4.4287538489408346e-64,5.224382060685086e-76,6.998349168422162e-63,3.112457308943969e-103,3.76,0.0,0.8281718244654352,0.9999999999998117,8.710638088311396e-44,5.923031079384255e-48,7.163054292406871e-17,7.163054292406871e-17,4.196749936654478e-36,9.124900811849463e-41,1.8826308622167083e-13,1.6718295650638758e-39,1.9436436994968138e-41,2.8268928608836606e-20,3.482063238362701e-32,1.49898108362884e-42,5.04302953725912e-33,7.81335355429376e-19,1.5784973249801614e-38,6.039542971921389e-32,1.222602237344385e-35,5.485064043434454e-40,1.2840843803558476e-36,8.423648473287524e-34,2.095999496661988e-64,3.149633271352225e-54,1.0668434838830663e-26,7.440548370790965e-76,1.8402409229033185e-34,3.240246325637579e-33,1.6825558530610814e-51,1.4198136175367689e-65,4.2429728148431654e-63,6.320678022423995e-50,5.71262196619747e-63
