Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57)
0.0,0.6647000279871788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7950868232668502,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4199353813994465e-22,0.6647000279871788,7.540873324962815e-27,2.0512614941677067e-29,2.1707040461698345e-42,1.614210531726461e-41,0.0,0.0,4.1809924720381417e-22,1.159886112381505e-40,6.622247288413123e-80,1.0118793369373103e-97,9.53063074336679e-74,4.061796134059505e-93,2.21488774388974e-86,7.576028908737436e-83,1.5779720022194443e-89,3.945264949283746e-74,4.259040140996539e-67,9.974828990009657e-66,2.553918885207925e-39,4.829059989551357e-60,5.233291878347302e-98,-2.242124912611789e-132,1.7058179912475172e-97,3.795072344336613e-83,2.548738550029533e-59,-3.565499314139648e-95,1.1780525538537287e-153,-2.3980628328573537e-117,3.496957114712046e-96,1.0170880495109539e-93,1.8427954470839116e-74,-2.2772143720907547e-121,3.76,0.0,0.7950868232668502,0.9999999999999998,3.052758891532272e-57,1.1329901175985113e-105,1.4470095498566574e-18,1.4470095498566574e-18,3.8276967401238467e-39,5.625298952417614e-43,3.464041170744876e-16,9.742945845620624e-43,2.6883687347526986e-44,4.1810678807713775e-22,1.4662621167648827e-36,1.944382502694447e-50
9.57581906791845e-22,0.6647000279871788,2.1114445309898782e-26,5.743532183670203e-29,1.3111052438867268e-41,9.749831611628943e-41,0.0,0.0,1.1706778921706794e-21,7.005712118784288e-40,1.482057533066793e-78,5.8267420088996546e-96,2.3598554996622614e-72,1.2770936932865053e-91,4.95461528835702e-85,2.3820247053697034e-81,8.151870288032538e-88,1.1104315129890741e-72,5.056332455473875e-66,1.1842116976939395e-64,1.5425670066655868e-38,5.7330600195953355e-59,3.0141081780906417e-96,8.207835040019241e-131,8.812711894603658e-96,8.771865331775173e-82,3.843771022210148e-58,3.557703471552823e-94,5.544818013335595e-152,4.0672689072561807e-116,1.8066215573627967e-94,5.254849481449615e-92,5.187021790891947e-73,4.4395587251334305e-120,3.76,0.0,0.7950868232668502,0.999999999999999,3.624236213772888e-56,1.0648834011070106e-103,4.0516267395986414e-18,4.0516267395986414e-18,2.311928831034357e-38,3.397680567260072e-42,9.699315278075351e-16,5.884739290754827e-42,1.623774715792317e-43,1.1706990066159805e-21,8.856223185259738e-36,2.3083709071988112e-49
2.1887586440956456e-21,0.6647000279871788,4.826158927978233e-26,1.3128073562677685e-28,6.312407366264073e-41,4.694124226262226e-40,0.0,0.0,2.6758351821044075e-21,3.372948814805413e-39,2.9289036507788668e-77,2.612800100056064e-94,4.882402630673964e-71,2.8491257768968065e-90,9.789484886653607e-84,5.314166082684774e-80,3.556656785824771e-86,2.41375137895678e-71,4.96433718859329e-65,1.1626660670755032e-63,7.426796118184647e-38,5.6287523238209526e-58,1.3516526171124439e-94,1.6900925885444386e-128,3.8452167173283255e-94,1.7581462594417936e-80,4.1322398880878245e-57,1.9592395987206514e-92,2.9239650116184175e-149,4.7845150781032605e-114,7.882762419891153e-93,2.2928636462459503e-90,1.127522441021147e-71,4.682312201795997e-118,3.76,0.0,0.7950868232668502,0.9999999999999978,3.558296981969636e-55,9.299785270411818e-102,9.260861119082608e-18,9.260861119082608e-18,1.1130942120273443e-37,1.635836935362791e-41,2.216986349269509e-15,2.8332486519064323e-41,7.817776280685756e-43,2.675883443693645e-21,4.2638902355520446e-35,2.266372245140532e-48
4.651112118703247e-21,0.6647000279871788,1.0255587721959584e-25,2.7897156320702634e-28,2.7567941386379558e-40,2.0500473752943384e-39,0.0,0.0,5.686149761971858e-21,1.4730553627245074e-38,5.212324221690756e-76,9.829781871171159e-93,8.866283116711825e-70,5.336097261271135e-89,1.7419865307269144e-82,9.952844942717592e-79,1.323631526191659e-84,4.473450113811606e-70,4.390900024274765e-64,1.0283649695539888e-62,3.243476984214065e-37,4.9785676868276387e-57,5.085254964112014e-93,2.6771658487813964e-126,1.431068908004408e-92,3.148937864140738e-79,3.797256815867957e-56,7.708731581602325e-91,9.830577871219835e-147,3.7808247890389903e-112,2.933716624255086e-91,8.533371541487639e-89,2.089670817763795e-70,3.699948347126447e-116,3.76,0.0,0.7950868232668502,0.9999999999999953,3.147273533392447e-54,6.935680956165698e-100,1.9679329878050542e-17,1.9679329878050542e-17,4.861174859950356e-37,7.144129669567775e-41,4.711095992176973e-15,1.237354122393773e-40,3.414228293161482e-42,5.686252317848891e-21,1.862152888291158e-34,2.0045805849776236e-47
9.575819067918451e-21,0.6647000279871788,2.111444530994086e-25,5.743532183679245e-28,1.1509072852812845e-39,8.558544239229294e-39,0.0,0.0,1.1706778921706725e-20,6.149716167846704e-38,8.791751108048604e-75,3.403706502629063e-91,1.5096921978230795e-68,9.216781025181682e-88,2.938114898596754e-81,1.7191064540821335e-77,4.559450968681049e-83,7.687767048870556e-69,3.690816042470265e-63,8.644027205477676e-62,1.3540877929372417e-36,4.184786121984958e-56,1.7608623417618154e-91,3.800119790129754e-124,4.929619681167273e-91,5.327766756279873e-78,3.248257898085438e-55,2.723343704727463e-89,2.865673209920965e-144,2.675385257832743e-110,1.010580771264563e-89,2.939509251016916e-87,3.591176630840394e-69,2.622071143528777e-114,3.76,0.0,0.7950868232668502,0.9999999999999903,2.645473101458378e-53,4.783490235231938e-98,4.0516267395986407e-17,4.0516267395986407e-17,2.029444811607426e-36,2.9825335045694823e-40,9.699315277925964e-15,5.165709887347639e-40,1.4253731031888008e-41,1.1706990066159049e-20,7.774121743085215e-34,1.6849707667145212e-46
1.9425232966348857e-20,0.6647000279871788,4.283216048597769e-25,1.1651165286913174e-27,4.7018317921829634e-39,3.496444580153989e-38,0.0,0.0,2.374803724117634e-20,2.512359714862805e-37,1.4440805488370685e-73,1.1324290766278149e-89,2.4910723767490866e-67,1.5313819521982257e-86,4.8258625448341226e-80,2.8563210848733436e-76,1.5130110824032243e-81,1.2741164547719762e-67,3.0259539821395187e-62,7.086895753176314e-61,5.531890462115774e-36,3.430940496930965e-55,5.858499924142598e-90,5.118197137717335e-122,1.6358621450712375e-89,8.764353871010365e-77,2.685575728048901e-54,9.14878045744018e-88,7.819270578768735e-142,1.7988851455667794e-108,3.353546388363198e-88,9.754584473807244e-86,5.951772357609922e-68,1.764431623863732e-112,3.76,0.0,0.7950868232668502,0.9999999999999803,2.168918704883488e-52,3.176516915147338e-96,8.219014243185814e-17,8.219014243185814e-17,8.290944246925048e-36,1.2184622542874863e-39,1.967575384916021e-14,2.1103610419444587e-39,5.823114214417466e-41,2.3748465562778025e-20,3.1759823953955477e-33,1.3814408361979905e-45
3.912406076320967e-20,0.6647000279871788,8.62675908383485e-25,2.3466431493444906e-27,1.9005555862300992e-38,1.413318802642902e-37,0.0,0.0,4.783055388011508e-20,1.015535965923377e-36,2.3409434469223576e-72,3.694547060340861e-88,4.047247284981373e-66,2.4965390829386606e-85,7.822931149785539e-79,4.656524266575727e-75,4.929760120396075e-80,2.0745092932665523e-66,2.450495989202538e-61,5.739151921101296e-60,2.236078572106028e-35,2.7784645675534704e-54,1.9113386956105424e-88,6.7188457578757e-120,5.33006184335493e-88,1.421836709229924e-75,2.1838075460338097e-53,2.999014850443013e-86,2.066030731668105e-139,1.1798154116907309e-106,1.0926721232727273e-86,3.178298247296767e-84,9.69064962502703e-67,1.1576757218554636e-110,3.76,0.0,0.7950868232668501,0.9999999999999604,1.7564466096307327e-51,2.07056739544831e-94,1.6553789250360158e-16,1.6553789250360158e-16,3.351332225378512e-35,4.92521924717506e-39,3.9628630990573735e-14,8.530416749238557e-39,2.3537958691344825e-40,4.783141655601062e-20,1.2837828638077304e-32,1.1187266054248418e-44
7.852171635693129e-20,0.6647000279871789,1.731384515442786e-24,4.709696390676384e-27,7.642050422817861e-38,5.682892745452379e-37,0.0,0.0,9.599558715799063e-20,4.083425454083382e-36,3.770039468803927e-71,1.1937073092907177e-86,6.525253064077036e-65,4.0319172875644167e-84,1.2598589462258718e-77,7.520299128770503e-74,1.5917631491349162e-78,3.348219344546724e-65,1.9723723625535715e-60,4.61936876103318e-59,8.991173592129907e-35,2.2363500049204397e-53,6.175538206773972e-87,8.708967155917311e-118,1.7210196997389426e-86,2.2907439230429613e-74,1.761296813564977e-52,9.712679251736004e-85,5.372947715198115e-137,7.643418585298604e-105,3.528120878582975e-85,1.0262387436305854e-82,1.564053369078403e-65,7.501464900618355e-109,3.76,0.0,0.7950868232668499,0.9999999999999205,1.4137410425951541e-50,1.3373175061475647e-92,3.3223339264708845e-16,3.3223339264708845e-16,1.3475559481123236e-34,1.9804089973812274e-38,7.953438526918095e-14,3.430043056731779e-38,9.464509666737237e-40,9.599731854245443e-20,5.162034432543039e-32,9.004484990599245e-44
1.5731702754437454e-19,0.6647000279871789,3.468801729608929e-24,9.435802873442364e-27,3.0648040186556355e-37,2.279094164552368e-36,0.0,0.0,1.9232565371373392e-19,1.63763624275461e-35,6.051768746606794e-70,3.838290370455165e-85,1.0480303804222708e-63,6.48118928316837e-83,2.022352629548341e-76,1.2088661210861779e-72,5.116538032767553e-77,5.3804610775513214e-64,1.5827046086636783e-59,3.706752513043029e-58,3.6058627505117563e-34,1.7945300385432993e-52,1.9857064202476737e-85,1.121765727972364e-115,5.532024186903334e-85,3.678014125536678e-73,1.4147601749415924e-51,3.126717956808358e-83,1.3863190739787438e-134,4.921630558315903e-103,1.1340747577251786e-83,3.298729596799577e-81,2.5133747112889117e-64,4.8307035882379285e-107,3.76,0.0,0.7950868232668495,0.9999999999998407,1.1344381538978293e-49,8.597923822744058e-91,6.656243929340621e-16,6.656243929340621e-16,5.404302060916575e-34,7.942325839018361e-38,1.5934589380951593e-13,1.3756006781737807e-37,3.795691687424603e-39,1.9232912251525654e-19,2.0702066850776485e-31,7.22553212228274e-43
3.1490764991926107e-19,0.6647000279871791,6.94363615813138e-24,1.888801583938309e-26,1.2275202007873577e-36,9.128264350535142e-36,0.0,0.0,3.8498578682518926e-19,6.559086836303805e-35,9.698634592247219e-69,1.2312095325169424e-83,1.6800474416367554e-62,1.0394063453819564e-81,3.2410374056490655e-75,1.9386922092155244e-71,1.6409644964187614e-75,8.627428464791543e-63,1.2680896757708953e-58,2.9699127345500485e-57,1.4442259082285247e-33,1.4378077832951918e-51,6.369558187360514e-84,1.440368265075184e-113,1.774219237723396e-83,5.895506840437812e-72,1.1341017137809259e-50,1.0035456761440533e-81,3.562924735428799e-132,3.1594270356961096e-101,3.6371808492393054e-82,1.0579617594615102e-79,4.030130915648038e-63,3.1012132580759622e-105,3.76,0.0,0.7950868232668489,0.999999999999681,9.089310144904502e-49,5.515212283025303e-89,1.3324063935080088e-15,1.3324063935080088e-15,2.1645396932396098e-33,3.181073030725029e-37,3.1896891082266834e-13,5.509577807726066e-37,1.5202564976595007e-38,3.849927304605184e-19,8.291624881003062e-31,5.789218402981625e-42
6.300888946690341e-19,0.6647000279871792,1.3893305015936923e-23,3.7792441772899616e-26,4.9132798134150934e-36,3.653684634787529e-35,0.0,0.0,7.703060530479753e-19,2.625344081882537e-34,1.5530498978566455e-67,3.944607734976862e-82,2.6906377416839357e-61,1.6649855363213126e-80,5.1898826540964005e-74,3.1055173965961505e-70,5.256969290551287e-74,1.3818855196380947e-61,1.0152428021181246e-57,2.3777360217189317e-56,5.780667394253602e-33,1.1511204753181752e-50,2.0407096829047887e-82,1.8465619240251964e-111,5.683863765040133e-82,9.442658866914212e-71,9.081996975446164e-50,3.216147852430801e-80,9.138983641241216e-130,2.025105437418608e-99,1.1652021242991936e-80,3.3892715248722376e-78,6.455202537494909e-62,1.9878464900069915e-103,3.76,0.0,0.7950868232668475,0.9999999999993617,7.276974808423862e-48,3.5337540609022944e-87,2.6659703946558994e-15,2.6659703946558994e-15,8.66379972528375e-33,1.2732582238129596e-36,6.382149445789025e-13,2.2052669604995036e-36,6.084987896758903e-38,7.703199463496732e-19,3.318810812175758e-30,4.634894814973399e-41
1.2604513841685802e-18,0.6647000279871795,2.7792642734590626e-23,7.560129364647293e-26,1.965951909937557e-35,1.4619497685605857e-34,0.0,0.0,1.5409465854930489e-18,1.0504795996553367e-33,2.485903774827129e-66,1.263032964599661e-80,4.307070962278323e-60,2.6655261802138392e-79,8.307192279408572e-73,4.971717617434838e-69,1.6831720118183737e-72,2.2122150861249542e-60,8.12502808618179e-57,1.90291145987999e-55,2.3130199244985257e-32,9.212462292604738e-50,6.5341954405928365e-81,2.365450922369332e-109,1.8198550039510937e-80,1.5120270222176194e-69,7.269272680551118e-49,1.0299362395741795e-78,2.3418732966883385e-127,1.2970514311950848e-97,3.730734876075792e-79,1.0851742817080016e-76,1.0333921706484816e-60,1.2732105919478237e-101,3.76,0.0,0.7950868232668449,0.9999999999987232,5.823791469560504e-47,2.262889233917841e-85,5.333098396951672e-15,5.333098396951672e-15,3.466648401556361e-32,5.094691390617242e-36,1.2767070110110892e-12,8.823940335187125e-36,2.434787767760193e-37,1.5409743781225065e-18,1.3279566199719158e-29,3.7093244910657096e-40
2.521176363167672e-18,0.6647000279871801,5.559131818406847e-23,1.5121899741978068e-25,7.865087792666374e-35,5.848751040224738e-34,0.0,0.0,3.0822276503812024e-18,4.202602429853911e-33,3.978293368403626e-65,4.042919496834797e-79,6.892954443069723e-59,4.2660817527554384e-78,1.329421267782984e-71,7.957060772787949e-68,5.387657839581866e-71,3.5405030145588144e-59,6.501257167397529e-56,1.5226182866665823e-54,9.253585846117438e-32,7.371369529105568e-49,2.091570674449471e-79,3.0289627929558116e-107,5.825166427606691e-79,2.4215276213482187e-68,5.816888543333767e-48,3.2970267749997838e-77,5.998133064638304e-125,8.304279193312326e-96,1.1941693548018271e-77,3.473529827448862e-75,1.6538754122957163e-59,8.151784564894084e-100,3.76,0.0,0.7950868232668395,0.9999999999974463,4.659918014633618e-46,1.4486609626519128e-83,1.0667354401543182e-14,1.0667354401543182e-14,1.3868850946247876e-31,2.0382083024080058e-35,2.5536911395543338e-12,3.530150714524219e-35,9.740736531052822e-37,3.082283241646269e-18,5.312691193102411e-29,2.968023168826216e-39
5.0426263211658566e-18,0.6647000279871814,1.1118866913170584e-22,3.024544050710405e-25,3.146291167030869e-34,2.33969082372379e-33,0.0,0.0,6.164789780149533e-18,1.6811777879291094e-32,6.366036856309633e-64,1.2939285153696982e-77,1.1030040008610496e-57,6.826722860389408e-77,2.1272905635672235e-70,1.2733147610949883e-66,1.724291729697222e-69,5.66557203385079e-58,5.20149993323124e-55,1.218210289168743e-53,3.7017355895245433e-31,5.897655560987124e-48,6.694031349303018e-78,3.877831349163733e-105,1.86431426479206e-77,3.880505248276092e-67,4.654099065952111e-47,1.0552455393874058e-75,1.5358981679590803e-122,5.315746916864504e-94,3.8218767279086026e-76,1.1116851082828689e-73,2.646559062063372e-58,5.218269097704585e-98,3.76,0.0,0.7950868232668289,0.9999999999948923,3.7282883863823275e-45,9.272748297908683e-82,2.1335866410726063e-14,2.1335866410726063e-14,5.547991875144439e-31,8.153496747890883e-35,5.107659379356313e-12,1.4121752100602776e-34,3.896611739866489e-36,6.16490096860618e-18,2.125249432076922e-28,2.3746439894052086e-38
1.0085526237162225e-17,0.664700027987184,2.2238337122170754e-22,6.0492522079213795e-25,1.2585676795463434e-33,9.359144130746703e-33,0.0,0.0,1.2329914039654292e-17,6.724984793418479e-32,1.0186559449762453e-62,4.140882122997705e-76,1.7649114403595496e-56,1.0923550292724524e-75,3.40383847877302e-69,2.037451660963319e-65,5.5181195179416306e-68,9.065529066100275e-57,4.161398064346495e-54,9.74614497700642e-53,1.4807544881706095e-30,4.718348435640863e-47,2.1422508771934494e-76,4.96410994462503e-103,5.966223943270797e-76,6.227204432426013e-66,3.723514559562908e-46,3.377100913915427e-74,3.9323807946872767e-120,3.402400696953241e-92,1.2230861261650135e-74,3.5576412646161226e-72,4.234781241500541e-57,3.3401693472444822e-96,3.76,0.0,0.7950868232668076,0.9999999999897844,2.982772308568552e-44,5.93498074753589e-80,4.2672890429091246e-14,4.267289042909125e-14,2.2192870497926168e-30,3.2615314104806796e-34,1.0215595789822225e-11,5.648930696739497e-34,1.5587081339824189e-35,1.2330136422175535e-17,8.501343649307443e-28,1.8998053778721655e-37
