Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495)
0.0,0.7282635855292323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5865671033904623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5498081980311396e-22,0.7282635855292325,3.836415208912215e-26,1.1706291647484377e-27,1.3378699874264055e-36,4.720890927198461e-41,0.0,0.0,1.5172565910264805e-21,4.183984313680223e-40,1.6200180499431843e-53,5.142252998652184e-55,1.647255828950104e-61,1.1949518146776094e-67,1.5398360185873892e-46,8.927257767210489e-40,2.7884611882509553e-37,6.832042674695076e-55,1.4044668789988972e-64,1.222982124232653e-62,7.685931970200844e-38,4.4018824444797044e-58,5.963639814429841e-26,3.321406781135249e-88,8.075629084393916e-56,5.702263725768496e-60,3.125733721136655e-57,6.632256585215061e-77,3.836237248139569e-89,1.0188553851077232e-89,5.742368835742523e-72,2.567520237753871e-80,1.7526793170041149e-71,2.8404507518114324e-114,3.76,0.0,0.5865671033904623,0.9999999999999997,8.226286007545372e-52,1.5474562044117425e-53,5.3962653083523084e-18,5.3962653083523084e-18,1.0050808635448227e-37,4.81006473608524e-41,3.936263618352263e-16,1.9714398167502856e-41,9.853042199148652e-43,1.5172949551785526e-21,5.613900887285625e-36,2.793246980253635e-45,5.273460574064831e-36,2.1887228915378567e-19,9.901390868462882e-41,1.3378529206424491e-36,8.125212335154412e-38,1.1693041911913133e-41,1.3201929900748214e-38,3.253341063445399e-37,4.92204520222395e-68,2.2255983176292815e-58,5.963639814429982e-26,7.08626983338829e-83,2.7884611893803533e-37,9.26957398848023e-39
4.339462954487191e-22,0.7282635855292323,1.0741962586660585e-25,3.2777616612956935e-27,8.080734724055488e-36,2.8514181204058464e-40,0.0,0.0,4.248318454874144e-21,2.5271265254628554e-39,1.9232854288925614e-52,6.104882759999779e-54,1.9556221201820247e-60,1.4186467943852966e-66,9.300609552268217e-46,5.3920636913950465e-39,1.6842305577035663e-36,8.11100106339793e-54,1.667383078757889e-63,1.4519243778890023e-61,4.64230291000131e-37,5.225914838086293e-57,1.6698191480403266e-25,1.5867459810182606e-86,9.58738684899228e-55,8.61726094238152e-59,4.713917286293063e-56,2.0852875865170998e-75,1.8326165687319087e-87,4.8671944390379285e-88,1.2845449390805462e-70,7.240817874107476e-79,5.475664267107797e-70,2.2560599610079476e-112,3.76,0.0,0.5865671033904623,0.9999999999999989,9.766246748223365e-51,1.83714000587761e-52,1.5109542863386465e-17,1.5109542863386465e-17,6.070688415809972e-37,2.905279100595377e-40,1.1021538131381229e-15,1.190749649317174e-40,5.951237488288414e-42,4.248425874499909e-21,3.3907961359204004e-35,1.6872089868917692e-44,3.1851701867351343e-35,6.128424096306e-19,5.980440084551578e-40,8.080631640680389e-36,4.9076282504331175e-37,7.062597314798471e-41,7.973965660051697e-38,1.9650180023209952e-36,5.843800453541285e-67,2.642230322689457e-57,1.6698191480404106e-25,1.9350094986158012e-81,1.684230558385723e-36,5.598822689041634e-38
9.918772467399295e-22,0.7282635855292323,2.455305734898286e-25,7.492026654390477e-27,3.890525923435983e-35,1.3728350821962757e-39,0.0,0.0,9.710442182569462e-21,1.2167026384182077e-38,1.8882930390137907e-51,5.993810095228689e-53,1.92004139438519e-59,1.3928358351883397e-65,4.477843142052702e-45,2.5960465587046766e-38,8.108845135433619e-36,7.96342894162438e-53,1.6370465941922326e-62,1.4255079640055698e-60,2.2350690169344054e-36,5.130834177285502e-56,3.816729481234896e-25,8.261927350021005e-85,9.412953260768991e-54,9.270056093707888e-58,5.067680847191562e-55,4.652161894185006e-74,9.542396477846203e-86,2.534338052929439e-86,2.5380443352876794e-69,1.5750360470481842e-77,1.2198776557296508e-68,2.4583273892103484e-110,3.76,0.0,0.5865671033904623,0.9999999999999974,9.58855897048789e-50,1.8037149518622944e-51,3.4536097973454775e-17,3.4536097973454775e-17,2.9227751511872086e-36,1.3987668252534261e-39,2.519208715741873e-15,5.7329469871098524e-40,2.865264671516301e-41,9.710687713142466e-21,1.6325223780224823e-34,8.1240793808561665e-44,1.5335223349380169e-34,1.4007826505842287e-18,2.879324464548999e-39,3.890476293228236e-35,2.3628117470626825e-36,3.4003365879886616e-40,3.839121215137243e-37,9.460715812498832e-36,5.738215895041314e-66,2.594157399028608e-56,3.8167294812353e-25,4.132961443184778e-80,8.108845138717908e-36,2.6955921158494137e-37
2.10773914932235e-21,0.7282635855292323,5.217524690092949e-25,1.592055664058114e-26,1.6990948840315297e-34,5.995531483400662e-39,0.0,0.0,2.0634689637960068e-20,5.31366007837387e-38,1.670173808769434e-50,5.301457151489831e-52,1.6982548697507135e-58,1.2319475228602757e-64,1.9555917436065765e-44,1.133761736435594e-37,3.5413457090785466e-35,7.043562715903211e-52,1.44794917363714e-61,1.2608456507988734e-59,9.761133602155072e-36,4.538164724960708e-55,8.110550147623571e-25,3.2970866456297524e-83,8.325650560845577e-53,8.520778640142558e-57,4.656862521103332e-54,8.712984363726282e-73,3.808119937142913e-84,1.0113877880412259e-84,4.516314287455669e-68,2.919851387285954e-76,2.2834227729560438e-67,2.0106890190127288e-108,3.76,0.0,0.5865671033904623,0.9999999999999946,8.480971822432618e-49,1.5953654485002604e-50,7.33892081935914e-17,7.33892081935914e-17,1.2764526967007508e-35,6.108782214826581e-39,5.353318520941202e-15,2.5037285672728847e-39,1.2513363592958486e-40,2.0635211390426958e-20,7.1296541268509056e-34,3.5487847326099958e-43,6.69729492906196e-34,2.9766631324914856e-18,1.257476640294777e-38,1.699073209215903e-34,1.0319019665643818e-35,1.4850163228173952e-39,1.6766450973946745e-36,4.131743150575258e-35,5.076699737075823e-65,2.2945028415429097e-55,8.110550147625336e-25,7.608830210437889e-79,3.5413457105128837e-35,1.1772358965363302e-36
4.3394629544871914e-21,0.7282635855292323,1.0741962611403114e-24,3.2777616612966826e-26,7.0933866733347534e-34,2.503016374873377e-38,0.0,0.0,4.2483184548741156e-20,2.2183484831132407e-37,1.4038817217919613e-49,4.456194172582868e-51,1.4274855458835823e-57,1.03552612337103e-63,8.164210570555665e-44,4.7332320681737565e-37,1.4784421220105058e-34,5.920538869207184e-51,1.2170885259865635e-60,1.0598167411459881e-58,4.0750811306004887e-35,3.8146008962668404e-54,1.669819148039907e-24,1.1718315211019296e-81,6.998210954468284e-52,7.289705519859957e-56,3.983582567160816e-53,1.5049513724387349e-71,1.3534654698487063e-82,3.594630605931665e-83,7.617424164166353e-67,5.018478511825412e-75,3.94299381849439e-66,1.4469900407578412e-106,3.76,0.0,0.5865671033904621,0.9999999999999889,7.128767833645906e-48,1.3410007874438182e-49,1.5109542863386465e-16,1.5109542863386465e-16,5.328938738504084e-35,2.5502963230708895e-38,1.1021538131307176e-14,1.0452573908410212e-38,5.22408297402421e-40,4.2484258744993446e-20,2.976490250437183e-33,1.482204509849568e-42,2.7959887963688344e-33,6.128424096305999e-18,5.249717438458937e-38,7.093296185246199e-34,4.307987580096812e-35,6.199650821736021e-39,6.999663233373565e-36,1.7249214318383915e-34,4.2694804474477123e-64,1.9286678924841367e-54,1.6698191480406443e-24,1.3045031194902575e-77,1.4784421226093141e-34,4.9147281286862876e-36
8.802910564816875e-21,0.7282635855292325,2.1790838497706813e-24,6.649173655775568e-26,2.8978799075650485e-33,1.0225638628591586e-37,0.0,0.0,8.618017437030282e-20,9.062677382803788e-37,1.150987054486068e-48,3.653457214594232e-50,1.1703388960938628e-56,8.489868797931349e-63,3.3353464097055368e-43,1.933679741407806e-36,6.039918472197821e-34,4.854015468867277e-50,9.978427070969638e-60,8.689017958219267e-58,1.664803608473384e-34,3.1274402832381824e-53,3.387347414594266e-24,3.9470439871072305e-80,5.737556154568058e-51,6.027269492905099e-55,3.293522716999627e-52,2.5004992145008512e-70,4.558844459337073e-81,1.2107705875114233e-81,1.251164206333097e-65,8.317760103289462e-74,6.550476098834673e-65,9.807798568045599e-105,3.76,0.0,0.586567103390462,0.9999999999999776,5.844594572035913e-47,1.099433465401332e-48,3.065078695144111e-16,3.065078695144111e-16,2.1770453536636814e-34,1.0418792620937329e-37,2.2357977351908386e-14,4.2702175006739545e-38,2.1342083525344744e-39,8.618235345411643e-20,1.2159933877882127e-32,6.060656024890205e-42,1.142252654184451e-32,1.2431946023935023e-17,2.144680867672462e-37,2.8978429402283135e-33,1.7599534926420429e-34,2.5327596503215557e-38,2.8595908242190063e-35,7.046866877062231e-34,3.503999644892261e-63,1.5812384634642104e-53,3.3873474145972766e-24,2.1612482469395554e-76,6.0399184746441535e-34,2.00782680419575e-35
1.772980578547624e-20,0.7282635855292323,4.388859044504763e-24,1.339199764474033e-25,1.1713693917511793e-32,4.13336664624892e-37,0.0,0.0,1.7357415401342416e-19,3.663279097873991e-36,9.320991580773541e-48,2.9586643746516477e-49,9.477707820073973e-56,6.875315867284075e-62,1.3482003464058598e-42,7.81624268355693e-36,2.4414316164496962e-33,3.9309075755371936e-49,8.080788951910379e-59,7.036592020568904e-57,6.729402364645406e-34,2.532682225731e-52,6.822403947700018e-24,1.2954582049253734e-78,4.646421730154945e-50,4.9012754532750533e-54,2.678166623597286e-51,4.076444815471875e-69,1.496258398957458e-79,3.973870301837806e-80,2.0281910947900624e-64,1.3543316114825826e-72,1.0678222660832642e-63,6.457776832303196e-103,3.76,0.0,0.5865671033904617,0.9999999999999549,4.7331042157824876e-46,8.903497250193249e-48,6.173327512755037e-16,6.173327512755037e-16,8.799965399075826e-34,4.211442559539475e-37,4.5030855792587865e-14,1.7260901886762158e-37,8.626811391627408e-39,1.735785428723226e-19,4.915239694049615e-32,2.4541530671455313e-41,4.6171678586989483e-32,2.5038989879193058e-17,8.66914297210034e-37,1.1713544489626083e-32,7.114013409605431e-34,1.0237819460167196e-37,1.1558923320718413e-34,2.848456261414991e-33,2.8434956691201894e-62,1.2805279040885052e-52,6.822403947712191e-24,3.5232401029918714e-75,2.4414316174385477e-33,8.115956966424588e-35
3.5583596226794966e-20,0.7282635855292326,8.808409503866303e-24,2.68776456226978e-25,4.710024805533869e-32,1.6620085642696787e-36,0.0,0.0,3.4836211329965864e-19,1.4729884135682935e-35,7.502344932146634e-47,2.3813904867003003e-48,7.628483809475614e-55,5.533852348962707e-61,5.421054296907724e-42,3.1428768059704816e-35,9.816889151676492e-33,3.163936398020676e-48,6.504121963898869e-58,5.663661427823336e-56,2.7058630938370855e-33,2.0385229936418143e-51,1.3692517013899672e-23,4.1980075194411976e-77,3.739844437978519e-49,3.953056213968488e-53,2.160010021420493e-50,6.583469273539251e-68,4.848714322299031e-78,1.2877563033802013e-78,3.266339232506274e-63,2.185896689321909e-71,1.7244787146165328e-62,4.1917604137264286e-101,3.76,0.0,0.586567103390461,0.9999999999999096,3.8096140436224615e-45,7.166309173707292e-47,1.2389825147976883e-15,1.2389825147976883e-15,3.5384273832843925e-33,1.693402530589249e-36,9.037661267185502e-14,6.940532732463153e-37,3.4688029185794975e-38,3.483709217085753e-19,1.976396262963093e-31,9.902935722275835e-41,1.8565428889399e-31,5.025307758970909e-17,3.485824260805343e-36,4.7099647212381875e-32,2.860513503428815e-33,4.116582177479993e-37,4.647792229260259e-34,1.1453517347481782e-32,2.298135532871092e-61,1.0306802606195796e-51,1.3692517013948617e-23,5.705357237827451e-74,9.816889155652656e-33,3.2633906009069177e-34
7.129117710943243e-20,0.7282635855292328,1.7647510702162887e-23,5.384894157872457e-25,1.8889306080271836e-31,6.665397814693691e-36,0.0,0.0,6.979380318720957e-19,5.907342348578553e-35,6.020159326866575e-46,1.9109158908384888e-47,6.121377854338438e-54,4.440568000211408e-60,2.1740852356516515e-41,1.2604341677921175e-34,3.9370116209175263e-32,2.5388597016543694e-47,5.219148264989779e-57,4.544731610888797e-55,1.0851721233134732e-32,1.6357863207031288e-50,2.7432743146251557e-23,1.3518250187537367e-75,3.0009896342940295e-48,3.175309727486817e-52,1.735026193222873e-49,1.0582734604732078e-66,1.561363269739697e-76,4.146780484103855e-77,5.243197853176498e-62,3.512677323906531e-70,2.772003254268706e-61,2.7016876673704697e-99,3.76,0.0,0.5865671033904598,0.9999999999998189,3.0569753488948184e-44,5.750511793507952e-46,2.4822820418420555e-15,2.4822820418420555e-15,1.4190676407056674e-32,6.791301540421836e-36,1.8106812642202218e-13,2.783464048631716e-36,1.391145116433881e-37,6.979556793804429e-19,7.926232979277845e-31,3.99950845695941e-40,7.445567343743224e-31,1.0068125301074095e-16,1.3979714358833592e-35,1.8889065115372444e-31,1.1471938544636768e-32,1.650933571897715e-36,1.8639725615143998e-33,4.5933727274158385e-32,1.8592636218281655e-60,8.270559991705e-51,2.743274314644785e-23,9.232931062636179e-73,3.937011622512175e-32,1.3087655896621457e-33
