Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67)
0.0,0.4719993369849529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5900484262143835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.444057956827541e-21,0.4719993369849529,1.1721882404130185e-29,2.710227021896025e-34,1.1073243914641901e-37,1.6409343153296613e-31,0.0,0.0,8.360324195751674e-24,2.3425912617468825e-42,2.739429492772382e-55,4.7221974701832583e-57,4.493569182290552e-67,1.0771609110537368e-75,1.2889662397594805e-53,1.3073517109471854e-43,4.995999747315399e-41,2.3976949372513576e-57,1.8000755227423222e-74,2.0934843866886092e-73,9.966724339709146e-44,1.3836309256827724e-65,1.2301041127266907e-31,2.0568083686769022e-75,9.484480530999907e-60,2.903422810511144e-67,1.1174737591357024e-65,3.259591010782623e-77,4.710804236117948e-94,3.9493263011162734e-96,2.9452554814517243e-75,9.226451971237335e-90,2.0977060508157702e-74,3.8634421145965405e-90,3.76,0.0,0.5900484262143835,0.9999999999999996,1.5545073871382165e-51,7.77780874297314e-57,1.2966177310833085e-20,1.2966177310833085e-20,2.3251217989772082e-43,8.565163888631566e-49,4.690415756142401e-16,1.4243704148853716e-46,8.2106153915895e-49,8.360335917633997e-24,3.221439992506334e-38,2.8605428653360762e-46,8.68068818299223e-39,5.630660495762003e-23,1.691130285853596e-45,1.1071817829633457e-37,8.580822804698715e-43,3.6847630247384557e-47,6.978799837077857e-44,4.705209210408986e-40,6.966627011057404e-53,3.6215375026688933e-54,1.2301041127280368e-31,5.537906279952198e-66,4.995999747315411e-41,3.1668946851329076e-38,7.230593694283422e-61,5.076698931614717e-73,2.6814523336052856e-75,1.5011685008007424e-58,3.34844414459605e-73,1.881225082878862e-80,6.334424103889668e-85,1.2911645206760158e-88,1.584641124082226e-71,4.0475521534416116e-71,6.746058564485768e-85,1.1413294065712559e-55,1.9501953767212314e-62,8.725668329548735e-54,8.208717443930558e-61,2.9258943786977806e-84,1.6409343153268068e-31,1.424802602062063e-41,1.0575808970036858e-62,2.5559657087805786e-55,3.749314922412293e-49,2.247751193117322e-52,2.0972187705314472e-72,3.52810347982127e-40,1.2092374370143279e-65,4.7747620494754245e-59
2.0843362279117116e-20,0.4719993369849529,3.2821270735203646e-29,7.588635661724971e-34,6.688239324443601e-37,4.594616082926766e-31,0.0,0.0,2.3408907748104703e-23,1.4149251220951178e-41,3.2522506938192835e-54,5.606192838280219e-56,5.334765385375698e-66,1.2788054336007215e-74,7.785356088137951e-53,7.896404334105546e-43,3.017583847378476e-40,2.8465434295004508e-56,2.1370496676851795e-73,2.485384663876368e-72,6.019901501184324e-43,1.642646634970304e-64,3.4442915156304976e-31,4.600998048395263e-74,1.1259975286402512e-58,4.387652551469108e-66,1.685449182246673e-64,1.0248675672461915e-75,2.250407713246288e-92,1.886643027010282e-94,6.588418701786838e-74,2.602196696615033e-88,6.595517475031836e-73,2.2251428667518154e-88,3.76,0.0,0.5900484262143835,0.9999999999999987,1.8455111700104643e-50,9.233814539657644e-56,3.6305296470332643e-20,3.6305296470332643e-20,1.4043735665801946e-42,5.1733589887325167e-48,1.3133164116885665e-15,8.603197305906323e-46,4.959211696735947e-48,2.3408940569374947e-23,1.945749755473739e-37,1.727774895655115e-45,5.243135662527264e-38,1.5765849388133575e-22,1.0214426926554828e-44,6.6873779690985905e-37,5.18281697403783e-42,2.2255968669753017e-46,4.215195101594908e-43,2.8419463630868517e-39,4.2078427146741214e-52,2.1874086542227965e-53,3.4442915156386304e-31,6.574602335564641e-65,3.017583847378484e-40,1.91280438981996e-37,8.584160833852967e-60,1.1356574669561622e-71,8.43091516836799e-74,1.782508022499265e-57,7.49162354045937e-72,4.2082252613999614e-79,1.4169853343406807e-83,2.8882833861748265e-87,1.8812859424984475e-70,4.80527175790005e-70,1.5090663166016992e-83,1.3549862714620783e-54,2.315271951848019e-61,1.0359113440839297e-52,9.74538934935322e-60,6.545108689371552e-83,4.594616082909528e-31,8.60580771645481e-41,1.2555600408965565e-61,3.034442489464177e-54,2.2645862131369997e-48,1.357641720649393e-51,3.1693160289402794e-71,2.1309745018120437e-39,1.4356066319206252e-64,5.6685975051371835e-58
4.764197092369626e-20,0.4719993369849529,7.502004741190708e-29,1.7345452943047267e-33,3.220099330377703e-36,1.0501979618135838e-30,0.0,0.0,5.35060748528108e-23,6.812255389159944e-41,3.193079016775205e-53,5.50419337644944e-55,5.237704400574352e-65,1.2555387579171842e-73,3.7483138252066044e-52,3.801778775411236e-42,1.4528367265192797e-39,2.7947532188466608e-55,2.0981680510282824e-72,2.4401654011231464e-71,2.89832343798742e-42,1.6127602069749607e-63,7.872666321421169e-31,9.090796809145437e-73,1.10551105069317e-57,4.720036395333156e-65,1.8120011699175102e-63,2.2864231646399455e-74,1.1717826307061654e-90,9.823700701792762e-93,1.3017605111218394e-72,5.661204184125886e-87,1.471423374495158e-71,9.978472473655781e-87,3.76,0.0,0.5900484262143835,0.999999999999997,1.811933810448222e-49,9.065813870809273e-55,8.298353478933176e-20,8.298353478933176e-20,6.761454191395136e-42,2.4907496588126363e-47,3.0018660837119948e-15,4.142069166484679e-45,2.387646956195777e-47,5.350614987285585e-23,9.367947498207115e-37,8.31856372727918e-45,2.524344123614074e-37,3.6036227172876567e-22,4.91780687126092e-44,3.219684624857383e-36,2.495303271606095e-41,1.071529087642904e-45,2.029434992622065e-42,1.3682748383866684e-38,2.0258951348086657e-51,1.0531431096922919e-52,7.872666321460325e-31,6.45498355992899e-64,1.452836726519284e-39,9.209329744361756e-37,8.427980010055778e-59,2.243885521815094e-70,1.8808907955154572e-72,1.7502175097880805e-56,1.480342744783952e-70,8.314743969933179e-78,2.799724238193096e-82,5.706761253718092e-86,1.8470576941931298e-69,4.717882098172945e-69,2.981660742010471e-82,1.3303335562395752e-53,2.273147732980445e-60,1.0170639004919016e-51,9.568081052393925e-59,1.2932031825052157e-81,1.0501979618052837e-30,4.143325966796402e-40,1.2327162934662152e-60,2.9792336301542505e-53,1.0903007794374562e-47,6.536460469683134e-51,3.409405223611095e-70,1.0259724919320195e-38,1.4094869913452116e-63,5.56546264486842e-57
1.0123918821285456e-19,0.4719993369849529,1.5941760082353997e-28,3.685908751234948e-33,1.4063019771593546e-35,2.2316706688613433e-30,0.0,0.0,1.1370040906222318e-22,2.9750909024185497e-40,2.8242422298680105e-52,4.868396714788188e-54,4.6326904237362723e-64,1.1105098128451534e-72,1.6369871244801105e-51,1.6603366728789758e-41,6.344919679090157e-39,2.4719275724802656e-54,1.8558059063391764e-71,2.1582986632981734e-70,1.2657739911430616e-41,1.4264681391400652e-62,1.672941593293474e-30,1.6176587202461036e-71,9.7781200482359e-57,4.3385266388924586e-64,1.6651323463411777e-62,4.282217544015917e-73,4.676276875087196e-89,3.920379590195198e-91,2.316413276741883e-71,1.0498098220708839e-85,2.7558129176017633e-70,3.7541504309342323e-85,3.76,0.0,0.5900484262143835,0.9999999999999937,1.6026349358438398e-48,8.01860970165512e-54,1.7634001142732997e-19,1.7634001142732997e-19,2.95290468466945e-41,1.0877758138547385e-46,6.378965427257956e-15,1.808950426902374e-44,1.0427481550630692e-46,1.1370056847981365e-22,4.091228790481692e-36,3.632998016354748e-44,1.1024473992399438e-36,7.6576982742361985e-22,2.147735463032687e-43,1.4061208643634222e-35,1.089764496196435e-40,4.6796490419193314e-45,8.86307579308706e-42,5.975615697216673e-38,8.847616303972354e-51,4.59935266885666e-52,1.672941593310575e-30,5.7093598584146e-63,6.34491967909018e-39,4.0219562501138955e-36,7.454452875056381e-58,3.9928884130206075e-69,3.5227002973337214e-71,1.5481033906231284e-55,2.6342915908101986e-69,1.4795642639480724e-76,4.981959693125795e-81,1.0154876739958652e-84,1.6337016132058747e-68,4.172980515155362e-68,5.305705980274633e-81,1.176664964872954e-52,2.0105734295202945e-59,8.99581502102528e-51,8.462859335466433e-58,2.301185967686731e-80,2.2316706688250942e-30,1.809499304618739e-39,1.0903236014042292e-59,2.6350984071235993e-52,4.761629951463211e-47,2.8546440153602235e-50,3.133830667794361e-69,4.48069141937295e-38,1.246675081063044e-62,4.922588682526895e-56
2.0843362279117116e-19,0.4719993369849529,3.2821270787970996e-28,7.588635667758437e-33,5.871033923541631e-35,4.5946160829806396e-30,0.0,0.0,2.340890774810487e-22,1.2420418869782053e-39,2.373945767563559e-51,4.092180792327906e-53,3.894055772328029e-63,9.334504109177273e-72,6.834099003074896e-51,6.931578771226429e-41,2.648879066026265e-38,2.077804069451515e-53,1.5599167290341996e-70,1.814180073749951e-69,5.28435724491379e-41,1.1990324220985308e-61,3.444291515569078e-30,2.7284178736631065e-70,8.219099076469191e-56,3.711700882829761e-63,1.4243997703802707e-61,7.396465894990354e-72,1.6620220430272031e-87,1.393364086146182e-89,3.906969565300073e-70,1.8054480559636073e-84,4.759981313481815e-69,1.2999430529070167e-83,3.76,0.0,0.5900484262143835,0.9999999999999869,1.347111229575463e-47,6.740124611719784e-53,3.6305296470332643e-19,3.6305296470332643e-19,1.232779577789272e-40,4.541249893739225e-46,1.3133164112346291e-14,7.552011939703805e-44,4.353268283597013e-46,2.340894056937134e-22,1.7080074840256414e-35,1.5167575468413265e-43,4.602500874621854e-36,1.5765849388133053e-21,8.966372775583347e-43,5.870277813271418e-35,4.54955225104854e-40,1.9536613561657713e-44,3.7001596736170433e-41,2.494701923356378e-37,3.6937056411991403e-50,1.9201392203354972e-51,3.4442915156404726e-30,4.799060975769743e-62,2.6488790660262784e-38,1.6790875620530602e-35,6.265916805963173e-57,6.734599734820555e-68,6.084588728465804e-70,1.3012963133770672e-54,4.443198416669965e-68,2.495501388824569e-75,8.402803200835989e-80,1.712768389010057e-83,1.3732246437302717e-67,3.5077546592500184e-67,8.948848631960991e-80,9.89057802236002e-52,1.69000811748121e-58,7.561524563682256e-50,7.113543196472788e-57,3.881286482914412e-79,4.594616082829308e-30,7.554303396132325e-39,9.164826837393596e-59,2.2149589877764117e-51,1.9878867718626352e-46,1.191757682681906e-49,2.681058068990874e-68,1.8706004650011814e-37,1.0479051855583703e-61,4.137732395882087e-55
4.2282249194780435e-19,0.4719993369849529,6.658029229236664e-28,1.5394089511457596e-32,2.3985089248858203e-34,9.320506911314347e-30,0.0,0.0,4.748664143187028e-22,5.074146376594286e-39,1.9463041680096961e-50,3.355017070150315e-52,3.1925827333147596e-62,7.652990435450956e-71,2.791952433858671e-50,2.8317760997975448e-40,1.0821535292672e-37,1.7035093117252984e-52,1.2789140529137823e-69,1.487374432599832e-68,2.15883235887836e-40,9.830392221210774e-61,6.98699136001185e-30,4.4814345504138046e-69,6.738513999933688e-55,3.068906069786909e-62,1.1776602787547088e-60,1.2289338708022726e-70,5.5981479771882334e-86,4.693233640125759e-88,6.417209242876199e-69,2.9960218701894746e-83,7.908779995892086e-68,4.32499233440245e-82,3.76,0.0,0.5900484262143835,0.9999999999999734,1.1044431750380483e-46,5.525961377863921e-52,7.364788712553193e-19,7.364788712553193e-19,5.036306821215767e-40,1.855248758921949e-45,2.6641561474508626e-14,3.0852432934427015e-43,1.778452138797864e-45,4.748670801214493e-22,6.977767881358114e-35,6.196877627652393e-43,1.880271783188318e-35,3.1982151615925838e-21,3.663055844359809e-42,2.3982000291697213e-34,1.8586405427866585e-39,7.981344105901894e-44,1.5116359599090265e-40,1.0191671358093403e-36,1.5089992770493183e-49,7.844395400640737e-51,6.98699136030352e-30,3.9345601350435714e-61,1.0821535292672084e-37,6.859620563747969e-35,5.137177168273258e-56,1.1061603019393821e-66,1.0109635170193043e-68,1.0668901464587763e-53,7.29803115944707e-67,4.09886852472173e-74,1.3801629488893306e-78,2.813227222127209e-82,1.1258525295440203e-66,2.876054665711859e-66,1.4698510742934046e-78,8.108893424277376e-51,1.3855707669855683e-57,6.199394685368272e-49,5.832112493802336e-56,6.375024702956429e-78,9.320506910696108e-30,3.08617942816989e-38,7.513878754084524e-58,1.815957200363205e-50,8.121166094538849e-46,4.868718995111173e-49,2.2167506410554367e-67,7.642013261431586e-37,8.591354287859726e-61,3.392363009405343e-54
8.516002302610707e-19,0.4719993369849529,1.340983356738046e-27,3.100499724146467e-32,9.695156562966408e-34,1.8772288568362216e-29,0.0,0.0,9.564210879940231e-22,2.051051094040017e-38,1.5761675765958674e-49,2.7169798363632394e-51,2.5854371489641343e-61,6.197590071421333e-70,1.1285518131984875e-49,1.1446491756662682e-39,4.374237586759997e-37,1.379546007023165e-51,1.035697875160371e-68,1.2045143782996292e-67,8.726345562183665e-40,7.960906490818391e-60,1.4072391048463647e-29,7.264598524333091e-68,5.457023344909976e-54,2.4955834530867575e-61,9.576296529383918e-60,2.0034723762988284e-69,1.83736822000125e-84,1.5403662187753581e-86,1.0402572718942559e-67,4.89004718609413e-82,1.2893307345687915e-66,1.4110310206052065e-80,3.76,0.0,0.5900484262143835,0.9999999999999464,8.944067177683546e-46,4.475066794016711e-51,1.4833306843593051e-18,1.4833306843593051e-18,2.0357557406527988e-39,7.499212112271438e-45,5.365835616677594e-14,1.2471046679992177e-42,7.188787905580408e-45,9.564224289766667e-22,2.820525342550458e-34,2.5052231546691372e-42,7.600359177238113e-35,6.441475607150773e-21,1.480665739509897e-41,9.693907957098232e-34,7.512922244989415e-39,3.226186899904189e-43,6.1102742397424475e-40,4.119636513737992e-36,6.099616345835072e-49,3.1708301710375516e-50,1.4072391049642624e-29,3.186308807809249e-60,4.374237586760054e-37,2.7727683077480538e-34,4.16021926117476e-55,1.793132054409335e-65,1.648125685173511e-67,8.639988151344156e-53,1.1830474497116675e-65,6.644442510990417e-73,2.2373036152405697e-77,4.56036255744279e-81,9.117445679211748e-66,2.3294040333480726e-65,2.3826919294166884e-77,6.56679212898682e-50,1.1220711406322795e-56,5.02043054635625e-48,4.722995903842403e-55,1.0334189761942692e-76,1.877228856586319e-29,1.2474830686297248e-37,6.084933821105154e-57,1.4706092227218344e-49,3.28270518168571e-45,1.9680140622659652e-48,1.8026248012370632e-66,3.0890239455501594e-36,6.957492473530704e-60,2.747223517966157e-53
1.7091557068876034e-18,0.4719993369849529,2.69134423927267e-27,6.22268128719138e-32,3.898379813116841e-33,3.767585188397976e-29,0.0,0.0,1.9195304353447123e-21,8.247186240630836e-38,1.2686367891219092e-48,2.186861789707537e-50,2.0809861591924269e-60,4.988359667013922e-69,4.5378572049892235e-49,4.6025839912403816e-39,1.7588616950393433e-36,1.1103786441241695e-50,8.336199419916694e-68,9.69497962028452e-67,3.508825170691964e-39,6.407630126945745e-59,2.8243190423632257e-29,1.169941196830424e-66,4.392287138269263e-53,2.01277847047038e-60,7.723534097068181e-59,3.2356132392603682e-68,5.954100982747228e-83,4.9916482480088545e-85,1.6753022670154292e-66,7.930653910592423e-81,2.0822725705572085e-65,4.559043332588146e-79,3.76,0.0,0.5900484262143835,0.9999999999998923,7.198963380850956e-45,3.6019230778348905e-50,2.977034310567277e-18,2.977034310567277e-18,8.185684296564425e-39,3.015400207573553e-44,1.0769194542308114e-13,5.0145530203164007e-42,2.890580007861616e-44,1.9195331266860844e-21,1.1341208351149482e-33,1.0076175758099168e-41,3.0560709975716027e-34,1.2927996498265677e-20,5.953691816488882e-41,3.897877754192414e-33,3.0209129916700413e-38,1.2972355644410426e-42,2.4569143978333635e-39,1.6564877233473944e-35,2.452628905392116e-48,1.2749769697035827e-49,2.824319042837286e-29,2.5646185312722946e-59,1.7588616950393847e-36,1.1149179414548845e-33,3.3485063922807794e-54,2.887777307603423e-64,2.6617273788064184e-66,6.95422816082645e-52,1.9052655641417e-64,1.0700669827783372e-71,3.60310849957628e-76,7.344323311209204e-80,7.338513479232061e-65,1.8753905956218166e-64,3.8372518909541844e-76,5.285525598176694e-49,9.031404883503985e-56,4.0408792712676927e-47,3.801477992570434e-54,1.664289402624549e-75,3.76758518739313e-29,5.016074552659436e-37,4.897684109396964e-56,1.1836742425539583e-48,1.3199613156928858e-44,7.913297990563596e-48,1.4538822071110993e-65,1.242082942484678e-35,5.599980783631756e-59,2.2112044903024253e-52
3.4242666601406686e-18,0.4719993369849529,5.3920660639653804e-27,1.2467044481455204e-31,1.563424664355095e-32,7.548297852130211e-29,0.0,0.0,3.8457491300462826e-21,3.3074905469132282e-37,1.0180011273119911e-47,1.754818935515285e-49,1.6698626057271857e-59,4.002844475870786e-68,1.8198836995280347e-48,1.8458420355952558e-38,7.053822067219758e-36,8.910089325155017e-50,6.689278062306423e-67,7.779610576633267e-66,1.4071958294889307e-38,5.141719638300613e-58,5.658478916702953e-29,1.878014723790892e-65,3.524533811854014e-52,1.616773138053837e-59,6.203924324210482e-58,5.201153782367818e-67,1.9173153873047836e-81,1.6073902573294657e-83,2.689231161963544e-65,1.286679324326417e-79,3.347192334218034e-64,1.4659324079309058e-77,3.76,0.0,0.5900484262143835,0.9999999999997843,5.776714738243466e-44,2.890316428767363e-49,5.9644415629832195e-18,5.9644415629832195e-18,3.2828255159508327e-38,1.2093103502773494e-43,2.1575912342277383e-13,2.0110600424702751e-41,1.1592518742933658e-43,3.84575452210085e-21,4.548331796724343e-33,4.0432298776692003e-41,1.225621156140908e-33,2.5901038280489586e-20,2.3876967037584813e-40,1.5632233162741524e-32,1.2115212232893555e-37,5.2024948264225027e-42,9.853325617096736e-39,6.64325665280897e-35,9.836138874260611e-48,5.113228728045043e-49,5.658478918604147e-29,2.057944857546918e-58,7.053822067220074e-36,4.471319604370502e-33,2.6869654982249797e-53,4.635499478976703e-63,4.27864900625161e-65,5.580335746943651e-51,3.058376476468602e-63,1.717694491635338e-70,5.783787108246177e-75,1.1789265438653056e-78,5.8886948984402504e-64,1.5056589246147026e-63,6.159639085380302e-75,4.241301413359323e-48,7.247133903982886e-55,3.242551129462865e-46,3.0504466767867686e-53,2.671553075702163e-74,7.548297848100328e-29,2.011670245032479e-36,3.9300830410143196e-55,9.498240344440643e-48,5.293635243047856e-44,3.173586427200626e-47,1.1678372582686798e-64,4.981308134536198e-35,4.493608718550813e-58,1.7743523466711282e-51
