Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925)
0.0,0.8953565595297436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7505759689199041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.098406020822053e-23,0.8953565595297436,3.229697822073158e-25,1.2488639491365373e-25,2.4438412106096168e-36,3.709896544237722e-40,0.0,0.0,1.206613970114345e-20,6.059837179543186e-39,4.904293113091192e-53,1.9912410217797345e-54,9.418052085554425e-60,4.178308834484448e-65,2.0139360986728542e-44,1.0277497752549012e-38,5.4111251122949956e-36,8.544024493665568e-54,1.408490257177942e-61,1.1831771261176579e-58,6.272044179039801e-36,1.2490547878787282e-55,2.117299653426403e-24,1.3599169587878532e-70,2.0446454810699048e-54,3.488261819160898e-57,1.7686354584090044e-54,2.2253072812466215e-68,1.8106943280808559e-87,2.16256764188402e-87,9.149261337752484e-71,9.9260227931507e-77,3.781244881425673e-70,1.1713696066174108e-105,3.76,0.0,0.750575968919904,0.9999999999999996,1.0113870439304835e-51,4.124292389148824e-52,3.96625369243855e-17,3.96625369243855e-17,7.189764753129714e-36,1.2661255648986306e-38,4.38004631799711e-16,9.808722773539717e-40,9.867551048384081e-41,1.2066462670925421e-20,4.263837669916639e-35,7.869623667071578e-44,9.501126672461699e-35,2.3892593404438102e-18,3.0744031387457764e-39,2.443024712518482e-36,4.46102470037958e-36,7.808901051046678e-40,8.696141788557735e-37,3.320135454783134e-36,6.478801328640724e-66,1.3814469418537636e-56,2.11729965342644e-24,1.0480893961627129e-80,5.411125226656931e-36,1.139201558479139e-38,8.280425298155968e-52,2.008423191174798e-71,6.612148616866942e-68,2.783190738154179e-54,1.0279115645356333e-71,6.64475573225033e-98,6.07644973704014e-102,6.599071717963903e-101,3.6468137244236595e-86,1.6593776499775912e-65,2.8059431157426976e-102,4.768975845272861e-53,1.3950718703395816e-59,1.2446960528515893e-53,2.389368162345627e-58,1.069926877864514e-70
1.707553685830175e-22,0.8953565595297436,9.04315390488818e-25,3.496819057582334e-25,1.4760800912082144e-35,2.240777513356913e-39,0.0,0.0,3.3785191163201635e-20,3.660141656444083e-38,5.822376783879367e-52,2.3640013410627044e-53,1.1181111436642921e-58,4.9604882483018815e-64,1.2164174035989296e-43,6.20760864253954e-38,3.268319567826145e-35,1.0143465878879711e-52,1.672159633325586e-60,1.4046678841268828e-57,3.788314684140041e-35,1.4828778441696255e-54,5.9284390295938946e-24,3.04207984013002e-69,2.4274031151261443e-53,5.271461261115986e-56,2.6661919194376536e-53,6.99672214140408e-67,8.649904101762194e-86,1.0376873574754887e-85,2.046653164228403e-69,2.7992972440341775e-75,1.1131138628168643e-68,2.1693015007803124e-103,3.76,0.0,0.750575968919904,0.9999999999999988,1.2007186986946256e-50,4.8963599243974394e-51,1.110551033882794e-16,1.110551033882794e-16,4.342617910890026e-35,7.647398411987543e-38,1.2264129690389842e-15,5.924468555218013e-39,5.960000833224974e-40,3.378609547859071e-20,2.5753579526294975e-34,4.7533744222895205e-43,5.738680510166801e-34,6.6899261532426686e-18,1.8569394958024475e-38,1.475586926361162e-35,2.694458919029149e-35,4.716576234833055e-39,5.2524696402885725e-36,2.0053618146889628e-35,7.693412492365864e-65,1.6400538093687818e-55,5.92843902959412e-24,3.1989435987220406e-79,3.268319636900754e-35,6.880777413213544e-38,9.830520913970688e-51,6.314803860764092e-70,2.0789653075407157e-66,4.0321514958261146e-53,2.783330140814429e-70,3.717010000434551e-96,3.399105301959089e-100,3.691454819054557e-99,8.159579458513747e-85,1.970059347125286e-64,1.569616558099236e-100,5.6617281235073e-52,1.656229324467212e-58,1.4777031539453245e-52,2.8366578823365874e-57,2.393383628707781e-69
3.902979853326114e-22,0.8953565595297437,2.0670066082851564e-24,7.992729274474041e-25,7.10669024045285e-35,1.0788379160203223e-38,0.0,0.0,7.722329408731794e-20,1.7622006518111562e-37,5.716444052643938e-51,2.320990535004449e-52,1.0977681512981278e-57,4.870236777481097e-63,5.856526174948543e-43,2.9886963464411573e-37,1.573555182655335e-34,9.95891494981641e-52,1.641736243778381e-59,1.379111258202739e-56,1.8239104472647744e-34,1.455898260751442e-53,1.3550717781928743e-23,6.010637129799891e-68,2.3832387727349353e-52,5.670797474173617e-55,2.865905912886105e-52,1.560930220832372e-65,4.50398712841375e-84,5.383717680772301e-84,4.043841761976161e-68,6.0890829487830265e-74,2.446199979606401e-67,2.2513575819883948e-101,3.76,0.0,0.7505759689199039,0.9999999999999972,1.1788727386046835e-49,4.807275208791728e-50,2.538402363160672e-16,2.538402363160672e-16,2.0907835902096375e-34,3.681893142724939e-37,2.8032296435167025e-15,2.8523765825453835e-38,2.869483844871546e-39,7.722536109391936e-20,1.239923994411528e-33,2.2886691534518428e-42,2.7629276363517615e-33,1.5291259778840385e-17,8.940364327472696e-38,7.10431586400373e-35,1.297265982870204e-34,2.2708284256456398e-38,2.5288380321121393e-35,9.654953902508595e-35,7.557207449174741e-64,1.6102145554247242e-54,1.3550717781929833e-23,7.076497271466489e-78,1.5735552159117859e-34,3.3127981320566504e-37,9.651663727530345e-50,1.4087980036489235e-68,4.638057231588595e-65,4.2777725055065495e-52,5.965984372968078e-69,1.6522779861402088e-94,1.510963613856934e-98,1.6409182470968167e-97,1.6129750606796179e-83,1.9343138121366624e-63,6.977228700823226e-99,5.558718245248063e-51,1.6260957720680034e-57,1.4508177192035562e-51,2.7850475300296245e-56,4.728922730690594e-68
8.293832188317992e-22,0.8953565595297437,4.3923890488111665e-24,1.6984549708257924e-24,3.1036783374743015e-34,4.711568621060494e-38,0.0,0.0,1.6409949993555023e-19,7.69599321801982e-37,5.056130027897498e-50,2.0528898438518153e-51,9.709634982420842e-57,4.307669276012738e-62,2.5576988453226717e-42,1.3052422145736256e-36,6.872128892614128e-34,8.80854749198908e-51,1.4520971155645478e-58,1.219808289942254e-55,7.965496107380547e-34,1.2877255241114453e-52,2.87952752865979e-23,1.0695607625368369e-66,2.1079477051635212e-51,5.2124398711360323e-54,2.633441513798066e-51,2.9234495521241348e-64,1.7974230284172453e-82,2.1457353374564678e-82,7.195800353812972e-67,1.1288133579238873e-72,4.5538965206705e-66,1.7982011360177538e-99,3.76,0.0,0.7505759689199035,0.9999999999999941,1.0426995870113015e-48,4.251980481516572e-49,5.394105021716427e-16,5.394105021716427e-16,9.131001236469742e-34,1.6079794674209725e-36,5.956862992468831e-15,1.2457077922395785e-37,1.2531789831462684e-38,1.6410389232456908e-19,5.415073840791745e-33,9.996308831544334e-42,1.2066430874025315e-32,3.249392703003581e-17,3.904491986207113e-37,3.102641384898456e-34,5.665501369480226e-34,9.917304334842247e-38,1.104410007146366e-34,4.216572027573794e-34,6.690969920848766e-63,1.424216539173508e-53,2.879527528660267e-23,1.321163253863453e-76,6.87212903785379e-34,1.4467859792677978e-36,8.53678726538635e-49,2.638522746138618e-67,8.686567886696775e-64,3.910323179034307e-51,1.0994792784605523e-67,6.1959548895194025e-93,5.666033482072074e-97,6.1533564700874985e-96,2.8729903306350824e-82,1.711052750998682e-62,2.616423788658457e-97,4.916623337438343e-50,1.438263295445688e-56,1.2832318426473357e-50,2.4633430006509272e-55,8.414865333891492e-67
1.7075536858301747e-21,0.8953565595297438,9.04315394959653e-24,3.4968190575827534e-24,1.2957246098652977e-33,1.9669871566455677e-37,0.0,0.0,3.378519116320136e-19,3.212925672593774e-36,4.249981943137209e-49,1.7255776096865134e-50,8.161533256281938e-56,3.620855583045823e-61,1.0677889195236795e-41,5.4491293084005964e-36,2.868978534538341e-33,7.404114921818e-50,1.220575121070242e-57,1.0253223666595322e-54,3.3254378237269e-33,1.082410894299084e-51,5.928439029593406e-23,1.803970556305613e-65,1.7718570595669235e-50,4.459352050473994e-53,2.252651895075532e-50,5.049532090733454e-63,6.388322961316602e-81,7.622114721004759e-81,1.2136769057004764e-65,1.9401417492177454e-71,7.842972563502666e-65,1.2792400981616464e-97,3.76,0.0,0.750575968919903,0.9999999999999878,8.764518302558908e-48,3.574045795757599e-48,1.110551033882793e-15,1.110551033882793e-15,3.812013272104877e-33,6.71299774508994e-36,1.2264129690359848e-14,5.200584814531065e-37,5.231775565866595e-38,3.378609547858381e-19,2.2606867325876547e-32,4.1741725652084346e-41,5.037497361738252e-32,6.689926153242665e-17,1.6300485441629896e-36,1.2952917025772849e-33,2.3652352961395956e-33,4.140279337276566e-37,4.610694376289111e-34,1.7603358181253103e-33,5.635443894726089e-62,1.197139816659314e-52,5.928439029595397e-23,2.279302451392427e-75,2.8689785951730423e-33,6.040046663050016e-36,7.175684076576231e-48,4.557391889687398e-66,1.500388582379416e-62,3.3370897734693403e-50,1.8847223610684552e-66,2.1428304786277046e-91,1.95956062540771e-95,2.12809809384873e-94,4.8551249098328e-81,1.4385358022878298e-61,9.048730565843779e-96,4.132718163892378e-49,1.2089469616870686e-55,1.0786336842633639e-49,2.0705882195964523e-54,1.4192900328180677e-65
3.463894619826926e-21,0.895356559529744,1.8344683830100614e-23,7.093547231097418e-24,5.293457815829521e-33,8.035784385955497e-37,0.0,0.0,6.853567350249349e-19,1.3125849724377514e-35,3.484391970077978e-48,1.4147327794892649e-49,6.691318069392315e-55,2.968596169881152e-60,4.36226614723143e-41,2.226147123192372e-35,1.1720713438231501e-32,6.0703407506874e-49,1.0007012283345508e-56,8.406212235556304e-54,1.3585498573567355e-32,8.874258476580929e-51,1.2026262031459779e-22,2.963027055715412e-64,1.4526754685269942e-49,3.687078510745762e-52,1.8624138642165935e-49,8.389873090887785e-62,2.1517631135681827e-79,2.5666884315465467e-79,1.9934679620567372e-64,3.2156426660845576e-70,1.3012453911867207e-63,8.621805784758837e-96,3.76,0.0,0.7505759689199017,0.9999999999999751,7.185681634368697e-47,2.9302186781133573e-47,2.252832097305092e-15,2.252832097305092e-15,1.5573318045831003e-32,2.74247861859083e-35,2.4878663086088922e-14,2.124608587640057e-36,2.13735102729547e-37,6.853750797082537e-19,9.235642946528047e-32,1.7060296868473014e-40,2.057982041761096e-31,1.3570993053720822e-16,6.659280174648722e-36,5.291689248303411e-33,9.662757941996148e-33,1.69143920327073e-36,1.8836190959652035e-33,7.191546200472464e-33,4.6387764431162784e-61,9.814875498384729e-52,1.2026262031467906e-22,3.786802936247096e-74,1.1720713685944057e-32,2.467556143722752e-35,5.883059342547596e-47,7.572174786275258e-65,2.4929180695285863e-61,2.7559353659635224e-49,3.1198669297749797e-65,7.128545910911113e-90,6.518862795141883e-94,7.079535743128692e-93,8.00546068644499e-80,1.1798788387119373e-60,3.0102377167634523e-94,3.388252039066853e-48,9.911677606905868e-55,8.843290626605438e-49,1.697593322094703e-53,2.3311881407644065e-64
6.976576487820429e-21,0.8953565595297444,3.6947743906842236e-23,1.4287003578129717e-23,2.1397002842673768e-32,3.248192561433858e-36,0.0,0.0,1.3803663818107574e-18,5.305678322874504e-35,2.821750956331644e-47,1.1456872843523795e-48,5.418802867779748e-54,2.404046144455679e-59,1.7632977233718875e-40,8.998442602242571e-35,4.737699769816406e-32,4.915919324117753e-48,8.1039379969901925e-56,6.80756861412335e-53,5.491475736869927e-32,7.186604595023303e-50,2.422190803518907e-22,4.8031945428152103e-63,1.1764142575672676e-48,2.9982710114889456e-51,1.514435653585329e-48,1.3677610632759904e-60,7.062301993140577e-78,8.423100640805036e-78,3.2314974708583184e-63,5.235840480825562e-69,2.119829607556233e-62,5.660985567606134e-94,3.76,0.0,0.7505759689198994,0.9999999999999499,5.819151288905119e-46,2.3729670565849513e-46,4.537394224149683e-15,4.537394224149683e-15,6.294984150041885e-32,1.1085537060940565e-34,5.0107729877335246e-14,8.588007606929284e-36,8.639514585403315e-37,1.3804033295525972e-18,3.7331945442052093e-31,6.902059685894486e-40,8.318692455813929e-31,2.733312685467708e-16,2.6917875193224387e-35,2.1389854009960307e-32,3.9058412543563913e-32,6.837067697522473e-36,7.613889550658895e-33,2.9069379571595305e-32,3.786564187867596e-60,7.94834064642214e-51,2.422190803522193e-22,6.179106541267002e-73,4.737699869945794e-32,9.974256461188492e-35,4.764253984207343e-46,1.2344556019861092e-63,4.0640856330959174e-60,2.239801244959264e-48,5.076787468366981e-64,2.32775180311199e-88,2.128666184555617e-92,2.3117480475242855e-91,1.3077389706467315e-78,9.562743715397571e-60,9.829615128435668e-93,2.7438943475919175e-47,8.02673350367812e-54,7.161526027203705e-48,1.3747550853089758e-52,3.778956433894306e-63
1.4001940223807434e-20,0.8953565595297451,7.415386532325925e-23,2.8673916272206194e-23,8.603640735604021e-32,1.3060839682087488e-35,0.0,0.0,2.7703856753823202e-18,2.133389918406756e-34,2.271190656440718e-46,9.221487991451786e-48,4.361523990971272e-53,1.934985484398331e-58,7.090142593235945e-40,3.6182341937708522e-34,1.9050082402812634e-31,3.9567595473639013e-47,6.522754327652369e-55,5.479323465730568e-52,2.2080982414076663e-31,5.784404598543844e-49,4.8613200042633875e-22,7.735396736955819e-62,9.468805402161943e-48,2.418214190593768e-50,1.2214279771471582e-47,2.208937770659423e-59,2.2885809594086234e-76,2.729392292606375e-76,5.204227055293438e-62,8.450667645578696e-68,3.422295270428672e-61,3.6694405510243684e-92,3.76,0.0,0.7505759689198948,0.9999999999998995,4.6837592120386465e-45,1.909970330606505e-45,9.106518477838837e-15,9.106518477838837e-15,2.531185440372916e-31,4.457445696233545e-34,1.005658634589806e-13,3.453200087317479e-35,3.473910816862985e-36,2.770459829239332e-18,1.5011011070326946e-30,2.7801250339418813e-39,3.344909649541505e-30,5.485739445658943e-16,1.0823559226078848e-34,8.600766221408996e-32,1.5705215898580652e-31,2.7491548506905746e-35,3.0615115012051776e-32,1.1688669673942204e-31,3.095989810172537e-59,6.397516042246716e-50,4.861320004276598e-22,1.000275445028005e-71,1.9050082805428597e-31,4.010604654652104e-34,3.834686087217004e-45,1.9936490946043463e-62,6.563509152887518e-59,1.805971815724764e-47,8.191481876451156e-63,7.538322871908211e-87,6.893592763709967e-91,7.486495406161948e-90,2.138344925457908e-77,7.709450542413187e-59,3.1832780644864945e-91,2.2085248843378217e-46,6.4606134338091465e-53,5.764219185354457e-47,1.1065224936422066e-51,6.085892838046405e-62
2.8052667695781445e-20,0.8953565595297466,1.485661132078285e-22,5.744774166040663e-23,3.4504447422160305e-31,5.23798107598766e-35,0.0,0.0,5.550424262525118e-18,8.555847754772809e-34,1.822487467202069e-45,7.39966336663603e-47,3.499848352113851e-52,1.5527039901849278e-57,2.843464294433264e-39,1.4510737411796857e-33,7.639935079277371e-31,3.1750503487447135e-46,5.234099560831626e-54,4.3968120055097716e-51,8.855461544121123e-31,4.641620401253656e-48,9.739578405746828e-22,1.241702489474077e-60,7.598120010679436e-47,1.942441146016088e-49,9.811096997885528e-47,3.550802951807556e-58,7.369595344867287e-75,8.788817065094517e-75,8.353936986155602e-61,1.3579996042817095e-66,5.500246454352853e-60,2.3633963778783183e-90,3.76,0.0,0.7505759689198853,0.9999999999997986,3.7584217948133964e-44,1.5326309045798e-44,1.8244766985217027e-14,1.824476698521703e-14,1.0151185716150617e-30,1.7876350883151617e-33,2.0148213061888205e-13,1.3848876831637995e-34,1.3931936120512588e-35,5.550572828604992e-18,6.020086823031508e-30,1.1188343508300668e-38,1.3414583742045732e-29,1.0990592966041343e-15,4.3407313451753565e-34,3.449291933455909e-31,6.29849400824227e-31,1.1025340541093064e-34,1.2278030414222808e-31,4.687679327763346e-31,2.561745681885168e-58,5.133603722412538e-49,9.739578405799814e-22,1.615874147657585e-70,7.639935240744457e-31,1.6084318451783104e-33,3.0770940848937965e-44,3.20473269281261e-61,1.0550649268166067e-57,1.4504517214648094e-46,1.3161517409164474e-61,2.4357022204462986e-85,2.227383926986282e-89,2.4189562842924058e-88,3.536123471733298e-76,6.2064455337405465e-58,1.0285467446264832e-89,1.7722021316143206e-45,5.184235405435959e-52,4.625422878366649e-46,8.879146147891757e-51,9.769205827002137e-61
