Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476)
0.0,0.6839812937916739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5541653975810936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.018940655453181e-22,0.6839812937916739,2.3157149595613748e-26,2.9848418041588883e-28,1.9202845486270403e-36,6.953905322804454e-26,0.0,0.0,1.0413211070639311e-21,3.389343962880138e-40,2.624061062985779e-53,7.738838291202275e-55,3.58846267984196e-56,3.9190425676371855e-68,5.009557097566377e-47,6.594706213495889e-40,1.8392049138385457e-37,8.212747717987577e-55,2.9113777270186657e-65,1.3171863691134466e-63,3.006175651688745e-38,1.5295062558282791e-58,2.1308852674396242e-26,4.667554978340953e-72,6.656222511440854e-56,3.989988289617519e-60,2.8569477988140446e-41,8.034080833189266e-41,1.722416587917874e-80,1.42618796184656e-62,1.444147803035931e-71,1.8022034993243087e-63,1.9050452620358464e-56,1.9609979387074994e-72,3.76,0.0,0.5541653975810936,0.9999999999999994,1.9758392515401947e-51,1.3382263510876856e-53,3.637572617777244e-18,3.637572617777244e-18,4.15564257441334e-38,1.216971397745522e-41,5.219899624298598e-16,9.290999888287765e-42,3.610232591308082e-43,1.0413442642135145e-21,5.3227461306036015e-36,2.183576493685765e-40,3.531068575919845e-36,1.2349401729874677e-19,5.34060612519137e-41,1.919106069563188e-36,8.947933277073362e-24,4.9516962726345276e-42,2.4923146474134854e-38,2.700428103496953e-37,7.260381715408928e-46,7.540928203116946e-47,2.130885267439713e-26,1.066061074010579e-60,1.839204914611625e-37,1.6997515409659028e-38,7.842169812121097e-55,2.0474773513137958e-55,6.459601350751648e-70,1.0007580393923294e-55,3.59405865511333e-72,6.469085796959629e-77,4.401921313755698e-81,2.5729776385387338e-77,1.4865799750293398e-65,5.20839124643856e-63,3.1284524728858673e-81,1.844476557028231e-53,3.809830106160955e-60,2.0082447939255535e-53,1.0725600145459241e-58,5.381205015683574e-75,6.953905322803302e-26,7.656120127834163e-41,7.107609719549838e-60,1.1291504267884504e-53,9.411820731623165e-43,1.7361059533769341e-47,9.330335708697494e-64,4.815898678619529e-37,7.221503480566878e-61,1.1422505946955071e-54,1.8370887711106295e-71,1.8759103671855232e-66,8.947933277073463e-24,3.0203093621515868e-80,3.9009206951647726e-61,5.3382094787416586e-59,5.27688928091035e-63,5.002495432267549e-93,3.655358784767318e-76,1.5232634400614498e-57,1.4973042597788426e-57,2.6296444914124114e-56,5.358268440243786e-67,3.18940666766084e-67,1.56959039784368e-62,4.6679634489580445e-54,5.554908837729805e-43,1.2606539239172357e-76,2.0590958098331789e-78,8.452005556955882e-73,1.0909436846034249e-39
8.453033835268907e-22,0.6839812937916739,6.484001888004853e-26,8.357557051645327e-28,1.159851867370731e-35,1.947093490385248e-25,0.0,0.0,2.9156990997790056e-21,2.0471637535796024e-39,3.1152852951184083e-52,9.187548819433056e-54,4.260222893508412e-55,4.652687336298786e-67,3.0257724869301e-46,3.983202552951276e-39,1.1108797679584742e-36,9.750174090833369e-54,3.456387637564143e-64,1.563763657417357e-62,1.815730093620002e-37,1.815829826919323e-57,5.966478748830734e-26,1.044113378434933e-70,7.902267365582382e-55,6.022047421563361e-59,1.7255964704836987e-40,4.852584823246175e-40,3.852977022091039e-79,1.693170348304185e-61,3.4743145854678687e-70,2.723489928180044e-62,2.261669735769452e-55,4.396133166376219e-71,3.76,0.0,0.5541653975810936,0.9999999999999986,2.345716359434145e-50,1.5887423240112904e-52,1.0185203329776284e-17,1.0185203329776284e-17,2.510008114945132e-37,7.350507242382518e-41,1.4615718948022632e-15,5.611763932525993e-41,2.1805804851520147e-42,2.9157639397978107e-21,3.214938662884454e-35,1.3188802030637494e-39,2.1327654198555675e-35,3.4578324843649104e-19,3.225726099615682e-40,1.1591400660161648e-35,2.505421317580449e-23,2.990824548673602e-41,1.5053580470376484e-37,1.631058574512138e-36,4.38527055610629e-45,4.5547206346893276e-46,5.966478748831271e-26,1.2656277070652028e-59,1.110879768425414e-36,1.0266499307432935e-37,9.310224000950119e-54,2.4307651114797526e-54,2.010453617394273e-68,1.2382662565237551e-54,8.364060823599714e-71,1.4471086164364769e-75,9.846921902015853e-80,5.75564806669629e-76,1.7648677463537566e-64,6.183402091548846e-62,6.998223043739915e-80,2.1897625685026106e-52,4.523030302040084e-59,2.384188219348274e-52,1.273343249268681e-57,1.203754037188344e-73,1.9470934903845538e-25,4.624296557211793e-40,8.438154259049946e-59,1.3405273866832028e-52,5.68473972190035e-42,1.0486079958404825e-46,1.2105689723579542e-62,2.9088028018861957e-36,8.573368927102047e-60,1.3560799060225727e-53,4.1094940974234534e-70,2.228534317091953e-65,2.505421317580508e-23,6.756311230774731e-79,4.631173435734226e-60,6.3375223028341416e-58,6.264722955366199e-62,2.459133179875768e-91,8.176891399093842e-75,1.80841835604094e-56,1.7775996172266898e-56,3.1219139402028124e-55,1.1986232170072707e-65,7.134575139286556e-66,1.863417720320051e-61,5.541806206597995e-53,3.355164937991623e-42,3.96369764142359e-75,4.606114962764428e-77,1.890679835067513e-71,6.589299855004626e-39
1.932122019490036e-21,0.6839812937916739,1.4820575749823813e-25,1.9102987546619946e-27,5.584187467407414e-35,4.450499406594859e-25,0.0,0.0,6.6644550852091476e-21,9.856212244055423e-39,3.0586055766374145e-51,9.020389912590281e-53,4.1827120996239034e-54,4.568036016837649e-66,1.4567792039723137e-45,1.9177405668842418e-38,5.348407889442377e-36,9.572778740205709e-53,3.3935018787556256e-63,1.5353124318561857e-61,8.74195879511087e-37,1.7827924917934107e-56,1.3637665711612102e-25,2.0629920876348535e-69,7.758492959334829e-54,6.47561967067785e-58,8.308004198951474e-40,2.3363107062912265e-39,7.612833383874174e-78,1.6623646883281904e-60,7.080232559878784e-69,2.9298061847860154e-61,2.2205207583953125e-54,8.694381867262968e-70,3.76,0.0,0.5541653975810936,0.9999999999999967,2.3030382316032354e-49,1.5598366348277757e-51,2.328046475377436e-17,2.328046475377436e-17,1.2084608606386107e-36,3.5389528246433226e-40,3.340735759541694e-15,2.701822767514354e-40,1.0498556375552424e-41,6.664603290966286e-21,1.5478545747793457e-34,6.349840456801413e-39,1.0268347418774625e-34,7.903617107119793e-19,1.553048261205789e-39,5.580760450289739e-35,5.726677297326303e-23,1.4399532760855722e-40,7.247650994676956e-37,7.852844924968809e-36,2.1113190028398621e-44,2.1929019214764466e-45,1.3637665711614683e-25,1.2426007878662459e-58,5.348407891690493e-36,4.9428774811271675e-37,9.1408331330082e-53,2.3865396006914027e-53,4.469639969473188e-67,1.2377197339785607e-53,1.683865011205308e-69,2.859242767419393e-74,1.9455858330111525e-78,1.1372190690022963e-74,1.7327576188908644e-63,6.070900848556414e-61,1.3827309432956264e-78,2.1499218748680573e-51,4.44073797175918e-58,2.340810131799181e-51,1.2501759529539837e-56,2.37841512757986e-72,4.450499406591516e-25,2.226399733174113e-39,8.28462988910826e-58,1.3161377374644766e-51,2.736957468755953e-41,5.048596112432341e-46,1.2336214843767424e-61,1.4004633357425593e-35,8.417384441365016e-59,1.3314072931771522e-52,8.119667827524017e-69,2.19106706441627e-64,5.726677297326588e-23,1.3349332456258404e-77,4.546913723549468e-59,6.222216988953001e-57,6.150742149025347e-61,1.2510738705892159e-89,1.6156159508807913e-73,1.7755158657355823e-55,1.7452578452516867e-55,3.0651136191841e-54,2.3682774915127418e-64,1.4096718196475332e-64,1.8295145677266996e-60,5.440978196090011e-52,1.6153674900159723e-41,8.842791395313225e-74,9.100906969666194e-76,3.735664747286352e-70,3.1724642348266703e-38
4.1057592914163265e-21,0.6839812937916739,3.149372349318976e-25,4.059384853657618e-27,2.438761376756321e-34,9.457311239014106e-25,0.0,0.0,1.4161967056069405e-20,4.3044668328577586e-38,2.7053019951284035e-50,7.978432725464205e-52,3.6995614844101093e-53,4.040376125530695e-65,6.362137513909414e-45,8.375276891136033e-38,2.3357902405748336e-35,8.467014387587183e-52,3.0015139817428142e-62,1.357966459137528e-60,3.817843077644707e-36,1.5768597695086563e-55,2.898003963717142e-25,3.6709841947015013e-68,6.86229916039373e-53,5.951258980677625e-57,3.628323704494078e-39,1.0203282658148177e-38,1.3546630505279424e-76,1.4703427411449933e-59,1.2775050246504738e-67,2.692996644980566e-60,1.9640254643216674e-53,1.5478022250924733e-68,3.76,0.0,0.5541653975810936,0.9999999999999929,2.0370112347759118e-48,1.3796578389172947e-50,4.9470987601770514e-17,4.9470987601770514e-17,5.277666069496792e-36,1.5455536751361353e-39,7.099063488999048e-15,1.1799569858128242e-39,4.5849953909905106e-41,1.416228199330276e-20,6.759887585864692e-34,2.773142160582905e-38,4.484457091417908e-34,1.6795186352629563e-18,6.782569778994453e-39,2.4372647083452357e-34,1.2169189256816527e-22,6.288654266281202e-40,3.1652396022136165e-36,3.429543691440789e-35,9.220684778558446e-44,9.576978818062255e-45,2.8980039637182695e-25,1.099066324860928e-57,2.3357902415566456e-35,2.1586844570249612e-36,8.084963389504044e-52,2.110867250110557e-52,8.359044027879655e-66,1.1034793346756644e-52,3.0217215672808264e-68,5.0878697358647374e-73,3.462066037586359e-77,2.0236205777158068e-73,1.5326044910492463e-62,5.369643064013486e-60,2.460495834553136e-77,1.9015815512253243e-50,3.92778244628544e-57,2.0704200527445542e-50,1.1057664725947005e-55,4.232262641295538e-71,9.457311238999504e-25,9.723272562348747e-39,7.327661316468972e-57,1.164108924001523e-50,1.1953012329160764e-40,2.2048545608013296e-45,1.1090265595662617e-60,6.116191321846802e-35,7.44508119559922e-58,1.1776146731072978e-51,1.4448515066885261e-67,1.943451027045715e-63,1.2169189256817778e-22,2.375442385404497e-76,4.02169379037184e-58,5.503480478588644e-56,5.440261779663121e-60,4.951028181539485e-88,2.8749022708146427e-72,1.5704236761656595e-54,1.543660799773877e-54,2.7110582848535047e-53,4.214223259542806e-63,2.508435684580205e-63,1.618184916561143e-59,4.8124835973052644e-51,7.054734223959289e-41,1.6561569632737445e-72,1.6194577692927856e-74,6.647415821974493e-69,1.3854984794462568e-37
8.453033835268907e-21,0.6839812937916739,6.484001905883379e-25,8.35755705165166e-27,1.0181348676820375e-33,1.947093490385268e-24,0.0,0.0,2.915699099778981e-20,1.7970301691190343e-37,2.2739693336574875e-49,6.706353443133528e-51,3.1097043429486038e-52,3.396179584432328e-64,2.656067173129797e-44,3.4965132343921475e-37,9.751464453170892e-35,7.117035768899402e-51,2.52295335672399e-61,1.141452632557298e-59,1.5938743305253727e-35,1.3254456492005727e-54,5.966478748827641e-25,6.191651406692624e-67,5.768175928852039e-52,5.091064467163439e-56,1.5147537229314234e-38,4.259669657754978e-38,2.284837320957639e-75,1.2359116687282297e-58,2.1690354064055408e-66,2.303915327113503e-59,1.6508817442211534e-52,2.6111508943511744e-67,3.76,0.0,0.5541653975810936,0.9999999999999853,1.7122306819638317e-47,1.1596855442308514e-49,1.0185203329776283e-16,1.0185203329776283e-16,2.2033216929466173e-35,6.45238235084066e-39,1.461571894782773e-14,4.9260881407726636e-39,1.9141453199377707e-40,2.915763939797381e-20,2.8221199984443372e-33,1.1577322691939771e-37,1.8721725589524353e-33,3.4578324843649087e-18,2.8315893675777274e-38,1.0175100380823896e-33,2.5054213175791035e-22,2.625389363782509e-39,1.3214252260572708e-35,1.4317669804737762e-34,3.849454385500009e-43,3.998200133385965e-44,5.966478748832346e-25,9.23831469758536e-57,9.751464457269769e-35,9.012082670185595e-36,6.79589888446656e-51,1.7743111130110693e-51,1.4428571207509293e-64,9.310022875584171e-52,5.116873058299716e-67,8.581435968199518e-72,5.839280398583348e-76,3.4131319015365665e-72,1.2882464210681215e-61,4.513508564507604e-59,4.149985858569755e-76,1.5983938726803295e-49,3.301537812785859e-56,1.7403128064974867e-49,9.29463347642425e-55,7.138329545056757e-70,1.947093490379173e-24,4.059274891777098e-38,6.159340861209642e-56,9.785036934475026e-50,4.9901473519060075e-40,9.204833764918116e-45,9.393016621165205e-60,2.553389479404074e-34,6.258039312829113e-57,9.898560893535349e-51,2.4369532499639114e-66,1.6428015426556713e-62,2.505421317579626e-22,4.0065307850202854e-75,3.380476029457584e-57,4.626006977864787e-55,4.572867832535088e-59,1.7533952274417602e-86,4.8489429107279266e-71,1.320035724942042e-53,1.2975399148598982e-53,2.2788078419224835e-52,7.1079034909613124e-62,4.230843422690869e-62,1.3601819253253721e-58,4.0451824373928515e-50,2.9452126658023688e-40,2.8605992969055016e-71,2.7314522328361993e-73,1.1211838390414993e-67,5.784183415766522e-37
1.714758292297407e-20,0.6839812937916739,1.3153261050577031e-24,1.6953901447650927e-26,4.159413143707952e-33,3.9498182233530174e-24,0.0,0.0,5.914703888123018e-20,7.341454597356765e-37,1.864337447204038e-48,5.49827373471325e-50,2.549523500772487e-51,2.784393211844669e-63,1.0850901055613551e-43,1.428439744665208e-36,3.983791411569931e-34,5.834975916933813e-50,2.0684695927305664e-60,9.358318318910758e-59,6.51149670858389e-35,1.0866804232676583e-53,1.2103428319043174e-24,1.0169806027853345e-65,4.729099124981555e-51,4.209248671394068e-55,6.188263210145008e-38,1.740214044790458e-37,3.752852438235116e-74,1.0132750566607462e-57,3.5742414268896026e-65,1.904921745828922e-58,1.3534925960051827e-51,4.289273006111229e-66,3.76,0.0,0.5541653975810935,0.9999999999999704,1.4037901616946027e-46,9.507802744097652e-49,2.0661412468974743e-16,2.0661412468974743e-16,9.001288041820161e-35,2.636008726367547e-38,2.9649029865140994e-14,2.0124677398047878e-38,7.819908202298604e-40,5.914835420730832e-20,1.1529281028718294e-32,4.729714132030223e-37,7.648435778183163e-33,7.014460182568811e-18,1.1567966491420184e-37,4.156860510916541e-33,5.08242610137163e-22,1.0725572194644982e-38,5.398453218871993e-35,5.849235289295929e-34,1.572627721076133e-42,1.6333952125869868e-43,1.2103428319062403e-24,7.574128544528608e-56,3.98379141324446e-34,3.681729827780559e-35,5.5716884964015835e-50,1.4546874498087987e-50,2.3965628452758408e-63,7.646693610990141e-51,8.420699585356109e-66,1.4095034346171524e-70,9.591035588881376e-75,5.606079457669314e-71,1.0561822485508997e-60,3.700447055141965e-58,6.816364234210674e-75,1.31045986769996e-48,2.7068001694950214e-55,1.4268135840361728e-48,7.620302082049297e-54,1.172472771281578e-68,3.949818223328115e-24,1.658346244168904e-37,5.0497997697230035e-55,8.022364465908529e-49,2.0386380177519998e-39,3.7604749393487656e-44,7.729208381828511e-59,1.0431429173837035e-33,5.130718671209249e-56,8.115438266378074e-50,4.00270303077104e-65,1.3619778719159717e-61,5.0824261013737625e-22,6.580738845508865e-74,2.771518576635966e-56,3.7926800542377946e-54,3.749113340586401e-58,5.896124357914868e-85,7.964403377147467e-70,1.0822450405066141e-52,1.0638016164411183e-52,1.8683043485579435e-51,1.167475282734406e-60,6.949173026127899e-61,1.1151593211126379e-57,3.316484961751429e-49,1.203215473919753e-39,4.752928515689199e-70,4.486418494471586e-72,1.841547822307829e-66,2.3630276585976947e-36
3.453668109838439e-20,0.6839812937916739,2.6491779466223725e-24,3.414659023969419e-26,1.6813012959811734e-32,7.955267689288658e-24,0.0,0.0,1.1912713464810916e-19,2.9675333280116733e-36,1.5097888009706754e-47,4.452644624725829e-49,2.0646702317867174e-50,2.25487381321943e-62,4.3861076976607655e-43,5.773981835790407e-36,1.610312183900759e-33,4.725314780148096e-49,1.675100305645016e-59,7.578608806369321e-58,2.632051079484778e-34,8.8002198085454e-53,2.437732745945239e-24,1.648569381782792e-64,3.829747081581255e-50,3.4228349920895326e-54,2.501394931357549e-37,7.03422340532346e-37,6.083536423821137e-73,8.205764118129158e-57,5.8033307783724434e-64,1.54905072759672e-57,1.0960933959180086e-50,6.953458409687718e-65,3.76,0.0,0.5541653975810933,0.9999999999999403,1.1368256686580433e-45,7.699665168601226e-48,4.1613830747371664e-16,4.1613830747371664e-16,3.638464544691361e-34,1.065516873349049e-37,5.971565169839108e-14,8.134716370207867e-38,3.1609319250367686e-39,1.1912978382594696e-19,4.660319729145931e-32,1.9118261171516888e-36,3.09162002950761e-32,1.4127715578976606e-17,4.675957011707815e-37,1.680269480993822e-32,1.023643566894718e-21,4.3354477683325847e-38,2.182141104904112e-34,2.364354425158401e-33,6.356812690094558e-42,6.602444607032833e-43,2.437732745953011e-24,6.133725667876424e-55,1.6103121845776352e-33,1.488214062178735e-34,4.512097800164489e-49,1.1780436121744285e-49,3.906390252887804e-62,6.197985542191306e-50,1.3663282957300392e-64,2.2848658071293213e-69,1.554748199518548e-73,9.087696578480543e-70,8.553237682323932e-60,2.996718029407108e-57,1.1049620160349733e-73,1.0612443768079002e-47,2.192036955888215e-54,1.155470632990344e-47,6.1711181956763405e-53,1.9006288875285428e-67,7.955267689187996e-24,6.703300665680937e-37,4.089458778426532e-54,6.496718738329578e-48,8.240500817927046e-39,1.5200440953463929e-43,6.270581034443893e-58,4.2165504562679646e-33,4.154988918168155e-55,6.572092315056187e-49,6.488554101039582e-64,1.1274383800704423e-60,1.02364356689558e-21,1.0667661252682238e-72,2.244447729543771e-55,3.071410707978983e-53,3.0361292024376597e-57,1.9336178064944784e-83,1.2910641361165508e-68,8.764300928995115e-52,8.614941302038554e-52,1.5130013004898223e-50,1.8925277431541024e-59,1.1264908935323266e-59,9.030849306954414e-57,2.6857755076214138e-48,4.863589323320639e-39,7.748473057789636e-69,7.27267771243763e-71,2.9852283775721183e-65,9.551735611665768e-36
6.931487744920504e-20,0.6839812937916742,5.316881680255468e-24,6.853196782395964e-26,6.760438564822345e-32,1.5966166621160498e-23,0.0,0.0,2.3908732618186e-19,1.1932320995077177e-35,1.2152093756831512e-46,3.583875768497398e-48,1.6618262247935639e-49,1.8149186144649728e-61,1.7636346144272158e-42,2.3216927012670272e-35,6.474994467359055e-33,3.8033444292019513e-48,1.3482664576332257e-58,6.099923692925258e-57,1.0583361628796297e-33,7.08318250373491e-52,4.892512574018341e-24,2.654970166794113e-63,3.0825136317170735e-49,2.7606180970998976e-53,1.0057999003649035e-36,2.8284302936364723e-36,9.797350764574058e-72,6.604712847600436e-56,9.353574055295126e-63,1.2493655300689807e-56,8.82231323008538e-50,1.1198620945659508e-63,3.76,0.0,0.5541653975810928,0.9999999999998801,9.150161997338932e-45,6.197360383418092e-47,8.351866730416547e-16,8.351866730416547e-16,1.4630105908510734e-33,4.284396484584569e-37,1.1984889535938563e-13,3.2709336746852756e-37,1.2709968248480624e-38,2.3909264306310275e-19,1.8738940662539562e-31,7.687369080618442e-36,1.2431268164253777e-31,2.8354226371792153e-17,1.8801817488052242e-36,6.756289682139261e-32,2.0544454804060263e-21,1.743264479744403e-37,8.774293408728247e-34,9.506965155467737e-33,2.556046424381176e-41,2.6548139381475146e-42,4.892512574049591e-24,4.9369560395375036e-54,6.474994470080773e-33,5.984043289943855e-34,3.631728853207946e-48,9.48191986556324e-49,6.30834127080349e-61,4.990872853210869e-49,2.2014664263883902e-63,3.6797059438568055e-68,2.5038740450527046e-72,1.4635455809935722e-68,6.884389801303729e-59,2.4120194810003124e-56,1.7795072626205783e-72,8.541818005937679e-47,1.76434204516115e-53,9.300232890999189e-47,4.967052798964508e-52,3.060904230239023e-66,1.5966166620755737e-23,2.6953677154812767e-36,3.291552199757925e-53,5.229124442351633e-47,3.313469135847493e-38,6.112030453743425e-43,5.051609979173245e-57,1.6954563934027124e-32,3.344296420953414e-54,5.289791654262435e-48,1.0449616348671379e-62,9.468573311456144e-60,2.0544454804094934e-21,1.7179939584426963e-71,1.8065269990609703e-54,2.4721386541649125e-52,2.4437409466032652e-56,6.263538049468419e-82,2.079219079197989e-67,7.054271864599796e-51,6.934054247509987e-51,1.2177950747182134e-49,3.0478575867007736e-58,1.814178856182112e-58,7.268813188379437e-56,2.1617457855866917e-47,1.9556278761721335e-38,1.2513804685546009e-67,1.1712423251724662e-69,4.807618272385484e-64,3.840710879389014e-35
1.3887127015084632e-19,0.6839812937916743,1.0652289349536683e-23,1.3730272299320624e-25,2.7112382324983422e-31,3.1987964484906394e-23,0.0,0.0,4.790077092493333e-19,4.78539440512599e-35,9.751289927741529e-46,2.8758346047273575e-47,1.3335108872384674e-48,1.4563578885226336e-60,7.072963608716072e-42,9.311026134444084e-35,2.596762382614245e-32,3.0519443798441284e-47,1.0818989233483592e-57,4.894804606194745e-56,4.244401365565426e-33,5.683807875990184e-51,9.80207223012958e-24,4.261815104886707e-62,2.473523059516354e-48,2.2174696797376947e-52,4.033707455468614e-36,1.1343270523805173e-35,1.57269270700557e-70,5.2998661098906615e-55,1.5020558556240299e-61,1.003558337237154e-55,7.079350757282454e-49,1.797649954644646e-62,3.76,0.0,0.554165397581092,0.9999999999997599,7.342428745789238e-44,4.9729914115645e-46,1.673283404177529e-15,1.673283404177529e-15,5.8673268166249364e-33,1.718234614620764e-36,2.401153826593521e-13,1.311790699638702e-36,5.097265735461705e-38,4.790183615369285e-19,7.515153325245402e-31,3.0829791070179625e-35,4.985494535917629e-31,5.680724795742307e-17,7.540369744578125e-36,2.7095743449792634e-31,4.116049307413438e-21,6.99127025859113e-37,3.518884096733329e-33,3.8127182367446873e-32,1.0250889381249321e-40,1.0646991288659717e-41,9.802072230254906e-24,3.9615963030296404e-53,2.5967623837058015e-32,2.3998690021094303e-33,2.9142336864030313e-47,7.608643541665227e-48,1.0140082890919082e-59,4.00573848714331e-48,3.5346704349688817e-62,5.906742971710702e-67,4.019272366585551e-71,2.3493149856448938e-67,5.524289251352808e-58,1.935493894092164e-55,2.8565032575225983e-71,6.85427100428911e-46,1.4157733771131743e-52,7.462851186755386e-46,3.9857470570055746e-51,4.913429177559372e-65,3.198796448328314e-23,1.0809630071742094e-35,2.6412633456004886e-52,4.196043046212856e-46,1.3288493220027217e-37,2.4511975794541442e-42,4.055397944188759e-56,6.799538448950779e-32,2.6835870427114297e-53,4.244724663096958e-47,1.677394848030719e-61,8.230204219628047e-59,4.1160493074273436e-21,2.7577607824216935e-70,1.4496244707009414e-53,1.9837357561236224e-51,1.9609482518893075e-55,2.0165656188154575e-80,3.3376073862276815e-66,5.660608908810875e-50,5.564141849646127e-50,9.772038533193427e-49,4.8924864244257494e-57,2.912158843950241e-57,5.832764809824598e-55,1.7346648507217976e-46,7.84294246026106e-38,2.0115575552286234e-66,1.8801033229509567e-68,7.71729205327575e-63,1.5402968426256602e-34
