Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476),S(980),S(5430),CFO(51),S(7338),S(1061),CHFO2(175),S(11877),S(5944),S(1828),CHF(40),S(1121),S(1122)
0.0,0.9551127441386992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9739719209396169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.596257566867577e-23,0.9551127441386992,6.285617009034963e-25,2.744362403016894e-25,4.746823237883269e-36,7.838970184470357e-23,0.0,0.0,2.333015304487474e-20,1.884419775514694e-38,1.5514897238346002e-52,1.841794596119649e-36,6.479183408428685e-53,1.1944146765064539e-63,4.191454281573285e-43,2.848288485408743e-38,1.4053004232017088e-35,9.033132214458242e-53,7.205188245951086e-61,8.633073793924566e-58,2.019722064046063e-35,8.754952549832364e-55,4.942318320139407e-24,6.613961510605344e-70,6.439452431845887e-54,7.155462556584388e-55,4.044553793379896e-37,5.201358493499155e-37,3.545153474335537e-75,2.0949148093047733e-57,1.0113098203407731e-69,1.1263898782254278e-59,5.444088789699555e-53,8.561966713148402e-69,3.76,0.0,0.9739719209396169,0.9999999999999993,2.7739626661198004e-51,1.6639457325187412e-51,7.735607030490678e-17,7.735607030490678e-17,2.2840150708572127e-35,4.711934055070516e-38,5.389884393673096e-16,2.929648375923966e-39,3.1597221550899126e-40,2.333078160657483e-20,1.0185374419046138e-34,3.206128701213566e-37,2.472238823404709e-34,4.845041435422516e-18,8.589669667060705e-39,4.588725354750713e-36,5.271248285898201e-21,2.3737110877479092e-39,1.555195765130085e-35,7.941226809712963e-36,2.7875868626775264e-42,3.95958833506097e-43,4.9423183201394896e-24,4.480526515207193e-58,1.4048872173338662e-35,2.030765408437598e-38,3.8174577394479773e-51,4.7762414817648293e-54,6.517668492395689e-66,9.963416659285054e-54,3.5709718816062305e-71,2.756550772938938e-75,2.588270055167735e-79,2.4430406175492614e-73,1.6820960491966488e-62,1.0054637138532154e-58,1.1370742635412333e-79,3.822655556695413e-39,4.127110509373964e-59,2.6979410118719554e-53,6.653016233581252e-58,8.059003914993126e-70,7.838970184469871e-23,3.464374187396143e-40,9.108663916073874e-57,1.1683961606786387e-52,2.7115978410363685e-39,3.223547726505973e-45,8.367584386429492e-60,1.7808923243595563e-19,1.3733462203191853e-58,9.421325401884762e-52,7.867408350413698e-70,8.510813121071522e-62,5.271248285898459e-21,3.3642547925293665e-75,1.613072670966462e-56,7.696428094671e-55,1.3284425858241726e-58,1.319005946895169e-76,3.789181982649057e-73,3.908800797736985e-55,1.437195432738748e-55,1.9500189082199332e-54,7.213665788863383e-67,5.830082912286237e-67,2.6937901599533295e-60,1.441716964746405e-52,1.3505956557766093e-39,1.0532292819520534e-72,1.062010786459894e-74,5.931321529932743e-39,9.384189548039822e-39,6.119789695070269e-57,1.8209650765811e-74,1.5754321160658915e-37,2.9622911360368166e-103,8.300904738963698e-57,3.838066571168598e-42,1.9851493837428585e-57,4.3595179490573425e-76,3.1044363937884167e-72,1.780892324359556e-19,4.5102806001622125e-41,4.948381183975528e-40
1.8469521187229216e-22,0.9551127441386992,1.7599727642657018e-24,7.6842147284478155e-25,2.867081235681536e-35,2.194911651651701e-22,0.0,0.0,6.532442852564924e-20,1.1381895444108748e-37,1.841929270921408e-51,1.112443936056268e-35,7.69208654248659e-52,1.4180091039486869e-62,2.5316383860705594e-42,1.7203662451868738e-37,8.488014556138237e-35,1.0724135478537067e-51,8.553999485616623e-60,1.0249185208161676e-56,1.2199121266838226e-34,1.039387966716081e-53,1.38384912963904e-23,1.4795167340763441e-68,7.64491792708728e-53,8.545085207583644e-54,2.442910491201479e-36,3.14162053007333e-36,7.930366515976592e-74,2.4870828616065002e-56,2.396648725613815e-68,1.702200383974847e-58,6.463222212728983e-52,1.915281481932552e-67,3.76,0.0,0.9739719209396167,0.9999999999999984,3.2932484777529886e-50,1.9754363736462508e-50,2.1659699685373897e-16,2.1659699685373897e-16,1.3795451027976396e-34,2.8460081692625047e-37,1.5091676302281954e-15,1.769507619058355e-38,1.9084721816746665e-39,6.53261884984086e-20,6.151966149103417e-34,1.9365017355702394e-36,1.4932322493364254e-33,1.3566116019183044e-17,5.188160478907587e-38,2.771590114269429e-35,1.4759495200514023e-20,1.4337214970000242e-38,9.393382421384524e-35,4.7965009930664865e-35,1.6837024650571258e-41,2.3915913543769693e-42,1.3838491296390895e-23,5.319281078853709e-57,8.485518792696468e-35,1.2265823066962156e-37,4.5320858282726e-50,5.6703538871511835e-53,8.324685547751196e-65,1.4582192911223538e-52,9.764581061405193e-70,6.166293817032994e-74,5.789856582607281e-78,5.46498416090227e-72,1.996984429605895e-61,1.1936865211079907e-57,2.5435896445707e-78,2.3088839562438254e-38,4.8997055967289444e-58,3.2029955692941724e-52,7.89846087250727e-57,1.8027669397682836e-68,2.1949116516514076e-22,2.092482009187245e-39,1.0813805801163927e-55,1.3871199219575918e-51,1.6378050959859767e-38,1.947022826810788e-44,1.1389981505413811e-58,4.986498508206758e-19,1.6304366326589086e-57,1.1184997517187237e-50,1.759907778364512e-68,1.0104492227946196e-60,1.4759495200515585e-20,7.525703400978784e-74,1.915040301167136e-55,9.137199470870487e-54,1.5771270378934303e-57,4.147165737991539e-75,8.476248560586487e-72,4.6405283070732345e-54,1.706238417749165e-54,2.315062447838485e-53,1.6136681823050556e-65,1.30416622714709e-65,3.198067677897648e-59,1.7116063805465238e-51,8.157597760892239e-39,3.3115213791423363e-71,2.375676155535298e-73,3.5825182040791666e-38,5.668050487015981e-38,7.265414325988385e-56,4.073426037709183e-73,9.515609981037976e-37,2.285836551208706e-101,9.854834106096939e-56,2.318192208985807e-41,2.3567693483791073e-56,1.3707021954707871e-74,9.754272305886236e-71,4.986498508206756e-19,2.7242094824980583e-40,2.9888222351208436e-39
4.2216048427952495e-22,0.9551127441386994,4.022794897933759e-24,1.7563919379311698e-24,1.3803761975765166e-34,5.016940918061035e-22,0.0,0.0,1.49312979487198e-19,5.4798927071967205e-37,1.808417374616268e-50,5.355938685515934e-35,7.552136180864652e-51,1.3922097469366088e-61,1.218874905081953e-41,8.282822915568517e-37,4.08661363067044e-34,1.0529020206392945e-50,8.39836741955102e-59,1.0062710814241598e-55,5.873351762245954e-34,1.0204772692084056e-52,3.163083724889261e-23,2.923275746641619e-67,7.505825754559064e-52,8.411577641736597e-53,1.1761562431149077e-35,1.512555049909314e-35,1.5669067854680586e-72,2.441832701725247e-55,4.854196631636909e-67,1.831149497235728e-57,6.34562989554254e-51,3.784276794481918e-66,3.76,0.0,0.9739719209396164,0.9999999999999966,3.2333308843898086e-49,1.9394951458238133e-49,4.950788499514033e-16,4.950788499514033e-16,6.64191582605102e-34,1.3702304232143761e-36,3.44952601194888e-15,8.519417477190998e-38,9.188472027006757e-39,1.493170022820723e-19,2.961906881057939e-33,9.323422263687731e-36,7.189270498460604e-33,3.1008265186704094e-17,2.4978759391855527e-37,1.3344013331615038e-34,3.373598902974192e-20,6.902751843175143e-38,4.5225092849964994e-34,2.309308756264314e-34,8.106302596664747e-41,1.151448287835945e-41,3.1630837248895005e-23,5.222501706124664e-56,4.085412028006755e-34,5.9054658077351305e-37,4.44962874110044e-49,5.567187071145012e-52,9.351116226180774e-64,1.552350546577488e-51,2.100597331205725e-68,1.2183557473075707e-72,1.1439780932948808e-76,1.0797887794002995e-70,1.9606511549424768e-60,1.171968504933766e-56,5.025704506155164e-77,1.1116282358867191e-37,4.810560009726833e-57,3.1447200434372886e-51,7.754755721861083e-56,3.561963680770466e-67,5.016940918059622e-22,1.0074400136947586e-38,1.0617058660578642e-54,1.3618825648867457e-50,7.885326521733899e-38,9.374076788697065e-44,1.1820755517846583e-57,1.1397710875901165e-18,1.6007723540814742e-56,1.09814968885354e-49,3.477281200232647e-67,9.921613934543892e-60,3.3735989029749424e-20,1.4869521731980802e-72,1.8801981106299127e-54,8.970956639813625e-53,1.5484326780455372e-56,9.252098626199664e-74,1.67476388177119e-70,4.556098209841868e-53,1.6751949964056252e-53,2.2729420394204693e-52,3.188336401886887e-64,2.576812694036378e-64,3.139881810444867e-58,1.680465294107142e-50,3.92753216700061e-38,7.387822030329786e-70,4.693936195635113e-72,1.7248283009041248e-37,2.7289223205698716e-37,7.13322686857677e-55,8.048403419519355e-72,4.581356593519596e-36,2.4912164898068543e-99,9.675534563733702e-55,1.1161097588957889e-40,2.313890121689389e-55,3.057961195872749e-73,2.1757110515161926e-69,1.1397710875901154e-18,1.311589598527293e-39,1.438989248299519e-38
8.970910290939906e-22,0.9551127441386994,8.548439193044466e-24,3.732332868104762e-24,6.028465512112393e-34,1.066099945087972e-21,0.0,0.0,3.172900814102948e-19,2.393213114903651e-36,1.5995248049070268e-49,2.3390791370719476e-34,6.679778926754004e-50,1.2313937548925258e-60,5.32314693760263e-41,3.6173263764689936e-36,1.784731537466036e-33,9.312799294182989e-50,7.428260874191677e-58,8.900353758673721e-55,2.5650470213385012e-33,9.026005880774022e-52,6.721552915389795e-23,5.201813001124429e-66,6.638817879134781e-51,7.448667363730996e-52,5.136583317592819e-35,6.605725286741443e-35,2.788226905290715e-71,2.1597733718000168e-54,8.734879288779317e-66,1.6831418672397273e-56,5.612637780913463e-50,6.7339210908726835e-65,3.76,0.0,0.9739719209396158,0.9999999999999927,2.8598445510289436e-48,1.715461492397426e-48,1.0520425561467316e-15,1.0520425561467316e-15,2.9006991399868457e-33,5.984156249938209e-36,7.330242775385901e-15,3.7206534374276423e-37,4.012847136969613e-38,3.172986298493846e-19,1.2935425512181585e-32,4.071783451118532e-35,3.1397433057236816e-32,6.589256352174617e-17,1.0908880477211129e-36,5.827681200533368e-34,7.168897668818272e-20,3.014613081444171e-37,1.975098621713359e-33,1.0085358048333232e-33,3.5402353155989077e-40,5.02867718552965e-41,6.721552915390845e-23,4.619243616116243e-55,1.7842067660138777e-33,2.5790720687142975e-36,3.935646231061028e-48,4.924113918040114e-51,1.035025134155511e-62,1.4209567293296577e-50,3.8768957425257116e-67,2.167998955835249e-71,2.0356478945020955e-75,1.921426441846976e-69,1.73417374287739e-59,1.0365928705736348e-55,8.942972646333933e-76,4.854772557000004e-37,4.254885850745323e-56,2.7814692655981184e-50,6.85899361617036e-55,6.338324054941494e-66,1.066099945087355e-21,4.3997552179926914e-38,9.390668150921511e-54,1.2045697058126697e-49,3.4437292581163275e-37,4.093905612680868e-43,1.0708703809286059e-56,2.4220135611289986e-18,1.4158650186228086e-55,9.71300963642559e-49,6.187636105398491e-66,8.777269232390824e-59,7.168897668821545e-20,2.645951945058559e-71,1.6630140107834717e-53,7.934709562122356e-52,1.3695711682996717e-55,1.7328156777313543e-72,2.9801528481093524e-69,4.029817270434159e-52,1.4816910033475549e-52,2.0103914936169832e-51,5.673474274989041e-63,4.585300510459333e-63,2.777189903312344e-57,1.4863525219722902e-49,1.715256482838577e-37,1.3836573036702602e-68,8.35260903013957e-71,7.532778343011311e-37,1.1917920726009447e-36,6.309258384035574e-54,1.4321703860494446e-70,2.000798787403665e-35,2.0379697687547496e-97,8.557900749676996e-54,4.874344545383714e-40,2.0466096086608354e-54,5.72722288874698e-72,4.074566798660688e-68,2.422013561128994e-18,5.7280563622072674e-39,6.284444103643092e-38
1.8469521187229215e-21,0.9551127441386997,1.7599727894364243e-23,7.68421472845521e-24,2.516765680726285e-33,2.1949116516517165e-21,0.0,0.0,6.532442852564852e-19,9.991193649778813e-36,1.344497023407179e-48,9.765194948626312e-34,5.61475667481043e-49,1.03506064802826e-59,2.222309060094257e-40,1.510162554963618e-35,7.45090284381425e-33,7.827969008062631e-49,6.243900851192486e-57,7.481283620795214e-54,1.0708566383572227e-32,7.586901800441831e-51,1.3838491296391238e-22,8.773617939366832e-65,5.580326446196815e-50,6.26451196093944e-51,2.1444224212503375e-34,2.757760273251016e-34,4.70275221178237e-70,1.8154196551050572e-53,1.4811672601114477e-64,1.4399633036543118e-55,4.717760241763929e-49,1.1357744390733379e-63,3.76,0.0,0.9739719209396147,0.9999999999999849,2.4038716637379203e-47,1.441948748668823e-47,2.165969968537387e-15,2.1659699685373868e-15,1.2109847905668605e-32,2.498267435997174e-35,1.5091676302242548e-14,1.5532995689186554e-36,1.6752846866335327e-37,6.532618849839484e-19,5.40028551697195e-32,1.6998894379030067e-34,1.3107810241689063e-31,1.3566116019183022e-16,4.554242857515047e-36,2.432942183088793e-33,1.475949520050043e-19,1.2585416187278184e-36,8.245647946703071e-33,4.210438454507803e-33,1.4779785545902283e-39,2.0993737352513225e-40,1.383849129639562e-22,3.8827525896511063e-54,7.448712026302964e-33,1.0767118195523062e-35,3.308147797681314e-47,4.1390144482334113e-50,1.2193564433332834e-61,1.2133994396623354e-49,6.650141719776328e-66,3.656647120402664e-70,3.433417710625217e-74,3.2407665376088684e-68,1.4576775226926965e-58,8.713187672588804e-55,1.5083630500377601e-74,2.026771976157053e-36,3.576487933657397e-55,2.3379925138295167e-49,5.765397419757116e-54,1.0690509947577712e-64,2.1949116516491398e-21,1.8368111941570644e-37,7.893422411057676e-53,1.0125134185044851e-48,1.4376891753176055e-36,1.7091250046099204e-42,9.101772092024931e-56,4.9864985082067684e-18,1.1901198597599246e-54,8.164369852153114e-48,1.0436352695660386e-64,7.38070718911795e-58,1.4759495200514097e-19,4.4627846971645965e-70,1.3978635101542332e-52,6.669601492743167e-51,1.1512070898269937e-54,2.9930081624670488e-71,5.026463369492196e-68,3.3873042305047225e-51,1.2454505669048222e-51,1.68985518555825e-50,9.569143617173996e-62,7.733779512485668e-62,2.33439545198544e-56,1.2493688541729646e-48,7.160858166948039e-37,2.3899239008198783e-67,1.408789627024303e-69,3.144786675167394e-36,4.975497298369695e-36,5.303311833123455e-53,2.4155646864982166e-69,8.352941079381196e-35,1.4667416437633199e-95,7.193431232300997e-53,2.034942896033226e-39,1.7202986935565172e-53,9.892353280563345e-71,7.037569506899117e-67,4.9864985082067476e-18,2.391350774207135e-38,2.623631703738579e-37
3.746674297980784e-21,0.9551127441387002,3.570230574139723e-23,1.558797844916916e-23,1.0281809006189559e-32,4.452535064779234e-21,0.0,0.0,1.3251526929488533e-18,4.081728610555765e-35,1.1022999092959047e-47,3.989400766978949e-33,4.603316751320056e-48,8.486052549861787e-59,9.07885763209372e-40,6.169506790933927e-35,3.0439369286708035e-32,6.417841963888447e-48,5.119127158637984e-56,6.133608312586722e-53,4.374798779606334e-32,6.220200477300022e-50,2.8072368058395606e-22,1.4410693810929993e-63,4.57508876971354e-49,5.137401558494382e-50,8.760665298615271e-34,1.1266350551239974e-33,7.724284629982295e-69,1.4883907162894833e-52,2.439212379689039e-63,1.1905895056299337e-54,3.8679048813102914e-48,1.865513106262537e-62,3.76,0.0,0.9739719209396124,0.9999999999999694,1.9708392257560642e-46,1.1821967030324343e-46,4.393824793318693e-15,4.393824793318693e-15,4.947268004065725e-32,1.0206237640634666e-34,3.061454335588628e-14,6.345735568218184e-36,6.8440845768520355e-37,1.325188395252832e-18,2.206192840657724e-31,6.9446030163756896e-34,5.354968181045239e-31,2.75198353531998e-16,1.8605568085973583e-35,9.939362667403942e-33,2.9940690263840745e-19,5.141553164538238e-36,3.3686162350882796e-32,1.7201014918893635e-32,6.038024648022207e-39,8.576626717292361e-40,2.80723680584135e-22,3.183315159023808e-53,3.043041908232835e-32,4.3987191052810965e-35,2.7122194344100956e-46,3.393414113381515e-49,1.5724778017631752e-60,1.0023789110878216e-48,1.1011730607102703e-64,6.006053875476773e-69,5.6393988995971745e-73,5.32296877222102e-67,1.1950921022660874e-57,7.143597684841634e-54,2.47749083900914e-73,8.280024842000368e-36,2.9322208903136755e-54,1.9168275183931793e-48,4.726821135353122e-53,1.7559194690484554e-63,4.452535064768705e-21,7.503973064864396e-37,6.4715045930893196e-52,8.30119673973155e-48,5.873429387599445e-36,6.9823333176603e-42,7.502160252063199e-55,1.0115468402362324e-17,9.757321639626299e-54,6.693643675244566e-47,1.7141740641009774e-63,6.055878413023761e-57,2.994069026389657e-19,7.330137270452793e-69,1.1460529736295882e-51,5.468142266962131e-50,9.438291252719462e-54,4.972927826201525e-70,8.2559811822447e-67,2.7771166604681546e-50,1.0210956217203148e-50,1.3854453778683263e-49,1.5717347125454957e-60,1.270275607228998e-60,1.9138784297812616e-55,1.0243080703335207e-47,2.9254442142556503e-36,3.9708943055468233e-66,2.3139412168089743e-68,1.2847479686670576e-35,2.0326529928627534e-35,4.347975453409056e-52,3.96757225106491e-68,3.41244898068323e-34,9.942052457644608e-94,5.897609533041555e-52,8.313405715810951e-39,1.410404805042571e-52,1.6436292928307899e-69,1.1692844279759471e-65,1.0115468402362243e-17,9.76944819118493e-38,1.0718391579693942e-36
7.546118656496508e-21,0.9551127441387008,7.190746321303702e-23,3.1395505890649265e-23,4.1560715922862385e-32,8.967781891034386e-21,0.0,0.0,2.6689695083335394e-18,1.6498999656122722e-34,8.926710529501293e-47,1.6125795750433215e-32,3.7278852542663226e-47,6.8722253706849e-58,3.669819413351487e-39,2.4938132868219744e-34,1.2304079749325657e-31,5.197334826198793e-47,4.1456018957725076e-55,4.967155036295133e-52,1.7683636137314012e-31,5.03727961610243e-49,5.654012158241029e-22,2.33603556664532e-62,3.7050255028978285e-48,4.1609499518518746e-49,3.5412009846883875e-33,4.5540390262506214e-33,1.2521398249326259e-67,1.205337391184305e-51,3.95921180962991e-62,9.68167613182023e-54,3.132329655109118e-47,3.0240772801899598e-61,3.76,0.0,0.9739719209396078,0.9999999999999383,1.596036702481391e-45,9.573735406346973e-46,8.849534442881286e-15,8.849534442881283e-15,1.999764827247512e-31,4.125524438040427e-34,6.166027746289547e-14,2.565047776269639e-35,2.766488413478424e-36,2.6690414157896272e-18,8.91778420180303e-31,2.807119575708715e-33,2.1645637573524574e-30,5.54272740212332e-16,7.520668097929643e-35,4.0176493069010375e-32,6.030308039042537e-19,2.0782979954824237e-35,1.3616485417565253e-31,6.952925250776553e-32,2.4406661024338584e-38,3.466809647599861e-39,5.654012158248267e-22,2.5779311487918442e-52,1.230046193361399e-31,1.7780325918176089e-34,2.196425617022085e-45,2.74807472921812e-48,2.201105709548835e-59,8.147685228879e-48,1.7921516691882315e-63,9.736072150551775e-68,9.14170863440184e-72,8.628761768536355e-66,9.678165692640521e-57,5.785070619069706e-53,4.0161194123338904e-72,3.346918427333679e-35,2.3745884999393615e-53,1.5522966215006366e-47,3.8279023065160964e-52,2.8464211270330577e-62,8.967781890991822e-21,3.0332258910237304e-36,5.24079220458588e-51,6.72252434287903e-47,2.3741340665245538e-35,2.8223707649614396e-41,6.091391535508029e-54,2.037340819067351e-17,7.901732021893316e-53,5.420686192641824e-46,2.778750026675717e-62,4.911866438073298e-56,6.0303080390651e-19,1.1882468406910393e-67,9.28103417680083e-51,4.428243382353211e-49,7.643372961147416e-53,8.107127459013242e-69,1.3383301280861952e-65,2.2489810732568067e-49,8.269097081898716e-50,1.1219695870911417e-48,2.5478496996528666e-59,2.0591714991926607e-59,1.5499083731037656e-54,8.29511232329303e-47,1.1825113252381012e-35,6.473559920013794e-65,3.7509984463272944e-67,5.193156702869039e-35,8.216308390400063e-35,3.5211032510619706e-51,6.431605593287171e-67,1.3793664383571494e-33,6.546293774435005e-92,4.776037105696876e-51,3.360411510250992e-38,1.1421823783304291e-51,2.679530577926377e-68,1.906214192849656e-64,2.0373408190673177e-17,3.948967158918696e-37,4.332545248830874e-36
1.5145007373527958e-20,0.9551127441387024,1.443177852666118e-22,6.301056077381833e-23,1.6711381081930157e-31,1.799827554354516e-20,0.0,0.0,5.356603139102713e-18,6.634175196489961e-34,7.184993269755151e-46,6.484111547422705e-32,3.0005263713224188e-46,5.531364848481621e-57,1.4756182456681657e-38,1.0027513544415391e-33,4.947416351891699e-31,4.183267230107293e-46,3.3367410655322813e-54,3.997998506299103e-51,7.110512315356711e-31,4.054440868456706e-48,1.1347562863046347e-21,3.762113264112684e-61,2.98212685466169e-47,3.3493138010602836e-48,1.4239013411763554e-32,1.8311590630577162e-32,2.0165325874115528e-66,9.701603944047592e-51,6.38031632763996e-61,7.808622543341562e-53,2.5211714129607623e-46,4.8701833486213954e-60,3.76,0.0,0.9739719209395986,0.9999999999998762,1.2846291902155413e-44,7.705775151179419e-45,1.7760953742006386e-14,1.776095374200638e-14,8.040966417463352e-31,1.6588552318169377e-33,1.2375174567580076e-13,1.0313944293587454e-34,1.1123928236153947e-35,5.3567474568593265e-18,3.585801805687196e-30,1.1287304367121113e-32,8.703615667333894e-30,1.1124215135729944e-15,3.0240275651895014e-34,1.6154791160412122e-31,1.2102786064321054e-18,8.356744833078239e-35,5.475128898877057e-31,2.7957406632553215e-31,9.813811053451864e-38,1.393988911722829e-38,1.1347562863075447e-21,2.074943263481539e-51,4.945961644105812e-31,7.149390850946984e-34,1.7678744212883549e-44,2.2118896191722727e-47,3.2649750602355464e-58,6.570013562594892e-47,2.8918846596511583e-62,1.5679644051993755e-66,1.4722439932396798e-70,1.3896354837133355e-64,7.7898297307237155e-56,4.65632812980427e-52,6.46783650341111e-71,1.3457811793407255e-34,1.9112754092865315e-52,1.2494233677318479e-46,3.081028796247709e-51,4.5840734748089024e-61,1.7998275543374005e-20,1.219646790167463e-35,4.218245504892355e-50,5.41087243752487e-46,9.546288663289004e-35,1.1348628714002778e-40,4.909252073530271e-53,4.088928776729617e-17,6.360001338161109e-52,4.363039836873115e-45,4.475091253847307e-61,3.965826903143187e-55,1.2102786064411783e-18,1.9136349099774205e-66,7.470183780611923e-50,3.5642355275804855e-48,6.152051518306687e-52,1.309303250195505e-67,2.1553394157899264e-64,1.8101756246853178e-48,6.6556887271664344e-49,9.030587328330129e-48,4.103233395364197e-58,3.316232218672995e-58,1.247501097683494e-53,6.676628056137554e-46,4.7548260301029185e-35,1.045481656257079e-63,6.040867376509313e-66,2.088145469882303e-34,3.303741467139848e-34,2.834090225538681e-50,1.0357902532687391e-65,5.546371781893723e-33,4.249255234449579e-90,3.8441701684814407e-50,1.3512066886441368e-37,9.193277456902307e-51,4.327449040734461e-67,3.0785294128176407e-63,4.088928776729482e-17,1.5878623264158927e-36,1.74209738931369e-35
3.034278480759086e-20,0.9551127441387053,2.891384578149422e-22,1.2624067054099187e-22,6.7020112486542185e-31,3.605926284856854e-20,0.0,0.0,1.0731870400640258e-17,2.6606009745301092e-33,5.765504615638821e-45,2.6004187394934626e-31,2.407733446438338e-45,4.438571937811372e-56,5.917889151614221e-38,4.02148142281326e-33,1.9841352357104408e-30,3.356808500910831e-45,2.677524565441532e-53,3.2081420167428937e-50,2.8516334638942378e-30,3.253433457161754e-47,2.273466427266651e-21,6.039024971289873e-60,2.3929689930696544e-46,2.687701045833324e-47,5.710481233564727e-32,7.343766848718713e-32,3.236981399572723e-65,7.784926179367571e-50,1.0245128288706853e-59,6.272310278282498e-52,2.0230812810754474e-45,7.81772295039048e-59,3.76,0.0,0.9739719209395802,0.999999999999752,1.0308340220303196e-43,6.183399266045324e-44,3.558379234025626e-14,3.5583792340256235e-14,3.224787174378523e-30,6.652751420694487e-33,2.479346820971591e-13,4.136352964247594e-34,4.461192752658938e-35,1.0732159538983165e-17,1.438066902971738e-29,4.5267139001135673e-32,3.490539161319829e-29,2.228719060294296e-15,1.2127703066693686e-33,6.478793796018839e-31,2.424774211472446e-18,3.3514284427004785e-34,2.1957715695368463e-30,1.1212170485181319e-30,3.93577716582969e-37,5.590519012833386e-38,2.27346642727832e-21,1.6650112935698264e-50,1.983551832824939e-30,2.8672254955210537e-33,1.4186078862400486e-43,1.774902119442174e-46,5.016545800227799e-57,5.276837812801534e-46,4.646657995177447e-61,2.5169301220512304e-65,2.3632776619683513e-69,2.2306727150730718e-63,6.250847772405714e-55,3.7364100881858937e-51,1.0382309997401923e-69,5.397184444435057e-34,1.5336781480391883e-51,1.0025835666602468e-45,2.472331572555639e-50,7.358453146190905e-60,3.6059262847882135e-20,4.891329128922586e-35,3.3848763618924224e-49,4.341884366231547e-45,3.8284887221776975e-34,4.5513076945161e-40,3.941911924376667e-52,8.192104692054265e-17,5.103500489710052e-51,3.5010646944300884e-44,7.183512545561714e-60,3.202113604484752e-54,2.4247742115088343e-18,3.0718078516575648e-65,5.994352075379505e-49,2.860074550993483e-47,4.9366339019830036e-51,2.1046667351510438e-66,3.4597971071635736e-63,1.4525519379260052e-47,5.340771043665453e-48,7.24647760436407e-47,6.586598328368883e-57,5.323287145439957e-57,1.0010410660619295e-52,5.3575735355244925e-45,1.9068979029097773e-34,1.6805812279657789e-62,9.696930002007935e-65,8.374397280048833e-34,1.3249480917693716e-33,2.2741789212658657e-49,1.6626727494512975e-64,2.2243431520800192e-32,2.738756631761704e-88,3.084704462791859e-49,5.4189431634169834e-37,7.377026186592472e-50,6.95624794495559e-66,4.948636850047332e-62,8.192104692053723e-17,6.368038117736858e-36,6.986589703129269e-35
