Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948)
0.0,0.4648851841569586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5032410289131382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.678468742494205e-21,0.4648851841569586,1.0782392938134518e-29,2.9807354726288302e-34,1.0619295126016384e-37,1.5338056886565561e-31,0.0,0.0,7.701003194469228e-24,1.952600090062727e-42,2.763104876837385e-55,4.848947679232566e-57,4.5574809023185387e-63,1.157351301715365e-75,1.2945335556151101e-53,1.2811326268729275e-43,4.873328170548608e-41,2.4633391082005728e-57,1.928754724471327e-74,2.2411786566400092e-73,9.724769188281354e-44,1.4287737856041899e-65,1.1508589866980037e-31,1.9216310149581205e-75,9.842399819201227e-60,3.050660503863609e-67,7.365240418562231e-50,1.787735647784011e-48,3.784493138106051e-90,1.269772964107667e-72,3.39985095566004e-75,4.545640185548899e-71,1.255437815378783e-63,1.0956577438511628e-76,3.76,0.0,0.5032410289131382,0.9999999999999994,1.335697819018425e-51,6.841568038727475e-57,1.1806114512464939e-20,1.1806114512464939e-20,2.2641816474355473e-43,8.483538237561463e-49,4.89897948261706e-16,1.404873621740569e-46,8.149520469658883e-49,7.701013976862086e-24,3.1063377141788985e-38,2.79784841762063e-46,8.376450533118484e-39,5.1746641262724216e-23,1.6647608768659286e-45,1.0617917335245813e-37,3.558506561429468e-29,3.641434407414031e-47,9.154980912501318e-44,4.5587926244491165e-40,6.889504354608333e-53,3.591397572157658e-54,1.1508589866993176e-31,5.729940163097584e-66,4.873328170548621e-41,3.0365040275602416e-38,7.50091705583563e-61,5.471743767567994e-73,2.8977290754754873e-75,1.5459249531379966e-58,3.6064973427405005e-73,2.036766204404793e-80,6.876520984617733e-85,2.36696015603743e-84,1.647910731114216e-71,4.2804333476479655e-71,7.32068674591543e-85,1.171840598096738e-55,2.0017443705387873e-62,8.801573579901946e-54,8.423125787125285e-61,3.2613209192531107e-84,1.533805688653952e-31,1.3765447743515484e-41,1.0877389025336054e-62,2.6016020100019114e-55,3.742877416697297e-49,2.2590334247612842e-52,2.220892207274306e-72,2.9267679497276766e-40,1.2670316473563767e-65,4.2359490805659424e-59,1.7321503964017122e-73,1.639918141285403e-73,3.55850656142717e-29,2.50613934411539e-89,1.366366095755122e-69,1.5584018893442518e-66,1.1955979673121469e-70,3.9830008203924046e-107
2.1499712478983775e-20,0.4648851841569586,3.019070023032158e-29,8.346059323765023e-34,6.414054256113803e-37,4.29465592824143e-31,0.0,0.0,2.156280894451385e-23,1.1793704543978876e-41,3.280358109781248e-54,5.756670686563611e-56,5.410641327237752e-62,1.374007465393922e-74,7.818982675905472e-53,7.73804106629662e-43,2.9434902150113327e-40,2.9244761892510275e-56,2.289817616706341e-73,2.6607273011655793e-72,5.873760589721937e-43,1.696240238268988e-64,3.22240516275026e-31,4.298611715220505e-74,1.1684897065355077e-58,4.609929074716381e-66,4.448605212811403e-49,1.0797923312615223e-47,8.466948871861606e-89,1.507474462988593e-71,7.801926511489193e-74,6.869371448710134e-70,1.4904557752260237e-62,3.44302957758927e-75,3.76,0.0,0.5032410289131382,0.9999999999999987,1.5857404507386533e-50,8.122309575577191e-56,3.305712063490183e-20,3.305712063490183e-20,1.3675657150490123e-42,5.1240570954861445e-48,1.3717142550990496e-15,8.485436675311668e-46,4.92231036389629e-48,2.1562839135213598e-23,1.8762279793639663e-37,1.689907493166584e-45,5.059376122003519e-38,1.4489059553562746e-22,1.0055155696269293e-44,6.413222070488454e-37,9.963818372002261e-29,2.199426382112021e-46,5.529608471150534e-43,2.753510745167087e-39,4.161260630178762e-52,2.1692041363024173e-53,3.2224051627581967e-31,6.802584961635505e-65,2.9434902150113404e-40,1.8340484326460691e-37,8.90508872868772e-60,1.2240262270985261e-71,9.11092379088699e-74,1.8356531408569094e-57,8.068980394348652e-72,4.55616452860918e-79,1.5382502381717254e-83,5.294814562874756e-83,1.956399619965913e-70,5.081749881960287e-70,1.6376083422701594e-83,1.3912091580399397e-54,2.376470917340699e-61,1.044922815405857e-52,9.999934934389226e-60,7.295444443532163e-83,4.294655928225701e-31,8.314330437083299e-41,1.2913636250601747e-61,3.088621906274134e-54,2.26069795968514e-48,1.3644561885626084e-51,3.356211256553971e-71,1.7677678416355137e-39,1.5042199142904706e-64,5.0289187484478076e-58,3.8747511507341103e-72,3.611075797375071e-72,9.96381837198838e-29,5.606133467212331e-88,1.6221620876874718e-68,1.8501418093044716e-65,1.4194141013484942e-69,1.9027323461624953e-105
4.914219995196291e-20,0.4648851841569586,6.900731482887544e-29,1.9076707027654593e-33,3.088091022645422e-36,9.816356407423468e-31,0.0,0.0,4.928642044460313e-23,5.678161061902417e-41,3.2206750444413505e-53,5.651933420427474e-55,5.312199739758546e-61,1.3490086772714929e-73,3.764503579714047e-52,3.7255336789226807e-42,1.417163831995496e-39,2.87126806450404e-55,2.2481565307978969e-72,2.612317842187187e-71,2.827962879952218e-42,1.6653787244992942e-63,7.365497514838168e-31,8.493332371247399e-73,1.1472301229259019e-57,4.959072476558348e-65,2.1418119137176185e-48,5.198735263755595e-47,1.6736489883736107e-87,1.480047366963805e-70,1.5589115970141208e-72,7.389756337862518e-69,1.463338318812603e-61,7.680018361492742e-74,3.76,0.0,0.5032410289131382,0.9999999999999969,1.5568893778478098e-49,7.97453170594054e-55,7.555913287977561e-20,7.555913287977561e-20,6.584240230711701e-42,2.467012919481406e-47,3.1353468686388273e-15,4.085372492019523e-45,2.36988055290795e-47,4.928648945191568e-23,9.03323007283092e-37,8.136248932296647e-45,2.435871815030787e-37,3.3117850408143256e-22,4.841124629924748e-44,3.087690361089456e-36,2.277444199314684e-28,1.058929125725949e-45,2.6622684493549895e-42,1.325696895189535e-38,2.0034678663130953e-51,1.0443784180622346e-52,7.365497514876383e-31,6.6788182541253e-64,1.4171638319955002e-39,8.830153712140439e-37,8.743068920280956e-59,2.4184862336821285e-70,2.0325969740714674e-72,1.802400197195218e-56,1.594428580897513e-70,9.002213329159893e-78,3.039323253277916e-82,1.0461745091982444e-81,1.920804748146788e-69,4.989333286063737e-69,3.2356381235273975e-82,1.365897401077984e-53,2.3332332402748655e-60,1.0259114164730553e-51,9.8179954172069e-59,1.4414568832884638e-81,9.81635640734774e-31,4.002992203814224e-40,1.2678684647072333e-60,3.0324273028578102e-53,1.0884287527755335e-47,6.56926919930771e-51,3.6104585568373684e-70,8.511041197808032e-39,1.476851910060381e-63,4.9374222483074205e-57,7.655855322434303e-71,7.070400023609318e-71,2.2774441993080013e-28,1.1076775016924172e-86,1.592674294958806e-67,1.8164952095880085e-64,1.393589572175217e-68,9.907563457049584e-104
1.0442717489792119e-19,0.4648851841569586,1.4664054408270203e-28,4.053800244190248e-33,1.3486504810039335e-35,2.0859757365836702e-30,0.0,0.0,1.0473364344478188e-22,2.479802114379671e-40,2.848650603823621e-52,4.9990711109609967e-54,4.6985805110880377e-60,1.1931828979998053e-72,1.6440576156160066e-51,1.627038436104033e-41,6.189126776596325e-39,2.53960408695991e-54,1.9884690208262225e-71,2.3105655478652494e-70,1.235045686911732e-41,1.4730086220045017e-62,1.5651682218947572e-30,1.5113431157624e-71,1.0147120517599629e-56,4.558213396422752e-64,9.353855331571155e-48,2.270424272685376e-46,2.9807438249421257e-86,1.3090851350762477e-69,2.7882038924994273e-71,6.7924592186653175e-68,1.2943061714785008e-60,1.4382962330214376e-72,3.76,0.0,0.5032410289131382,0.9999999999999933,1.3770510234950962e-48,7.053382985206045e-54,1.6056315736952316e-19,1.6056315736952316e-19,2.8755106922112437e-41,1.0774093561687899e-46,6.662612095178748e-15,1.7841894996084022e-44,1.0349890999877716e-46,1.04733790085316e-22,3.945048897005839e-36,3.5533767486959155e-44,1.063809217705977e-36,7.037543211730373e-22,2.114246313618312e-43,1.3484755015761912e-35,4.8395689235432e-28,4.6246216979274305e-45,1.1626825758872605e-41,5.789666633047609e-38,8.749670530280163e-51,4.561074958787698e-52,1.5651682219114463e-30,5.907339110586467e-63,6.189126776596347e-39,3.856360114996606e-36,7.733145447882082e-58,4.3035801269815746e-69,3.806829176663437e-71,1.5942601718689604e-55,2.8373092347870956e-69,1.601895763288655e-76,5.408313338738297e-81,1.8616415904947578e-80,1.6989300472656322e-68,4.413081933773381e-68,5.75764516065299e-81,1.208120782880308e-52,2.063718380397863e-59,9.074070297929084e-51,8.683905760935388e-58,2.5649955070656212e-80,2.085975736550598e-30,1.7482118634263838e-39,1.121415298775577e-59,2.6821476082306933e-52,4.753454319205148e-47,2.8689724495521226e-50,3.318633310673851e-69,3.7169952961540954e-38,1.3062585731522927e-62,4.367094064099751e-56,1.362318549548115e-69,1.2524404027005673e-69,4.839568923514014e-28,1.971052931279731e-85,1.408748508722126e-66,1.6066961432352523e-63,1.232614883957224e-67,3.953909129808623e-102
2.1499712478983773e-19,0.4648851841569586,3.019070028172308e-28,8.346059329627324e-33,5.630350275812561e-35,4.2946559282859826e-30,0.0,0.0,2.1562808944514013e-22,1.035268567751265e-39,2.3944624765880642e-51,4.2020204966684e-53,3.9494400303159816e-59,1.0029421204154676e-71,6.863616911734661e-51,6.792565187458998e-41,2.583838596024506e-38,2.1346902576854528e-53,1.6714280748471476e-70,1.942169565013925e-69,5.156072623626774e-41,1.2381525022204038e-61,3.222405162690072e-30,2.5491010672859396e-70,8.52926620491529e-56,3.89963662382099e-63,3.905050469919106e-47,9.478574404547959e-46,5.036138264609721e-85,1.1003649343279287e-68,4.714273407841642e-70,5.811091869576361e-67,1.0879423252028826e-59,2.484232401816626e-71,3.76,0.0,0.5032410289131382,0.9999999999999862,1.1574943587960095e-47,5.928793397271827e-53,3.305712063490183e-19,3.305712063490183e-19,1.200469109441616e-40,4.497971973541448e-46,1.3717142546100043e-14,7.44863994244941e-44,4.320875756078303e-46,2.156283913521013e-22,1.6469802560564268e-35,1.4835175635084025e-43,4.441194072658786e-36,1.448905955356225e-21,8.8265621691304e-43,5.629619771147088e-35,9.963818371998627e-28,1.9306885232694286e-44,4.853970879804535e-41,2.4170718494804294e-37,3.652815208748162e-50,1.9041590306907148e-51,3.222405162759747e-30,4.965474466369205e-62,2.583838596024518e-38,1.6099544354080294e-35,6.500174705910234e-57,7.25862579677226e-68,6.575350706773078e-70,1.3400945769687236e-54,4.78562374195184e-68,2.7018313428132744e-75,9.12191094130461e-80,3.1400317139827395e-79,1.4280530728597e-67,3.7095843228372486e-67,9.711110116246799e-80,1.0154983126188472e-51,1.7346796511231804e-58,7.627302839153729e-50,7.299346036095454e-57,4.326239830289603e-79,4.2946559281479106e-30,7.298440393611166e-39,9.426171287857597e-59,2.2545066762339048e-51,1.9844736063325285e-46,1.1977395219031958e-49,2.839160617299285e-68,1.5517723669455657e-37,1.0979886745386812e-61,3.670805698032227e-55,2.2977493544746815e-68,2.107657940180776e-68,9.963818371876779e-28,3.32446886375594e-84,1.1842156068214743e-65,1.3505698383449866e-62,1.0360882386669008e-66,1.405324361567422e-100
4.361370245736708e-19,0.4648851841569586,6.1243992119379065e-28,1.6930577510851474e-32,2.30018180147453e-34,8.712016311769264e-30,0.0,0.0,4.374169814458595e-22,4.2294098990795295e-39,1.9631250056352612e-50,3.445070297044134e-52,3.23798955202299e-58,8.222725455006165e-71,2.804011462688853e-50,2.774984514924499e-40,1.0555823750532007e-37,1.7501480457547627e-52,1.3703377988783088e-69,1.592307950365751e-68,2.1064239052584945e-40,1.0151122273404412e-60,6.536879044174443e-30,4.1869061574847555e-69,6.992807751341906e-55,3.2242907110027205e-62,1.5953405356200607e-46,3.872306922523653e-45,8.300374735031163e-84,9.021456544108551e-68,7.752557103230553e-69,4.804723136849689e-66,8.919608492978451e-59,4.127536646801007e-70,3.76,0.0,0.5032410289131382,0.9999999999999721,9.489838082043154e-47,4.860783029692245e-52,6.705873043080085e-19,6.705873043080085e-19,4.904308015368206e-40,1.8375683163972152e-45,2.7826203439308464e-14,3.0430124596187835e-43,1.76521873440323e-45,4.374175938856108e-22,6.728451742409686e-35,6.061084134883984e-43,1.81437269127506e-35,2.9392092237225112e-21,3.605938649715878e-42,2.2998833664833795e-34,2.021231726890307e-27,7.887492587709119e-44,1.983005485568333e-40,9.874527176240666e-37,1.4922942011704004e-49,7.779111118360105e-51,6.536879044459086e-30,4.070995968923493e-61,1.0555823750532085e-37,6.577189183819245e-35,5.329235947915771e-56,1.1922316085636002e-66,1.0925043534398596e-68,1.0986995887054588e-53,7.860470894765618e-67,4.437766093728028e-74,1.4982766111906544e-78,5.15784355157277e-78,1.1708041883289982e-66,3.0415431417161355e-66,1.595052751900776e-78,8.325668702955582e-51,1.4221951895432403e-57,6.2533236897552585e-49,5.984444887410109e-56,7.105861912130773e-78,8.712016311205196e-30,2.9816510430357987e-38,7.728144724185408e-58,1.8483807847312712e-50,8.107222199659807e-46,4.893156760172262e-49,2.347472883919368e-67,6.339496449827724e-37,9.001968558468453e-61,3.0095482919848246e-54,3.774060214422592e-67,3.457939501472392e-67,2.0212317268405283e-27,5.4604500914731365e-83,9.710187604802361e-65,1.1073524151101851e-61,8.494496345750022e-66,4.733810051234652e-99
8.78416824141337e-19,0.4648851841569586,1.2335057615769195e-27,3.409961391469975e-32,9.297702608984155e-34,1.754673707905046e-29,0.0,0.0,8.809947654473099e-22,1.7095951036542902e-38,1.5897895270145993e-49,2.789907275974013e-51,2.6222078898637146e-57,6.658976261586892e-70,1.1334262654565255e-49,1.121693109039237e-39,4.266832733064946e-37,1.4173152630254767e-51,1.1097352070058859e-68,1.2894922616175674e-67,8.514502213261363e-40,8.220642002569124e-60,1.316582680671813e-29,6.787155307305389e-68,5.662957017810297e-54,2.6219379762035e-61,6.4486215179732855e-46,1.5652483709439993e-44,1.354766934517858e-82,7.305809406470031e-67,1.2574753394245977e-67,3.90712106589518e-65,7.2233302201362e-58,6.728884586395162e-69,3.76,0.0,0.5032410289131382,0.9999999999999439,7.685116919502265e-46,3.9363881217541003e-51,1.350619500225989e-18,1.350619500225989e-18,1.98239971284894e-39,7.427744936725475e-45,5.604432519118861e-14,1.2300342897544198e-42,7.135296369492506e-45,8.809959989523851e-22,2.719747772965372e-34,2.4503354245352734e-42,7.333984511366412e-35,5.9198157604547305e-21,1.4575780562093294e-41,9.296496287038119e-34,4.0709315062686305e-27,3.188250615725984e-43,8.015625227953179e-40,3.991441764733821e-36,6.032091758214692e-49,3.144441225690562e-50,1.3165826807868706e-29,3.2967980834341997e-60,4.266832733064997e-37,2.6586050282915992e-34,4.3157534403889655e-55,1.9326570628318643e-65,1.7810578280281484e-67,8.897590385402333e-53,1.2742217630290556e-65,7.193810074468977e-73,2.428770951677444e-77,8.362163155691976e-77,9.481475866403369e-66,2.4634473312401434e-65,2.5856492438674674e-77,6.742342369738431e-50,1.1517305481185694e-56,5.064103652311825e-48,4.846358625589596e-55,1.1518908371925463e-76,1.7546737076770402e-29,1.2052310240934317e-37,6.258451958660378e-57,1.496866681981154e-49,3.2770688364318494e-45,1.9778921976428735e-48,1.908925957348407e-66,2.5625258248478274e-36,7.290017857320048e-60,2.4372102346566554e-53,6.117914242837144e-66,5.602319944498997e-66,4.070931506067415e-27,8.851624905042929e-82,7.865622868156908e-64,8.968820081288441e-61,6.879094127003179e-65,1.5538745901656322e-97
1.762976423276669e-18,0.4648851841569586,2.4756374568632135e-27,6.843768688799628e-32,3.738565326287078e-33,3.5216178614871386e-29,0.0,0.0,1.7681503334502575e-21,6.874206721069839e-38,1.2796009199016198e-48,2.245560140361959e-50,2.1105810368333254e-56,5.35972341247304e-69,4.5574571631132596e-49,4.510278656961287e-39,1.7156746757522535e-36,1.1407786271968507e-50,8.932116471493993e-68,1.037895555505428e-66,3.423643891811204e-39,6.616687863275406e-59,2.642372233010532e-29,1.0930504386036531e-66,4.558040474042813e-53,2.1146872999701254e-60,2.5929623503018763e-45,6.293794857433332e-44,2.2115729722640887e-81,5.880351001372728e-66,2.0257291130163848e-66,3.151234694232222e-64,5.813964586337826e-57,1.0867133157170221e-67,3.76,0.0,0.5032410289131382,0.9999999999998875,6.185650686871099e-45,3.1683476184127675e-50,2.7106838920619502e-18,2.7106838920619502e-18,7.971142055440854e-39,2.9866635706094177e-44,1.1248056855680212e-13,4.9459137801747325e-42,2.8690712967179387e-44,1.768152809084954e-21,1.0935986176206158e-33,9.85549206677664e-42,2.948962915982918e-34,1.1881028833917758e-20,5.860857257369546e-41,3.738080269541265e-33,8.170331065015018e-27,1.2819815514485521e-42,3.2230476501490334e-39,1.6049411785937332e-35,2.4254775656890988e-48,1.2643660951502147e-49,2.642372233473174e-29,2.6535499126628955e-59,1.715674675752291e-36,1.0690133888937802e-33,3.4736938308794664e-54,3.112477212225116e-64,2.87641314386756e-66,7.161569298494955e-52,2.0520993116500143e-64,1.1585409352809373e-71,3.911460742244622e-76,1.347047329580634e-75,7.631516643547002e-65,1.983322865032462e-64,4.164108388222957e-76,5.4268237041363904e-49,9.27012960685744e-56,4.0760311864136873e-47,3.9007710432173996e-54,1.8550846824776e-75,3.521617860570338e-29,4.8461809398914e-37,5.0373466018311065e-56,1.2048085301129719e-48,1.317694966055812e-44,7.953017538562273e-48,1.5396179398654596e-65,1.030380363773151e-35,5.867625017223597e-59,1.9616788293479143e-52,9.852712283182187e-65,9.019831132929208e-65,8.170331064205939e-27,1.4255269029169115e-80,6.334255647484449e-63,7.220807340339337e-60,5.5369429237739644e-64,5.036659173578829e-96
3.532095621547334e-18,0.4648851841569586,4.959900905515949e-27,1.371138334969891e-31,1.4993319072591404e-32,7.055506169154734e-29,0.0,0.0,3.542461469456339e-21,2.7568643515593508e-37,1.0267991517655692e-47,1.801920669574588e-49,1.6936083625331497e-55,4.300840493805595e-68,1.8277441593498164e-48,1.8088234680792931e-38,6.880622804011916e-36,9.15403004392841e-50,7.167464277775807e-67,8.328458190172777e-66,1.3730343268319314e-38,5.309475305698932e-58,5.293951337007893e-29,1.7545880281030263e-65,3.657540425029795e-52,1.698631584333203e-59,1.0398938755407642e-44,2.5240932346793176e-43,3.6456153281983505e-80,4.718611347018156e-65,3.2522277152489514e-65,2.531243093013628e-63,4.665340445275201e-56,1.746857245635766e-66,3.76,0.0,0.5032410289131382,0.9999999999997746,4.963595117531517e-44,2.5423994282100333e-49,5.430812675733872e-18,5.430812675733872e-18,3.196784481617914e-38,1.1977856735763e-43,2.2535305473544203e-13,1.983532637206936e-41,1.150625919327017e-43,3.542466429346178e-21,4.3858195805671434e-33,3.954739849633434e-41,1.182666024897798e-33,2.3803454980838154e-20,2.350465893423722e-40,1.499137377811856e-32,1.6369130182466752e-26,5.1413194120048995e-42,1.292586262030835e-38,6.436531953590581e-35,9.727249858279619e-48,5.070674409809353e-49,5.293951338863294e-29,2.129306690438842e-58,6.880622804012198e-36,4.287221817287463e-33,2.7874205336698303e-53,4.996190044163974e-63,4.62375010143831e-65,5.746714131428251e-51,3.2940774212490983e-63,1.859714779459629e-70,6.278760747275692e-75,2.1634224555427267e-74,6.12381148471119e-64,1.5923360798389497e-63,6.684316148630672e-75,4.354684244229752e-48,7.438695474242947e-55,3.2707583275749918e-46,3.1301230964653656e-53,2.9778217546446644e-74,7.055506165477956e-29,1.9435353076349232e-36,4.0421533949028384e-55,9.667829692188886e-48,5.284546167353191e-44,3.1895157425319603e-47,1.2367048604919994e-64,4.1322861076105794e-35,4.708374555961429e-58,1.574123718330875e-51,1.5815785260744922e-63,1.4476795320332628e-63,1.636913017922198e-26,2.2882863857645595e-79,5.088166329229612e-62,5.797325576214882e-59,4.4431274373215527e-63,1.6226806311433414e-94
