Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159)
0.0,0.7379256316643679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6613974918934906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7010844801492963e-22,0.7379256316643679,4.684633207786499e-26,1.2531072353519499e-27,1.7726372641094925e-36,7.016925780836667e-41,0.0,0.0,1.8292834875072507e-21,6.122453760877078e-40,2.3394892115571856e-53,7.318607896328873e-55,2.3190702517598054e-61,1.6699196819423576e-67,2.003849099811672e-46,1.1731812963784807e-39,3.6585698984158037e-37,9.687000107228929e-55,1.977953969009607e-64,1.7260780366508733e-62,1.0160691325285676e-37,6.324946441828981e-58,7.23535116005697e-26,6.275624484688106e-88,1.140596910715421e-55,1.6722440251096849e-59,4.9826963131651327e-57,1.163325104417094e-76,7.179278926756575e-89,1.895316756660483e-89,8.881048628821555e-72,9.085264225525635e-80,3.062738625353709e-71,5.533010569969124e-114,3.76,0.0,0.6613974918934906,0.9999999999999996,1.328623343740555e-51,2.467390235872861e-53,6.597099978593084e-18,6.597099978593084e-18,1.3295857845869334e-37,6.325003874984586e-41,4.3001498257300316e-16,2.5780417085826703e-41,1.2833957013524082e-42,1.8293303338393065e-21,7.408569156011512e-36,3.609549971740181e-45,6.919881838532171e-36,2.6701990429333314e-19,1.2961145405896837e-40,1.7726149018643393e-36,1.197720476817215e-37,1.5257912226084725e-41,1.9444418930135576e-38,4.280668020439017e-37,6.80662711020315e-68,3.129359426885609e-58,7.23535116005716e-26,1.0657885485531878e-82,3.65856989989086e-37,1.2144418692980478e-38,3.4378009928042903e-54,6.411933625107765e-73,1.3267868665670048e-69,1.3919864477864384e-55,2.3729481232749756e-72,3.0905793217288757e-99,2.276905762598192e-103,1.4403646710142266e-103,8.440835299719115e-88,1.2876498565011232e-67,1.4705029514997245e-103,3.237223967615487e-78
4.7630365444180295e-22,0.7379256316643679,1.3116972984041353e-25,3.508700258985549e-27,1.0706729075221328e-35,4.238223172229077e-40,0.0,0.0,5.1219937650203e-21,3.697962071569755e-39,2.7774415919607085e-52,8.688651294521489e-54,2.7532002029759187e-60,1.9825286464020242e-66,1.2103248562863035e-45,7.086015030125897e-39,2.2097762186431296e-36,1.1500406527302162e-53,2.3482269520247285e-63,2.0491998451119117e-61,6.137057560472549e-37,7.508976415739346e-57,2.0258983248159138e-25,2.998072403344812e-86,1.354116652401319e-54,2.527095170745819e-58,7.514410670736986e-56,3.6576802603464416e-75,3.4296276955988093e-87,9.054155588240012e-88,1.9866550540732972e-70,2.5621898759027363e-78,9.569277869013346e-70,4.565830305463121e-112,3.76,0.0,0.6613974918934906,0.9999999999999988,1.5773416336992314e-50,2.9292856880282416e-52,1.8471879940060637e-17,1.8471879940060637e-17,8.03069813890398e-37,3.820302340490534e-40,1.2040419512037962e-15,1.5571371919839352e-40,7.751710036172299e-42,5.122124934750007e-21,4.4747757702307823e-35,2.180294423644965e-44,4.1796086304733957e-35,7.476557320213328e-19,7.828531825161675e-40,1.0706594007260604e-35,7.23423167997574e-37,9.215778984559382e-41,1.1744429033801525e-37,2.5855234843451304e-36,8.081550627795061e-67,3.7151755115985543e-57,2.0258983248160286e-25,2.9116715346809188e-81,2.2097762195340636e-36,7.335228890559602e-38,4.081357338657233e-53,2.016014522671866e-71,4.1716301927820265e-68,1.782409080831022e-54,5.7066122198248846e-71,1.550696311527956e-97,1.142436093755485e-101,7.227021053604586e-102,1.888342461329883e-86,1.528778971519511e-66,7.37823969424934e-102,7.241540526812821e-77
1.0886940672955496e-21,0.7379256316643679,2.9981652545507684e-25,8.019886306253106e-27,5.154829164030393e-35,2.040522017972897e-39,0.0,0.0,1.1707414320046387e-20,1.7804095536630518e-38,2.7269086249910755e-51,8.530569363960473e-53,2.7031082857170296e-59,1.9464583812721896e-65,5.827193182253148e-45,3.411611209868431e-38,1.0639121264592925e-35,1.1291167324985966e-52,2.3055031463270825e-62,2.011916559520242e-60,2.954729037393075e-36,7.372357572595795e-56,4.630624742436195e-25,1.5610477492748054e-84,1.3294797591298077e-53,2.7185336667405153e-57,8.078344945626514e-55,8.160083452492092e-74,1.7858000304372338e-85,4.714480042027846e-86,3.925295606839935e-69,5.573322632713744e-77,2.131897571834412e-68,4.974050402324639e-110,3.76,0.0,0.6613974918934906,0.9999999999999972,1.5486433694788207e-49,2.875990058933349e-51,4.222143986299574e-17,4.222143986299574e-17,3.866435461577156e-36,1.8393111268452846e-39,2.752095888462933e-15,7.49694528855844e-40,3.7321146995383346e-41,1.1707714136571207e-20,2.1544119105678926e-34,1.0498464928528886e-43,2.0123016386451034e-34,1.7089273874773322e-18,3.769101084034777e-39,5.15476413462149e-35,3.482971146584106e-36,4.437000875351628e-40,5.654437024882887e-37,1.2448182603436113e-35,7.936045619594532e-66,3.647581347977741e-56,4.630624742436749e-25,6.22014957067081e-80,1.063912126888239e-35,3.5315969559178114e-37,4.007100837212615e-52,4.4976174992768856e-70,9.306677478250464e-67,1.8068761369662523e-53,1.1659450227133265e-69,6.648469884155715e-96,4.898091204215282e-100,3.098519772688669e-100,3.7317442736281566e-85,1.5011359645698332e-65,3.1633533942514946e-100,1.4308063777953336e-75
2.313474893003043e-21,0.7379256316643679,6.371101170426686e-25,1.7042258400789655e-26,2.251249325419046e-34,8.911495751020383e-39,0.0,0.0,2.487825543009852e-20,7.775516276313864e-38,2.411919797547006e-50,7.545191996798245e-52,2.3908686673095735e-58,1.7216203952956666e-64,2.544888356761657e-44,1.4899402464004733e-37,4.6463837709878326e-35,9.986909630548576e-52,2.0391914239926437e-61,1.779517412665551e-59,1.2904077983112813e-35,6.520766783667869e-55,9.84007757767615e-25,6.229672459829274e-83,1.1759097910709888e-52,2.498800801841334e-56,7.423464250099458e-54,1.528293321395398e-72,7.126659131595894e-84,1.8814252249783828e-84,6.9848538046316674e-68,1.0332000876851764e-75,3.990611500896774e-67,4.0673507882512616e-108,3.76,0.0,0.6613974918934906,0.9999999999999941,1.3697575224776944e-48,2.543780637575363e-50,8.972055970886596e-17,8.972055970886596e-17,1.688573946423704e-35,8.032754921228017e-39,5.8482037629714055e-15,3.274112969900025e-39,1.629912540723229e-40,2.4878892540212783e-20,9.408882828131978e-34,4.5860851951754195e-43,8.78824993493532e-34,3.631470698389331e-18,1.646065466548876e-38,2.2512209253677003e-34,1.5211050055574954e-35,1.9377548527190987e-39,2.4694412041266588e-36,5.436448385956983e-35,7.022066511412624e-65,3.2262443947417273e-55,9.840077577678569e-25,1.14527530752141e-78,4.6463837728611546e-35,1.5423411740075774e-36,3.544235311541373e-51,8.423539815173262e-69,1.743037692618516e-65,1.6207575093353644e-52,2.1059105026148444e-68,2.4576590225852984e-94,1.8106178190214835e-98,1.1453921291205043e-98,6.642934216940181e-84,1.3280432089057413e-64,1.169358385682218e-98,2.546043501922197e-74
4.76303654441803e-21,0.7379256316643679,1.3116973016509119e-24,3.508700258986849e-26,9.39852277430844e-34,3.720374057421631e-38,0.0,0.0,5.121993765020263e-20,3.2461249840170034e-37,2.0273639189080637e-49,6.342188505230501e-51,2.009669176055899e-57,1.447125677657014e-63,1.0624407927208987e-43,6.220207233396928e-37,1.9397737601398433e-34,8.394599300922574e-51,1.7140632624650544e-60,1.4957916093129983e-58,5.387198540666465e-35,5.481097387345674e-54,2.025898324815362e-24,2.214114338109851e-81,9.884230332750824e-52,2.137776694772716e-55,6.350194937294834e-53,2.6397466534738917e-71,2.5329262757433024e-82,6.686879925193598e-83,1.1780976869203724e-66,1.77580696741237e-74,6.890975145876219e-66,2.9267602632924936e-106,3.76,0.0,0.6613974918934905,0.9999999999999879,1.1513637317253314e-47,2.138200900163426e-49,1.8471879940060634e-16,1.8471879940060634e-16,7.049463829864604e-35,3.3535170545146595e-38,1.204041951194915e-14,1.366877713890562e-38,6.804564008621305e-40,5.122124934749265e-20,3.928023366514923e-33,1.915544452975493e-42,3.6689213507892706e-33,7.476557320213328e-18,6.871999294206299e-38,9.39840420968463e-34,6.350313968081563e-35,8.089745062326923e-39,1.0309430916752847e-35,2.2696101844362534e-34,5.907052586046131e-64,2.7118528095877657e-54,2.025898324816373e-24,1.963808692976548e-77,1.93977376092192e-34,6.438970791009756e-36,2.9791433355480607e-50,1.4549570244301283e-67,3.01066415107256e-64,1.3713033445592186e-51,3.576863511061099e-67,8.446080521023927e-93,6.222435151380671e-97,3.9362963136036763e-97,1.1212698430000838e-82,1.116814185126261e-63,4.0186596238966496e-97,4.294274504635242e-73
9.662159847248003e-21,0.737925631664368,2.660871676599639e-24,7.117649096804907e-26,3.83960321955165e-33,1.5198941989629977e-37,0.0,0.0,1.0390330209041016e-19,1.3261479744209988e-36,1.662155428889553e-48,5.199709315476323e-50,1.6476482105103225e-56,1.1864410621946198e-62,4.340417304162425e-43,2.5411576152061406e-36,7.924608742762738e-34,6.882399687223268e-50,1.405292622071009e-59,1.2263403332372907e-57,2.2008463838221785e-34,4.493734792101627e-53,4.109679458909883e-24,7.457733190972992e-80,8.10368920682957e-51,1.7675551117866752e-54,5.250176596055141e-52,4.385978547061372e-70,8.531593287975088e-81,2.252325321623439e-81,1.9350289883717483e-65,2.9432698184396456e-73,1.1447962059941781e-64,1.9836822658496046e-104,3.76,0.0,0.6613974918934903,0.9999999999999755,9.43957549735389e-47,1.7530262826108815e-48,3.747152787840871e-16,3.747152787840871e-16,2.879935992833714e-34,1.3700211393353262e-37,2.442485100974783e-14,5.584141462458659e-38,2.7798864250003314e-39,1.0390596296203929e-19,1.6047257134667004e-32,7.833339911506346e-42,1.4988740857530106e-32,1.5166730563861316e-17,2.8074359394987045e-37,3.839554782034151e-33,2.594310461602357e-34,3.304924819866848e-38,4.211738917938822e-35,9.272098158987376e-34,4.850473616715025e-63,2.2233407765452763e-53,4.109679458914013e-24,3.254342129411005e-76,7.924608745957786e-34,2.63052966656715e-35,2.4424816987410963e-49,2.4174328568132396e-66,5.002263515202489e-63,1.1278424786205599e-50,5.894936866770902e-66,2.8023049041498937e-91,2.0645269124576017e-95,1.3060143620863882e-95,1.8444548904994748e-81,9.164744089313197e-63,1.3333414882840211e-95,7.053358772381375e-72
1.946040645290795e-20,0.7379256316643681,5.359220449426053e-24,1.4335546772450198e-25,1.552029011316476e-32,6.1436553922153456e-37,0.0,0.0,2.0927003097082262e-19,5.3605021454282385e-36,1.3460565606043526e-47,4.210859415238018e-49,1.3343082404648008e-55,9.608107327279598e-62,1.7544660716471347e-42,1.027176537680349e-35,3.203253557416655e-33,5.573545704974748e-49,1.1380424002867773e-58,9.931221968757185e-57,8.89617296847122e-34,3.639142942585776e-52,8.27724172709503e-24,2.447700547687325e-78,6.562577622016727e-50,1.4373464620936458e-53,4.269242740336323e-51,7.150252000636228e-69,2.8001543433815945e-79,7.392357229341708e-80,3.136765376207594e-64,4.792351911226248e-72,1.866184815700019e-63,1.306090986401051e-102,3.76,0.0,0.66139749189349,0.9999999999999507,7.644412975280013e-46,1.4196461339335966e-47,7.547082375510483e-16,7.547082375510483e-16,1.1641161745128535e-33,5.53784449271991e-37,4.919371400471798e-14,2.2571992618663462e-37,1.123674539563004e-38,2.092753901910801e-19,6.486557907390975e-32,3.1725991752157127e-41,6.058688703959776e-32,3.0547077051157276e-17,1.1348104937840735e-36,1.5520094320974506e-32,1.0486617680340523e-33,1.3359034534118398e-37,1.7024522105407257e-34,3.7479303239557596e-33,3.940211296726285e-62,1.800519004848008e-52,8.277241727111724e-24,5.30762092567866e-75,3.2032535587081515e-33,1.0633021497742498e-34,1.97798500525458e-48,3.941025685154111e-65,8.154952035687683e-62,9.147782705796148e-50,9.571876504305033e-65,9.14548536444062e-90,6.737703893087104e-94,4.2622539811835095e-94,2.9989079621806016e-80,7.43549594136553e-62,4.3514376500068535e-94,1.1433798531625737e-70
3.905689966422784e-20,0.737925631664368,1.0755918086794728e-23,2.8771342123777485e-25,6.240640393787535e-32,2.4703368364226894e-36,0.0,0.0,4.200034887316368e-19,2.1554343363316854e-35,1.0834234242484607e-46,3.389265993869256e-48,1.0739673564197209e-54,7.733440663456185e-61,7.054630909893368e-42,4.130231681142262e-35,1.2880141670156566e-32,4.4860744708806e-48,9.159955316237982e-58,7.9935114372388595e-56,3.5771120238321205e-33,2.929098838473174e-51,1.6612366263449746e-23,7.931915754149088e-77,5.2821334015412586e-49,1.1592719931318814e-52,3.4432537145407423e-50,1.1547676096786088e-67,9.074066671142773e-78,2.395537321515857e-78,5.051663937284576e-63,7.734875321527973e-71,3.0137949391122126e-62,8.477774232615291e-101,3.76,0.0,0.6613974918934892,0.9999999999999012,6.152888611403984e-45,1.1426547150115906e-46,1.51469415508497e-15,1.51469415508497e-15,4.680859937983162e-33,2.226742914191581e-36,9.873143999214941e-14,9.076098956735313e-37,4.518245902725447e-38,4.200142446489521e-19,2.6082164056370183e-31,1.2807047158484782e-40,2.4361720807798574e-31,6.130777002574913e-17,4.563023084726449e-36,6.240561666608934e-32,4.2166228474353705e-33,5.371609031161747e-37,6.845485462001491e-34,1.5070262992647323e-32,3.191019126012455e-61,1.4492143367138335e-51,1.6612366263516867e-23,8.60264060302286e-74,1.2880141675349677e-32,4.275491178490553e-34,1.5920544130346452e-47,6.364767008534423e-64,1.3170269320001186e-60,7.368612241168997e-49,1.5427950263242846e-63,2.9652321110350074e-88,2.1845593910157397e-92,1.3819465962427458e-92,4.8585313891719597e-79,6.006705233232322e-61,1.4108625331950336e-92,1.8413780088602384e-69
7.824988608686762e-20,0.7379256316643684,2.1549313728395447e-23,5.764293282657883e-25,2.502775917372207e-31,9.907155791639042e-36,0.0,0.0,8.4147040425322305e-19,8.644255730258701e-35,8.69379066335302e-46,2.71967251155696e-47,8.6179117111681e-54,6.205599097367457e-60,2.8292225209636427e-41,1.6564076332609155e-34,5.16551288814405e-32,3.5997922397787646e-47,7.35028727421433e-57,6.4142895146155586e-55,1.4345819118022863e-32,2.3504173496723254e-50,3.328261533609686e-23,2.5542027102378887e-75,4.2385793975826216e-48,9.311903088019532e-52,2.765790597503795e-49,1.8562552115681397e-66,2.921994051563291e-76,7.71401187299531e-77,8.109039394113526e-62,1.24297370431846e-69,4.8445081172923066e-61,5.4640926327887035e-99,3.76,0.0,0.6613974918934876,0.9999999999998022,4.937305615261779e-44,9.169084469156221e-46,3.034665990152809e-15,3.034665990152809e-15,1.8772341916738898e-32,8.930235020968867e-36,1.9780689195697678e-13,3.63992162009897e-36,1.812018690595773e-37,8.414919535638571e-19,1.0460114339849303e-30,5.176435955120231e-40,9.770139648510406e-31,1.2282915597493265e-16,1.8299763431703983e-35,2.5027443442524076e-31,1.691054354880295e-32,2.154255472711034e-36,2.745345842071557e-33,6.043849494026317e-32,2.592038283518937e-60,1.1629032368801419e-50,3.328261533636605e-23,1.3946314792787397e-72,5.165512890226767e-32,1.7146631885720358e-33,1.2775234023746067e-46,1.023117707604522e-62,2.11708232774862e-59,5.915118027901216e-48,2.4775465169999264e-62,9.614267407396782e-87,7.083067148135085e-91,4.4807298793041955e-91,7.89174478085357e-78,4.855263756841613e-60,4.574484951078871e-91,2.955819520066412e-68
