Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64)
0.0,0.691693655339037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6115216493961995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9757428878716177e-22,0.6916936553390369,2.4683927144326514e-26,1.9881981825748261e-28,6.712225236865542e-42,1.3224901573163594e-59,0.0,0.0,7.504018101767342e-22,1.751799266434596e-40,1.5012831651835897e-78,2.057965661771353e-96,5.284906373594129e-73,4.6429955543541024e-91,1.2099667006229075e-84,2.7061854441892614e-81,1.1124416530603254e-88,2.2029966651341576e-73,9.187211667631511e-66,4.191393298767798e-64,1.448485569401439e-38,4.799598023830511e-59,1.3019467008351178e-96,-3.061441060642753e-131,2.909789742108827e-96,3.947685535723489e-83,2.7113074957508268e-58,-3.688425944304373e-94,-7.742881101644814e-170,1.767447912576408e-133,4.663101148924644e-95,7.365882551331183e-93,1.1709800555348892e-73,-1.1282440623686787e-128,3.76,0.0,0.6115216493961995,0.9999999999999998,4.938371377300681e-57,5.800134633029502e-105,2.650162455076376e-18,2.650162455076376e-18,2.0013507270543617e-38,5.886151152444102e-42,3.427622401558768e-16,4.460723806981515e-42,1.7219831404869022e-43,7.504264941038759e-22,2.5054382736310695e-36
5.53208008604053e-22,0.691693655339037,6.91149960041228e-26,5.566954911209684e-28,4.0541840430671523e-41,1.9985471257367134e-58,0.0,0.0,2.101125068494854e-21,1.0580867569264952e-39,3.3607654429323885e-77,1.1848755909524068e-94,1.309424022167345e-71,1.4598320902178633e-89,2.706647112307334e-83,8.508680026202222e-80,5.737648136110467e-87,6.200131480236876e-72,1.0907057691904134e-64,4.976022124297113e-63,8.748852839184693e-38,5.6980827738915624e-58,7.498546402869766e-95,1.1210616832295067e-129,1.5031783025278265e-94,1.2412170825833976e-81,4.088663782503422e-57,3.681569881889601e-93,7.43104841622861e-168,4.968612800881285e-132,2.408927479558939e-93,3.805322617052841e-91,3.295753423070953e-72,4.13371342291702e-127,3.76,0.0,0.6115216493961995,0.999999999999999,5.862837296759611e-56,5.442772478794928e-103,7.420454874213852e-18,7.420454874213852e-18,1.2088158391406686e-37,3.555235296076101e-41,9.597342724358776e-16,2.6942771794168265e-41,1.0400778168546881e-42,2.101194183490843e-21,1.5132847172731581e-35
1.2644754482378353e-21,0.6916936553390369,1.5797713372374958e-25,1.2724468368480085e-27,1.951915098881046e-40,2.1499457989468226e-57,0.0,0.0,4.802571585131092e-21,5.0942322667917977e-39,6.64247686682681e-76,5.312935541548583e-93,2.7098546361751135e-70,3.25680508802556e-88,5.347878586428935e-82,1.898239707662369e-78,2.5003411173590546e-85,1.3476949245356365e-70,1.0708613920066632e-63,4.885488029043695e-62,4.212196035819385e-37,5.594411456576783e-57,3.3626629408403325e-93,2.30832788840396e-127,6.558603482532976e-93,2.769095678779708e-80,4.395415340485367e-56,2.0273502058787782e-91,8.375135106895637e-165,1.2112607926536433e-129,1.0510529675540262e-91,1.6603404946988793e-89,7.163907464784983e-71,8.513502031522576e-125,3.76,0.0,0.6115216493961995,0.9999999999999978,5.756169650014589e-55,4.747557854303505e-101,1.6961039712488805e-17,1.6961039712488805e-17,5.819927914271596e-37,1.7116927551305398e-40,2.1936783369935687e-15,1.2971784830702132e-40,5.007526972544759e-42,4.802729562264742e-21,7.285814499719035e-35
2.6870103275054e-21,0.691693655339037,3.3570140916314024e-25,2.7039495283023633e-27,8.52452605082488e-40,1.9761705922763383e-56,0.0,0.0,1.0205464618403553e-20,2.22478506837193e-38,1.182170648085389e-74,1.9987804308916225e-91,4.921575343993663e-69,6.09963549227206e-87,9.516264210010696e-81,3.555192890193464e-77,9.299416262266876e-84,2.497684917045432e-69,9.471647741431551e-63,4.321158835297542e-61,1.839576673139828e-36,4.948193578648176e-56,1.2651178413894983e-91,3.6564370586271857e-125,2.4408830144241135e-91,5.186242456450373e-79,4.0390628944929235e-55,7.976641953314382e-90,5.966237119349916e-162,2.0292373909528853e-127,3.911651836417963e-90,6.179234643502077e-88,1.3276937278168242e-69,1.348709662277368e-122,3.76,0.0,0.6115216493961995,0.9999999999999953,5.0912673557527436e-54,3.5384688949629333e-99,3.6042209389038716e-17,3.6042209389038716e-17,2.541715423356467e-36,7.475411963601889e-40,4.66156646609971e-15,5.66511923486641e-40,2.186918588427439e-41,1.0205800319812396e-20,3.1819066075113403e-34
5.5320800860405295e-21,0.691693655339037,6.911499600424693e-25,5.566954911212168e-27,3.558821820591186e-39,1.690655547234378e-55,0.0,0.0,2.1011250684948422e-20,9.288039710636171e-38,1.994047958640744e-73,6.921020117736644e-90,8.380579183399257e-68,1.0535603440688591e-85,1.6050570518647154e-79,6.140711603778389e-76,3.2023264089278094e-82,4.29233369507852e-68,7.961490636810832e-62,3.6321943704192e-60,7.679870488966432e-36,4.159254853882907e-55,4.380701421119497e-90,5.19013017111537e-123,8.408102258886056e-90,8.958057210951725e-78,3.4550908893271996e-54,2.8179799757247254e-88,3.577867796461039e-159,2.9545597719260713e-125,1.3474455123515456e-88,2.1285636616433058e-86,2.2816795058846186e-68,1.9145316207102165e-120,3.76,0.0,0.6115216493961995,0.9999999999999905,4.279517177417307e-53,2.439686158047818e-97,7.420454874213853e-17,7.420454874213853e-17,1.0611161554819078e-35,3.1208373410239535e-39,9.597342724275028e-15,2.365075762461498e-39,9.129954610942921e-41,2.1011941834907136e-20,1.3283833726790874e-33
1.1222219603110789e-20,0.691693655339037,1.4020470618033192e-24,1.1292965677036168e-26,1.4538948352103205e-38,1.3978667005287373e-54,0.0,0.0,4.2622822818037935e-20,3.794467283067945e-37,3.2753465454769355e-72,2.302647702358699e-88,1.382875366914238e-66,1.7505062690007413e-84,2.636311027802728e-78,1.0202884171792099e-74,1.0624955776452877e-80,7.113798178343773e-67,6.52731103796116e-61,2.977892392810153e-59,3.1374776827462934e-35,3.4100084208068175e-54,1.4574869559472526e-88,6.990320546561821e-121,2.7901682819622644e-88,1.4884321881635463e-76,2.8565747004959125e-53,9.466683046500359e-87,1.979653641137426e-156,4.028808203394039e-123,4.471401053394861e-87,7.063493105986652e-85,3.781491773306485e-67,2.5786543716815126e-118,3.76,0.0,0.6115216493961994,0.9999999999999806,3.508606816404685e-52,1.6198367712167984e-95,1.5052922744833816e-16,1.5052922744833816e-16,4.3350057288092294e-35,1.2749638842223845e-38,1.9468895240477814e-14,9.662106194873388e-39,3.7298843616890165e-40,4.262422486509431e-20,5.426879518214948e-33
2.2602498637251308e-20,0.691693655339037,2.823841265333785e-24,2.2744987208701707e-26,5.876875381722487e-38,1.1367219856916697e-53,0.0,0.0,8.58459670842161e-20,1.5337843441282386e-36,5.309571981419221e-71,7.5123695800399575e-87,2.2467867674523556e-65,2.853767023449657e-83,4.273573783625349e-77,1.6633276275037017e-73,3.461598816373858e-79,1.1582635456865945e-65,5.285985711965021e-60,2.4115744667714436e-58,1.2682186433182915e-34,2.761513229607674e-53,4.755058894460072e-87,9.176441991424875e-119,9.091080781189016e-87,2.4266426733983145e-75,2.3228553173747807e-52,3.103222030617198e-85,1.0533071220970039e-153,5.321123345272093e-121,1.4568966479066517e-85,2.3014676823548904e-83,6.157001178904064e-66,3.385136557061706e-116,3.76,0.0,0.6115216493961992,0.9999999999999608,2.841360797350198e-51,1.055783476392304e-93,3.0317858486073734e-16,3.0317858486073734e-16,1.7522786263548697e-34,5.153607869206819e-38,3.921200027229196e-14,3.90557780775435e-38,1.507678894743543e-39,8.584879092545951e-20,2.1936314696004004e-32
4.5363056705532345e-20,0.6916936553390373,5.6674296724297815e-24,4.564903027210298e-26,2.363065743568119e-37,9.168074620493077e-53,0.0,0.0,1.7229225561656888e-19,6.167279389453335e-36,8.550977802508435e-70,2.4272428391990404e-85,3.622447996731601e-64,4.608841365696905e-82,6.882458835309639e-76,2.6862785613962117e-72,1.1176667704786478e-77,1.8694149053799665e-64,4.25462117369886e-59,1.941044933094181e-57,5.099451386500541e-34,2.2227060934090086e-52,1.5363602455996843e-85,1.1894497332776445e-116,2.9354108822539717e-85,3.9194302231798716e-74,1.8734415899093892e-51,1.0050162512876163e-83,5.4971234860238924e-151,6.918182271565936e-119,4.704160457130683e-84,7.431190284813193e-82,9.937283150292948e-65,4.387840804825523e-114,3.76,0.0,0.6115216493961989,0.9999999999999213,2.2869743747633545e-50,6.818717522290094e-92,6.084772996855357e-16,6.084772996855357e-16,7.045835288493187e-34,2.07224305781176e-37,7.869821033355459e-14,1.5704156591425018e-37,6.062310525867971e-39,1.7229792304615313e-19,8.820495659843159e-32
9.088417284209441e-20,0.6916936553390373,1.1354606486762034e-23,9.145711639918625e-26,9.476950538809875e-37,7.364296116579215e-52,0.0,0.0,3.4518483268126045e-19,2.4733548734831523e-35,1.3726274850662348e-68,7.80464258546452e-84,5.818084267890753e-63,7.408577889060761e-81,1.1047870677202175e-74,4.318114331677787e-71,3.592539640487582e-76,3.0040779180081867e-63,3.414065548975733e-58,1.5575663160673544e-56,2.0451080845244734e-33,1.7835816588195794e-51,4.940072105999898e-84,1.5320802098449746e-114,9.435545729248998e-84,6.301642162551693e-73,1.5048400450693091e-50,3.235360268574046e-82,2.841524531652227e-148,8.924500941476111e-117,1.5120990840782006e-82,2.388672253036854e-80,1.5968834280005976e-63,5.651812153039336e-112,3.76,0.0,0.6115216493961982,0.9999999999998423,1.8351529120459128e-49,4.383823863019379e-90,1.2190747293351313e-15,1.2190747293351313e-15,2.825695083318348e-33,8.310621495141945e-37,1.576706304466172e-13,6.298069178729781e-37,2.4312576645236307e-38,3.451961872873936e-19,3.5374132659052603e-31
1.8192640511521856e-19,0.6916936553390373,2.2728960115987575e-23,1.8307328865447586e-25,3.795723366770354e-36,5.903394854631523e-51,0.0,0.0,6.909699868105878e-19,9.906320444449321e-35,2.199788288735824e-67,2.5034969759483773e-82,9.326707272515366e-62,1.1881342345827208e-79,1.7705399900399444e-73,6.925080012717609e-70,1.1521798629893083e-74,4.816959729642387e-62,2.735407000384379e-57,1.2479484456329864e-55,8.191099565225188e-33,1.4290357565019763e-50,1.5846288458190577e-82,1.9672195292372548e-112,3.026148140411168e-82,1.0110200392145942e-71,1.2063115146688028e-49,1.0384151977783377e-80,1.4618137079872659e-145,1.1467877712142283e-114,4.849571983559256e-81,7.66089930868488e-79,2.5605606394251855e-62,7.257044162950809e-110,3.76,0.0,0.611521649396197,0.9999999999996844,1.4703555178122384e-48,2.81201350473922e-88,2.4402695886343206e-15,2.4402695886343206e-15,1.1317519080143446e-32,3.3285833951764576e-36,3.1561547063489166e-13,2.5225127269304855e-36,9.7377120322202e-38,6.909927157692871e-19,1.416810411322402e-30
3.6401086966146687e-19,0.6916936553390377,4.5477667376682813e-23,3.6630563316954706e-25,1.5192785408401223e-35,4.727503747895433e-50,0.0,0.0,1.3825402950690186e-18,3.965109839393841e-34,3.522532580725146e-66,8.020821997563459e-81,1.4936964979355896e-60,1.9032270916720376e-78,2.835170840608359e-72,1.1093022579533821e-68,3.691088025320853e-73,7.715493140601521e-61,2.1899888545282517e-56,9.991175625851643e-55,3.2785744882434075e-32,1.1440975201174968e-49,5.076910099993554e-81,2.5219886798516058e-110,9.694524940791103e-81,1.62082223816962e-70,9.660259572119935e-49,3.3278969770702576e-79,7.502339996165719e-143,1.470744168305484e-112,1.5536019443988714e-79,2.4542348291233495e-77,4.1013398102338915e-61,9.30358720704055e-108,3.76,0.0,0.6115216493961946,0.9999999999993685,1.1771784541878725e-47,1.8017283892682283e-86,4.88265930723269e-15,4.88265930723269e-15,4.529957062311439e-32,1.3323008119102e-35,6.315051508600378e-13,1.0096624765596031e-35,3.897622535070583e-37,1.3825857727307247e-18,5.6709339597667425e-30
