Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435)
0.0,0.5751424048168108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7112175238934945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1667672453935808e-21,0.5751424048168108,7.75493369832001e-28,2.7622860618113566e-31,5.150766955552797e-37,3.0246283278795516e-42,0.0,0.0,9.293489133713364e-23,2.5757364111237693e-41,2.6387795780238824e-54,5.719609833175164e-56,2.0881632781523507e-64,6.749864103213745e-72,3.307576687183363e-50,1.1406851599372828e-41,2.8894883522836897e-39,3.3777959620637847e-56,7.80757494977643e-70,9.950872754719325e-69,5.725731667396297e-41,4.131881329540789e-62,8.183807671347062e-29,3.741480308967375e-89,6.1012894044532874e-58,9.461049145006847e-64,1.1586147816944733e-61,1.4893227183076658e-80,1.2046164011794983e-91,3.879694083431343e-93,1.014758391966021e-73,3.2201043918497235e-85,7.408448583398701e-73,1.4326794780979664e-117,3.76,0.0,0.7112175238934945,0.9999999999999997,1.7929901618446964e-51,2.7790672667718148e-55,2.562253686290167e-19,2.562253686290167e-19,1.0156788241291448e-40,3.692000803595962e-45,4.0620175859202646e-16,3.67270220259151e-44,5.324082884677126e-46,9.293566683050298e-23,3.801424721582625e-37,2.229784991251464e-47,6.601386128792655e-38,3.576683290803452e-21,3.20536048733499e-43,5.150763347340256e-37,2.220397264846872e-40,1.308930360658268e-44,2.509690835395264e-41,1.0658347818286468e-38,2.142798420439139e-71,2.583446172144313e-61,8.183807671348327e-29,1.9491738729937394e-85,2.8894883522840133e-39,1.8423602880205404e-38,2.0331397028716868e-58,2.0054914885795596e-75,9.236306597528365e-73,3.0636041087243574e-57
3.2669482871020264e-21,0.5751424048168108,2.1713814357132e-27,7.734400973083702e-31,3.1110632411538764e-36,1.8268755101681596e-41,0.0,0.0,2.6021769574397417e-22,1.5557447923187568e-40,3.132759115029944e-53,6.790320793944628e-55,2.479067443861272e-63,8.013438663333415e-71,1.9977763190584252e-49,6.889738366020167e-41,1.745250964779341e-38,4.01011936616172e-55,9.269152981362847e-69,1.1813676134402508e-67,3.4583419271073643e-40,4.9053695144307136e-61,2.291466147976808e-28,1.7873593586945257e-87,7.243450780966733e-57,1.4297537467954908e-62,1.7476893012898394e-60,4.682668918075755e-79,5.7545971024886385e-90,1.8533764200025726e-91,2.269973932492184e-72,9.081210635291283e-84,2.329239443985055e-71,1.1133152623038155e-115,3.76,0.0,0.7112175238934945,0.9999999999999988,2.128637920142093e-50,3.2993086591114854e-54,7.174310321612468e-19,7.174310321612468e-19,6.134700097737339e-40,2.2299684853717642e-44,1.1373649240534625e-15,2.218312130365234e-43,3.215746062358377e-45,2.602198671254066e-22,2.2960605318358704e-36,1.3470014029665233e-46,3.987237221790742e-37,1.0014713214249666e-20,1.9360377343503137e-42,3.111061061793512e-36,1.3411199479674922e-39,7.905939378396834e-44,1.5158532645787352e-40,6.437642082244976e-38,2.5443762706098852e-70,3.0670672955697026e-60,2.2914661479775715e-28,4.4518958075041965e-84,1.7452509647795362e-38,1.1127856139642772e-37,2.4137434552492583e-57,6.30558611873227e-74,2.904042575152487e-71,3.6469527459177184e-56
7.467310370518917e-21,0.5751424048168108,4.9631575682099806e-27,1.7678630795676008e-30,1.4978430306747345e-35,8.795619179407387e-41,0.0,0.0,5.947833045576548e-22,7.490241483547918e-40,3.0757614761446066e-52,6.666777221546104e-54,2.4339631171339424e-62,7.867641598699922e-70,9.618433006324328e-49,3.3171124450960885e-40,8.402632128440847e-38,3.93715897338029e-54,9.100509364445506e-68,1.1598737282899995e-66,1.6650427688788435e-39,4.816120877712394e-60,5.237636909659533e-28,9.306713078020119e-86,7.111662929830103e-56,1.5380638374122559e-61,1.878979591639337e-59,1.0446776763679573e-77,2.9964067807171913e-88,9.650492594384899e-90,4.48508596728057e-71,1.9753621393072883e-82,5.196358506366759e-70,1.2132220520272483e-113,3.76,0.0,0.7112175238934945,0.9999999999999973,2.089909332646264e-49,3.2392808061491842e-53,1.6398423592257069e-18,1.6398423592257069e-18,2.953594020563508e-39,1.0736338336854093e-43,2.5996912549594885e-15,1.0680218005135538e-42,1.5482433028839447e-44,5.947882677152072e-22,1.105454309036174e-35,6.487383778318847e-46,1.9196830862528722e-36,2.2890773061142087e-20,9.32118829716985e-42,1.497841981406543e-35,6.45691524617442e-39,3.80636948882499e-43,7.298180949329364e-40,3.099447545557628e-37,2.499028395043876e-69,3.011264858251334e-59,5.237636909663211e-28,8.87982818536068e-83,8.402632128441793e-38,5.357583717561794e-37,2.369827637667214e-56,1.4067415761083695e-72,6.478759233936529e-70,3.584912515345782e-55
1.5868034537352698e-20,0.5751424048168108,1.0546709836141086e-26,3.7567090441051105e-30,6.541474033551857e-35,3.841277978405136e-40,0.0,0.0,1.2639145221850146e-21,3.271185242127181e-39,2.7204761937594376e-51,5.896688953604247e-53,2.1528128134943092e-61,6.958839895836606e-69,4.200622392717819e-48,1.4486701531187684e-39,3.66965020740016e-37,3.4823725250466397e-53,8.049297476429245e-67,1.0258951775203643e-65,7.2716792175933e-39,4.259804375502632e-59,1.1129978433019071e-27,3.7140606694180873e-84,6.290185324413803e-55,1.4137456516547374e-60,1.7267055157565958e-58,1.9565656713818826e-76,1.1957872876589302e-86,3.8512582598195424e-88,7.980970841550029e-70,3.661990227003627e-81,9.73216978143721e-69,9.924270779284451e-112,3.76,0.0,0.7112175238934945,0.9999999999999944,1.8485011372554678e-48,2.865107189350979e-52,3.4846650133546276e-18,3.4846650133546276e-18,1.289912106639834e-38,4.688841020563808e-43,5.524343916704157e-15,4.6643317972906253e-42,6.761585263743745e-44,1.2639250688947818e-21,4.827809396409383e-35,2.83510159677427e-45,8.38376038356634e-36,4.8642892754926906e-20,4.070807818915128e-41,6.54146945112209e-35,2.819904526355235e-38,1.6623415580674944e-42,3.1873073609519203e-39,1.353610172922302e-36,2.2120428275139222e-68,2.6634296656337377e-58,1.112997843303513e-27,1.5878468077781508e-81,3.6696502074005744e-37,2.3397975657840853e-36,2.096085708072542e-55,2.6346712849444684e-71,1.2133999026736498e-68,3.1725272776268064e-54
3.2669482871020263e-20,0.5751424048168108,2.171381438375345e-26,7.734400973256315e-30,2.7309366398339185e-34,1.603657941240032e-39,0.0,0.0,2.6021769574397284e-21,1.3656554451778164e-38,2.286724161842131e-50,4.956522367661346e-52,1.8095688866879654e-60,5.849324233996454e-68,1.7536771595400724e-47,6.047912717973249e-39,1.5320067243806992e-36,2.9271439359842935e-52,6.765919541489588e-66,8.623267115272437e-65,3.0357829300535177e-38,3.5806222500774314e-58,2.2914661479714496e-27,1.320034706555467e-82,5.287279777266285e-54,1.2094891694656514e-59,1.4770801410392688e-57,3.3794806346984197e-75,4.250015309072905e-85,1.3687975054052543e-86,1.3461073847489138e-68,6.294031516642095e-80,1.6809874494714178e-67,7.142377968552728e-110,3.76,0.0,0.7112175238934945,0.9999999999999886,1.55377658641203e-47,2.408295228308021e-51,7.174310321612468e-18,7.174310321612468e-18,5.385129125495102e-38,1.957498826063821e-42,1.1373649239923958e-14,1.9472667078134846e-41,2.8228287456387194e-43,2.602198671253824e-21,2.015515387382612e-34,1.1851791944579457e-44,3.5000549254855665e-35,1.0014713214249643e-19,1.6994821303847332e-40,2.730934726759773e-34,1.1772546298215487e-37,6.939948772492388e-42,1.3306380809265098e-38,5.65105601325477e-36,1.8621823654235694e-67,2.2387731176412118e-57,2.291466147978153e-27,2.6873966294722326e-80,1.532006724380873e-36,9.768194247066904e-36,1.761886336273263e-54,4.550739448265477e-70,2.095846580537913e-67,2.667379418911573e-53
6.627237953835539e-20,0.5751424048168108,4.4048023525978824e-26,1.5689784831863475e-29,1.1156767256404098e-33,6.551465958545776e-39,0.0,0.0,5.278701827949132e-21,5.579148095950476e-38,1.8747946259326857e-49,4.063656497467272e-51,1.4835939032526282e-59,4.7956294082949925e-67,7.164343407468155e-47,2.470769683818508e-38,6.258747350579605e-36,2.3998494493033353e-51,5.547109629582814e-65,7.069875376952117e-64,1.240216382084708e-37,2.935610452696688e-57,4.6484027573010724e-27,4.44623947003164e-81,4.334831405389824e-53,1.0000290345652926e-58,1.221218689997714e-56,5.615057621966402e-74,1.4315222054551759e-83,4.6104869777204706e-85,2.2109854215553085e-67,1.0431915411295348e-78,2.7929834304714665e-66,4.841277540669726e-108,3.76,0.0,0.7112175238934945,0.9999999999999769,1.2738799207678083e-46,1.9744659312358423e-50,1.455360093812815e-17,1.455360093812815e-17,2.200000960184836e-37,7.997021420597642e-42,2.3072259885285422e-14,7.955219878896792e-41,1.1532176493072558e-42,5.27874587597148e-21,8.234038003932633e-34,4.854756375533335e-44,1.429886641040751e-34,2.0315561091763506e-19,6.9429390299847244e-40,1.1156759440872621e-33,4.809469291546692e-37,2.835195518638713e-41,5.436090737099053e-38,2.308640770831517e-35,1.5313657811106088e-66,1.835481462816552e-56,4.648402757328457e-27,4.431241765975002e-79,6.258747350580326e-36,3.9906260782487706e-35,1.4445008671655322e-53,7.561121655357793e-69,3.482280439315724e-66,2.1871490382948074e-52
1.3347817287302565e-19,0.5751424048168108,8.871644199843214e-26,3.1600552550296794e-29,4.5097437063991196e-33,2.648207295742529e-38,0.0,0.0,1.0631751568967844e-20,2.2551808632865485e-37,1.5182572954132388e-48,3.2908543890428834e-50,1.201452808269163e-58,3.88362502989333e-66,2.895942153278352e-46,9.987246104028602e-38,2.5298857478644927e-35,1.9434603043377085e-50,4.492193212484434e-64,5.725368379148454e-63,5.013152909925494e-37,2.377333455432591e-56,9.362275975922474e-27,1.4593001607100907e-79,3.5104588601748945e-52,8.132070028853561e-58,9.93051128773321e-56,9.153961100976811e-73,4.6983992156819993e-82,1.5132079905910593e-83,3.5841026461637823e-66,1.698573428306391e-77,4.553265982422212e-65,3.1876964251264946e-106,3.76,0.0,0.7112175238934945,0.9999999999999535,1.0316209874049287e-45,1.5989737026007646e-49,2.9312182171159514e-17,2.9312182171159514e-17,8.892755630824196e-37,3.2325239195676253e-41,4.646948117169577e-14,3.2156270680708694e-40,4.66149012278457e-42,1.063184028540508e-20,3.328329812128772e-33,1.9728095564110914e-43,5.779830422290066e-34,4.0917256846791058e-19,2.806446963963237e-39,4.509740547236845e-33,1.9440643844403164e-36,1.1460313596095921e-40,2.1973547915482366e-37,9.331895115600101e-35,1.2476488741814173e-65,1.486420476658957e-55,9.362275976033171e-27,7.228411418955834e-78,2.529885747864792e-35,1.6130748654432708e-34,1.1697942534445644e-52,1.2326536626801798e-67,5.676995997358407e-65,1.771317797418861e-51
2.6788975954236617e-19,0.5751424048168108,1.78053279695349e-25,6.342208799203946e-29,1.8133481097691942e-32,1.0648325115018603e-37,0.0,0.0,2.1337851051004897e-20,9.067983064817303e-37,1.2220255567478057e-47,2.6487659101380168e-49,9.67033745166515e-58,3.1258792917471543e-65,1.1644456030039662e-45,4.015827732885239e-37,1.0172559323742434e-34,1.564265930145242e-49,3.615707935010465e-63,4.608274567322957e-62,2.0157667364335365e-36,1.9134847882653678e-55,1.8790022413013894e-26,4.728948709825633e-78,2.825522693681674e-51,6.558809083364069e-57,8.00922311785354e-55,1.4783671661207991e-71,1.5225442065946327e-80,4.9036404819687286e-82,5.772086819895406e-65,2.741525128447526e-76,7.353535171037161e-64,2.0691557155385913e-104,3.76,0.0,0.7112175238934945,0.9999999999999067,8.303383196608038e-45,1.2869931434209383e-48,5.882934463722224e-17,5.882934463722224e-17,3.5757379272870665e-36,1.2997836508935892e-40,9.32639237272662e-14,1.292989501228132e-39,1.8743646769129274e-41,2.133802910426544e-20,1.3383067789292497e-32,8.016534028992755e-43,2.3240443921842777e-33,8.212064835684549e-19,1.12845998100666e-38,1.8133468394843473e-32,7.81699738676914e-36,4.608141693500559e-40,8.835466973639065e-37,3.752313982814984e-34,1.0163044754312002e-64,1.19640051527332e-54,1.879002241345901e-26,1.1778233095119975e-76,1.0172559323743704e-34,6.486103088286145e-34,9.415521849719664e-52,1.9907389578128154e-66,9.168363696760313e-64,1.4257537250108997e-50
5.367129328810472e-19,0.5751424048168108,3.5672695809722376e-25,1.2706515889502884e-28,7.272336959935282e-32,4.270454670191511e-37,0.0,0.0,4.2750050015077487e-20,3.636666784446881e-36,9.805985488083053e-47,2.1254678293952254e-48,7.759836805063405e-57,2.5083212705411163e-64,4.6699476789671656e-45,1.610526533139757e-36,4.079651267654084e-34,1.2552248948966835e-48,2.901377949640492e-62,3.697850121269621e-61,8.084126186806828e-36,1.5354510355152852e-54,3.764551528659121e-26,1.5227967953679372e-76,2.2673040164667646e-50,5.26839214010179e-56,6.433406074336238e-54,2.376432052345244e-70,4.9028349428685747e-79,1.5790503683323053e-80,9.265477670260464e-64,4.4056240274484235e-75,1.1820591770367161e-62,1.3336241258360242e-102,3.76,0.0,0.7112175238934944,0.9999999999998131,6.662942086466439e-44,1.0327309455976252e-47,1.178636695693477e-16,1.178636695693477e-16,1.4340308375437806e-35,5.2127137824667865e-40,1.8685280876940594e-13,5.1854662036014164e-39,7.517040688680214e-41,4.2750406741958804e-20,5.367208755831625e-32,3.2823271147982424e-42,9.320457466911951e-33,1.6452743137695158e-18,4.525629239892679e-38,7.272331865528178e-32,3.134965575841733e-35,1.848070923910637e-39,3.5434174323468406e-36,1.504845733451922e-33,8.349202697051192e-64,9.600360668331223e-54,3.7645515288376317e-26,1.9340094927319127e-75,4.079651267654646e-34,2.601217436412564e-33,7.555363315542526e-51,3.200054732916509e-65,1.4737876860548877e-62,1.1440947856317224e-49
