Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906)
0.0,0.8030142346540335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6079978180971464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1110647941757177e-22,0.8030142346540335,1.4280785440788424e-25,1.8767638931842706e-26,2.6195198290529223e-36,3.8027262934250076e-24,0.0,0.0,5.2176535647785216e-21,2.1761597817990116e-39,5.119023273003657e-53,1.9018586124227367e-54,2.6704609685572357e-54,4.826356132444966e-66,3.0573663534947144e-45,4.9406295555592996e-39,1.9372846913378007e-36,7.047186264629852e-54,1.0771124485523139e-62,3.107798768374598e-60,1.173589596067693e-36,1.8207869414819844e-56,4.935404297473121e-25,5.094104814910547e-71,7.937865827136296e-55,4.569991084414254e-58,7.630791074241656e-39,1.282374132808401e-38,1.2940182245132042e-77,1.1889332561175118e-59,7.201784007676498e-71,2.4470959175632334e-61,1.851424537149577e-54,1.8317709690236336e-70,3.76,0.0,0.6079978180971464,0.9999999999999994,1.4120503163818503e-51,1.3882581603172516e-52,1.8039225735169843e-17,1.8039225735169843e-17,1.419890632487171e-36,1.4142667869786066e-39,5.043295662590714e-16,2.304652535868768e-40,1.6946025774469684e-41,5.2177963726328235e-21,2.2724340658624617e-35,1.3313960043063158e-38,3.584262832314562e-35,9.280150142045967e-19,9.09798465075458e-40,2.6192079812262983e-36,3.402252887116137e-22,1.6083132562020664e-40,9.13152184505366e-37,1.5848696350616328e-36,8.247170803256646e-44,1.0391700132699552e-44,4.935404297473224e-25,3.09339297072489e-59,1.9372847236015437e-36,1.391356755472821e-38,1.008733076361425e-52,1.0812638262540698e-54,4.475023931417887e-68,8.784771342570522e-55,7.624287007009154e-72,4.598901927260629e-76,3.826298915948512e-80,3.6273871678334774e-75,7.774498355648965e-64,1.4966004294111695e-60,2.0766932828716894e-80,4.543711820203694e-53,1.1574650743927832e-59,1.7715888601830592e-53,2.4025326530799393e-58,5.492443146540673e-72,3.802726293424683e-24,1.4000495709438222e-40,2.672417154527236e-58,3.2008320408115573e-53,8.800492827076192e-41,3.438863478543597e-46,9.307413343326711e-62,3.935001790965005e-36,1.3472359811499244e-59,4.0410989527314775e-53,1.044290086172136e-70,7.14748005921456e-64,3.4022528871162685e-22,2.6941419151278837e-77,1.414187207118093e-58,1.013504974076527e-56,1.3752311814006417e-60,3.700188187322952e-91,1.3512890703027545e-74,2.48961413690648e-56,1.7965902394078676e-56,2.7688206511141833e-55,2.0016245768129807e-87,1.0313634000535185e-73
3.11098142369201e-22,0.8030142346540335,3.9986199250842867e-25,5.254938900916024e-26,1.5821899767479688e-35,1.0647633621590023e-23,0.0,0.0,1.460942998137985e-20,1.3144005082066024e-38,6.077304609849928e-52,2.2578865446786034e-53,3.1703712618711703e-53,5.729850000439816e-65,1.8466492775112038e-44,2.9841402515577575e-38,1.170119953568021e-35,8.366419533368557e-53,1.2787478989269874e-61,3.689578697820499e-59,7.088481160248866e-36,2.1616382569273985e-55,1.381913203292458e-24,1.1395308706762053e-69,9.423834309976e-54,6.883501407512787e-57,4.608997808841998e-38,7.74553976216241e-38,2.894667007695192e-76,1.4115015616626486e-58,1.7803870361737523e-69,3.6980513506229337e-60,2.1980112110581342e-53,4.097733137222074e-69,3.76,0.0,0.6079978180971464,0.9999999999999986,1.676386135663051e-50,1.6481400879286292e-51,5.050983205847556e-17,5.050983205847556e-17,8.576139420221546e-36,8.542171393350465e-39,1.4121227855249483e-15,1.39201013166483e-39,1.0235399567782845e-40,1.4609829843371718e-20,1.3725501757808485e-34,8.041631866627189e-38,2.164894750717971e-34,2.598442039772871e-18,5.495182729056505e-39,1.5820016206606832e-35,9.526308083924675e-22,9.714212067463552e-40,5.5154391944118514e-36,9.57261259577205e-36,4.9812911651666054e-43,6.276586880152189e-44,1.3819132032925208e-24,3.67247613484434e-58,1.1701199730553219e-35,8.403794803055133e-38,1.1975679082562744e-51,1.2836764145288293e-53,8.98815168182572e-67,1.209505904751845e-53,1.965753209134025e-70,1.0287559655203994e-74,8.559277623018779e-79,8.114320017247319e-74,9.229884447823898e-63,1.7767640299228369e-59,4.645479806051069e-79,5.394294672944685e-52,1.3741425363193133e-58,2.103230294809198e-52,2.852286765736276e-57,1.2286375621085505e-70,1.0647633621588067e-23,8.45629940850059e-40,3.172693645855522e-57,3.800027798851279e-52,5.315497667553968e-40,2.077073541041542e-45,1.4065229210165437e-60,2.3767410817428633e-35,1.5994385565902743e-58,4.7975926766873886e-52,2.336035151165599e-69,8.486658386195795e-63,9.526308083925474e-22,6.026687698519766e-76,1.6789233052066228e-57,1.2032331080629646e-55,1.6326744585776933e-59,1.7676242993432177e-89,3.022779605518383e-73,2.955669903335321e-55,2.132911932230071e-55,3.287143877002147e-54,8.260793245987297e-86,2.3071186713834915e-72
7.110814682724594e-22,0.8030142346540335,9.139702693749292e-25,1.2011288916379804e-25,7.617563662885954e-35,2.4337448277920052e-23,0.0,0.0,3.3392982814582473e-20,6.328272645471515e-38,5.966733782811832e-51,2.2168063986719667e-52,3.1126893049503786e-52,5.62560070798142e-64,8.890821355968577e-44,1.4367350747565544e-37,5.633623882410168e-35,8.214200310052549e-52,1.2554822700495905e-60,3.62245024443589e-58,3.4127985453648513e-35,2.1223092589913598e-54,3.1586587503826867e-24,2.2515209730809772e-68,9.252376408109429e-53,7.397152956818547e-56,2.2190340443895313e-37,3.7291439782063324e-37,5.719374215239188e-75,1.3858206033303808e-57,3.667502361569891e-68,3.978194891269562e-59,2.158020441288465e-52,8.096549294159129e-68,3.76,0.0,0.6079978180971463,0.9999999999999968,1.6458858488521059e-49,1.618153711665749e-50,1.15451044705087e-16,1.15451044705087e-16,4.129041959271246e-35,4.112687816533311e-38,3.2277092240548956e-15,6.701929574307766e-39,4.9279042952204286e-40,3.339389678484877e-20,6.608238263526858e-34,3.871699581448329e-37,1.0423036316370381e-33,5.9392960909094186e-18,2.6456939364405207e-38,7.616656809406058e-35,2.177441847753972e-21,4.6769749490401274e-39,2.6554465525407667e-35,4.6088008987589114e-35,2.3982772695864182e-42,3.02190639859152e-43,3.15865875038299e-24,3.605658846676156e-57,5.633623976233133e-35,4.046065444913905e-37,1.1757792738068488e-50,1.2603211158817373e-52,1.6200920181265572e-65,1.2604934960555276e-52,4.1349033336370767e-69,2.032648427660851e-73,1.6911690221439671e-77,1.6032528993826562e-72,9.061955283336526e-62,1.7444374609118222e-58,9.178685266450155e-78,5.2961504976258887e-51,1.3491412907128517e-57,2.0649639754289734e-51,2.800392060429269e-56,2.427580779589595e-69,2.4337448277910645e-23,4.071344152304493e-39,3.11496943531929e-56,3.7308898267693225e-51,2.55918331411368e-39,1.0000214995622926e-44,1.5130685679324045e-59,1.1442985208126234e-34,1.5703382589124716e-57,4.710304939310187e-51,4.615611803113622e-68,8.33472994269892e-62,2.1774418477543567e-21,1.1907719308760733e-74,1.6483769682938287e-56,1.1813414019693103e-54,1.6029694650969307e-58,9.203983080018875e-88,5.972503125883118e-72,2.901894237978031e-54,2.0941055830694688e-54,3.2273373509368007e-53,3.268836901425214e-84,4.558477711905508e-71
1.5110481200789763e-21,0.8030142346540335,1.9421868257695763e-24,2.5523988947308433e-25,3.3267901828972668e-34,5.171707759058011e-23,0.0,0.0,7.096008848098757e-20,2.763722922884734e-37,5.2775084911359935e-50,1.9607401551305988e-51,2.7531384401439027e-51,4.975780118312949e-63,3.882855268944431e-43,6.274599535559381e-37,2.460351557998846e-34,7.265367151382776e-51,1.110459849994733e-59,3.204016218281681e-57,1.4904587870059695e-34,1.87715850519018e-53,6.712149844562895e-24,4.0064612732932063e-67,8.183622153143096e-52,6.796429437232559e-55,9.6911046642875e-37,1.6286151486661554e-36,1.0177320835100901e-73,1.2257426297265101e-56,6.648498716134757e-67,3.65664648770867e-58,1.9087446416122192e-51,1.4407474228786582e-66,3.76,0.0,0.6079978180971461,0.9999999999999931,1.4557673942550104e-48,1.4312386329605889e-49,2.453334699983098e-16,2.453334699983098e-16,1.8032611032572115e-34,1.7961188194623368e-37,6.858882101107564e-15,2.9269087205547563e-38,2.1521452733624085e-39,7.096203066779992e-20,2.885991263644108e-33,1.6908729264254353e-36,4.552013797039118e-33,1.2621004193182511e-17,1.155444050646947e-37,3.326394136157378e-34,4.627063926476169e-21,2.042557835381251e-38,1.1597032743209494e-34,2.0127844365279473e-34,1.0473906920129588e-41,1.3197459168554163e-42,6.712149844564219e-24,3.189164417096901e-56,2.4603515989738e-34,1.767023079449389e-36,1.0399634524055165e-49,1.1147397543148834e-51,2.7350689731299452e-64,1.1438811132080613e-51,7.561451105028292e-68,3.616989273032229e-72,3.009344916088855e-76,2.8529028752739446e-71,8.01519682472325e-61,1.5429351795249874e-57,1.633298001635142e-76,4.684385138149773e-50,1.1933001930972938e-56,1.8264372512934867e-50,2.4769150640178063e-55,4.3197502921361146e-68,5.1717077590539047e-23,1.778062955098508e-38,2.7551551896362425e-55,3.299929800793765e-50,1.1176625890385983e-38,4.3673566177691223e-44,1.3907690227684369e-58,4.997452274525553e-34,1.3889464056229452e-56,4.166211376314218e-50,8.213234592447077e-67,7.376383131772536e-61,4.627063926477849e-21,2.1189150283726344e-73,1.4579708063418358e-55,1.0448830925994812e-53,1.417808338893428e-57,3.67306803394773e-86,1.0627750211446941e-70,2.566692590584765e-53,1.8522126732528196e-53,2.85454333846871e-52,1.1667913170457436e-82,8.111567529802686e-70
3.11098142369201e-21,0.8030142346540335,3.998619949205455e-24,5.2549389009170015e-25,1.3888694133639098e-33,1.0647633621590025e-22,0.0,0.0,1.460942998137972e-19,1.1537999163098261e-36,4.436063892970449e-49,1.6481202439097623e-50,2.314178747976452e-50,4.182443002692266e-62,1.6210156406284265e-42,2.6195217903567024e-36,1.0271483433471567e-33,6.1069788619479695e-50,9.33408414179803e-59,2.69316868796201e-56,6.222372038350908e-34,1.5778648308970683e-52,1.38191320329223e-23,6.757482534098269e-66,6.878827519940647e-51,5.813409312155905e-54,4.045845427563466e-36,6.799147652145522e-36,1.7165539150615879e-72,1.030310536818613e-55,1.1313259856117075e-65,3.1283380558849776e-57,1.6044148818056593e-50,2.430039036196951e-65,3.76,0.0,0.6079978180971459,0.9999999999999859,1.2236602114407787e-47,1.203042309600208e-48,5.050983205847553e-16,5.050983205847553e-16,7.528260133433524e-34,7.498442504556131e-37,1.4121227855183995e-14,1.2219267745188944e-37,8.98478286566648e-39,1.4609829843369032e-19,1.2048445417191802e-32,7.059061623439816e-36,1.9003761536928424e-32,2.5984420397728694e-17,4.823751461840074e-37,1.3887040716461663e-33,9.526308083917316e-21,8.527276884424823e-38,4.841532882239666e-34,8.402978805093839e-34,4.372649959880956e-41,5.50967941038046e-42,1.3819132032927836e-23,2.680684854139696e-55,1.0271483604533945e-33,7.376973517507051e-36,8.741519442454836e-49,9.370059316105349e-51,4.486757318752366e-63,9.72994677483335e-51,1.291637348629997e-66,6.100581079230133e-71,5.075700056076385e-75,4.811837692383235e-70,6.737255883001575e-60,1.2969299880071248e-56,2.754795807604018e-75,3.93750796398592e-49,1.0030407140299727e-55,1.5352305608113525e-49,2.0819963566339268e-54,7.285890255663131e-67,1.0647633621572884e-22,7.42306282514283e-38,2.3158739474475534e-54,2.77378983325225e-49,4.666021296915092e-38,1.8232854163406937e-43,1.1898315425841791e-57,2.0863379495696437e-33,1.1674931427612373e-55,3.501951694858899e-49,1.38528206117588e-65,6.20771143706918e-60,9.526308083924332e-21,3.5738599027476336e-72,1.2255123315136923e-54,8.782871990293652e-53,1.1917533383131344e-56,1.3054659082507126e-84,1.7925254131820766e-69,2.157459777216347e-52,1.5568963560866902e-52,2.3994156751179354e-51,3.9426006671289244e-81,1.368134425063524e-68
6.310848030918077e-21,0.8030142346540335,8.111486238663548e-24,1.0660018913291048e-24,5.673984730522222e-33,2.1599485346654057e-22,0.0,0.0,2.9636272247941414e-19,4.7136491337678476e-36,3.6369532000948124e-48,1.3512285512956229e-49,1.8973035543821527e-49,3.4290194661818224e-61,6.6223778163705e-42,1.0701601242516574e-35,4.1962361328241025e-33,5.0068702391467416e-49,7.652646121612708e-58,2.208022404850088e-55,2.542042008666465e-33,1.2936289189470177e-51,2.803309640963709e-23,1.1099185353701927e-64,5.639678402098741e-50,4.806217308171237e-53,1.6528598698454968e-35,2.7776736666243977e-35,2.8194449644877114e-71,8.447108268239649e-55,1.8662608301135564e-64,2.5865704007530683e-56,1.3153962547838406e-49,3.991352821792405e-64,3.76,0.0,0.6079978180971454,0.9999999999999714,1.0032305717766933e-46,9.863267701649588e-48,1.024628021757646e-15,1.024628021757646e-15,3.0755399055811187e-33,3.063358431263381e-36,2.8645919363221234e-14,4.991969578803949e-37,3.670576966889277e-38,2.963708339654239e-19,4.9221830840114405e-32,2.8838570084555276e-35,7.763656665303772e-32,5.271125280682103e-17,1.9706598673004912e-36,5.6733092556552664e-33,1.9324796398786615e-20,3.483670845498959e-37,1.9779241577194125e-33,3.432891024326413e-33,1.7863701846637606e-40,2.2508838155628593e-41,2.80330964096597e-23,2.1977874035782055e-54,4.196236202708669e-33,3.013734386616015e-35,7.166825779282871e-48,7.682140742481963e-50,7.265405469009679e-62,8.022936187142291e-50,2.1345341348806855e-65,1.0020222741517315e-69,8.336852583454354e-74,7.903457869771863e-69,5.5236094207136744e-59,1.0633015626857636e-55,4.524760386096334e-74,3.2282069230748247e-48,8.223533785312711e-55,1.2586747684754414e-48,1.7069464020877278e-53,1.196709662308338e-65,2.1599485346584017e-22,3.0325633726460452e-37,1.8986933813356097e-53,2.2741204906210842e-48,1.906221948315416e-37,7.448715849207482e-43,9.83775479398867e-57,8.523371279301821e-33,9.571814129996358e-55,2.8711115784543364e-48,2.275329945219886e-64,5.101620047351366e-59,1.9324796398815287e-20,5.870075622765342e-71,1.0047490619649981e-53,7.200729106694365e-52,9.770713896370146e-56,4.3971687164079765e-83,2.944228377863345e-68,1.7688158735908616e-51,1.2764376964882313e-51,1.9671859370444144e-50,1.2962859462129147e-79,2.247164901413394e-67
1.2710581245370211e-20,0.8030142346540338,1.6337218987925086e-23,2.1470178938046036e-24,2.2935153472879797e-32,4.3503188796782155e-22,0.0,0.0,5.968995678106386e-19,1.9053323446344904e-35,2.94529899778915e-47,1.0942599139790978e-48,1.53648560925552e-48,2.776908867066669e-60,2.676870996108092e-41,4.325758326104998e-35,1.6961857369304185e-32,4.054693331538104e-48,6.197311238431921e-57,1.788113790391929e-54,1.0275340236578754e-32,1.0476142381577168e-50,5.646102516305057e-23,1.799225775470339e-63,4.5671577885527675e-49,3.908169197596029e-52,6.681123863473897e-35,1.122780107228913e-34,4.570441800188412e-70,6.840687281681416e-54,3.031771728226887e-63,2.1033560932523255e-55,1.0652419910811158e-48,6.470160080452386e-63,3.76,0.0,0.6079978180971443,0.9999999999999423,8.124421275344793e-46,7.987529907277605e-47,2.0636874241034255e-15,2.063687424103425e-15,1.2431824034835068e-32,1.2382584568024523e-35,5.769530237883324e-14,2.017833918483673e-36,1.4837058975081596e-37,5.969159050287012e-19,1.9896251014901073e-31,1.1657011147732507e-34,3.1381941543049953e-31,1.0616491762500557e-16,7.96572226506827e-36,2.2932423095466025e-32,3.892177302847324e-20,1.4081554548699963e-36,7.99508568833883e-33,1.3876294392368978e-32,7.220793902409916e-40,9.098432267946094e-41,5.646102516314196e-23,1.77982522089979e-53,1.6961857651788822e-32,1.2181996245338612e-34,5.8038813285679645e-47,6.2211967462104355e-49,1.169307240329238e-60,6.5154272904101e-49,3.470576423531972e-64,1.62432128646575e-68,1.351439729706729e-72,1.2811845823483443e-67,4.473162118096095e-58,8.610891755362688e-55,7.334831570935604e-73,2.6142856632032917e-47,6.659630868891487e-54,1.019307460856336e-47,1.3823294519808347e-52,1.9399179323213135e-64,4.350318879649903e-22,1.2258106017398066e-36,1.5376111271681248e-52,1.8416417338568544e-47,7.705253893756005e-37,3.0108900410294444e-42,7.9998978319181365e-56,3.4452829480758113e-32,7.751503209627374e-54,2.3251005948256235e-47,3.6884078918146246e-63,4.1511247365158925e-58,3.892177302858913e-20,9.515645546063391e-70,8.136718483987442e-53,5.831337137834319e-51,7.91257743912482e-55,1.4431948012936328e-81,4.772721088400917e-67,1.432432954081413e-50,1.0336923405833264e-50,1.5930781745479254e-49,4.204545295394548e-78,3.642751142087779e-66
2.551004767427448e-20,0.803014234654034,3.2788685167829545e-23,4.309049898758364e-24,9.22212433897683e-32,8.731059569703842e-22,0.0,0.0,1.1979732584730503e-18,7.661257558214118e-35,2.3706328694304216e-46,8.807555775113697e-48,1.2366972895563795e-47,2.235097841857877e-59,1.0763580542444575e-40,1.73936839754814e-34,6.820288247234185e-32,3.2635699435693054e-47,4.9881352400326525e-56,1.4392295410485389e-53,4.131669116540149e-32,8.432110792478733e-50,1.133168826698131e-22,2.8975976443503843e-62,3.676045921969339e-48,3.152013650221065e-51,2.6864505208541254e-34,4.5146494294911945e-34,7.360555667430565e-69,5.505980250623911e-53,4.887777314196619e-62,1.6964328885702746e-54,8.573994283835015e-48,1.0419997484509998e-61,3.76,0.0,0.6079978180971422,0.9999999999998842,6.539241051077549e-45,6.429058968770203e-46,4.141806228794978e-15,4.141806228794976e-15,4.998781767220379e-32,4.978982794204579e-35,1.1579406840820725e-13,8.113621438699137e-36,5.965916158245299e-37,1.1980060471544975e-18,8.000195026169461e-31,4.6872329376255685e-34,1.26185406716576e-30,2.1307224726137418e-16,3.202981888293015e-35,9.221026466225458e-32,7.811572628763858e-20,5.662131151223017e-36,3.2147887915945505e-32,5.579596945003296e-32,2.9034494699374045e-39,3.6584395986482115e-40,1.1331688267018058e-22,1.4325581790680766e-52,6.820288360820047e-32,4.898327111856671e-34,4.671468619493064e-46,5.007360373234463e-48,1.876329862916653e-59,5.2514708263148504e-48,5.597576358160589e-63,2.6159193568008063e-67,2.1764520221018526e-71,2.0633082837588803e-66,3.6003900288837296e-57,6.930794849473825e-54,1.1812520124449033e-71,2.104204539427569e-46,5.360250298129839e-53,8.204273222386159e-47,1.1126190028923652e-51,3.12417802566355e-63,8.73105956959e-22,4.9289305164831395e-36,1.237603204309605e-51,1.4823134866123144e-46,3.0982487017395063e-36,1.2106656431705375e-41,6.4522070258088805e-55,1.3853331205163799e-31,6.239084086052203e-53,1.8714432378938216e-46,5.940067202454027e-62,3.3728999396453453e-57,7.811572628810461e-20,1.5324653810042736e-68,6.549139011987019e-52,4.693567468342268e-50,6.368730706483726e-54,4.676758578503452e-80,7.686320217605358e-66,1.1529466602938584e-49,8.320055250395626e-50,1.2822479095285267e-48,1.3545619982345677e-76,5.866538414530613e-65
5.110898053208302e-20,0.8030142346540348,6.569162025316402e-23,8.633113908676929e-24,3.698484329523144e-31,1.749254094975513e-21,0.0,0.0,2.400120639797724e-18,3.072506938962871e-34,1.9022835807894004e-45,7.067508833534545e-47,9.923716903950802e-47,1.793525256595583e-58,4.316677210552621e-40,6.975645225678708e-34,2.7352406319850905e-31,2.6188093472583607e-46,4.0026643906687495e-55,1.1548910674331397e-52,1.656984109150393e-31,6.7662378751695496e-49,2.2702859768308057e-22,4.6512859402463486e-61,2.949795343085769e-47,2.5318422951754714e-50,1.077386813299995e-33,1.8105763438463665e-33,1.1815322114615227e-67,4.41820239657477e-52,7.850133732976196e-61,1.3626671521660003e-53,6.880090441492236e-47,1.6726406960435555e-60,3.76,0.0,0.6079978180971379,0.999999999999768,5.247329116475736e-44,5.1589149344408945e-45,8.298043838178053e-15,8.29804383817805e-15,2.004735064603618e-31,1.996794790914168e-34,2.319916004595555e-13,3.2539250875356424e-35,2.3925992116753044e-36,2.4001863314030555e-18,3.208436022936896e-30,1.879790069272081e-33,5.060599187352544e-30,4.268869065341096e-16,1.2845389940945571e-34,3.6980440334447344e-31,1.5650363280513767e-19,2.2707678367401134e-35,1.2892740903546002e-31,2.23766792851235e-31,1.1644130973832968e-38,1.4671979068211338e-39,2.270285976845543e-22,1.1495377193284173e-51,2.7352406775381265e-31,1.964448254866743e-33,3.7485593683218565e-45,4.018091346978658e-47,3.0064638534876126e-58,4.21688781922674e-47,8.992004200405786e-62,4.1991299063579816e-66,3.4936875068064086e-70,3.3120667832053253e-65,2.8890862534242725e-56,5.561526435225198e-53,1.8961710877414743e-70,1.6884916246678864e-45,4.301263287564345e-52,6.58341257382887e-46,8.928066795138966e-51,5.014997632246153e-62,1.749254094929857e-21,1.9767215889121748e-35,9.930986299630235e-51,1.1894632201549512e-45,1.242536301955989e-35,4.855310712942885e-41,5.182763413051718e-54,5.555805418652629e-31,5.006471954809948e-52,1.5017153390282415e-45,9.535123386276181e-61,2.757436202571716e-56,1.5650363280700669e-19,2.4599463293250183e-67,5.255271750010882e-51,3.766292342683585e-49,5.110505311001022e-53,1.5059907803761772e-78,1.233824633880491e-64,9.251670848391131e-49,6.6763203618624865e-49,1.0289231942174571e-47,4.3492333069012704e-75,9.417093397465057e-64
