Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59)
0.0,0.5319248006298811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.71612800264279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.088968334288924e-21,0.5319248006298811,1.2113308923704272e-28,1.1491287461331542e-32,6.474933070493724e-44,6.062280790819759e-43,0.0,0.0,2.861379887692853e-23,6.852869754537546e-42,3.05202482073637e-84,2.033548988319375e-102,8.732701162720181e-77,1.9504344822967972e-100,1.0279857334768392e-92,2.164480216716696e-88,2.8873347806596953e-93,1.7564678191664405e-77,4.843444452697331e-72,5.572052418454909e-71,2.7323348975808914e-42,7.902109722906283e-64,5.443629002749933e-103,-1.1756293311187522e-137,8.401175254771577e-103,1.0223445576424511e-87,1.275779565433528e-63,-1.0233667596910278e-99,6.312454428231494e-160,-3.4125995234786885e-123,3.761523264847531e-101,1.8520060556945444e-97,5.727554627547041e-78,-6.684381621391237e-125,3.76,0.0,0.71612800264279,0.9999999999999998,3.549907114832355e-58,2.9344754593939388e-109,6.403119629920461e-20,6.403119629920461e-20,5.451241355034957e-42,7.50093659810987e-47,3.499999882837109e-16,2.4551047427375366e-45,2.361835805800529e-47,2.861392001001764e-23,9.499089026699196e-38,9.102242079860126e-52,1.3358643498918254e-38
5.8491113360089874e-21,0.5319248006298811,3.3917264988782435e-28,3.217560489193692e-32,3.910859574807596e-43,3.661617597872278e-42,0.0,0.0,8.011863685539986e-23,4.1391333317406763e-41,6.827456756602776e-83,1.1711898898463495e-100,2.0549209098793325e-75,6.132478082052917e-99,2.299562966769976e-91,6.80547211821163e-87,1.492479053753885e-91,4.943654158598313e-76,5.750137255311662e-71,6.615140631189346e-70,1.650330278138858e-41,9.381384663033924e-63,3.135251591885776e-101,4.304033850705216e-136,4.340196135358479e-101,2.5168164929972665e-86,1.9239769194840268e-62,1.02121986962838e-98,2.9714206199048468e-158,5.788532649791494e-122,1.9432696300944433e-99,9.573120308564427e-96,1.612960376806817e-76,1.3073568850285548e-123,3.76,0.0,0.71612800264279,0.999999999999999,4.21444979893091e-57,2.7596681432171766e-107,1.7928734963777293e-19,1.7928734963777293e-19,3.2925497784391537e-41,4.530565705257911e-46,9.799999671878528e-16,1.4828832646134136e-44,1.426548826716147e-46,8.0118976028049e-23,5.737449772126235e-37,1.0806181797209798e-50,8.068620673346592e-38
1.3369397339449114e-20,0.5319248006298811,7.752517712858066e-28,7.354423975398207e-32,1.882910537243656e-42,1.762911254296102e-41,0.0,0.0,1.8312831281234246e-22,1.9928145246195172e-40,1.3490090312806145e-81,5.2520666977278375e-99,4.157992899340669e-74,1.3681221255610124e-97,4.543548914516264e-90,1.5182633927403588e-85,6.513011617184204e-90,1.074598219250667e-74,5.645518857263893e-70,6.49478429895005e-69,7.945629882165231e-41,9.21069909301828e-62,1.4059784085450805e-99,8.86245004296181e-134,1.8937288719955753e-99,5.176077821367685e-85,2.0683560770191968e-61,5.623815808729821e-97,1.5669018252549275e-155,6.809188462166621e-120,8.478938937496946e-98,4.177602671716808e-94,3.5065792797654007e-75,1.3787948245257796e-121,3.76,0.0,0.71612800264279,0.9999999999999978,4.137771835955652e-56,2.4105618431938745e-105,4.097996563149095e-19,4.097996563149095e-19,1.5852209860412247e-40,2.181272362729674e-45,2.239999924969987e-15,7.139444591879878e-44,6.868218523455412e-46,1.8312908806411025e-22,2.7623350889640072e-36,1.0609573368284523e-49,3.884693529485378e-37
2.8409969346329366e-20,0.5319248006298811,1.647410014467447e-27,1.5628150948141001e-31,8.223165003082545e-42,7.699096607706828e-41,0.0,0.0,3.8914766472622748e-22,8.703144588262672e-40,2.400508201622256e-80,1.9759529184028896e-97,7.478303893386487e-73,2.5623413287959317e-96,8.08500253844638e-89,2.843539305201301e-84,2.424078857610769e-88,1.9915678053134634e-73,4.993397499579042e-69,5.744563161328194e-68,3.4700653199277315e-40,8.146759039924766e-61,5.289642169163485e-98,1.4038394735610134e-131,7.047846028412517e-98,9.376749217821156e-84,1.9006788305231796e-60,2.2127144223603872e-95,5.268021048205219e-153,5.380750167217508e-118,3.155586677575479e-96,1.5548626346271083e-92,6.499173465613357e-74,1.0895729060605017e-119,3.76,0.0,0.71612800264279,0.9999999999999952,3.659812343506315e-55,1.7979380039933647e-103,8.708242696691825e-19,8.708242696691825e-19,6.923076520864012e-40,9.526189479592548e-45,4.759999840429656e-15,3.1179830232757624e-43,2.999531473559489e-45,3.891493121362265e-22,1.2063843063906746e-35,9.384047494651674e-49,1.6965477243625658e-36
5.849111336008987e-20,0.5319248006298811,3.391726502373432e-27,3.217560489496165e-31,3.433009517175736e-41,3.214221278321798e-40,0.0,0.0,8.011863685539966e-22,3.633391543855797e-39,4.0488347426194577e-79,6.84208856571012e-96,1.267675150471138e-71,4.425807438374875e-95,1.3636538529955473e-87,4.9115070116700835e-83,8.350487489634658e-87,3.4225691339752737e-72,4.197251479543896e-68,4.8286514729905586e-67,1.4486839626973885e-39,6.847841852110134e-60,1.8316351418218203e-96,1.9926864007271856e-129,2.4277769176949946e-96,1.5950820513634712e-82,1.6258812329905695e-59,7.81707774611066e-94,1.5356584734681056e-150,3.807519450570563e-116,1.0870073545177318e-94,5.356204067779844e-91,1.1169343175516226e-72,7.721751620822059e-118,3.76,0.0,0.71612800264279,0.9999999999999902,3.076292801354522e-54,1.2400819612190717e-101,1.7928734963777292e-18,1.7928734963777292e-18,2.8902481664121896e-39,3.976996584311565e-44,9.799999670930592e-15,1.3016965345986246e-42,1.2522453444085877e-44,8.011897602804345e-22,5.036417001954804e-35,7.88785735053184e-48,7.082752783125982e-36
1.186534013876109e-19,0.5319248006298811,6.880359484356214e-27,6.527051279394316e-31,1.402496405510525e-40,1.3131142709794131e-39,0.0,0.0,1.6252637762095316e-21,1.484359000311843e-38,6.650282649704247e-78,2.2764045325080772e-94,2.0872344767749635e-70,7.353545259601072e-94,2.2398055549264674e-86,8.160542358417735e-82,2.7710939602686756e-85,5.672322435262189e-71,3.4411603606400634e-67,3.958820212388406e-66,5.918346681556114e-39,5.614274479533928e-59,6.093965488256965e-95,2.6838512459542265e-127,8.05641505823897e-95,2.6309893404467127e-81,1.3442359450771193e-58,2.626061912228969e-92,4.190192677504696e-148,2.560112277579393e-114,3.6071610551069897e-93,1.7774465017392283e-89,1.8511538084849048e-71,5.196148526621145e-116,3.76,0.0,0.71612800264279,0.9999999999999801,2.522130704662441e-53,8.23505820544881e-100,3.636971949794822e-18,3.636971949794822e-18,1.1807606824428404e-38,1.6247328708916665e-43,1.9879999330258874e-14,5.3178550769522935e-42,5.115830830260556e-44,1.6252706565687525e-21,2.0575406795382134e-34,6.466942020232665e-47,2.893535616439288e-35
2.389779774426529e-19,0.5319248006298811,1.3857625473005036e-26,1.3146032861326707e-30,5.669114722290839e-40,5.307817842937303e-39,0.0,0.0,3.273418591520588e-21,6.00001640784578e-38,1.0780564661757598e-76,7.4267795383598556e-93,3.387553254207212e-69,1.1988134735588888e-92,3.630821345657631e-85,1.3303743661136284e-80,9.029004796005657e-84,9.235641327735639e-70,2.7867408950893636e-66,3.205955247331975e-65,2.3922903549071544e-38,4.5465850334151195e-58,1.9881594606375654e-93,3.523189369060104e-125,2.6249876808085685e-93,4.274170446605429e-80,1.0930810352919552e-57,8.608356885547699e-91,1.107144787020467e-145,1.679072824153559e-112,1.1753060275065246e-91,5.791421452077604e-88,3.0140590701640257e-70,3.409308515951328e-114,3.76,0.0,0.71612800264279,0.9999999999999599,2.0424868398898358e-52,5.367967777636969e-98,7.325168856629008e-18,7.325168856629008e-18,4.772823465727707e-38,6.567430036558109e-43,4.0039998642221066e-14,2.149562047288673e-41,2.0679006173009585e-43,3.273432449144995e-21,8.316908399140702e-34,5.237097314776411e-46,1.1696133598187572e-34
4.79627129552737e-19,0.5319248006298811,2.781215754903571e-26,2.638399603373584e-30,2.2795261052761842e-39,2.1342502186429837e-38,0.0,0.0,6.569728222142645e-21,2.4125802085639136e-37,1.7362296122277496e-75,2.3995932258588217e-91,5.458793632097545e-68,1.9360869695634928e-91,5.847325913956241e-84,2.14855815564948e-79,2.9153790360705405e-82,1.4906151125982986e-68,2.243011540609163e-65,2.580431694847092e-64,9.619294300329431e-38,3.6594871788396885e-57,6.423746216503283e-92,4.5667570854660974e-123,8.475802334153114e-92,6.891851528229203e-79,8.815977948271757e-57,2.787922143667011e-89,2.8792554835008787e-143,1.0877849798707954e-110,3.7949363798684974e-90,1.8699944325353597e-86,4.864652000656373e-69,2.209157609959596e-112,3.76,0.0,0.71612800264279,0.9999999999999196,1.6439711075330602e-51,3.4670298559736773e-96,1.4701562670297378e-17,1.4701562670297378e-17,1.9191313238510096e-37,2.6407347330754528e-42,8.035999723936793e-14,8.64329445095104e-41,8.314937437515472e-43,6.569756034295911e-21,3.344192288199292e-33,4.215271536097436e-45,4.702963878365485e-34
9.609254337729052e-19,0.5319248006298811,5.572122209602919e-26,5.2859922412731514e-30,9.141919298240713e-39,8.559298012710635e-38,0.0,0.0,1.3162347483386545e-20,9.675525689212654e-37,2.7872014496407452e-74,7.715744216846511e-90,8.765166955959846e-67,3.1122032823258043e-90,9.38625329999785e-83,3.453744486616066e-78,9.371174631130065e-81,2.3953616132421635e-67,1.799875545159236e-64,2.0706339251891595e-63,3.8577672478850745e-37,2.9365079945484156e-56,2.065516184259267e-90,5.882248910871269e-121,2.724451290475702e-90,1.1073008467361054e-77,7.08142641054039e-56,8.974913589034634e-88,7.429006869883268e-141,7.004294489750394e-109,1.2198395191197252e-88,6.010897442178426e-85,7.8173241922737e-68,1.4226283252789875e-110,3.76,0.0,0.71612800264279,0.999999999999839,1.3191832900841907e-50,2.2290402382022563e-94,2.945435029763412e-17,2.945435029763412e-17,7.696574960481472e-37,1.0590527376965622e-41,1.6099999432655162e-13,3.4663476556054827e-40,3.334661811057668e-42,1.3162403204591461e-20,1.3411706802211952e-32,3.3824899391833997e-44,1.8860988604240085e-33
