Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71)
0.0,0.5857265520967104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.000253826433513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3845807909843009e-21,0.5857265520967105,4.799392551372131e-28,6.989471551774745e-32,2.0934237785086617e-43,2.5765662905359496e-42,0.0,0.0,7.115326075164682e-23,2.30480341798089e-41,4.430665531354736e-62,1.654660569522853e-72,1.0954841330690448e-72,2.2365741430880396e-80,1.5860425442863802e-58,1.1174723500966354e-64,5.5542296184875775e-80,2.114522003873401e-76,1.0621086959586003e-70,1.278984597551002e-69,2.015050856409565e-41,9.337025950561801e-63,2.0165489135022377e-79,-3.3762703039761985e-135,9.378020696530922e-99,2.3497669137373348e-86,2.632922717399827e-62,-3.0872160582708214e-98,8.310530040600334e-158,-2.8071478174945093e-121,1.4600460270459305e-99,2.8252344356432385e-96,7.439594054822266e-77,-1.3384991221099355e-123,3.76,0.0,1.000253826433513,0.9999999999999998,1.0914583425220176e-57,6.7804275498758195e-96,1.905694149238006e-19,1.905694149238006e-19,3.750827637466001e-41,9.16556562375241e-46,3.57071319711865e-16,1.4117128924939354e-44,1.7241943696612113e-46,7.115374069090166e-23,2.5093729751504855e-37,2.021664965106893e-51,3.7165404232228373e-38,2.2004052829568944e-21,1.30996709075437e-43
3.876826214756042e-21,0.5857265520967104,1.3438299144769166e-27,1.9570520345036369e-31,1.2644279622905715e-42,1.5562460395733129e-41,0.0,0.0,1.9922913010461106e-22,1.3921012644604577e-40,5.260086118849236e-61,1.964414080061967e-71,1.3014232873623836e-71,2.6552608226739377e-79,9.579696967490132e-58,1.6887242154660547e-63,1.566381620088455e-78,5.951612162831718e-75,1.260935443971841e-69,1.518410514212506e-68,1.2170907172713776e-40,1.1084917208506675e-61,5.686990583901756e-78,1.4055960174339024e-133,4.854294679959902e-97,5.68411392113942e-85,3.9707836144153836e-61,3.080264773557457e-97,3.911285722697018e-156,4.7607740780332603e-120,7.543104192350325e-98,1.460091814477514e-94,2.0946746292761132e-75,2.6137771787558067e-122,3.76,0.0,1.000253826433513,0.999999999999999,1.2957793869935348e-56,3.509744576131492e-94,5.335943617866418e-19,5.335943617866418e-19,2.265499893028411e-40,5.5360016367459736e-45,9.997996951888149e-16,8.526745870663191e-44,1.0414133992807532e-45,1.9923047393452362e-22,1.5156612769908736e-36,2.4001206465748746e-50,2.2447904156265836e-37,6.161134792279306e-21,7.912201228156386e-43
8.861317062299525e-21,0.5857265520967104,3.071611233527203e-27,4.473261793182793e-31,6.087676348973279e-42,7.492654774222522e-41,0.0,0.0,4.553808688105394e-22,6.702368339488426e-40,5.164383743423361e-60,1.9286755606916528e-70,1.2795568136704176e-70,2.606950821182847e-78,4.6122117187853825e-57,1.816652450105155e-62,3.407222164241986e-77,1.2937125167830197e-73,1.2379938963977056e-68,1.4907844469053135e-67,5.859767890439019e-40,1.0883237447973915e-60,1.2370446714113564e-76,3.186423103169855e-131,2.119568754848958e-95,1.160911093379e-83,4.26880314473321e-60,1.6963296131009822e-95,2.0625749072871652e-153,5.600394579355371e-118,3.291272419081187e-96,6.371359065207568e-93,4.553611885969331e-74,2.756681707684301e-120,3.76,0.0,1.000253826433513,0.9999999999999977,1.2722039048631213e-55,1.5324918393001404e-92,1.2196442555123243e-18,1.2196442555123243e-18,1.0907406769735322e-39,2.6653464833864783e-44,2.285256446125086e-15,4.105261091372096e-43,5.013957227054566e-45,4.553839404217635e-22,7.297256611737322e-36,2.3564526833285063e-49,1.0807699550731864e-36,1.408259381092413e-20,3.809384299913695e-42
1.8830298757386493e-20,0.5857265520967104,6.527173873111291e-27,9.505681310648436e-31,2.658648199811757e-41,3.272239190369432e-40,0.0,0.0,9.67684346222395e-22,2.927100340835727e-39,4.567838936364774e-59,1.7058955224425572e-69,1.1349678709340715e-69,2.305818478556842e-77,2.01427403124431e-56,1.669816583302518e-61,6.316415665161982e-76,2.397666631398767e-72,1.094991581989671e-67,1.3185819606908976e-66,2.5591145876401488e-39,9.626100273989253e-60,2.2932723386760084e-75,5.2721854995220965e-129,7.890613725678637e-94,2.0966993098028403e-82,3.9227562077056227e-59,6.674310757201054e-94,6.93453685098703e-151,4.4255586175882666e-116,1.2249110177614085e-94,2.3713092717264783e-91,8.43960204451735e-73,2.178386778935467e-118,3.76,0.0,1.000253826433513,0.9999999999999951,1.1252499542811002e-54,5.705082876217905e-91,2.591744042963689e-18,2.591744042963689e-18,4.7635510995654814e-39,1.1640268342158092e-43,4.856169947927113e-15,1.7928753734670202e-42,2.1897268495517113e-44,9.67690873396227e-22,3.186903678440817e-35,2.0842557124264166e-48,4.720006337492851e-36,2.992551184821377e-20,1.6636582052580368e-41
3.876826214756043e-20,0.5857265520967104,1.3438299158213535e-26,1.957052034600904e-30,1.109933288360473e-40,1.3660954484920582e-39,0.0,0.0,1.9922913010461034e-21,1.222006772213464e-38,3.839543859111728e-58,1.4339144079432222e-68,9.594128593684086e-69,1.9381793672116215e-76,8.409197569811845e-56,1.42856324269555e-60,1.0856304677301947e-74,4.1204708174749786e-71,9.204064036286045e-67,1.1083475884836228e-65,1.0683799640683519e-38,8.091317296338117e-59,3.9415492165649364e-74,7.637414926264127e-127,2.718434633537204e-92,3.5615895233994907e-81,3.3556154385836074e-58,2.3579049778946444e-92,2.0214612806633956e-148,3.131613992642434e-114,4.219469488025729e-93,8.168625208286161e-90,1.450398263007981e-71,1.5437972999527976e-116,3.76,0.0,1.000253826433513,0.99999999999999,9.458403913387754e-54,1.9654875522545344e-89,5.3359436178664186e-18,5.3359436178664186e-18,1.9886888133697666e-38,4.859582893706804e-43,9.997996951249109e-15,7.484901756000347e-42,9.141678548679574e-44,1.992304739345089e-21,1.3304695514245174e-34,1.751942512121854e-47,1.9705097323926114e-35,6.161134792279306e-20,6.945445515179551e-41
7.86441889279083e-20,0.5857265520967104,2.7260549752154285e-26,3.970019841844753e-30,4.534439649626762e-40,5.580945658534951e-39,0.0,0.0,4.0415052106935044e-21,4.992296395483291e-38,3.1478900314219124e-57,1.1756202110573313e-67,7.954452904076886e-68,1.5890365451032586e-75,3.43543159263069e-55,1.1811637147653164e-59,1.7993528839131313e-73,6.828981782868292e-70,7.546047795764527e-66,9.08690316579198e-65,4.364680757017376e-38,6.633750776335164e-58,6.532828766899466e-73,1.0388101208967786e-124,9.021491167108503e-91,5.8704160087057006e-80,2.774337174717092e-57,7.921131295614909e-91,5.515757584293435e-146,2.105646659901603e-112,1.4002041070975574e-91,2.710729653706655e-88,2.4038093251754464e-70,1.038852415226608e-114,3.76,0.0,1.000253826433513,0.9999999999999797,7.754570999569722e-53,6.522736577424848e-88,1.0824342767671878e-17,1.0824342767671878e-17,8.124442695732334e-38,1.9852981763615732e-42,2.0281650956764865e-14,3.057826593655448e-41,3.7346739730831786e-43,4.041532471242553e-21,5.435402239092668e-34,1.4363483193454428e-46,8.050175218316437e-35,1.2498302007195163e-19,2.8374411172574947e-40
1.5839604248860402e-19,0.5857265520967104,5.490505103498083e-26,7.995955457019355e-30,1.8328930093566497e-39,2.2559074712510973e-38,0.0,0.0,8.139933029988252e-21,2.017966023006301e-37,2.5492429624157087e-56,9.520648064211193e-67,6.585231988103804e-67,1.2868429927760628e-74,1.38865637756865e-54,9.605027165769066e-59,2.929779719730343e-72,1.1118912503177797e-68,6.110985170064874e-65,7.358809777525172e-64,1.7642737472276826e-37,5.372183370274599e-57,1.0637018121516052e-71,1.370293723078448e-122,2.93952119432238e-89,9.533063419187596e-79,2.25598535986532e-56,2.5965859408285017e-89,1.4573900055670567e-143,1.3810080350777456e-110,4.562228087643365e-90,8.832298407338241e-87,3.9138862332564844e-69,6.816124534076702e-113,3.76,0.0,1.000253826433513,0.9999999999999591,6.279852662229437e-52,2.1253387480815838e-86,2.1801141067282794e-17,2.1801141067282794e-17,3.28402963622565e-37,8.024892650698332e-42,4.0848958963283437e-14,1.236022399595539e-40,1.5096149324796274e-42,8.13998793503644e-21,2.197076489645173e-33,1.1631921088504336e-45,3.254009534470956e-34,2.517263643702688e-19,1.1469390663757242e-39
3.178997496099955e-19,0.5857265520967104,1.1019405398041416e-25,1.6047826690116198e-29,7.36998220540857e-39,9.070904759090063e-38,0.0,0.0,1.6336788668577525e-20,8.114152625138187e-37,2.0518525159371964e-55,7.663320775662182e-66,5.531384978437859e-66,1.0357631933913402e-73,5.583726218892783e-54,7.746802375202699e-58,4.7286762798549465e-71,1.7945719603127808e-67,4.918652541649394e-64,5.923010310922189e-63,7.094067142024133e-37,4.324000545779304e-56,1.7168190133200612e-70,1.7804384154798065e-120,9.491535242095989e-88,1.5367435444373279e-77,1.819510230396455e-55,8.409364379755447e-88,3.790108684115217e-141,8.946843158869426e-109,1.473094598411074e-88,2.8518607781093265e-85,6.3169534552353334e-68,4.416694652755366e-111,3.76,0.0,1.000253826433513,0.999999999999918,5.054571777410224e-51,6.862590028703918e-85,4.375473766650463e-17,4.375473766650463e-17,1.3204938729973708e-36,3.2267740400665357e-41,8.198357495826883e-14,4.9699917065264735e-40,6.070095250314554e-42,1.6336898862620052e-20,8.834347933921008e-33,9.362382046284532e-45,1.3084229221565191e-33,5.052130529669031e-19,4.611791541683715e-39
6.369071638527784e-19,0.5857265520967104,2.2077206139040166e-25,3.2151569167300406e-29,2.9556925176177144e-38,3.6378385430844365e-37,0.0,0.0,3.273049994575517e-20,3.254138117026503e-36,1.6464824239403925e-54,6.14977353874773e-65,4.809341468085995e-65,8.311347326010351e-73,2.239323952047491e-53,6.222652956956389e-57,7.598855837719715e-70,2.8838090116710673e-66,3.946908951856616e-63,4.752842756336042e-62,2.8450382138595282e-36,3.469738121932353e-55,2.7588820651060624e-69,2.296048172637503e-118,3.0509691000520848e-86,2.4683775572625464e-76,1.461520115847628e-54,2.7071533099058667e-86,9.77917612235055e-139,5.760911586276553e-107,4.735097104179795e-87,9.166996082229374e-84,1.0151115088612661e-66,2.8442113662187186e-109,3.76,0.0,1.000253826433513,0.9999999999998357,4.055975555429141e-50,2.2059182432403537e-83,8.76619308649483e-17,8.76619308649483e-17,5.2957710357031616e-36,1.2940807110476225e-40,1.642528068760326e-13,1.9931889626234543e-39,2.434379688698762e-41,3.2730720717770644e-20,3.542968647364808e-32,7.512721969904805e-44,5.247361124299553e-33,1.0121864301601718e-18,1.849534675633007e-38
