Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145)
0.0,0.5839036634164412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7164667072377695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6932941778555e-22,0.5839036634164412,6.551495875087206e-69,3.911589681839523e-31,1.635202164759417e-79,3.8283911646738585e-99,0.0,0.0,6.124354981932989e-68,2.4356588297185046e-128,1.3461582797482545e-81,7.67348657813123e-99,7.560288174118319e-75,2.0494584951409627e-124,1.5851306326833883e-99,2.073605862536113e-84,-1.9433916397342577e-129,3.3362885944291436e-99,1.6351941944493235e-79,6.779504569441575e-68,3.2559760954970714e-40,2.2589092791738313e-61,2.804191852466676e-99,5.783754369001479e-207,-3.5282976262941886e-148,2.582360990228954e-63,3.7710699934044654e-106,-4.090435850495286e-174,4.2281367310680654e-273,-5.39004894870149e-255,2.8346729491720167e-156,-2.935702904134798e-131,-2.954040477134606e-114,1.3898791149779477e-203,3.76,0.0,0.7164667072377695,0.9999999999999998,1.0842937939163422e-99,4.6917425910046094e-188,1.3786408033949458e-18,1.3345562871165379e-18,4.408451627840811e-20,6.825162622622506e-39,3.4277735684412966e-16,7.561096807816605e-44,1.7344270682417786e-45,4.9056772967794e-107,-2.141347894333022e-112
2.4341223697995405e-21,0.5839036634164412,7.777935902903609e-68,1.0952451109153166e-30,5.141315823812911e-78,2.0261196907134672e-97,0.0,0.0,7.270834234550914e-67,1.8794634705263926e-126,3.012645354198632e-80,4.061077208061821e-97,1.6912062233975503e-73,2.1451842628324457e-122,9.129540806729271e-98,5.981607399280851e-83,1.7933850934929185e-127,1.765681647901564e-97,5.141312149395832e-78,8.048627824840975e-67,1.9666095616802534e-39,2.6817770962351545e-60,1.4840772753963243e-97,1.4161111161988625e-203,5.825436618415167e-146,3.90246392843488e-62,2.2894250053896606e-104,4.871089411903679e-172,-3.5930668533941024e-269,1.3474882341743654e-252,2.1120568865744665e-154,8.834370165403963e-130,1.5308642202571566e-112,8.998043469504761e-201,3.76,0.0,0.7164667072377695,0.999999999999999,5.7384653549618886e-98,6.321285013128034e-185,3.8601942495058485e-18,3.736757603926357e-18,1.234366455794919e-19,4.12239822406227e-38,9.597765991609192e-16,4.5669024719299705e-43,1.0475939492202539e-44,2.984362981278122e-105,1.1097053787648937e-110
5.563708273827521e-21,0.5839036634164412,7.636423592001894e-67,2.503417396379046e-30,1.1469979308565304e-76,8.898624359881794e-96,0.0,0.0,7.138548166941314e-66,2.048331227921895e-124,5.953744915986663e-79,1.7836059949498946e-95,3.341538504810456e-72,1.9270519008579342e-120,4.0940692831589e-96,1.3083608970337307e-81,3.8231884865347065e-125,7.754792471704046e-96,1.1469984567985569e-76,7.90219052614091e-66,9.46837848570582e-39,2.632984655804962e-59,6.517999037922534e-96,7.189601911507854e-200,2.504634616920018e-143,4.198092614598319e-61,1.034746309618776e-102,5.1628046571227213e-169,1.4923225451479155e-264,8.342346943663748e-248,1.4106113696007013e-151,1.1492603016859725e-127,1.6067018296967106e-110,2.941501325307196e-197,3.76,0.0,0.7164667072377695,0.9999999999999978,2.5203075529076983e-96,1.6258640227573389e-181,8.823301141727654e-18,8.541160237546198e-18,2.821409041814563e-19,1.9847572906560385e-37,2.193775083783924e-15,2.1987669517259352e-42,5.043713914479678e-44,1.34728412854392e-103,1.1646791070399463e-108
1.1822880081883483e-20,0.5839036634164412,6.754330187380419e-66,5.319761967310507e-30,2.148199208855333e-75,3.320507829551862e-94,0.0,0.0,6.3139650121741e-65,1.675662125705804e-122,1.059540082431892e-77,6.655497404733037e-94,5.946089231592588e-71,1.453139255385334e-118,1.540291186582293e-94,2.4309972726403623e-80,6.11441794132136e-123,2.8936887408298916e-94,2.1482011677377067e-75,6.9893980309110855e-65,4.1350896412816256e-38,2.3288451104569355e-58,2.432181196005974e-94,2.1482159041514335e-196,8.017727710316059e-141,3.858770380485611e-60,3.9089289811647465e-101,3.752951222002231e-166,1.0048792523541659e-259,1.189821989319259e-243,5.5429506752862144e-149,1.0043098581210491e-125,1.2827803252161293e-108,4.59527963475236e-194,3.76,0.0,0.7164667072377695,0.9999999999999953,9.40448840613817e-95,2.429023881696114e-178,1.8749514926171263e-17,1.814996550478669e-17,5.995494213845719e-19,8.667956530703857e-37,4.661772052987635e-15,9.60259294605889e-42,2.2027223767003976e-43,5.0870886894660886e-102,9.298722337093218e-107
2.4341223697995403e-20,0.5839036634164412,5.677421501417508e-65,1.095245110918944e-29,3.710479159971902e-74,1.145263193236293e-92,0.0,0.0,5.307268037664264e-64,1.2059862017255398e-120,1.7871523516374248e-76,2.2955211346962077e-92,1.0028948587752664e-69,1.0075378309942675e-116,5.333539348988945e-93,4.1828751139864746e-79,8.717438027114465e-121,9.980507132294338e-93,3.710483296428557e-74,5.8750101878042324e-64,1.726318525832858e-37,1.957534638783362e-57,8.38873975322299e-93,5.266163148969807e-193,2.2870802691025787e-138,3.3012593015883776e-59,1.3564915780913148e-99,2.276275420789699e-163,4.572584435283745e-255,1.2696526870658373e-239,1.735386165199208e-146,7.649138671360742e-124,9.137408816987316e-107,5.766274901389958e-191,3.76,0.0,0.7164667072377695,0.9999999999999905,3.243664817444839e-93,2.9771477683621675e-175,3.8601942495058485e-17,3.736757603927093e-17,1.2343664557875517e-18,3.618701222490399e-36,9.597765991225864e-15,4.008893527622492e-41,9.195932316116538e-43,1.7649475045314262e-100,6.6235991600318265e-105
4.937791093021925e-20,0.5839036634164412,4.654693162222131e-64,2.2217829393011348e-29,6.165016023651555e-73,3.8028714740752755e-91,0.0,0.0,4.351218988906831e-63,8.174567165087293e-119,2.935470979412382e-75,7.622327972066952e-91,1.6472578170427196e-68,6.708343718271357e-115,1.7745021359887704e-91,6.936637102110917e-78,1.176688433383747e-118,3.314049215449808e-91,6.165023491038587e-73,4.8166883051261136e-63,7.052574461893112e-37,1.6049051661357604e-56,2.785499376853141e-91,1.1776159557872221e-189,6.175473260138579e-136,2.7295450306589566e-58,4.518163946157849e-98,1.2664659583830951e-160,1.7580137283643722e-250,1.1835451095841154e-235,4.898342733207967e-144,5.603404838219379e-122,6.164431720802678e-105,6.524002638300926e-188,3.76,0.0,0.7164667072377695,0.9999999999999806,1.0770659948361347e-91,3.328636617814782e-172,7.830679763283293e-17,7.580279710825241e-17,2.5040005245805037e-18,1.4783575246901595e-35,1.9469753867025552e-14,1.6377638130601196e-40,3.756838407146672e-42,5.878012878489408e-99,4.468523346493102e-103
9.945128539466694e-20,0.5839036634164412,3.769491203838613e-63,4.4748585960911344e-29,1.005053161384784e-71,1.2394643417864158e-89,0.0,0.0,3.523729950188481e-62,5.382502090961011e-117,4.7585832757609485e-74,2.4843341928831033e-89,2.6702759065831943e-67,4.3785428515595626e-113,5.789322593502257e-90,1.1297645145312014e-76,1.5463855055564044e-116,1.0801432174297187e-89,1.0050544260636049e-71,3.900679070567594e-62,2.850763358462438e-36,1.2996938135127792e-55,9.078737409885698e-90,2.5189366541799343e-186,1.623306226263557e-133,2.2196206878118185e-57,1.474880652276318e-96,6.756731095686048e-158,6.233572008127784e-246,1.033485216520942e-231,1.3157895628362446e-141,4.193087892702178e-120,4.049779861540662e-103,7.018923744079966e-185,3.76,0.0,0.7164667072377694,0.9999999999999608,3.5104654560399576e-90,3.55993544390569e-169,1.577165079083818e-16,1.5267323924626742e-16,5.043268662114379e-18,5.975757483744362e-35,3.921372961591783e-14,6.620103188710414e-40,1.51857415095221e-41,1.9186818215016702e-97,2.935637321996193e-101
1.995980343235623e-19,0.5839036634164413,3.0340144591746266e-62,8.981009909773598e-29,1.623163502227241e-70,4.0027290681384555e-88,0.0,0.0,2.8362044214909414e-61,3.4938281068207303e-115,7.663611085897671e-73,8.022914663683214e-88,4.30039702752864e-66,2.829851801423571e-111,1.870531002328447e-88,1.8236977832110214e-75,2.005533484093818e-114,3.488217053448484e-88,1.623165582436375e-70,3.139605867400757e-61,1.146279408325884e-35,1.0461066519209115e-54,2.9318895999825815e-88,5.2715533657287014e-183,4.21080144336629e-131,1.7902044960286003e-56,4.766681971038627e-95,3.531009769086661e-155,2.124279773284807e-241,8.739321910889127e-228,3.449846425336383e-139,3.3604037119446957e-118,2.6258457390311167e-101,7.366310849340933e-182,3.76,0.0,0.7164667072377693,0.9999999999999213,1.1336705421742901e-88,3.725025818174096e-166,3.1653592845947954e-16,3.0641412352250546e-16,1.0121804936974012e-17,2.4028258018088597e-34,7.870168110287404e-14,2.6619143762440062e-39,6.106119872508031e-41,6.2008514501616105e-96,1.903444387175656e-99
3.9989153218135308e-19,0.5839036634164412,2.4346055279346267e-61,1.7993312537548398e-28,2.6091878925280173e-69,1.2867339177641548e-86,0.0,0.0,2.2758754303341752e-60,2.2518640020399674e-113,1.2301881429765589e-71,2.5790794774515822e-86,6.903089623448698e-65,1.8199836139016537e-109,6.0145776692306514e-87,2.9308372325628392e-74,2.583959869060212e-112,1.121336747701496e-86,2.6091912665659577e-69,2.519335983115362e-60,4.5970931133899043e-35,8.394347066700158e-54,9.42497412933072e-87,1.0913192153490025e-179,1.0850799517951035e-128,1.4379896067501703e-55,1.5329130854711373e-93,1.8264339181246835e-152,7.098187340363859e-237,7.273428568420165e-224,8.937341134404323e-137,2.9842988538533114e-116,1.6915030367197056e-99,7.636269569770783e-179,3.76,0.0,0.716466707237769,0.9999999999998423,3.644344429397388e-87,3.855762852236916e-163,6.341747695616748e-16,6.138958920758139e-16,2.0278877485860813e-17,9.636406154810417e-34,1.5767758403347297e-13,1.067546722173024e-38,2.4488271724411273e-40,1.9941030502782954e-94,1.226150459596209e-97
