Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),C2H2O(373),CH3O2(183),CHF2(81),S(1537),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(140),S(2988),F(37),C2HF(58),C2HF(3940),CF2CH(73),C2HF2(72),S(3117),CF2(43),CF2O(49),S(4341),S(4409),C2F(3939),C2H3F2(66),S(4619),CHF3(42),S(4047),CHO2(165),C2H2F3(67),C2H2F3(68),S(5214),CFO(51),CHF2O(615),S(3044),CFO3(5914),CHFO2(172),S(459),C2H4(456),C2H2F2(59),C#CC(5603),C3H4(6319),CHF(40),CHFO2(735),CF(50),S(3734),CHFO2(782),CHO3(1596),S(3113),S(1075),S(6101),S(6880),S(2986),S(1341),S(6104),S(1340),S(9415),S(7364),C3H4(6730),S(4338)
0.0,0.8349677956721926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8299057669676414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.74558707012638e-23,0.8349677956721927,1.0838366815246378e-26,1.570712967456902e-26,1.2061483040206482e-39,9.521973126290533e-42,0.0,0.0,1.1483359255925635e-21,2.613564772875488e-39,4.621689275843955e-53,8.251844035013646e-44,1.4308911737431362e-49,2.0508617500985915e-64,1.504788127123171e-43,1.5014990530041953e-37,3.350261998285874e-23,2.511239688785792e-37,1.2563986350786555e-61,2.7451431581423786e-59,1.244307069125e-35,1.4784783471701288e-55,1.8158689972765985e-23,5.781009332966268e-58,1.1444511257941842e-41,5.019716159788949e-55,4.840741114965754e-34,1.2601179749316785e-41,1.920915643665491e-61,5.967241771841209e-61,7.234369865070757e-58,2.1370463873210377e-60,9.893128391890036e-50,4.940455586525562e-62,3.76,0.0,0.8299057669676412,0.9999999999999996,1.0244460751974177e-53,9.811516086265938e-21,2.341055503194112e-16,2.24239005404373e-16,9.866544915038212e-18,3.219744592032025e-35,4.385363278698135e-16,3.456371938903825e-39,4.5784650769455865e-40,2.1999497526514366e-42,7.7816965201497185e-56,2.510726108011478e-37,2.3474487152229036e-37,1.5630544038149082e-36,1.1456277461786706e-36,1.7208577634380923e-40,7.603837666528258e-42,6.699503743719244e-25,8.211574385207617e-38,2.055294983653968e-51,6.183074934543254e-57,3.044100023542913e-46,1.5229936443245845e-63,1.7123873974716077e-41,4.867060638479079e-49,1.8158689972766135e-23,4.026032011313804e-58,1.3193261678995867e-41,3.3502619982858373e-23,1.2570328659459057e-58,2.6068143710643246e-22,2.068385796968909e-35,6.0359151590070385e-27,8.876653268529024e-22,2.2157827598525667e-41,8.429482519241782e-39,6.699503748551252e-25,1.5192548628080603e-53,7.057307917138201e-73,8.750039189682482e-58,8.00399377029058e-73,1.2212776800426315e-60,9.811516086265938e-21,1.2506250651074086e-40,1.5332334282544144e-77,1.1369139015845625e-81,3.3286721304842274e-78,7.514991390576775e-37,2.605842788983039e-59,1.941857036949375e-43,1.1649851752842262e-62,2.7721643572719648e-46,2.0184304850808804e-61,7.61205576552164e-57,7.507211942347053e-82,7.054959307645724e-45,7.80332726297619e-41,6.837900565009939e-55,1.954664540813549e-64,1.7072020887694493e-49,2.030335399187984e-59,4.541378420364146e-62,4.4237122151778416e-51,1.5733141773232236e-72,1.8813720366536152e-76,6.035915159007054e-27,2.130923869976953e-48,5.072980892682371e-38,1.4796527291974293e-78,2.4576441223266803e-47,1.0414045505856972e-87,7.979652887407294e-40,4.7061736197220976e-58,3.9345083708527366e-73,6.453443163704497e-80,2.1514572397235938e-60,2.9948951126704725e-72,3.782151174977111e-72,1.6968769774861138e-56,2.0666463717578723e-73,7.007925014291048e-90,3.09709424259257e-75,2.292751179181771e-61
2.728764379635386e-22,0.8349677956721926,3.034742715828867e-26,4.397996308880627e-26,7.285135756306762e-39,5.751271779946956e-41,0.0,0.0,3.2153405916591767e-21,1.578593122816794e-38,5.486871082964483e-52,4.9841137999906264e-43,1.6987540014676927e-48,2.434783069717e-63,9.088920287823605e-43,9.06905428014518e-37,9.380733595200567e-23,1.5167887720281183e-36,1.491596459625024e-60,3.2590339573468045e-58,7.51561469751542e-35,1.7552494937605378e-54,5.084433192374425e-23,6.863214280097537e-57,6.912484799796858e-41,5.972185152706888e-54,2.9238076334390213e-33,7.611112598776851e-41,2.9028877207073563e-60,9.004962562042781e-60,8.588643903821846e-57,3.2295045077620616e-59,1.1745122026851218e-48,5.8657167635751525e-61,3.76,0.0,0.8299057669676407,0.9999999999999988,1.2162223805522786e-52,2.7472245041544614e-20,6.554955408943512e-16,6.278692151322473e-16,2.7626325762103727e-17,1.9447257335870817e-34,1.2279017180351328e-15,2.087648651098242e-38,2.765392906475831e-39,1.328769650602791e-41,9.238430108728585e-55,1.516478569239598e-36,1.4178590239942484e-36,9.440848599041107e-36,6.919591586918488e-36,1.0393980891279398e-39,4.592717950583002e-41,1.875861048244201e-24,4.959790928665347e-37,1.2413983395387759e-50,7.340546562287256e-56,1.838643303243827e-45,1.808386166395642e-62,1.034281988095894e-40,2.939704625696806e-48,5.084433192374516e-23,4.7823254640130816e-57,7.968730054113524e-41,9.380733595200339e-23,1.492349418481346e-57,7.299080238979758e-22,1.2493050213691888e-34,1.69005624452197e-26,2.4854629151880917e-21,1.338332786951535e-40,5.091407441621782e-38,1.875861051162733e-24,1.803659373125608e-52,1.5786915518320429e-71,1.038806009880634e-56,1.7904624142455707e-71,1.4499008617488256e-59,2.747224504154462e-20,7.553775393249213e-40,3.429781849672918e-76,2.543230921292094e-80,7.446106409007657e-77,4.539054799908178e-36,3.0936565590804592e-58,1.1728816503222687e-42,1.3830704000974256e-61,1.674387271926601e-45,3.05025215128845e-60,9.037032604835078e-56,1.6793332826573185e-80,4.2611954218182494e-44,4.7132096668371425e-40,8.117955550779741e-54,2.3205777428533363e-63,1.0311500616167406e-48,2.413405388621518e-58,5.39152448023929e-61,5.251831142106991e-50,4.946735432188647e-71,5.915334702764254e-75,1.6900562445219805e-26,1.2870780174662196e-47,3.064080459179851e-37,4.65226492503365e-77,1.484417049884984e-46,3.274342533526639e-86,4.8197103439939457e-39,5.587169323721231e-57,1.1099355115983227e-71,2.0290657858017607e-78,2.554210035002291e-59,8.446084182632095e-71,1.0666271475025828e-70,2.5643204883770023e-55,5.828273442211538e-72,3.627504144875645e-88,8.73430129918988e-74,2.7219541999243875e-60
6.237175724880883e-22,0.8349677956721927,6.936554814676853e-26,1.0052562991733272e-25,3.507479268125108e-38,2.7689898026264974e-40,0.0,0.0,7.349349923792392e-21,7.6002463595219e-38,5.387043256018714e-51,2.3996362496455436e-42,1.6678467521145075e-47,2.39048445591476e-62,4.37592387367366e-42,4.366359246135962e-36,2.144167678903043e-22,7.302685015011516e-36,1.4644582492321231e-59,3.1997388651312927e-57,3.6184449570161303e-34,1.7233143614619994e-53,1.1621561582569876e-22,6.738344478505429e-56,3.3280638738094645e-40,5.869126099586615e-53,1.407687516231601e-32,3.6644231163855924e-40,3.1227941435943357e-59,9.682744454871396e-59,8.432381514741297e-56,3.4741535988233046e-58,1.1531430453584254e-47,5.759859494535407e-60,3.76,0.0,0.8299057669676398,0.9999999999999972,1.1940943453625663e-51,6.279370295210192e-20,1.4982755220442299e-15,1.4351296345880081e-15,6.314588745622171e-17,9.363017273625211e-34,2.8066324983643927e-15,1.005112959833721e-37,1.3314176443767996e-38,6.397453880730224e-41,9.070345463907701e-54,7.301191522107293e-36,6.826380863862417e-36,4.545362206292346e-35,3.331485485886553e-35,5.004254376247884e-39,2.211195993426318e-40,4.287682396000005e-24,2.3879258312182966e-36,5.976800353642302e-50,7.206992143695875e-55,8.852346203821398e-45,1.77606299626007e-61,4.979622552192958e-40,1.4153412337528795e-47,1.1621561582570316e-22,4.696463681845366e-56,3.836600496252027e-40,2.1441676789029334e-22,1.465197508640653e-56,1.6683611974809226e-21,6.014865897585103e-34,3.8629857017645013e-26,5.681058091858331e-21,6.443496265659854e-40,2.4512935165951277e-37,4.287682410051481e-24,1.7708434680887004e-51,3.119228474140423e-70,1.0199064952891205e-55,3.537652998949481e-70,1.4235212638643393e-58,6.279370295210193e-20,3.6368176893330424e-39,6.77667096730089e-75,5.0249957294232147e-79,1.471225148795131e-75,2.185359496379436e-35,3.037370354837763e-57,5.6469202635200955e-42,1.357906720311271e-60,8.061453952961884e-45,3.281322079588044e-59,8.87261220030294e-55,3.3180795746778793e-79,2.051582166663722e-43,2.269207568072762e-39,7.970256898575166e-53,2.2783569887706896e-62,4.9645436741414534e-48,2.370806449144465e-57,5.293430747483668e-60,5.156278958362906e-49,1.1035886834072357e-69,1.3196786319756572e-73,3.8629857017645507e-26,6.196726613895073e-47,1.4752228435915825e-36,1.0378947127015315e-75,7.146829107721017e-46,7.304878079271328e-85,2.3204830596579524e-38,5.485515978548264e-56,2.4145366920382193e-70,4.526734149601555e-77,2.507738558629104e-58,1.8372078375504763e-69,2.320147027271835e-69,2.7585789647595814e-54,1.2677767796615468e-70,1.5839103140255477e-86,1.8999013135791504e-72,2.6724307744536197e-59
1.3253998415371876e-21,0.834967795672193,1.4740179133330929e-25,2.1361696357459366e-25,1.5318083461403832e-37,1.209290605123482e-39,0.0,0.0,1.5617368588058782e-20,3.3192272615518473e-37,4.764779027758586e-50,1.0479841968524269e-41,1.4751915644811913e-46,2.1143564298813058e-61,1.9110809214458887e-41,1.906903797315082e-35,4.5563563176692055e-22,3.189274404781102e-35,1.2952967372076449e-58,2.8301327903195924e-56,1.580269977789402e-33,1.5242520367995603e-52,2.469581836295998e-22,5.959989381914785e-55,1.453452929758588e-39,5.193399301670084e-52,6.147741216001959e-32,1.6003498749569796e-39,2.870385828016947e-58,8.898521554592549e-58,7.458345956109973e-55,3.193345739218537e-57,1.0199419646896384e-46,5.096067463534936e-59,3.76,0.0,0.8299057669676382,0.9999999999999941,1.0561629258024726e-50,1.334366187732164e-19,3.1838354843439846e-15,3.0496504734995784e-15,1.341850108444055e-16,4.089075631876625e-33,5.964094059017398e-15,4.389592362412864e-37,5.814650647731357e-38,2.793936185887831e-40,8.022617844458044e-53,3.1886221571847874e-35,2.9812598683271065e-35,1.9850790928434787e-34,1.454947237645858e-34,2.1854893597419174e-38,9.656873836489862e-40,9.111325091556619e-24,1.0428699469212868e-35,2.6102272551229262e-49,6.374502934500449e-54,3.8661138097700586e-44,1.5719293626152375e-60,2.1747319951459264e-39,6.181167011727781e-47,2.4695818362961886e-22,4.154424934444895e-55,1.6755442332325032e-39,4.556356317668727e-22,1.2959506036731795e-55,3.5452675446462555e-21,2.6268499621500134e-33,8.208844616249557e-26,1.2072248445198245e-20,2.8140441050215497e-39,1.0705442799433104e-36,9.111325152923103e-24,1.5662909933598112e-50,5.55050040999335e-69,9.020959812119664e-55,6.295065296609215e-69,1.2590884370305382e-57,1.3343661877321644e-19,1.5882938326871294e-38,1.2058723910243469e-73,8.941711416067917e-78,2.617966545022295e-74,9.544039066029502e-35,2.686519681727919e-56,2.466158436998751e-41,1.2010531163109762e-59,3.520648735817569e-44,3.0161003248583467e-58,7.847725012032894e-54,5.904345318857575e-78,8.959798320713636e-43,9.910225623972376e-39,7.049601966501551e-52,2.015180954993811e-61,2.1681466527370915e-47,2.09747200304322e-56,4.681979623743777e-59,4.5606703457131405e-48,2.066898887579914e-68,2.471612026025517e-72,8.208844616249771e-26,2.7062733148728938e-46,6.44268573370195e-36,1.9438619308572233e-74,3.1212080353497484e-45,1.3681228227197496e-83,1.0134159167006342e-37,4.851876770529085e-55,4.476284875873544e-69,8.478072079702418e-76,2.2180663558805022e-57,3.405873734006352e-68,4.301161569310148e-68,2.5356093299178516e-53,2.35024448844543e-69,5.896501023045134e-85,3.5220968404292446e-71,2.363734755687866e-58
2.7287643796353864e-21,0.8349677956721935,3.0347428254471497e-25,4.397996308899474e-25,6.394998308224901e-37,5.048550314320499e-39,0.0,0.0,3.2153405916591404e-20,1.3857120425785627e-36,4.005083981126764e-49,4.3751277470154777e-41,1.2399873969051481e-45,1.7772439788468198e-60,7.978386650002206e-41,7.960947979026022e-35,9.380733595202293e-22,1.3314592830150442e-34,1.0887749554827489e-57,2.3788971385576965e-55,6.597316080506614e-33,1.2812256800059723e-51,5.084433192373695e-22,5.009730191799026e-54,6.067879868960531e-39,4.3662467231894055e-51,2.566560939150749e-31,6.681145924231492e-39,2.4556755078751175e-57,7.612266374278972e-57,6.269189175170275e-54,2.731974576611846e-56,8.57322677434507e-46,4.2861373675710744e-58,3.76,0.0,0.8299057669676349,0.9999999999999878,8.877685777393886e-50,2.747224504154448e-19,6.55495540894348e-15,6.278692151322915e-15,2.7626325762056416e-16,1.7071085826917384e-32,1.2279017180301349e-14,1.8325684020112965e-36,2.4275021838059203e-37,1.1664133588742475e-39,6.74349369729814e-52,1.3311869824768614e-34,1.2446173088057996e-34,8.287314449013558e-34,6.074118310229828e-34,9.123987863328484e-38,4.031554730792356e-39,1.8758610482849867e-23,4.3537767390363566e-35,1.0897197636274567e-48,5.358153809046719e-53,1.6140779343659552e-43,1.3230180979154937e-59,9.079077984607083e-39,2.580515551295025e-46,5.084433192374494e-22,3.492225275185957e-54,6.995067342203852e-39,9.380733595200292e-22,1.0893245694613206e-54,7.29908023897468e-21,1.0966581495524649e-32,1.6900562445219647e-25,2.4854629151875832e-20,1.1748080192817061e-38,4.469311631698431e-36,1.8758610739042857e-23,1.3165619560302328e-49,9.36173021964353e-68,7.582661212197425e-54,1.0617548369625824e-67,1.0583396971069395e-56,2.74722450415445e-19,6.630814095205967e-38,2.0338800415008625e-72,1.5081503251386537e-76,4.4155832282128155e-73,3.984448435281103e-34,2.2581816674442027e-55,1.0295726010560212e-40,1.0095575131384157e-58,1.4698015440995519e-43,2.5803373478627983e-57,6.596485733517815e-53,9.958541377607874e-77,3.7405394249169736e-42,4.137324114823329e-38,5.925615223226402e-51,1.6938810164303345e-60,9.051585474654637e-47,1.763257990265613e-55,3.9354861083273394e-58,3.833518226590536e-47,3.5700533469641445e-67,4.2690951284531396e-71,1.6900562445220542e-25,1.1298158358637274e-45,2.6896944692959974e-35,3.357538081235315e-73,1.3030429136529837e-44,2.3630919589307683e-82,4.23081196090252e-37,4.078294788267959e-54,7.693707694765667e-68,1.4643761173077673e-74,1.8644184206557848e-56,5.853826771219462e-67,7.392597786712406e-67,2.1692671654943353e-52,4.0394697859287646e-68,2.0314340157508394e-83,6.053584569066276e-70,1.9868614878575666e-57
5.535493455831784e-21,0.8349677956721946,6.156192843208231e-25,8.921649655239822e-25,2.612565472701162e-36,2.062497604851567e-38,0.0,0.0,6.522548057365598e-20,5.66108584063904e-36,3.283609868229044e-48,1.7873824589314805e-40,1.0166165848641954e-44,1.4570919904165526e-59,3.2594312748697696e-40,3.2523070087673247e-34,1.902948815027151e-21,5.4394456156737675e-34,8.926434901342552e-57,1.9503636011026994e-54,2.695218884012481e-32,1.0504262208656901e-50,1.0314135904527803e-21,4.1072794863860943e-53,2.4789269165150353e-38,3.5800637293764924e-50,1.0485238884625761e-30,2.729466294989375e-38,2.0303999980201e-56,6.293732048502819e-56,5.139860054266213e-53,2.2588495191263326e-55,7.028849282141081e-45,3.518274535048637e-57,3.76,0.0,0.8299057669676281,0.9999999999999751,7.278463167624712e-49,5.572941136998993e-19,1.3297195258142413e-14,1.2736775506970368e-14,5.604197511720462e-16,6.97409557609422e-32,2.4908863422781e-14,7.486639874581171e-36,9.917138495346359e-37,4.7651791623893753e-39,5.528723557844422e-51,5.438333179074807e-34,5.084667815075832e-34,3.385638360828167e-33,2.481475523324819e-33,3.727446751254881e-37,1.6470216539199013e-38,3.805318126615643e-23,1.7786598581329e-34,4.451871155617308e-48,4.392938218648254e-52,6.594456077608543e-43,1.0875048342982504e-58,3.709099601139324e-38,1.0542248031919484e-45,1.0314135904531065e-21,2.863209217521204e-53,2.857713252717425e-38,1.9029488150263336e-21,8.930940965782344e-54,1.480670562762255e-20,4.480206371662717e-32,3.4283998103159735e-25,5.041939056522201e-20,4.799474089217585e-38,1.8258596315948295e-35,3.8053182312788406e-23,1.0793970348753295e-48,1.5376669997262446e-66,6.216724159525323e-53,1.7439355591676658e-66,8.67690825901294e-56,5.572941136999e-19,2.708903916030742e-37,3.340654075604347e-71,2.477141437788568e-75,7.252608711499785e-72,1.627777195162201e-33,1.851393764556931e-54,4.206140016866929e-40,8.276962441666192e-58,6.004618900291524e-43,2.1334728513545744e-56,5.408197547218545e-52,1.6356934116677652e-75,1.5281324058760124e-41,1.6902318984640662e-37,4.85817737059124e-50,1.3887459972447067e-59,3.697868012357344e-46,1.4457075627137306e-54,3.2265494872338455e-57,3.1429498535793217e-46,5.931696634252531e-66,7.093165405630075e-70,3.4283998103163395e-25,4.6156663393413625e-45,1.0988279532750191e-34,5.578599738207453e-72,5.323355474685345e-44,3.9263126686869816e-81,1.7284247340232682e-36,3.343632492430021e-53,1.2751853967764253e-66,2.433082821507085e-73,1.5285628646937786e-55,9.702288596334783e-66,1.2252688684498904e-65,1.7935920419444387e-51,6.695124929755428e-67,6.741588861869207e-82,1.0033372474341617e-68,1.628949088858378e-56
1.1148951608224579e-20,0.8349677956721965,1.2399093652862263e-24,1.7968956348053617e-24,1.0560407355027665e-35,8.336945660330835e-38,0.0,0.0,1.3136962988778253e-19,2.2883014097614362e-35,2.659152422333161e-47,7.2248858173198415e-40,8.232824679852362e-44,1.179990871499405e-58,1.3175142351230625e-39,1.3146344928581682e-33,3.832699726042212e-21,2.19871088718193e-33,7.228858426560562e-56,1.5794550107669853e-53,1.089450565762341e-31,8.506623877986261e-50,2.077354132883087e-21,3.3261814164869707e-52,1.0020218942866818e-37,2.8993684110566055e-49,4.2383012016975245e-30,1.1032940660217155e-37,1.6510875583613874e-55,5.1178646345775124e-55,4.162391931824236e-52,1.8368590905788327e-54,5.692144383882997e-44,2.856057689906925e-56,3.76,0.0,0.8299057669676146,0.9999999999999498,5.89428818023545e-48,1.1224374402687991e-18,2.6781674956540064e-14,2.5652942218268387e-14,1.1287327382716695e-15,2.819040938039098e-31,5.016855590738732e-14,3.0262195383945355e-35,4.0086659412545784e-36,1.9261616061629949e-38,4.477303679095547e-50,2.1982612224810624e-33,2.055304027678484e-33,1.368529157142224e-32,1.003052081904639e-32,1.5066935741628193e-36,6.657524861247021e-38,7.664232283564988e-23,7.189627529814739e-34,1.7995258715481704e-47,3.5575152640338745e-51,2.6659249905306278e-42,8.852482683152655e-58,1.499277363318787e-37,4.261345213285552e-45,2.077354132884406e-21,2.318729758224311e-52,1.1551333876523144e-37,3.832699726038909e-21,7.232507549481178e-53,2.98219564048824e-20,1.8109710477613928e-31,6.905086941903954e-25,1.0154891339187844e-19,1.9400241638780625e-37,7.380416560732281e-35,7.664232706630369e-23,8.741237040979734e-48,2.49262446911968e-65,5.034464552503037e-52,2.826994733626209e-65,7.026785272539893e-55,1.122437440268802e-18,1.094982274509178e-36,5.415344215370027e-70,4.015553018109303e-74,1.1756791257447307e-70,6.579735682017873e-33,1.4993066711572485e-53,1.7001890454414603e-39,6.702898780002825e-57,2.4271629717319467e-42,1.7349047450877807e-55,4.3796985907264735e-51,2.651529507234257e-74,6.176955511912955e-41,6.832187578397979e-37,3.9342779914556e-49,1.1246425142315936e-58,1.4947373744172274e-45,1.1708042300319805e-53,2.612943758429343e-56,2.5452422779055068e-45,9.670162273466825e-65,1.1563649833646021e-68,6.905086941905432e-25,1.86572613252414e-44,4.441638274597036e-34,9.094525539170852e-71,2.1517853959826865e-43,6.400880717145705e-80,6.986569126257912e-36,2.70776032208939e-52,2.076316835231927e-65,3.9665390807231743e-72,1.2378698385360143e-54,1.57976618432571e-64,1.9950327220850154e-64,1.4585192612861386e-50,1.0901275350408797e-65,2.1966485812138935e-80,1.633674609240271e-67,1.3191652055111016e-55
2.237586791301017e-20,0.8349677956722006,2.4884898368697814e-24,3.606356973421361e-24,4.2462933519733985e-35,3.352249646440855e-37,0.0,0.0,2.636579285160254e-19,9.201159325497838e-35,2.1403172181542776e-46,2.905094923892418e-39,6.626493541861933e-43,9.497593102670147e-58,5.29766679303483e-39,5.286087476050826e-33,7.692201548077205e-21,8.840919775133199e-33,5.818414174263318e-55,1.271282802150368e-52,4.380632809170466e-31,6.846870956598458e-49,4.16923521774164e-21,2.6772001752315106e-51,4.029085966402123e-37,2.3337198797716387e-48,1.704202272465028e-29,4.436298114505431e-37,1.3316619305749798e-54,4.127705947724201e-54,3.350255146659746e-51,1.4814936846924342e-53,4.581533005488277e-43,2.30985929230745e-55,3.76,0.0,0.8299057669675877,0.9999999999998993,4.744235919234724e-47,2.2527240934065625e-18,5.3750634353334495e-14,5.1485275640876925e-14,2.2653587124575514e-15,1.133523962582676e-30,1.0068794087518805e-13,1.2168295666041177e-34,1.6118669442517126e-35,7.74501110324205e-38,3.6037235177381195e-49,8.83911169281636e-33,8.264287099586687e-33,5.502795550732636e-32,4.0332283054782933e-32,6.058348599417476e-36,2.6769614658466957e-37,1.5382060598615802e-22,2.8909176086058126e-33,7.235881704152212e-47,2.863397781259914e-50,1.0722304688838191e-41,7.198631864065861e-57,6.028528346441655e-37,1.71346817038814e-44,4.169235217746944e-21,1.8663268985184457e-51,4.644740547138565e-37,7.692201548063925e-21,5.8213512979839855e-52,5.985245795925854e-20,7.2818349336354395e-31,1.385846120507977e-24,2.038079590450475e-19,7.80075183781453e-37,2.9676330388090123e-34,1.5382062299743086e-22,7.035708040983271e-47,4.014294864167533e-64,4.052175119748776e-51,4.5527878998344854e-64,5.655768104410725e-54,2.2527240934065737e-18,4.402875566749871e-36,8.721244913925861e-69,6.466924343651948e-73,1.8933949878374638e-69,2.645682779002831e-32,1.2067724456705142e-52,6.836385376546448e-39,5.395076077158817e-56,9.759515612209914e-42,1.399263615565897e-54,3.525162450980438e-50,4.270206529644083e-73,2.483726644112042e-40,2.7471925762022664e-36,3.1666492019677495e-48,9.052101371272036e-58,6.010273241590829e-45,9.423781892513981e-53,2.1031249885354108e-55,2.0486324163275866e-44,1.5617337640555412e-63,1.8675325369276782e-67,1.3858461205085713e-24,7.502002721318642e-44,1.7859632151686916e-33,1.468768303852955e-69,8.652234438154845e-43,1.0337439833837335e-78,2.809268717618608e-35,2.179441141743675e-51,3.351190206998971e-64,6.405971221093389e-71,9.963453383577733e-54,2.54974899211969e-63,3.219990856838115e-63,1.1763486227156813e-49,1.7594702366145545e-64,7.092845162547879e-79,2.6367574057943417e-66,1.0617789221687557e-54
4.482970052258135e-20,0.8349677956722086,4.985652018647884e-24,7.225279650866318e-24,1.702953554955733e-34,1.3444024131350666e-36,0.0,0.0,5.282345257724695e-19,3.6900764214332705e-34,1.7174697790381734e-45,1.1650730886235236e-38,5.317343745288752e-42,7.621220327348913e-57,2.124601327934389e-38,2.1199575039321836e-32,1.541120519216667e-20,3.5456042501051795e-32,4.668910969755599e-54,1.0201243861388583e-51,1.7568296850818665e-30,5.494182741868788e-48,8.352997387450501e-21,2.1482845364447103e-50,1.6158436778009785e-36,1.872685636411775e-47,6.834613335587181e-29,1.779154924442572e-36,1.0696632815235304e-53,3.3155830229603067e-53,2.688368763516969e-50,1.190016749838623e-52,3.6763917019854734e-42,1.8712594680021635e-54,3.76,0.0,0.8299057669675337,0.9999999999997983,3.806950544119621e-46,4.513297399681942e-18,1.0768855314691985e-13,1.031499424861439e-13,4.538610660775857e-15,4.5459380708567985e-30,2.0172671080514185e-13,4.880030802510183e-34,6.464307371773486e-35,3.1060958569098454e-37,2.8917611687023586e-48,3.54487912796168e-32,3.314348756085925e-32,2.206867134360318e-31,1.6175049410200427e-31,2.4296687582393125e-35,1.0735812778303e-36,3.0817717233325934e-22,1.159387260499554e-32,2.9019661934103215e-46,2.297696388858972e-49,4.302319514678865e-41,5.894220066589849e-56,2.4177095067833064e-36,6.871773748297807e-44,8.352997387471778e-21,1.4976143813699342e-50,1.8627487005015085e-36,1.5411205192113412e-20,4.6712678139336814e-51,1.1991346106743654e-19,2.9203414964050942e-30,2.7765209731430817e-24,4.083260503508107e-19,3.128450384296165e-36,1.1901535791860177e-33,3.0817724055607188e-22,5.645712609421112e-46,6.443832289135268e-63,3.2516153602493344e-50,7.308232895802171e-63,4.53839771686739e-53,4.513297399681987e-18,1.7657500257042703e-35,1.3999529553922475e-67,1.0380845781154098e-71,3.0393182791957113e-68,1.0610371254283878e-31,9.68358887761683e-52,2.741696302293912e-38,4.329208781893282e-55,3.9140023083173574e-41,1.1239647716724005e-53,2.8287208599315715e-49,6.854627189273264e-72,9.960854716855226e-40,1.1017470942330011e-35,2.5410365559696645e-47,7.263741268791856e-57,2.410388385916567e-44,7.56204379387686e-52,1.6876262049537707e-54,1.6438984957313464e-43,2.5104413924805515e-62,3.0020040096833966e-66,2.776520973145464e-24,3.0086386265658306e-43,7.162511284301917e-33,2.3610021514356897e-68,3.4699329902379656e-42,1.661713383169848e-77,1.1266424033775347e-34,1.7488643636793645e-50,5.385277899531455e-63,1.0297411678284963e-69,7.995043864938473e-53,4.097378181668171e-62,5.174438863958502e-62,9.449071863469677e-49,2.8274214359241263e-63,2.2799316989443355e-77,4.23719836545093e-65,8.520107165304202e-54
