Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377)
0.0,0.46006772625213255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7226833206611593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.316177524918327e-21,0.4600677262521325,9.465632225713756e-78,2.029618769761007e-35,8.92777430102404e-85,1.6789015720335044e-105,0.0,0.0,1.0363652852454083e-74,1.8426241125611662e-162,3.0418223089623742e-87,3.3651230443081055e-105,7.593391124350662e-79,3.7487604715378867e-134,1.0994310620697484e-106,7.435003595759446e-92,-1.4755831295120173e-136,1.4630950518723434e-105,8.927774807936113e-85,1.0373118484676756e-74,2.9681318857324137e-44,1.668105347516506e-66,5.196854914516783e-106,2.179787852879066e-218,-1.8051622415067558e-155,1.644011205526098e-68,1.269823509672883e-117,-6.736044371310963e-184,6.631097245009132e-286,-4.832151983406492e-271,1.492330265930641e-165,-1.028500261163671e-140,-5.688853969332976e-121,4.929780822848722e-217,3.76,0.0,0.7226833206611593,0.9999999999999998,4.75505891861341e-106,2.2984084469768757e-199,1.6684089723316e-20,1.6472502515902078e-20,2.1158720741392271e-22,3.341753157013396e-42,3.391164983369592e-16,1.283927327409694e-47,2.4387102381244056e-50,2.727489201855164e-116
2.6085297069771315e-20,0.4600677262521325,1.1237598578367605e-76,5.682932555334984e-35,2.807035076313653e-83,8.888289674869093e-104,0.0,0.0,1.230372866643369e-73,1.963458979565138e-160,6.80459120107871e-86,1.781532654113693e-103,1.698611220952307e-77,3.9238569743595356e-132,6.332160006409555e-105,2.1454570473113166e-90,1.361659534264204e-134,7.745786209044847e-104,2.807035242926004e-83,1.2314966265005253e-73,1.7927516589824111e-43,1.9803746685711947e-65,2.751272179851123e-104,5.336890089682563e-215,2.980376178895988e-153,2.484429733792793e-67,7.705885769816259e-116,8.042683505224153e-182,-5.634841857310199e-282,1.1829580731746351e-268,1.1118932226951367e-163,9.490938640910038e-139,2.94807156488221e-119,3.1915056714081073e-214,3.76,0.0,0.7226833206611593,0.9999999999999991,2.5173805179367796e-104,3.096591316064128e-196,4.6715451225284804e-20,4.612300704452685e-20,5.924441807579451e-22,2.0184189068328071e-41,9.495261953151465e-16,7.754921057692434e-47,1.4729809838429552e-49,1.6593635314817284e-114
5.962353615947729e-20,0.4600677262521325,1.1033140922292687e-75,1.2989560126499604e-34,6.26234083493668e-82,3.9040322168248934e-102,0.0,0.0,1.2079873764821113e-72,4.468373244470742e-158,1.3445238571711593e-84,7.825082691165215e-102,3.3561695321280425e-76,3.524860862163006e-130,2.839606323828141e-103,4.6931559607566486e-89,2.902824717272033e-132,3.4022067249066117e-102,6.262341211338976e-82,1.209090690572996e-72,8.631327523710363e-43,1.944343593063996e-64,1.2084501766111136e-102,2.709543401451833e-211,1.2814071951566714e-150,2.6726361366054517e-66,3.483634428026799e-114,8.525198235673491e-179,2.34029617822369e-277,7.42281830229931e-264,7.426208382099237e-161,2.0233052308462263e-136,3.094121028649341e-117,1.0433611027158872e-210,3.76,0.0,0.7226833206611593,0.9999999999999979,1.1057171855931067e-102,7.964585165609441e-193,1.0677817422922241e-19,1.0542401610178057e-19,1.3541581274418361e-21,9.717818180545692e-41,2.170345589158165e-15,3.7336606683102825e-46,7.091769372693298e-49,7.491431851882233e-113
1.2670001433888925e-19,0.4600677262521325,9.758688199423433e-75,2.7602815268895494e-34,1.1728671312168419e-80,1.4568337280984244e-100,0.0,0.0,1.0684511544767397e-71,7.551353243285564e-156,2.3926792386895872e-83,2.920017893915869e-100,5.972124362965007e-75,2.65800505334387e-128,1.0683308691417918e-101,8.720399931856123e-88,4.642480788515275e-130,1.269571876340363e-100,1.1728672020517446e-80,1.0694270232942896e-71,3.769527494880687e-42,1.7197498890730061e-63,4.5094683604753774e-101,8.095973661027644e-208,4.101984121601493e-148,2.456613064206036e-65,1.3161345110251532e-112,6.197401922829274e-176,1.575875705992332e-272,1.0588597499587047e-259,2.9181345593952027e-158,3.2358671610195474e-134,2.470327367013306e-115,1.6300565575786112e-207,3.76,0.0,0.7226833206611593,0.9999999999999954,4.1261085981001113e-101,1.1899004208887939e-189,2.269036202370976e-19,2.240260342163046e-19,2.877586020793003e-21,4.244026509356109e-40,4.611984376390776e-15,1.6305877060181324e-45,3.0971620026485863e-48,2.8288227459034412e-111
2.6085297069771316e-19,0.46006772625213255,8.20276543669096e-74,5.682932555395388e-34,2.0258362970121603e-79,5.024791059599345e-99,0.0,0.0,8.9809757434935e-71,1.1056844539196856e-153,4.036170420048061e-82,1.007148534644497e-98,1.007286064216532e-73,1.8429346233620015e-126,3.699290613465569e-100,1.5004926021462078e-86,6.618869247885106e-128,4.378902884189032e-99,2.0258364196213725e-79,8.98917850888983e-71,1.5737035258157954e-41,1.445553404467507e-62,1.555368733164532e-99,1.9846567514928626e-204,1.1701027980807585e-145,2.1016841970330828e-64,4.56750929513868e-111,3.7589786875833865e-173,7.170833599066959e-268,1.1299545992262339e-255,9.136285036352047e-156,4.61343451487175e-132,1.7596462538108823e-113,2.0456714754624742e-204,3.76,0.0,0.7226833206611593,0.9999999999999906,1.4231434373592911e-99,1.4584084194230514e-186,4.67154512252848e-19,4.612300704454191e-19,5.9244418074288735e-21,1.7717975238026887e-39,9.495261949042295e-15,6.807382691788723e-45,1.2930041684591545e-47,9.815890920700325e-110
5.29158883415361e-19,0.46006772625213255,6.725122695215805e-73,1.15282346125137e-33,3.3659573048155986e-78,1.6685067576046125e-97,0.0,0.0,7.363146522217798e-70,1.511929965157814e-151,6.631277924030841e-81,3.3442865625354424e-97,1.6544703851588263e-72,1.2270545601553553e-124,1.2307772876525088e-98,2.4883499034757703e-85,8.934214726233512e-126,1.454036390071596e-97,3.3659575087348774e-78,7.3698716448467e-70,6.429092389775814e-41,1.185152017636352e-61,5.1646789110618265e-98,4.4380761016450425e-201,3.1594597319910683e-143,1.737713136714702e-63,1.5213662766583797e-109,2.091427003326256e-170,2.7569575619484154e-263,1.0533401045832264e-251,2.578939399869653e-153,6.227259147813168e-130,1.1871221385118713e-111,2.3150165725920912e-201,3.76,0.0,0.7226833206611593,0.9999999999999808,4.725618267725483e-98,1.630591320554853e-183,9.476562962843488e-19,9.35638142903914e-19,1.2018153380434768e-20,7.238371007829408e-39,1.9261817087090527e-14,2.781037949836185e-44,5.282343925919683e-47,3.2700276654006374e-108
1.0657707088506567e-18,0.46006772625213255,5.446178719172866e-72,2.3218838727176885e-33,5.487359925912071e-77,5.4381624548356166e-96,0.0,0.0,5.962866956160704e-69,1.9996721157980273e-149,1.0755598501848329e-79,1.0900029905535855e-95,2.681967790286923e-71,8.008997741753847e-123,4.0154174005100897e-97,4.0527719594734107e-84,1.1741204594164528e-123,4.739139394199524e-96,5.48736025850724e-77,5.968313134772322e-69,2.5987419362925158e-40,9.597668310162192e-61,1.6833232958927698e-96,9.493105184532556e-198,8.305064642377703e-141,1.4130794636000224e-62,4.966304021620122e-108,1.1158039734620099e-167,9.775629921544666e-259,9.197960073291076e-248,6.928118951742498e-151,8.183766061895669e-128,7.798907969457088e-110,2.491777183695987e-198,3.76,0.0,0.7226833206611593,0.9999999999999613,1.540220303112484e-96,1.743897061547084e-180,1.9086598643473505e-18,1.884454287821968e-18,2.420557652538317e-20,2.925865292797696e-38,3.8794927334167766e-14,1.124140004952071e-43,2.135207872991376e-46,1.0679960977283536e-106
2.138994359721248e-18,0.46006772625213255,4.383558440046088e-71,4.660004695820948e-33,8.862100923106159e-76,1.7562051541038623e-94,0.0,0.0,4.799434084024971e-68,2.601628245690503e-147,1.734091704471312e-78,3.520065617305111e-94,4.3192264457182766e-70,5.176214421459139e-121,1.2973819652832347e-95,6.542112257458789e-83,1.5227366270683122e-121,1.530462007936002e-94,8.862101460355495e-76,4.8038176422916085e-68,1.0449427029022933e-39,7.725038434181875e-60,5.4361396383197936e-95,1.9866878937948433e-194,2.1543056337482274e-138,1.1396997797658761e-61,1.6050733620767305e-106,5.83110995543584e-165,3.331343843454698e-254,7.777976288526235e-244,1.816780747188188e-148,1.0613664203964911e-125,5.056751339204579e-108,2.617494743908015e-195,3.76,0.0,0.7226833206611593,0.9999999999999222,4.974001525784358e-95,1.8247694515833798e-177,3.8306670004733534e-18,3.7820865776623274e-18,4.8580422811026413e-20,1.176477565680394e-37,7.786114771224532e-14,4.52011752372263e-43,8.585576953247604e-46,3.4554867598380417e-105
4.285441661462431e-18,0.46006772625213255,3.5175295813091827e-70,9.33624634270996e-33,1.4245568359306987e-74,5.6455760001048274e-93,0.0,0.0,3.8512435946389716e-67,3.3572634320860565e-145,2.789815395443242e-77,1.131576111040976e-92,6.933315009490884e-69,3.329017228319645e-119,4.171652094571317e-94,1.0513740761805902e-81,1.961917025448159e-119,4.91989193909675e-93,1.4245569222952433e-74,3.854761123941301e-67,4.1906876006956596e-39,6.198856837329327e-59,1.7475258741116247e-93,4.1128496591562473e-191,5.551422588080955e-136,9.154688427264848e-61,5.161754897649599e-105,3.0161768229633254e-162,1.1131538434352493e-249,6.473346374832487e-240,4.708241955323932e-146,1.3674806332472352e-123,3.2574306248046984e-106,2.718379710513348e-192,3.76,0.0,0.7226833206611593,0.999999999999844,1.5989648802039815e-93,1.8888132652594446e-174,7.67468127272536e-18,7.577351157360063e-18,9.733011536529867e-20,4.718201229783604e-37,1.5599358800409275e-13,1.812769298448394e-42,3.4432003622215416e-45,1.1137462076710502e-103
