Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65)
0.0,0.4652226603950356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8257016159044634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.250241268593934e-20,0.4652226603950356,3.0116075132803195e-31,1.7670412989211661e-35,6.162214746121774e-46,3.200550112649789e-45,0.0,0.0,2.8395500525105877e-24,4.9228636336570415e-42,5.67121363552632e-56,6.597500923040376e-56,1.1976065941510027e-62,2.1256789738572003e-83,6.233206484213618e-56,1.1024720286105562e-42,3.282090976974847e-29,3.8319768901404585e-42,1.2861000495606573e-75,1.26075220457695e-74,3.71933299215897e-44,2.3580677234472475e-66,6.1308758907635985e-31,1.1716697221364198e-63,4.793551659528697e-48,4.559786922249478e-68,5.199639905156654e-66,9.717713546063327e-72,3.9239721931588743e-70,2.1435349865622094e-72,1.518307965050333e-63,1.2266915236223754e-91,1.461056259767233e-79,5.2678854493532746e-89,3.76,0.0,0.8257016159044634,0.9999999999999996,9.390190110066852e-57,9.134171372091064e-45,2.014120820410458e-20,1.9895762224781012e-20,2.4544597932356903e-22,4.429763524196992e-42,4.1833001229449767e-16,3.21000567656887e-47,2.599532872401017e-50,5.828005912330732e-62,2.6045900648283826e-72,3.831728262027183e-42,3.837228412411944e-42,3.5724514533927184e-43,1.4556310591106332e-43,2.8407090476638347e-49,6.1897991113593305e-56,9.845371170684891e-45,4.869383341453956e-46,3.4987333036444796e-61,1.4949606518266813e-59,1.5841224308769516e-54,8.076281894864655e-76,3.90377433479443e-51,2.3145257356877088e-70,6.130875890774634e-31,2.107830573228462e-44,1.3788930565763562e-72,1.57738032721987e-65,3.2820909769748503e-29,3.239180285835814e-25,2.2157632591139565e-37,1.0800696873317782e-51,2.515632325087315e-24
3.5006755520630155e-20,0.4652226603950356,8.43250106174619e-31,4.947715637110011e-35,3.721977712276027e-45,1.93313227275807e-44,0.0,0.0,7.950740147030357e-24,2.9734096347290756e-41,6.732864828076742e-55,7.83255309962138e-55,1.4217985486190619e-61,2.5236060777554413e-82,3.7648567164569555e-55,6.658931052786014e-42,9.189854735529564e-29,2.3145140417214835e-41,1.5268600095978133e-74,1.4967650172732875e-73,2.2464771272640697e-43,2.7994980012758157e-65,1.7166452494102357e-30,1.3910062941202942e-62,2.895305202355189e-47,6.890749997073624e-67,7.856759445302795e-65,1.4685408716973928e-70,5.929906778301675e-69,3.239310071692798e-71,1.8025352161071952e-62,3.459466439998193e-90,4.0611870696191193e-78,1.485627982884877e-87,3.76,0.0,0.8257016159044634,0.9999999999999988,1.1148033698761412e-55,5.517039508742999e-44,5.639538297149283e-20,5.570813422938839e-20,6.8724874210443e-22,2.6755771686093485e-41,1.1713240343776757e-15,1.9388434286707585e-46,1.5701178549525497e-49,6.919347941591161e-61,5.826636812778656e-71,2.314363870341048e-41,2.317685961052012e-41,2.1577606778445256e-42,8.792011597010278e-43,1.715788846092388e-48,3.738638667815677e-55,5.946604187093389e-44,2.9411075382380945e-45,4.1536961803581525e-60,1.7748172858199203e-58,1.8806701498933784e-53,2.5393122465064345e-74,2.357893204194779e-50,2.747804968794639e-69,1.716645249416901e-30,1.2731296662299763e-43,1.7086203865611946e-71,1.872675747614341e-64,9.189854735529579e-29,9.069704800339494e-25,1.3383210085047274e-36,6.523620911518221e-51,7.043770510243839e-24
8.001544119001177e-20,0.4652226603950356,1.927428825692311e-30,1.130906431401068e-34,1.791972056599925e-44,9.307199798349542e-44,0.0,0.0,1.817312033607274e-23,1.4315687446678005e-40,6.610366613507141e-54,7.690047087638196e-54,1.3959302462746693e-60,2.477691411903687e-81,1.8126164455972145e-54,3.2059886591668817e-41,2.1005382252638958e-28,1.114338879766914e-40,1.499084512790489e-73,1.4695327696534404e-72,1.081582034119907e-42,2.7485637384477662e-64,3.9237605700636995e-30,1.3656982281220154e-61,1.39396482259073e-46,7.412754404324273e-66,8.451620942309129e-64,1.579789257877544e-69,6.379123114974475e-68,3.48470195695442e-70,1.7697397640609325e-61,7.525095501148198e-89,8.788530323724349e-77,3.2315653645185986e-86,3.76,0.0,0.8257016159044634,0.9999999999999972,1.0945205592552656e-54,2.656217035004075e-43,1.2890373250626933e-19,1.2733287823860941e-19,1.5708542676598993e-21,1.2881752328280334e-40,2.67731207835636e-15,9.334696507803103e-46,7.559441593263137e-49,6.793605528784228e-60,1.1512715702738334e-69,1.1142665787115484e-40,1.115866022262187e-40,1.0388688826395878e-41,4.2329751198668004e-42,8.260790630145074e-48,1.799993588415255e-54,2.8630339364347414e-43,1.4160166756946693e-44,4.078123545769432e-59,1.7425261356801637e-57,1.8464531052945874e-52,5.665065932993314e-73,1.135237835525637e-49,2.6978112248455754e-68,3.923760570095789e-30,6.129571306948147e-43,1.7089076873523102e-70,1.838624961136651e-63,2.100538225263904e-28,2.073075382934371e-24,6.443439557501851e-36,3.140842650811252e-50,1.610004688055431e-23
1.70032812528775e-19,0.4652226603950356,4.095786304025766e-30,2.403176166990394e-34,7.826012814661012e-44,4.0646987161879836e-43,0.0,0.0,3.86178807141689e-23,6.252036814747884e-40,5.846794409551296e-53,6.801759576276607e-53,1.2346844945826499e-59,2.1914899948368608e-80,7.916172234826208e-54,1.4001394763017033e-40,4.463643728685758e-28,4.866610651652884e-40,1.3259309263737203e-72,1.2997850928276e-71,4.7235529000427056e-42,2.4310735001602507e-63,8.337991211313473e-30,1.2079446167333532e-60,6.087810607599226e-46,6.813598403392671e-65,7.768378894976591e-63,1.45209850440696e-68,5.863513168793352e-67,3.203041459720113e-69,1.5653147796446465e-60,1.395026014950745e-87,1.625896936034366e-75,5.990777562320722e-85,3.76,0.0,0.8257016159044634,0.9999999999999942,9.680910396399002e-54,1.1600397642555575e-42,2.7392043157582233e-19,2.7058236625707646e-19,3.338065318745827e-21,5.625799675642847e-40,5.689288165563041e-15,4.076707209591577e-45,3.3014067482744086e-48,6.008926204882145e-59,2.048647608246026e-68,4.866294893948765e-40,4.873280083068682e-40,4.5370133457362673e-41,1.8486514450426867e-41,3.607709500717008e-47,7.861044942023359e-54,1.2503621386765424e-42,6.184116843645063e-44,3.60705410151231e-58,1.541244633420302e-56,1.6331668610521687e-51,1.0610041524688548e-71,4.958002747847565e-49,2.386183491036113e-67,8.33799121145362e-30,2.6769448279999185e-42,1.5239695115101384e-69,1.6262799707804008e-62,4.4636437286857945e-28,4.405285188733958e-24,2.81401933907314e-35,1.371688502963023e-49,3.421259962116496e-23
3.500675552063015e-19,0.4652226603950356,8.432501417884964e-30,4.947715639005813e-34,3.2672063367714836e-43,1.6969317355373947e-42,0.0,0.0,7.950740147040675e-23,2.6101022985680614e-39,4.9145829968914095e-52,5.717288784630314e-52,1.0378267132869257e-58,1.842079387788614e-79,3.3048460778174834e-53,5.845306695389844e-40,9.18985473552942e-28,2.0317141482077196e-39,1.1145377086839726e-71,1.0925476884455713e-70,1.971990352443419e-41,2.043463760046877e-62,1.7166452493584415e-29,1.0153502344871235e-59,2.541541089880119e-45,5.82917688619287e-64,6.645967120890323e-62,1.2423008470632297e-67,5.016358964067828e-66,2.7402694044011765e-68,1.315741389578566e-59,2.397693740584696e-86,2.7919320638143687e-74,1.0296615979351343e-83,3.76,0.0,0.8257016159044634,0.9999999999999882,8.137388507277655e-53,4.8429376614826143e-42,5.639538297149282e-19,5.570813422941105e-19,6.872487420817637e-21,2.348660620450645e-39,1.1713240336973655e-14,1.701945010029696e-44,1.3782723292368126e-47,5.050887951012437e-58,3.4553607148657984e-67,2.0315823255818278e-39,2.0344985036357645e-39,1.8941137605235827e-40,7.717755875154217e-41,1.5061520462343402e-46,3.2818315523801886e-53,5.220015794693182e-42,2.5817470476375708e-43,3.0319463280332884e-57,1.2955089811634234e-55,1.3727751521224855e-50,1.8326208195222122e-70,2.0699695606987792e-48,2.005731024069085e-66,1.7166452494169502e-29,1.1175717699255253e-41,1.285928416699739e-68,1.3670485745677143e-61,9.189854735529575e-28,9.069704800328103e-24,1.1747976799807934e-34,5.7265294826961085e-49,7.04377051023451e-23
7.101370405613544e-19,0.4652226603950356,1.7105932274372503e-29,1.0036794586383726e-33,1.3347604292287619e-42,6.932520123199315e-42,0.0,0.0,1.612864429830646e-22,1.0663119545072725e-38,4.0292720672405674e-51,4.687378809054905e-51,8.508730428419282e-58,1.5102479757766258e-78,1.3501374572112916e-52,2.387998512594794e-39,1.864227674921649e-27,8.300215232046824e-39,9.137864596252822e-71,8.957366039338255e-70,8.056224034342225e-41,1.675355051358751e-61,3.4823375057211857e-29,8.324454671091973e-59,1.0383024636588636e-44,4.819676176707146e-63,5.4949967074766253e-61,1.0271583717289959e-66,4.1476225983621115e-65,2.265707735173319e-67,1.078724284917153e-58,3.9740030335327555e-85,4.625408827731447e-73,1.7065885867701883e-82,3.76,0.0,0.8257016159044634,0.9999999999999761,6.671522739381928e-52,1.9784980558803545e-41,1.14402062599314e-18,1.130079294368579e-18,1.3941331624561085e-20,9.595044983286176e-39,2.3761144667783886e-14,6.953000698318839e-44,5.630692185377461e-47,4.141032417626928e-57,5.675454000408931e-66,8.299676693606369e-39,8.311590225128657e-39,7.73807274555443e-40,3.152955099064027e-40,6.153158083171007e-46,1.3407353005122259e-52,2.1325467770516883e-41,1.0547279092911778e-42,2.4857728058153877e-56,1.0621365338151112e-54,1.1254840088366027e-49,3.0449268983909315e-69,8.457326551171684e-48,1.6444195089355177e-65,3.482337505960212e-29,4.56564533483404e-41,1.05624771861023e-67,1.1208911297741616e-60,1.864227674921713e-27,1.8398544023496287e-23,4.79943184975912e-34,2.3394741459393374e-48,1.4288791606454072e-22
1.4302760112714605e-18,0.4652226603950356,3.4452796502424166e-29,2.0214952494527848e-33,5.395315342400301e-42,2.8022357083684203e-41,0.0,0.0,3.24844526009109e-22,4.3102034087427285e-38,3.263008985645689e-50,3.795960951851932e-50,6.890590511799593e-57,1.2230379664750683e-77,5.4574714700562226e-52,9.652671794946643e-39,3.754712077658962e-27,3.355079709548835e-38,7.400421557821191e-70,7.25390725397448e-69,3.2564545626239113e-40,1.3567459570905472e-60,7.013722018080901e-29,6.741359218701708e-58,4.1969845683831287e-44,3.919280626953268e-62,4.468433169954274e-60,8.35268141691783e-66,3.3727778150149134e-64,1.8424359023209615e-66,8.735788937322314e-58,6.470638622288108e-84,7.529684386995306e-72,2.778737109341462e-81,3.76,0.0,0.8257016159044634,0.999999999999952,5.402772086570885e-51,7.997405476491108e-41,2.304154218549564e-18,2.276075198519116e-18,2.8079020030447285e-20,3.87847059353622e-38,4.7856953281360366e-14,2.8105140522808813e-43,2.276015809368954e-46,3.3535191265698834e-56,9.200166406001878e-65,3.354862023699888e-38,3.3596776576772506e-38,3.1278527246607505e-39,1.274474862367835e-39,2.4872336016472516e-45,5.419466674867418e-52,8.620095037723329e-41,4.2633788458341565e-42,2.0130433044059876e-55,8.601457023492587e-54,9.114461297629164e-49,4.96399933650906e-68,3.4192539845466896e-47,1.3316936078424807e-64,7.013722019047084e-29,1.845506842727603e-40,8.561610177827815e-67,9.078920922737312e-60,3.754712077659219e-27,3.705622246975224e-23,1.940007089980776e-33,9.456528549254382e-48,2.8778833798827336e-22
2.8705539526916726e-18,0.4652226603950356,6.914653501883382e-29,4.0571268364369276e-33,2.1694327929865948e-41,1.126766841121953e-40,0.0,0.0,6.519606920641125e-22,1.7331138337009947e-37,2.6263535064685592e-49,3.0553197178565055e-49,5.5461467232033905e-56,9.844073571053126e-77,2.194425274957396e-51,3.8812968738911276e-38,7.535680883133184e-27,1.3490627980339553e-37,5.957053464727404e-69,5.838575633539938e-68,1.3094060572256787e-39,1.0920271804766066e-59,1.407649104133724e-28,5.426032384191236e-57,1.6875890359324402e-43,3.161041816509315e-61,3.6039504892706024e-59,6.7367403596937e-65,2.7202674950765303e-63,1.4859913020458937e-65,7.031322933066501e-57,1.0443652561392552e-82,1.2151671509336134e-70,4.484892897515658e-80,3.76,0.0,0.8257016159044634,0.9999999999999039,4.348621007932234e-50,3.215721568229758e-40,4.624421403662412e-18,4.568067006826594e-18,5.635439683581686e-20,1.5595159673036386e-37,9.604857031633744e-14,1.130095340219909e-42,9.151759474838206e-46,2.699205418544717e-55,1.4816593047300545e-63,1.3489752675108456e-37,1.350911607972338e-37,1.2576958236042015e-38,5.1246073674270814e-39,1.0001287916864885e-44,2.179143895287193e-51,3.4661023021020052e-40,1.7142858828847912e-41,1.6202724437607712e-54,6.923200914572787e-53,7.336111380689192e-48,8.016872163078726e-67,1.375403687976059e-46,1.071862958780221e-63,1.4076491045222216e-28,7.420701846262131e-40,6.894261277774615e-66,7.310167896117967e-59,7.53568088313422e-27,7.437157936194243e-23,7.800683184160503e-33,3.802428539645206e-47,5.775891818331042e-22
5.751109835532097e-18,0.4652226603950356,1.3853405229287843e-28,8.128390031826504e-33,8.700397593208205e-41,4.518840495345595e-40,0.0,0.0,1.3061930241857781e-21,6.9505616273195285e-37,2.10748328609975e-48,2.4517018210326795e-48,4.45043347967568e-55,7.899249079266421e-76,8.800626830699687e-51,1.5565736409828442e-37,1.509761849408001e-26,5.410345227270727e-37,4.781043523594142e-68,4.685089245061883e-67,5.251303935664685e-39,8.762830388299775e-59,2.820202908199754e-28,4.354049268702619e-56,6.767986826687785e-43,2.5391207001706996e-60,2.8948879302515538e-58,5.4113165383225636e-64,2.1850667865374163e-62,1.1936290254765453e-64,5.642193836291421e-56,1.6782719877862578e-81,1.9526396932155243e-69,7.207102486155152e-79,3.76,0.0,0.8257016159044634,0.9999999999998075,3.489494495669011e-49,1.2896481755224002e-39,9.264955773888106e-18,9.152050623467162e-18,1.1290515042094483e-19,6.254356537656043e-37,1.9243180361758792e-13,4.532187768896067e-42,3.670264878416026e-45,2.1659429378365004e-54,2.3783920032212754e-62,5.409994190718741e-37,5.417759743671812e-37,5.043922769367999e-38,2.0551967574327396e-38,4.0111490539817324e-44,8.739343117938093e-51,1.3900620483483402e-39,6.875053123438861e-41,1.3001666937285922e-53,5.555432713490008e-52,5.886767351820694e-47,1.288688778042492e-65,5.5202887703714785e-46,8.601026627667216e-63,2.820202909757802e-28,2.9760333393484825e-39,5.533462619848297e-65,5.870222323743892e-58,1.5097618494084164e-26,1.4900229314503598e-22,3.1284228508985596e-32,1.5249439132243954e-46,1.1571908695122273e-21
