Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189)
0.0,0.6032003563697222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9750288425373802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2460428718376272e-21,0.6032003563697222,1.1710190238896673e-28,3.023649158787459e-31,1.886435006055611e-43,3.863050104127533e-43,0.0,0.0,5.621140309216517e-23,1.0785287528947714e-40,2.1523112714731975e-54,2.4992907379359826e-54,1.49278002939249e-59,6.226735443774958e-75,5.107778053896411e-50,4.89395840463969e-40,3.921018137619788e-26,7.655153912850123e-40,7.633269522822164e-69,8.094735325268767e-68,4.4724130564402245e-40,3.480661544462839e-61,3.447969408431637e-27,9.002478029240272e-61,8.482098604854077e-45,1.672639533290329e-60,4.9733944993023173e-60,4.764581419537888e-66,2.2543992651867333e-65,7.291308609994324e-67,1.5119746801977422e-60,1.55087060009331e-82,1.2875985422468903e-74,4.386734858436097e-84,3.76,0.0,0.9750288425373802,0.9999999999999996,3.569413402448369e-55,6.055877682116983e-42,1.9056135736081955e-18,1.8467564664150617e-18,5.885710719313344e-20,1.0260967975583022e-38,4.358818127222089e-16,1.9953360326918557e-43,1.9040050407675485e-45,2.947473187396847e-58,7.860367422905525e-70,7.653918235110097e-40,7.510467567176158e-40,1.1329318201237297e-39,5.662849123253556e-40,3.9699357107088606e-45,4.888226475293356e-50,7.093902946879865e-41,4.773690204727679e-42,1.117215725367847e-59,4.2022027787495626e-58,5.957991821228517e-53,7.919945790009069e-72,1.451049333403415e-46,4.959154091154609e-66,3.447969408432128e-27,8.944327577616048e-43,5.795799650791329e-67,3.3652631089863407e-62,3.9210181376197866e-26,8.949272807893815e-24,2.9605109466058386e-37,2.584578680982431e-47,4.7262247386173107e-23,4.6399397681875265e-38,2.933379734296444e-61,5.123700865776029e-77,2.575399217246285e-56,4.456937408786439e-78,2.723182434325681e-75
3.488920041145356e-21,0.6032003563697222,3.2788532712770594e-28,8.466217644613537e-31,1.139406744031602e-42,2.3332822655046955e-42,0.0,0.0,1.5739192865806294e-22,6.514313667484435e-40,2.5552239415091447e-53,2.967157964233324e-53,1.7722284509025095e-58,7.392380318845675e-74,3.085097944551945e-49,2.95595087640158e-39,1.0978850785335403e-25,4.6237129633835636e-39,9.062217670480075e-68,9.610069778158989e-67,2.701337486089936e-39,4.1322413855862403e-60,9.654314343607e-27,1.0687741916313764e-59,5.123187557331712e-44,1.9882219016172255e-59,7.515012804501223e-59,7.200235443255129e-65,3.406848169550188e-64,1.101862557142339e-65,1.7950163403306603e-59,3.473348226380381e-81,3.619168020726191e-73,1.2371294178370114e-82,3.76,0.0,0.9750288425373802,0.9999999999999988,4.237607591471065e-54,3.6577501199986565e-41,5.335718006102948e-18,5.170918105962266e-18,1.6479990014068073e-19,6.197624657248614e-38,1.220469075617359e-15,1.2051829637476279e-42,1.1500190446271027e-44,3.4994681990022266e-57,1.7584423557813137e-68,4.622966614028581e-39,4.5363224105603335e-39,6.84290819354397e-39,3.4203608704435124e-39,2.397841183437458e-44,2.9524887911494616e-49,4.284717379915443e-40,2.8833088836555684e-41,1.3263585091818634e-58,4.988855138927013e-57,7.073327890145108e-52,2.4901576614388164e-70,8.764338291806104e-46,5.887510561964567e-65,9.65431434360996e-27,5.402373856880029e-42,7.460794779989024e-66,3.995240495759606e-61,1.0978850785335403e-25,2.5057963862102382e-23,1.7881486117499134e-36,1.561085523317286e-46,1.323342926812838e-22,2.802523619985125e-37,3.482508420556684e-60,1.1461513888706037e-75,3.0575139507134446e-55,9.969990705954708e-77,6.225340135439813e-74
7.974674379760814e-21,0.6032003563697222,7.494521783595805e-28,1.9351354616300297e-30,5.4857530032198857e-42,1.1233749741977849e-41,0.0,0.0,3.597529797898602e-22,3.1363616134180184e-39,2.50873401805111e-52,2.913173284620929e-52,1.7399844022837408e-57,7.257882833251832e-73,1.4853418580708456e-48,1.4231631040680336e-38,2.509451608076663e-25,2.226118757889729e-38,8.897339243989963e-67,9.435223495132993e-66,1.300577716812878e-38,4.057059096225756e-59,2.206700421395138e-26,1.049328839088158e-58,2.4665942742913423e-43,1.953127871734314e-58,8.084039002387057e-58,7.745684729173317e-64,3.664931797428762e-63,1.1853334581095473e-64,1.762357687238181e-58,6.866716149779101e-80,7.863238598029321e-72,2.691026706664092e-81,3.76,0.0,0.9750288425373802,0.9999999999999972,4.160508262034545e-53,1.7610492299596174e-40,1.2195926871092453e-17,1.1819241385057048e-17,3.7668548603540374e-19,2.9838894872942457e-37,2.789643601388356e-15,5.80243718309363e-42,5.53684665860344e-44,3.435898551118715e-56,3.4744914380529056e-67,2.2257594228029193e-38,2.1840439685137233e-38,3.2945657329147664e-38,1.646756525039681e-38,1.1544573259278935e-43,1.4214962591237065e-48,2.062906976952671e-39,1.3881891115348846e-40,1.302226649566744e-57,4.898087558896637e-56,6.944635266770062e-51,5.555404750591026e-69,4.2196519386107173e-45,5.780394020543228e-64,2.206700421396564e-26,2.601010459570652e-41,7.57921451004293e-65,3.9225510914241215e-60,2.5094516080766637e-25,5.72753459705183e-23,8.609165832729588e-36,7.51595480435426e-46,3.024783832715016e-22,1.3492944845887218e-36,3.41914741829577e-59,2.2646020013803454e-74,3.0018853276181005e-54,1.96990215478227e-75,1.241842749889284e-72
1.694618305699173e-20,0.6032003563697222,1.5925858878409149e-27,4.1121628559812245e-30,2.3957724634877903e-41,4.906073672722783e-41,0.0,0.0,7.644750820534618e-22,1.369731516176383e-38,2.2189468284580877e-51,2.57666878019625e-51,1.5389964991524195e-56,6.419515173088486e-72,6.486878128425393e-48,6.215327173880127e-38,5.332584667162902e-25,9.722045469658724e-38,7.869596152390045e-66,8.345348330938486e-65,5.679964581679714e-38,3.588422825879138e-58,4.689238395461478e-26,9.281194749023706e-58,1.077226522816238e-42,1.7279483274577075e-57,7.430527155551042e-57,7.119618739051724e-63,3.36870373398322e-62,1.089525662974211e-63,1.5587854162960184e-57,1.222217241201521e-78,1.457030732766164e-70,4.9887099889447126e-80,3.76,0.0,0.9750288425373802,0.9999999999999941,3.679922441572105e-52,7.690964656288559e-40,2.5916344601071462e-17,2.5115887943248096e-17,8.004566578233634e-19,1.3031429328935693e-36,5.927992652853133e-15,2.5340767615449977e-41,2.418086401827377e-43,3.0390530414280567e-55,6.182757621615979e-66,9.72047615892879e-38,9.538293810095632e-38,1.4388234115519287e-37,7.191818386506673e-38,5.041818572221463e-43,6.208047624742612e-48,9.009256742537493e-39,6.062586560004931e-40,1.1518047243889967e-56,4.332302976750554e-55,6.142451247900566e-50,1.0404658262806974e-67,1.842833146398082e-44,5.112693542911535e-63,4.689238395467704e-26,1.1359296023571398e-40,6.80466825938964e-64,3.46945251917828e-59,5.3325846671629095e-25,1.2171011018734531e-22,3.7598489021892185e-35,3.2824149249064306e-45,6.427665644519231e-22,5.89272350559598e-36,3.024197170869915e-58,4.0297382642351667e-73,2.6551335770034734e-53,3.5053356329602522e-74,2.219451882587859e-71
3.488920041145356e-20,0.6032003563697222,3.278853334873923e-27,8.466217644738982e-30,1.0001878454281287e-40,2.0481892016411518e-40,0.0,0.0,1.5739192865806938e-21,5.71835944784829e-38,1.8651585108925754e-50,2.165845366682783e-50,1.2936192890815252e-55,5.395989307761566e-71,2.7081439241551304e-47,2.5947767461289122e-37,1.0978850785335368e-24,4.058762604897852e-37,6.614870334021327e-65,7.014768117111612e-64,2.371273402525173e-37,3.0162856038462934e-57,9.654314343584009e-26,7.80140342048781e-57,4.497208680291565e-42,1.4526147161639712e-56,6.3569352434011525e-56,6.090983740359173e-62,2.881996967823518e-61,9.321121431313044e-63,1.3102530662633073e-56,2.0617054402249166e-77,2.503740686592851e-69,8.574317850102192e-79,3.76,0.0,0.9750288425373802,0.9999999999999878,3.093196544185873e-51,3.210826347058416e-39,5.335718006102948e-17,5.170918105963614e-17,1.6479990013933367e-18,5.4403652206048465e-36,1.2204690755473823e-14,1.0579271645568297e-40,1.009503472662058e-42,2.5545229317811302e-54,1.0428193016477701e-64,4.058107448560002e-37,3.98204990392051e-37,6.006804510249137e-37,3.0024426051262245e-37,2.1048601114765225e-42,2.591737678208555e-47,3.7611873424357624e-38,2.531010546547316e-39,9.681612724492804e-56,3.641561692767125e-54,5.163100384202144e-49,1.7971459687557363e-66,7.693468002485347e-44,4.2975271823861715e-62,9.654314343610003e-26,4.742282481651145e-40,5.759754487868296e-63,2.916284734192934e-58,1.0978850785335401e-24,2.5057963862098e-22,1.5696629038902388e-34,1.3703436167095308e-44,1.3233429268127093e-21,2.4600960650910667e-35,2.5420199436649196e-57,6.796742581558049e-72,2.2317997552622674e-52,5.91226089559262e-73,3.751291087469681e-70
7.077523512037723e-20,0.6032003563697222,6.6513883412213e-27,1.7174327222475975e-29,4.0860937246910345e-40,8.36752135600822e-40,0.0,0.0,3.192807695635272e-21,2.3361364199203712e-37,1.5291696353547607e-49,1.775690888090779e-49,1.0605872504539878e-54,4.4239580464040976e-70,1.1063651575686124e-46,1.0600509662692194e-36,2.2271383021680245e-24,1.6581369583967995e-36,5.4232713196949825e-64,5.751130716845611e-63,9.687425576776567e-37,2.4729331743331086e-56,1.9584466239788479e-25,6.396061865054649e-56,1.8372564862040642e-41,1.1910089694800023e-55,5.256022454555101e-55,5.036143170022251e-61,2.3828908253533434e-60,7.706883452224227e-62,1.0742246258775631e-55,3.386563082458364e-76,4.149356650419059e-68,1.4211303025882098e-77,3.76,0.0,0.9750288425373802,0.9999999999999752,2.5359894101187283e-50,1.3117273294572594e-38,1.0823885098094552e-16,1.04895767292436e-16,3.3430836885094998e-18,2.222566707341467e-35,2.4758086959479753e-14,4.3219776604513366e-40,4.124151078902011e-42,2.0943584982386347e-53,1.7128393159127727e-63,1.6578693056555236e-36,1.6267973167544278e-36,2.4539756396211122e-36,1.2265957714738995e-36,8.599041220332342e-42,1.0588094083078855e-46,1.5365677539060144e-37,1.0340003931054271e-38,7.937571052557264e-55,2.985572289574475e-53,4.2330216361743566e-48,2.985984905028262e-65,3.1430346545987185e-43,3.5233725102446216e-61,1.9584466239894668e-25,1.937377130621199e-39,4.738120604811342e-62,2.3909477997886535e-57,2.227138302168038e-24,5.083186954881721e-22,6.4125851307846145e-34,5.5983008066e-44,2.6844956515340547e-21,1.0050295135468319e-34,2.08410153219202e-56,1.116367009954399e-70,1.8297642790117594e-51,9.710906274346707e-72,6.167864335502266e-69
1.4254730453822456e-19,0.6032003563697222,1.339645880304149e-26,3.4590546378835854e-29,1.6516644330189265e-39,3.3822860463050184e-39,0.0,0.0,6.430584513744885e-21,9.443036925396598e-37,1.2383612171005151e-48,1.438000521693091e-48,8.588910531277806e-54,3.5826359247693837e-69,4.472104859388402e-46,4.2848954931885116e-36,4.4856447494369756e-24,6.702454700208057e-36,4.3919072874900964e-63,4.657414762633076e-62,3.9158123067440605e-36,2.002645399696473e-55,3.9444770032035042e-25,5.1796967274187454e-55,7.426484469268398e-41,9.645369338477262e-55,4.2741044205050337e-54,4.0953080290506284e-60,1.937727245127979e-59,6.267109630666918e-61,8.699349531881853e-55,5.489929130922153e-75,6.755826970838457e-67,2.313942293795527e-76,3.76,0.0,0.9750288425373801,0.9999999999999502,2.0537099744902714e-49,5.302211592822098e-38,2.1800219282077756e-16,2.1126893975813083e-16,6.733253062646692e-18,8.983969988742598e-35,4.9864879362549794e-14,1.7470124729152027e-39,1.6670478057608427e-41,1.696068309204886e-52,2.776590723828602e-62,6.701372805033515e-36,6.575774856138834e-36,9.919361892130417e-36,4.9580962240075324e-36,3.4758706482347614e-41,4.279876921010362e-46,6.211052537335167e-37,4.1795949113737877e-38,6.428050838023189e-54,2.417793846210991e-52,3.428010669178467e-47,4.867909017702973e-64,1.2704664317649462e-42,2.8533184440502445e-60,3.944477003246428e-25,7.831188121920431e-39,3.8434059839211696e-61,1.9362537532658274e-56,4.485644749437029e-24,1.023796809222247e-21,2.5920694382776183e-33,2.2629226953423273e-43,5.406801100975838e-21,4.062489984143405e-34,1.687759454749323e-55,1.8096790306545928e-69,1.4817905529636083e-50,1.5741797541841358e-70,1.0003490549967489e-67
2.860914433739192e-19,0.6032003563697224,2.688660152318362e-26,6.942298469509919e-29,6.641270190952014e-39,1.3600024471668992e-38,0.0,0.0,1.2906138149965937e-20,3.797003615717362e-36,9.967408424973909e-48,1.1574279272974027e-47,6.913102415973958e-53,2.883617074428473e-68,1.7982136948692467e-45,1.7229376321245988e-35,9.002657643974783e-24,2.695027557353759e-35,3.534991591575569e-62,3.7486925868915095e-61,1.574530906175198e-35,1.611903243886762e-54,7.91653776158787e-25,4.169070549649905e-54,2.9861567422216365e-40,7.763540188222187e-54,3.4472177679853406e-53,3.303014354832218e-59,1.5628472221859325e-58,5.054650958770097e-60,7.001993329536203e-54,8.841493115156061e-74,1.0903673503871169e-65,3.7347121913574013e-75,3.76,0.0,0.9750288425373799,0.9999999999999,1.6530044565375925e-48,2.1319959614999608e-37,4.3752887650044153e-16,4.2401528468990104e-16,1.3513591810540541e-17,3.612414819397557e-34,1.0007846414892263e-13,7.02466031786184e-39,6.703125908873738e-41,1.3651443271481087e-51,4.471617265595161e-61,2.6945925320621707e-35,2.644090147785747e-35,3.9885317897535673e-35,1.9936286851090444e-35,1.3976328632691549e-40,1.7209196892270854e-45,2.497436908061163e-36,1.6805967313391543e-37,5.173854549043308e-53,1.946050830620226e-51,2.759161216271654e-46,7.861686063404008e-63,5.108502283570815e-42,2.2965989368129986e-59,7.916537761760461e-25,3.148886301005058e-38,3.096045214117088e-60,1.558469069549692e-55,9.002657643975002e-24,2.0547530366891582e-21,1.0422597207953737e-32,9.099112632509168e-43,1.0851411999855772e-20,1.6335093551384216e-33,1.3584556409348989e-54,2.914432289567502e-68,1.192673949853262e-49,2.5351679647802297e-69,1.6114419429356064e-66
5.731797210453085e-19,0.6032003563697224,5.386689414947487e-26,1.3908786134180023e-28,2.6634465038507746e-38,5.454218921527884e-38,0.0,0.0,2.5857245422415348e-20,1.5227682750405806e-35,7.998217535325421e-47,9.287630261652768e-47,5.547329320162971e-52,2.3139210981967907e-67,7.211641186683958e-45,6.909750507257527e-35,1.803668343305001e-23,1.080826589247694e-34,2.8366121694173873e-61,3.0080897165635695e-60,6.31457315993532e-35,1.2934508390968502e-53,1.5860659278096804e-24,3.3454165571895833e-53,1.1975824127507913e-39,6.229795167623647e-53,2.7689918666193257e-52,2.6531608625511467e-58,1.2553638801376028e-57,4.060170533793944e-59,5.618658676772564e-53,1.4192659726123336e-72,1.752170434221198e-64,6.001582230646097e-74,3.76,0.0,0.9750288425373794,0.9999999999997995,1.3264319743291414e-47,8.550257364114457e-37,8.765822438597694e-16,8.495079745549635e-16,2.7074269304806103e-17,1.4487399116675687e-33,2.0050563364259927e-13,2.817202973611575e-38,2.6882532951634064e-40,1.0954427469187455e-50,7.177938822343885e-60,1.0806521246485826e-34,1.0603984086358362e-34,1.5995796390284509e-34,7.995342698988947e-35,5.605137404447837e-40,6.901657676974925e-45,1.0015839007284573e-35,6.739944557945647e-37,4.1516924485714395e-52,1.5615832333779049e-50,2.214053109397877e-45,1.2637430728407515e-61,2.048748036360994e-41,1.842876029161872e-58,1.5860659278788976e-24,1.2628442440830497e-37,2.485395676156491e-59,1.2505790547504161e-54,1.8036683433050896e-23,4.1166654916180304e-21,4.179927642439061e-32,3.6491511345933595e-42,2.1740633797601116e-20,6.551103118976195e-33,1.0900750992999775e-53,4.678309274127431e-67,9.570457327169905e-49,4.0695060382419625e-68,2.587050233700481e-65
