Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71)
0.0,0.7410957759466112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8732378132395857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7535714942979716e-22,0.7410957759466112,2.1119719926911185e-37,3.858944321499939e-28,3.7769737077854676e-53,2.7812962021463243e-57,0.0,0.0,5.065881687244404e-40,2.087719807158973e-74,2.356646264286864e-55,1.816414551600281e-72,1.7795200001152395e-57,1.2938579964474802e-100,1.5165982178423535e-84,2.8670399727449727e-57,6.082080463788869e-85,2.426205128542888e-38,1.077849678768701e-75,1.5560224587917716e-62,2.9192395596005055e-37,1.1670325516934496e-57,4.647793464566928e-62,-1.046170707443506e-130,1.6182939037299044e-79,1.4289071077488538e-59,1.436545022657671e-72,2.4893342870959452e-112,2.3735752236814014e-184,-9.183854363288797e-148,4.023934189668648e-78,-7.067232187483668e-98,3.643479352537819e-87,-4.0242727246883275e-121,3.76,0.0,0.8732378132395856,0.9999999999999998,2.566641570827197e-73,-1.8888874465863439e-118,3.9452043449541685e-17,3.7762067580664325e-17,1.6899758688773577e-18,1.6141437900954085e-36,3.5286641452699526e-16,9.178659157284756e-41,5.314503016076784e-42,3.4186538712391792e-77,6.247999417792366e-86,2.426205128542888e-38,2.3128689208175268e-38,1.34337483681584e-37,7.736630375625239e-38
4.91000018403432e-22,0.7410957759466112,1.2756310835852711e-36,1.0805044100202969e-27,4.484023288639403e-52,3.3019548511958894e-56,0.0,0.0,3.059792539095667e-39,6.564125108877057e-73,2.79781044496336e-54,4.064603758842907e-71,2.112646144138322e-56,6.18091486393793e-99,3.616376228161748e-83,3.4049398686598216e-56,3.700024750364647e-83,1.4654278976410456e-37,3.3889317405748046e-74,1.8473098630775957e-61,1.7632206939987154e-36,1.3855010453704666e-56,5.898905882359695e-61,1.818195142894447e-128,5.08817496036318e-78,2.15936442123067e-58,4.516727398438781e-71,1.931170913136686e-110,1.424389322577675e-181,2.9566321589132597e-145,1.2651892921816711e-76,6.98287799684612e-97,2.199499300515413e-85,4.0411297570511923e-119,3.76,0.0,0.8732378132395856,0.999999999999999,5.743392118070572e-72,1.91160186104919e-116,1.1046572165871672e-16,1.0573378922586084e-16,4.7319324328558704e-18,9.749428492174624e-36,9.880259606750625e-16,5.543910131001384e-40,3.2099598217120165e-41,1.0748794755839121e-75,3.8009505617644904e-84,1.4654278976410456e-37,1.3969728281730932e-37,8.113984014366628e-37,4.672924746877047e-37
1.1222857563507018e-21,0.7410957759466114,6.141614554743302e-36,2.4697243657621595e-27,4.402440699708067e-51,3.2418788532452005e-55,0.0,0.0,1.4731583946507426e-38,1.4644202025887493e-71,2.7469068856589123e-53,8.032280521059386e-70,2.0742085121389708e-55,3.218389493406005e-97,7.361137370719901e-82,3.343511610718237e-55,1.670367840834935e-81,7.055404513819717e-37,7.560520237205433e-73,1.8136997779677024e-60,8.48914863931842e-36,1.3602931422538948e-55,5.958552645858587e-60,4.7273886722204625e-126,1.1351438436479849e-76,2.3229457069271393e-57,1.0076570361087214e-69,2.105258949768609e-108,8.194965079300349e-178,1.5440036973998394e-142,2.8225677128963275e-75,3.851370416541014e-95,9.920514157523172e-84,8.455690383391446e-117,3.76,0.0,0.8732378132395855,0.9999999999999978,1.1349823860887955e-70,4.003187766938413e-114,2.5249307807706677e-16,2.4167723251625677e-16,1.0815845560809969e-17,4.69393014159498e-35,2.2583450529691003e-15,2.669154082940454e-39,1.5454574770775401e-40,2.397996981010935e-74,1.7159300085618387e-82,7.055404513819717e-37,6.725822821726962e-37,3.906534025458893e-36,2.249812113230922e-36
2.3848572322452415e-21,0.7410957759466114,2.6822044307151674e-35,5.248164277250912e-27,3.893908960717586e-50,2.867405132613474e-54,0.0,0.0,6.433669742801117e-38,2.7426969689252473e-70,2.4296080326420463e-52,1.429407582738189e-68,1.8346139393285368e-54,1.2843747527065895e-95,1.3273863064583705e-80,2.9575052489232214e-54,6.306990699090294e-80,3.0812805132669786e-36,1.4160017627235113e-71,1.6041969141159942e-59,3.7074342406927976e-35,1.2031638794938998e-54,5.336584189044135e-59,8.28192992084181e-124,2.1259987903580975e-75,2.1351873129712377e-56,1.8872301090659353e-68,1.7223813846303262e-106,2.765311725649182e-174,5.447345698896723e-140,5.286356946651497e-74,1.5157663047388126e-93,3.7439607184760885e-82,1.3582094812274657e-114,3.76,0.0,0.8732378132395852,0.9999999999999952,2.0197905516877472e-69,6.433347595288537e-112,5.365477909137667e-16,5.135641190970602e-16,2.2983671816706456e-17,2.049962613418619e-34,4.798983237548789e-15,1.1656897129772608e-38,6.74941883044221e-40,4.4911829540434395e-73,6.47902362970492e-81,3.0812805132669786e-36,2.9373435294275037e-36,1.706086042754495e-35,9.825520577034772e-36
4.9100001840343206e-21,0.7410957759466114,1.1197675505225324e-34,1.0805044100248522e-26,3.273065114185449e-49,2.410226788128696e-53,0.0,0.0,2.6859304705776354e-37,4.737326953252924e-69,2.042231946314066e-51,2.410989754859291e-67,1.5421035597974894e-53,4.5648690223351697e-94,2.2528393076659366e-79,2.4860434743019387e-53,2.188187978465031e-78,1.286373959169176e-35,2.4457909071790836e-70,1.3484241664296628e-58,1.547780814500329e-34,1.011331736776755e-53,4.512012259708306e-58,1.2306208777933057e-121,3.672134211812595e-74,1.8266976996687128e-55,3.259720692425283e-67,1.2396590703987897e-104,7.1994809133721915e-171,1.62531104397998e-137,9.130867001272027e-73,5.3555448427036034e-92,1.2986082442679604e-80,1.9413313620373219e-112,3.76,0.0,0.8732378132395846,0.9999999999999901,3.4067920084248885e-68,9.197843449530482e-110,1.1046572165871662e-15,1.0573378922587138e-15,4.731932432845259e-17,8.558190375062912e-34,9.880259606674617e-15,4.866525085211173e-38,2.8177494991460433e-39,7.75740167505563e-72,2.2478739783596896e-79,1.2863739591691757e-35,1.2262831018077727e-35,7.122573384782987e-35,4.101961425148147e-35
9.960286087612479e-21,0.7410957759466116,4.574615815029208e-34,2.1918803746324172e-26,2.683456533690046e-48,1.9760495407539505e-52,0.0,0.0,1.0972902369844387e-36,7.87113958554993e-68,1.674345136065877e-50,3.960125788130424e-66,1.2643096683102138e-52,1.5375736055112035e-92,3.7114894374186573e-78,2.0382413153434344e-52,7.287579428755036e-77,5.255257356762177e-35,4.063718169545631e-69,1.1055195999957563e-57,6.323189655678272e-34,8.291508598995199e-53,3.709682777940576e-57,1.6941778170955536e-119,6.101305914436451e-73,1.510348982963008e-54,5.416074683700044e-66,8.402970815038846e-103,1.658254460221031e-167,4.484438318195172e-135,1.5171072086479935e-71,1.7992395795705602e-90,4.3243156118909644e-79,2.6238276340381085e-110,3.76,0.0,0.8732378132395835,0.9999999999999799,5.5957620166982735e-67,1.2433158269420574e-107,2.2408760679339644e-15,2.144885438582206e-15,9.59906293517575e-17,3.496300015078831e-33,2.0042812344792085e-14,1.988134288120388e-37,1.1511426113129953e-38,1.2889038905750199e-70,7.486358359285906e-78,5.255257356762175e-35,5.009766597165632e-35,2.909803631524223e-34,1.6757850858748546e-34
2.0060857894768795e-20,0.7410957759466118,1.8491328542407124e-33,4.414632303879717e-26,2.173132675407644e-47,1.6002561507713957e-51,0.0,0.0,4.435422579508002e-36,1.2831944097511304e-66,1.3559281015484493e-49,6.419588814505509e-65,1.0238707488644358e-51,5.046470526453509e-91,6.02543265005667e-77,1.6506336965820098e-51,2.378787278653627e-75,2.124259047994947e-34,6.6248862436514985e-68,8.952784346078453e-57,2.555934357930087e-33,6.714678635344291e-52,3.008370952231788e-56,2.2480101149121165e-117,9.946668530950277e-72,1.2281907097157073e-53,8.829568681063408e-65,5.5329442269164456e-101,3.599295527565788e-164,1.1913504340415848e-132,2.4732676482500796e-70,5.898159699287475e-89,1.4114310894827155e-77,3.450445624048918e-108,3.76,0.0,0.8732378132395813,0.9999999999999596,9.071048040163666e-66,1.6351273114359047e-105,4.513313770627554e-15,4.319980531229935e-15,1.933332393976179e-16,1.4132603671144735e-32,4.036791782049024e-14,8.036356667972855e-37,4.653102486873655e-38,2.1012386444726235e-69,2.4436719714861896e-76,2.124259047994946e-34,2.0250277578165222e-34,1.176189151614269e-33,6.773791252059732e-34
4.026200150908143e-20,0.7410957759466124,7.435281879018923e-33,8.860136162503e-26,1.7491262358731532e-46,1.2880253694803815e-50,0.0,0.0,1.783463911524823e-35,2.0723623993370866e-65,1.0913688992583815e-48,1.0338593268813503e-63,8.24100253468497e-51,1.6353387842863328e-89,9.710929138925249e-76,1.3285788074813774e-50,7.687829397335769e-74,8.541552204128214e-34,1.0699208977442733e-66,7.205979716360333e-56,1.0277299639163937e-32,5.404557529564837e-51,2.423065818328293e-55,2.929396410330538e-115,1.6063896247408803e-70,9.905803016680118e-53,1.4259777004773983e-63,3.591497735032159e-99,7.5874768662887e-161,3.1065794991697225e-130,3.994333858567075e-69,1.91021937258967e-87,4.5613432071663675e-76,4.476406544865168e-106,3.76,0.0,0.8732378132395767,0.999999999999919,1.460870454471062e-64,2.121392744021916e-103,9.058189176014709e-15,8.670170716528367e-15,3.880184594863411e-16,5.682657778652866e-32,8.101812876973946e-14,3.231383671064527e-36,1.8709920449464688e-37,3.3935060244535756e-68,7.897525413910147e-75,8.541552204128202e-34,8.142547549948073e-34,4.729404847921179e-33,2.7237116702131644e-33
8.06642887377067e-20,0.7410957759466137,2.981880584544022e-32,1.7751143880264296e-25,1.4035636483220894e-45,1.0335592423259819e-49,0.0,0.0,7.152487958959904e-35,3.33126203127381e-64,8.757548097280209e-48,1.6595766552517725e-62,6.612885534521566e-50,5.26605145453326e-88,1.559391538071012e-74,1.0661029032613656e-49,2.4722907150379955e-72,3.425544464474029e-33,1.719866594645994e-65,5.782344905630234e-55,4.121656818769019e-32,4.336817050332839e-50,1.9450241193151607e-54,3.7832236368993567e-113,2.58222440568848e-69,7.956879683968269e-52,2.29221750620037e-62,2.3148198857848725e-97,1.5764683309427292e-157,8.026261966757198e-128,6.420775019318927e-68,6.149455181921719e-86,1.4668341467903934e-74,5.768415602111363e-104,3.76,0.0,0.8732378132395676,0.9999999999998377,2.3450255209074643e-63,2.733730500916201e-101,1.814793998678892e-14,1.737055108713713e-14,7.773888996517969e-16,2.2789999322685535e-31,1.6231855065964958e-13,1.2959293793067426e-35,7.5035149223839066e-37,5.4549618261698794e-67,2.539725795398354e-73,3.4255444644740205e-33,3.265525751648232e-33,1.8967028717848435e-32,1.0923302007182794e-32
