Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338)
0.0,0.6018794291648243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5046160369227609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.469255964063596e-22,0.6018794291648243,6.385980929895381e-39,5.0915864248368504e-30,3.2922693844584245e-44,2.7650252814087883e-59,0.0,0.0,1.1925720652972575e-41,3.881945320831233e-77,1.0965747391071637e-56,4.910677117648045e-63,5.531258429723188e-59,6.220042190717799e-73,9.805483604471013e-49,1.6312989647368318e-59,1.7664936217379053e-76,1.63571593676215e-39,2.8550793998036413e-67,4.137189672800692e-66,2.9764997493860256e-39,4.3133566044891263e-60,1.733779849547521e-64,-3.120251238258118e-120,4.00755650067657e-83,1.0764223487095422e-61,1.6520300137869654e-75,-3.627668164638542e-112,1.4622737582633142e-166,-1.426576306106576e-141,1.6031847881696276e-81,2.4061418302779128e-98,4.309804894404884e-79,-2.90338112333631e-114,3.76,0.0,0.5046160369227609,0.9999999999999997,5.617457459567922e-75,-4.5386080049667785e-111,3.3190740141719296e-18,3.1962278896817854e-18,1.2284612449014474e-19,3.9605463308244986e-38,3.8727090361057457e-16,1.2322591866557731e-42,2.436970845645878e-44,3.593340806985008e-75,2.037774328854556e-77,1.63571593676215e-39,1.5893456606653004e-39,4.181826341850819e-39,2.2160803086974894e-39,3.139793279207917e-44,9.805483604557678e-49,9.805613434669504e-58,1.2271449561112701e-60,1.8076368845180006e-79,5.688559371292273e-78,9.029544217449626e-73,4.080392416182892e-71,1.5247610982846344e-45
1.531391669937807e-21,0.6018794291648244,3.8571324816557673e-38,1.4256441989547247e-29,1.9885307083383552e-43,3.282638014097252e-58,0.0,0.0,7.203135274396011e-41,1.2205457199945697e-75,1.301853530271984e-55,5.82995587410996e-62,6.56671000778095e-58,7.384434088817936e-72,5.922512097098807e-48,1.9369085245662805e-58,5.554138586138786e-75,9.879724258065736e-39,3.3895502692916926e-66,4.911671579548973e-65,1.7978058486291782e-38,5.120816960849485e-59,2.119964090339446e-63,1.6169731020341413e-118,1.2600398847310033e-81,1.6266894533703102e-60,5.194246688147071e-74,1.0841432497271043e-110,4.442670306560001e-164,2.4793220576323956e-139,5.040669483604425e-80,1.3862588744275292e-96,1.3550716157766297e-77,1.504586914055133e-112,3.76,0.0,0.5046160369227609,0.999999999999999,1.2813801323839242e-73,2.3519923573331205e-109,9.293407239681402e-18,8.94943809110911e-18,3.4396914857229395e-19,2.3921699838171906e-37,1.0843585301077497e-15,7.442845487405969e-42,1.4719303907722692e-43,8.05735422952848e-74,6.407088534543397e-76,9.879724258065736e-39,9.59964779040427e-39,2.52582311047719e-38,1.3385125064529188e-38,1.8964351429429788e-43,5.922512097201944e-48,1.1670182038371433e-56,1.8544614580181558e-59,4.1636948450479987e-78,1.2728396175410127e-76,2.020102548203643e-71,1.2829406619068274e-69,9.209557083032582e-45
3.5003238170007014e-21,0.6018794291648243,1.8570432544120122e-37,3.25861531189843e-29,9.573919371886342e-43,3.2229134680368214e-57,0.0,0.0,3.4679995658852878e-40,2.722970359182121e-74,1.2781675159155304e-54,5.723885248448984e-61,6.447234825727186e-57,7.250081177493738e-71,2.8514346321776423e-47,1.9017692322568996e-57,1.2390977654814722e-73,4.756661944137635e-38,3.327880566521129e-65,4.822308282616465e-64,8.655661271214842e-38,5.027648458192508e-58,2.1083951201373597e-62,1.697079047516428e-116,2.8110796682026005e-80,1.7499182838516183e-59,1.1588078626138653e-72,1.3983571773729208e-108,6.373982562986273e-161,6.446348213841381e-137,1.1245456331146646e-78,6.216633733094453e-95,3.0230902328300863e-76,1.579125171647244e-110,3.76,0.0,0.5046160369227609,0.9999999999999976,2.553709451842077e-72,2.4685116561480503e-107,2.124207369070035e-17,2.0455858493964202e-17,7.862151967361474e-19,1.1517268730025542e-36,2.4785337830946625e-15,3.583409714802495e-41,7.086711219169946e-43,1.5938473472707776e-72,1.429386207111815e-74,4.756661944137635e-38,4.6218171811934727e-38,1.2160751002091612e-37,6.444361537686834e-38,9.130518890456853e-43,2.851434632279015e-47,1.1470543051051237e-55,1.9949450133827746e-58,8.332967448420428e-77,2.51522138342523e-75,3.991603609908856e-70,2.8621700422245156e-68,4.4340053479014546e-44
7.43818811112649e-21,0.6018794291648243,8.110195780950973e-37,6.924557537792343e-29,4.181182120205796e-42,2.8506304641770445e-56,0.0,0.0,1.5145665229284095e-39,5.099822125781979e-73,1.1305246930555317e-53,5.062711681459118e-60,5.702506190795006e-56,6.41261469692787e-70,1.2452964177652065e-46,1.6821334435891912e-56,2.320692981848351e-72,2.0773592397222404e-37,2.9434726960453168e-64,4.2652770650705565e-63,3.780154681720542e-37,4.446898124964073e-57,1.8755752083438414e-61,1.3549375665191259e-114,5.264841110569641e-79,1.608476387232916e-58,2.170318878922625e-71,1.2001228554145928e-106,5.214835863845282e-158,1.1293381583474434e-134,2.1061495149716195e-77,2.3388592067273946e-93,5.661913435782237e-75,1.2607639113352571e-108,3.76,0.0,0.5046160369227609,0.9999999999999948,4.562099246851345e-71,1.9708446592752116e-105,4.513940659273824e-17,4.346869929967617e-17,1.6707072930620741e-18,5.02989384013461e-36,5.266884289038738e-15,1.564969167060523e-40,3.0949529740027496e-42,2.8376674685207646e-71,2.677082174214969e-73,2.0773592397222404e-37,2.018468989023e-37,5.310919454139622e-37,2.814421992040164e-37,3.9875375002646224e-42,1.2452964178549132e-46,1.0150604835897361e-54,1.833698167463795e-57,1.4914855813055782e-75,4.4759503369012386e-74,7.103025013489863e-69,5.360527726533278e-67,1.936446671380719e-43
1.5313916699378068e-20,0.6018794291648244,3.3858470890159864e-36,1.4256441989606188e-28,1.7455612293889417e-41,2.3961266685654057e-55,0.0,0.0,6.323017090214092e-39,8.808674486100276e-72,9.502741237608588e-53,4.255514219771105e-59,4.79330005522191e-55,5.390189041774591e-69,5.1988674070670216e-46,1.4139504123874106e-55,4.008420013006085e-71,8.672565897021263e-37,2.474166195579628e-63,3.585222375414232e-62,1.578140167124731e-36,3.7378858197445383e-56,1.5807857289701457e-60,9.651396191312006e-113,9.093703745819294e-78,1.3760854135280198e-57,3.748686143142727e-70,8.821100154705046e-105,3.3332003707283307e-155,1.67809572151681e-132,3.637849524802973e-76,8.098736834434813e-92,9.779547447307301e-74,8.980585023454759e-107,3.76,0.0,0.5046160369227609,0.9999999999999892,7.709221649377783e-70,1.4038582380492525e-103,9.293407239681403e-17,8.949438091110723e-17,3.4396914857068062e-18,2.0998816645918953e-35,1.084358530080789e-14,6.53343820771784e-40,1.2920819423905493e-41,4.7873419996718335e-70,4.623993717944326e-72,8.672565897021261e-37,8.426710692650027e-37,2.2172043264394774e-36,1.1749657796663259e-36,1.6647184287394034e-41,5.1988674078212355e-46,8.534193036736135e-54,1.5687673906517786e-56,2.522671058280614e-74,7.549544948435724e-73,1.1980433606894344e-67,9.258978578304834e-66,8.084284032137539e-43
3.106537387588123e-20,0.6018794291648243,1.3832290133267445e-35,2.892021089333795e-28,7.131187192320621e-41,1.96448941085431e-54,0.0,0.0,2.5831587963232736e-38,1.4635744403547662e-70,7.790921398442684e-52,3.4889276651052045e-58,3.9298369844017384e-54,4.41920263792854e-68,2.123906970642934e-45,1.1592483013979919e-54,6.660049810743392e-70,3.543026147925169e-36,2.028470990669083e-62,2.939381913376777e-61,6.447217517162309e-36,3.0645446285755844e-55,1.2977155930478904e-59,6.511187159919612e-111,1.5109324784272706e-76,1.1377740307929462e-56,6.228498093147992e-69,6.038856093450754e-103,1.9012315769656714e-152,2.3102099120541124e-130,6.044341394379658e-75,2.6945023829227658e-90,1.6248864367234095e-72,6.058633257610032e-105,3.76,0.0,0.5046160369227608,0.9999999999999781,1.2674205627096914e-68,9.47094447494648e-102,1.8852340400496557e-16,1.8154574413399778e-16,6.977659870967785e-18,8.578701774323811e-35,2.1996987323870206e-14,2.669122688722116e-39,5.278576330748677e-41,7.864183430127234e-69,7.68283473768878e-71,3.5430261479251674e-36,3.442586274660335e-36,9.058003129419351e-36,4.800118591808076e-36,6.800918106303417e-41,2.1239069712613533e-45,6.997642171061864e-53,1.2970872195571674e-55,4.1492062569165066e-73,1.2400311516006594e-71,1.967801302360791e-66,1.5383931386997723e-64,3.302694112708934e-42
6.256828822888753e-20,0.6018794291648244,5.591232831106742e-35,5.824774870121773e-28,2.882539887204566e-40,1.5908944578809876e-53,0.0,0.0,1.0441540866324783e-37,2.3859957249010715e-69,6.309290142397728e-51,2.825424080403619e-57,3.182483878098674e-53,3.578784871722538e-67,8.585171558763651e-45,9.387918535951872e-54,1.0857562127838998e-68,1.4321478172147474e-35,1.642708498233257e-61,2.3803876820748526e-60,2.6060684025772477e-35,2.481747693905398e-54,1.051598677437194e-58,4.277584238920053e-109,2.463201280400492e-75,9.252189461764364e-56,1.0154023883492688e-67,3.995471461103693e-101,1.0267183041199347e-149,3.0654251343976523e-128,9.853801986743875e-74,8.790830901083942e-89,2.6489749978991986e-71,3.980274801397875e-103,3.76,0.0,0.5046160369227606,0.9999999999999558,2.0554918776917986e-67,6.222024018398134e-100,3.797020672212686e-16,3.6564847057989275e-16,1.4053596641375806e-17,3.4676484187823476e-34,4.4303791368090876e-14,1.0789020664059522e-38,2.1336849501655917e-40,1.2748947511996047e-67,1.2524959727352196e-69,1.432147817214747e-35,1.3915484143666995e-35,3.661389689886363e-35,1.9402846820840702e-35,2.7490399496076066e-40,8.585171563772043e-45,5.667189235666843e-52,1.0547697919367741e-54,6.730638786721291e-72,2.0101568732843537e-70,3.1898998902593443e-65,2.5079690862683855e-63,1.3350020099582934e-41
1.2557411693490017e-19,0.6018794291648245,2.248210130211224e-34,1.1690282431864235e-27,1.1590566157559743e-39,1.2804902646237769e-52,0.0,0.0,4.19849765880699e-37,3.853389469056084e-68,5.07826560350286e-50,2.274147107283885e-56,2.561539895297392e-52,2.880517411948937e-66,3.45205972475563e-44,7.556223649019106e-53,1.7534991924230024e-67,5.758603385748319e-35,1.3221948700734656e-60,1.9159430955816751e-59,1.047888642771817e-34,1.9975264512246682e-53,8.466877102246118e-58,2.773552395384409e-107,3.978076650287438e-74,7.462225984631957e-55,1.6398775694328444e-66,2.5996663240967128e-99,5.397835557068588e-147,3.9945751887525104e-126,1.5913916532357772e-72,2.8403192230070556e-87,4.278101716366566e-70,2.580779274869262e-101,3.76,0.0,0.5046160369227602,0.9999999999999112,3.311067511215054e-66,4.0343120620663213e-98,7.620593936538744e-16,7.338539234721383e-16,2.820547018173609e-17,1.3943261778885124e-33,8.891739944891635e-14,4.338217757377146e-38,8.579453342567977e-40,2.0532400503143304e-66,2.022784360144239e-68,5.758603385748315e-35,5.595354971083471e-35,1.4722286908984379e-34,7.801799369694731e-35,1.105376964469368e-39,3.452059728786931e-44,4.561573627228972e-51,8.507100592972091e-54,1.0843175176515569e-70,3.2373060429673504e-69,5.137242775622531e-64,4.050376772828213e-62,5.367986329293252e-41
2.5158577434692544e-19,0.6018794291648245,9.016328158371861e-34,2.342129755601519e-27,4.648335469883473e-39,1.0275127952717866e-51,0.0,0.0,1.6837853435973625e-36,6.194211029017227e-67,4.074988330522183e-49,1.8248598344748324e-55,2.055474446411891e-51,2.3114338143416854e-65,1.3844303467181208e-43,6.063397634290434e-52,2.8186987664763813e-66,2.3094575182200874e-34,1.060978368338813e-59,1.5374236723224944e-58,4.202502137171468e-34,1.6028891772857794e-52,6.795213385261425e-57,1.7866519330001636e-105,6.394642040454946e-73,5.994065724335129e-54,2.6360552983064547e-65,1.6775317412081156e-97,2.800401571084981e-144,5.158868690187953e-124,2.5581156051379176e-71,9.132872948394509e-86,6.876923623343176e-69,1.662472402427512e-99,3.76,0.0,0.5046160369227595,0.9999999999998219,5.315606596432096e-65,2.598801275757298e-96,1.5267740465190848e-15,1.470264829258451e-15,5.650921726063362e-17,5.5918716007010134e-33,1.7814461558010392e-13,1.739819352396652e-37,3.440744516461282e-39,3.2959540783818215e-65,3.251566841011993e-67,2.309457518220083e-34,2.2439876013211077e-34,5.9042955206539764e-34,3.1288704911368465e-34,4.4330567529581506e-39,1.3844303499530303e-43,3.660426200990451e-50,6.833365999977528e-53,1.7408653449381623e-69,5.1966014557840894e-68,8.24641825457657e-63,6.510862364527658e-61,2.1528041814257414e-40
