Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537)
0.0,0.7318101574551776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7957103112971218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.966104670084738e-22,0.7318101574551776,2.5226976818894727e-37,4.526291089170191e-28,4.470097842710067e-42,7.37558700508911e-54,0.0,0.0,6.15807320044688e-40,3.0553102500443287e-74,1.3023295442410386e-53,1.4775588490282536e-53,2.4797149838225895e-57,5.238066628453966e-69,5.505863627509369e-46,2.0532285190206713e-38,3.822423776762544e-71,2.9248073974495557e-38,4.196963161205877e-64,2.2078644644966938e-62,3.5231355677454428e-37,1.6073368700552354e-57,1.0894292454993001e-24,3.734409717398647e-94,2.4090400472395914e-79,4.084720410151041e-59,2.0844325484116047e-72,2.591622838271133e-93,-7.999233930543829e-139,-5.3752424769836665e-127,5.966168129885515e-78,3.340003896842522e-95,4.4175375397676446e-76,-5.887924618779325e-110,3.76,0.0,0.7957103112971217,0.9999999999999997,2.0878547458602333e-54,5.246928787520011e-96,4.134158438655827e-17,3.956981142440484e-17,1.7717729621534426e-18,1.9332678166267466e-36,3.990262701184636e-16,1.1214793279607278e-40,6.550646820522028e-42,4.7088519767651294e-73,8.782432323350179e-75,2.9248073974495546e-38,2.787672107748843e-38,1.6042605105847043e-37,9.245952440929645e-38,4.164242024062774e-42,5.093621477877302e-46,1.4744706657776397e-55,2.661564045004158e-57,6.809893955587777e-59,1.8248713290712785e-57,3.544355628206037e-52,4.0373012762001383e-69,3.05855819118262e-43,2.53044710865956e-63,1.0894292454993205e-24,3.844402720243925e-86,7.715848753461917e-63,6.428340781722858e-60
5.505093076237266e-22,0.7318101574551775,1.523709399861022e-36,1.2673615049680374e-27,2.699939097034526e-41,8.756296892441501e-53,0.0,0.0,3.7194762130699806e-39,9.606384275779532e-73,1.5461256349230821e-52,1.7541578655809896e-52,2.943917628796537e-56,6.218632701299668e-68,3.325541631015191e-45,1.2401500254884393e-37,1.2018311941945786e-69,1.7665836680610752e-37,4.982634665588934e-63,2.621176692250483e-61,2.1279738829182616e-36,1.9082303321295812e-56,3.050401887397973e-24,2.2718236702877135e-92,7.574407355220248e-78,6.172829483822044e-58,6.5537894414129346e-71,1.2380493293318032e-91,8.095432621150224e-137,9.26727502769478e-125,1.875858718730761e-76,1.940334853546568e-93,1.3889444831282698e-74,3.0512337015211722e-108,3.76,0.0,0.7957103112971217,0.9999999999999989,2.478701154285183e-53,3.191962847676463e-94,1.1575643628236317e-16,1.1079547198833441e-16,4.960964294028776e-18,1.1676937612423335e-35,1.117273556331034e-15,6.773735140884704e-40,3.9565906795975627e-41,1.0824273331437678e-71,2.7613372414299476e-73,1.7665836680610746e-37,1.6837539530793646e-37,9.68973348393018e-37,5.584555274320696e-37,2.5152021827957706e-41,3.0765473726449756e-45,1.8009641858912233e-54,4.0221555848598524e-56,8.084706104079493e-58,2.1664872418731564e-56,4.20785900180459e-51,1.2693920926996638e-67,1.8473691479788782e-42,3.004146807445911e-62,3.0504018873980975e-24,1.2101161021818122e-84,1.0450366082749916e-61,7.63172617796987e-59
1.2583069888542324e-21,0.7318101574551776,7.336004858931297e-36,2.8968262970716104e-27,1.2999044527165153e-40,8.596984213130958e-52,0.0,0.0,1.790767686690048e-38,2.143131487280431e-71,1.517995316767513e-51,1.722242594472738e-51,2.890355785150873e-55,6.105490462123215e-67,1.6011051428790237e-44,5.970788533311418e-37,2.6812192816064812e-68,8.505339911806298e-37,4.8919802625742045e-62,2.5734868198173704e-60,1.0245278231003955e-35,1.8735118557363988e-55,6.972347171195052e-24,1.0256098002073339e-90,1.6898086143317186e-76,6.640448276380256e-57,1.4621143720334504e-69,6.446497190446112e-90,1.6953080643796584e-134,2.404615915677885e-122,4.184937610652269e-75,8.703791708832751e-92,3.098658736229939e-73,3.2023938910675614e-106,3.76,0.0,0.7957103112971216,0.9999999999999974,2.4336034917744202e-52,1.4410046128822693e-92,2.6458614007397285e-16,2.5324679311619696e-16,1.133934695777599e-17,5.621942810747253e-35,2.553768128753517e-15,3.261261885712603e-39,1.904928095411126e-40,2.1667228291735317e-70,6.160391484906532e-72,8.505339911806291e-37,8.106550489319575e-37,4.665189564778173e-36,2.688722969821125e-36,1.2109615809902018e-40,1.4812251257773109e-44,1.7903141163325206e-53,4.32685143684603e-55,7.937612394650736e-57,2.127070021164658e-55,4.131300920231942e-50,2.831943914738888e-66,8.89428722752735e-42,2.9494891499938886e-61,6.97234717119565e-24,2.706522954211496e-83,1.082555013559178e-60,7.492874021092226e-58
2.6739023513152438e-21,0.7318101574551776,3.2038260559962316e-35,6.1557558812849e-27,5.677024260824684e-40,7.603935178764758e-51,0.0,0.0,7.820752964568518e-38,4.013848090719799e-70,1.342649666930874e-50,1.5233040710895205e-50,2.5564869597369402e-54,5.400237171265175e-66,6.992446806929661e-44,2.607600219155536e-36,5.02162697816225e-67,3.714505394784617e-36,4.326901144606202e-61,2.2762199483175596e-59,4.474382171036925e-35,1.6571000195521785e-54,1.4816237738788144e-23,3.872507459789859e-89,3.1648245204220616e-75,6.103716014493268e-56,2.738378403484576e-68,2.5726278020765395e-88,2.724455490233089e-132,4.209482186987425e-120,7.837924988762225e-74,3.274817346873541e-90,5.803444878127801e-72,2.556771761592939e-104,3.76,0.0,0.7957103112971212,0.9999999999999946,2.1524947287915044e-51,5.440959266773732e-91,5.622455476571921e-16,5.381494353719356e-16,2.4096112285256608e-17,2.4552501271125316e-34,5.426757273587853e-15,1.4242787465129996e-38,8.319321462096971e-40,3.8783133552091984e-69,1.1537731468348975e-70,3.71450539478461e-36,3.5403435768264966e-36,2.0374108484403554e-35,1.1742359599968086e-35,5.288587374617945e-40,6.468899277013447e-44,1.5922961120080203e-52,3.97712192152252e-54,7.020728272489792e-56,1.8813693454175932e-54,3.654088878444768e-49,5.303917524122025e-65,3.884368910622334e-41,2.608789751438235e-60,1.4816237738790748e-23,5.0946618841504424e-82,9.799589363868076e-60,6.627362224748469e-57
5.505093076237267e-21,0.7318101574551779,1.3375343109347395e-34,1.2673615049736054e-26,2.3700458767294094e-39,6.391565689214677e-50,0.0,0.0,3.265010410877819e-37,6.932924403194727e-69,1.1285779457666462e-49,1.2804288577992966e-49,2.148881329568456e-53,4.539224731141763e-65,2.9192088952989537e-43,1.0886217607841153e-35,8.673611814340762e-66,1.5507328821490363e-35,3.637021131216973e-60,1.9133000191014904e-58,1.8679664780188252e-34,1.392892414200005e-53,3.0504018873970054e-23,1.3435527338874526e-87,5.4664473245558635e-74,5.221857555715657e-55,4.729867705399293e-67,9.143522143572203e-87,3.895190798000119e-130,6.252859328220341e-118,1.353806626389913e-72,1.134002639393593e-88,1.0024007813447786e-70,1.82122171918443e-102,3.76,0.0,0.7957103112971207,0.9999999999999888,1.8093015170855263e-50,1.8877215503321602e-89,1.1575643628236306e-15,1.1079547198834678e-15,4.9609642940162596e-17,1.0250185963724082e-33,1.117273556321401e-14,5.946083396873554e-38,3.473152944271245e-39,6.559538765001252e-68,1.992856188334637e-69,1.5507328821490305e-35,1.4780237515153543e-35,8.505789227100129e-35,4.902203984169592e-35,2.207881124810412e-39,2.7006381076688166e-43,1.3419033766264446e-51,3.402511537015359e-53,5.901345143676242e-55,1.5814042958287634e-53,3.0714818776942e-48,9.161198523179705e-64,1.6216475600033245e-40,2.192844977745018e-59,3.050401887398094e-23,8.88838002014003e-81,8.326161448815044e-59,5.570697290528022e-56
1.1167474526081312e-20,0.7318101574551779,5.464264086853977e-34,2.5709333386736666e-26,9.682410735664432e-39,5.2401917141488544e-49,0.0,0.0,1.3338632875103444e-36,1.1519157586567358e-67,9.252763857468999e-49,1.0497729380292826e-48,1.7617827439458924e-52,3.721530682987728e-64,1.192592085167525e-42,4.447375101334078e-35,1.4411335754365147e-64,6.335249815351695e-35,2.981849669203308e-59,1.568638952377674e-57,7.631252565160961e-34,1.1419773561762546e-52,6.187958114431682e-23,4.474591559733986e-86,9.08258399337057e-73,4.317532807910577e-54,7.858745933657883e-66,3.079790079211833e-85,5.265313121968921e-128,8.60689150174985e-116,2.249369957670734e-71,3.772959068094007e-87,1.6655038908073097e-69,1.2286632150592868e-100,3.76,0.0,0.7957103112971194,0.9999999999999772,1.4833746970991778e-49,6.286901069170973e-88,2.3482019931565056e-15,2.247565288906752e-15,1.0063670424975362e-16,4.187535421500012e-33,2.266469214229625e-14,2.429169083557835e-37,1.418896303938094e-38,1.0788603360018187e-66,3.311160363584916e-68,6.335249815351646e-35,6.038209292157538e-35,3.4748924363299835e-34,2.002710282505553e-34,9.019914824723695e-39,1.1032987866773073e-42,1.1015593097061867e-50,2.8132623375015218e-52,4.838279293100758e-54,1.2965307861408577e-52,2.518186414435651e-47,1.52214683565339e-62,6.624959444019865e-40,1.7978267993388574e-58,6.187958114436129e-23,1.5062677605568076e-79,6.861713291887261e-58,4.567194225966599e-55
2.2492237425769404e-20,0.7318101574551783,2.208742909961664e-33,5.17807700611311e-26,3.91378522964183e-38,4.243643111257666e-48,0.0,0.0,5.3916886745110236e-36,1.877913415137848e-66,7.493128065880068e-48,8.501333426641192e-48,1.4267373433888e-51,3.013792034267369e-63,4.820647887293213e-42,1.7977001233670226e-34,2.3494114512956266e-63,2.5608092673702233e-34,2.4147791819502363e-58,1.2703244933468223e-56,3.084674300069722e-33,9.248028707939795e-52,1.2463070568494199e-22,1.4605812108785611e-84,1.4806904254548904e-71,3.510945975656395e-53,1.2811739316863357e-64,1.0108179418536037e-83,6.924594380264171e-126,1.1419657199756351e-113,3.667040742775381e-70,1.2309397192127289e-85,2.715191694899353e-68,8.071815899926447e-99,3.76,0.0,0.7957103112971171,0.9999999999999543,1.2012752887956189e-48,2.0521493179600028e-86,4.7294772538222474e-15,4.5267864269541964e-15,2.0269082686805188e-16,1.6926687702903754e-32,4.5648605299780446e-14,9.819089826552577e-37,5.73540572262594e-38,1.750041505146451e-65,5.398027089569396e-67,2.5608092673701844e-34,2.4407407385041685e-34,1.4046070815075084e-33,8.095275167672337e-34,3.645993801120461e-38,4.459710098396551e-42,8.926241240202978e-50,2.2876982123137422e-51,3.9181640125104075e-53,1.049964245443021e-51,2.0392926467744674e-46,2.481483511521803e-61,2.6779145561915727e-39,1.4559267546737706e-57,1.2463070568512177e-22,2.551620320455348e-78,5.570924126506243e-57,3.6986323288253925e-54
4.5141763225145586e-20,0.7318101574551789,8.881258096826398e-33,1.0392364341149284e-25,1.5737158288801558e-37,3.4156531645390493e-47,0.0,0.0,2.1679743025151223e-35,3.032835181613511e-65,6.031121354826875e-47,6.842612745023617e-47,1.148362337366038e-50,2.4257620231358045e-62,1.9383613134823921e-41,7.22847313031663e-34,3.7943057694396574e-62,1.0296901436217772e-33,1.9436243830234153e-57,1.022467667978933e-55,1.240333969168137e-32,7.443618064465411e-51,2.501329547659191e-22,4.720346088790412e-83,2.3913189985386363e-70,2.831705122174123e-52,2.0690993218436092e-63,3.275615653349749e-82,8.98387890136626e-124,1.4880479393195448e-111,5.922280595094358e-69,3.9771838916043064e-84,4.385041844448675e-67,5.233702735181007e-97,3.76,0.0,0.7957103112971123,0.9999999999999083,9.668908610085572e-48,6.63219262667385e-85,9.492027775153704e-15,9.08522870305259e-15,4.06799072101113e-16,6.80614667897242e-32,9.161643161202773e-14,3.948212833403967e-36,2.3061814159235387e-37,2.819317418376403e-64,8.71782817885482e-66,1.0296901436217461e-33,9.814111161475057e-34,5.6478632978210626e-33,3.255074540575184e-33,1.466038082171052e-37,1.793229816327394e-41,7.18682379319391e-49,1.8451114873001657e-50,3.1536792699877054e-52,8.451025695502487e-51,1.641400136530875e-45,4.007602498816853e-60,1.0767776851976155e-38,1.171856516152646e-56,2.50132954766642e-22,4.431031851861243e-77,4.489608887446531e-56,2.9769811237029055e-53
9.044081482389795e-20,0.7318101574551802,3.56178172073449e-32,2.082093901185077e-25,6.311304347400022e-37,2.7408465542072296e-46,0.0,0.0,8.694546603311993e-35,4.875193977103451e-64,4.839595060489354e-46,5.490765801554388e-46,9.21488454503667e-50,1.9465212543721623e-61,7.773695820202355e-41,2.8989410266048508e-33,6.099235707418595e-61,4.129518016581748e-33,1.5596361884262746e-56,8.20465910788895e-55,4.974293969295107e-32,5.973034714044311e-50,5.011374529267805e-22,1.5179925611600448e-81,3.8439754692633653e-69,2.2745795489484956e-51,3.3260167294346e-62,1.0548004335592678e-80,1.1577068226654924e-121,1.9217320616716765e-109,9.519893090885896e-68,1.2788416144356756e-82,7.048826709482659e-66,3.3714182323907795e-95,3.76,0.0,0.7957103112971028,0.9999999999998164,7.758690232961452e-47,2.1328141659254732e-83,1.901712881781651e-14,1.820211325526341e-14,8.150155625530942e-16,2.7295692305476766e-31,1.8355208422563786e-13,1.5834099343886402e-35,9.248818943395037e-37,4.5263722912993395e-63,1.4013654216790413e-64,4.129518016581497e-33,3.935897522302625e-33,2.2650457892406095e-32,1.3054304775119513e-32,5.879468494512322e-37,7.191653607354701e-41,5.767856177271352e-48,1.4820938904923407e-49,2.530629002629491e-51,6.781415893517191e-50,1.3171202377258153e-44,6.442103969222877e-59,4.318360279044929e-38,9.403410552348124e-56,5.011374529296794e-22,8.119895743673234e-76,3.604884604496202e-55,2.3888399510595317e-52
