Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CHF2(1),O2(2),H2O(3),CH4(4),HF(38),CH2CHF(56),C2H3F(124),C2H3F(139),O2(143),S(285),S(141),S(377),S(145),CHFO(47),S(284),CH2CF(70),C2H2F(71),CH2CFO(79),CH2F(46),C2H4F(63),C2H4F(62),C1OO1(734),CH2O2(778),CHO2(166),C2H2O(133),S(338),S(376),CH2F2(41),CH3O2(183),C2H2O(373),S(1537),CHF2(81),C2H3F2(64),CH2CF2(57),CH3F(39),C2H3F2(65),S(3087),CF2CH(73),C2HF2(72),C2HF(58),C2HF(4088),S(3189),S(4414),CF2(43),CF2O(49),S(4555),S(5169)
0.0,0.8687440270099398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5836423790056877,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.657184896321517e-23,0.8687440270099399,1.2257901837606048e-26,7.617651027118026e-26,6.2081565228840896e-40,5.176623035700637e-42,0.0,0.0,9.357612608706002e-22,1.0800425819178325e-39,1.419923051225011e-53,1.3229890785574017e-53,5.142764641607853e-56,7.285172147342207e-65,4.134680344978037e-43,1.1046290601847492e-37,4.65630276366059e-23,2.193757676948933e-37,3.70956401333224e-61,2.7900357084804748e-58,2.4205167467995545e-35,2.9097798334973362e-55,3.681777095323812e-23,2.4153880270234547e-58,1.0921116936555494e-41,8.674172805861343e-55,3.0410235526197416e-53,1.1482356869337464e-60,8.636618264313703e-62,9.69883493627269e-62,3.534220148682986e-58,2.742458274867185e-75,2.438703457814601e-69,6.029685377102042e-80,3.76,0.0,0.5836423790056874,0.9999999999999997,2.436622706654944e-54,1.4320536487199823e-20,2.62926149230101e-16,2.5266706450682616e-16,1.0259084723274855e-17,3.8341353316781755e-35,2.634842411484417e-16,6.59896840573202e-39,1.4210932779178515e-39,2.0027640786192227e-54,1.528809892614024e-68,2.1933480157976965e-37,2.02270111650427e-37,1.648416110563215e-36,1.049055446021582e-36,3.926598243481273e-40,1.4857844869407084e-43,9.919455694668711e-37,1.0753431201385994e-37,7.1814504969894795e-59,1.2095993353807358e-57,3.2109688994420832e-52,9.515279088627993e-68,4.654163908703946e-41,1.1391437319092241e-60,3.681777095323823e-23,5.047194103377723e-42,4.307527717740047e-60,1.061300599984283e-58,4.656302763660567e-23,2.267273068880768e-22,1.3060017449018764e-35,7.594937517743342e-43,7.090462118843333e-22,1.6385342735515585e-39,6.699836027394951e-58,2.4206125563457407e-73,1.4449207906896983e-53,1.1307734750855321e-72,6.54627476217076e-73,2.5582996158430815e-90,1.4320536487199823e-20,7.36182188797823e-41,2.0308977793895635e-94,1.130039657054096e-94
1.0240117709700249e-22,0.8687440270099399,3.432212519624743e-26,2.132942287593306e-25,3.749726539829742e-39,3.1266803164899403e-41,0.0,0.0,2.620131530437679e-21,6.523457194783704e-39,1.685736540184396e-52,1.5706526340656897e-52,6.105490182518277e-55,8.648956373324505e-64,2.4973469283666883e-42,6.671959523515842e-37,1.3037647738249717e-22,1.325029636877372e-36,4.4039943966410774e-60,3.312330393108025e-57,1.461992115066934e-34,3.454490618328042e-54,1.0308975866906632e-22,2.8675486656822376e-57,6.596354629679504e-41,1.032513497353187e-53,4.595234783977886e-52,1.7352137718021824e-59,1.3051657521031004e-60,1.4656879355695493e-60,4.1958261605380366e-57,6.150224375051647e-74,6.875805359400276e-68,1.700468848591791e-78,3.76,0.0,0.583642379005687,0.9999999999999993,2.89275847759734e-53,4.009750216415949e-20,7.361932178442825e-16,7.074677806191144e-16,2.872543722516805e-17,2.3158177403334764e-34,7.377558752155625e-16,3.985776917062391e-38,8.58340339862475e-39,2.3779885801549356e-53,3.420384435220634e-67,1.3247822015420249e-36,1.2217114743684555e-36,9.956433307801368e-36,6.336294893970074e-36,2.371665339067119e-39,8.974138301134406e-43,5.991351239579668e-36,6.495072445637072e-37,8.525818030026089e-58,1.4360363309639657e-56,3.812062277417382e-51,2.9917473464133864e-66,2.8111150008642664e-40,1.35246592019612e-59,1.0308975866906701e-22,3.0485052384401437e-41,6.012802471873634e-59,1.2599760723042094e-57,1.3037647738249585e-22,6.348364592865949e-22,7.888250539207194e-35,4.587342260717593e-42,1.9853293932761117e-21,9.896747012251112e-39,7.954045331723156e-57,5.414813464043064e-72,1.715409962706766e-52,2.529495032827267e-71,1.996599527855228e-71,1.4300794438662177e-88,4.009750216415949e-20,4.446540420338848e-40,1.135263887354091e-92,6.316877328592427e-93
2.3405983336457714e-22,0.8687440270099401,7.845057211733218e-26,4.875296657357349e-25,1.8053319168663118e-38,1.5053619831718773e-40,0.0,0.0,5.988872069571828e-21,3.1407638282170466e-38,1.6550678376614514e-51,1.5420760699737676e-51,5.994406466262496e-54,8.491596654941568e-63,1.202365044319544e-41,3.212261307017183e-36,2.980033768742823e-22,6.379447324570715e-36,4.323867813979882e-59,3.2520656218048536e-56,7.038862699693142e-34,3.391639373924506e-53,2.3563373410072116e-22,2.815376284298513e-56,3.1758608051503147e-40,1.0149178788659824e-52,4.9432199566105634e-51,1.8666637974175485e-58,1.40403775799299e-59,1.5767201979200363e-59,4.119487005335705e-56,1.2166708103687484e-72,1.4955045661017503e-66,3.698896457336761e-77,3.76,0.0,0.583642379005686,0.9999999999999983,2.840127427243473e-52,9.165143351807873e-20,1.6827273550726437e-15,1.6170692128436957e-15,6.565814222894824e-17,1.1149665544518e-33,1.6862991433495055e-15,1.9189800123872394e-37,4.1325392521864693e-38,2.3348578437839336e-52,6.758577201729823e-66,6.378256029942917e-36,5.882014846792553e-36,4.793594049517153e-35,3.0506532370303373e-35,1.1418547692109929e-38,4.3206612880421654e-42,2.884577716009309e-35,3.127097793362941e-36,8.370698699291484e-57,1.40990898531965e-55,3.7427053491888847e-50,6.6744183348965805e-65,1.3534308646617163e-39,1.3278916978904169e-58,2.356337341007243e-22,1.4677240452622402e-40,6.297300210628826e-58,1.2370519793505592e-56,2.9800337687427594e-22,1.4510547640835496e-21,3.797853074174446e-34,2.2086078301606683e-41,4.537895756059583e-21,4.764857667487479e-38,7.80932887353116e-56,1.0698758930839408e-70,1.6841996736277744e-51,4.997855928497226e-70,4.415519957680181e-70,6.355152151398696e-87,9.165143351807873e-20,2.1408178050240647e-39,5.045016741600083e-91,2.80716688272847e-91
4.973771458997264e-22,0.8687440270099404,1.6670746677470956e-25,1.0360005396889572e-24,7.884358784182811e-38,6.574311300704503e-40,0.0,0.0,1.2726353147840092e-20,1.3716540790356367e-37,1.4638894369823974e-50,1.363948820444786e-50,5.301984634921178e-53,7.510721077022853e-62,5.251044038121392e-41,1.4028789064345622e-35,6.332571758578631e-22,2.786072249728455e-35,3.824412115268134e-58,2.8764152140150523e-55,3.0740562684354693e-33,2.9998666171424337e-52,5.007216849640242e-22,2.4901684403400462e-55,1.3869818509425234e-39,8.981559732264763e-52,4.543625861708955e-50,1.7157856351603346e-57,1.2905525939999512e-58,1.4492775068574757e-58,3.643639604517548e-55,2.166209934791981e-71,2.7723152446904448e-65,6.857150322644473e-76,3.76,0.0,0.5836423790056842,0.9999999999999964,2.5120605460262948e-51,1.947592962259169e-19,3.575795629529361e-15,3.436272077292877e-15,1.3952355223648385e-16,4.8693518712290756e-33,3.583385679616198e-15,8.380689875283435e-37,1.80478846295706e-37,2.0652087588978755e-51,1.2026912006067533e-64,2.785551980066383e-35,2.568830417958495e-35,2.093488460414584e-34,1.3323004164469725e-34,4.986779769289785e-38,1.8869462984338082e-41,1.259770873222562e-34,1.3656857625759111e-35,7.403788204377425e-56,1.2470485308038386e-54,3.310380496567116e-49,1.2500442945958553e-63,5.910788164163567e-39,1.1745181306442512e-57,5.007216849640382e-22,6.409936511289692e-40,5.726323734369822e-57,1.09415846657843e-55,6.33257175857835e-22,3.083491373677134e-21,1.658622216025165e-33,9.645570647543317e-41,9.643028481626185e-21,2.0809385274100108e-37,6.907262950802265e-55,1.903786988493072e-69,1.4896555383691606e-50,8.89341759034211e-69,8.241712173367647e-69,2.382585520877543e-85,1.9475929622591693e-19,9.349513797732298e-39,1.8914077200298563e-89,1.0524240820893359e-89
1.0240117709700249e-21,0.868744027009941,3.4322125935029594e-25,2.132942287597057e-24,3.291564588541145e-37,2.7446455743567e-39,0.0,0.0,2.6201315304376474e-20,5.726385769328248e-37,1.2304875464050832e-49,1.1464811676802488e-49,4.456637554199643e-52,6.313213620130454e-61,2.19220751890671e-40,5.85674327709891e-35,1.3037647738250665e-21,1.1631303203212972e-34,3.2146488210799267e-57,2.4178003043978807e-54,1.2833579791531542e-32,2.5215686472314884e-51,1.0308975866906035e-21,2.0931366180099926e-54,5.7903761997614974e-39,7.55141593720396e-51,3.887150446276661e-49,1.4678907471838874e-56,1.1040949149680976e-57,1.2398874196513932e-57,3.0626986333546865e-54,3.654597013320615e-70,4.764826323928348e-64,1.1785757054211274e-74,3.76,0.0,0.5836423790056804,0.9999999999999927,2.1115382519632512e-50,4.0097502164159187e-19,7.36193217844277e-15,7.0746778061913145e-15,2.872543722514559e-16,2.0328585528537807e-32,7.377558752144807e-15,3.498773048722494e-36,7.534636559532885e-37,1.7359535872123469e-50,2.028545372370676e-63,1.1629131179789107e-34,1.0724361319688276e-34,8.73990221819987e-34,5.562091974802494e-34,2.081882388755468e-37,7.877629349931195e-41,5.259295409310067e-34,5.701469222973857e-35,6.22333009748521e-55,1.0482194304510613e-53,2.7825742727510394e-48,2.159140351249562e-62,2.4676377044934027e-38,9.872583979840356e-57,1.0308975866906624e-21,2.6760223136108527e-39,4.875343573350425e-56,9.197061191705757e-55,1.3037647738249484e-21,6.348364592863001e-21,6.924421251467784e-33,4.026835871915829e-40,1.985329393275801e-20,8.687508718366142e-37,5.805970703962512e-54,3.2110150194491044e-68,1.2521452384785132e-49,1.500004865535069e-67,1.4213804577239267e-67,8.23715377714488e-84,4.00975021641592e-19,3.9032379650060064e-38,6.539037574367205e-88,3.6384754826103416e-88
2.077281021110622e-21,0.8687440270099422,6.962488575447951e-25,4.32682578341988e-24,1.3447115355742186e-36,1.1212772905927956e-38,0.0,0.0,5.315123961744868e-20,2.339415434137216e-36,1.0088281403824884e-48,9.399545287632038e-49,3.653820725647177e-51,5.175953954082316e-60,8.955883014430763e-40,2.3926707295220413e-34,2.64477996975964e-21,4.751766878603615e-34,2.6355633245545424e-56,1.9822587668869954e-53,5.242936094237962e-32,2.0673343237611893e-50,2.0912493901436575e-21,1.716079861432356e-53,2.365557612925475e-38,6.191852684032991e-50,3.213964458394603e-48,1.2136804771794236e-55,9.128870267979627e-57,1.0251628956397347e-56,2.510985380083174e-53,6.003459573975144e-69,7.897291261613987e-63,1.9534252283809333e-73,3.76,0.0,0.5836423790056728,0.9999999999999851,1.7311666327473083e-49,8.134064724729366e-19,1.4934205276269492e-14,1.435148926398849e-14,5.827160122810035e-16,8.304890493811359e-32,1.4965904897182928e-14,1.4293629525580319e-35,3.0781448837116895e-36,1.4232480639292616e-49,3.3319165796116856e-62,4.750879536163584e-34,4.381251526378204e-34,3.570535232119016e-33,2.272296058297257e-33,8.505168859832489e-37,3.218268630238134e-40,2.148593781285241e-33,2.329236211944167e-34,5.102262011687584e-54,8.59393619833807e-53,2.2813225048550673e-47,3.5874437463739125e-61,1.0081105193643538e-37,8.0941612738528915e-56,2.0912493901438975e-21,1.093242431568014e-38,4.0217828354295475e-55,7.54030642829029e-54,2.644779969759158e-21,1.2878111031229534e-20,2.8288520195255974e-32,1.645093846100299e-39,4.027382483501618e-20,3.549130777880044e-36,4.760085565082054e-53,5.274101811517784e-67,1.0265843179330742e-48,2.4637624958728226e-66,2.3599309238531916e-66,2.7384992614488474e-82,8.13406472472937e-19,1.5946000682235929e-37,2.1739486784462946e-86,1.2096365676167012e-86
4.183819521391816e-21,0.8687440270099446,1.4023041061070994e-24,8.714592775092011e-24,5.435539028050197e-36,4.532382230010433e-38,0.0,0.0,1.0705108824359086e-19,9.456291225129235e-36,8.169752263675839e-48,7.611995473987308e-48,2.9589587553521223e-50,4.191621707681543e-59,3.620111106680334e-39,9.671557643861981e-34,5.326810361629455e-21,1.92074014655796e-33,2.1343475120317892e-55,1.6052845429542624e-52,2.1192785966270637e-31,1.674180934643745e-49,4.211952997049344e-21,1.3897259641627442e-52,9.56196209156571e-38,5.0146202936371555e-49,2.6135398708811175e-47,9.869448422005902e-55,7.423445693482485e-56,8.336454412600263e-56,2.0334610624853756e-52,9.732484598175401e-68,1.2858644929015076e-61,3.180719633359232e-72,3.76,0.0,0.5836423790056577,0.9999999999999699,1.401943622748673e-48,1.6382693741356046e-18,3.007875147192254e-14,2.8905112179584024e-14,1.1736392923385127e-15,3.3569695213663134e-31,3.0142597187182775e-14,5.777713589725304e-35,1.244235377303052e-35,1.1525865457098544e-48,5.4012001331589115e-61,1.9203814685563128e-33,1.7709719171409825e-33,1.4432674287670175e-32,9.184983976505642e-33,3.4379252393131596e-36,1.3008756360912354e-39,8.684959594532926e-33,9.415145181504146e-34,4.131944062143397e-53,6.95959234624922e-52,1.847474111707383e-46,5.848438539684843e-60,4.0749439026242704e-37,6.554869813041066e-55,4.211952997050315e-21,4.419060702824039e-38,3.2667898785870805e-54,6.10633564175703e-53,5.3268103616275054e-21,2.5937603907941788e-20,1.1434672157439802e-31,6.649732353842838e-39,8.111488663951055e-20,1.4346154061365792e-35,3.854840704153652e-52,8.549546312940164e-66,8.313545966572641e-48,3.993865176539477e-65,3.845919356446932e-65,8.931097409475303e-81,1.6382693741356065e-18,6.4456284303752e-37,7.089922456329155e-85,3.945000886984756e-85
8.396896521954204e-21,0.8687440270099495,2.814414811924931e-24,1.7490126758542224e-23,2.1856063371174437e-35,1.8224510768490314e-37,0.0,0.0,2.148507854958661e-19,3.8023331113444266e-35,6.5757275445644485e-47,6.126796186739289e-47,2.3816274299390534e-49,3.373781813184636e-58,1.4556307541672506e-38,3.888890791539257e-33,1.069087114537175e-20,7.723211652173462e-33,1.717908562064532e-54,1.2920726567685962e-51,8.521526027779378e-31,1.3475264666508975e-48,8.453360210859031e-21,1.1185723593843449e-51,3.844822901980823e-37,4.0363214918203725e-48,2.107913533483896e-46,7.960068253433811e-54,5.9872778845858406e-55,6.723652492568087e-55,1.6367063702049888e-51,1.567436052964231e-66,2.0753867632824928e-60,5.13393009064924e-71,3.76,0.0,0.5836423790056274,0.9999999999999396,1.1284061939620186e-47,3.287995177460855e-18,6.036784386322708e-14,5.801235801077988e-14,2.3554858524471872e-15,1.3498226800473937e-30,6.049598176687691e-14,2.3231932231305875e-34,5.003015728710897e-35,9.277032682181567e-48,8.698482126526411e-60,7.72176942370405e-33,7.121000188599807e-33,5.803314853846655e-32,3.6932416599145967e-32,1.382374618359015e-35,5.230763718621391e-39,3.4921840551123426e-32,3.785788468167098e-33,3.3257480522269466e-52,5.601685391099646e-51,1.4870078917102484e-45,9.445243711083227e-59,1.638517021271543e-36,5.275932745151167e-54,8.453360210862933e-21,1.776884872870443e-37,2.633329590000749e-53,4.914910164455918e-52,1.0690871145363917e-20,5.205658966128305e-20,4.597831382985755e-31,2.673828132918383e-38,1.627970102484114e-19,5.768525451385347e-35,3.102711162261255e-51,1.3768780769143277e-64,6.691465056038524e-47,6.431996742801441e-64,6.210081831511229e-64,2.8851166228506417e-79,3.2879951774608626e-18,2.591758842949992e-36,2.290340391063236e-83,1.2743996750132376e-83
1.6823050523078982e-20,0.8687440270099596,5.6386370583334856e-24,3.504119472586646e-23,8.765258950634552e-35,7.3088448621877e-37,0.0,0.0,4.3045018000038035e-19,1.5249056411538276e-34,5.276607297776853e-46,4.916368088730791e-46,1.91110602293037e-48,2.707247431716489e-57,5.837730370963039e-38,1.5596191422976175e-32,2.1418992712867018e-20,3.0973533016731754e-32,1.3785134315072226e-53,1.0368069351632821e-50,3.417513071707153e-30,1.0813051252348573e-47,1.693617463847166e-20,8.975838731789826e-51,1.541945947601071e-36,3.238941292286003e-47,1.6931903627605248e-45,6.393960601078956e-53,4.809307199044035e-54,5.400803329946805e-54,1.3133537859266293e-50,2.5161215201785276e-65,3.3350878511650276e-59,8.250845612120665e-70,3.76,0.0,0.5836423790055668,0.9999999999998789,9.054749061698333e-47,6.587446784111013e-18,1.2094602864582983e-13,1.1622684967319065e-13,4.719178972639158e-15,5.4133926698939275e-30,1.2120275092504289e-13,9.317043898395661e-34,2.0064330725889022e-34,7.444239850362059e-47,1.3963002893969403e-58,3.096774903551682e-32,2.855839570106625e-32,2.3273888159788915e-31,1.4811550898872938e-31,5.543940503188586e-35,2.0977702031836022e-38,1.4005219978419105e-31,1.518270499260417e-32,2.6687033636233632e-51,4.494999744514934e-50,1.193230184600206e-44,1.5182953284544234e-57,6.57118610219972e-36,4.23360506409654e-53,1.693617463848731e-20,7.12610307139359e-37,2.1146532114022312e-52,3.943905877989723e-51,2.14189927128356e-20,1.0429456116763252e-19,1.8439360276075494e-30,1.0723246712053336e-37,3.2616125746586145e-19,2.3134367096025827e-34,2.48973030578537e-50,2.210194245937951e-63,5.369479293701987e-46,1.0324779244562117e-62,9.981655648653296e-63,9.27608058763395e-78,6.587446784111045e-18,1.0394112152702748e-35,7.363786223501015e-82,4.097385177617643e-82
